Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000117245,KIF17,2,-3.5423,4,-2.4175,21,-0.0530,12,-1.0408,54,1.55458,39,1.15445
ENSG00000189410,SH2D5,0,-5.5246,32,0.14546,18,-0.8254,48,1.11109,7,-2.1394,38,0.48491
ENSG00000127483,HP1BP3,516,0.79603,421,0.45263,454,0.66841,218,-0.7305,243,-0.4303,224,-0.6130
ENSG00000075151,EIF4G3,315,0.26244,305,0.20644,460,1.06110,131,-1.3092,213,-0.3643,267,-0.0086
ENSG00000117298,ECE1,42,1.09568,15,-0.6080,15,-0.6127,25,0.27900,11,-1.0726,23,0.06544
ENSG00000076864,RAP1GAP,22,-2.4200,92,-0.3150,113,0.00788,59,-1.1970,134,0.28026,237,1.53675
ENSG00000090686,USP48,164,0.98010,118,0.41612,131,0.67946,55,-0.9534,70,-0.4132,67,-0.5370
ENSG00000070831,CDC42,185,0.20089,147,-0.1710,129,-0.4211,150,-0.1817,135,-0.2992,231,0.65563
ENSG00000004487,KDM1A,42,-0.5976,86,0.54309,64,0.07806,50,-0.4182,45,-0.5088,83,0.55183
ENSG00000169641,LUZP1,43,-2.1309,205,0.26234,294,1.02339,94,-1.1483,211,0.30503,208,0.32107
ENSG00000125944,HNRNPR,274,1.00171,191,0.38949,140,-0.1185,134,-0.2208,94,-0.7260,129,-0.2676
ENSG00000142676,RPL11,625,0.63075,315,-0.4723,135,-1.8810,690,1.14551,392,-0.1283,290,-0.6607
ENSG00000011007,ELOA,54,0.69442,35,-0.0182,41,0.28055,25,-0.6445,43,0.30499,32,-0.1883
ENSG00000057757,PITHD1,71,-1.1464,159,0.10404,89,-0.8897,147,-0.0364,197,0.45202,224,0.77743
ENSG00000011009,LYPLA2,8,-1.8527,22,-0.2748,19,-0.5727,30,0.26392,32,0.29302,38,0.65572
ENSG00000189266,PNRC2,76,0.48429,44,-0.3884,52,-0.1396,79,0.74395,31,-0.9297,36,-0.7512
ENSG00000188529,SRSF10,123,0.77361,68,-0.1859,106,0.60468,60,-0.4678,46,-0.7837,69,-0.1999
ENSG00000001461,NIPAL3,328,1.35884,86,-0.8440,181,0.37356,74,-1.2668,199,0.48518,140,-0.0964
ENSG00000133226,SRRM1,490,1.34753,309,0.54167,340,0.81870,123,-1.0977,182,-0.3115,94,-1.4221
ENSG00000169504,CLIC4,235,3.49454,5,-3.0775,13,-1.9291,32,-0.5443,24,-0.8258,17,-1.4605
ENSG00000117614,SYF2,199,0.56134,221,0.73391,160,0.22389,117,-0.3754,123,-0.2184,100,-0.5990
ENSG00000117616,RSRP1,141,0.69386,88,-0.0875,136,0.73324,63,-0.7267,82,-0.1918,76,-0.3388
ENSG00000183726,TMEM50A,89,0.28187,113,0.68220,53,-0.5775,81,0.16124,29,-1.4556,83,0.20144
ENSG00000204178,MACO1,114,0.69887,148,1.15029,94,0.42859,47,-0.8828,79,0.08064,39,-1.1089
ENSG00000117643,MAN1C1,11,-2.1446,55,0.20739,37,-0.4696,66,0.70287,29,-0.7682,57,0.31068
ENSG00000162430,SELENON,31,0.31871,7,-1.9689,21,-0.3901,38,0.84962,7,-2.0035,29,0.23851
ENSG00000117640,MTFR1L,39,-0.7229,59,-0.0692,50,-0.3524,68,0.22179,48,-0.3867,82,0.53446
ENSG00000117632,STMN1,931,-0.2994,1316,0.25487,856,-0.4773,868,-0.5078,1072,-0.0759,1805,0.91875
ENSG00000158008,EXTL1,2,-4.0550,31,-0.5237,34,-0.4126,49,0.26495,43,-0.0355,71,0.95069
ENSG00000142684,ZNF593,35,0.04518,23,-0.6033,23,-0.6684,34,-0.0219,44,0.41497,46,0.54478
ENSG00000142669,SH3BGRL3,85,-0.5149,63,-0.9713,79,-0.7058,156,0.59676,136,0.21935,139,0.28533
ENSG00000117682,DHDDS,2,-3.5128,22,0.10059,20,-0.0104,20,-0.0757,19,-0.0863,31,0.78603
ENSG00000198830,HMGN2,324,1.20539,191,0.29832,104,-0.7238,184,0.31691,114,-0.5149,98,-0.8184
ENSG00000117713,ARID1A,103,0.24077,60,-0.6153,127,0.68584,77,-0.2674,108,0.31376,64,-0.5530
ENSG00000204160,ZDHHC18,9,-1.1295,12,-0.6979,27,0.61925,13,-0.7455,20,0.09617,29,0.78005
ENSG00000142751,GPN2,23,0.05237,27,0.31470,25,0.20857,18,-0.4293,19,-0.2868,26,0.22595
ENSG00000090273,NUDC,152,-0.8211,326,0.38423,161,-0.8013,319,0.46123,253,-0.0293,283,0.16949
ENSG00000253368,TRNP1,2,-4.6145,72,0.78511,32,-0.5478,48,0.16777,31,-0.5330,65,0.72543
ENSG00000090020,SLC9A1,2,-2.9715,10,-1.1716,16,-0.4926,18,-0.3213,24,0.24769,44,1.51191
ENSG00000142784,WDTC1,13,-1.1477,23,-0.2656,18,-0.7055,33,0.40757,39,0.55606,32,0.27183
ENSG00000186501,TMEM222,27,-0.7014,56,0.41624,25,-0.8897,46,0.14839,65,0.67145,46,0.13710
ENSG00000158195,WASF2,251,2.54155,11,-2.6106,70,0.17418,49,-0.5159,59,-0.1073,14,-2.4002
ENSG00000126705,AHDC1,27,-1.2983,86,0.50638,98,0.84105,48,-0.5478,101,0.76680,39,-0.8015
ENSG00000126709,IFI6,73,-0.1359,25,-1.7651,78,-0.0416,87,0.17342,105,0.44785,89,0.20455
ENSG00000009780,FAM76A,28,-0.1042,34,0.20766,45,0.82597,18,-0.9259,51,0.90357,19,-0.7505
ENSG00000117758,STX12,117,0.32952,102,0.10107,82,-0.2815,87,-0.1805,89,-0.1233,112,0.28474
ENSG00000117751,PPP1R8,36,0.25589,48,0.73023,20,-0.7082,32,0.04787,36,0.25071,26,-0.2800
ENSG00000117748,RPA2,15,-1.4657,40,-0.0380,21,-1.0650,56,0.70244,29,-0.5104,56,0.59219
ENSG00000126698,DNAJC8,302,0.47065,318,0.56062,268,0.31666,191,-0.3295,145,-0.6984,192,-0.2882
ENSG00000130770,ATP5IF1,158,-1.3118,410,0.16238,175,-1.2579,547,0.89130,211,-0.8775,467,0.43054
ENSG00000204138,PHACTR4,99,1.82418,12,-1.6018,55,0.88270,22,-0.8309,31,-0.1586,14,-1.4821
ENSG00000180098,TRNAU1AP,18,-0.1069,42,1.25545,18,-0.1732,17,-0.3306,13,-0.6347,19,-0.0510
ENSG00000198492,YTHDF2,65,-0.6587,185,1.03673,105,0.10892,71,-0.6455,82,-0.2943,118,0.32215
ENSG00000159023,EPB41,3,-2.9055,11,-1.2797,50,1.23752,15,-1.0066,44,0.83222,31,0.25520
ENSG00000116350,SRSF4,135,0.57499,104,0.13967,137,0.68328,60,-0.8768,107,0.18225,77,-0.3784
ENSG00000116353,MECR,17,-0.5285,11,-1.1860,14,-0.8830,26,0.24929,28,0.27828,36,0.82067
ENSG00000162512,SDC3,79,-0.0950,59,-0.5448,91,0.15478,105,0.48362,69,-0.2970,67,-0.3961
ENSG00000134644,PUM1,135,-0.6522,231,0.19594,260,0.44619,153,-0.5624,275,0.47892,213,0.07078
ENSG00000121766,ZCCHC17,152,0.06244,172,0.25978,173,0.31088,128,-0.2646,145,-0.0183,132,-0.1865
ENSG00000121769,FABP3,7,-2.7625,45,0.03097,28,-0.7496,46,0.08144,35,-0.3578,80,1.17450
ENSG00000162517,PEF1,37,-1.0991,59,-0.4124,52,-0.6527,93,0.42855,47,-0.7406,118,0.83406
ENSG00000084636,COL16A1,74,1.52051,1,-4.3031,27,-0.2317,33,0.14058,19,-0.6893,29,-0.0746
ENSG00000121753,ADGRB2,23,-3.1941,118,-0.8109,180,-0.1790,265,0.63249,166,-0.2845,263,0.52671
ENSG00000184007,PTP4A2,1213,2.39188,226,-0.5894,289,-0.2273,200,-0.9425,356,0.12576,158,-1.2277
ENSG00000121774,KHDRBS1,195,0.48724,170,0.26191,119,-0.3471,146,0.01206,132,-0.1442,138,-0.0890
ENSG00000025800,KPNA6,107,-0.2398,169,0.50071,164,0.50867,85,-0.7309,116,-0.1159,136,0.15336
ENSG00000084652,TXLNA,38,0.43933,28,-0.0660,24,-0.2906,27,-0.1164,24,-0.3113,34,0.32034
ENSG00000160050,CCDC28B,4,-2.4521,41,0.89445,14,-0.8391,38,1.07999,11,-1.0987,19,-0.3747
ENSG00000084623,EIF3I,76,-0.1398,107,0.41480,42,-1.1175,107,0.55990,53,-0.7075,93,0.21723
ENSG00000175130,MARCKSL1,652,2.54783,84,-1.0437,75,-1.3264,164,-0.0117,96,-0.8450,89,-1.0485
ENSG00000160058,BSDC1,47,-0.4277,75,0.33146,64,0.08741,46,-0.5486,77,0.37199,73,0.32796
ENSG00000160062,ZBTB8A,26,0.20653,29,0.37819,29,0.41548,23,0.03261,17,-0.4315,15,-0.7523
ENSG00000176261,ZBTB8OS,32,-0.1392,14,-1.3353,27,-0.4325,47,0.66162,21,-0.7587,43,0.37045
ENSG00000162521,RBBP4,192,0.69636,164,0.43499,135,0.13886,112,-0.2281,80,-0.6944,106,-0.2993
ENSG00000162522,KIAA1522,0,-7.8536,13,-0.5614,7,-1.6199,33,1.30778,20,0.05636,23,0.30453
ENSG00000134684,YARS,37,-1.3030,90,0.03839,55,-0.7822,92,0.09985,69,-0.3808,146,1.00573
ENSG00000160097,FNDC5,6,-2.8302,60,0.63265,28,-0.6154,33,-0.3679,61,0.66357,60,0.76669
ENSG00000121905,HPCA,8,-4.3796,238,0.58667,92,-0.9974,222,0.63829,151,-0.1552,208,0.41142
ENSG00000121900,TMEM54,34,-0.2376,22,-0.8633,14,-1.6371,52,0.60807,72,0.99880,40,0.04557
ENSG00000004455,AK2,54,1.03193,19,-0.6585,12,-1.4189,38,0.59314,23,-0.3758,28,-0.0725
ENSG00000142920,AZIN2,18,-0.2796,41,1.08509,16,-0.4954,18,-0.3072,13,-0.7410,27,0.45446
ENSG00000160094,ZNF362,17,-0.4712,14,-0.8219,26,0.18674,27,0.24385,14,-0.8349,30,0.41396
ENSG00000134686,PHC2,63,0.40594,12,-2.1290,31,-0.7836,47,-0.0769,69,0.55051,72,0.71671
ENSG00000163866,SMIM12,15,-1.6654,50,0.19231,23,-1.1124,59,0.61806,34,-0.4209,62,0.61190
ENSG00000116544,DLGAP3,7,-2.9301,41,-0.2855,41,-0.3366,88,1.38990,40,-0.3439,31,-0.7766
ENSG00000163867,ZMYM6,49,1.08519,30,0.26705,33,0.45765,12,-1.3565,28,0.15019,23,-0.1625
ENSG00000116560,SFPQ,516,1.12512,216,-0.3154,400,0.79555,183,-0.7028,129,-1.1084,215,-0.3613
ENSG00000146463,ZMYM4,107,0.68170,97,0.51871,82,0.29279,49,-0.7071,67,-0.0717,61,-0.2529
ENSG00000142687,KIAA0319L,46,-0.7833,106,0.51717,79,0.05185,71,-0.1671,90,0.24248,79,0.03514
ENSG00000020129,NCDN,38,-3.7947,729,0.65166,293,-0.8820,621,0.51386,234,-1.1478,727,0.75427
ENSG00000126067,PSMB2,74,0.01762,63,-0.2243,55,-0.5008,63,-0.2834,61,-0.2765,116,0.89560
ENSG00000142686,C1orf216,15,-2.8251,100,-0.0206,62,-0.8350,115,0.25467,109,0.11429,161,0.89427
ENSG00000092847,AGO1,76,0.72379,78,0.75815,47,-0.0594,42,-0.3116,36,-0.4730,40,-0.3659
ENSG00000126070,AGO3,173,1.42125,76,0.01903,113,0.77058,43,-1.0368,56,-0.4668,46,-0.8299
ENSG00000054116,TRAPPC3,17,-1.4771,62,0.54580,25,-0.9498,62,0.74751,34,-0.4091,47,0.10417
ENSG00000116871,MAP7D1,269,0.41814,235,0.19695,139,-0.6967,233,0.23924,200,-0.0597,200,-0.0746
ENSG00000054118,THRAP3,249,0.38760,357,0.99794,261,0.53486,116,-0.9904,196,-0.0001,145,-0.5233
ENSG00000196182,STK40,6,-1.7345,11,-0.7951,19,0.08471,20,0.19044,21,0.21941,23,0.45309
ENSG00000181817,LSM10,16,-1.2607,57,0.76965,15,-1.3954,55,0.98590,13,-1.5421,38,0.12117
ENSG00000116898,MRPS15,26,-0.7291,35,-0.2824,21,-1.1695,48,0.28836,36,-0.2624,69,0.94622
ENSG00000163875,MEAF6,56,-1.1275,150,0.42053,108,-0.1313,107,-0.1624,137,0.26903,140,0.34766
ENSG00000134697,GNL2,35,0.36620,56,1.17157,32,0.27938,20,-0.6505,22,-0.3458,20,-0.5379
ENSG00000185090,MANEAL,3,-2.7488,13,-0.7107,11,-1.0664,27,0.59942,29,0.50752,30,0.66179
ENSG00000197982,C1orf122,196,0.32134,155,-0.0542,63,-1.5417,251,1.03072,109,-0.6070,135,-0.3129
ENSG00000183431,SF3A3,36,-0.4416,41,-0.2493,50,0.07345,54,0.21020,44,-0.1540,50,0.07431
ENSG00000183520,UTP11,27,-0.5013,94,1.60452,36,-0.0282,27,-0.5985,18,-1.0886,38,0.06706
ENSG00000116954,RRAGC,52,0.05826,47,-0.1090,52,0.08140,51,0.03303,38,-0.4432,54,0.11747
ENSG00000174574,AKIRIN1,90,0.04501,70,-0.3456,106,0.35102,73,-0.3599,78,-0.1784,103,0.29904
ENSG00000168653,NDUFS5,301,-1.0198,764,0.44725,265,-1.3125,756,0.58077,561,-0.0555,691,0.31987
ENSG00000127603,MACF1,916,1.32366,164,-1.4538,788,1.25922,277,-0.8027,314,-0.4641,204,-1.2142
ENSG00000090621,PABPC4,119,0.92610,53,-0.3933,81,0.30851,55,-0.4242,91,0.47063,46,-0.6702
ENSG00000116983,HPCAL4,75,-2.2308,606,1.04899,382,0.30303,351,0.16470,336,0.05728,204,-0.7930
ENSG00000084072,PPIE,27,-0.4237,48,0.48274,15,-1.4497,45,0.52365,26,-0.4667,45,0.41204
ENSG00000131236,CAP1,172,0.34477,146,0.08276,128,-0.1462,144,0.07231,103,-0.4758,141,0.01947
ENSG00000131238,PPT1,63,-1.0255,134,0.14764,98,-0.3946,143,0.33516,71,-0.8544,165,0.56541
ENSG00000117000,RLF,51,0.23980,85,1.12403,71,0.94748,27,-0.9117,24,-0.8921,26,-0.8509
ENSG00000084073,ZMPSTE24,37,0.10041,32,-0.0980,29,-0.2750,32,-0.1581,47,0.49830,37,0.13275
