Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000171680,PLEKHG5,31,0.50960,26,0.06027,27,0.15654,19,-0.4083,13,-1.0005
ENSG00000162408,NOL9,34,0.40959,22,-0.5108,22,-0.3610,35,0.33919,27,-0.0610
ENSG00000162413,KLHL21,28,0.46191,17,-0.5837,25,0.14871,33,0.57131,16,-0.5690
ENSG00000116273,PHF13,18,0.73264,15,0.16901,13,-0.1051,6,-1.2861,7,-1.1344
ENSG00000041988,THAP3,21,0.98909,12,-0.2890,15,0.04359,5,-1.4706,8,-0.9148
ENSG00000007923,DNAJC11,30,0.11388,31,0.17066,25,-0.2157,21,-0.4383,27,-0.0862
ENSG00000171735,CAMTA1,424,-0.2926,677,0.71488,319,-0.6526,284,-0.8281,501,0.05696
ENSG00000049245,VAMP3,23,0.08191,10,-1.3656,33,0.66985,42,1.05082,22,0.05179
ENSG00000049246,PER3,40,-0.2944,35,-0.4794,107,1.42423,35,-0.4234,48,0.07079
ENSG00000116288,PARK7,348,0.64626,167,-0.8771,211,-0.3759,472,0.92746,187,-0.6113
ENSG00000116285,ERRFI1,22,0.23785,24,0.37498,12,-0.7151,16,-0.3077,15,-0.4723
ENSG00000162426,SLC45A1,23,0.12600,33,0.85026,13,-0.7834,18,-0.3135,10,-1.2923
ENSG00000142599,RERE,142,-0.1590,142,-0.1421,202,0.45075,139,-0.1499,172,0.21393
ENSG00000074800,ENO1,434,-0.0669,336,-0.5411,554,0.34292,1006,1.36081,308,-0.6344
ENSG00000171612,SLC25A33,34,-0.5151,19,-1.4661,60,0.50953,147,2.13117,39,-0.1629
ENSG00000171603,CLSTN1,762,0.63387,727,0.43488,307,-1.0062,365,-0.7436,291,-1.1705
ENSG00000178585,CTNNBIP1,16,-0.7001,20,-0.1699,16,-0.5353,35,0.73560,35,0.82529
ENSG00000162441,LZIC,60,0.01112,38,-0.8195,104,0.92263,79,0.45592,58,-0.0240
ENSG00000130939,UBE4B,36,0.24536,41,0.47791,12,-1.5295,29,-0.1777,25,-0.4685
ENSG00000054523,KIF1B,388,-0.2397,490,0.25408,382,-0.1929,312,-0.5072,520,0.33284
ENSG00000142657,PGD,53,0.28179,49,0.09391,27,-0.8190,60,0.40416,34,-0.5254
ENSG00000241563,CORT,30,0.88528,16,-0.4816,9,-1.2031,39,1.00313,7,-1.6483
ENSG00000160049,DFFA,35,-0.5163,29,-0.7688,76,0.87749,77,0.90280,54,0.35595
ENSG00000142655,PEX14,17,0.14787,18,0.32358,12,-0.4446,16,0.07880,11,-0.5858
ENSG00000120948,TARDBP,78,0.12905,76,0.07733,62,-0.2682,68,-0.1169,69,-0.1090
ENSG00000116649,SRM,51,0.34771,41,-0.1476,25,-0.8827,70,0.74599,32,-0.5598
ENSG00000171824,EXOSC10,23,-0.3498,26,-0.1018,52,1.04785,27,-0.0377,26,-0.1037
ENSG00000198793,MTOR,48,0.37472,45,0.18258,32,-0.3879,50,0.31567,21,-1.0955
ENSG00000116661,FBXO2,150,-0.3563,115,-0.7903,239,0.49355,478,1.70522,139,-0.4028
ENSG00000132879,FBXO44,85,0.38817,78,0.16879,33,-1.1696,69,-0.0633,58,-0.3819
ENSG00000177000,MTHFR,19,-0.0626,21,0.18043,27,0.55459,20,0.03871,13,-0.6123
ENSG00000011021,CLCN6,44,-0.6246,96,1.07245,23,-1.4456,52,-0.1884,56,-0.0911
ENSG00000116685,KIAA2013,32,0.62311,22,-0.2207,28,0.22910,23,-0.1189,13,-1.0129
ENSG00000083444,PLOD1,14,-0.0193,12,-0.3097,22,0.74648,20,0.55644,10,-0.5058
ENSG00000116688,MFN2,116,0.39613,106,0.16931,49,-1.0715,95,-0.0472,75,-0.4428
ENSG00000048707,VPS13D,57,-0.2082,69,0.20269,82,0.44230,56,-0.1628,57,-0.1591
ENSG00000162496,DHRS3,14,-0.7862,10,-1.3643,76,2.24546,49,1.38241,11,-1.0731
ENSG00000116731,PRDM2,251,-0.0373,319,0.46481,195,-0.4213,72,-1.9187,289,0.22384
ENSG00000189337,KAZN,40,-0.4381,60,0.38577,57,0.20757,64,0.39652,42,-0.2803
ENSG00000142634,EFHD2,24,-1.2863,72,1.00822,27,-0.7811,18,-1.4052,73,0.87007
ENSG00000116138,DNAJC16,41,0.70294,37,0.37442,18,-0.8110,12,-1.4698,17,-0.9649
ENSG00000197312,DDI2,37,0.04859,45,0.42783,29,-0.3782,15,-1.3426,37,0.01964
ENSG00000116786,PLEKHM2,86,-0.3139,87,-0.2566,69,-0.5605,110,0.15856,155,0.82356
ENSG00000065526,SPEN,152,-0.3474,188,0.10134,326,0.98852,66,-1.5106,200,0.20316
ENSG00000116809,ZBTB17,15,-0.3198,15,-0.2650,23,0.45035,23,0.42127,20,0.25684
ENSG00000037637,FBXO42,17,0.06419,20,0.39469,17,0.04084,19,0.25026,8,-1.0615
ENSG00000055070,SZRD1,19,-0.7730,21,-0.5611,62,1.32129,47,0.84225,30,0.12250
ENSG00000159363,ATP13A2,82,0.36286,78,0.20730,38,-0.9523,63,-0.1649,55,-0.4104
ENSG00000117118,SDHB,70,0.52318,52,-0.1341,38,-0.5959,75,0.46361,34,-0.8293
ENSG00000117115,PADI2,39,-0.6225,14,-2.2629,134,1.57157,152,1.80288,49,-0.1274
ENSG00000179051,RCC2,21,0.14349,24,0.46900,14,-0.4621,20,0.04248,12,-0.8419
ENSG00000074964,ARHGEF10L,15,0.10807,8,-0.9048,11,-0.3490,20,0.58656,19,0.57445
ENSG00000117154,IGSF21,54,0.36926,51,0.18949,26,-0.9021,44,-0.0610,35,-0.4788
ENSG00000159423,ALDH4A1,14,-0.5341,7,-1.5830,23,0.43958,42,1.41323,27,0.77904
ENSG00000127481,UBR4,27,-0.7204,48,0.44802,76,1.12242,7,-2.5271,44,0.24293
ENSG00000127463,EMC1,35,0.35110,29,-0.0966,33,0.15469,19,-0.7465,27,-0.1972
ENSG00000053372,MRTO4,39,0.25852,36,0.06685,42,0.27160,28,-0.3456,25,-0.5561
ENSG00000053371,AKR7A2,27,-0.2087,13,-1.4863,59,1.08783,75,1.52591,25,-0.3075
ENSG00000077549,CAPZB,167,0.08847,182,0.25295,122,-0.4221,205,0.39527,112,-0.6044
ENSG00000173436,MICOS10,219,-0.1075,198,-0.2863,134,-0.8358,339,0.63389,291,0.43375
ENSG00000158747,NBL1,127,0.13547,118,-0.0211,124,0.05875,119,-0.0053,105,-0.2266
ENSG00000169914,OTUD3,14,-0.1354,20,0.56810,14,-0.0813,5,-1.4501,15,-0.0292
ENSG00000162545,CAMK2N1,2395,0.62143,1151,-0.8861,1310,-0.5490,2833,0.68351,1650,-0.2100
ENSG00000090432,MUL1,17,0.32789,13,-0.1863,14,-0.0597,14,-0.0391,12,-0.2415
ENSG00000158828,PINK1,484,0.65471,347,-0.1342,177,-1.1425,432,0.24084,250,-0.6673
ENSG00000244038,DDOST,20,0.15244,15,-0.4612,22,0.25400,44,1.39960,8,-1.3110
ENSG00000117245,KIF17,23,0.27113,33,1.03718,6,-1.8440,7,-1.6100,11,-1.0298
ENSG00000189410,SH2D5,55,1.29811,18,-1.1434,29,-0.2445,42,0.32461,15,-1.3240
ENSG00000127483,HP1BP3,306,-0.2182,347,0.05199,548,0.78695,219,-0.6765,344,0.02718
ENSG00000075151,EIF4G3,355,0.01116,540,0.93228,278,-0.3755,128,-1.5464,219,-0.8057
ENSG00000117298,ECE1,11,-0.7977,10,-0.7491,58,2.29934,12,-0.4249,15,-0.1073
ENSG00000076864,RAP1GAP,80,-0.1359,114,0.60763,60,-0.5450,69,-0.3268,73,-0.2627
ENSG00000090686,USP48,73,-0.1910,105,0.57051,95,0.26947,34,-1.2824,71,-0.2045
ENSG00000070831,CDC42,182,0.25121,196,0.36405,166,0.02036,140,-0.2500,90,-0.9996
ENSG00000004487,KDM1A,96,0.46321,88,0.21919,51,-0.6887,65,-0.2926,53,-0.6830
ENSG00000169641,LUZP1,181,-0.4008,374,1.23341,187,-0.2355,51,-2.2010,155,-0.5752
ENSG00000125944,HNRNPR,157,0.29468,147,0.11650,143,0.05523,106,-0.4151,103,-0.5098
ENSG00000204219,TCEA3,7,-1.6222,12,-0.5680,50,1.95912,18,0.13953,23,0.67860
ENSG00000117318,ID3,9,-1.4045,0,-4.6878,111,3.59985,29,0.76225,11,-0.7727
ENSG00000142676,RPL11,363,-0.1385,230,-0.9524,531,0.51559,658,0.87433,459,0.30985
ENSG00000011007,ELOA,30,-0.1061,37,0.31890,36,0.24812,25,-0.3181,26,-0.2865
ENSG00000057757,PITHD1,158,0.59758,139,0.24077,43,-1.6043,126,0.03159,71,-0.9268
ENSG00000011009,LYPLA2,20,0.10171,22,0.33743,11,-0.7353,21,0.14981,14,-0.4265
ENSG00000117308,GALE,15,0.37463,9,-0.6374,16,0.32462,7,-0.9472,16,0.34045
ENSG00000117305,HMGCL,12,-0.4311,9,-0.8989,42,1.76296,26,0.92378,10,-0.6765
ENSG00000189266,PNRC2,72,0.43487,48,-0.4072,55,-0.1149,79,0.45527,45,-0.4653
ENSG00000188529,SRSF10,69,0.11706,64,-0.0314,92,0.54793,38,-0.8448,60,-0.1312
ENSG00000001461,NIPAL3,96,0.06542,107,0.28286,100,0.11442,106,0.20578,57,-0.8254
ENSG00000133226,SRRM1,175,-0.5851,249,0.14893,600,1.62594,112,-1.1180,191,-0.3257
ENSG00000169504,CLIC4,23,-0.3507,5,-2.6028,94,2.17137,48,0.91768,24,-0.1907
ENSG00000117614,SYF2,148,0.10214,115,-0.3913,233,0.81326,115,-0.3284,136,-0.0743
ENSG00000117616,RSRP1,41,-0.1609,48,0.17831,82,1.01738,46,0.07294,24,-0.9948
ENSG00000183726,TMEM50A,82,0.47924,57,-0.3011,56,-0.2781,71,0.08620,56,-0.3198
ENSG00000204178,MACO1,62,-0.3897,102,0.65324,102,0.49085,35,-1.1414,65,-0.2359
ENSG00000117643,MAN1C1,51,1.13481,27,-0.3971,31,-0.1107,22,-0.6615,14,-1.4006
ENSG00000162430,SELENON,12,-0.8254,10,-1.1590,38,1.15170,46,1.48953,22,0.27019
ENSG00000117640,MTFR1L,64,0.30492,62,0.17716,41,-0.4941,66,0.25230,36,-0.7639
ENSG00000117632,STMN1,1382,0.59440,1368,0.48204,380,-1.6022,670,-0.7488,627,-0.9207
ENSG00000158008,EXTL1,28,-0.1448,31,0.08230,20,-0.5683,33,0.18162,34,0.25875
ENSG00000175087,PDIK1L,13,-0.3543,21,0.67258,5,-1.6230,20,0.44643,14,-0.1630
ENSG00000142684,ZNF593,39,1.38812,9,-1.6731,19,-0.2832,34,0.58683,11,-1.1862
ENSG00000142669,SH3BGRL3,123,0.08422,118,-0.0154,122,0.04292,154,0.41350,92,-0.4345
ENSG00000158062,UBXN11,15,0.24488,9,-0.7347,14,0.06942,21,0.66156,13,-0.0098
ENSG00000117682,DHDDS,12,-0.3305,14,0.02074,7,-1.0255,20,0.57753,18,0.46954
ENSG00000198830,HMGN2,157,-0.1108,107,-0.8090,224,0.49149,299,0.97315,173,0.08080
ENSG00000117713,ARID1A,68,0.16365,43,-0.7185,111,0.92733,62,-0.0161,60,-0.0735
ENSG00000204160,ZDHHC18,15,-0.2942,24,0.62456,32,0.93836,12,-0.5610,9,-1.1420
ENSG00000142751,GPN2,18,0.07712,14,-0.3948,31,0.94890,15,-0.2475,15,-0.1958
ENSG00000090273,NUDC,279,0.68976,176,-0.3478,164,-0.4007,172,-0.3230,173,-0.3515
ENSG00000253368,TRNP1,49,0.11845,54,0.29955,30,-0.6992,50,0.08576,38,-0.3620
ENSG00000090020,SLC9A1,13,-0.8285,37,1.39313,9,-1.1233,13,-0.6936,17,-0.2413
ENSG00000142784,WDTC1,24,-0.1670,22,-0.2416,20,-0.4138,33,0.41737,33,0.46137
ENSG00000186501,TMEM222,21,-0.7178,41,0.63354,33,0.12213,28,-0.1226,32,0.09745
ENSG00000158195,WASF2,22,-1.0808,10,-2.2013,155,2.50371,67,0.91320,41,0.09249
ENSG00000126705,AHDC1,38,0.12001,35,-0.0088,35,-0.0189,32,-0.1561,34,-0.0850
ENSG00000126709,IFI6,95,-0.1752,136,0.60014,90,-0.2059,100,-0.0347,75,-0.5367
ENSG00000009780,FAM76A,26,0.46764,16,-0.5368,26,0.25275,16,-0.4693,21,-0.0238
ENSG00000117758,STX12,98,0.30857,75,-0.2727,83,-0.0514,107,0.35133,70,-0.3603
ENSG00000117751,PPP1R8,30,0.29744,23,-0.2510,22,-0.3195,37,0.50864,22,-0.3426
ENSG00000117748,RPA2,56,1.10623,23,-0.8472,49,0.45227,22,-0.7833,20,-0.9897
ENSG00000126698,DNAJC8,323,0.27245,313,0.17002,280,-0.0433,185,-0.6874,234,-0.3553
ENSG00000130770,ATP5IF1,562,1.10564,280,-0.5325,210,-0.8778,405,0.14125,187,-1.1387
ENSG00000204138,PHACTR4,26,-0.6096,19,-1.0521,112,2.05181,20,-0.8309,43,0.41098
ENSG00000180098,TRNAU1AP,16,0.61512,7,-1.0913,6,-1.0430,18,0.56866,15,0.24244
ENSG00000198492,YTHDF2,115,0.66717,102,0.30656,55,-0.7347,40,-1.2190,53,-0.8528
ENSG00000159023,EPB41,19,-0.6890,37,0.70802,38,0.60376,2,-3.6008,32,0.32996
ENSG00000116350,SRSF4,58,-0.4347,70,-0.0306,118,0.82116,66,-0.1258,78,0.17181
ENSG00000116353,MECR,35,0.64245,31,0.31139,12,-1.2591,18,-0.5840,16,-0.8709
ENSG00000162511,LAPTM5,9,-0.9977,7,-1.2366,43,1.80296,35,1.39739,14,-0.0867
ENSG00000162512,SDC3,118,-0.2490,117,-0.2381,166,0.35966,208,0.72771,130,-0.0346
ENSG00000134644,PUM1,146,-0.1772,179,0.25194,177,0.17189,111,-0.5604,166,0.08581
ENSG00000060688,SNRNP40,14,-0.2334,14,-0.3139,35,1.28675,14,-0.2416,15,-0.1479
ENSG00000121766,ZCCHC17,166,0.47955,134,-0.0274,110,-0.3285,96,-0.5455,112,-0.3358
ENSG00000121769,FABP3,89,0.60827,90,0.53577,26,-1.5014,42,-0.7939,36,-1.1053
ENSG00000162517,PEF1,78,0.89766,44,-0.3995,33,-0.7724,47,-0.2408,39,-0.5768
ENSG00000084636,COL16A1,16,-0.0031,10,-0.8966,26,0.80084,36,1.31861,11,-0.6879
ENSG00000121753,ADGRB2,220,0.89158,116,-0.5481,88,-0.8708,192,0.33763,100,-0.7424
ENSG00000184007,PTP4A2,235,0.17019,193,-0.2370,203,-0.1118,204,-0.1046,237,0.14708
ENSG00000121774,KHDRBS1,155,0.28080,126,-0.1650,121,-0.1991,157,0.20818,118,-0.2666
ENSG00000025800,KPNA6,90,0.25617,100,0.44378,54,-0.6235,54,-0.6102,59,-0.5202
ENSG00000084652,TXLNA,27,0.25862,16,-0.7509,29,0.32400,26,0.11068,27,0.19710
ENSG00000160050,CCDC28B,18,0.00774,9,-1.1745,24,0.46823,36,1.17034,18,0.05360
ENSG00000084623,EIF3I,122,0.34700,106,0.01537,107,0.01997,120,0.20513,63,-0.8636
ENSG00000175130,MARCKSL1,135,-0.3716,74,-1.3755,277,0.90169,421,1.65240,150,-0.1096
ENSG00000160058,BSDC1,41,-0.0502,39,-0.1496,50,0.26143,39,-0.1030,46,0.16564
ENSG00000160062,ZBTB8A,33,0.73882,17,-0.6763,41,0.84447,14,-0.8505,15,-0.7452
ENSG00000176261,ZBTB8OS,38,0.41620,31,-0.0614,14,-1.2346,47,0.61235,23,-0.5771
ENSG00000162521,RBBP4,153,0.35589,103,-0.4678,200,0.67688,125,-0.0794,101,-0.4489
ENSG00000162522,KIAA1522,21,0.20006,17,-0.2086,9,-1.1150,35,1.03132,15,-0.3914
ENSG00000134684,YARS,119,0.88172,95,0.25264,34,-1.3652,62,-0.4697,34,-1.4840
ENSG00000160097,FNDC5,17,-0.9069,43,1.02268,19,-0.5592,25,-0.1214,28,0.04268
ENSG00000121905,HPCA,152,0.67020,104,-0.2148,40,-1.6230,127,0.14580,94,-0.3498
ENSG00000121900,TMEM54,24,-0.7846,41,0.28265,40,0.17327,53,0.62808,40,0.19190
ENSG00000004455,AK2,19,-0.4047,26,0.24833,20,-0.2372,38,0.80221,21,-0.1836
ENSG00000160094,ZNF362,13,-0.4356,12,-0.5228,19,0.26064,26,0.74249,22,0.55174
ENSG00000134686,PHC2,41,0.14672,43,0.25306,32,-0.2923,36,-0.1156,30,-0.4055
ENSG00000163866,SMIM12,52,0.66994,43,0.14823,21,-0.9421,33,-0.2898,23,-0.9195
ENSG00000116544,DLGAP3,51,0.28541,24,-1.1061,26,-0.8598,97,1.26853,48,0.12210
ENSG00000163867,ZMYM6,22,0.03987,26,0.37236,24,0.17854,18,-0.2663,15,-0.6411
ENSG00000116560,SFPQ,219,-0.2144,235,-0.0514,489,1.16890,117,-1.1096,235,-0.0527
ENSG00000146463,ZMYM4,74,-0.1905,89,0.20133,89,0.16245,41,-1.0249,96,0.32353
ENSG00000142687,KIAA0319L,42,-0.4890,66,0.46796,57,0.14240,39,-0.4641,58,0.18910
ENSG00000020129,NCDN,674,1.42241,338,-0.3481,102,-2.0871,319,-0.3734,162,-1.5012
ENSG00000126067,PSMB2,102,0.84497,67,-0.1832,71,-0.0435,59,-0.3443,34,-1.2816
ENSG00000142686,C1orf216,104,1.03142,69,-0.0352,37,-0.9599,54,-0.4050,28,-1.4707
ENSG00000134698,AGO4,10,-0.5905,15,0.15028,26,1.06293,18,0.41869,10,-0.4452
ENSG00000092847,AGO1,38,0.20966,26,-0.5521,40,0.22402,43,0.35289,35,-0.0116
ENSG00000126070,AGO3,28,-1.0569,66,0.67146,96,1.14873,46,-0.0687,37,-0.4242
ENSG00000054116,TRAPPC3,46,0.56636,36,-0.0100,29,-0.3517,28,-0.4176,25,-0.5983
ENSG00000116871,MAP7D1,199,0.73831,117,-0.4475,86,-0.8440,185,0.35305,106,-0.5693
ENSG00000054118,THRAP3,220,0.21412,205,0.04190,289,0.58647,119,-0.8052,153,-0.4710
ENSG00000181817,LSM10,45,0.87278,33,0.08041,8,-1.9985,30,-0.0638,16,-1.1157
ENSG00000116885,OSCP1,21,1.14443,11,-0.3829,5,-1.4998,10,-0.4944,9,-0.7309
ENSG00000116898,MRPS15,62,0.91988,35,-0.4133,27,-0.7329,55,0.38958,21,-1.1997
ENSG00000163875,MEAF6,116,0.43036,107,0.20333,74,-0.4205,77,-0.3642,65,-0.6802
ENSG00000163877,SNIP1,21,0.65273,15,-0.0646,2,-2.8388,14,-0.1364,14,-0.1624
ENSG00000134697,GNL2,34,0.10791,44,0.65436,26,-0.3595,14,-1.2051,24,-0.5240
ENSG00000116922,C1orf109,16,0.23202,15,0.06403,3,-2.1155,19,0.42393,14,-0.0578
ENSG00000185090,MANEAL,27,0.75218,21,0.14056,6,-1.7138,22,0.13588,9,-1.1945
ENSG00000197982,C1orf122,122,-0.2251,101,-0.5457,119,-0.1975,268,1.14134,153,0.22645
ENSG00000188786,MTF1,13,-0.0924,9,-0.6284,20,0.65236,16,0.23670,16,0.29819
ENSG00000183431,SF3A3,52,0.28365,42,-0.1826,63,0.49319,44,-0.0980,34,-0.5399
ENSG00000183520,UTP11,48,-0.2751,78,0.78350,64,0.25807,37,-0.5779,35,-0.7406
ENSG00000185668,POU3F1,18,0.56959,18,0.45922,9,-0.7349,7,-1.0994,8,-1.0053
ENSG00000116954,RRAGC,51,0.26546,54,0.34269,48,0.10733,52,0.23451,17,-1.6064
ENSG00000174574,AKIRIN1,77,0.43893,63,-0.0541,60,-0.1143,64,-0.0065,43,-0.6633
ENSG00000168653,NDUFS5,741,0.88651,407,-0.4841,275,-0.9965,583,0.16844,364,-0.6227
ENSG00000127603,MACF1,216,-1.1735,371,-0.0916,1009,1.62619,241,-0.7394,524,0.54758
ENSG00000090621,PABPC4,57,-0.2865,53,-0.3847,118,0.96931,72,0.15638,70,0.11366
ENSG00000116983,HPCAL4,309,0.32418,212,-0.4507,249,-0.1241,361,0.47497,239,-0.2054
ENSG00000084072,PPIE,39,0.74606,24,-0.3815,33,0.18193,35,0.29128,12,-1.4300
ENSG00000131236,CAP1,219,0.64821,140,-0.3562,220,0.42729,164,-0.0389,87,-1.1032
ENSG00000131238,PPT1,142,0.25307,124,-0.0598,140,0.14924,159,0.34912,82,-0.7391
ENSG00000117000,RLF,29,-0.3027,41,0.43866,57,0.90245,7,-2.2706,31,-0.1316
ENSG00000084073,ZMPSTE24,28,-0.0237,27,-0.0784,18,-0.6834,43,0.66921,29,0.00430
ENSG00000084070,SMAP2,200,0.41587,243,0.79498,61,-1.5379,68,-1.3890,95,-0.9497
ENSG00000117016,RIMS3,171,0.34807,139,-0.1144,86,-0.8442,167,0.19749,135,-0.1589
ENSG00000066136,NFYC,34,0.46775,29,0.04676,20,-0.4879,37,0.44278,14,-1.1131
ENSG00000127124,HIVEP3,14,-0.5719,23,0.40339,5,-2.0435,20,0.06028,29,0.75462
ENSG00000198815,FOXJ3,49,0.33518,46,0.18245,25,-0.7700,32,-0.4193,36,-0.2481
ENSG00000177181,RIMKLA,45,-0.0705,69,0.82875,17,-1.4896,31,-0.6234,39,-0.3047
ENSG00000127125,PPCS,78,0.82423,41,-0.6084,43,-0.4080,54,-0.0844,44,-0.4087
ENSG00000186409,CCDC30,66,-0.2050,81,0.24052,81,0.18776,21,-1.8623,92,0.44730
ENSG00000065978,YBX1,80,-0.5822,55,-1.1697,226,1.25904,170,0.76608,142,0.52602
ENSG00000164008,C1orf50,24,0.92640,13,-0.4861,4,-2.0731,22,0.44314,11,-0.6335
ENSG00000177868,SVBP,42,0.54735,33,-0.0473,22,-0.6246,24,-0.5506,28,-0.2893
ENSG00000117394,SLC2A1,22,-1.1227,18,-1.3003,162,2.61832,53,0.51013,33,-0.2779
ENSG00000117395,EBNA1BP2,118,0.87363,90,0.14082,43,-1.0117,54,-0.6909,41,-1.1604
ENSG00000066322,ELOVL1,24,0.89582,3,-2.5850,34,1.13921,20,0.25231,13,-0.4620
ENSG00000159479,MED8,30,1.05434,18,-0.1781,18,-0.1379,9,-1.1355,9,-1.3238
ENSG00000142949,PTPRF,117,0.33021,112,0.19081,90,-0.1966,101,-0.0166,63,-0.8172
ENSG00000066135,KDM4A,18,0.13929,16,-0.0699,24,0.54774,16,-0.0884,12,-0.4850
ENSG00000126091,ST3GAL3,29,0.39201,16,-0.7866,17,-0.5027,36,0.64230,26,0.09654
