Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000162585,FAAP20,34,0.06197,29,-0.2110,15,-1.2287,27,-0.4380,55,0.98090
ENSG00000157933,SKI,27,0.48661,48,1.38764,8,-1.3916,15,-0.6668,19,-0.1976
ENSG00000157916,RER1,74,0.31742,54,-0.2174,53,-0.2578,69,0.24546,46,-0.5163
ENSG00000157911,PEX10,39,0.92298,7,-1.7995,12,-1.0252,24,-0.0186,24,-0.0106
ENSG00000149527,PLCH2,24,1.31144,6,-1.0265,0,-3.9360,13,0.15091,8,-0.7067
ENSG00000157881,PANK4,6,-1.0582,0,-7.4463,10,-0.2255,19,1.28933,11,-0.1325
ENSG00000157870,PRXL2B,13,-1.7733,33,-0.2403,30,-0.4189,56,0.99007,39,-0.0054
ENSG00000177133,PRDM16-DT,10,-1.1913,51,1.59492,2,-3.3660,8,-1.7732,48,1.86233
ENSG00000158109,TPRG1L,43,-2.1457,94,-0.8571,129,-0.3625,244,1.17146,170,0.07920
ENSG00000116213,WRAP73,10,-0.5180,27,1.13039,21,0.68242,12,-0.2284,9,-0.5983
ENSG00000130764,LRRC47,40,-0.8711,85,0.37295,57,-0.2511,87,0.67016,52,-0.4597
ENSG00000116198,CEP104,81,1.39387,68,0.84067,47,0.24323,18,-1.5785,28,-0.6327
ENSG00000196581,AJAP1,19,-1.2224,49,0.37936,92,1.46760,41,0.11651,24,-0.8424
ENSG00000069424,KCNAB2,20,-3.3125,90,-0.9588,140,-0.2716,266,1.40483,166,-0.0114
ENSG00000116254,CHD5,33,-2.4311,208,0.52512,263,0.92675,161,0.16719,162,0.13462
ENSG00000116251,RPL22,672,0.41927,360,-0.6245,355,-0.6486,415,-0.5699,821,0.81944
ENSG00000116237,ICMT,20,-0.9647,19,-0.9744,35,-0.0347,52,1.00981,29,-0.3711
ENSG00000097021,ACOT7,43,-2.4308,67,-1.6285,172,-0.1904,356,2.04738,95,-1.1935
ENSG00000215788,TNFRSF25,2,-2.6039,30,1.30613,13,-0.0671,17,0.59825,10,-0.5393
ENSG00000171680,PLEKHG5,0,-5.3037,7,-1.2866,19,0.14984,30,1.86883,11,-0.7230
ENSG00000162408,NOL9,18,-0.4635,20,-0.2535,31,0.39825,24,0.03295,27,0.24079
ENSG00000162413,KLHL21,27,0.32887,23,-0.0048,17,-0.4167,19,-0.4349,29,0.44731
ENSG00000041988,THAP3,12,-0.5619,17,0.02969,18,0.08435,23,0.77822,10,-0.9513
ENSG00000007923,DNAJC11,15,-1.2867,35,0.11093,41,0.39507,41,0.66337,25,-0.4046
ENSG00000171735,CAMTA1,149,-1.4200,368,0.08618,627,0.98235,382,0.23137,331,-0.0917
ENSG00000049245,VAMP3,150,2.73201,39,-0.3262,28,-0.8035,10,-2.8467,36,-0.5054
ENSG00000049246,PER3,71,1.36040,35,-0.0391,29,-0.3294,22,-1.0021,32,-0.1826
ENSG00000116288,PARK7,210,-0.5896,136,-1.1952,175,-0.8162,381,0.68335,346,0.29612
ENSG00000116285,ERRFI1,18,-0.5836,22,-0.2505,26,0.03490,33,0.66685,20,-0.4441
ENSG00000162426,SLC45A1,5,-2.5613,30,0.11302,40,0.57761,44,1.25233,13,-1.2313
ENSG00000142599,RERE,122,0.04449,168,0.56137,147,0.33903,97,-0.4576,122,0.03690
ENSG00000074800,ENO1,323,-0.6293,306,-0.6551,290,-0.7354,586,0.61620,526,0.23214
ENSG00000171612,SLC25A33,23,-0.4989,31,0.00704,10,-1.7245,29,-0.1174,51,1.01787
ENSG00000171603,CLSTN1,168,-2.1569,418,-0.6577,941,0.64428,960,1.19423,410,-0.7537
ENSG00000178585,CTNNBIP1,28,-0.2400,12,-1.4661,36,0.18321,31,-0.0828,47,0.69638
ENSG00000162441,LZIC,122,1.21485,77,0.25123,51,-0.3928,41,-1.0159,63,-0.0915
ENSG00000162444,RBP7,66,3.75094,2,-2.6873,10,-0.8257,2,-3.6953,9,-1.1043
ENSG00000130939,UBE4B,57,0.37557,52,0.19466,42,-0.1525,46,-0.0078,35,-0.4720
ENSG00000054523,KIF1B,500,0.37691,587,0.59772,522,0.40194,302,-0.6632,381,-0.1229
ENSG00000142657,PGD,47,-0.3215,37,-0.6731,82,0.59497,75,0.74717,27,-1.2291
ENSG00000241563,CORT,5,-4.6167,0,-7.7930,822,4.61755,40,-1.9738,63,-0.9784
ENSG00000160049,DFFA,86,0.89569,78,0.59190,49,-0.1488,36,-0.8828,49,-0.1636
ENSG00000142655,PEX14,11,-0.7414,8,-1.1511,28,0.71615,22,0.54837,15,-0.2445
ENSG00000120948,TARDBP,107,0.41263,111,0.42650,77,-0.1784,76,-0.2775,75,-0.2256
ENSG00000271895,AL109811.2,12,-0.6642,39,1.32015,34,1.07159,17,-0.1462,7,-1.4979
ENSG00000116649,SRM,39,-0.5404,20,-1.4586,22,-1.3424,76,1.00015,53,0.00932
ENSG00000171824,EXOSC10,45,0.20448,80,1.15907,57,0.57667,33,-0.4507,21,-1.0527
ENSG00000198793,MTOR,30,-0.5581,30,-0.5053,45,0.12696,53,0.61751,35,-0.3039
ENSG00000120942,UBIAD1,29,1.50035,23,0.82714,9,-0.5809,8,-0.9824,6,-1.1759
ENSG00000116661,FBXO2,140,-0.4878,85,-1.2101,61,-1.6949,225,0.50481,263,0.66292
ENSG00000132879,FBXO44,27,-1.6727,82,0.16957,69,-0.1043,109,1.11285,49,-0.7164
ENSG00000116670,MAD2L2,31,1.34428,5,-1.5579,14,-0.1165,12,-0.5427,13,-0.3037
ENSG00000177000,MTHFR,9,-0.9675,47,1.86211,18,0.23579,12,-0.5621,14,-0.2655
ENSG00000011021,CLCN6,41,-0.4980,35,-0.7059,67,0.33585,69,0.59035,44,-0.3719
ENSG00000116685,KIAA2013,42,0.27326,43,0.26726,51,0.55212,31,-0.3075,29,-0.3940
ENSG00000083444,PLOD1,32,0.95998,4,-2.1949,23,0.27550,14,-0.6924,23,0.32516
ENSG00000116688,MFN2,64,-0.8673,104,-0.0327,133,0.37060,130,0.53479,87,-0.3436
ENSG00000116691,MIIP,12,-0.2475,28,1.16450,21,0.64529,10,-0.7281,13,-0.0766
ENSG00000048707,VPS13D,52,-0.6385,63,-0.2663,59,-0.3662,92,0.53108,78,0.06272
ENSG00000162496,DHRS3,16,-0.3284,26,0.51593,13,-0.5436,19,-0.0190,22,0.25025
ENSG00000116731,PRDM2,131,-0.7624,292,0.58348,319,0.73840,214,0.11160,157,-0.4606
ENSG00000189337,KAZN,109,0.63987,84,0.11632,71,-0.1382,77,-0.0346,49,-0.7914
ENSG00000142634,EFHD2,21,-2.1753,101,0.34701,163,1.16181,76,-0.1544,102,0.41527
ENSG00000116138,DNAJC16,23,-0.5959,40,0.32491,49,0.66506,33,0.04727,29,-0.2050
ENSG00000197312,DDI2,31,-0.2539,47,0.43647,60,0.85222,31,-0.2966,32,-0.2162
ENSG00000116786,PLEKHM2,61,-0.9011,88,-0.2409,48,-1.1801,117,0.31306,153,0.75161
ENSG00000065526,SPEN,256,0.90286,337,1.25686,229,0.58486,83,-1.3525,97,-0.8504
ENSG00000116809,ZBTB17,22,0.10978,14,-0.5467,26,0.37842,20,-0.0119,20,-0.0673
ENSG00000037637,FBXO42,13,-0.3351,23,0.62944,15,-0.0456,18,0.28944,11,-0.5978
ENSG00000055070,SZRD1,46,1.07067,25,-0.0695,10,-1.4069,20,-0.6495,29,0.18658
ENSG00000219481,NBPF1,39,1.71499,34,1.14434,12,-0.5034,8,-1.4428,7,-1.4765
ENSG00000159363,ATP13A2,23,-2.3490,25,-2.0652,65,-0.6475,171,1.76134,82,-0.3094
ENSG00000117118,SDHB,50,-0.5146,20,-1.8658,39,-0.8758,99,1.06036,62,-0.1608
ENSG00000117115,PADI2,330,3.05507,99,0.01742,55,-0.8974,12,-3.5746,56,-0.9506
ENSG00000179051,RCC2,21,-0.2850,24,-0.0510,17,-0.6218,29,0.37789,25,0.01231
ENSG00000074964,ARHGEF10L,9,-0.6793,18,0.46382,4,-1.7925,12,-0.3050,24,1.11024
ENSG00000117154,IGSF21,16,-2.3730,57,-0.2987,157,1.39441,93,0.80515,37,-1.0614
ENSG00000159423,ALDH4A1,26,0.35643,22,0.09598,12,-0.8824,15,-0.6601,31,0.76277
ENSG00000127481,UBR4,44,0.08037,74,0.92257,42,-0.0073,41,-0.0768,27,-0.7407
ENSG00000127463,EMC1,26,-0.5050,42,0.29908,39,0.19608,44,0.65141,18,-1.0832
ENSG00000053372,MRTO4,21,-0.9446,40,0.13852,37,0.02399,46,0.60434,31,-0.2753
ENSG00000053371,AKR7A2,35,0.21865,30,-0.0571,23,-0.4584,22,-0.7234,50,0.88395
ENSG00000077549,CAPZB,130,-0.4997,142,-0.3216,177,0.03437,222,0.64519,135,-0.4411
ENSG00000173436,MICOS10,187,-0.7321,109,-1.4853,117,-1.3727,324,0.31057,482,1.02556
ENSG00000158747,NBL1,39,-1.7464,93,-0.3168,162,0.58353,136,0.45541,130,0.24420
ENSG00000169914,OTUD3,9,-1.1126,20,0.23701,17,0.02819,22,0.71114,13,-0.4252
ENSG00000162545,CAMK2N1,1216,-0.3765,996,-0.6497,915,-0.7807,1563,0.09039,2233,0.75359
ENSG00000090432,MUL1,21,0.34376,14,-0.3025,27,0.72557,18,0.06873,9,-1.0191
ENSG00000183114,FAM43B,4,-2.4889,26,0.43893,46,1.43660,21,0.15976,17,-0.3040
ENSG00000158828,PINK1,169,-1.4839,185,-1.2424,359,-0.2243,591,1.00036,444,0.12962
ENSG00000244038,DDOST,25,-0.2390,15,-0.9602,39,0.52389,38,0.79426,14,-1.2150
ENSG00000117245,KIF17,0,-4.8021,3,-2.6622,23,0.11254,36,1.54307,22,0.05740
ENSG00000189410,SH2D5,1,-4.6345,9,-1.8142,25,-0.3380,56,1.96419,24,-0.4325
ENSG00000127483,HP1BP3,368,0.64311,425,0.79659,366,0.54495,160,-1.0495,229,-0.2439
ENSG00000075151,EIF4G3,257,-0.1234,278,0.01112,522,1.06741,286,0.08459,151,-1.0219
ENSG00000117298,ECE1,28,0.95944,22,0.46737,9,-0.9485,7,-1.7487,27,0.91081
ENSG00000076864,RAP1GAP,37,-1.9060,139,0.23443,212,0.94522,157,0.71715,73,-0.8375
ENSG00000090686,USP48,129,0.55269,167,0.91417,128,0.47308,70,-0.6862,63,-0.7172
ENSG00000070831,CDC42,215,0.23786,156,-0.3033,122,-0.6799,230,0.51268,130,-0.6505
ENSG00000184677,ZBTB40,11,-0.2059,29,1.35106,14,0.16090,12,-0.2319,8,-0.7627
ENSG00000173372,C1QA,16,0.14742,15,0.00177,10,-0.5453,6,-1.6967,33,1.66209
ENSG00000173369,C1QB,29,0.94436,7,-1.4218,12,-0.5448,8,-1.6311,35,1.33942
ENSG00000133216,EPHB2,22,0.75930,18,0.31016,21,0.55999,13,-0.3234,7,-1.2818
ENSG00000004487,KDM1A,33,-0.8277,55,0.06632,75,0.56666,63,0.43209,42,-0.4195
ENSG00000169641,LUZP1,26,-2.7299,149,0.05122,163,0.19320,199,0.87374,143,-0.0194
ENSG00000125944,HNRNPR,195,0.49817,161,0.12351,208,0.54680,123,-0.4419,121,-0.3687
ENSG00000117318,ID3,51,2.00565,30,0.62739,0,-5.7254,1,-4.7488,33,0.95365
ENSG00000142676,RPL11,716,0.75473,296,-0.7633,234,-1.1226,363,-0.6297,705,0.72370
ENSG00000011007,ELOA,35,0.30850,44,0.62133,26,-0.2298,25,-0.4316,30,0.00257
ENSG00000057757,PITHD1,90,-0.7173,86,-0.7247,91,-0.6362,177,0.68577,151,0.18109
ENSG00000011009,LYPLA2,8,-1.7752,39,0.72207,26,0.07246,29,0.35861,26,0.10217
ENSG00000117308,GALE,4,-1.4892,11,-0.0419,10,-0.2452,18,1.13677,8,-0.6112
ENSG00000117305,HMGCL,22,0.84619,5,-1.5405,2,-2.5479,14,0.06762,16,0.20068
ENSG00000189266,PNRC2,76,0.42593,47,-0.4006,67,0.17658,57,-0.1457,55,-0.1550
ENSG00000188529,SRSF10,92,0.34957,85,0.17514,121,0.76934,64,-0.3834,57,-0.5081
ENSG00000001461,NIPAL3,337,1.32113,163,-0.1112,244,0.54157,121,-0.8086,94,-1.0558
ENSG00000133226,SRRM1,386,1.04808,583,1.64294,211,-0.1068,117,-1.3562,114,-1.1463
ENSG00000169504,CLIC4,277,3.25559,66,-0.2711,34,-1.2574,8,-3.8399,47,-0.8475
ENSG00000117614,SYF2,157,0.73364,97,-0.1608,108,0.01583,82,-0.5958,112,0.07872
ENSG00000117616,RSRP1,127,0.31605,268,1.58232,175,0.81112,77,-0.7330,34,-1.8807
ENSG00000183726,TMEM50A,107,0.74755,46,-0.7007,72,-0.0167,73,0.01815,50,-0.6383
ENSG00000204178,MACO1,62,0.25389,70,0.43612,84,0.73995,49,-0.1949,31,-0.9426
ENSG00000157978,LDLRAP1,55,3.47773,18,0.31859,2,-2.7680,1,-3.7584,6,-1.5336
ENSG00000117643,MAN1C1,12,-1.7681,28,-0.3138,5,-2.6994,60,1.73300,25,-0.5752
ENSG00000162430,SELENON,32,0.42518,23,-0.1638,34,0.44342,14,-1.1625,38,0.76186
ENSG00000117640,MTFR1L,41,-0.5656,67,0.24640,39,-0.6200,68,0.40931,58,0.01815
ENSG00000117632,STMN1,1059,-0.2256,608,-1.0606,1325,0.15620,1604,0.77818,780,-0.7467
ENSG00000158008,EXTL1,4,-3.2635,34,0.01764,43,0.39040,45,0.72637,38,0.19003
ENSG00000175087,PDIK1L,10,-0.4799,12,-0.2011,23,0.81828,14,0.02170,13,-0.0693
ENSG00000142684,ZNF593,14,-1.3369,15,-1.1177,31,-0.0860,45,0.89498,34,0.11419
ENSG00000142669,SH3BGRL3,163,-0.0129,85,-1.0230,141,-0.2393,184,0.28367,177,0.13666
ENSG00000158062,UBXN11,6,-1.7060,18,-0.0434,13,-0.5382,21,0.33755,29,0.79950
ENSG00000117682,DHDDS,9,-1.2306,5,-1.9098,11,-0.7982,29,1.36039,17,-0.1515
ENSG00000198830,HMGN2,321,1.28896,156,-0.1272,171,0.01988,97,-1.1550,166,-0.0290
ENSG00000117713,ARID1A,104,0.55592,163,1.25699,91,0.25733,52,-0.8540,52,-0.6831
ENSG00000204160,ZDHHC18,13,-0.3357,7,-1.1856,25,0.69795,19,0.45071,13,-0.4071
ENSG00000142751,GPN2,17,-0.0123,29,0.91665,16,-0.0730,19,0.29431,7,-1.4725
ENSG00000090273,NUDC,135,-0.7503,123,-0.8217,122,-0.8352,266,0.63989,254,0.36318
ENSG00000253368,TRNP1,8,-2.4929,12,-1.7347,7,-2.4524,64,1.47383,50,0.46039
ENSG00000090020,SLC9A1,2,-3.1664,10,-0.6260,8,-0.9507,24,1.39859,16,0.12325
ENSG00000142784,WDTC1,20,-0.1366,32,0.59294,13,-0.7883,21,-0.1354,26,0.28156
ENSG00000186501,TMEM222,39,-0.1970,51,0.26459,67,0.71637,41,-0.0975,36,-0.3399
ENSG00000158195,WASF2,176,2.31481,82,0.42750,69,0.14852,10,-3.2877,45,-0.5939
ENSG00000126705,AHDC1,15,-1.4404,72,1.16243,84,1.46012,32,-0.2311,21,-0.8727
ENSG00000126709,IFI6,54,-0.6874,92,0.19606,88,0.13355,99,0.51305,63,-0.4299
ENSG00000009780,FAM76A,25,0.23636,28,0.34646,51,1.40509,10,-1.5121,26,0.27226
ENSG00000117758,STX12,110,0.06661,67,-0.7219,129,0.31923,120,0.30295,83,-0.4317
ENSG00000117751,PPP1R8,44,0.72546,16,-0.9599,38,0.37074,29,-0.0472,20,-0.6709
ENSG00000130775,THEMIS2,22,1.38813,20,1.01763,18,0.85398,6,-1.2977,2,-2.5753
ENSG00000117748,RPA2,31,-0.5681,23,-0.9302,73,0.88957,51,0.45668,32,-0.4786
ENSG00000126698,DNAJC8,252,0.28139,218,0.01836,243,0.19200,204,-0.1305,188,-0.2401
ENSG00000130770,ATP5IF1,188,-1.3780,106,-2.1334,202,-1.1703,673,1.32974,460,0.12514
ENSG00000204138,PHACTR4,81,1.52697,110,1.83440,24,-0.7532,10,-2.4255,24,-0.8045
ENSG00000180098,TRNAU1AP,21,0.24359,29,0.78487,29,0.78382,15,-0.4042,10,-0.9388
ENSG00000120656,TAF12,15,0.40593,2,-2.3894,14,0.22668,12,0.02351,13,0.10102
ENSG00000198492,YTHDF2,68,-0.3646,56,-0.6238,90,0.12356,112,0.78969,53,-0.7843
ENSG00000159023,EPB41,10,-0.6931,31,1.18350,5,-1.5075,15,0.02584,17,0.19624
ENSG00000116350,SRSF4,102,0.42966,112,0.53191,100,0.33686,65,-0.4983,67,-0.3290
ENSG00000116353,MECR,13,-1.2617,15,-0.8849,22,-0.3248,40,1.06261,25,-0.1360
ENSG00000060656,PTPRU,6,-1.6530,30,0.93563,81,3.01700,9,-1.3247,5,-1.7914
ENSG00000162511,LAPTM5,52,0.77722,34,-0.0342,16,-1.1610,12,-1.9413,70,1.45656
ENSG00000162512,SDC3,91,0.04437,170,1.08984,106,0.28782,61,-0.8002,92,0.06647
ENSG00000134644,PUM1,104,-0.4754,218,0.77985,281,1.22739,107,-0.5432,114,-0.3179
ENSG00000060688,SNRNP40,29,0.72709,19,-0.0287,45,1.40827,11,-1.1088,14,-0.5573
ENSG00000121766,ZCCHC17,132,-0.1288,108,-0.4263,212,0.66371,143,0.02528,130,-0.1522
ENSG00000121769,FABP3,24,-1.7761,21,-1.8862,84,0.25181,116,1.40452,53,-0.5294
ENSG00000162517,PEF1,42,-0.7414,31,-1.1501,63,-0.0406,91,0.94246,53,-0.3591
ENSG00000084636,COL16A1,84,0.88214,127,1.48253,54,0.03629,26,-1.4368,39,-0.5280
ENSG00000121753,ADGRB2,37,-2.3335,140,-0.1938,182,0.22231,230,1.05571,133,-0.3019
ENSG00000184007,PTP4A2,1126,2.06719,486,0.16055,439,-0.0041,148,-2.0946,315,-0.5817
ENSG00000121774,KHDRBS1,168,0.34626,133,-0.0776,148,0.10024,138,-0.0156,111,-0.3951
ENSG00000025800,KPNA6,92,-0.0916,100,0.03878,179,1.02278,100,0.05943,55,-0.9665
ENSG00000084652,TXLNA,32,0.43291,36,0.60404,16,-0.6671,22,-0.2877,23,-0.1434
ENSG00000160050,CCDC28B,14,-0.3742,13,-0.5039,6,-1.5207,19,0.14089,27,0.80985
ENSG00000084623,EIF3I,73,-0.3836,35,-1.4537,68,-0.4522,122,0.80489,85,-0.1196
ENSG00000116478,HDAC1,29,1.76434,19,0.65670,13,0.08718,3,-2.4030,11,-0.2452
ENSG00000175130,MARCKSL1,1125,3.00180,230,-0.6012,260,-0.4102,58,-3.1495,198,-0.9051
ENSG00000160058,BSDC1,57,0.13724,62,0.24573,100,1.05298,40,-0.6207,47,-0.2057
ENSG00000160062,ZBTB8A,14,-0.0685,22,0.67034,37,1.52979,10,-0.8052,10,-0.6408
ENSG00000176261,ZBTB8OS,30,-0.4757,31,-0.3723,13,-1.7053,42,0.17457,61,0.82037
ENSG00000162521,RBBP4,116,0.06240,134,0.29707,139,0.35140,116,0.08371,75,-0.6833
ENSG00000134684,YARS,53,-1.2659,30,-2.0031,66,-0.8539,187,1.52801,93,-0.3591
ENSG00000116497,S100PBP,34,1.50187,14,-0.2043,10,-0.7157,11,-0.7678,12,-0.4712
ENSG00000160097,FNDC5,4,-2.6908,7,-1.8523,7,-1.8211,44,1.82174,25,0.00265
ENSG00000121905,HPCA,16,-3.2353,28,-2.3232,95,-0.4953,242,2.07951,92,-0.6034
ENSG00000121900,TMEM54,31,0.03487,14,-1.2370,16,-1.0297,31,0.02581,46,0.74429
ENSG00000116514,RNF19B,9,-0.7259,11,-0.2738,16,0.28297,18,0.78216,9,-0.7257
ENSG00000004455,AK2,73,1.14173,53,0.42243,20,-1.0790,28,-0.8080,39,-0.0999
ENSG00000142920,AZIN2,30,0.40160,16,-0.6298,16,-0.6531,27,0.27159,21,-0.2586
ENSG00000160094,ZNF362,24,0.50784,17,-0.1378,10,-0.8464,18,-0.0222,17,-0.0777
ENSG00000134686,PHC2,74,0.63333,49,-0.1298,70,0.44107,44,-0.4066,43,-0.3637
ENSG00000163866,SMIM12,30,-0.8244,25,-1.0207,36,-0.4889,77,1.34728,30,-0.8487
ENSG00000116544,DLGAP3,6,-2.5511,14,-1.1868,34,0.21961,42,0.92600,36,0.33047
ENSG00000163867,ZMYM6,18,-0.3437,48,1.31914,20,-0.1460,21,-0.1058,16,-0.5647
ENSG00000116560,SFPQ,315,0.35814,556,1.29451,304,0.25744,197,-0.6057,157,-0.8572
ENSG00000146463,ZMYM4,64,0.03290,67,0.11005,90,0.59557,54,-0.3355,62,-0.0018
ENSG00000142687,KIAA0319L,43,-0.5042,77,0.45442,47,-0.3131,69,0.45694,46,-0.4128
ENSG00000020129,NCDN,63,-3.0736,198,-1.2322,386,-0.2049,818,2.12754,205,-1.2750
ENSG00000126067,PSMB2,82,0.09982,32,-1.3538,78,0.00423,103,0.75787,45,-0.9180
ENSG00000142686,C1orf216,20,-2.3388,30,-1.5848,93,0.12413,152,1.84160,45,-1.1035
ENSG00000134698,AGO4,19,0.18466,41,1.49275,26,0.64748,8,-1.4254,17,-0.0600
ENSG00000092847,AGO1,42,-0.0548,65,0.65066,53,0.30428,37,-0.3612,42,-0.0438
ENSG00000126070,AGO3,96,0.72782,170,1.65071,102,0.73819,31,-1.4685,32,-1.2013
ENSG00000116863,ADPRHL2,26,0.61182,1,-3.6599,22,0.29169,19,0.09583,17,-0.1966
ENSG00000054116,TRAPPC3,23,-0.9888,19,-1.1747,35,-0.2647,61,1.10539,35,-0.3149
ENSG00000116871,MAP7D1,251,0.48047,114,-0.8216,159,-0.3141,212,0.22120,158,-0.3612
ENSG00000054118,THRAP3,198,0.45656,175,0.20077,223,0.59945,128,-0.4282,120,-0.4363
ENSG00000196182,STK40,10,-0.6758,25,0.83550,8,-0.9273,16,0.22651,15,0.05184
ENSG00000181817,LSM10,24,-0.6317,5,-2.7769,27,-0.4146,45,0.69061,44,0.41405
ENSG00000116885,OSCP1,7,-1.1774,3,-2.3027,13,-0.2702,26,1.58326,10,-0.7723
ENSG00000116898,MRPS15,26,-1.1171,44,-0.1882,23,-1.1853,69,0.89187,52,0.07317
ENSG00000163873,GRIK3,7,-1.7014,30,0.51610,77,2.27837,16,-0.6751,16,-0.5398
ENSG00000163875,MEAF6,54,-1.0244,68,-0.5774,99,-0.0037,132,0.78383,92,-0.1194
ENSG00000163877,SNIP1,9,-0.7854,16,0.09679,37,1.55178,16,0.11211,7,-1.1283
ENSG00000134697,GNL2,37,0.45866,34,0.23669,16,-0.8933,33,0.34196,16,-0.9569
ENSG00000116922,C1orf109,11,-0.6162,7,-1.1419,14,-0.2090,22,0.77326,15,-0.0772
ENSG00000185090,MANEAL,4,-2.5313,20,0.04107,32,0.80428,28,1.06685,10,-1.0057
ENSG00000196449,YRDC,8,-0.5825,5,-1.1818,8,-0.5243,16,0.80166,12,0.00951
ENSG00000197982,C1orf122,330,1.01014,85,-1.2974,98,-1.0791,141,-0.7336,282,0.67801
ENSG00000188786,MTF1,43,1.77930,24,0.43685,13,-0.4906,8,-1.5860,14,-0.4751
ENSG00000183431,SF3A3,37,-0.4535,66,0.50457,60,0.35255,58,0.48582,24,-1.1321
ENSG00000183520,UTP11,40,0.15242,29,-0.3395,31,-0.2544,41,0.30419,30,-0.3379
ENSG00000116954,RRAGC,61,0.49255,43,-0.1180,71,0.69284,45,-0.0642,24,-1.0869
ENSG00000158315,RHBDL2,43,2.96204,19,0.59053,12,-0.0430,0,-4.5421,4,-1.7162
ENSG00000174574,AKIRIN1,155,0.80115,76,-0.4660,99,-0.0436,94,-0.1907,79,-0.4348
ENSG00000168653,NDUFS5,279,-1.2049,230,-1.4001,363,-0.7086,784,0.87172,709,0.40410
ENSG00000127603,MACF1,460,0.42915,1101,1.95600,351,-0.0637,172,-1.5216,296,-0.3667
ENSG00000090621,PABPC4,83,0.45541,102,0.73906,58,-0.1736,48,-0.6742,67,0.03516
