Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000116138,DNAJC16,21,-0.5007,3,-3.3875,35,0.28847,32,0.14947,17,-0.9340,41,0.60485,30,0.03940,43,0.70459
ENSG00000197312,DDI2,28,-0.6835,82,1.03095,26,-0.8077,34,-0.3845,19,-1.3138,73,0.96532,45,0.03870,40,-0.1307
ENSG00000116786,PLEKHM2,108,-0.2273,66,-0.9821,126,0.00419,193,0.70601,166,0.51511,117,-0.1235,118,-0.0943,100,-0.3828
ENSG00000065526,SPEN,359,1.15068,139,-0.3992,130,-0.5032,85,-1.1518,134,-0.5008,366,1.40413,63,-1.5852,99,-0.9910
ENSG00000055070,SZRD1,28,-0.1008,43,0.58338,59,1.13600,15,-1.0105,33,0.21879,14,-1.1630,60,1.16805,12,-1.3992
ENSG00000159363,ATP13A2,20,-2.2162,103,0.21871,53,-0.8123,98,0.13753,115,0.44841,72,-0.3719,91,0.01807,124,0.58912
ENSG00000117118,SDHB,10,-2.1686,5,-3.1885,87,1.14787,36,-0.2980,39,-0.1969,27,-0.7796,108,1.52357,51,0.26267
ENSG00000117115,PADI2,108,2.08978,3,-3.5417,60,0.99277,26,-0.3554,49,0.74723,5,-2.8356,32,-0.0337,11,-1.7106
ENSG00000117154,IGSF21,7,-3.5154,390,2.87486,36,-1.2709,38,-1.1998,49,-0.8785,53,-0.7720,56,-0.6093,93,0.18947
ENSG00000159423,ALDH4A1,20,-0.5007,3,-3.3420,68,1.47233,24,-0.2490,56,1.31938,7,-2.1052,54,1.06205,8,-2.0527
ENSG00000127481,UBR4,73,0.96469,3,-3.8474,40,-0.0263,11,-1.9424,30,-0.4866,95,1.73824,9,-2.1626,29,-0.5654
ENSG00000127463,EMC1,4,-2.7504,46,0.77941,29,0.00420,20,-0.5517,15,-1.0066,29,0.06037,22,-0.4224,52,1.12662
ENSG00000053372,MRTO4,37,-0.1471,45,0.17722,37,-0.1283,45,0.17537,37,-0.1515,32,-0.4005,31,-0.3904,55,0.57431
ENSG00000053371,AKR7A2,38,0.49956,4,-2.7448,56,1.15496,26,-0.1120,49,1.06585,5,-2.5797,38,0.48325,18,-0.7232
ENSG00000077549,CAPZB,80,-0.8666,148,0.08187,100,-0.5250,77,-0.9335,153,0.14641,116,-0.3386,211,0.65908,197,0.61811
ENSG00000173436,MICOS10,191,-0.4612,379,0.62779,277,0.11695,559,1.29816,209,-0.3608,155,-0.8513,253,-0.0260,221,-0.2590
ENSG00000158747,NBL1,81,-0.7171,31,-2.1526,101,-0.3754,112,-0.2136,132,0.04435,119,-0.1317,220,0.87853,184,0.65595
ENSG00000162545,CAMK2N1,860,-1.2893,2436,0.32403,2283,0.21873,2683,0.48126,2685,0.54759,1369,-0.6364,1412,-0.5371,2058,0.05902
ENSG00000158828,PINK1,187,-0.9157,294,-0.2202,269,-0.3578,532,0.73617,266,-0.4141,282,-0.3147,419,0.34141,463,0.57309
ENSG00000244038,DDOST,0,-6.6568,3,-2.5086,27,0.51681,3,-2.7140,10,-1.0348,12,-0.8184,51,1.61414,43,1.56946
ENSG00000117245,KIF17,5,-1.9679,3,-2.9004,12,-0.8855,45,1.24626,18,-0.2374,20,-0.1076,10,-1.0627,40,1.23540
ENSG00000189410,SH2D5,4,-2.9972,51,0.55019,7,-2.4252,39,0.14438,20,-0.9363,18,-1.1469,69,1.06916,74,1.42331
ENSG00000127483,HP1BP3,465,0.62605,578,0.99429,345,0.13631,195,-0.7470,206,-0.7278,408,0.46465,164,-1.0152,252,-0.3923
ENSG00000075151,EIF4G3,299,0.19082,275,0.05742,180,-0.6054,266,0.00211,118,-1.3369,504,1.24372,119,-1.2263,269,0.02064
ENSG00000076864,RAP1GAP,20,-2.3338,24,-2.0806,38,-1.4078,99,0.05809,69,-0.5647,109,0.23610,169,0.92658,174,1.14213
ENSG00000090686,USP48,133,0.79242,74,-0.1637,69,-0.2661,74,-0.1615,54,-0.7065,110,0.54242,69,-0.2636,77,-0.1143
ENSG00000070831,CDC42,84,-0.9043,146,-0.0431,127,-0.2593,114,-0.4317,114,-0.4725,138,-0.1428,252,0.84523,212,0.63683
ENSG00000004487,KDM1A,12,-2.5089,157,1.44397,94,0.56022,28,-1.2903,40,-0.8490,65,-0.0480,78,0.24443,76,0.24472
ENSG00000169641,LUZP1,76,-1.5352,617,1.88205,70,-1.6490,178,-0.2401,119,-0.9260,298,0.66782,104,-1.0604,202,-0.0474
ENSG00000125944,HNRNPR,160,0.32470,80,-0.7684,169,0.40661,90,-0.5754,114,-0.2378,138,0.09533,108,-0.2989,164,0.40805
ENSG00000142676,RPL11,654,0.40869,718,0.56357,550,0.13015,821,0.78621,569,0.20696,221,-1.3686,652,0.40360,301,-0.8744
ENSG00000011007,ELOA,32,0.06079,6,-2.2953,39,0.37653,28,-0.1461,23,-0.4675,53,1.01128,19,-0.7174,31,0.00808
ENSG00000057757,PITHD1,33,-2.0915,202,0.70420,93,-0.5411,160,0.31477,82,-0.7858,131,0.00159,114,-0.2181,207,0.85518
ENSG00000011009,LYPLA2,11,-1.2090,26,0.03658,22,-0.1888,15,-0.7310,19,-0.4775,15,-0.7975,52,1.22004,40,0.86482
ENSG00000189266,PNRC2,54,-0.2361,101,0.75290,91,0.59378,55,-0.2232,66,0.08802,45,-0.5585,42,-0.6396,64,0.03067
ENSG00000188529,SRSF10,71,-0.3351,228,1.62019,99,0.18493,36,-1.3462,64,-0.5337,74,-0.2875,74,-0.2648,91,0.05514
ENSG00000001461,NIPAL3,153,0.58143,142,0.45693,61,-0.8610,90,-0.2605,91,-0.2651,137,0.45159,56,-0.9747,107,0.00537
ENSG00000133226,SRRM1,1001,2.51213,130,-1.0061,181,-0.5023,141,-0.8816,101,-1.4780,343,0.57620,107,-1.2976,151,-0.8452
ENSG00000117614,SYF2,157,0.31632,74,-0.8632,148,0.22215,116,-0.1673,115,-0.1920,176,0.57255,118,-0.1412,111,-0.2596
ENSG00000117616,RSRP1,30,-1.3538,200,1.69519,36,-1.0879,10,-3.0155,52,-0.5878,81,0.16983,112,0.67680,79,0.11493
ENSG00000183726,TMEM50A,45,-0.5304,30,-1.1432,111,0.90047,61,-0.0592,43,-0.6697,59,-0.1285,69,0.13406,90,0.63582
ENSG00000204178,MACO1,68,0.24364,3,-4.3691,38,-0.6660,48,-0.2951,43,-0.5200,123,1.47979,35,-0.7637,58,0.00413
ENSG00000117643,MAN1C1,18,-1.1150,6,-2.6699,16,-1.2177,26,-0.5312,30,-0.3500,35,-0.0998,49,0.43667,81,1.55502
ENSG00000162430,SELENON,22,-0.1150,3,-3.0871,45,1.04964,9,-1.3660,42,1.05824,17,-0.5827,11,-1.1608,27,0.22884
ENSG00000117640,MTFR1L,29,-0.9664,30,-0.9063,35,-0.6823,58,0.10508,63,0.25612,51,-0.1157,72,0.44812,73,0.54565
ENSG00000117632,STMN1,420,-1.0019,705,-0.2085,451,-0.8950,1056,0.43928,381,-1.2362,1010,0.41350,793,-0.0217,1319,0.93456
ENSG00000158008,EXTL1,8,-2.3021,14,-1.4015,20,-0.9128,28,-0.4159,48,0.52899,29,-0.3557,71,1.09886,51,0.63331
ENSG00000142669,SH3BGRL3,91,-0.6578,71,-1.0418,168,0.30072,216,0.70858,137,-0.0371,94,-0.6637,186,0.46313,170,0.35860
ENSG00000198830,HMGN2,173,0.08094,174,0.08867,204,0.34268,141,-0.2382,172,0.07932,121,-0.5271,270,0.81108,131,-0.3954
ENSG00000117713,ARID1A,77,-0.1078,134,0.79396,108,0.44172,38,-1.1736,50,-0.8458,103,0.40651,113,0.51112,65,-0.4135
ENSG00000090273,NUDC,120,-0.7778,126,-0.7017,240,0.30576,247,0.35236,147,-0.5130,208,0.08781,246,0.34254,246,0.38921
ENSG00000253368,TRNP1,1,-5.3304,54,0.19463,41,-0.2364,66,0.50805,39,-0.3660,33,-0.6100,88,0.99260,66,0.60003
ENSG00000142784,WDTC1,20,-0.4695,3,-3.2668,12,-1.2391,36,0.42796,39,0.64354,22,-0.4224,71,1.57365,20,-0.5242
ENSG00000186501,TMEM222,12,-1.4282,5,-2.6762,31,0.02621,20,-0.6520,27,-0.2157,34,0.19748,47,0.67916,50,0.91165
ENSG00000158195,WASF2,153,1.67746,29,-1.0161,84,0.62696,19,-1.6302,87,0.78117,26,-1.2859,85,0.63373,16,-2.0397
ENSG00000126705,AHDC1,24,-1.5175,103,0.75510,62,-0.0712,59,-0.1337,41,-0.7511,78,0.32731,98,0.66540,64,-0.0190
ENSG00000126709,IFI6,108,0.58885,21,-1.8913,73,-0.0333,69,-0.1270,76,0.03182,70,-0.1212,57,-0.4323,101,0.55672
ENSG00000117758,STX12,35,-1.1342,10,-2.9611,95,0.40842,84,0.20962,78,0.10244,69,-0.1191,99,0.46754,97,0.49884
ENSG00000117751,PPP1R8,29,0.19676,3,-3.1775,46,0.98658,9,-1.4691,29,0.22567,26,0.05874,14,-0.9103,34,0.51700
ENSG00000117748,RPA2,10,-2.2854,204,2.65310,32,-0.6310,30,-0.7020,38,-0.3694,18,-1.5292,38,-0.3447,48,0.02060
ENSG00000126698,DNAJC8,216,-0.1109,348,0.65877,263,0.19773,244,0.08300,153,-0.7053,315,0.55781,132,-0.8724,207,-0.2009
ENSG00000130770,ATP5IF1,116,-1.5319,536,0.87225,345,0.14590,465,0.63198,207,-0.7070,205,-0.7231,351,0.17134,413,0.49404
ENSG00000204138,PHACTR4,130,2.15172,3,-3.7641,54,0.54843,19,-1.0173,30,-0.4199,49,0.45915,18,-1.1066,19,-1.1757
ENSG00000198492,YTHDF2,54,-0.6153,102,0.37420,93,0.23730,59,-0.4873,63,-0.4171,106,0.49843,43,-0.9693,98,0.35868
ENSG00000116350,SRSF4,191,1.20370,151,0.80574,70,-0.4299,72,-0.3769,68,-0.5310,110,0.31606,44,-1.1324,66,-0.5754
ENSG00000116353,MECR,4,-2.3811,33,0.68076,13,-0.8132,36,0.83587,10,-1.2440,15,-0.6477,23,0.09214,40,1.15726
ENSG00000162512,SDC3,100,-0.1382,112,0.02982,121,0.15656,42,-1.4672,163,0.73856,93,-0.2846,88,-0.3477,115,0.08977
ENSG00000134644,PUM1,106,-0.6335,105,-0.6569,127,-0.3616,152,-0.0820,125,-0.4202,243,0.78303,116,-0.4985,207,0.47630
ENSG00000121766,ZCCHC17,100,-0.5059,68,-1.0850,86,-0.7247,183,0.45814,123,-0.2021,178,0.46137,139,0.01114,170,0.37429
ENSG00000121769,FABP3,18,-1.1414,14,-1.4965,23,-0.8039,81,1.22248,17,-1.3673,26,-0.6782,48,0.35115,78,1.36901
ENSG00000162517,PEF1,17,-1.9685,123,1.09444,41,-0.6809,44,-0.5709,66,0.07878,34,-1.0377,95,0.65798,89,0.61028
ENSG00000084636,COL16A1,27,0.37213,7,-1.5715,36,0.85066,17,-0.3253,13,-0.8423,17,-0.4285,39,0.97418,25,0.25827
ENSG00000121753,ADGRB2,52,-1.5973,87,-0.8340,92,-0.7651,107,-0.5202,131,-0.2345,171,0.23297,180,0.28657,264,1.07899
ENSG00000184007,PTP4A2,635,1.80302,125,-0.8958,160,-0.5135,287,0.40297,178,-0.3905,240,0.13332,108,-1.1109,151,-0.6653
ENSG00000121774,KHDRBS1,104,-0.4104,262,1.08803,152,0.18301,98,-0.5110,104,-0.4555,118,-0.2329,156,0.22690,137,0.02059
ENSG00000025800,KPNA6,62,-0.5441,9,-3.2888,79,-0.1672,69,-0.3760,73,-0.3253,131,0.72972,110,0.35497,116,0.49956
ENSG00000084652,TXLNA,28,-0.1243,75,1.50055,36,0.25548,9,-1.8559,29,-0.0605,25,-0.3178,31,0.00203,24,-0.4027
ENSG00000084623,EIF3I,29,-1.5677,136,0.82317,106,0.41255,84,0.04935,59,-0.5651,71,-0.2352,103,0.36475,91,0.19079
ENSG00000175130,MARCKSL1,170,0.72233,63,-0.8364,237,1.29829,90,-0.2982,150,0.58539,36,-1.7706,110,0.01852,77,-0.5780
ENSG00000160058,BSDC1,26,-1.5157,231,2.07151,45,-0.6944,49,-0.5572,54,-0.4608,63,-0.1899,61,-0.2289,65,-0.1405
ENSG00000176261,ZBTB8OS,29,0.06642,11,-1.4171,38,0.52819,34,0.35637,31,0.19282,18,-0.6655,18,-0.6172,37,0.53022
ENSG00000162521,RBBP4,93,-0.2076,117,0.15202,151,0.56952,66,-0.7306,70,-0.7046,113,0.10797,158,0.63809,109,0.04364
ENSG00000134684,YARS,26,-1.7284,98,0.30286,66,-0.3281,46,-0.8761,60,-0.5174,84,0.07304,124,0.68821,122,0.75560
ENSG00000160097,FNDC5,17,-0.8288,3,-3.3555,36,0.34967,57,1.11730,22,-0.4698,28,-0.0448,21,-0.4589,42,0.67891
ENSG00000121905,HPCA,13,-3.3604,117,-0.1266,81,-0.6921,156,0.32389,105,-0.3254,111,-0.2402,156,0.32877,222,1.05825
ENSG00000121900,TMEM54,5,-2.5824,31,0.12771,30,0.08536,42,0.62927,49,1.05827,13,-1.2602,10,-1.5733,34,0.35601
ENSG00000134686,PHC2,32,-0.3932,87,1.20458,29,-0.5857,40,-0.0535,23,-1.0020,37,-0.2170,72,0.89018,40,-0.0685
ENSG00000163866,SMIM12,4,-3.1436,8,-1.9947,19,-0.8053,51,0.73588,20,-0.8030,30,-0.1385,64,1.13771,55,0.98958
ENSG00000116544,DLGAP3,9,-2.6930,43,-0.3376,34,-0.6767,50,-0.1150,72,0.54671,34,-0.7676,124,1.41972,58,0.13776
ENSG00000116560,SFPQ,803,1.93750,142,-0.9525,229,-0.2214,141,-0.9608,169,-0.7518,346,0.50006,184,-0.5554,183,-0.6160
ENSG00000146463,ZMYM4,100,0.62138,16,-2.1406,88,0.41063,58,-0.2598,57,-0.3002,100,0.71372,38,-0.9105,67,-0.0217
ENSG00000142687,KIAA0319L,28,-1.3648,49,-0.5131,40,-0.8347,53,-0.3812,60,-0.2214,73,0.12606,141,1.19619,87,0.43532
ENSG00000020129,NCDN,92,-2.0928,278,-0.4273,147,-1.3945,253,-0.5691,214,-0.8930,280,-0.4521,588,0.77852,834,1.67496
ENSG00000126067,PSMB2,54,-0.3243,20,-1.8090,98,0.62346,55,-0.2961,45,-0.6666,71,0.12361,88,0.44237,92,0.60147
ENSG00000142686,C1orf216,19,-1.9207,29,-1.2712,40,-0.8159,109,0.77366,21,-1.8645,65,-0.0878,85,0.36229,146,1.52692
ENSG00000092847,AGO1,35,-0.4134,49,0.13309,50,0.14623,40,-0.2018,22,-1.1563,62,0.57223,77,0.85741,40,-0.2298
ENSG00000126070,AGO3,73,0.26324,66,0.11802,59,-0.0682,5,-3.5568,61,-0.0300,83,0.54925,101,0.80264,43,-0.6139
ENSG00000054116,TRAPPC3,17,-0.9279,5,-2.5815,27,-0.2827,16,-1.0386,23,-0.5698,22,-0.6436,61,1.04730,69,1.49565
ENSG00000116871,MAP7D1,133,-0.3608,114,-0.6051,148,-0.1936,159,-0.0838,125,-0.4991,197,0.28484,208,0.33947,220,0.49271
ENSG00000054118,THRAP3,228,0.40312,210,0.26957,240,0.49048,87,-1.1002,136,-0.4503,292,0.94486,58,-1.7087,135,-0.4646
ENSG00000181817,LSM10,10,-1.5261,5,-2.4866,41,0.58605,39,0.49215,20,-0.5997,18,-0.7514,69,1.45700,37,0.46861
ENSG00000116898,MRPS15,6,-2.8914,156,2.08960,37,-0.3654,50,0.10359,20,-1.4107,41,-0.2422,64,0.49473,42,-0.2192
ENSG00000163875,MEAF6,39,-1.5152,152,0.57695,55,-1.0187,126,0.26461,73,-0.6382,142,0.52555,95,-0.1785,137,0.45610
ENSG00000197982,C1orf122,115,-0.4448,209,0.50993,239,0.73335,234,0.69764,174,0.23879,50,-1.8076,212,0.52998,110,-0.5573
ENSG00000188786,MTF1,32,0.36485,33,0.41147,29,0.18940,8,-1.7838,27,0.07659,23,-0.1551,30,0.26129,25,-0.0701
ENSG00000183431,SF3A3,37,-0.2282,72,0.83116,19,-1.2734,30,-0.5465,30,-0.6317,62,0.65292,24,-0.8958,55,0.43589
ENSG00000183520,UTP11,26,-0.5226,25,-0.5975,48,0.41244,37,-0.0127,20,-0.9774,73,1.30814,18,-1.1050,34,-0.1746
ENSG00000116954,RRAGC,38,-0.1929,67,0.73134,52,0.32284,19,-1.2113,29,-0.6499,34,-0.3984,36,-0.2524,66,0.79900
ENSG00000174574,AKIRIN1,30,-1.5863,142,0.85510,81,-0.0704,119,0.56170,75,-0.2069,80,-0.0920,67,-0.3481,89,0.09880
ENSG00000168653,NDUFS5,245,-1.1646,378,-0.5023,560,0.11329,985,1.04970,393,-0.4836,374,-0.5687,719,0.51888,659,0.42247
ENSG00000127603,MACF1,1162,2.00016,84,-2.2444,440,0.27924,168,-1.2128,358,-0.0534,529,0.66357,127,-1.6321,154,-1.4331
