Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000116731,PRDM2,175,0.12738,195,0.30143,152,-0.1011,165,0.03079,63,-1.4536,154,-0.0867,75,-1.1893,321,1.15213
ENSG00000189337,KAZN,98,0.85577,58,-0.0095,89,0.68706,59,0.02564,45,-0.3973,34,-0.9157,40,-0.5995,67,0.23228
ENSG00000142634,EFHD2,52,-0.3199,149,1.44092,45,-0.5399,113,1.10963,48,-0.4408,14,-2.4187,36,-0.8936,57,-0.1976
ENSG00000116138,DNAJC16,18,-1.0030,40,0.20009,50,0.54558,36,0.02281,24,-0.5951,44,0.39652,29,-0.3234,34,-0.0899
ENSG00000197312,DDI2,31,0.01576,21,-0.5723,28,-0.1400,42,0.59203,21,-0.5853,28,-0.1553,30,-0.0170,35,0.19697
ENSG00000116786,PLEKHM2,55,-0.9632,139,0.48642,110,0.11204,57,-0.9899,166,0.78850,110,0.12382,124,0.29928,100,-0.0489
ENSG00000065526,SPEN,355,1.95444,98,-0.2915,53,-1.2175,58,-1.1826,45,-1.4734,85,-0.5682,99,-0.2771,240,1.20764
ENSG00000116809,ZBTB17,25,0.06491,21,-0.2125,16,-0.5937,24,-0.0368,34,0.54024,21,-0.2142,22,-0.1639,33,0.51764
ENSG00000037637,FBXO42,17,-0.5625,18,-0.4342,19,-0.3652,40,0.96077,8,-1.7190,19,-0.4433,22,-0.1890,42,0.88806
ENSG00000055070,SZRD1,40,0.40552,46,0.62647,30,-0.0852,14,-1.3495,29,-0.1315,24,-0.4452,45,0.59066,47,0.67400
ENSG00000219481,NBPF1,29,0.65865,17,-0.1893,11,-0.9110,17,-0.2420,12,-0.6721,24,0.41143,31,0.76190,11,-0.8404
ENSG00000159363,ATP13A2,36,-1.7633,200,0.91319,139,0.30454,167,0.70408,148,0.40191,78,-0.6630,87,-0.4393,52,-1.2346
ENSG00000117118,SDHB,30,-1.2716,53,-0.4393,120,0.90074,81,0.27945,58,-0.2995,82,0.28893,90,0.41065,21,-1.8349
ENSG00000117115,PADI2,321,2.46859,59,-0.5486,32,-1.4694,24,-2.0379,42,-1.0641,49,-0.9019,152,0.98595,87,0.05986
ENSG00000179051,RCC2,4,-2.4191,25,0.38983,31,0.73660,33,1.00235,25,0.38813,11,-0.9272,11,-0.9082,12,-0.7096
ENSG00000074964,ARHGEF10L,13,-0.7499,23,0.06423,19,-0.1765,17,-0.4478,40,0.97784,17,-0.3906,17,-0.3641,37,0.88618
ENSG00000117154,IGSF21,39,-0.9058,47,-0.6254,49,-0.5606,113,0.94329,70,0.01753,71,0.03706,61,-0.1989,62,-0.1923
ENSG00000159423,ALDH4A1,24,-0.6245,53,0.59873,25,-0.6134,19,-1.0592,58,0.75254,34,-0.1349,75,1.20460,24,-0.6316
ENSG00000127481,UBR4,45,0.94263,23,-0.1566,23,-0.1785,20,-0.4208,7,-1.9188,23,-0.1943,34,0.44417,38,0.63826
ENSG00000127463,EMC1,31,-0.4511,31,-0.4222,47,0.22194,56,0.59790,36,-0.1911,49,0.32336,36,-0.2235,18,-1.2316
ENSG00000053372,MRTO4,15,-1.3724,47,0.37899,29,-0.3823,62,1.00395,33,-0.1755,36,-0.0815,30,-0.3565,22,-0.8106
ENSG00000053371,AKR7A2,49,0.22669,27,-0.7061,34,-0.3409,38,-0.2171,45,0.08143,43,0.04134,82,1.09142,26,-0.7425
ENSG00000077549,CAPZB,115,-0.5036,138,-0.2203,204,0.40488,158,-0.0087,175,0.14901,151,-0.0985,173,0.13252,168,0.08478
ENSG00000173436,MICOS10,111,-1.2597,148,-0.8254,329,0.43366,165,-0.7247,383,0.68988,372,0.74502,338,0.48162,134,-0.9840
ENSG00000158747,NBL1,76,-1.1734,227,0.54395,155,-0.0773,205,0.42585,164,0.00767,127,-0.4391,152,-0.1076,191,0.25832
ENSG00000169914,OTUD3,13,-0.3692,26,0.69074,9,-0.9882,27,0.88145,14,-0.2545,11,-0.6933,14,-0.2747,16,-0.0467
ENSG00000162545,CAMK2N1,840,-1.3134,1326,-0.6175,1442,-0.4868,1200,-0.8434,1683,-0.2452,3680,1.26208,2245,0.21693,2337,0.28184
ENSG00000090432,MUL1,14,-0.4762,24,0.38036,16,-0.2469,20,0.06336,14,-0.4851,28,0.69344,16,-0.2371,11,-0.8161
ENSG00000158828,PINK1,199,-1.0663,478,0.31069,497,0.37391,444,0.21537,448,0.20581,421,0.11809,376,-0.0767,218,-0.9232
ENSG00000244038,DDOST,11,-1.6317,13,-1.3704,62,1.12236,34,0.12007,27,-0.2410,43,0.58635,31,-0.0405,18,-0.8150
ENSG00000117245,KIF17,6,-2.1926,29,0.18552,14,-0.8741,44,1.07421,12,-1.1972,35,0.59707,19,-0.4921,17,-0.6011
ENSG00000189410,SH2D5,6,-3.3156,58,-0.0160,72,0.32469,87,0.72827,47,-0.3588,88,0.75810,26,-1.2395,31,-0.9867
ENSG00000127483,HP1BP3,383,0.65049,238,-0.1282,189,-0.4885,274,0.11174,159,-0.7547,217,-0.3054,253,-0.0276,373,0.60798
ENSG00000075151,EIF4G3,203,0.31826,124,-0.4692,158,-0.0850,201,0.33990,145,-0.2264,144,-0.2595,93,-0.9098,256,0.70679
ENSG00000117298,ECE1,30,1.02298,19,0.28214,10,-0.7812,16,-0.0767,6,-1.4843,5,-1.9476,24,0.60317,33,1.17845
ENSG00000076864,RAP1GAP,54,-1.1410,146,0.39974,155,0.50367,179,0.86490,71,-0.7480,109,-0.0738,64,-0.8855,73,-0.6880
ENSG00000090686,USP48,125,0.96561,46,-0.6539,55,-0.3901,70,0.00803,67,-0.0649,62,-0.2081,40,-0.8721,102,0.61627
ENSG00000070831,CDC42,179,-0.2540,219,0.06826,263,0.36551,285,0.57690,209,-0.0056,192,-0.1540,179,-0.2507,94,-1.2354
ENSG00000004487,KDM1A,22,-1.3253,29,-0.9563,60,0.18807,74,0.61962,88,0.83382,54,0.03909,41,-0.4028,35,-0.6458
ENSG00000169641,LUZP1,47,-1.2876,145,0.45878,108,-0.0229,136,0.40637,101,-0.1262,76,-0.6213,61,-0.8943,206,1.05859
ENSG00000125944,HNRNPR,176,0.46856,77,-0.8425,148,0.18352,150,0.22638,111,-0.2753,160,0.35728,112,-0.2612,77,-0.8368
ENSG00000117318,ID3,37,0.80570,1,-4.4054,0,-8.4290,2,-3.5460,0,-8.0082,0,-6.9324,104,2.87684,83,2.33366
ENSG00000142676,RPL11,550,0.53738,170,-1.3040,331,-0.2873,192,-1.2139,386,-0.0437,506,0.45667,686,0.91233,442,0.17751
ENSG00000011007,ELOA,42,0.66844,24,-0.2236,13,-1.1745,30,0.13264,24,-0.2117,25,-0.1998,13,-1.1429,52,1.04774
ENSG00000057757,PITHD1,122,-0.6688,159,-0.2614,271,0.60735,257,0.59750,253,0.48745,175,-0.1263,111,-0.8144,94,-1.0761
ENSG00000011009,LYPLA2,16,-0.6198,22,-0.1584,22,-0.1506,30,0.37570,26,0.11212,30,0.37599,21,-0.2268,16,-0.6242
ENSG00000117305,HMGCL,11,-0.5720,15,-0.0894,16,-0.0190,11,-0.6334,9,-0.8353,26,0.90615,27,0.82335,9,-0.8966
ENSG00000189266,PNRC2,58,-0.1137,29,-1.1781,61,-0.0415,70,0.18649,52,-0.2854,69,0.18041,83,0.45222,66,0.07664
ENSG00000188529,SRSF10,87,0.45090,44,-0.6221,77,0.24350,64,-0.0525,45,-0.6047,77,0.27628,63,-0.0755,62,-0.0911
ENSG00000001461,NIPAL3,308,1.86557,107,-0.0005,100,-0.0973,95,-0.1987,82,-0.4129,52,-1.1923,71,-0.6291,102,-0.0618
ENSG00000133226,SRRM1,535,2.01418,92,-0.9682,60,-1.6206,92,-1.0647,62,-1.5721,78,-1.3249,75,-1.2791,560,2.11090
ENSG00000169504,CLIC4,244,3.07166,27,-0.9347,18,-1.5612,16,-1.8583,30,-0.8052,6,-3.1428,71,0.57954,66,0.44770
ENSG00000117614,SYF2,136,0.55539,77,-0.3495,84,-0.2292,61,-0.7895,44,-1.2232,112,0.26419,128,0.45371,153,0.75683
ENSG00000117616,RSRP1,114,0.51132,62,-0.4748,102,0.32582,117,0.64037,45,-0.9488,62,-0.5098,76,-0.1551,77,-0.1314
ENSG00000183726,TMEM50A,61,-0.5446,68,-0.3890,86,-0.0126,91,0.08796,66,-0.4405,127,0.71858,104,0.28840,48,-0.9268
ENSG00000204178,MACO1,71,0.56504,40,-0.3552,50,0.01120,46,-0.1690,23,-1.2121,52,0.05267,31,-0.7442,92,1.00585
ENSG00000117643,MAN1C1,16,-1.7243,26,-1.0091,74,0.64507,60,0.35382,47,-0.0917,66,0.52237,35,-0.5285,47,-0.0847
ENSG00000162430,SELENON,27,-0.4407,27,-0.4269,23,-0.6702,30,-0.2872,36,0.01427,43,0.36813,50,0.56089,45,0.38907
ENSG00000117640,MTFR1L,52,-0.8133,103,0.25659,102,0.23595,102,0.26269,118,0.47916,80,-0.1809,76,-0.2372,67,-0.4344
ENSG00000117632,STMN1,782,-0.7403,1132,-0.1624,1589,0.38612,1719,0.59635,1430,0.21298,1437,0.25057,779,-0.7443,510,-1.3890
ENSG00000158008,EXTL1,11,-2.3226,98,0.98665,39,-0.5139,75,0.60151,67,0.33201,41,-0.4602,52,-0.0638,42,-0.3920
ENSG00000175087,PDIK1L,15,-0.0415,18,0.19035,34,1.28694,21,0.52283,4,-2.0399,9,-0.8472,19,0.27815,7,-1.2233
ENSG00000142684,ZNF593,4,-2.6407,29,0.12189,43,0.76447,32,0.33560,17,-0.7064,32,0.33986,19,-0.5400,27,0.01482
ENSG00000142669,SH3BGRL3,161,0.08871,185,0.31241,144,-0.0953,209,0.59088,217,0.57823,102,-0.6927,122,-0.3514,75,-1.1091
ENSG00000158062,UBXN11,11,-1.0419,35,0.71661,14,-0.7682,13,-0.9654,36,0.77995,24,0.14346,39,0.88256,16,-0.4959
ENSG00000117682,DHDDS,11,-0.7352,29,0.77336,35,1.07985,19,0.12388,18,-0.0513,10,-0.9939,11,-0.7116,18,0.02602
ENSG00000198830,HMGN2,315,0.46645,129,-0.9416,255,0.11990,159,-0.6917,183,-0.4043,264,0.19949,421,0.95727,219,-0.1241
ENSG00000117713,ARID1A,116,0.66724,62,-0.3468,56,-0.5047,89,0.25734,36,-1.1789,72,-0.1212,102,0.44873,79,0.02578
ENSG00000204160,ZDHHC18,12,-0.7181,21,0.10361,22,0.15630,31,0.83629,5,-2.1189,19,-0.0891,16,-0.2911,22,0.19444
ENSG00000142751,GPN2,29,0.72730,23,0.28937,9,-1.1306,20,0.13051,23,0.34862,19,0.04254,16,-0.2889,9,-1.0828
ENSG00000090273,NUDC,132,-0.8516,183,-0.3473,325,0.57804,189,-0.3268,364,0.77249,273,0.33046,196,-0.2422,156,-0.5922
ENSG00000253368,TRNP1,9,-2.7578,51,-0.2266,87,0.62931,74,0.41800,115,1.10817,60,0.02391,39,-0.6347,22,-1.5167
ENSG00000090020,SLC9A1,8,-1.5791,55,1.54562,17,-0.4432,36,0.93938,18,-0.3391,12,-0.9858,6,-1.8678,21,-0.0446
ENSG00000142784,WDTC1,24,-0.7191,61,0.78555,24,-0.7145,40,0.11033,39,0.04285,37,-0.0306,45,0.28271,31,-0.3206
ENSG00000186501,TMEM222,53,-0.0215,87,0.79681,55,0.04807,52,-0.0407,63,0.27306,46,-0.2774,40,-0.4536,41,-0.4220
ENSG00000158195,WASF2,152,1.86953,41,-0.3761,24,-1.1884,21,-1.4613,34,-0.6681,31,-0.8604,59,0.20797,106,1.19254
ENSG00000126705,AHDC1,38,-0.3294,76,0.78233,41,-0.2105,57,0.33601,37,-0.3695,37,-0.4267,51,0.11884,41,-0.2185
ENSG00000126709,IFI6,112,-0.0139,166,0.62917,165,0.62496,143,0.43428,98,-0.2310,48,-1.4228,115,0.03509,92,-0.3256
ENSG00000009780,FAM76A,25,0.05037,12,-1.0323,20,-0.2632,29,0.31876,21,-0.2003,29,0.32380,14,-0.8469,34,0.52900
ENSG00000117758,STX12,115,0.04559,104,-0.1140,145,0.42105,120,0.12645,117,0.07919,116,0.06417,110,-0.0224,55,-1.1011
ENSG00000117751,PPP1R8,40,0.22159,31,-0.1671,42,0.29607,49,0.63405,32,-0.1520,27,-0.4361,37,0.08522,15,-1.2929
ENSG00000117748,RPA2,31,-0.6319,18,-1.4453,51,0.16897,63,0.58919,41,-0.1959,63,0.58023,41,-0.1744,27,-0.8149
ENSG00000126698,DNAJC8,176,0.11024,134,-0.3305,129,-0.3896,150,-0.1610,101,-0.7629,196,0.32194,176,0.11097,237,0.59969
ENSG00000130770,ATP5IF1,130,-1.6615,130,-1.6670,586,0.69522,295,-0.4601,496,0.41568,674,1.11138,364,-0.0877,198,-1.0314
ENSG00000204138,PHACTR4,101,2.24037,30,0.07163,8,-1.8390,9,-1.8346,18,-0.7430,13,-1.3320,20,-0.5575,68,1.44918
ENSG00000180098,TRNAU1AP,31,0.63661,17,-0.3297,19,-0.1229,21,-0.0053,12,-0.7947,29,0.56422,11,-0.9592,20,-0.0762
ENSG00000120656,TAF12,10,-0.6751,12,-0.4817,19,0.24889,18,0.21903,26,0.74329,20,0.39389,14,-0.2828,5,-1.7759
ENSG00000198492,YTHDF2,56,-0.6317,87,0.05607,124,0.64872,133,0.89947,70,-0.2906,68,-0.3664,67,-0.3601,31,-1.5006
ENSG00000116329,OPRD1,2,-2.9487,20,0.44982,13,-0.2683,30,1.29784,8,-0.9164,19,0.43561,4,-1.8407,8,-1.0612
ENSG00000159023,EPB41,6,-1.4920,18,0.07462,11,-0.6511,19,0.20499,11,-0.6238,15,-0.2385,16,-0.0524,39,1.41510
