Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000205090,TMEM240,14,-0.8491,24,0.09273,19,-0.2844,30,0.39486,19,-0.2876,34,0.62269,24,0.06214,25,0.15766,30,0.43941
ENSG00000160075,SSU72,133,0.08194,87,-0.5827,87,-0.5923,121,-0.0792,100,-0.4028,124,-0.0392,211,0.82815,135,0.09780,165,0.42402
ENSG00000228594,FNDC10,33,0.61523,20,-0.2758,19,-0.2949,20,-0.2793,23,-0.0546,11,-1.1473,28,0.29410,18,-0.3728,31,0.41852
ENSG00000272106,AL691432.2,14,-0.4664,8,-1.1352,9,-1.1282,23,0.32897,8,-1.2537,33,0.96924,14,-0.4502,34,1.01104,36,1.11133
ENSG00000197530,MIB2,24,-0.1084,23,-0.1828,11,-1.2662,39,0.67512,31,0.33001,16,-0.7128,23,-0.1402,30,0.23549,30,0.24812
ENSG00000248333,CDK11B,30,-0.2795,50,0.57514,58,0.82559,26,-0.4393,32,-0.1620,46,0.43351,28,-0.3269,40,0.21789,13,-1.5216
ENSG00000189339,SLC35E2B,16,-0.1620,14,-0.4123,19,0.12148,25,0.49782,23,0.39696,18,-0.0384,24,0.45867,4,-2.0720,16,-0.1360
ENSG00000008128,CDK11A,26,0.32518,52,1.48596,28,0.45571,19,-0.1630,13,-0.7856,21,-0.0230,7,-1.6582,19,-0.1840,10,-1.0715
ENSG00000215790,SLC35E2A,24,-0.1521,25,-0.0696,21,-0.3381,30,0.19077,20,-0.4356,25,-0.0764,21,-0.3697,40,0.66197,39,0.63505
ENSG00000008130,NADK,20,-0.2300,18,-0.3480,10,-1.2496,28,0.34090,20,-0.1716,24,0.09532,24,0.13376,26,0.23625,37,0.81433
ENSG00000078369,GNB1,629,0.44326,312,-0.7078,373,-0.4332,603,0.32528,432,-0.2266,480,-0.0421,448,-0.1506,513,0.06397,567,0.22374
ENSG00000187730,GABRD,82,-0.6594,110,-0.1515,109,-0.1548,63,-0.9932,112,-0.1309,126,0.06539,254,1.23826,122,0.01033,157,0.41988
ENSG00000067606,PRKCZ,158,-0.1579,127,-0.4823,140,-0.3290,196,0.19484,178,0.05498,173,-0.0035,218,0.36807,177,0.03986,200,0.22844
ENSG00000162585,FAAP20,34,0.77005,8,-1.4965,15,-0.5763,28,0.36573,19,-0.2858,10,-1.2103,11,-1.0902,18,-0.3530,50,1.32987
ENSG00000157933,SKI,46,0.67465,22,-0.5756,36,0.19728,30,-0.1147,29,-0.1802,30,-0.1115,24,-0.4234,48,0.66652,11,-1.5591
ENSG00000157916,RER1,42,-0.1505,35,-0.3984,24,-0.9949,49,0.12836,39,-0.2634,75,0.81745,42,-0.1364,42,-0.1156,72,0.73205
ENSG00000157911,PEX10,21,0.39281,8,-1.0685,15,-0.1917,21,0.41453,13,-0.4445,13,-0.3312,21,0.37858,16,-0.0748,21,0.37417
ENSG00000149527,PLCH2,20,1.05776,11,0.02677,10,-0.1337,7,-0.7556,4,-1.6650,17,0.63096,6,-0.8380,10,-0.2465,15,0.46805
ENSG00000157881,PANK4,6,-1.2607,15,0.00937,9,-0.6394,24,0.83714,11,-0.4271,10,-0.5179,21,0.58705,20,0.48436,24,0.83465
ENSG00000197921,HES5,18,0.43764,12,-0.2537,13,-0.1208,4,-1.8260,4,-1.8055,1,-3.2675,6,-1.1975,58,2.45731,18,0.35354
ENSG00000157870,PRXL2B,41,-0.1374,28,-0.7256,41,-0.1272,35,-0.3382,39,-0.1960,56,0.38786,58,0.44457,43,-0.0584,64,0.60651
ENSG00000177133,PRDM16-DT,31,0.85452,13,-0.6371,14,-0.4807,4,-2.2200,5,-2.1721,0,-4.5447,3,-2.8075,84,2.61588,26,0.44323
ENSG00000142611,PRDM16,23,1.06801,13,0.02991,21,0.73362,1,-3.5087,3,-2.0110,0,-5.2327,2,-2.6879,44,2.12615,9,-0.5440
ENSG00000158109,TPRG1L,131,-0.4619,122,-0.5374,136,-0.3680,222,0.41247,187,0.14741,169,-0.0321,213,0.34391,141,-0.3153,253,0.62523
ENSG00000116213,WRAP73,9,-0.3844,17,0.66707,2,-2.1162,14,0.32251,8,-0.4638,18,0.75145,15,0.49594,7,-0.7494,15,0.46390
ENSG00000130764,LRRC47,52,-0.5794,50,-0.5950,44,-0.7607,81,0.16736,76,0.08180,89,0.31690,96,0.43424,91,0.36415,94,0.41315
ENSG00000116198,CEP104,21,-0.5660,49,0.84319,32,0.14451,23,-0.3799,45,0.81206,23,-0.3791,17,-0.7770,31,0.09283,13,-1.1573
ENSG00000198912,C1orf174,9,-0.5607,13,0.06298,18,0.48383,17,0.45734,14,0.15589,11,-0.2228,8,-0.7635,9,-0.5007,19,0.60553
ENSG00000196581,AJAP1,38,-0.3130,54,0.24812,54,0.24020,33,-0.4992,41,-0.1950,78,0.84865,20,-1.2785,65,0.56125,44,-0.0684
ENSG00000069424,KCNAB2,193,0.29109,108,-0.6509,109,-0.6379,151,-0.1246,131,-0.3768,198,0.30823,225,0.50976,164,0.00143,198,0.30578
ENSG00000116254,CHD5,223,-0.1463,330,0.49779,321,0.45423,292,0.29812,280,0.25660,231,-0.0785,198,-0.3161,185,-0.4230,104,-1.3006
ENSG00000116251,RPL22,543,0.73944,238,-0.6609,287,-0.3740,271,-0.4624,367,0.01394,285,-0.3866,273,-0.4497,417,0.21533,417,0.21579
ENSG00000116237,ICMT,31,-0.2620,24,-0.6287,25,-0.5583,16,-1.2091,35,-0.0179,57,0.74722,57,0.74700,29,-0.3153,54,0.65534
ENSG00000097021,ACOT7,70,-1.6035,135,-0.5085,127,-0.6096,246,0.43656,128,-0.6456,306,0.79936,426,1.37775,125,-0.6314,301,0.77317
ENSG00000215788,TNFRSF25,10,-0.8414,28,0.83660,2,-3.1102,19,0.16869,13,-0.4125,37,1.28134,9,-0.9297,21,0.37859,23,0.47616
ENSG00000171680,PLEKHG5,26,0.38026,20,-0.1378,14,-0.6860,13,-0.7704,12,-0.9349,23,0.13613,40,1.03723,23,0.14382,25,0.23846
ENSG00000162408,NOL9,32,0.15571,41,0.57813,39,0.49892,19,-0.6724,33,0.21503,19,-0.6045,19,-0.6761,25,-0.2427,27,-0.1020
ENSG00000162413,KLHL21,19,-0.4379,19,-0.4188,17,-0.6061,28,0.14538,19,-0.4780,21,-0.2593,34,0.46555,39,0.70611,42,0.84143
ENSG00000116273,PHF13,12,-0.4971,16,-0.0888,13,-0.3862,21,0.38100,19,0.24691,24,0.57733,15,-0.1960,20,0.25392,12,-0.4917
ENSG00000041988,THAP3,10,-0.6193,14,-0.0947,10,-0.6300,19,0.37131,12,-0.4073,15,-0.0069,21,0.50390,23,0.67165,20,0.40805
ENSG00000007923,DNAJC11,28,-0.3196,36,0.08978,40,0.24744,46,0.46120,38,0.18973,20,-0.7860,24,-0.5303,37,0.12928,40,0.23320
ENSG00000171735,CAMTA1,279,-0.6416,452,0.16623,626,0.69912,473,0.23946,486,0.31658,415,0.02992,278,-0.5972,409,0.00584,298,-0.4890
ENSG00000049245,VAMP3,23,0.55076,14,-0.2516,8,-1.1638,17,0.03933,23,0.53825,6,-1.4187,8,-1.0995,17,-0.0162,24,0.53318
ENSG00000049246,PER3,38,0.13350,39,0.17161,39,0.18280,30,-0.2219,18,-1.0798,24,-0.5655,11,-1.6733,96,1.72249,33,-0.1076
ENSG00000116288,PARK7,203,-0.1264,126,-0.8457,126,-0.8486,241,0.15388,172,-0.4070,228,0.07064,259,0.26845,233,0.09975,439,1.15917
ENSG00000116285,ERRFI1,20,-0.4994,29,0.08822,39,0.56296,23,-0.2916,25,-0.1721,32,0.26037,30,0.13531,20,-0.4804,38,0.53145
ENSG00000162426,SLC45A1,10,-1.4876,17,-0.6412,12,-1.1720,39,0.68428,22,-0.2233,34,0.49294,63,1.52482,15,-0.8300,35,0.51981
ENSG00000142599,RERE,129,-0.0002,149,0.23536,137,0.09867,118,-0.1403,129,0.00188,91,-0.5310,101,-0.3703,197,0.69191,106,-0.2949
ENSG00000074800,ENO1,437,0.28825,223,-0.7928,224,-0.7886,392,0.08116,184,-1.1687,438,0.26204,489,0.43957,451,0.30802,635,0.87498
ENSG00000171612,SLC25A33,48,1.35684,17,-0.4773,16,-0.5774,8,-1.6560,13,-0.9941,13,-0.9497,19,-0.3202,35,0.62950,31,0.43350
ENSG00000171608,PIK3CD,5,-1.5222,14,0.24225,6,-1.0918,26,1.24085,17,0.60859,13,0.07024,16,0.44161,3,-1.9688,13,0.05084
ENSG00000171603,CLSTN1,367,-1.0951,564,-0.3599,633,-0.1812,965,0.49622,727,0.04179,1143,0.77882,923,0.42363,742,0.07194,647,-0.1469
ENSG00000178585,CTNNBIP1,32,0.00553,12,-1.4107,12,-1.4186,58,0.99293,51,0.89182,20,-0.6689,18,-0.8950,39,0.33641,22,-0.5232
ENSG00000162441,LZIC,51,0.03208,40,-0.3598,85,0.87123,39,-0.3711,53,0.10376,35,-0.5682,25,-1.0397,75,0.66091,42,-0.2553
ENSG00000130939,UBE4B,35,-0.4061,50,0.20281,42,-0.0760,42,-0.0683,46,0.08360,56,0.37718,52,0.27931,36,-0.2934,43,-0.0117
ENSG00000054523,KIF1B,354,-0.4012,572,0.39652,721,0.77954,411,-0.1306,563,0.41737,382,-0.2448,399,-0.1806,371,-0.2907,226,-1.0485
ENSG00000284642,AL139424.2,7,-1.1409,16,0.27501,7,-0.9340,21,0.66770,23,0.91724,12,-0.1640,16,0.23908,7,-0.9664,12,-0.1647
ENSG00000142657,PGD,37,-0.5688,41,-0.3629,47,-0.1513,70,0.48773,39,-0.4874,52,0.00734,90,0.90154,40,-0.4041,78,0.65640
ENSG00000175279,CENPS,6,-0.8771,12,0.25664,17,0.85528,8,-0.3732,6,-0.7578,10,0.07457,11,0.16111,15,0.69214,12,0.29663
ENSG00000241563,CORT,11,-0.6613,6,-1.4339,5,-1.8529,4,-1.9717,12,-0.4975,17,0.01405,33,1.07513,24,0.58624,49,1.79059
ENSG00000160049,DFFA,51,0.35710,40,-0.0847,60,0.57857,25,-0.8060,45,0.14955,24,-0.8377,35,-0.2584,40,-0.0791,43,0.05087
ENSG00000142655,PEX14,11,-0.9943,15,-0.5482,16,-0.4498,28,0.42782,20,-0.0927,16,-0.3768,34,0.77605,30,0.55221,31,0.58970
ENSG00000120948,TARDBP,54,-0.6536,99,0.34641,79,-0.0263,75,-0.1045,86,0.13365,92,0.23302,72,-0.1550,97,0.30274,84,0.07896
ENSG00000271895,AL109811.2,7,-0.7553,22,1.03948,7,-0.7964,13,0.20772,6,-0.9851,16,0.47787,19,0.72566,12,0.07970,12,0.06222
ENSG00000116649,SRM,42,-0.1965,31,-0.6636,26,-0.8874,60,0.37118,40,-0.2848,48,0.01087,68,0.56936,55,0.22907,69,0.61060
ENSG00000171824,EXOSC10,21,-0.4347,58,1.28566,22,-0.3002,25,-0.1296,19,-0.5931,29,0.10954,22,-0.2987,32,0.28718,28,0.05692
ENSG00000198793,MTOR,27,-0.6001,51,0.43297,33,-0.2703,52,0.47954,29,-0.4992,54,0.53970,45,0.24324,37,-0.0715,42,0.13214
ENSG00000116661,FBXO2,204,0.71382,71,-1.0388,62,-1.2247,129,-0.1144,89,-0.7538,160,0.22253,234,0.85445,85,-0.7515,200,0.58915
ENSG00000132879,FBXO44,45,-0.7826,71,-0.0230,53,-0.4867,93,0.40417,75,0.07811,93,0.40936,89,0.33876,69,-0.0593,84,0.23711
ENSG00000116670,MAD2L2,14,0.61604,4,-1.1921,5,-0.8010,4,-1.4004,5,-0.9570,14,0.59947,6,-0.7866,14,0.57441,21,1.27221
ENSG00000177000,MTHFR,15,-0.3888,26,0.51454,17,-0.1735,21,0.12023,25,0.49935,22,0.24020,21,0.12788,13,-0.6001,9,-1.0736
ENSG00000011021,CLCN6,61,-0.2775,62,-0.2403,47,-0.6569,113,0.73495,88,0.36803,69,-0.0597,71,-0.0183,66,-0.1382,64,-0.1796
ENSG00000116685,KIAA2013,24,-0.1751,25,-0.0560,24,-0.1241,17,-0.6091,23,-0.2396,40,0.69987,23,-0.2186,23,-0.2258,42,0.77584
ENSG00000083444,PLOD1,14,-0.1232,14,-0.0378,13,-0.1955,14,-0.0596,9,-0.7642,14,-0.1169,22,0.59325,19,0.35728,21,0.56859
ENSG00000116688,MFN2,94,-0.3678,103,-0.1937,87,-0.4671,166,0.57222,100,-0.2631,137,0.25438,158,0.49125,98,-0.2698,145,0.35152
ENSG00000048707,VPS13D,54,-0.6678,114,0.56086,76,-0.0805,111,0.52668,77,-0.0676,108,0.48216,79,-0.0159,72,-0.1697,59,-0.4716
ENSG00000162496,DHRS3,33,1.29432,13,-0.3370,11,-0.5698,3,-2.3906,4,-2.2847,6,-1.3938,42,1.54330,16,-0.1094,19,0.17207
ENSG00000116731,PRDM2,128,-0.7965,318,0.70443,456,1.33283,175,-0.2533,195,-0.0947,259,0.36524,114,-0.9128,194,-0.0923,102,-1.0756
ENSG00000189337,KAZN,43,-0.5901,64,0.06705,48,-0.4016,75,0.30573,68,0.16975,58,-0.1030,98,0.74344,58,-0.0833,55,-0.1753
ENSG00000142634,EFHD2,32,-1.6280,76,-0.2385,57,-0.6885,295,2.10115,136,0.79152,56,-0.7034,73,-0.3038,24,-1.9754,59,-0.6287
ENSG00000116138,DNAJC16,27,-0.6539,53,0.49029,36,-0.1482,48,0.33125,51,0.46171,43,0.15305,41,0.05512,34,-0.2251,22,-0.8886
ENSG00000197312,DDI2,17,-1.3427,49,0.37307,52,0.47492,46,0.29021,49,0.44415,43,0.17469,36,-0.1094,38,-0.0351,28,-0.4897
ENSG00000116786,PLEKHM2,136,0.57186,61,-0.7601,93,-0.0956,99,-0.0111,117,0.29197,45,-1.2007,92,-0.1267,87,-0.2068,110,0.16606
ENSG00000065526,SPEN,99,-0.4194,272,1.27313,348,1.73134,82,-0.6707,97,-0.4555,111,-0.2049,30,-2.1837,99,-0.3927,60,-1.1573
ENSG00000116809,ZBTB17,17,-0.0481,20,0.21299,9,-0.9763,16,-0.1166,26,0.70224,10,-0.7805,9,-1.0192,19,0.10469,24,0.47110
ENSG00000037637,FBXO42,15,-0.5956,33,0.75504,20,-0.0847,24,0.21997,17,-0.3686,16,-0.4243,11,-0.9804,28,0.47473,35,0.82479
ENSG00000055070,SZRD1,42,1.35976,11,-0.9766,14,-0.5527,15,-0.5343,14,-0.6115,7,-1.5226,19,-0.1146,34,0.76435,16,-0.4167
ENSG00000219481,NBPF1,10,-0.0011,19,0.96550,13,0.43825,8,-0.4351,10,0.00064,8,-0.3472,6,-0.7080,3,-1.7319,14,0.51538
ENSG00000058453,CROCC,6,-0.7658,17,0.82653,5,-0.8721,14,0.56990,12,0.34508,4,-1.3244,6,-0.7701,12,0.25437,15,0.60773
ENSG00000159363,ATP13A2,64,-0.7724,76,-0.4500,61,-0.7736,121,0.28592,129,0.43779,108,0.10393,172,0.86930,58,-0.8484,131,0.40960
ENSG00000117118,SDHB,35,-0.7639,31,-0.8713,28,-1.0570,67,0.32393,32,-0.9102,65,0.25792,95,0.89712,81,0.62422,105,1.05728
ENSG00000117115,PADI2,81,1.55706,22,-0.7692,26,-0.5107,7,-2.3931,28,-0.4673,8,-2.2832,9,-2.1081,76,1.19665,40,0.10660
ENSG00000179051,RCC2,17,-0.4341,18,-0.3331,29,0.40345,23,0.04201,23,0.02171,24,0.08354,41,0.98029,15,-0.6165,17,-0.4282
ENSG00000074964,ARHGEF10L,19,0.26525,15,-0.1222,11,-0.6039,20,0.28300,13,-0.4125,6,-1.3886,17,0.02534,32,1.03215,17,0.03357
ENSG00000117154,IGSF21,52,-0.2560,54,-0.1511,41,-0.6034,50,-0.2939,65,0.13761,60,0.00092,122,1.17123,32,-0.9697,68,0.20776
ENSG00000159423,ALDH4A1,35,1.43425,4,-1.9846,16,-0.0198,6,-1.4672,10,-0.7747,1,-3.3926,11,-0.6176,27,0.80386,26,0.71806
ENSG00000169991,IFFO2,8,-0.2379,11,0.26208,9,-0.0327,8,-0.1549,11,0.26555,14,0.65077,7,-0.3575,8,-0.1422,6,-0.6245
ENSG00000127481,UBR4,22,-0.7963,82,1.36451,97,1.67366,27,-0.4678,23,-0.7255,37,0.04619,19,-1.0006,33,-0.1583,12,-1.6630
ENSG00000127463,EMC1,27,-0.3580,40,0.30435,29,-0.1892,35,0.09750,21,-0.7377,44,0.46114,37,0.16739,51,0.70798,31,-0.1050
ENSG00000053372,MRTO4,28,-0.5148,27,-0.4863,24,-0.6586,50,0.46886,48,0.46369,42,0.18647,37,-0.0054,37,0.00582,41,0.13668
ENSG00000053371,AKR7A2,28,0.42971,19,-0.2521,7,-1.6163,14,-0.6483,14,-0.7098,12,-0.9320,27,0.33191,33,0.67194,44,1.15344
ENSG00000077549,CAPZB,102,-0.4519,128,-0.0658,113,-0.2601,116,-0.2145,113,-0.2825,182,0.49980,213,0.76264,93,-0.5562,190,0.57366
ENSG00000173436,MICOS10,247,0.24520,93,-1.2951,122,-0.8764,253,0.25254,235,0.15394,167,-0.4025,222,0.04914,174,-0.3348,376,0.91311
ENSG00000158747,NBL1,110,-0.0214,81,-0.4938,77,-0.5872,168,0.65574,107,-0.0761,111,-0.0074,127,0.20870,91,-0.3231,139,0.35466
ENSG00000169914,OTUD3,14,-0.7668,41,0.96443,17,-0.4252,22,-0.0391,31,0.56682,37,0.77560,19,-0.2838,14,-0.7079,9,-1.4290
ENSG00000162545,CAMK2N1,2419,1.02020,895,-0.7127,1281,-0.1582,701,-1.0849,1071,-0.4785,1432,0.01834,864,-0.7675,1926,0.49712,1493,0.08461
ENSG00000090432,MUL1,13,-0.6791,16,-0.4026,18,-0.2124,37,0.98077,21,0.06726,13,-0.6421,23,0.19929,17,-0.2733,31,0.64276
ENSG00000183114,FAM43B,9,-0.9821,15,-0.0550,12,-0.4329,24,0.64423,23,0.66570,14,-0.1380,9,-0.7603,14,-0.2291,23,0.56212
ENSG00000158828,PINK1,308,-0.4548,285,-0.5370,214,-0.9726,394,-0.0292,446,0.18657,435,0.12566,685,0.87615,268,-0.6270,628,0.72873
ENSG00000244038,DDOST,17,-0.5545,25,0.10274,10,-1.2808,25,0.14283,10,-1.3800,27,0.21437,35,0.64701,38,0.78902,43,1.00669
ENSG00000117245,KIF17,10,-1.3288,12,-0.9187,12,-0.8747,89,2.46103,17,-0.4330,30,0.45398,10,-1.2469,11,-1.0104,28,0.33695
ENSG00000189410,SH2D5,31,-0.0516,23,-0.4831,26,-0.3001,20,-0.7052,20,-0.8012,56,0.89636,42,0.43458,41,0.39456,42,0.42694
ENSG00000127483,HP1BP3,205,-0.3561,382,0.67610,449,0.94925,211,-0.2780,235,-0.1209,211,-0.2784,200,-0.3582,302,0.29155,136,-0.9561
ENSG00000075151,EIF4G3,117,-1.3119,472,0.98907,553,1.26717,161,-0.7348,215,-0.3234,402,0.71766,312,0.30196,186,-0.5115,97,-1.4969
ENSG00000117298,ECE1,28,1.11266,17,0.12403,11,-0.5980,8,-0.9800,7,-1.2467,7,-1.0856,8,-0.9377,34,1.29469,15,-0.0211
ENSG00000076864,RAP1GAP,61,-1.2830,124,-0.1139,51,-1.4821,296,1.32884,154,0.25763,147,0.14730,142,0.09852,136,0.03241,143,0.10819
ENSG00000090686,USP48,46,-0.9253,184,1.39901,108,0.49590,92,0.22284,70,-0.2228,82,0.04171,58,-0.4874,78,-0.0274,43,-0.9489
ENSG00000070831,CDC42,109,-0.9349,155,-0.3229,126,-0.6404,303,0.76009,181,-0.0850,287,0.67134,268,0.55874,169,-0.1793,202,0.09678
ENSG00000184677,ZBTB40,9,-0.4545,13,0.23395,14,0.27090,10,-0.2619,9,-0.4693,11,-0.0217,10,-0.2802,26,1.29737,9,-0.4268
ENSG00000133216,EPHB2,4,-1.5446,19,0.74300,16,0.53080,19,0.78255,12,0.01223,14,0.30143,5,-1.1607,9,-0.3754,14,0.24053
ENSG00000004487,KDM1A,26,-1.2391,73,0.41215,80,0.56199,39,-0.5625,37,-0.7241,90,0.74738,81,0.58617,52,-0.1429,80,0.56122
ENSG00000169641,LUZP1,90,-1.2197,250,0.45005,367,1.09923,66,-1.6045,289,0.79316,189,-4.5371,244,0.41674,90,-1.1381,112,-0.8012
ENSG00000125944,HNRNPR,102,-0.3832,151,0.27227,187,0.62662,90,-0.5370,120,-0.0935,171,0.48267,84,-0.6501,167,0.44076,103,-0.3222
ENSG00000125945,ZNF436,7,-0.9480,10,-0.3555,9,-0.4887,21,0.78172,7,-1.0188,26,1.15512,9,-0.4975,29,1.33065,9,-0.5747
ENSG00000088280,ASAP3,9,-0.2701,5,-0.9611,8,-0.3463,8,-0.4393,17,0.93375,3,-1.5539,6,-0.8607,15,0.60329,16,0.69009
ENSG00000142676,RPL11,470,0.75116,136,-1.2886,161,-1.0261,354,0.19163,293,-0.1181,199,-0.7109,224,-0.5266,277,-0.1993,576,0.99933
ENSG00000011007,ELOA,26,-0.1430,29,0.05888,34,0.31318,27,-0.0341,26,-0.1557,37,0.43457,21,-0.4293,44,0.70661,13,-1.1246
ENSG00000057757,PITHD1,89,-0.9652,127,-0.3469,79,-1.0636,179,0.19981,212,0.54017,176,0.17297,187,0.27312,153,-0.0522,235,0.64117
ENSG00000011009,LYPLA2,22,-0.1272,16,-0.5354,14,-0.8141,24,0.03143,30,0.44437,21,-0.1780,26,0.17549,22,-0.1008,31,0.44329
ENSG00000117308,GALE,7,-0.9919,9,-0.5554,6,-1.1244,29,1.19312,10,-0.5098,17,0.29034,15,0.18701,15,0.11374,25,0.95121
ENSG00000117305,HMGCL,15,0.47380,6,-0.9890,9,-0.3135,7,-0.6372,6,-1.1029,10,-0.1887,11,-0.1020,19,0.76968,23,1.09503
ENSG00000179163,FUCA1,4,-1.3274,7,-0.6215,3,-1.8056,15,0.65966,8,-0.3043,22,1.21216,22,1.20873,8,-0.3409,10,0.01659
ENSG00000189266,PNRC2,51,-0.1498,61,0.14514,62,0.16886,56,0.01842,34,-0.8182,78,0.55567,31,-0.8692,74,0.45636,78,0.55246
ENSG00000188529,SRSF10,51,-0.5648,114,0.74574,74,0.04766,83,0.23144,70,-0.0352,74,0.03985,48,-0.6387,83,0.22093,72,-0.0006
ENSG00000001460,STPG1,7,-0.4676,17,0.91603,7,-0.4369,7,-0.5079,5,-0.9302,12,0.38545,14,0.63246,12,0.30091,11,0.22194
ENSG00000001461,NIPAL3,51,-1.3436,130,0.19783,125,0.13500,114,-0.0086,184,0.88250,140,0.31927,98,-0.2572,113,-0.0308,75,-0.6653
ENSG00000133226,SRRM1,153,-0.0911,362,1.35297,255,0.74180,111,-0.5855,151,-0.1134,148,-0.1334,101,-0.7321,112,-0.5719,79,-1.1052
ENSG00000169504,CLIC4,45,1.10226,13,-0.9770,13,-0.9404,12,-1.1465,30,0.30641,6,-2.1519,16,-0.6394,35,0.54067,31,0.32071
ENSG00000117614,SYF2,129,0.28325,100,-0.1487,155,0.54629,92,-0.2793,92,-0.3178,97,-0.2000,70,-0.7030,161,0.61373,96,-0.2239
ENSG00000117616,RSRP1,41,-0.9080,209,1.87748,32,-1.1956,68,-0.0524,44,-0.7913,74,0.08120,42,-0.7890,99,0.54087,81,0.22223
ENSG00000183726,TMEM50A,51,-0.4821,59,-0.1991,45,-0.6135,51,-0.4496,61,-0.1893,91,0.47563,104,0.69764,88,0.43064,81,0.29887
ENSG00000204178,MACO1,29,-1.1091,118,1.19081,89,0.70659,57,-0.0176,44,-0.4664,70,0.32016,47,-0.3041,68,0.28271,36,-0.7093
ENSG00000117643,MAN1C1,43,0.27075,22,-0.8050,21,-0.8323,7,-2.4452,22,-0.8673,62,0.83078,86,1.39706,45,0.29717,35,-0.0923
ENSG00000162430,SELENON,30,0.64556,19,-0.1591,10,-1.1438,13,-0.7588,20,-0.0980,15,-0.4912,18,-0.2480,28,0.47342,28,0.48571
