Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000197530,MIB2,12,-0.9927,7,-1.7602,26,0.19883,8,-1.5812,31,0.51531,34,0.61670,39,0.86159,25,0.13678,22,-0.0763,31,0.52681
ENSG00000248333,CDK11B,101,1.33417,60,0.46580,46,0.04930,59,0.48538,51,0.19081,38,-0.2584,14,-1.7098,46,0.03277,28,-0.7307,18,-1.4421
ENSG00000008128,CDK11A,65,1.94788,43,1.20109,8,-1.4177,16,-0.4080,37,0.95573,28,0.47216,7,-1.5443,6,-1.7932,4,-2.4612,8,-1.4173
ENSG00000215790,SLC35E2A,12,-1.2378,36,0.38720,43,0.68351,12,-1.2869,24,-0.2070,35,0.34819,32,0.22509,30,0.12099,20,-0.4887,39,0.57769
ENSG00000008130,NADK,8,-1.3037,16,-0.2108,15,-0.3291,15,-0.3823,18,-0.0847,29,0.65103,35,0.97092,14,-0.4716,14,-0.4298,24,0.42168
ENSG00000078369,GNB1,232,-1.1641,453,-0.1450,563,0.19705,495,-0.0088,360,-0.5019,442,-0.1849,577,0.23469,847,0.86325,348,-0.5528,578,0.26342
ENSG00000187730,GABRD,23,-2.6703,81,-0.8277,38,-1.9533,138,-0.0014,155,0.17658,108,-0.3819,93,-0.6156,146,0.08508,253,0.97750,244,1.05502
ENSG00000067606,PRKCZ,79,-1.0803,98,-0.7659,173,0.11351,133,-0.3290,165,0.03476,143,-0.1795,184,0.21313,273,0.85594,130,-0.3328,210,0.47655
ENSG00000162585,FAAP20,18,-0.5817,37,0.55926,42,0.75948,7,-1.9430,14,-0.8889,10,-1.4681,47,0.95863,42,0.77270,17,-0.6469,35,0.52709
ENSG00000157933,SKI,37,0.45625,30,0.10258,39,0.53155,26,-0.1083,25,-0.1684,20,-0.5389,40,0.57672,29,0.06783,27,-0.0572,18,-0.7381
ENSG00000157916,RER1,43,-0.1603,20,-1.3001,18,-1.4948,44,-0.1145,28,-0.7868,67,0.53223,71,0.62849,59,0.34826,48,0.00092,65,0.54114
ENSG00000157911,PEX10,16,-0.0956,8,-1.2240,28,0.74521,7,-1.4642,11,-0.6906,22,0.33104,31,0.90976,21,0.30205,6,-1.5100,27,0.74292
ENSG00000157870,PRXL2B,6,-2.7223,16,-1.3242,22,-0.8597,31,-0.4101,41,0.07538,46,0.26029,55,0.54209,56,0.56665,46,0.24607,60,0.77029
ENSG00000177133,PRDM16-DT,15,0.04116,28,0.99274,2,-2.9648,6,-1.3582,6,-1.3718,1,-3.3263,77,2.95380,9,-0.7076,5,-1.5535,12,-0.3157
ENSG00000158109,TPRG1L,55,-1.6794,105,-0.7137,156,-0.1018,147,-0.2168,158,-0.0838,153,-0.1322,178,0.10044,228,0.49650,219,0.43394,228,0.55833
ENSG00000130764,LRRC47,43,-0.7085,27,-1.3923,54,-0.3454,66,-0.0487,50,-0.4812,77,0.20194,85,0.35085,60,-0.2044,77,0.19221,106,0.79869
ENSG00000116198,CEP104,103,1.61872,62,0.73012,26,-0.6374,47,0.34290,45,0.23225,40,0.04990,26,-0.6235,31,-0.3758,12,-1.7571,15,-1.5657
ENSG00000198912,C1orf174,14,-0.1444,11,-0.5250,10,-0.6136,9,-0.7635,20,0.45754,18,0.26807,17,0.22173,9,-0.7904,24,0.73915,20,0.46142
ENSG00000196581,AJAP1,28,-0.3251,42,0.27585,23,-0.6545,53,0.73207,45,0.39431,33,-0.0827,20,-0.8806,47,0.44055,19,-0.9301,30,-0.2846
ENSG00000069424,KCNAB2,37,-2.3677,98,-0.9424,161,-0.1832,158,-0.2378,157,-0.2181,142,-0.3743,221,0.31807,220,0.31157,306,0.85020,257,0.63007
ENSG00000116254,CHD5,72,-1.6452,323,0.65879,200,-0.1049,206,-0.0673,354,0.81251,254,0.27329,140,-0.6552,235,0.14365,210,-0.0313,185,-0.2516
ENSG00000116251,RPL22,856,0.73777,598,0.15541,1004,1.00639,494,-0.1583,303,-0.8926,241,-1.2390,611,0.19127,847,0.71992,244,-1.2184,404,-0.4935
ENSG00000116237,ICMT,9,-2.1509,18,-1.2358,12,-1.8016,45,0.20822,35,-0.2096,49,0.31748,38,-0.1059,72,0.94449,47,0.24729,56,0.58552
ENSG00000097021,ACOT7,35,-2.4151,49,-1.8940,83,-1.1280,241,0.58513,117,-0.6099,194,0.17468,81,-1.1599,150,-0.2250,279,0.76500,307,1.06006
ENSG00000215788,TNFRSF25,1,-3.6043,10,-0.7147,2,-2.6949,17,0.04025,34,1.12792,27,0.78452,15,-0.1983,8,-1.1320,15,-0.1893,27,0.86830
ENSG00000171680,PLEKHG5,2,-3.4778,17,-0.7488,19,-0.6066,33,0.25940,31,0.14268,27,-0.0634,27,-0.0627,36,0.37561,24,-0.2629,45,0.84165
ENSG00000162408,NOL9,25,-0.0368,27,0.09024,30,0.22286,18,-0.5979,18,-0.5358,16,-0.6901,28,0.12301,22,-0.2314,43,0.80030,32,0.38205
ENSG00000162413,KLHL21,18,-0.4300,14,-0.8333,18,-0.4851,18,-0.4830,15,-0.7320,37,0.65154,24,-0.0011,27,0.16292,33,0.49480,35,0.62727
ENSG00000041988,THAP3,6,-1.0596,7,-0.8665,6,-1.0344,7,-0.8721,11,-0.2201,8,-0.7770,25,1.06257,16,0.37432,21,0.76195,19,0.72449
ENSG00000007923,DNAJC11,22,-0.6134,24,-0.4343,14,-1.2684,27,-0.2774,29,-0.1502,47,0.58384,40,0.33777,43,0.43978,41,0.36927,37,0.22372
ENSG00000171735,CAMTA1,261,-1.0885,800,0.65903,480,-0.1593,585,0.16914,897,0.84769,485,-0.1428,332,-0.7244,527,-0.0118,590,0.16511,416,-0.4132
ENSG00000049245,VAMP3,71,2.09413,16,-0.3820,18,-0.2523,4,-2.4471,12,-0.7882,13,-0.7427,44,1.20991,22,0.11591,11,-0.9007,17,-0.3273
ENSG00000049246,PER3,72,0.71410,59,0.40634,32,-0.5404,38,-0.3127,41,-0.1848,50,0.13869,102,1.31552,28,-0.7757,20,-1.2679,35,-0.4355
ENSG00000116288,PARK7,189,-0.6955,245,-0.2986,199,-0.6148,340,0.23980,152,-1.0222,208,-0.5470,451,0.67698,276,-0.1122,293,-0.0163,431,0.67923
ENSG00000116285,ERRFI1,13,-0.9579,20,-0.3221,7,-1.7727,15,-0.8284,34,0.49634,40,0.76734,42,0.84824,16,-0.6328,46,0.99069,24,-0.0314
ENSG00000162426,SLC45A1,6,-2.1142,8,-1.5970,3,-2.8302,31,0.40538,14,-0.9037,20,-0.3121,30,0.29674,19,-0.4158,50,1.14557,42,0.97336
ENSG00000142599,RERE,178,0.70266,179,0.71447,118,0.04053,108,-0.1101,121,0.07711,80,-0.5542,119,0.04751,84,-0.4869,63,-0.9254,111,-0.0577
ENSG00000074800,ENO1,302,-0.3926,327,-0.2716,222,-0.8628,332,-0.2729,197,-1.0436,324,-0.2843,792,1.16675,311,-0.3488,438,0.18818,546,0.61029
ENSG00000171612,SLC25A33,9,-1.6840,49,0.86719,21,-0.4724,16,-0.9362,24,-0.2442,14,-1.0754,77,1.64596,27,-0.0643,24,-0.2895,33,0.23725
ENSG00000171603,CLSTN1,180,-2.0833,386,-0.9491,473,-0.6405,955,0.51380,643,-0.1701,1157,0.77414,616,-0.2357,467,-0.6616,826,0.22628,969,0.54056
ENSG00000178585,CTNNBIP1,18,-0.6237,51,0.97150,26,-0.1188,14,-1.0709,14,-1.0274,12,-1.1986,33,0.28163,59,1.21434,27,-0.0540,32,0.26537
ENSG00000162441,LZIC,112,1.09914,89,0.71864,98,0.88082,48,-0.2955,39,-0.5854,39,-0.5818,64,0.19456,33,-0.8219,43,-0.4366,35,-0.8024
ENSG00000130939,UBE4B,53,0.16683,34,-0.4872,31,-0.6432,35,-0.4805,50,0.09958,65,0.50127,55,0.24888,41,-0.2104,60,0.37726,53,0.20554
ENSG00000054523,KIF1B,687,0.73939,500,0.22446,418,-0.0611,373,-0.2581,467,0.11449,560,0.40543,376,-0.2256,370,-0.2515,450,0.05582,319,-0.5213
ENSG00000284642,AL139424.2,9,-0.8503,5,-1.7994,0,-6.0120,8,-1.1133,27,0.77750,41,1.51700,9,-0.9366,28,0.82593,24,0.56730,19,0.28914
ENSG00000142657,PGD,37,-0.4843,29,-0.8603,35,-0.5511,33,-0.7220,43,-0.2404,44,-0.2123,47,-0.1244,34,-0.6189,127,1.52939,73,0.65731
ENSG00000241563,CORT,28,-0.2355,41,0.37543,47,0.61748,24,-0.4958,15,-1.1181,2,-3.7540,26,-0.3107,25,-0.3993,24,-0.4607,65,1.33009
ENSG00000160049,DFFA,83,0.67628,71,0.44040,68,0.37171,48,-0.1889,43,-0.3484,47,-0.2061,53,-0.0301,40,-0.4633,66,0.30675,40,-0.4927
ENSG00000142655,PEX14,6,-1.7932,14,-0.5050,8,-1.2768,16,-0.3321,17,-0.2179,17,-0.2783,23,0.17622,8,-1.3923,43,1.22875,36,1.07537
ENSG00000120948,TARDBP,99,0.22217,54,-0.7241,79,-0.1292,101,0.28047,106,0.33015,87,0.02532,77,-0.1763,89,0.05267,62,-0.5111,89,0.05410
ENSG00000271895,AL109811.2,5,-1.4360,6,-1.2819,10,-0.4829,16,0.16933,14,0.01066,27,1.00725,21,0.59226,9,-0.7384,9,-0.6257,19,0.50031
ENSG00000116649,SRM,36,-0.5724,46,-0.2142,42,-0.3321,38,-0.5477,24,-1.1795,45,-0.2289,97,1.00359,57,0.13377,46,-0.1993,80,0.76158
ENSG00000171824,EXOSC10,40,0.46370,25,-0.3091,4,-2.7652,33,0.18229,48,0.75925,35,0.21335,31,0.03881,13,-1.2406,25,-0.3049,37,0.34322
ENSG00000198793,MTOR,22,-0.9839,37,-0.2028,36,-0.2395,51,0.31734,64,0.65746,21,-1.0731,45,0.09734,31,-0.4657,33,-0.4045,59,0.58177
ENSG00000116661,FBXO2,62,-1.3606,90,-0.8077,99,-0.6588,121,-0.3908,97,-0.7022,58,-1.4560,262,0.87836,266,0.90109,217,0.56237,218,0.64295
ENSG00000132879,FBXO44,25,-1.5258,38,-0.8874,43,-0.7144,53,-0.4134,75,0.15364,63,-0.1053,69,0.02604,99,0.60714,66,-0.0491,116,0.97803
ENSG00000177000,MTHFR,6,-1.5155,17,-0.0295,8,-1.1956,15,-0.3061,34,1.05027,26,0.57451,20,0.16451,27,0.66755,5,-1.7572,20,0.20628
ENSG00000011021,CLCN6,29,-1.4475,72,-0.0677,52,-0.5813,48,-0.7588,85,0.18899,99,0.42952,83,0.14172,95,0.35981,97,0.38748,100,0.49648
ENSG00000116685,KIAA2013,29,0.42413,18,-0.2616,9,-1.3895,18,-0.2963,13,-0.8063,18,-0.3012,28,0.35637,19,-0.2269,24,0.16140,35,0.81645
ENSG00000083444,PLOD1,10,-0.5597,13,-0.0605,4,-1.6628,13,-0.1754,11,-0.3066,14,0.04885,30,1.21149,12,-0.1972,8,-0.7643,20,0.58490
ENSG00000116688,MFN2,71,-0.9927,73,-0.9572,149,0.13164,105,-0.4417,100,-0.4787,181,0.44398,142,0.06419,145,0.09230,188,0.50791,190,0.59278
ENSG00000048707,VPS13D,50,-0.7003,42,-0.9562,55,-0.5731,109,0.57384,94,0.27780,125,0.72823,77,-0.0380,60,-0.4231,88,0.16616,70,-0.2066
ENSG00000162496,DHRS3,13,-0.0088,15,0.21181,4,-1.6918,6,-1.1518,7,-0.9792,12,-0.1331,32,1.39724,10,-0.4317,12,-0.1890,21,0.82124
ENSG00000116731,PRDM2,223,-0.1835,360,0.57797,327,0.41946,333,0.50719,440,0.91140,360,0.57840,96,-1.4667,160,-0.6955,170,-0.5987,104,-1.4213
ENSG00000189337,KAZN,80,0.31272,60,-0.1436,58,-0.1804,50,-0.4534,74,0.19074,65,-0.0170,42,-0.6839,76,0.22400,108,0.79499,62,-0.0858
ENSG00000142634,EFHD2,43,-1.1613,66,-0.5204,154,0.82453,32,-1.6747,77,-0.2856,159,0.88432,94,0.02219,82,-0.1876,96,0.07066,136,0.69846
ENSG00000116138,DNAJC16,17,-1.3920,43,-0.0348,12,-1.8889,51,0.23695,77,0.89079,44,-0.0074,31,-0.5655,34,-0.4188,68,0.67811,52,0.27270
ENSG00000197312,DDI2,25,-0.6759,43,0.16118,27,-0.5537,41,0.10201,53,0.48827,76,1.09409,26,-0.5961,33,-0.2516,38,-0.0187,31,-0.3801
ENSG00000116786,PLEKHM2,88,-0.2214,158,0.72261,120,0.27611,45,-1.2961,83,-0.2963,28,-1.9460,148,0.61211,217,1.25886,73,-0.5051,103,0.03317
ENSG00000065526,SPEN,386,1.64554,225,0.70713,190,0.43058,168,0.25171,198,0.49963,125,-0.2289,92,-0.7065,56,-1.4326,67,-1.1792,33,-2.3390
ENSG00000116809,ZBTB17,20,0.26846,19,0.18437,5,-1.6362,9,-0.8991,17,0.01329,16,-0.0144,26,0.69930,20,0.31843,15,-0.1356,21,0.40108
ENSG00000037637,FBXO42,16,-0.1766,8,-1.1528,11,-0.7781,11,-0.7207,17,-0.0409,32,0.90059,26,0.59546,17,-0.0559,19,0.11869,23,0.41397
ENSG00000055070,SZRD1,37,0.80070,23,0.03092,32,0.53589,9,-1.4794,36,0.75856,17,-0.4523,37,0.76978,20,-0.1764,10,-1.1451,20,-0.1671
ENSG00000219481,NBPF1,42,1.50155,15,-0.1296,1,-3.4231,9,-0.9211,24,0.52670,25,0.62048,16,-0.0491,9,-0.9521,19,0.21666,16,-0.1245
ENSG00000159363,ATP13A2,19,-2.2041,29,-1.6065,36,-1.2742,56,-0.6506,96,0.22239,98,0.26201,95,0.21356,100,0.29422,148,0.92897,133,0.85056
ENSG00000117118,SDHB,39,-0.8310,30,-1.2349,53,-0.3801,62,-0.1506,41,-0.7846,42,-0.7343,66,-0.0462,60,-0.2046,124,0.97114,118,1.02320
ENSG00000117115,PADI2,237,3.29586,31,-0.4420,20,-1.1199,11,-2.0864,12,-1.8922,15,-1.5517,92,1.31180,18,-1.2783,13,-1.7591,20,-1.2000
ENSG00000179051,RCC2,12,-1.1248,27,0.10941,3,-2.9689,24,-0.0461,13,-0.9886,9,-1.4930,27,0.10532,29,0.23760,54,1.25304,39,0.79673
ENSG00000074964,ARHGEF10L,8,-0.9103,14,-0.1346,14,-0.0778,10,-0.7219,18,0.32065,6,-1.2845,20,0.47001,27,0.96689,9,-0.7193,21,0.63478
ENSG00000117154,IGSF21,16,-2.1548,21,-1.7493,70,0.08239,44,-0.6835,53,-0.3466,102,0.69074,65,-0.0449,84,0.36540,71,0.10096,114,1.00051
ENSG00000159423,ALDH4A1,15,0.13443,17,0.30684,4,-1.8517,8,-0.9402,3,-2.1340,1,-3.5476,45,1.98171,17,0.27460,9,-0.5801,20,0.66388
ENSG00000127481,UBR4,68,0.91926,61,0.72800,21,-0.9246,40,0.09145,76,1.12160,44,0.22682,22,-0.8422,15,-1.4120,31,-0.3148,21,-1.0095
ENSG00000127463,EMC1,24,-0.3710,35,0.18860,42,0.48547,22,-0.5638,26,-0.2745,19,-0.7514,35,0.19483,26,-0.2870,35,0.15732,44,0.59157
ENSG00000053372,MRTO4,31,-0.3008,36,-0.0832,25,-0.6105,43,0.23063,33,-0.2376,44,0.23930,37,-0.0199,34,-0.1591,24,-0.6868,52,0.54975
ENSG00000053371,AKR7A2,47,0.75858,19,-0.6456,34,0.25734,14,-1.1672,16,-0.9006,9,-1.7187,73,1.52371,38,0.40526,23,-0.3641,31,0.11500
ENSG00000077549,CAPZB,107,-0.5262,108,-0.5031,156,0.06436,161,0.12133,136,-0.1473,176,0.25365,151,0.01414,133,-0.1819,151,0.01629,179,0.31059
ENSG00000173436,MICOS10,228,-0.5694,375,0.20454,413,0.35968,228,-0.6147,169,-1.0189,150,-1.1998,463,0.54585,673,1.17248,269,-0.3175,378,0.24167
ENSG00000158747,NBL1,55,-1.2695,99,-0.3841,150,0.27022,95,-0.4707,105,-0.2859,100,-0.3572,156,0.33181,162,0.39020,122,-0.0573,189,0.72531
ENSG00000169914,OTUD3,10,-1.1203,15,-0.4701,9,-1.2330,16,-0.3857,46,1.30171,21,0.04809,13,-0.7327,22,0.13065,28,0.49869,25,0.34953
ENSG00000162545,CAMK2N1,1188,-0.4230,1781,0.21022,1745,0.17818,2682,1.00663,798,-1.0285,484,-1.7758,1815,0.24084,2644,0.85575,653,-1.3289,1120,-0.5567
ENSG00000090432,MUL1,17,0.04357,9,-0.8144,12,-0.4580,12,-0.4548,12,-0.4612,25,0.64863,19,0.25810,5,-1.6000,40,1.47508,16,-0.0685
ENSG00000183114,FAM43B,10,-0.6298,13,-0.2891,25,0.74688,6,-1.6006,13,-0.2733,33,1.21934,19,0.27656,8,-0.9474,19,0.31466,18,0.23546
ENSG00000158828,PINK1,159,-1.6198,280,-0.7712,417,-0.1580,483,0.07893,281,-0.7647,442,-0.0663,520,0.18761,648,0.54205,576,0.35071,625,0.54331
ENSG00000244038,DDOST,12,-0.7235,10,-0.9842,5,-1.9602,23,0.31231,10,-0.9187,19,-0.0435,26,0.49499,17,-0.2242,25,0.37595,31,0.84190
ENSG00000117245,KIF17,5,-2.3182,19,-0.3915,42,0.81096,19,-0.4894,27,0.09039,39,0.71214,28,0.16711,21,-0.2517,18,-0.5290,32,0.44801
ENSG00000189410,SH2D5,1,-3.7019,8,-1.5092,19,-0.2857,30,0.44365,23,-0.0204,13,-0.8536,22,-0.0961,34,0.61170,30,0.42971,33,0.65326
ENSG00000127483,HP1BP3,431,0.66773,387,0.49152,253,-0.1789,309,0.14669,369,0.41557,367,0.40679,189,-0.6304,184,-0.6738,228,-0.3404,192,-0.6534
ENSG00000075151,EIF4G3,305,-0.1315,344,0.05400,319,-0.0626,415,0.39321,460,0.52008,522,0.72880,111,-1.6667,169,-1.0315,571,0.87923,177,-1.0320
ENSG00000076864,RAP1GAP,33,-1.8832,33,-1.8926,128,0.16202,105,-0.1573,102,-0.1940,211,0.97861,103,-0.1688,93,-0.3392,113,-0.0317,179,0.80234
ENSG00000090686,USP48,123,0.50581,94,0.08210,102,0.21636,118,0.49550,145,0.77586,121,0.48496,44,-1.0696,26,-1.8374,77,-0.2302,52,-0.9032
ENSG00000070831,CDC42,159,-0.3367,139,-0.5409,160,-0.3283,164,-0.3098,164,-0.2887,219,0.16415,175,-0.1874,168,-0.2491,251,0.38155,302,0.77528
ENSG00000004487,KDM1A,61,0.12073,53,-0.0876,24,-1.3033,81,0.65989,57,0.02220,88,0.72240,44,-0.3651,36,-0.6684,56,-0.0172,47,-0.3187
ENSG00000169641,LUZP1,56,-1.8182,262,0.53684,146,-0.3880,186,-0.0159,291,0.70538,201,0.10867,98,-0.9950,180,-0.0637,441,1.42189,101,-1.0092
ENSG00000125944,HNRNPR,216,0.68469,91,-0.6779,137,-0.0435,176,0.39484,125,-0.1928,209,0.63028,132,-0.1076,107,-0.4300,107,-0.4244,108,-0.4464
ENSG00000142676,RPL11,747,0.69978,421,-0.2159,602,0.34852,397,-0.3333,182,-1.4904,234,-1.1085,743,0.69222,904,1.02169,279,-0.8472,447,-0.1332
ENSG00000011007,ELOA,30,0.15118,32,0.25498,13,-1.1299,26,-0.0894,39,0.59704,36,0.42839,30,0.14451,18,-0.6483,22,-0.3423,28,0.02811
ENSG00000057757,PITHD1,73,-1.0381,44,-1.7767,72,-1.0715,125,-0.2484,149,0.04524,154,0.09587,149,0.04553,183,0.37624,190,0.43077,236,0.89727
ENSG00000011009,LYPLA2,8,-1.4795,6,-1.9834,13,-0.8318,22,-0.0641,8,-1.5407,31,0.49516,20,-0.1898,30,0.42716,50,1.30746,31,0.54986
ENSG00000117308,GALE,0,-5.4562,12,-0.4006,18,0.17344,19,0.32432,20,0.41064,3,-2.4507,16,0.00645,10,-0.6219,20,0.40159,26,0.88270
ENSG00000117305,HMGCL,10,-0.3415,9,-0.5616,11,-0.2794,5,-1.4149,13,0.03326,6,-1.1225,26,1.12433,14,0.08924,12,-0.0454,22,0.92952
ENSG00000189266,PNRC2,77,0.42146,68,0.23764,63,0.12212,65,0.17330,43,-0.4900,62,0.09263,66,0.17891,42,-0.5259,41,-0.5318,56,-0.0749
ENSG00000188529,SRSF10,85,0.25406,63,-0.2168,52,-0.4948,66,-0.1474,146,1.14931,82,0.20739,54,-0.4529,58,-0.3249,66,-0.1402,64,-0.2131
ENSG00000001461,NIPAL3,292,1.31510,113,-0.2313,135,0.03438,114,-0.2381,120,-0.1460,227,0.87900,75,-0.8573,93,-0.5432,115,-0.2054,90,-0.6256
ENSG00000133226,SRRM1,537,1.55416,415,1.09733,216,0.03176,225,0.09868,329,0.70625,192,-0.1533,54,-2.0596,73,-1.6185,122,-0.8461,79,-1.5954
ENSG00000169504,CLIC4,170,3.25099,18,-0.7826,46,0.66277,3,-3.1824,3,-3.2029,17,-0.8516,52,0.88133,23,-0.3939,4,-2.9764,11,-1.6175
ENSG00000117614,SYF2,198,0.80975,180,0.65716,146,0.31808,145,0.33876,83,-0.5719,94,-0.3820,83,-0.5605,129,0.12176,91,-0.4170,71,-0.8668
ENSG00000117616,RSRP1,109,0.60564,54,-0.4870,19,-2.0207,48,-0.7466,153,1.16984,161,1.25951,69,-0.1270,20,-1.9591,33,-1.2210,91,0.35216
ENSG00000183726,TMEM50A,85,0.01968,48,-0.8574,80,-0.0796,105,0.39781,59,-0.5451,110,0.43643,101,0.30124,60,-0.5034,80,-0.0626,86,0.04260
ENSG00000204178,MACO1,82,0.42823,65,0.05845,72,0.22617,86,0.56370,92,0.62842,90,0.59067,24,-1.4387,30,-1.1187,60,-0.0726,31,-1.1172
ENSG00000117643,MAN1C1,20,-1.0074,18,-1.1852,5,-2.8722,66,0.97413,36,-0.1121,36,-0.1024,34,-0.2197,26,-0.6225,71,0.95850,44,0.23009
ENSG00000162430,SELENON,17,-0.1186,23,0.37109,7,-1.4479,13,-0.5297,21,0.23500,16,-0.1664,39,1.27904,19,0.07294,18,0.03434,15,-0.3110
ENSG00000117640,MTFR1L,39,-0.5961,44,-0.3794,55,-0.0412,33,-0.9129,67,0.25076,44,-0.3795,58,0.02503,60,0.08020,80,0.53510,85,0.72990
ENSG00000117632,STMN1,952,-0.3626,463,-1.4510,1230,0.03742,1808,0.74436,1093,-0.1480,1433,0.28041,764,-0.6981,877,-0.4880,843,-0.5495,1570,0.47755
ENSG00000158008,EXTL1,12,-1.6121,25,-0.5431,30,-0.2340,30,-0.2368,28,-0.3342,58,0.80150,32,-0.1150,38,0.11285,30,-0.2185,53,0.75309
ENSG00000175087,PDIK1L,11,-0.4253,5,-1.4558,4,-1.6374,9,-0.7857,31,1.28569,24,0.87479,7,-0.9996,14,-0.0280,15,0.09416,20,0.61155
ENSG00000142684,ZNF593,22,-0.6728,23,-0.5522,25,-0.4857,29,-0.2270,24,-0.5074,31,-0.1516,33,-0.0455,36,0.11349,60,0.92371,46,0.55769
ENSG00000142669,SH3BGRL3,97,-0.6293,90,-0.7428,134,-0.1227,88,-0.8360,110,-0.4329,165,0.19745,206,0.55710,171,0.26012,216,0.63425,190,0.47780
