Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000178585,CTNNBIP1,30,-0.7084,5,-3.3001,48,0.00752,48,0.01408,40,-0.3021,36,-0.4541,74,0.78359,43,-0.1518,101,1.22016,35,-0.4592
ENSG00000162441,LZIC,74,-0.2108,134,0.74669,126,0.64494,116,0.50273,53,-0.7787,70,-0.2923,59,-0.6075,81,-0.0599,74,-0.2121,115,0.49721
ENSG00000130939,UBE4B,22,-0.2509,67,1.54452,20,-0.4089,3,-3.1230,41,0.77893,7,-1.8925,12,-1.2357,25,-0.0641,31,0.24018,35,0.44872
ENSG00000054523,KIF1B,301,0.00450,529,0.92046,283,-0.0931,505,0.84027,237,-0.3997,185,-0.7448,199,-0.6832,406,0.48190,263,-0.2069,258,-0.2375
ENSG00000142657,PGD,37,-0.1295,36,-0.1872,20,-1.0350,29,-0.5297,58,0.64153,28,-0.5829,21,-1.0232,69,0.87088,48,0.27046,59,0.60717
ENSG00000241563,CORT,78,-0.5011,26,-2.1224,58,-0.9507,68,-0.7017,150,0.59937,59,-0.9077,41,-1.5495,34,-1.7227,81,-0.4436,504,2.80900
ENSG00000160049,DFFA,112,0.96013,76,0.32792,44,-0.5294,16,-2.0418,45,-0.5462,74,0.26753,42,-0.6391,63,0.02886,100,0.76173,86,0.51700
ENSG00000120948,TARDBP,119,0.52391,112,0.42750,71,-0.3015,44,-1.0263,108,0.40985,116,0.47517,52,-0.8124,74,-0.2258,73,-0.2439,99,0.22836
ENSG00000116649,SRM,54,-0.7551,28,-1.7275,36,-1.3732,34,-1.4489,95,0.11116,85,-0.0751,90,0.02206,82,-0.1137,64,-0.5012,312,2.18374
ENSG00000171824,EXOSC10,93,1.74296,33,-0.0125,12,-1.5463,36,0.14353,36,0.15057,39,0.27043,13,-1.4168,33,0.01434,33,-0.0150,18,-0.9221
ENSG00000198793,MTOR,51,0.70126,34,0.03292,9,-1.8983,17,-1.0003,49,0.70784,12,-1.5296,12,-1.5765,55,0.82196,62,1.02506,33,0.02508
ENSG00000116661,FBXO2,130,-1.1404,90,-1.6907,36,-3.0046,118,-1.2828,230,-0.2964,326,0.27403,266,-0.0547,189,-0.5735,941,2.13783,467,0.86331
ENSG00000132879,FBXO44,94,0.38746,18,-2.0680,11,-2.8288,51,-0.5585,120,0.89266,29,-1.4324,73,-0.0262,58,-0.3724,60,-0.3309,179,1.47017
ENSG00000011021,CLCN6,31,-0.5491,23,-1.0169,33,-0.4737,49,0.15421,45,0.02070,47,0.08455,31,-0.5980,49,0.13407,88,1.10480,63,0.55256
ENSG00000116685,KIAA2013,33,0.15556,53,0.93335,4,-3.0289,50,0.81949,30,-0.0101,28,-0.1088,18,-0.8635,22,-0.4627,52,0.88385,22,-0.4390
ENSG00000116688,MFN2,75,-0.0182,84,0.14924,38,-1.0438,41,-0.9408,121,0.84778,112,0.60866,83,0.15095,37,-1.1094,83,0.12878,36,-1.1398
ENSG00000048707,VPS13D,77,0.67753,45,-0.1690,44,-0.2144,24,-1.0925,64,0.43552,49,-0.0430,38,-0.4522,63,0.34784,73,0.60625,23,-1.2055
ENSG00000116731,PRDM2,381,1.21900,180,-0.0091,423,1.40307,158,-0.2187,167,-0.1459,108,-0.7975,152,-0.3026,134,-0.4681,55,-1.8070,102,-0.8853
ENSG00000189337,KAZN,70,0.28340,91,0.71440,79,0.48010,37,-0.7168,54,-0.1449,30,-1.0209,45,-0.4334,41,-0.5617,41,-0.5636,116,1.11617
ENSG00000142634,EFHD2,142,1.28996,36,-0.9204,151,1.39756,53,-0.3108,44,-0.6299,51,-0.3597,58,-0.1893,39,-0.7916,89,0.50631,13,-2.4200
ENSG00000116786,PLEKHM2,53,-1.4860,49,-1.6070,132,-0.1067,46,-1.6786,103,-0.5216,164,0.23678,312,1.54569,131,-0.1149,113,-0.3391,172,0.32049
ENSG00000065526,SPEN,214,0.83751,300,1.42581,216,0.85569,190,0.64209,72,-0.9315,127,-0.0011,48,-1.5530,105,-0.2999,82,-0.6685,51,-1.3874
ENSG00000055070,SZRD1,31,-0.2823,56,0.66514,34,-0.1349,20,-0.9001,19,-1.0649,79,1.23092,30,-0.3424,43,0.24646,71,1.04309,12,-1.7079
ENSG00000159363,ATP13A2,58,-0.3386,31,-1.2691,39,-0.9303,10,-2.9552,104,0.65359,37,-1.0398,82,0.22509,67,-0.1123,64,-0.1850,189,1.60560
ENSG00000117118,SDHB,23,-2.0587,68,-0.4580,28,-1.7842,40,-1.2429,130,0.63806,74,-0.3241,114,0.40109,96,0.08072,91,0.00196,185,1.15882
ENSG00000117115,PADI2,32,-1.5042,342,2.42652,37,-1.2771,48,-0.8876,26,-1.8771,39,-1.1968,45,-1.0708,99,0.21691,213,1.49803,84,-0.0428
ENSG00000117154,IGSF21,63,0.13191,56,-0.0596,47,-0.3129,25,-1.2563,94,0.87720,92,0.74355,68,0.28160,24,-1.3423,43,-0.4512,21,-1.5048
ENSG00000159423,ALDH4A1,21,-1.1276,18,-1.3466,4,-3.3232,27,-0.7929,16,-1.6853,51,0.17601,80,1.05872,99,1.29266,100,1.29771,30,-0.6129
ENSG00000127481,UBR4,56,0.77646,58,0.82155,37,0.10642,29,-0.2396,28,-0.3416,32,-0.1342,23,-0.6773,53,0.67805,43,0.34326,4,-2.9225
ENSG00000127463,EMC1,20,-0.4621,24,-0.1925,3,-3.1064,25,-0.0989,42,0.78674,14,-0.9707,3,-3.0661,52,1.05417,28,0.03992,68,1.52411
ENSG00000053372,MRTO4,21,-1.2566,21,-1.2289,13,-1.9737,38,-0.3411,60,0.40726,58,0.30674,85,1.05052,32,-0.6352,66,0.50491,36,-0.4292
ENSG00000053371,AKR7A2,24,-1.3796,57,-0.0577,45,-0.4133,20,-1.6215,40,-0.6563,59,-0.0115,53,-0.1989,94,0.72945,117,1.10209,111,1.01645
ENSG00000077549,CAPZB,188,-0.3078,134,-0.8302,127,-0.9077,84,-1.5203,314,0.56139,240,0.07225,219,-0.0773,250,0.13448,220,-0.0695,444,1.07862
ENSG00000173436,MICOS10,245,-0.9569,232,-1.0425,799,0.90612,476,0.06462,394,-0.2522,551,0.29414,701,0.77716,381,-0.2860,289,-0.7082,325,-0.5309
ENSG00000158747,NBL1,163,0.07419,71,-1.1976,116,-0.4558,48,-1.7822,162,0.06711,136,-0.2165,167,0.11868,137,-0.2023,232,0.63684,310,1.12371
ENSG00000162545,CAMK2N1,1640,-1.0753,1354,-1.3622,2233,-0.6076,1235,-1.4994,3471,0.08526,4659,0.55010,5543,0.95593,1811,-0.9255,4809,0.60193,3890,0.25844
ENSG00000158828,PINK1,229,-0.7816,176,-1.1761,361,-0.0774,254,-0.6199,468,0.37003,445,0.25323,590,0.80586,204,-0.9562,393,0.05491,377,-0.0125
ENSG00000244038,DDOST,35,0.01821,28,-0.3120,13,-1.4544,22,-0.7082,48,0.56678,21,-0.7395,11,-1.7734,51,0.61464,53,0.68066,75,1.25051
ENSG00000127483,HP1BP3,363,0.60930,530,1.24779,253,0.03112,462,1.01023,163,-0.7062,227,-0.1407,133,-1.0227,235,-0.0880,187,-0.4372,132,-0.9754
ENSG00000075151,EIF4G3,405,1.35181,209,0.24748,211,0.26345,165,-0.1239,253,0.62144,123,-0.5748,115,-0.7384,118,-0.6459,82,-1.1979,99,-0.9150
ENSG00000076864,RAP1GAP,151,1.45110,38,-0.7742,13,-2.3190,28,-1.2304,112,1.06862,30,-1.1055,40,-0.7503,38,-0.7874,56,-0.1860,98,0.70306
ENSG00000090686,USP48,125,0.92941,137,1.08157,84,0.27646,117,0.81594,59,-0.2868,77,0.14703,20,-1.9906,56,-0.3497,56,-0.3472,34,-1.1103
ENSG00000070831,CDC42,137,-0.5743,218,0.14547,138,-0.5609,225,0.19759,282,0.63072,222,0.18038,135,-0.6369,173,-0.2162,224,0.18903,210,0.09243
ENSG00000173372,C1QA,29,-0.7164,9,-2.4319,21,-1.1669,0,-7.5663,29,-0.7513,165,2.19739,46,6.13834,30,-0.6896,92,1.10830,60,0.40219
ENSG00000159189,C1QC,16,-1.3661,24,-0.8063,29,-0.4745,20,-1.0346,13,-1.7571,133,2.05865,26,-0.7417,34,-0.2581,83,1.18660,64,0.75668
ENSG00000173369,C1QB,34,-0.9467,15,-2.0841,22,-1.5482,19,-1.8032,33,-1.0283,285,2.73723,51,-0.3564,46,-0.4619,96,0.68274,66,0.07466
ENSG00000004487,KDM1A,58,0.33624,29,-0.7420,51,0.13227,97,1.19010,60,0.45791,33,-0.5202,14,-1.9272,37,-0.3406,25,-0.9503,82,0.91235
ENSG00000169641,LUZP1,228,1.47647,50,-0.9762,192,1.17356,47,-1.0392,113,0.32821,118,0.35599,58,-0.7948,81,-0.2358,44,-1.1444,24,-2.0178
ENSG00000125944,HNRNPR,130,-0.1131,250,0.95118,107,-0.4085,199,0.57415,156,0.20306,113,-0.3190,95,-0.6306,113,-0.3182,136,-0.0323,118,-0.2591
ENSG00000117318,ID3,23,-1.9131,75,-0.1161,17,-2.3411,21,-2.0380,5,-4.0175,502,3.54175,0,-7.7599,4,-4.3566,300,2.28849,19,-2.1246
ENSG00000142676,RPL11,413,-1.2133,1066,0.24446,1050,0.21981,1361,0.64053,592,-0.7237,1285,0.54582,1156,0.41790,524,-0.8549,852,-0.1093,916,0.00423
ENSG00000011007,ELOA,77,1.31523,50,0.59232,31,-0.1805,59,0.86847,26,-0.4802,51,0.62609,30,-0.2569,21,-0.7832,7,-2.3048,7,-2.2845
ENSG00000057757,PITHD1,116,0.06152,93,-0.2841,76,-0.6035,82,-0.4886,198,1.06003,69,-0.7421,117,0.07272,92,-0.3039,58,-1.0103,128,0.21072
ENSG00000189266,PNRC2,71,-0.0748,96,0.40863,27,-1.5018,119,0.75338,76,0.04960,126,0.85559,63,-0.2894,69,-0.1223,73,-0.0349,33,-1.2462
ENSG00000188529,SRSF10,90,0.30901,111,0.64611,36,-1.1044,69,-0.1197,73,-0.0233,133,0.93950,34,-1.2712,115,0.69331,84,0.18697,40,-0.9451
ENSG00000001461,NIPAL3,134,0.54157,313,2.04016,85,-0.1809,71,-0.4556,70,-0.5299,89,-0.1087,53,-0.9748,29,-1.8007,39,-1.3534,141,0.62581
ENSG00000133226,SRRM1,482,1.06112,493,1.10014,551,1.29243,266,0.08861,132,-1.0536,264,0.07483,156,-0.7957,218,-0.2242,89,-1.5741,81,-1.7236
ENSG00000169504,CLIC4,33,-1.2800,289,2.29534,21,-1.9481,85,0.14675,14,-2.6263,303,2.39408,28,-1.6294,13,-2.6530,81,0.06608,22,-1.8667
ENSG00000117614,SYF2,146,-0.0641,184,0.30183,219,0.58215,231,0.66917,122,-0.3705,111,-0.4908,126,-0.3249,159,0.07348,120,-0.3743,161,0.08371
ENSG00000117616,RSRP1,255,1.93367,140,0.86442,16,-2.4528,24,-1.8666,87,0.10751,85,0.05167,15,-2.6157,57,-0.5684,99,0.29381,105,0.39159
ENSG00000183726,TMEM50A,59,-0.4888,121,0.64530,41,-1.0447,71,-0.2014,98,0.33993,114,0.54556,69,-0.2603,65,-0.3294,89,0.14778,76,-0.1038
ENSG00000204178,MACO1,117,1.54637,100,1.26800,85,0.98708,11,-2.1305,41,-0.2155,43,-0.1129,24,-1.0284,39,-0.2648,26,-0.8536,3,-4.0276
ENSG00000117643,MAN1C1,20,-0.1229,4,-2.2570,3,-2.9330,14,-0.6001,47,1.49037,13,-0.7693,21,-0.0579,6,-1.9436,53,1.47726,10,-1.1515
ENSG00000162430,SELENON,48,0.58721,26,-0.3474,2,-3.7056,9,-1.8394,13,-1.4887,53,0.77290,38,0.27008,29,-0.2141,86,1.59299,39,0.26149
ENSG00000117640,MTFR1L,40,-0.5594,28,-1.1011,45,-0.3699,47,-0.3316,66,0.22587,69,0.28544,52,-0.1823,86,0.64016,69,0.27017,74,0.38472
ENSG00000117632,STMN1,631,-0.6488,908,-0.0869,1067,0.16765,687,-0.5190,1908,1.30938,473,-1.0832,1196,0.39075,582,-0.7720,277,-1.8804,681,-0.5329
ENSG00000158008,EXTL1,38,0.10019,1,-4.3707,42,0.26427,3,-3.2836,46,0.46083,22,-0.7412,53,0.71959,6,-2.6828,67,1.02701,49,0.49697
ENSG00000142684,ZNF593,28,-0.4642,20,-0.9766,26,-0.6091,27,-0.5157,59,0.77730,26,-0.5676,44,0.25954,24,-0.7297,35,-0.1320,66,0.87824
ENSG00000142669,SH3BGRL3,122,-0.7970,146,-0.5218,130,-0.6988,242,0.26706,197,-0.0605,275,0.47493,274,0.52924,158,-0.4006,158,-0.3997,277,0.48851
ENSG00000158062,UBXN11,10,-1.4307,17,-0.6616,20,-0.4256,7,-2.0086,22,-0.2850,37,0.55038,52,1.25921,17,-0.6746,43,0.79445,17,-0.6369
ENSG00000198830,HMGN2,185,-0.5890,431,0.74527,156,-0.8505,441,0.78446,186,-0.6328,289,0.09932,232,-0.2665,230,-0.2597,354,0.42376,334,0.33040
ENSG00000117713,ARID1A,111,0.58299,136,0.92598,23,-1.8093,78,0.02645,52,-0.6604,87,0.20056,40,-1.0813,104,0.47282,91,0.25973,110,0.57638
ENSG00000090273,NUDC,148,-0.7199,161,-0.5952,299,0.37314,232,-0.0260,286,0.33807,271,0.21754,282,0.31237,219,-0.1203,177,-0.4471,192,-0.3263
ENSG00000253368,TRNP1,40,-0.3060,3,-4.0353,17,-1.5878,5,-3.1711,63,0.45449,59,0.29348,87,1.07972,39,-0.3372,31,-0.6783,90,0.99377
ENSG00000142784,WDTC1,35,0.23406,20,-0.6508,45,0.62036,9,-1.8033,18,-0.8855,33,0.15525,35,0.22442,11,-1.5326,70,1.36353,37,0.31519
ENSG00000186501,TMEM222,62,0.61593,40,-0.0866,4,-3.3997,15,-1.5635,38,-0.1924,35,-0.2854,36,-0.2737,55,0.41563,57,0.46836,92,1.27464
ENSG00000158195,WASF2,40,-0.9583,250,2.09150,57,-0.4025,80,0.11412,12,-2.8147,140,1.02512,37,-1.1183,92,0.34107,89,0.28860,45,-0.7644
ENSG00000126705,AHDC1,96,1.62699,26,-0.5192,11,-1.7875,34,-0.1180,39,0.13980,40,0.14066,26,-0.5317,39,0.10055,54,0.62753,5,-2.7843
ENSG00000126709,IFI6,170,0.62812,93,-0.3247,123,0.10380,232,1.15711,96,-0.3046,209,0.97510,44,-1.5426,34,-1.8233,77,-0.6059,158,0.51464
ENSG00000117758,STX12,78,-0.5801,80,-0.5355,109,-0.0605,134,0.26100,130,0.23690,159,0.53103,94,-0.3163,63,-0.9011,107,-0.0966,185,0.78252
ENSG00000117751,PPP1R8,46,0.84123,31,0.22162,31,0.23593,19,-0.5190,30,0.19078,12,-1.1594,19,-0.6042,23,-0.2499,35,0.39973,29,0.09307
ENSG00000117748,RPA2,40,-0.5075,49,-0.1743,19,-1.5815,40,-0.4750,109,1.28801,16,-1.8205,49,-0.1894,58,0.09025,54,-0.0282,67,0.32051
ENSG00000126698,DNAJC8,174,-0.5892,363,0.56227,382,0.64780,367,0.58226,237,-0.1262,185,-0.5025,264,0.05589,204,-0.3499,107,-1.3261,280,0.14503
ENSG00000130770,ATP5IF1,236,-1.3055,98,-2.5906,427,-0.4054,320,-0.8457,1029,1.16303,464,-0.2778,790,0.63867,470,-0.2585,318,-0.8573,681,0.32679
ENSG00000198492,YTHDF2,60,0.08155,73,0.38556,30,-0.9906,39,-0.5943,103,1.09430,33,-0.8363,38,-0.6760,98,0.86217,43,-0.4415,29,-1.0501
ENSG00000116350,SRSF4,147,0.69343,94,-0.0200,212,1.31571,103,0.11628,69,-0.5501,78,-0.3109,60,-0.7584,88,-0.1362,73,-0.4078,92,-0.0521
ENSG00000116353,MECR,17,-0.5712,0,-6.3899,23,-0.1106,11,-1.2194,43,1.01819,28,0.20225,45,1.11386,22,-0.1627,19,-0.4077,0,-5.7308
ENSG00000162511,LAPTM5,21,-1.9332,21,-1.9091,65,-0.2531,23,-1.8158,36,-1.2209,362,2.81501,51,-0.6706,52,-0.5998,82,0.10116,121,0.72770
ENSG00000162512,SDC3,213,0.90547,80,-0.6556,22,-2.5225,136,0.17301,80,-0.7010,69,-0.8689,105,-0.2446,187,0.68889,269,1.30867,114,-0.0960
ENSG00000134644,PUM1,193,0.84766,154,0.47261,122,0.10147,106,-0.1124,148,0.45686,99,-0.2177,61,-1.0349,89,-0.3853,80,-0.5547,111,-0.0488
ENSG00000121766,ZCCHC17,124,-0.1114,174,0.42980,81,-0.7646,156,0.24965,179,0.52866,104,-0.3797,173,0.46508,101,-0.4211,110,-0.2953,42,-1.7214
ENSG00000121769,FABP3,36,-1.0610,30,-1.3372,37,-1.0059,36,-1.0350,158,1.51929,57,-0.3719,102,0.62004,24,-1.6334,30,-1.2963,94,0.41983
ENSG00000162517,PEF1,77,0.43089,14,-2.0899,15,-1.9978,0,-7.4512,108,1.12216,70,0.27731,56,-0.0950,44,-0.4563,48,-0.3295,112,1.03776
ENSG00000084636,COL16A1,78,1.02999,70,0.85113,13,-1.7436,14,-1.6222,23,-0.9210,46,0.17109,13,-1.8507,94,1.35106,94,1.34599,15,-1.5291
ENSG00000121753,ADGRB2,158,0.40487,48,-1.4316,58,-1.1466,45,-1.4988,197,0.86928,124,0.02847,130,0.10783,53,-1.2658,226,1.00246,101,-0.2921
ENSG00000184007,PTP4A2,258,-0.4806,1312,2.30687,378,0.11030,993,1.75627,155,-1.3323,195,-0.9056,214,-0.8235,109,-1.7764,119,-1.6504,122,-1.6128
ENSG00000121774,KHDRBS1,95,-0.5546,186,0.49707,93,-0.5824,116,-0.2482,219,0.87872,136,0.00722,80,-0.8800,99,-0.4946,164,0.30086,143,0.08124
ENSG00000025800,KPNA6,122,0.94688,83,0.31751,36,-0.9737,57,-0.2677,96,0.60986,74,0.13453,43,-0.7544,53,-0.3887,33,-1.1219,81,0.27456
ENSG00000160050,CCDC28B,4,-2.9451,22,-0.5666,3,-3.3170,49,0.70653,48,0.75150,1,-5.0470,25,-0.3948,38,0.30597,46,0.60652,70,1.30090
ENSG00000084623,EIF3I,59,-0.7290,57,-0.7722,57,-0.7675,124,0.43285,120,0.41740,69,-0.4895,88,-0.1220,100,0.09084,99,0.06683,154,0.78460
ENSG00000175130,MARCKSL1,197,-1.0208,1161,1.88779,127,-1.6719,407,0.09284,159,-1.4303,215,-0.8934,304,-0.3948,330,-0.2360,642,0.83310,601,0.72267
