"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042116","BP","GO:0042116","macrophage activation","7/97","67/11800",1.18505548646207e-06,0.000153859703992326,0.000119198563550571,"CX3CR1/TYROBP/AIF1/CD74/TREM2/ITGB2/SYK",7
"GO:0042742","BP","GO:0042742","defense response to bacterium","8/97","103/11800",1.9498171931893e-06,0.000224731507476746,0.000174104539269871,"TF/RNASE1/TREM2/HMGB2/CYBA/VGF/AQP1/SYK",8
"GO:0030449","BP","GO:0030449","regulation of complement activation","4/97","12/11800",2.01941020839181e-06,0.000224731507476746,0.000174104539269871,"A2M/C3/TREM2/SERPING1",4
"GO:0098883","BP","GO:0098883","synapse pruning","4/97","12/11800",2.01941020839181e-06,0.000224731507476746,0.000174104539269871,"CX3CR1/C3/TREM2/C1QB",4
"GO:0030335","BP","GO:0030335","positive regulation of cell migration","14/97","383/11800",2.74203816810447e-06,0.00027873631108914,0.000215943271884026,"MAPK3/CX3CR1/AIF1/CD74/TREM2/P2RY12/AQP1/ENPP2/CSF1R/IRS2/ITGAX/PLP1/PFN1/RIPOR2",14
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","9/97","145/11800",2.84172532211533e-06,0.00027873631108914,0.000215943271884026,"MAPK3/TYROBP/AIF1/CD74/CSF1R/LILRB4/IRS2/LST1/SYK",9
"GO:0001774","BP","GO:0001774","microglial cell activation","5/97","28/11800",2.86250383660221e-06,0.00027873631108914,0.000215943271884026,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0002269","BP","GO:0002269","leukocyte activation involved in inflammatory response","5/97","29/11800",3.43643734539334e-06,0.000294402363951732,0.000228080114405323,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0070661","BP","GO:0070661","leukocyte proliferation","10/97","190/11800",3.45399820777652e-06,0.000294402363951732,0.000228080114405323,"MAPK3/TYROBP/AIF1/CD74/TREM2/CSF1R/LILRB4/IRS2/LST1/SYK",10
"GO:0032602","BP","GO:0032602","chemokine production","6/97","51/11800",3.52728549022186e-06,0.000294402363951732,0.000228080114405323,"AIF1/CD74/TREM2/CSF1R/LILRB4/SYK",6
"GO:0032642","BP","GO:0032642","regulation of chemokine production","6/97","51/11800",3.52728549022186e-06,0.000294402363951732,0.000228080114405323,"AIF1/CD74/TREM2/CSF1R/LILRB4/SYK",6
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","11/97","238/11800",3.85476344331419e-06,0.000299208792715979,0.000231803762570765,"CX3CR1/SELPLG/AIF1/CD74/LAPTM5/ZBTB16/ITGB2/LILRB4/SYK/OLR1/RIPOR2",11
"GO:0002690","BP","GO:0002690","positive regulation of leukocyte chemotaxis","6/97","52/11800",3.96107800800022e-06,0.000299208792715979,0.000231803762570765,"MAPK3/CX3CR1/AIF1/CD74/CSF1R/RIPOR2",6
"GO:0002281","BP","GO:0002281","macrophage activation involved in immune response","4/97","14/11800",4.03243020040604e-06,0.000299208792715979,0.000231803762570765,"CX3CR1/TYROBP/TREM2/SYK",4
"GO:1905521","BP","GO:1905521","regulation of macrophage migration","5/97","30/11800",4.09699673380887e-06,0.000299208792715979,0.000231803762570765,"MAPK3/CX3CR1/TREM2/P2RY12/CSF1R",5
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","10/97","200/11800",5.45871363449611e-06,0.000380078624258848,0.000294455434869364,"CX3CR1/C3/TYROBP/CD74/TREM2/ITGB2/LILRB4/C1QB/SERPING1/SYK",10
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","6/97","55/11800",5.52959915481422e-06,0.000380078624258848,0.000294455434869364,"MAPK3/CD74/ITGB2/CSF1R/SYK/RIPOR2",6
"GO:0032635","BP","GO:0032635","interleukin-6 production","7/97","85/11800",5.96366027395475e-06,0.000387140946117563,0.00029992677401176,"TYROBP/AIF1/CD74/TREM2/CYBA/LILRB4/SYK",7
"GO:0032675","BP","GO:0032675","regulation of interleukin-6 production","7/97","85/11800",5.96366027395475e-06,0.000387140946117563,0.00029992677401176,"TYROBP/AIF1/CD74/TREM2/CYBA/LILRB4/SYK",7
"GO:0061900","BP","GO:0061900","glial cell activation","5/97","33/11800",6.69153865333461e-06,0.000422652049536297,0.000327438022296886,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0002886","BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","5/97","34/11800",7.79442785017124e-06,0.000479357312785531,0.000371368861559405,"CX3CR1/C3/TYROBP/ITGB2/SYK",5
"GO:0002920","BP","GO:0002920","regulation of humoral immune response","4/97","17/11800",9.40771133446512e-06,0.000549645534716125,0.00042582272356,"A2M/C3/TREM2/SERPING1",4
"GO:0006958","BP","GO:0006958","complement activation, classical pathway","4/97","17/11800",9.40771133446512e-06,0.000549645534716125,0.00042582272356,"C3/TREM2/C1QB/SERPING1",4
"GO:0050778","BP","GO:0050778","positive regulation of immune response","14/97","428/11800",9.85086438520902e-06,0.000561499269956914,0.000435006078114493,"A2M/C3/TYROBP/CD74/LAPTM5/TREM2/HMGB2/HSPA8/CYBA/ITGB2/LILRB4/C1QB/SERPING1/SYK",14
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","8/97","129/11800",1.04957128520383e-05,0.000569943200862547,0.000441547780773182,"CX3CR1/TYROBP/AIF1/CD74/TREM2/ITGB2/LILRB4/SYK",8
"GO:0098754","BP","GO:0098754","detoxification","7/97","93/11800",1.08507799098429e-05,0.000569943200862547,0.000441547780773182,"ALDH1A1/ABCG2/MT2A/MT1X/ALOX5AP/SESN1/MT1M",7
"GO:0009617","BP","GO:0009617","response to bacterium","12/97","318/11800",1.09280720797314e-05,0.000569943200862547,0.000441547780773182,"MAPK3/CX3CR1/C3/FKBP5/TF/RNASE1/TREM2/HMGB2/CYBA/VGF/AQP1/SYK",12
"GO:0010562","BP","GO:0010562","positive regulation of phosphorus metabolic process","15/97","494/11800",1.12183941975512e-05,0.000569943200862547,0.000441547780773182,"MAPK3/CX3CR1/C3/CD74/TF/TREM2/P2RY12/TMEM119/ENPP2/CSF1R/FABP3/SYK/ATP2B4/ADCYAP1R1/LATS1",15
"GO:0045937","BP","GO:0045937","positive regulation of phosphate metabolic process","15/97","494/11800",1.12183941975512e-05,0.000569943200862547,0.000441547780773182,"MAPK3/CX3CR1/C3/CD74/TF/TREM2/P2RY12/TMEM119/ENPP2/CSF1R/FABP3/SYK/ATP2B4/ADCYAP1R1/LATS1",15
"GO:0042554","BP","GO:0042554","superoxide anion generation","4/97","18/11800",1.20195340260535e-05,0.00059765214933802,0.000463014524631847,"TYROBP/CYBA/ITGB2/SYK",4
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","8/97","133/11800",1.3133610450501e-05,0.000639442658808768,0.000495390569624161,"MAPK3/CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R/RIPOR2",8
"GO:0002437","BP","GO:0002437","inflammatory response to antigenic stimulus","5/97","38/11800",1.36995427082375e-05,0.000640316626183022,0.000496067651750917,"A2M/C3/TREM2/HMGB2/SYK",5
"GO:1905517","BP","GO:1905517","macrophage migration","5/97","38/11800",1.36995427082375e-05,0.000640316626183022,0.000496067651750917,"MAPK3/CX3CR1/TREM2/P2RY12/CSF1R",5
"GO:0097530","BP","GO:0097530","granulocyte migration","6/97","65/11800",1.47474098433067e-05,0.000675778368702114,0.000523540659039991,"MAPK3/CD74/ITGB2/CSF1R/SYK/RIPOR2",6
"GO:0071280","BP","GO:0071280","cellular response to copper ion","4/97","19/11800",1.51289818728003e-05,0.000679931358398736,0.000526758073303978,"MT2A/AQP1/MT1X/MT1M",4
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","6/97","70/11800",2.26491157022925e-05,0.000980183138736439,0.000759369861778112,"MAPK3/CX3CR1/AIF1/CD74/CSF1R/RIPOR2",6
"GO:0006959","BP","GO:0006959","humoral immune response","6/97","70/11800",2.26491157022925e-05,0.000980183138736439,0.000759369861778112,"A2M/C3/TF/TREM2/C1QB/SERPING1",6
"GO:0002455","BP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","4/97","21/11800",2.30680670220386e-05,0.000980183138736439,0.000759369861778112,"C3/TREM2/C1QB/SERPING1",4
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","12/97","350/11800",2.8373685825388e-05,0.00116882441978606,0.000905514493179301,"TYROBP/AIF1/CD74/LAPTM5/TREM2/ZBTB16/ITGB2/LILRB4/IRS2/LST1/SYK/RIPOR2",12
"GO:0002532","BP","GO:0002532","production of molecular mediator involved in inflammatory response","5/97","44/11800",2.85079126777088e-05,0.00116882441978606,0.000905514493179301,"PLD4/TREM2/ALOX5AP/LILRB4/SYK",5
"GO:0006909","BP","GO:0006909","phagocytosis","8/97","149/11800",2.99618701261571e-05,0.00120725673249706,0.000935288867821965,"C3/PLD4/TYROBP/AIF1/TREM2/CYBA/ITGB2/SYK",8
"GO:0150146","BP","GO:0150146","cell junction disassembly","4/97","23/11800",3.37022540883906e-05,0.00133495199668761,0.00103421725302465,"CX3CR1/C3/TREM2/C1QB",4
"GO:0050920","BP","GO:0050920","regulation of chemotaxis","8/97","153/11800",3.62369585838728e-05,0.00141142953684185,0.00109346611867125,"MAPK3/CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R/RIPOR2",8
"GO:0071404","BP","GO:0071404","cellular response to low-density lipoprotein particle stimulus","4/97","24/11800",4.01885831920055e-05,0.00153968391671667,0.00119282766333476,"TXNIP/TREM2/ITGB2/SYK",4
"GO:0046688","BP","GO:0046688","response to copper ion","4/97","25/11800",4.7542987590058e-05,0.00176209234388332,0.00136513246018481,"MT2A/AQP1/MT1X/MT1M",4
"GO:0055094","BP","GO:0055094","response to lipoprotein particle","4/97","25/11800",4.7542987590058e-05,0.00176209234388332,0.00136513246018481,"TXNIP/TREM2/ITGB2/SYK",4
"GO:0150076","BP","GO:0150076","neuroinflammatory response","5/97","49/11800",4.84581033233989e-05,0.00176209234388332,0.00136513246018481,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0007186","BP","GO:0007186","G protein-coupled receptor signaling pathway","13/97","431/11800",4.9012732021532e-05,0.00176209234388332,0.00136513246018481,"CX3CR1/C3/ARRDC3/SST/CORT/P2RY12/GPR34/P2RY13/RASD1/ATP2B4/BAIAP3/RGS10/ADCYAP1R1",13
"GO:0019932","BP","GO:0019932","second-messenger-mediated signaling","9/97","207/11800",4.97638402637137e-05,0.00176209234388332,0.00136513246018481,"CX3CR1/TREM2/P2RY12/AQP1/RASD1/SYK/RCAN2/ATP2B4/ADCYAP1R1",9
"GO:0032930","BP","GO:0032930","positive regulation of superoxide anion generation","3/97","10/11800",6.1973830946445e-05,0.00208514718004224,0.00161541028744574,"TYROBP/ITGB2/SYK",3
"GO:0050865","BP","GO:0050865","regulation of cell activation","12/97","380/11800",6.31180333416712e-05,0.00208514718004224,0.00161541028744574,"TYROBP/AIF1/CD74/LAPTM5/TREM2/ZBTB16/ITGB2/LILRB4/IRS2/LST1/SYK/RIPOR2",12
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","6/97","84/11800",6.40174341703384e-05,0.00208514718004224,0.00161541028744574,"MAPK3/AIF1/CD74/CSF1R/IRS2/SYK",6
"GO:0002253","BP","GO:0002253","activation of immune response","11/97","322/11800",6.46588966558646e-05,0.00208514718004224,0.00161541028744574,"A2M/C3/TYROBP/LAPTM5/TREM2/HSPA8/CYBA/LILRB4/C1QB/SERPING1/SYK",11
"GO:0002275","BP","GO:0002275","myeloid cell activation involved in immune response","5/97","52/11800",6.47726894202591e-05,0.00208514718004224,0.00161541028744574,"CX3CR1/TYROBP/TREM2/ITGB2/SYK",5
"GO:0032613","BP","GO:0032613","interleukin-10 production","4/97","27/11800",6.5132967113001e-05,0.00208514718004224,0.00161541028744574,"TYROBP/TREM2/LILRB4/SYK",4
"GO:0032653","BP","GO:0032653","regulation of interleukin-10 production","4/97","27/11800",6.5132967113001e-05,0.00208514718004224,0.00161541028744574,"TYROBP/TREM2/LILRB4/SYK",4
"GO:0032755","BP","GO:0032755","positive regulation of interleukin-6 production","5/97","53/11800",7.10576257092486e-05,0.00223379860239545,0.00173057387839568,"TYROBP/AIF1/CD74/CYBA/SYK",5
"GO:0042327","BP","GO:0042327","positive regulation of phosphorylation","13/97","448/11800",7.27720062992552e-05,0.00223379860239545,0.00173057387839568,"MAPK3/CX3CR1/C3/CD74/TF/TREM2/P2RY12/TMEM119/ENPP2/CSF1R/SYK/ATP2B4/LATS1",13
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","7/97","125/11800",7.37712457810517e-05,0.00223379860239545,0.00173057387839568,"TYROBP/CD74/LAPTM5/TREM2/LILRB4/LST1/RIPOR2",7
"GO:0071276","BP","GO:0071276","cellular response to cadmium ion","4/97","28/11800",7.55113776590675e-05,0.00223379860239545,0.00173057387839568,"MAPK3/MT2A/MT1X/MT1M",4
"GO:0071402","BP","GO:0071402","cellular response to lipoprotein particle stimulus","4/97","28/11800",7.55113776590675e-05,0.00223379860239545,0.00173057387839568,"TXNIP/TREM2/ITGB2/SYK",4
"GO:0071622","BP","GO:0071622","regulation of granulocyte chemotaxis","4/97","28/11800",7.55113776590675e-05,0.00223379860239545,0.00173057387839568,"MAPK3/CD74/CSF1R/RIPOR2",4
"GO:0002703","BP","GO:0002703","regulation of leukocyte mediated immunity","7/97","127/11800",8.1572166973548e-05,0.00231063145071221,0.00179009800924487,"CX3CR1/C3/TYROBP/TREM2/ITGB2/LILRB4/SYK",7
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","7/97","127/11800",8.1572166973548e-05,0.00231063145071221,0.00179009800924487,"TYROBP/AIF1/CD74/LILRB4/IRS2/LST1/SYK",7
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","3/97","11/11800",8.47059649785075e-05,0.00231063145071221,0.00179009800924487,"TYROBP/ITGB2/SYK",3
"GO:0010273","BP","GO:0010273","detoxification of copper ion","3/97","11/11800",8.47059649785075e-05,0.00231063145071221,0.00179009800924487,"MT2A/MT1X/MT1M",3
"GO:0032928","BP","GO:0032928","regulation of superoxide anion generation","3/97","11/11800",8.47059649785075e-05,0.00231063145071221,0.00179009800924487,"TYROBP/ITGB2/SYK",3
"GO:1990169","BP","GO:1990169","stress response to copper ion","3/97","11/11800",8.47059649785075e-05,0.00231063145071221,0.00179009800924487,"MT2A/MT1X/MT1M",3
"GO:0033627","BP","GO:0033627","cell adhesion mediated by integrin","5/97","55/11800",8.50296554391314e-05,0.00231063145071221,0.00179009800924487,"P2RY12/ITGB2/ITGAX/SYK/ITGB4",5
"GO:0045124","BP","GO:0045124","regulation of bone resorption","4/97","29/11800",8.70433681092552e-05,0.00233816495714172,0.0018114288342156,"TF/TMEM119/CSF1R/SYK",4
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","9/97","223/11800",8.84442532217517e-05,0.00234879795203675,0.00181966645384465,"TYROBP/AIF1/CD74/TREM2/ZBTB16/ITGB2/LILRB4/IRS2/SYK",9
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","8/97","175/11800",9.37769143763881e-05,0.00242398942472496,0.00187791897418054,"MAPK3/CD74/TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK",8
"GO:0051250","BP","GO:0051250","negative regulation of lymphocyte activation","6/97","90/11800",9.42516186599522e-05,0.00242398942472496,0.00187791897418054,"TYROBP/CD74/LAPTM5/LILRB4/LST1/RIPOR2",6
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","7/97","130/11800",9.45255228808825e-05,0.00242398942472496,0.00187791897418054,"TYROBP/AIF1/CD74/LILRB4/IRS2/LST1/SYK",7
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","10/97","279/11800",9.54244874089415e-05,0.00242398942472496,0.00187791897418054,"C3/TYROBP/AIF1/CD74/LAPTM5/TREM2/HMGB2/CYBA/CSF1R/SYK",10
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","8/97","177/11800",0.000101521321707049,0.00255113256805777,0.0019764196189714,"MAPK3/CD74/TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK",8
"GO:0001817","BP","GO:0001817","regulation of cytokine production","13/97","466/11800",0.000108291563946217,0.00269231260576924,0.00208579496066621,"CX3CR1/C3/PLD4/TYROBP/AIF1/CD74/LAPTM5/TREM2/HMGB2/CYBA/CSF1R/LILRB4/SYK",13
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","9/97","230/11800",0.000111991151972404,0.00273302777417387,0.00211733791481615,"TYROBP/AIF1/CD74/TREM2/ZBTB16/ITGB2/LILRB4/IRS2/SYK",9
"GO:0061517","BP","GO:0061517","macrophage proliferation","3/97","12/11800",0.000112268149901879,0.00273302777417387,0.00211733791481615,"MAPK3/TREM2/CSF1R",3
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","7/97","135/11800",0.00011981069790122,0.00288657320613557,0.00223629300477588,"C3/TYROBP/CD74/LAPTM5/TREM2/ITGB2/SYK",7
"GO:0001816","BP","GO:0001816","cytokine production","13/97","473/11800",0.000125703807862532,0.0029976510099463,0.00232234747071488,"CX3CR1/C3/PLD4/TYROBP/AIF1/CD74/LAPTM5/TREM2/HMGB2/CYBA/CSF1R/LILRB4/SYK",13
"GO:0002444","BP","GO:0002444","myeloid leukocyte mediated immunity","5/97","60/11800",0.000129237514191278,0.00305078859257593,0.00236351434778308,"CX3CR1/C3/TYROBP/ITGB2/SYK",5
"GO:0032640","BP","GO:0032640","tumor necrosis factor production","6/97","96/11800",0.000134893997902791,0.0031212601296913,0.00241811022816884,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:0032680","BP","GO:0032680","regulation of tumor necrosis factor production","6/97","96/11800",0.000134893997902791,0.0031212601296913,0.00241811022816884,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","6/97","97/11800",0.000142843544887263,0.0032410229553547,0.00251089317533054,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:1903555","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","6/97","97/11800",0.000142843544887263,0.0032410229553547,0.00251089317533054,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment","4/97","33/11800",0.000146236669612222,0.00328610670080542,0.00254582056409942,"C3/AIF1/TREM2/ITGB2",4
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","10/97","299/11800",0.000168453035596834,0.0037492832779981,0.00290465384688275,"TYROBP/AIF1/CD74/LAPTM5/ZBTB16/LILRB4/IRS2/LST1/SYK/RIPOR2",10
"GO:0050730","BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","7/97","144/11800",0.000179066136322186,0.00382153128206738,0.00296062599606148,"CD74/TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK",7
"GO:0002888","BP","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","3/97","14/11800",0.000183546281683203,0.00382153128206738,0.00296062599606148,"C3/TYROBP/ITGB2",3
"GO:0032691","BP","GO:0032691","negative regulation of interleukin-1 beta production","3/97","14/11800",0.000183546281683203,0.00382153128206738,0.00296062599606148,"CX3CR1/TREM2/LILRB4",3
"GO:0060143","BP","GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","3/97","14/11800",0.000183546281683203,0.00382153128206738,0.00296062599606148,"TYROBP/TREM2/RIPOR2",3
"GO:1903975","BP","GO:1903975","regulation of glial cell migration","3/97","14/11800",0.000183546281683203,0.00382153128206738,0.00296062599606148,"CX3CR1/TREM2/P2RY12",3
"GO:0006801","BP","GO:0006801","superoxide metabolic process","4/97","35/11800",0.000184780930626279,0.00382153128206738,0.00296062599606148,"TYROBP/CYBA/ITGB2/SYK",4
"GO:0032722","BP","GO:0032722","positive regulation of chemokine production","4/97","35/11800",0.000184780930626279,0.00382153128206738,0.00296062599606148,"AIF1/CD74/CSF1R/SYK",4
"GO:0046850","BP","GO:0046850","regulation of bone remodeling","4/97","35/11800",0.000184780930626279,0.00382153128206738,0.00296062599606148,"TF/TMEM119/CSF1R/SYK",4
"GO:0032692","BP","GO:0032692","negative regulation of interleukin-1 production","3/97","15/11800",0.000228066813490789,0.00463471428806935,0.00359061710942021,"CX3CR1/TREM2/LILRB4",3
"GO:0090322","BP","GO:0090322","regulation of superoxide metabolic process","3/97","15/11800",0.000228066813490789,0.00463471428806935,0.00359061710942021,"TYROBP/ITGB2/SYK",3
"GO:0071674","BP","GO:0071674","mononuclear cell migration","6/97","106/11800",0.000232398188915269,0.00468202213357745,0.00362726755838714,"MAPK3/CX3CR1/AIF1/PLEC/CSF1R/RIPOR2",6
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","6/97","109/11800",0.000270476298112428,0.00540259067255337,0.00418550816692196,"TYROBP/CD74/LAPTM5/LILRB4/LST1/RIPOR2",6
"GO:0060142","BP","GO:0060142","regulation of syncytium formation by plasma membrane fusion","3/97","16/11800",0.000279026919625951,0.0054797135392088,0.00424525698148284,"TYROBP/TREM2/RIPOR2",3
"GO:0097501","BP","GO:0097501","stress response to metal ion","3/97","16/11800",0.000279026919625951,0.0054797135392088,0.00424525698148284,"MT2A/MT1X/MT1M",3
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","5/97","71/11800",0.000286921055533664,0.00554160749406755,0.00429320761651068,"C3/CD74/TREM2/C1QB/SERPING1",5
"GO:0019724","BP","GO:0019724","B cell mediated immunity","5/97","71/11800",0.000286921055533664,0.00554160749406755,0.00429320761651068,"C3/CD74/TREM2/C1QB/SERPING1",5
"GO:0030316","BP","GO:0030316","osteoclast differentiation","5/97","72/11800",0.000306345409551438,0.00586827231247304,0.0045462821779851,"TYROBP/TF/TREM2/CSF1R/LILRB4",5
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","9/97","265/11800",0.000323341681115362,0.00614349194119188,0.00475950099716237,"MAPK3/CX3CR1/CD74/LAPTM5/TREM2/CSF1R/LILRB4/SYK/IFITM3",9
"GO:0061687","BP","GO:0061687","detoxification of inorganic compound","3/97","17/11800",0.00033680246425984,0.0063331187392041,0.00490640913065831,"MT2A/MT1X/MT1M",3
"GO:0071248","BP","GO:0071248","cellular response to metal ion","7/97","160/11800",0.000341643125648134,0.0063331187392041,0.00490640913065831,"MAPK3/TF/MT2A/AQP1/MT1X/ALOX5AP/MT1M",7
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","4/97","41/11800",0.000344161780008096,0.0063331187392041,0.00490640913065831,"CD74/ITGB2/SYK/RIPOR2",4
"GO:0099024","BP","GO:0099024","plasma membrane invagination","4/97","41/11800",0.000344161780008096,0.0063331187392041,0.00490640913065831,"C3/AIF1/TREM2/ITGB2",4
