category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,3/37,127/5745,0.04751116866078172,0.22132200554896353,0.18200822824750293,CX3CR1/P2RY12/C1QB,3
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,2/37,55/5745,0.04841418871383577,0.22132200554896353,0.18200822824750293,LILRB4/SYK,2
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,3/37,137/5745,0.05720645490759749,0.24962816686951628,0.20528632143874698,HSPA8/CYBA/OLR1,3
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,2/37,75/5745,0.08356713351545482,0.3317384361943104,0.2728112139755843,C3/C1QB,2
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,3/37,165/5745,0.08887785624367842,0.3317384361943104,0.2728112139755843,ITGB2/CSF1R/PFN1,3
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,2/37,79/5745,0.09132836175621176,0.3317384361943104,0.2728112139755843,CX3CR1/CSF1R,2
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,1/37,15/5745,0.09247743489115112,0.3317384361943104,0.2728112139755843,CNDP1,1
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,2/37,80/5745,0.09330143517964981,0.3317384361943104,0.2728112139755843,CYBA/ITGB2,2
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,3/37,173/5745,0.09905882754522097,0.33224021496980294,0.27322386099490376,ITGB2/ITGAX/PFN1,3
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,3/37,174/5745,0.1003642316054613,0.33224021496980294,0.27322386099490376,CYBA/NDUFB9/COX5A,3
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,1/37,18/5745,0.10994746865303262,0.3518318996897044,0.2893354438237701,ALDH1A1,1
Organismal Systems,Immune system,hsa04611,Platelet activation,2/37,91/5745,0.11578864766061117,0.3547705752372127,0.2917521177937605,P2RY12/SYK,2
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,2/37,94/5745,0.12214757899180005,0.3547705752372127,0.2917521177937605,C3/C1QB,2
Human Diseases,Drug resistance: antineoplastic,hsa01523,Antifolate resistance,1/37,21/5745,0.12709011862168085,0.3547705752372127,0.2917521177937605,ABCG2,1
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,2/37,97/5745,0.12859262321120565,0.3547705752372127,0.2917521177937605,SELPLG/ITGB2,2
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,3/37,195/5745,0.12934343888856714,0.3547705752372127,0.2917521177937605,CYBA/NDUFB9/COX5A,3
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,1/37,23/5745,0.13833962347073425,0.36890566258862467,0.30337636726038214,ITGB2,1
Metabolism,Metabolism of other amino acids,hsa00410,beta-Alanine metabolism,1/37,24/5745,0.14391135257447107,0.3733916174905196,0.3070654749099667,CNDP1,1
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,1/37,30/5745,0.17661291670224255,0.4381469856415328,0.3603182447709974,ABCG2,1
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,2/37,119/5745,0.1779972129168727,0.4381469856415328,0.3603182447709974,NDUFB9/COX5A,2
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,1/37,35/5745,0.20293293826504577,0.4760486738242257,0.3914873962370278,TF,1
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,1/37,36/5745,0.20809782115194486,0.4760486738242257,0.3914873962370278,CSF1R,1
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,2/37,134/5745,0.21321078480901312,0.4760486738242257,0.3914873962370278,NDUFB9/COX5A,2
Organismal Systems,Digestive system,hsa04976,Bile secretion,1/37,37/5745,0.21323013515043443,0.4760486738242257,0.3914873962370278,ABCG2,1
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,2/37,140/5745,0.2275071061573054,0.48717428564352383,0.4006367480621084,C3/SYK,2
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,1/37,41/5745,0.23343767853752184,0.48717428564352383,0.4006367480621084,CNDP1,1
Organismal Systems,Digestive system,hsa04978,Mineral absorption,1/37,41/5745,0.23343767853752184,0.48717428564352383,0.4006367480621084,TF,1
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,2/37,145/5745,0.23948138360725119,0.489153464389279,0.4022643621622361,C3/SYK,2
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,1/37,45/5745,0.2531398835265809,0.5054457264570662,0.4156626039942979,UGT8,1
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,1/37,46/5745,0.25798792287912753,0.5054457264570662,0.4156626039942979,ITGB2,1
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,1/37,48/5745,0.2675923159898955,0.5137772467005994,0.42251418314194034,ITGB2,1
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,1/37,54/5745,0.29568541396416126,0.5521170766256174,0.4540436485408038,HSPA8,1
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,1/37,55/5745,0.3002645107280564,0.5521170766256174,0.4540436485408038,SST,1
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,1/37,56/5745,0.3048146360537263,0.5521170766256174,0.4540436485408038,CSF1R,1
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,1/37,60/5745,0.32272897180520466,0.5633087507872663,0.4632473279500545,SYK,1
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,1/37,60/5745,0.32272897180520466,0.5633087507872663,0.4632473279500545,ITGB2,1
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,3/37,317/5745,0.3348220254082054,0.5729580351107275,0.47118259466342727,NDUFB9/PFN1/COX5A,3
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,1/37,64/5745,0.3401938333469945,0.5729580351107275,0.47118259466342727,COX5A,1
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,2/37,196/5745,0.36164773960737207,0.5985893621087538,0.4922609885762778,C3/PFN1,2
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,1/37,71/5745,0.3697086478383569,0.6015598337708858,0.4947038106668469,SYK,1
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,1/37,77/5745,0.39398129677157434,0.6213610866615716,0.5109877357414241,PLD4,1
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,2/37,212/5745,0.398910966679461,0.6213610866615716,0.5109877357414241,NDUFB9/COX5A,2
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,1/37,80/5745,0.40577410392667923,0.6213610866615716,0.5109877357414241,HSPA8,1
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,1/37,82/5745,0.41351161010630755,0.6213610866615716,0.5109877357414241,SYK,1
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,1/37,86/5745,0.4286936428381126,0.6213610866615716,0.5109877357414241,TF,1
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,2/37,226/5745,0.43074420499134813,0.6213610866615716,0.5109877357414241,HSPA8/CAPZB,2
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,1/37,91/5745,0.44713418169808694,0.6213610866615716,0.5109877357414241,TF,1
Human Diseases,Infectious disease: viral,hsa05162,Measles,1/37,92/5745,0.4507521575164761,0.6213610866615716,0.5109877357414241,HSPA8,1
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,2/37,235/5745,0.45076810720184657,0.6213610866615716,0.5109877357414241,HSPA8/CSF1R,2
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,2/37,237/5745,0.4551676278254607,0.6213610866615716,0.5109877357414241,NDUFB9/COX5A,2
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,1/37,94/5745,0.4579191307642093,0.6213610866615716,0.5109877357414241,HSPA8,1
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,2/37,239/5745,0.45954830367678734,0.6213610866615716,0.5109877357414241,CSF1R/SYK,2
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,3/37,393/5745,0.4693101724966616,0.6257468966622155,0.5145944873866904,C3/CD74/SYK,3
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",1/37,100/5745,0.4788783886312551,0.6297578809397327,0.5178929941938591,SST,1
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,1/37,104/5745,0.4924109179573043,0.638781879036326,0.5253140452601366,RCAN2,1
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,1/37,106/5745,0.49904834299712963,0.638781879036326,0.5253140452601366,CYBA,1
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,2/37,267/5745,0.5187754423079429,0.6394622566028146,0.5258735662852095,NDUFB9/COX5A,2
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,1/37,116/5745,0.5309890306437723,0.6394622566028146,0.5258735662852095,LAPTM5,1
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,1/37,116/5745,0.5309890306437723,0.6394622566028146,0.5258735662852095,CYBA,1
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,1/37,117/5745,0.5340718883211896,0.6394622566028146,0.5258735662852095,CX3CR1,1
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,1/37,118/5745,0.5371350262266827,0.6394622566028146,0.5258735662852095,CSF1R,1
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,1/37,121/5745,0.5462073441815709,0.6394622566028146,0.5258735662852095,SYK,1
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,1/37,121/5745,0.5462073441815709,0.6394622566028146,0.5258735662852095,ITGB2,1
Genetic Information Processing,Transcription,hsa03040,Spliceosome,1/37,126/5745,0.5609447819698841,0.6400471780566536,0.5263545872176427,HSPA8,1
Cellular Processes,Cell motility,hsa04814,Motor proteins,1/37,127/5745,0.5638358734571796,0.6400471780566536,0.5263545872176427,CAPZB,1
Genetic Information Processing,Translation,hsa03010,Ribosome,1/37,128/5745,0.5667084389043286,0.6400471780566536,0.5263545872176427,RPS26,1
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,1/37,131/5745,0.5752161298878041,0.642101726386386,0.5280441828835412,NDUFB9,1
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,1/37,148/5745,0.6204420470682204,0.6810311548204494,0.5600585154773434,SYK,1
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,2/37,323/5745,0.624278558585412,0.6810311548204494,0.5600585154773434,NDUFB9/COX5A,2
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,1/37,158/5745,0.6448190376138201,0.6876450784688589,0.5654975974250483,HSPA8,1
NA,NA,hsa04820,Cytoskeleton in muscle cells,1/37,159/5745,0.6471712294177021,0.6876450784688589,0.5654975974250483,CAPZB,1
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,1/37,161/5745,0.6518302306319391,0.6876450784688589,0.5654975974250483,SST,1
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,1/37,171/5745,0.6742418793678396,0.7026448229796656,0.5778329136345934,ITGB2,1
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,1/37,174/5745,0.6806871722615511,0.7026448229796656,0.5778329136345934,CSF1R,1
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,2/37,400/5745,0.7400275043550424,0.748221281526029,0.6153135538865371,NDUFB9/COX5A,2
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,1/37,205/5745,0.7404273098434662,0.748221281526029,0.6153135538865371,PFN1,1
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,1/37,386/5745,0.924364544392914,0.924364544392914,0.760168210849436,CSF1R,1
