Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to10,Feature log2 fold change topic 6to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000171824,EXOSC10,39,0.20395,26,-0.5470,36,0.04813,40,0.21609,45,0.39376
ENSG00000198793,MTOR,38,-0.1034,33,-0.3502,50,0.58601,32,-0.3603,25,-0.7225
ENSG00000116661,FBXO2,55,-1.6680,141,-0.1852,184,0.44991,356,1.37238,55,-1.5692
ENSG00000132879,FBXO44,93,0.22389,64,-0.4612,103,0.61603,52,-0.7140,40,-1.1031
ENSG00000177000,MTHFR,19,-0.1436,24,0.33892,18,-0.2579,23,0.17995,20,-0.0099
ENSG00000011021,CLCN6,67,-0.0332,81,0.33781,68,0.00054,61,-0.1688,40,-0.8338
ENSG00000116685,KIAA2013,47,0.84835,14,-1.3091,30,0.01997,28,-0.0938,42,0.55936
ENSG00000083444,PLOD1,15,-0.1104,14,-0.2457,18,0.25980,9,-0.8671,22,0.52666
ENSG00000116688,MFN2,121,-0.1471,146,0.19878,147,0.28211,68,-1.0151,99,-0.4489
ENSG00000048707,VPS13D,98,0.29051,85,0.05589,84,0.02357,52,-0.7184,73,-0.2044
ENSG00000162496,DHRS3,6,-1.6858,8,-1.4633,13,-0.7400,104,3.24998,15,-0.2656
ENSG00000116731,PRDM2,465,1.14107,233,-0.1589,204,-0.4933,142,-0.8918,245,-0.0507
ENSG00000189337,KAZN,53,-0.3484,60,-0.1759,74,0.32997,28,-1.2984,101,0.68697
ENSG00000142634,EFHD2,129,0.56922,147,0.94663,65,-0.8055,24,-2.0291,76,-0.3147
ENSG00000116138,DNAJC16,54,0.53399,42,0.10019,39,-0.0581,20,-1.0072,29,-0.4590
ENSG00000197312,DDI2,73,1.10587,42,0.08941,34,-0.4091,13,-1.6504,29,-0.5266
ENSG00000116786,PLEKHM2,65,-0.7511,135,0.56039,104,0.04456,102,-0.0117,70,-0.5800
ENSG00000065526,SPEN,317,1.06005,118,-0.7479,100,-1.2266,230,0.40139,428,1.45099
ENSG00000116809,ZBTB17,20,0.14309,15,-0.3429,18,-0.0202,32,0.92138,11,-0.7629
ENSG00000037637,FBXO42,31,0.59367,17,-0.4684,25,0.24742,16,-0.5354,15,-0.6119
ENSG00000055070,SZRD1,15,-0.6709,16,-0.6328,22,-0.1532,59,1.52412,32,0.48813
ENSG00000219481,NBPF1,12,-0.0899,8,-0.8703,12,-0.2086,23,0.89735,26,1.07550
ENSG00000159363,ATP13A2,63,-0.6706,114,0.37093,122,0.71279,27,-1.8740,26,-1.9087
ENSG00000117118,SDHB,22,-1.7108,47,-0.5568,102,1.50951,36,-0.8624,30,-1.1369
ENSG00000117115,PADI2,35,-0.9349,46,-0.5312,16,-2.4710,182,1.84779,264,2.61181
ENSG00000179051,RCC2,20,-0.4195,26,-0.0319,31,0.46646,25,-0.0574,15,-0.8826
ENSG00000074964,ARHGEF10L,9,-0.8262,13,-0.1669,15,0.13556,35,1.42405,6,-1.3726
ENSG00000117154,IGSF21,58,-0.0847,75,0.41905,67,0.22939,29,-1.1476,27,-1.2072
ENSG00000159423,ALDH4A1,8,-0.8518,17,0.37137,12,-0.4418,31,1.25509,13,-0.1435
ENSG00000127481,UBR4,66,1.04843,18,-1.3113,31,-0.4206,43,0.19616,66,0.91920
ENSG00000127463,EMC1,39,0.29412,29,-0.2004,39,0.45995,13,-1.3955,19,-0.8124
ENSG00000053372,MRTO4,46,0.15215,53,0.43978,44,0.07814,16,-1.4230,22,-0.9775
ENSG00000053371,AKR7A2,13,-0.8955,22,-0.0833,22,-0.1616,51,1.27455,26,0.18396
ENSG00000077549,CAPZB,144,-0.2101,132,-0.3915,197,0.50511,154,-0.0846,132,-0.3263
ENSG00000173436,MICOS10,145,-1.0186,366,0.62021,309,0.34798,170,-0.7111,138,-1.0323
ENSG00000158747,NBL1,150,0.08101,153,0.12969,142,-0.0149,173,0.29821,74,-1.0005
ENSG00000169914,OTUD3,36,0.84542,25,0.19690,20,-0.3140,11,-1.1236,14,-0.6647
ENSG00000162545,CAMK2N1,1194,-0.6066,1950,0.25445,1811,0.13907,2575,0.65453,698,-1.3714
ENSG00000090432,MUL1,13,-0.0844,11,-0.4004,16,0.41319,2,-2.6676,23,0.81754
ENSG00000183114,FAM43B,39,1.46677,24,0.62227,12,-0.8750,1,-3.3381,3,-2.5119
ENSG00000158828,PINK1,276,-0.7614,480,0.18877,558,0.68153,256,-0.8194,189,-1.2743
ENSG00000244038,DDOST,24,-0.0888,18,-0.5938,34,0.79115,20,-0.3776,13,-1.0295
ENSG00000117245,KIF17,21,-0.4414,47,1.17053,27,0.00185,6,-2.3022,2,-3.5181
ENSG00000189410,SH2D5,27,-0.6765,32,-0.4584,63,1.25321,24,-0.8189,7,-2.6219
ENSG00000127483,HP1BP3,350,0.39435,227,-0.3917,236,-0.4012,317,0.19724,484,0.88605
ENSG00000075151,EIF4G3,390,0.52902,182,-0.8433,348,0.48011,149,-1.0181,269,-0.1172
ENSG00000117298,ECE1,17,-0.1086,11,-0.9164,14,-0.5847,57,1.94413,24,0.46739
ENSG00000076864,RAP1GAP,175,0.61149,132,0.12070,129,0.10072,30,-2.1076,68,-0.9296
ENSG00000090686,USP48,125,0.73852,48,-0.9660,74,-0.2635,88,0.08085,143,0.87925
ENSG00000070831,CDC42,155,-0.4514,208,0.04896,238,0.42397,130,-0.6894,178,-0.2014
ENSG00000184677,ZBTB40,18,0.52077,10,-0.4679,11,-0.4640,13,0.00077,26,1.04885
ENSG00000173372,C1QA,6,-1.4476,12,-0.4520,10,-0.8438,60,2.36626,25,0.74146
ENSG00000173369,C1QB,5,-1.6923,12,-0.5198,11,-0.8317,61,2.30762,30,1.02728
ENSG00000133216,EPHB2,21,0.73555,7,-1.1719,14,0.03664,7,-0.9295,26,0.98948
ENSG00000004487,KDM1A,87,0.69876,33,-1.0120,68,0.38616,54,-0.1404,38,-0.6686
ENSG00000169641,LUZP1,242,0.62528,136,-0.4293,200,0.41306,92,-0.9457,68,-1.4008
ENSG00000125944,HNRNPR,186,0.46900,112,-0.4431,129,-0.2491,158,0.15736,204,0.56897
ENSG00000142676,RPL11,197,-1.4664,614,0.46188,469,-0.0969,742,0.67432,531,0.13432
ENSG00000011007,ELOA,41,0.41147,28,-0.2920,28,-0.3797,39,0.26757,48,0.62349
ENSG00000057757,PITHD1,90,-0.9286,215,0.61762,181,0.33554,81,-1.0215,94,-0.7999
ENSG00000011009,LYPLA2,11,-1.0689,18,-0.2979,27,0.69091,26,0.38044,14,-0.5542
ENSG00000117308,GALE,12,-0.0914,8,-0.7421,20,1.25306,4,-1.6085,2,-2.4062
ENSG00000117305,HMGCL,4,-1.6544,5,-1.4966,13,0.19624,34,1.77165,21,0.93054
ENSG00000189266,PNRC2,67,-0.0029,83,0.42411,61,-0.2260,60,-0.1669,56,-0.2608
ENSG00000188529,SRSF10,100,0.49927,68,-0.1949,64,-0.3737,76,-0.0028,105,0.52294
ENSG00000001460,STPG1,19,0.75573,13,0.09791,12,-0.0895,1,-2.9893,11,-0.2366
ENSG00000001461,NIPAL3,172,0.26547,123,-0.3465,110,-0.6746,127,-0.2386,387,1.61481
ENSG00000133226,SRRM1,288,0.53409,131,-0.8801,159,-0.6642,298,0.53150,501,1.41631
ENSG00000169504,CLIC4,23,-0.7663,41,0.19837,10,-2.3765,78,1.19666,147,2.40350
ENSG00000117614,SYF2,116,-0.0560,107,-0.2193,108,-0.2485,179,0.63662,169,0.54014
ENSG00000117616,RSRP1,199,1.25979,63,-0.8701,78,-0.6200,77,-0.4280,174,0.85658
ENSG00000183726,TMEM50A,60,-0.3537,94,0.47443,74,0.00701,47,-0.6998,69,-0.1180
ENSG00000204178,MACO1,87,0.66026,48,-0.4264,56,-0.1835,46,-0.4294,81,0.46894
ENSG00000117643,MAN1C1,31,-0.4766,35,-0.3034,59,0.99560,23,-0.9155,14,-1.6473
ENSG00000162430,SELENON,31,0.56884,17,-0.4900,19,-0.3603,43,1.03175,18,-0.3830
ENSG00000117640,MTFR1L,50,-0.4095,82,0.49467,68,0.14750,43,-0.6089,40,-0.7408
ENSG00000117632,STMN1,1016,-0.5150,1504,0.17033,1735,0.62592,455,-1.6821,870,-0.7123
ENSG00000158008,EXTL1,38,-0.0152,45,0.33969,40,0.10094,25,-0.6660,23,-0.7837
ENSG00000175087,PDIK1L,27,0.77845,17,-0.0702,16,-0.2520,14,-0.3166,13,-0.4940
ENSG00000142684,ZNF593,12,-1.2463,20,-0.4445,37,0.97649,29,0.19238,14,-0.8786
ENSG00000142669,SH3BGRL3,92,-0.4836,152,0.42814,120,-0.0484,100,-0.3211,131,0.10161
ENSG00000158062,UBXN11,9,-0.8294,15,0.11404,20,0.91224,4,-1.9215,6,-1.2480
ENSG00000117682,DHDDS,24,0.16647,25,0.33444,20,-0.1743,23,0.09017,11,-0.9511
ENSG00000198830,HMGN2,111,-0.6512,161,-0.0362,126,-0.5887,356,1.28065,273,0.82618
ENSG00000117713,ARID1A,112,0.59201,88,0.17503,55,-0.8412,75,-0.1068,128,0.74278
ENSG00000204160,ZDHHC18,22,0.73097,13,-0.2350,16,0.12434,7,-1.0354,9,-0.7933
ENSG00000142751,GPN2,23,0.35653,13,-0.5817,21,0.27481,13,-0.4736,20,0.10333
ENSG00000090273,NUDC,134,-0.7497,198,-0.1171,276,0.74888,167,-0.3591,118,-0.8853
ENSG00000253368,TRNP1,18,-1.6957,66,0.46477,71,0.88853,19,-1.4724,16,-1.7883
ENSG00000090020,SLC9A1,9,-1.2491,23,0.17965,28,0.82513,9,-1.2953,13,-0.6711
ENSG00000142784,WDTC1,20,-0.5786,35,0.35921,27,-0.1396,30,0.04556,36,0.34093
ENSG00000186501,TMEM222,35,-0.2694,45,0.16224,40,-0.0448,41,0.00157,46,0.18151
ENSG00000158195,WASF2,55,0.18560,37,-0.5274,12,-2.6662,115,1.38689,200,2.46146
ENSG00000126705,AHDC1,81,0.85048,53,0.08768,39,-0.5753,27,-0.9739,64,0.36972
ENSG00000126709,IFI6,87,-0.4678,115,0.00416,124,0.20646,161,0.54134,75,-0.6582
ENSG00000009780,FAM76A,49,1.15292,26,-0.0346,16,-1.0369,27,0.05326,33,0.32490
ENSG00000117758,STX12,101,-0.1065,116,0.14168,110,0.05683,85,-0.3672,107,-0.0183
ENSG00000117751,PPP1R8,30,0.10978,26,-0.1860,24,-0.4079,34,0.29954,50,0.90316
ENSG00000117748,RPA2,45,-0.3454,50,-0.1697,67,0.54206,55,0.00109,27,-1.0449
ENSG00000158161,EYA3,23,0.85835,14,-0.0268,12,-0.4530,14,-0.0622,11,-0.4016
ENSG00000126698,DNAJC8,233,0.09641,174,-0.4390,232,0.12272,225,0.03101,275,0.35287
ENSG00000130770,ATP5IF1,145,-1.7360,387,-0.1834,675,1.43739,184,-1.2796,108,-2.0747
ENSG00000204138,PHACTR4,46,0.66121,15,-1.3230,14,-1.6299,83,1.61035,90,1.77566
ENSG00000180098,TRNAU1AP,16,-0.2639,20,0.10815,19,-0.0422,15,-0.3711,27,0.55267
ENSG00000120656,TAF12,11,-0.4732,10,-0.6588,20,0.83014,18,0.25307,7,-1.0324
ENSG00000162419,GMEB1,10,-0.5179,9,-0.6739,14,0.01471,23,0.83063,24,0.91452
ENSG00000198492,YTHDF2,87,-0.1341,85,-0.1955,110,0.39875,67,-0.5348,86,-0.1369
ENSG00000116329,OPRD1,33,1.26981,15,-0.2051,16,-0.1819,9,-0.9475,3,-2.2338
ENSG00000159023,EPB41,24,0.07454,26,0.25900,22,-0.0491,27,0.28988,8,-1.4384
ENSG00000116350,SRSF4,90,0.23185,61,-0.4683,70,-0.2957,101,0.37921,135,0.86521
ENSG00000116353,MECR,28,0.16902,20,-0.4179,30,0.50922,20,-0.3631,14,-0.8949
ENSG00000060656,PTPRU,38,1.48710,23,0.59787,10,-1.1690,0,-4.6998,12,-0.4879
ENSG00000162511,LAPTM5,10,-1.1760,27,0.41184,10,-1.4708,69,1.96879,38,0.88914
ENSG00000162512,SDC3,82,0.12581,75,-0.0502,53,-0.8133,180,1.40787,87,0.19070
ENSG00000134644,PUM1,260,0.81014,160,-0.0829,146,-0.3130,104,-0.7311,168,0.01260
ENSG00000121766,ZCCHC17,148,0.03081,132,-0.1908,155,0.15046,129,-0.1940,155,0.09479
ENSG00000121769,FABP3,46,-0.6794,64,-0.1583,101,1.11156,19,-1.9029,23,-1.6355
ENSG00000162517,PEF1,36,-0.8434,61,0.03731,78,0.73191,35,-0.8256,38,-0.6874
ENSG00000084636,COL16A1,33,0.54716,14,-0.9070,16,-0.8506,52,1.23587,48,1.09750
ENSG00000121753,ADGRB2,187,0.21941,137,-0.3436,209,0.63659,87,-0.9864,65,-1.4111
ENSG00000184007,PTP4A2,286,-0.0950,312,0.06430,149,-1.4599,309,0.03586,1061,2.18479
ENSG00000121774,KHDRBS1,142,-0.1144,146,-0.0732,151,-0.0032,166,0.14376,175,0.22539
ENSG00000025800,KPNA6,156,0.75429,77,-0.5332,100,-0.0771,93,-0.1557,100,-0.0377
ENSG00000084652,TXLNA,33,0.22075,33,0.27583,24,-0.3666,12,-1.2779,45,0.72738
ENSG00000160050,CCDC28B,5,-1.4890,9,-0.6326,18,0.82114,20,0.57429,13,-0.0759
ENSG00000084623,EIF3I,72,-0.4867,82,-0.2857,125,0.74493,74,-0.3968,58,-0.7599
ENSG00000175130,MARCKSL1,58,-1.3274,109,-0.3611,48,-1.9818,294,1.32128,607,2.76476
ENSG00000160058,BSDC1,64,0.24477,53,-0.0769,52,-0.1677,55,0.00519,64,0.22373
ENSG00000160062,ZBTB8A,27,0.44943,14,-0.7258,19,-0.2879,37,0.89176,27,0.35712
ENSG00000176261,ZBTB8OS,22,-0.9477,45,0.27694,47,0.48560,33,-0.2509,22,-0.8706
ENSG00000162521,RBBP4,143,0.32771,102,-0.2940,110,-0.1920,134,0.19105,153,0.39646
ENSG00000162522,KIAA1522,13,-0.5051,25,0.60937,20,0.25257,16,-0.1649,1,-4.2857
ENSG00000134684,YARS,62,-0.9266,101,-0.1568,160,1.10408,46,-1.3169,44,-1.3765
ENSG00000160097,FNDC5,11,-1.4770,29,0.02200,43,1.22265,8,-1.7919,10,-1.5816
ENSG00000121905,HPCA,109,-0.5300,177,0.33676,193,0.70812,49,-1.6948,29,-2.4592
ENSG00000121900,TMEM54,15,-1.0308,30,0.05219,35,0.45889,41,0.53361,15,-1.0412
ENSG00000116514,RNF19B,5,-1.4854,15,0.12875,21,1.10784,1,-3.0221,8,-0.8207
ENSG00000004455,AK2,24,-0.5982,36,0.09847,26,-0.6093,59,0.84732,67,1.07597
ENSG00000142920,AZIN2,17,-0.1424,14,-0.4926,22,0.54113,14,-0.4124,18,-0.0354
ENSG00000160094,ZNF362,25,-0.0009,30,0.39146,20,-0.5138,42,0.83671,16,-0.6137
ENSG00000134686,PHC2,47,-0.0543,56,0.25782,44,-0.2417,29,-0.8143,75,0.68831
ENSG00000163866,SMIM12,40,-0.5923,53,-0.1219,80,0.99168,20,-1.5768,21,-1.4600
ENSG00000116544,DLGAP3,43,0.01301,48,0.24653,42,0.00688,52,0.33237,14,-1.6496
ENSG00000163867,ZMYM6,28,0.18425,22,-0.2563,25,0.02729,30,0.31827,22,-0.1950
ENSG00000116560,SFPQ,398,0.70812,215,-0.4146,210,-0.5660,227,-0.2611,509,1.04246
ENSG00000146463,ZMYM4,78,0.21952,66,-0.0933,65,-0.1361,61,-0.1934,88,0.37537
ENSG00000142687,KIAA0319L,65,-0.0294,55,-0.3555,76,0.35752,70,0.09593,50,-0.4334
ENSG00000020129,NCDN,342,-0.4458,363,-0.3787,672,1.24594,109,-2.1171,99,-2.2647
ENSG00000126067,PSMB2,77,-0.0588,60,-0.5382,105,0.74267,53,-0.6203,50,-0.7307
ENSG00000142686,C1orf216,91,-0.0355,95,0.04007,120,0.71549,18,-2.4020,27,-1.8383
ENSG00000134698,AGO4,20,0.12253,20,0.12183,16,-0.3710,10,-0.9300,34,0.99837
ENSG00000092847,AGO1,55,0.30251,57,0.41443,36,-0.5388,37,-0.3285,54,0.24779
ENSG00000126070,AGO3,85,0.63880,33,-1.0550,47,-0.5579,61,0.02737,153,1.57223
ENSG00000116863,ADPRHL2,9,-0.7592,13,-0.1677,20,0.87637,2,-2.6550,15,0.01110
ENSG00000054116,TRAPPC3,22,-1.0277,27,-0.7500,65,1.35915,24,-0.8345,25,-0.7941
ENSG00000116871,MAP7D1,156,-0.2260,158,-0.2312,193,0.20573,138,-0.3932,249,0.53499
ENSG00000054118,THRAP3,240,0.53634,149,-0.3309,154,-0.3376,170,-0.0726,267,0.65184
ENSG00000196182,STK40,16,-0.3689,28,0.72443,19,-0.1311,15,-0.3642,12,-0.7876
ENSG00000181817,LSM10,13,-1.3402,34,0.18590,41,0.73339,30,-0.0373,10,-1.6781
ENSG00000116885,OSCP1,11,-0.6800,14,-0.3629,26,1.21844,6,-1.6363,6,-1.5349
ENSG00000116898,MRPS15,24,-1.1540,53,0.17023,63,0.71042,44,-0.1590,18,-1.5276
ENSG00000163873,GRIK3,65,1.68726,44,0.96675,9,-2.1495,3,-3.0927,21,-0.3978
ENSG00000163875,MEAF6,115,-0.1214,147,0.35103,137,0.27356,66,-0.9521,56,-1.1967
ENSG00000163877,SNIP1,28,0.64150,20,0.05878,17,-0.3397,11,-0.7805,22,0.18101
ENSG00000134697,GNL2,32,0.21358,18,-0.7915,30,0.13125,31,0.13180,41,0.59522
ENSG00000116922,C1orf109,15,0.03473,17,0.34065,16,0.19405,6,-1.3812,8,-0.7963
ENSG00000185090,MANEAL,12,-0.7925,21,0.10118,26,0.73148,16,-0.2992,5,-2.0297
ENSG00000196449,YRDC,7,-0.8477,9,-0.4513,18,1.14708,10,-0.2939,3,-1.9975
ENSG00000197982,C1orf122,66,-1.1384,152,0.26996,132,-0.0099,190,0.57664,152,0.21815
ENSG00000188786,MTF1,31,1.02106,9,-1.1184,10,-1.2360,30,0.81665,45,1.52609
ENSG00000183431,SF3A3,37,-0.3295,31,-0.6526,55,0.53641,66,0.60951,31,-0.5858
ENSG00000183520,UTP11,47,0.30660,25,-0.7798,50,0.66389,34,-0.2119,16,-1.3062
ENSG00000185668,POU3F1,2,-2.6440,9,-0.7960,26,2.20121,3,-2.0898,3,-2.1252
ENSG00000116954,RRAGC,53,0.26374,31,-0.7018,48,0.15098,50,0.15058,56,0.32660
ENSG00000174574,AKIRIN1,112,0.14685,96,-0.1338,108,0.12975,68,-0.6321,113,0.14979
ENSG00000168653,NDUFS5,334,-1.0816,668,0.06670,902,0.96511,334,-1.0121,227,-1.5857
ENSG00000127603,MACF1,531,0.71685,225,-0.8380,210,-1.1354,689,1.07227,815,1.36385
ENSG00000090621,PABPC4,71,-0.1603,87,0.22168,57,-0.7073,136,0.90458,111,0.56492
ENSG00000116983,HPCAL4,423,0.66370,330,0.23061,237,-0.4924,331,0.19170,167,-0.8682
ENSG00000084072,PPIE,9,-1.9959,25,-0.3752,42,0.85247,41,0.41358,29,-0.1334
ENSG00000168389,MFSD2A,13,-0.2217,17,0.26884,12,-0.4526,33,1.22970,9,-0.8382
ENSG00000131236,CAP1,126,-0.3122,123,-0.3851,179,0.44053,150,-0.0178,151,-0.0002
