Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000162441,LZIC,104,0.94120,65,0.16920,65,0.17294,84,0.58150,55,-0.0762,58,-0.0040,73,0.34932,23,-1.3657,39,-0.6008,44,-0.5161
ENSG00000130939,UBE4B,44,-0.0852,79,0.87338,39,-0.2437,26,-0.8592,28,-0.7840,61,0.44750,31,-0.6161,53,0.21102,33,-0.5293,53,0.28183
ENSG00000054523,KIF1B,700,0.62742,687,0.59800,681,0.58375,478,0.01635,314,-0.6366,440,-0.1152,411,-0.2225,316,-0.6266,580,0.32335,358,-0.5154
ENSG00000142657,PGD,48,-0.3884,25,-1.3773,45,-0.4796,55,-0.1789,41,-0.6042,54,-0.1857,31,-1.0224,36,-0.8242,79,0.41012,107,1.21257
ENSG00000241563,CORT,6,-3.5707,18,-2.0014,27,-1.4081,34,-1.0292,149,1.29600,16,-2.1584,37,-0.9085,21,-1.7795,446,3.71826,20,-2.0337
ENSG00000160049,DFFA,114,1.15249,46,-0.3160,55,-0.0310,106,1.03632,69,0.33204,40,-0.5296,51,-0.1346,26,-1.1710,32,-0.8502,45,-0.4172
ENSG00000142655,PEX14,12,-0.9117,13,-0.7491,7,-1.7571,29,0.42045,11,-1.0503,16,-0.4633,14,-0.6483,32,0.61225,48,1.26123,27,0.41899
ENSG00000120948,TARDBP,82,-0.2250,103,0.12491,81,-0.2613,93,-0.0322,67,-0.5451,76,-0.3486,69,-0.5050,165,0.89226,134,0.54707,91,-0.0907
ENSG00000116649,SRM,29,-1.0549,13,-2.2600,29,-1.0676,85,0.60906,70,0.29601,50,-0.2433,72,0.32471,75,0.39532,90,0.68939,62,0.13173
ENSG00000171824,EXOSC10,33,-0.1618,110,1.85901,30,-0.3254,30,-0.2983,30,-0.3083,34,-0.1078,32,-0.1913,53,0.58501,19,-1.0080,23,-0.8378
ENSG00000198793,MTOR,21,-1.0804,49,0.18438,39,-0.1955,45,0.03829,42,-0.0780,31,-0.5207,17,-1.4496,87,1.10910,47,0.11146,49,0.23490
ENSG00000116661,FBXO2,65,-1.3251,24,-2.7566,41,-2.0079,329,1.22976,270,0.89063,117,-0.4381,151,-0.0518,121,-0.3867,153,-0.0237,199,0.49109
ENSG00000132879,FBXO44,28,-1.6747,51,-0.7782,41,-1.0902,62,-0.4680,60,-0.5237,81,-0.0574,128,0.66813,156,1.00205,87,0.05673,106,0.45015
ENSG00000177000,MTHFR,29,0.18026,50,1.04156,23,-0.1802,18,-0.5577,29,0.17834,26,-0.0137,30,0.23177,12,-1.1022,23,-0.1915,24,-0.1596
ENSG00000011021,CLCN6,52,-0.7102,60,-0.5129,50,-0.7853,82,-0.0239,63,-0.4305,110,0.45035,97,0.24742,62,-0.4611,106,0.38945,105,0.46986
ENSG00000116685,KIAA2013,48,0.52820,15,-1.2789,21,-0.7372,42,0.34162,33,-0.0370,29,-0.2577,55,0.77170,35,0.01730,34,-0.0237,33,-0.0762
ENSG00000116688,MFN2,84,-0.7854,116,-0.2920,122,-0.2171,96,-0.5939,124,-0.1954,118,-0.2666,143,0.02922,149,0.08889,208,0.63362,175,0.43718
ENSG00000048707,VPS13D,46,-1.0161,139,0.70014,117,0.42063,75,-0.2711,59,-0.6380,89,-0.0183,102,0.19617,96,0.09951,94,0.07267,87,-0.0633
ENSG00000116731,PRDM2,238,-0.0264,384,0.74166,562,1.39630,159,-0.6461,173,-0.5201,161,-0.6329,303,0.35732,299,0.33148,227,-0.1039,134,-1.0559
ENSG00000189337,KAZN,159,1.12021,52,-0.6734,83,0.04837,69,-0.2345,59,-0.4829,84,0.07487,77,-0.0681,42,-0.9915,56,-0.5447,94,0.31253
ENSG00000142634,EFHD2,41,-1.3510,58,-0.8423,60,-0.7865,30,-1.8365,13,-2.9842,225,1.33048,33,-1.6755,5,-4.2817,336,2.07617,135,0.59943
ENSG00000116138,DNAJC16,54,0.07248,40,-0.3774,66,0.39166,36,-0.5669,22,-1.3027,43,-0.2933,99,1.04605,55,0.10387,35,-0.6029,57,0.18526
ENSG00000197312,DDI2,44,0.07554,84,1.13274,72,0.86682,28,-0.6406,20,-1.1440,50,0.26264,16,-1.4180,13,-1.7305,46,0.14415,44,0.07865
ENSG00000116786,PLEKHM2,75,-0.5220,62,-0.8307,75,-0.5235,108,0.03215,180,0.85871,219,1.19541,203,1.05825,35,-1.6585,83,-0.3842,77,-0.5911
ENSG00000065526,SPEN,343,1.26221,402,1.54547,406,1.56391,162,0.03001,105,-0.6420,59,-1.5034,124,-0.3869,83,-1.0064,45,-1.9045,61,-1.6441
ENSG00000116809,ZBTB17,24,0.31432,19,-0.0444,10,-0.9529,24,0.27994,19,-0.0574,33,0.80953,18,-0.1375,15,-0.3834,13,-0.6873,21,0.07950
ENSG00000037637,FBXO42,22,-0.0898,40,0.82680,16,-0.6197,44,0.97302,6,-1.9593,12,-1.0164,11,-1.1335,27,0.16568,40,0.82763,23,-0.0934
ENSG00000055070,SZRD1,60,1.43931,31,0.34634,6,-2.1474,45,0.96613,55,1.31176,29,0.23066,32,0.39284,9,-1.4667,3,-3.1123,9,-1.6123
ENSG00000159363,ATP13A2,38,-1.7429,55,-1.1834,79,-0.6430,39,-1.6936,110,-0.1449,154,0.38931,86,-0.5111,63,-0.9961,180,0.64320,213,1.25149
ENSG00000117118,SDHB,26,-1.2700,19,-1.6875,25,-1.2949,36,-0.7558,102,0.87648,46,-0.4105,29,-1.0701,85,0.57120,47,-0.3611,99,1.09423
ENSG00000117115,PADI2,288,3.00721,12,-2.2919,10,-2.4869,195,2.14142,42,-0.4489,37,-0.6525,19,-1.5939,21,-1.4948,22,-1.4019,10,-2.7753
ENSG00000179051,RCC2,27,-0.0056,12,-1.1909,16,-0.8328,17,-0.6865,20,-0.4503,17,-0.6841,14,-0.9747,40,0.60058,31,0.19482,44,1.00668
ENSG00000117154,IGSF21,34,-0.9006,36,-0.8442,39,-0.6991,26,-1.3141,55,-0.1792,112,0.95158,66,0.09975,109,0.90339,92,0.63247,59,-0.1129
ENSG00000159423,ALDH4A1,21,0.05946,1,-3.7173,3,-2.7021,83,2.51376,56,1.71647,17,-0.2099,1,-4.4448,6,-1.7225,20,-0.0224,11,-1.0941
ENSG00000127481,UBR4,67,0.36770,141,1.63618,109,1.17212,55,0.05300,13,-2.1044,28,-0.9855,33,-0.7346,42,-0.3575,23,-1.2433,42,-0.4254
ENSG00000127463,EMC1,22,-0.8793,48,0.31274,13,-1.6218,33,-0.2959,28,-0.5538,49,0.32018,32,-0.3470,59,0.62631,49,0.33444,48,0.36918
ENSG00000053372,MRTO4,27,-0.7026,34,-0.3828,39,-0.1574,12,-1.9182,49,0.19071,54,0.34719,73,0.83218,26,-0.8121,63,0.58632,48,0.19921
ENSG00000053371,AKR7A2,46,0.89778,1,-4.6150,8,-1.8234,58,1.27080,52,1.10033,28,0.10948,12,-1.1576,33,0.33842,17,-0.7077,21,-0.4231
ENSG00000077549,CAPZB,105,-0.6017,95,-0.7528,154,-0.0135,107,-0.5811,177,0.20755,91,-0.8224,134,-0.2262,214,0.51048,184,0.26551,201,0.51876
ENSG00000173436,MICOS10,184,-0.5759,66,-2.1148,93,-1.5989,275,0.04283,579,1.27485,472,0.92317,205,-0.4096,199,-0.4556,183,-0.5905,317,0.33972
ENSG00000158747,NBL1,97,-0.7689,93,-0.8329,98,-0.7430,98,-0.7532,162,0.02251,230,0.58775,232,0.60413,97,-0.7668,268,0.83968,179,0.23175
ENSG00000169914,OTUD3,3,-2.6422,39,0.90844,15,-0.5582,14,-0.7339,11,-1.0278,25,0.20542,21,-0.1067,33,0.61629,22,-0.0025,28,0.42377
ENSG00000162545,CAMK2N1,675,-1.2354,631,-1.3346,1640,0.12731,2725,0.95743,3530,1.40817,1225,-0.3294,3011,1.12875,2630,0.89747,402,-2.0033,563,-1.7008
ENSG00000158828,PINK1,135,-1.7795,166,-1.4758,260,-0.8049,247,-0.8774,452,0.05109,635,0.59695,460,0.07874,390,-0.1813,569,0.41770,646,0.81018
ENSG00000244038,DDOST,30,-0.0166,5,-2.5298,10,-1.5993,19,-0.7118,39,0.40163,31,0.06200,14,-1.0912,45,0.65736,42,0.55174,41,0.64425
ENSG00000117245,KIF17,2,-3.3064,24,-0.0773,11,-1.2150,4,-2.5810,3,-3.1725,61,1.45233,5,-2.4296,14,-0.9070,42,0.81614,46,1.28910
ENSG00000189410,SH2D5,5,-3.0906,28,-0.6164,20,-1.0879,25,-0.7870,36,-0.2417,27,-0.6757,118,1.76068,74,0.92573,28,-0.6134,46,0.21027
ENSG00000127483,HP1BP3,476,0.75822,486,0.79104,527,0.92932,296,-0.0069,215,-0.5038,180,-0.7768,314,0.08591,268,-0.1630,301,0.01903,169,-1.0079
ENSG00000075151,EIF4G3,159,-0.8325,459,0.83961,635,1.40251,153,-0.8928,143,-0.9930,113,-1.3485,143,-0.9907,384,0.54458,294,0.11495,265,-0.0584
ENSG00000117298,ECE1,66,1.64061,27,0.14159,3,-2.7727,53,1.24285,18,-0.5065,8,-1.7259,31,0.35487,10,-1.3533,30,0.29699,17,-0.6827
ENSG00000076864,RAP1GAP,38,-2.0179,63,-1.2919,56,-1.4648,38,-2.0239,62,-1.3088,236,0.76928,205,0.53950,122,-0.2866,373,1.56420,188,0.50413
ENSG00000090686,USP48,148,0.75794,172,1.00755,152,0.79953,77,-0.2742,41,-1.2200,58,-0.7133,56,-0.7555,116,0.36523,94,0.03383,64,-0.6566
ENSG00000070831,CDC42,186,-0.2020,108,-1.0264,161,-0.4228,112,-0.9777,166,-0.3771,218,0.04735,154,-0.4908,261,0.33280,350,0.81469,274,0.52234
ENSG00000133216,EPHB2,20,-0.0352,33,0.73757,32,0.72605,1,-3.8882,14,-0.6087,11,-0.9027,52,1.54618,19,-0.1462,13,-0.6938,17,-0.3393
ENSG00000004487,KDM1A,13,-2.4585,60,-0.1901,97,0.57238,47,-0.5534,35,-0.9882,47,-0.5533,31,-1.1971,161,1.43735,102,0.65601,73,0.14533
ENSG00000169641,LUZP1,58,-1.7131,284,0.74072,390,1.28038,137,-0.4120,115,-0.6843,125,-0.5548,167,-0.1126,85,-1.1390,107,-0.7992,228,0.48183
ENSG00000125944,HNRNPR,204,0.61868,137,-0.0142,200,0.58965,147,0.09115,103,-0.4604,91,-0.6517,138,-0.0022,202,0.60940,135,-0.0386,101,-0.5706
ENSG00000142676,RPL11,501,0.47944,95,-2.0563,109,-1.8505,494,0.45743,877,1.43247,701,1.03889,295,-0.3563,263,-0.5331,180,-1.1061,312,-0.3246
ENSG00000011007,ELOA,41,0.40325,56,0.90586,43,0.49791,43,0.48689,20,-0.6589,20,-0.6596,17,-0.9089,11,-1.6114,38,0.29070,30,-0.1070
ENSG00000057757,PITHD1,80,-1.0092,63,-1.3823,105,-0.6134,67,-1.2764,104,-0.6242,226,0.59619,144,-0.1165,129,-0.2927,283,0.96941,222,0.73454
ENSG00000011009,LYPLA2,4,-2.6998,16,-0.7982,16,-0.8620,23,-0.2640,34,0.33309,19,-0.5578,31,0.16488,17,-0.7690,82,1.82021,30,0.16059
ENSG00000189266,PNRC2,61,0.08693,49,-0.2774,58,0.01032,106,0.96725,72,0.34921,64,0.14297,54,-0.1057,74,0.39261,59,0.02616,33,-0.9969
ENSG00000188529,SRSF10,98,0.20234,139,0.76232,80,-0.1147,92,0.09752,46,-0.9518,79,-0.1331,59,-0.5973,111,0.40535,144,0.82470,62,-0.5896
ENSG00000001461,NIPAL3,478,1.88212,158,-0.0012,206,0.42029,52,-1.6936,74,-1.1612,116,-0.4842,103,-0.6598,54,-1.6144,222,0.54146,146,-0.1601
ENSG00000133226,SRRM1,521,1.72018,508,1.67395,282,0.65106,158,-0.2681,112,-0.8025,57,-1.8095,110,-0.8225,138,-0.4781,99,-0.9807,90,-1.2822
ENSG00000169504,CLIC4,265,3.97582,5,-3.0034,3,-3.5885,56,0.66216,32,-0.2484,36,-0.0493,17,-1.1709,7,-2.3616,3,-3.7510,7,-2.5962
ENSG00000117614,SYF2,156,0.55143,94,-0.2471,166,0.65151,169,0.67687,132,0.27312,99,-0.1794,125,0.19246,99,-0.1757,91,-0.3014,66,-0.9306
ENSG00000117616,RSRP1,96,0.19702,201,1.43586,41,-1.0970,93,0.14854,41,-1.1074,24,-1.8658,29,-1.6074,217,1.57374,61,-0.4993,71,-0.3376
ENSG00000183726,TMEM50A,82,0.13614,57,-0.4251,45,-0.7858,105,0.52746,51,-0.5803,69,-0.1411,50,-0.6293,143,1.05382,60,-0.3577,80,0.11931
ENSG00000204178,MACO1,59,-0.1971,120,0.93290,143,1.24460,37,-0.9221,59,-0.2049,27,-1.3660,70,0.05595,66,-0.0261,102,0.65971,41,-0.8664
ENSG00000117643,MAN1C1,14,-1.6267,15,-1.6036,38,-0.1807,34,-0.3347,47,0.14258,21,-1.0800,46,0.11677,128,1.86548,18,-1.2906,50,0.32145
ENSG00000162430,SELENON,41,0.77071,14,-0.9252,15,-0.7758,63,1.49132,34,0.46942,30,0.27746,24,-0.1034,29,0.17615,12,-1.1486,15,-0.9812
ENSG00000117640,MTFR1L,50,-0.5151,35,-1.0651,35,-1.0387,64,-0.1369,75,0.10663,64,-0.1484,93,0.45060,66,-0.0817,96,0.49761,87,0.44067
ENSG00000117632,STMN1,694,-0.9259,851,-0.6156,1047,-0.2963,370,-1.8627,797,-0.7158,1695,0.46605,1002,-0.3653,1053,-0.2882,2159,0.86507,1843,0.77827
ENSG00000158008,EXTL1,14,-1.6860,20,-1.1959,13,-1.8900,20,-1.2148,40,-0.1916,75,0.82425,86,1.05435,44,-0.0293,74,0.80921,51,0.23904
ENSG00000175087,PDIK1L,11,-0.9846,17,-0.3869,23,0.03341,2,-3.5895,13,-0.8260,23,0.09659,32,0.61050,6,-1.9334,33,0.63090,35,0.95512
ENSG00000142684,ZNF593,28,-0.5521,17,-1.2398,29,-0.5118,37,-0.1120,45,0.19861,44,0.13562,56,0.52555,22,-0.8823,39,-0.0343,54,0.61196
ENSG00000142669,SH3BGRL3,78,-0.9513,76,-0.9915,44,-1.8005,89,-0.7388,126,-0.2154,289,1.13620,145,0.00900,70,-1.1158,228,0.73706,196,0.62460
ENSG00000117682,DHDDS,9,-1.5320,34,0.44788,7,-1.8153,20,-0.3613,12,-1.0573,16,-0.6740,49,1.07060,31,0.29410,26,0.03254,33,0.54026
ENSG00000198830,HMGN2,318,1.34846,64,-1.1952,101,-0.5089,225,0.75876,283,1.14613,116,-0.2996,123,-0.2093,94,-0.6123,63,-1.2249,100,-0.6249
ENSG00000117713,ARID1A,162,0.88581,102,0.12999,77,-0.3078,152,0.78275,70,-0.4583,73,-0.3839,104,0.17003,109,0.24058,73,-0.3968,68,-0.5980
ENSG00000142751,GPN2,20,-0.0443,36,0.92744,18,-0.1812,16,-0.4075,30,0.58825,27,0.42193,11,-0.8793,24,0.28001,20,-0.0148,14,-0.6487
ENSG00000090273,NUDC,153,-0.5717,132,-0.8016,219,-0.0172,187,-0.2648,287,0.41083,324,0.60607,227,0.03789,209,-0.0929,137,-0.7408,262,0.32908
ENSG00000253368,TRNP1,1,-5.2988,24,-1.0830,45,-0.1222,23,-1.1307,55,0.18186,44,-0.1714,56,0.19893,31,-0.7039,45,-0.1455,88,1.28457
ENSG00000090020,SLC9A1,4,-2.4841,7,-1.8301,20,-0.3855,6,-1.9869,12,-1.1309,34,0.47816,35,0.49807,5,-2.2606,16,-0.6868,55,1.77848
ENSG00000142784,WDTC1,39,0.29314,36,0.15526,17,-0.9590,40,0.32995,48,0.61970,37,0.21272,46,0.54653,21,-0.6797,24,-0.4580,27,-0.3287
ENSG00000186501,TMEM222,41,-0.0966,27,-0.7609,22,-1.0449,24,-0.8941,40,-0.1540,80,0.96665,43,-0.0193,52,0.27711,43,-0.0318,51,0.30923
ENSG00000158195,WASF2,217,2.85871,39,-0.2128,25,-0.9208,117,1.59224,37,-0.3244,37,-0.2939,20,-1.1899,6,-2.9328,21,-1.1666,7,-2.8840
ENSG00000126705,AHDC1,39,-0.5933,82,0.55303,65,0.17304,43,-0.4581,21,-1.5266,72,0.35094,62,0.10298,47,-0.3410,104,0.94125,54,-0.1466
ENSG00000126709,IFI6,79,-0.0719,54,-0.6353,35,-1.3016,44,-0.9570,74,-0.1555,87,0.08041,53,-0.6649,70,-0.2567,150,0.97205,114,0.66248
