Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000157933,SKI,199,1.76333,74,0.09773,45,-0.6633,73,0.09462,61,-0.1926,53,-0.4049,48,-0.6532,105,0.66173,59,-0.2487,43,-0.7669
ENSG00000157916,RER1,17,-1.3956,37,-0.2828,38,-0.2214,60,0.48666,63,0.56346,19,-1.2205,45,0.03125,25,-0.8535,75,0.85267,52,0.27405
ENSG00000157911,PEX10,17,-0.1022,29,0.73768,11,-0.7483,14,-0.3672,9,-0.9537,33,0.99714,11,-0.7612,32,0.94310,23,0.41870,14,-0.3421
ENSG00000157870,PRXL2B,0,-7.3173,18,-1.6007,52,-0.0329,69,0.40942,78,0.61772,40,-0.4192,49,-0.1363,35,-0.6369,56,0.09907,96,1.08611
ENSG00000177133,PRDM16-DT,0,-4.7618,6,-1.6254,0,-4.7313,44,1.43250,5,-1.9276,5,-1.9187,6,-1.8598,28,0.70865,71,2.35790,29,0.83852
ENSG00000142611,PRDM16,58,1.99157,20,0.15376,10,-0.8311,30,0.81584,10,-0.8887,1,-3.5832,4,-2.2168,12,-0.6152,46,1.57859,15,-0.2564
ENSG00000158109,TPRG1L,86,-0.5864,69,-0.9110,53,-1.3222,109,-0.2310,159,0.35738,121,-0.0698,132,0.07953,126,0.00088,113,-0.1785,206,0.87579
ENSG00000130764,LRRC47,57,-0.0944,37,-0.7677,97,0.75406,51,-0.2690,67,0.16565,54,-0.1661,68,0.21525,35,-0.8455,58,-0.0741,64,0.09308
ENSG00000116198,CEP104,154,1.64170,102,0.92721,56,-0.0349,56,-0.0287,44,-0.3800,71,0.33932,39,-0.6726,26,-1.1968,42,-0.4801,37,-0.6993
ENSG00000196581,AJAP1,0,-7.3639,23,-1.2738,25,-1.1746,87,0.73011,61,0.17093,83,0.66272,93,1.10957,44,-0.3461,35,-0.6697,36,-0.6700
ENSG00000069424,KCNAB2,54,-1.6880,37,-2.2596,99,-0.7900,144,-0.2229,241,0.59006,218,0.42890,175,0.09522,177,0.09328,145,-0.2176,262,0.80853
ENSG00000116254,CHD5,250,-0.6726,110,-1.8961,299,-0.4010,742,1.05128,586,0.66025,384,-0.0150,390,0.01235,559,0.58399,220,-0.8654,358,-0.1337
ENSG00000116251,RPL22,428,-0.0794,595,0.44201,380,-0.2628,247,-0.9193,227,-1.0449,691,0.68443,360,-0.4076,538,0.28037,586,0.41538,541,0.31784
ENSG00000116237,ICMT,55,0.63513,11,-1.7403,46,0.36088,27,-0.4713,54,0.58942,14,-1.4674,42,0.23447,31,-0.2648,34,-0.1331,41,0.17882
ENSG00000097021,ACOT7,48,-1.1108,21,-2.3398,92,-0.1421,92,-0.1362,186,0.98974,48,-1.1059,158,0.91821,46,-1.1688,32,-1.7133,134,0.49851
ENSG00000215788,TNFRSF25,0,-6.6188,3,-3.2994,12,-1.4823,84,1.52769,39,0.23880,20,-0.7224,57,1.12325,30,-0.1595,23,-0.5258,24,-0.5407
ENSG00000171680,PLEKHG5,8,-2.0456,0,-7.4680,14,-1.3536,39,0.20576,56,0.78418,44,0.39761,43,0.43618,33,-0.0561,23,-0.6108,49,0.64522
ENSG00000162408,NOL9,66,0.69845,31,-0.4823,15,-1.5717,52,0.29932,56,0.42863,60,0.52831,35,-0.3727,40,-0.1171,39,-0.1360,46,0.13273
ENSG00000162413,KLHL21,27,-0.5181,31,-0.2777,66,0.88566,31,-0.2796,34,-0.1391,23,-0.7479,35,-0.1156,34,-0.1566,49,0.41876,44,0.25971
ENSG00000116273,PHF13,36,0.97530,16,-0.2961,48,1.46930,10,-0.9214,25,0.36379,2,-3.0320,15,-0.4796,17,-0.2346,11,-0.7972,22,0.17350
ENSG00000007923,DNAJC11,16,-0.9491,27,-0.1905,33,0.10478,28,-0.1729,52,0.82715,16,-1.0179,26,-0.3272,42,0.49191,45,0.57375,33,0.09849
ENSG00000171735,CAMTA1,110,-2.2191,150,-1.7675,335,-0.5621,606,0.35954,709,0.61141,629,0.41799,692,0.71986,367,-0.4246,404,-0.2767,445,-0.1371
ENSG00000049245,VAMP3,35,0.36862,88,1.93778,84,1.85355,9,-1.7018,6,-2.2937,12,-1.2222,8,-1.9285,21,-0.3953,26,-0.0859,26,-0.0680
ENSG00000049246,PER3,51,0.24500,51,0.26023,35,-0.3173,53,0.31869,20,-1.1661,25,-0.8346,46,0.09473,34,-0.3749,66,0.65699,46,0.09841
ENSG00000116288,PARK7,86,-1.1432,128,-0.5488,193,0.08872,76,-1.3174,103,-0.8775,223,0.31621,201,0.18019,136,-0.4531,347,1.03894,239,0.47152
ENSG00000116285,ERRFI1,116,2.34309,13,-1.2269,1,-4.6302,30,0.00016,38,0.39179,11,-1.5046,25,-0.3101,25,-0.2473,21,-0.5525,28,-0.0785
ENSG00000162426,SLC45A1,20,-0.0533,3,-2.8570,11,-0.9363,16,-0.3666,28,0.48165,19,-0.1520,28,0.56789,18,-0.2567,24,0.21939,24,0.23631
ENSG00000142599,RERE,319,0.79473,298,0.68448,168,-0.2201,230,0.26827,157,-0.3297,243,0.35719,134,-0.6616,212,0.14237,178,-0.1308,157,-0.3531
ENSG00000074800,ENO1,203,-0.9262,270,-0.4947,264,-0.5293,338,-0.1485,263,-0.5304,158,-1.3005,283,-0.4895,289,-0.3882,910,1.47695,643,0.99625
ENSG00000049239,H6PD,65,1.94250,74,2.19372,31,0.65603,18,-0.1591,13,-0.7285,4,-2.4577,6,-1.8896,22,0.09100,9,-1.2018,5,-2.0641
ENSG00000171612,SLC25A33,12,-1.2142,16,-0.7426,8,-1.7302,24,-0.1929,18,-0.6207,37,0.50610,17,-0.7925,30,0.16828,64,1.40582,45,0.90568
ENSG00000171603,CLSTN1,180,-1.7814,196,-1.6544,562,-0.0623,659,0.18830,699,0.28216,454,-0.3898,817,0.66559,413,-0.5372,333,-0.8612,827,0.61246
ENSG00000178585,CTNNBIP1,0,-6.1076,21,-0.1238,47,1.16607,9,-1.3686,30,0.45200,6,-1.8088,19,-0.3329,40,0.89338,20,-0.1855,32,0.62260
ENSG00000162441,LZIC,67,0.02919,143,1.27898,112,0.86880,41,-0.7099,41,-0.7194,70,0.09935,46,-0.6208,56,-0.2353,73,0.17482,54,-0.3164
ENSG00000130939,UBE4B,16,-1.4096,37,-0.1208,53,0.41144,69,0.83619,49,0.30682,29,-0.5049,44,0.13459,28,-0.5376,30,-0.4606,42,0.07859
ENSG00000054523,KIF1B,121,-1.8791,653,0.69975,573,0.48767,569,0.47550,435,0.05033,354,-0.2716,389,-0.1489,456,0.12458,387,-0.1317,381,-0.1685
ENSG00000142657,PGD,0,-6.9059,29,-0.6160,65,0.65412,31,-0.4740,69,0.75332,58,0.46958,35,-0.3868,35,-0.3202,47,0.15479,60,0.58678
ENSG00000160049,DFFA,152,1.11783,132,0.88394,89,0.24407,61,-0.3475,61,-0.3400,59,-0.3996,50,-0.7342,81,0.10053,91,0.28259,56,-0.4954
ENSG00000142655,PEX14,0,-5.7353,6,-1.4694,6,-1.4656,18,0.04049,16,-0.0791,13,-0.4260,22,0.43029,13,-0.4381,29,0.79828,29,0.92845
ENSG00000120948,TARDBP,87,0.15785,75,-0.0721,78,-0.0207,96,0.31735,69,-0.2003,47,-0.7977,94,0.35108,64,-0.3240,83,0.09327,70,-0.1916
ENSG00000116649,SRM,22,-1.2281,37,-0.4385,59,0.28567,38,-0.3787,64,0.42162,41,-0.2795,52,0.11471,51,0.06172,58,0.26029,56,0.21906
ENSG00000171824,EXOSC10,75,1.22102,45,0.37402,42,0.27432,73,1.16972,13,-1.4786,4,-3.0963,28,-0.4096,25,-0.5198,40,0.19483,29,-0.3411
ENSG00000198793,MTOR,0,-6.7668,30,-0.2611,27,-0.4441,48,0.45403,26,-0.5070,27,-0.4173,59,0.99869,24,-0.5902,33,-0.1536,38,0.09899
ENSG00000116661,FBXO2,49,-1.6205,108,-0.4481,57,-1.4078,52,-1.5578,129,-0.1871,195,0.46803,142,-0.0336,196,0.47700,290,1.12177,191,0.48109
ENSG00000132879,FBXO44,9,-3.4514,24,-2.0511,124,0.40853,158,0.80269,164,0.86213,84,-0.2013,91,-0.1009,88,-0.1249,53,-0.8977,134,0.58844
ENSG00000177000,MTHFR,52,0.77420,31,-0.0333,58,0.97362,70,1.27725,9,-1.7841,22,-0.5579,21,-0.6840,37,0.25125,17,-0.9688,26,-0.3390
ENSG00000011021,CLCN6,20,-2.0035,35,-1.1569,62,-0.3086,59,-0.3867,135,0.93811,48,-0.7025,59,-0.4377,105,0.52826,46,-0.7405,147,1.22421
ENSG00000116685,KIAA2013,43,0.33566,32,-0.1586,76,1.25406,36,0.06203,44,0.33871,10,-1.8817,21,-0.8659,17,-1.0614,30,-0.2239,52,0.68131
ENSG00000083444,PLOD1,35,0.73334,23,0.04493,41,0.98151,23,0.08056,14,-0.6829,4,-2.4823,18,-0.3906,23,0.04069,31,0.51766,20,-0.1465
ENSG00000116688,MFN2,100,-0.0225,95,-0.0974,47,-1.1742,76,-0.4469,133,0.42586,100,-0.0202,116,0.25126,109,0.10705,67,-0.6266,122,0.32390
ENSG00000048707,VPS13D,120,0.81302,38,-0.9776,74,0.04168,101,0.52362,103,0.55388,54,-0.4626,54,-0.5175,63,-0.2072,66,-0.1463,80,0.16243
ENSG00000162496,DHRS3,103,1.71465,51,0.53096,33,-0.1662,43,0.26952,21,-0.8349,5,-2.7898,17,-1.2727,23,-0.7209,63,0.87313,40,0.16997
ENSG00000116731,PRDM2,301,0.02315,251,-0.2574,163,-0.9187,442,0.63279,313,0.08214,408,0.50180,411,0.64284,233,-0.3751,161,-0.9311,178,-0.8390
ENSG00000189337,KAZN,93,0.52247,120,0.93999,100,0.63465,54,-0.3160,77,0.22265,86,0.40513,60,-0.2044,47,-0.5455,43,-0.6869,35,-1.0612
ENSG00000142634,EFHD2,9,-3.1732,44,-0.8330,170,1.30727,114,0.64299,177,1.38334,21,-1.9410,12,-2.9046,108,0.56223,9,-3.0970,150,1.25416
ENSG00000116138,DNAJC16,12,-1.6092,14,-1.3973,64,0.92750,47,0.42100,50,0.53232,23,-0.6450,48,0.58564,25,-0.5461,30,-0.2854,28,-0.4290
ENSG00000197312,DDI2,49,0.11517,53,0.23532,40,-0.2195,63,0.51106,55,0.29790,59,0.39241,44,-0.0688,33,-0.4741,29,-0.6923,40,-0.2158
ENSG00000116786,PLEKHM2,68,-0.9233,112,-0.1601,40,-1.6926,137,0.14759,121,-0.0472,188,0.65122,83,-0.7191,284,1.35005,116,-0.1073,152,0.34248
ENSG00000065526,SPEN,876,1.97501,396,0.59199,278,0.02901,319,0.24583,152,-0.8901,264,-0.0511,266,-0.0462,155,-0.8664,196,-0.5054,56,-2.4785
ENSG00000116809,ZBTB17,33,0.34282,30,0.21731,26,0.01435,40,0.65682,29,0.13653,35,0.42866,17,-0.7517,27,0.03422,16,-0.7598,27,0.07574
ENSG00000037637,FBXO42,26,-0.0209,27,0.02254,45,0.81112,76,1.73014,25,-0.1246,22,-0.3128,19,-0.6158,16,-0.8086,10,-1.4270,22,-0.2979
ENSG00000055070,SZRD1,129,1.90064,56,0.46659,24,-0.8105,37,-0.1986,24,-0.8466,25,-0.7641,18,-1.3796,64,0.68808,45,0.12897,41,-0.0425
ENSG00000058453,CROCC,16,-0.1985,8,-1.1507,24,0.43192,38,1.18736,21,0.23119,4,-2.0612,8,-1.3509,22,0.32848,22,0.30069,28,0.74719
ENSG00000159363,ATP13A2,33,-1.0370,28,-1.2818,24,-1.4729,77,0.27273,126,1.07614,54,-0.2774,69,0.11109,82,0.36541,43,-0.6110,84,0.45988
ENSG00000117118,SDHB,29,-0.8187,13,-1.9743,82,0.79122,38,-0.3987,63,0.35690,36,-0.4988,59,0.31385,29,-0.8182,58,0.24540,62,0.36623
ENSG00000117115,PADI2,16,-2.1153,215,2.01990,212,1.98831,31,-1.1206,16,-2.1033,17,-1.9831,15,-2.4151,62,-0.0747,116,0.91791,60,-0.1490
ENSG00000179051,RCC2,31,0.12876,13,-1.1390,43,0.66690,33,0.21996,48,0.83242,27,-0.0699,30,0.10662,23,-0.3095,15,-0.9893,23,-0.3542
ENSG00000074964,ARHGEF10L,113,2.75432,17,-0.5063,7,-1.8160,26,0.12134,22,-0.0881,6,-1.9165,11,-1.3192,14,-0.8387,20,-0.2868,26,0.15514
ENSG00000117154,IGSF21,25,-1.6260,8,-3.3000,87,0.24375,53,-0.5146,137,0.97785,72,-0.0639,88,0.31402,44,-0.8143,49,-0.6289,115,0.77708
ENSG00000159423,ALDH4A1,7,-1.7494,25,0.04723,24,-0.0371,34,0.54063,14,-0.7843,6,-2.0565,6,-2.2367,36,0.63603,61,1.52102,44,1.09698
ENSG00000127481,UBR4,128,1.38029,79,0.56499,69,0.34983,123,1.31729,39,-0.5404,20,-1.5178,51,-0.1514,40,-0.4786,35,-0.6805,15,-2.0155
ENSG00000127463,EMC1,2,-3.9832,31,-0.1823,62,0.89851,30,-0.2540,54,0.67141,31,-0.1698,29,-0.3342,32,-0.1460,41,0.22682,43,0.36117
ENSG00000053372,MRTO4,31,-0.1708,21,-0.7101,23,-0.6116,46,0.47820,45,0.41738,17,-1.0065,32,-0.1424,46,0.46786,36,0.08830,42,0.35313
ENSG00000053371,AKR7A2,39,0.35643,62,1.10854,42,0.48582,15,-1.1096,22,-0.5042,19,-0.7663,15,-1.1800,24,-0.4122,82,1.60804,26,-0.2961
ENSG00000077549,CAPZB,133,-0.1282,100,-0.5559,111,-0.4009,133,-0.1311,195,0.47960,88,-0.7471,162,0.21573,110,-0.4199,149,0.04698,186,0.43913
ENSG00000173436,MICOS10,128,-0.9648,142,-0.8092,118,-1.0894,96,-1.3870,171,-0.5201,298,0.33801,197,-0.3610,343,0.56534,330,0.49951,454,1.17013
ENSG00000158747,NBL1,208,0.60475,74,-0.9847,184,0.41055,164,0.22830,210,0.61773,95,-0.6206,93,-0.7448,173,0.31156,109,-0.4062,175,0.35755
ENSG00000169914,OTUD3,1,-4.3929,3,-2.8072,14,-0.5992,25,0.31619,42,1.15314,41,1.10151,28,0.64096,11,-0.8973,18,-0.2061,13,-0.6915
ENSG00000162545,CAMK2N1,615,-1.5972,533,-1.8068,469,-1.9955,604,-1.6228,385,-2.2880,5626,1.96264,2821,0.96204,1686,-0.0708,2864,0.77529,848,-1.1864
ENSG00000090432,MUL1,11,-0.6427,16,-0.0465,25,0.61118,12,-0.5633,21,0.30581,14,-0.2713,17,0.03779,12,-0.4680,19,0.21100,19,0.17333
ENSG00000158828,PINK1,32,-3.1756,195,-0.5340,172,-0.7264,210,-0.4198,290,0.07846,402,0.59993,264,-0.0784,304,0.15293,296,0.11288,445,0.85993
ENSG00000244038,DDOST,17,0.01709,7,-1.2099,17,-0.0362,14,-0.3216,10,-0.7854,3,-2.3139,18,0.09959,7,-1.2639,33,1.05232,29,0.97317
ENSG00000117245,KIF17,1,-4.4476,0,-7.8254,24,0.04072,35,0.65656,43,1.00928,24,0.07120,25,0.16167,20,-0.1926,11,-1.0422,33,0.62088
ENSG00000189410,SH2D5,0,-6.0071,3,-2.9518,8,-1.8719,38,0.49889,22,-0.3596,12,-1.1777,44,0.94904,37,0.46889,26,-0.0768,40,0.63789
ENSG00000127483,HP1BP3,643,0.99611,475,0.49830,345,-0.0100,303,-0.2111,241,-0.5611,301,-0.2209,426,0.39722,257,-0.4635,330,-0.0769,169,-1.1656
ENSG00000075151,EIF4G3,132,-1.0119,180,-0.5399,203,-0.3549,317,0.33867,321,0.36136,455,0.92828,388,0.84723,115,-1.2093,155,-0.7679,139,-0.9864
ENSG00000117298,ECE1,331,3.97730,51,0.21156,43,-0.0474,13,-1.8110,18,-1.3767,7,-2.5996,11,-2.2096,26,-0.8323,30,-0.5856,12,-1.9912
ENSG00000076864,RAP1GAP,24,-2.0267,20,-2.2615,141,0.67484,130,0.55026,161,0.89517,39,-1.3003,73,-0.4122,105,0.21082,68,-0.4621,144,0.80292
ENSG00000090686,USP48,171,0.82642,152,0.63282,132,0.40125,136,0.45552,77,-0.4322,82,-0.3399,107,0.09519,68,-0.6204,54,-0.9808,67,-0.7014
ENSG00000070831,CDC42,176,0.12277,128,-0.3797,254,0.70336,136,-0.2814,222,0.48603,99,-0.7578,147,-0.1922,103,-0.7067,120,-0.4789,221,0.53510
ENSG00000133216,EPHB2,0,-5.5926,31,1.09034,0,-6.6371,18,0.18699,23,0.61691,24,0.62852,28,1.16811,7,-1.1752,8,-1.0371,5,-1.6334
ENSG00000004487,KDM1A,30,-0.7471,29,-0.8098,68,0.50648,63,0.38554,36,-0.4893,24,-1.0957,80,0.96861,34,-0.5536,50,0.01638,35,-0.5812
ENSG00000169641,LUZP1,233,0.28013,46,-2.1591,101,-1.0053,183,-0.0938,294,0.65392,265,0.48945,305,0.91166,105,-0.9454,111,-0.8577,140,-0.5474
ENSG00000125944,HNRNPR,164,0.35063,157,0.27678,105,-0.3450,154,0.24999,107,-0.3128,120,-0.1428,166,0.45411,85,-0.6753,105,-0.3390,106,-0.3507
ENSG00000117318,ID3,142,3.21554,29,0.25478,18,-0.5146,3,-2.7873,3,-2.8468,8,-1.6294,8,-1.8991,42,0.83789,34,0.51260,9,-1.5577
ENSG00000142676,RPL11,282,-0.4426,497,0.44023,454,0.29672,147,-1.4225,136,-1.5342,518,0.50730,263,-0.6371,479,0.38072,533,0.55165,527,0.59389
ENSG00000011007,ELOA,74,1.08763,54,0.57406,18,-1.1096,39,0.07204,23,-0.7357,10,-1.9481,52,0.65131,31,-0.3116,30,-0.3649,26,-0.5763
ENSG00000057757,PITHD1,28,-1.9220,71,-0.5797,70,-0.5933,68,-0.6270,158,0.67558,98,-0.0784,119,0.27097,63,-0.7459,85,-0.2989,171,0.91235
ENSG00000011009,LYPLA2,10,-1.4193,6,-2.1589,29,0.12161,20,-0.4435,34,0.36176,21,-0.3747,27,0.00196,32,0.25026,24,-0.1914,47,0.98238
ENSG00000189266,PNRC2,58,-0.2119,35,-0.9630,50,-0.4219,38,-0.8227,37,-0.8823,153,1.36986,77,0.30406,58,-0.1916,92,0.51840,53,-0.3750
ENSG00000188529,SRSF10,189,1.26018,83,-0.0701,123,0.54483,99,0.20342,84,-0.0549,71,-0.3093,80,-0.1553,50,-0.8277,49,-0.8783,71,-0.3292
ENSG00000001461,NIPAL3,45,-1.4700,286,1.43008,274,1.34879,85,-0.5346,107,-0.1806,83,-0.5621,110,-0.1600,90,-0.4343,73,-0.7623,93,-0.4226
ENSG00000133226,SRRM1,1204,1.95033,1171,1.89861,384,0.01556,527,0.51812,243,-0.6855,225,-0.8010,251,-0.7332,132,-1.5944,168,-1.2394,65,-2.7504
ENSG00000169504,CLIC4,212,2.03939,153,1.43613,269,2.51682,7,-3.1260,4,-3.7914,14,-2.2705,10,-2.8692,33,-0.9876,30,-1.1535,37,-0.8850
ENSG00000117614,SYF2,289,0.98756,171,0.13573,68,-1.2700,102,-0.6549,110,-0.5475,244,0.70917,162,0.06597,127,-0.3251,222,0.55106,108,-0.6070
ENSG00000117616,RSRP1,87,0.08699,72,-0.2109,92,0.18645,170,1.18010,48,-0.8014,50,-0.7513,92,0.21473,39,-1.1283,69,-0.2744,82,8.34118
ENSG00000183726,TMEM50A,75,-0.1590,41,-1.0728,114,0.50146,68,-0.2988,73,-0.2091,75,-0.1670,102,0.40069,56,-0.5909,75,-0.1622,98,0.28860
ENSG00000204178,MACO1,119,0.66186,90,0.20472,43,-0.9050,100,0.38326,53,-0.5956,112,0.56640,113,0.73213,33,-1.2989,53,-0.6070,39,-1.1461
ENSG00000117643,MAN1C1,19,-1.2011,7,-2.5070,7,-2.5371,34,-0.3123,21,-1.0385,52,0.32896,87,1.59822,19,-1.2126,30,-0.5226,48,0.21517
ENSG00000162430,SELENON,29,-0.0739,51,0.81158,14,-1.1493,24,-0.3606,31,0.01837,18,-0.8108,24,-0.4087,42,0.51150,34,0.16381,40,0.48465
ENSG00000117640,MTFR1L,67,0.06256,42,-0.6317,44,-0.5916,81,0.36508,89,0.51901,57,-0.1877,56,-0.2541,77,0.29237,58,-0.1674,76,0.29187
ENSG00000117632,STMN1,119,-2.5750,493,-0.4681,1184,0.92207,716,0.11055,929,0.52473,543,-0.3188,728,0.16423,424,-0.6972,320,-1.1183,882,0.48946
ENSG00000158008,EXTL1,0,-6.1817,24,-0.6934,31,-0.3032,32,-0.2443,56,0.62819,47,0.34857,33,-0.2300,37,-0.0205,26,-0.5413,69,1.07581
ENSG00000175087,PDIK1L,0,-5.6652,17,0.04390,7,-1.3055,43,1.56175,31,1.01702,9,-0.8833,10,-0.8557,25,0.62587,6,-1.5160,24,0.60987
ENSG00000142684,ZNF593,14,-0.7591,25,0.07205,21,-0.1587,11,-1.0741,24,0.02416,11,-1.0732,21,-0.1625,32,0.46170,28,0.25897,38,0.82613
ENSG00000142669,SH3BGRL3,85,-0.6673,135,0.03932,201,0.67861,73,-0.8875,121,-0.1243,114,-0.2183,104,-0.4201,129,-0.0359,142,0.12036,198,0.72626
ENSG00000198830,HMGN2,197,0.40685,191,0.35941,185,0.30812,146,-0.0672,62,-1.3684,162,0.09662,125,-0.3525,136,-0.1712,260,0.85897,132,-0.2429
