Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000130764,LRRC47,63,-0.2933,54,-0.5186,71,-0.1004,124,0.95969,46,-0.7599,81,0.10893,67,-0.1877,50,-0.6373,75,-0.0046
ENSG00000116198,CEP104,96,1.42454,28,-0.6365,38,-0.1370,35,-0.2759,23,-0.9033,25,-0.7899,30,-0.5154,30,-0.4952,75,0.97252
ENSG00000196581,AJAP1,15,-1.7100,27,-0.7886,57,0.37018,60,0.50977,61,0.48020,20,-1.2801,36,-0.3885,66,0.61295,53,0.25677
ENSG00000069424,KCNAB2,25,-2.6667,182,0.33170,155,0.07234,178,0.33953,190,0.40908,143,-0.0531,169,0.20945,132,-0.1837,129,-0.2226
ENSG00000116254,CHD5,37,-3.1507,264,-0.2000,376,0.36996,315,0.09691,512,0.89334,246,-0.3096,251,-0.2779,300,0.00517,375,0.36653
ENSG00000116251,RPL22,687,0.52354,352,-0.5477,245,-1.1067,313,-0.8022,528,0.09080,546,0.14570,1075,1.30406,583,0.25034,349,-0.5644
ENSG00000116237,ICMT,24,-0.6270,29,-0.3240,35,-0.0476,31,-0.2275,58,0.80337,46,0.40260,37,0.07890,40,0.20340,25,-0.5751
ENSG00000097021,ACOT7,31,-2.6994,162,-0.2467,298,0.74979,340,1.16700,206,0.13926,219,0.23528,117,-0.7428,90,-1.1436,86,-1.2123
ENSG00000215788,TNFRSF25,3,-2.6635,2,-2.7729,18,0.07066,25,0.73643,34,1.10534,5,-1.7264,12,-0.5781,18,0.05362,30,0.88385
ENSG00000171680,PLEKHG5,0,-5.6873,18,-0.2350,14,-0.6528,30,0.67117,39,1.00424,11,-0.9279,17,-0.3032,20,-0.0898,31,0.62470
ENSG00000162408,NOL9,17,-0.8844,31,0.01204,41,0.45253,43,0.60408,25,-0.3358,33,0.09291,32,0.05656,30,-0.0652,15,-1.1184
ENSG00000162413,KLHL21,38,0.44052,29,0.02446,16,-0.8563,30,0.08264,11,-1.3813,24,-0.2925,19,-0.6346,59,1.20812,30,0.08077
ENSG00000116273,PHF13,20,0.33695,17,0.03498,9,-0.9551,16,-0.0269,29,0.88968,25,0.65862,17,0.01224,7,-1.2441,9,-0.8522
ENSG00000007923,DNAJC11,20,-0.8052,41,0.32660,38,0.21084,46,0.57935,49,0.62165,31,-0.1203,12,-1.5213,25,-0.4325,27,-0.3546
ENSG00000171735,CAMTA1,176,-1.3325,219,-1.0045,606,0.61223,456,0.16089,458,0.14846,600,0.59431,299,-0.5230,412,-0.0193,492,0.26468
ENSG00000049245,VAMP3,125,2.74312,26,-0.1831,10,-1.5491,18,-0.7678,4,-2.9361,22,-0.4284,26,-0.1609,36,0.35124,4,-2.9109
ENSG00000049246,PER3,61,0.63856,100,1.50963,20,-1.0856,21,-1.0827,28,-0.5737,30,-0.4809,33,-0.3629,72,0.93414,24,-0.8249
ENSG00000116288,PARK7,158,-0.7921,327,0.36321,248,-0.0846,237,-0.1781,244,-0.1126,341,0.42769,367,0.55407,286,0.14215,173,-0.6492
ENSG00000116285,ERRFI1,17,-0.5699,17,-0.5133,17,-0.5487,40,0.94178,36,0.62170,21,-0.1889,3,-2.8739,16,-0.6619,36,0.64184
ENSG00000162426,SLC45A1,10,-1.4772,33,0.37194,43,0.82866,34,0.45279,32,0.32640,33,0.34667,12,-1.1772,10,-1.4624,22,-0.2679
ENSG00000142599,RERE,171,0.41240,95,-0.5337,121,-0.1562,111,-0.3208,145,0.13677,115,-0.2316,114,-0.2438,215,0.79443,133,-0.0032
ENSG00000074800,ENO1,288,-0.7509,772,0.84083,288,-0.7491,539,0.27046,340,-0.4925,424,-0.1464,418,-0.1704,701,0.67410,342,-0.4855
ENSG00000171612,SLC25A33,18,-0.6907,33,0.27931,16,-0.8349,18,-0.7224,10,-1.5739,46,0.84087,19,-0.5571,78,1.78818,21,-0.4123
ENSG00000171603,CLSTN1,167,-2.1360,800,0.26304,901,0.45774,1111,0.95566,811,0.28521,540,-0.3655,405,-0.8091,483,-0.5385,472,-0.5747
ENSG00000178585,CTNNBIP1,26,-0.2027,36,0.29586,16,-0.9346,40,0.52714,11,-1.4597,49,0.79889,47,0.72587,14,-1.1882,21,-0.5710
ENSG00000162441,LZIC,117,0.99213,40,-0.7267,40,-0.7316,52,-0.3804,49,-0.4391,93,0.59082,78,0.31029,74,0.22428,50,-0.4100
ENSG00000130939,UBE4B,41,-0.0656,30,-0.5521,34,-0.3322,61,0.70039,18,-1.2652,38,-0.1750,59,0.54280,27,-0.7049,54,0.38466
ENSG00000054523,KIF1B,631,0.37733,678,0.49756,501,0.00183,450,-0.1890,374,-0.4606,542,0.12947,436,-0.2173,443,-0.1918,497,-0.0105
ENSG00000142657,PGD,50,-0.2718,102,0.89802,41,-0.5774,100,1.03262,35,-0.8172,38,-0.6922,34,-0.8579,43,-0.4949,48,-0.3148
ENSG00000241563,CORT,22,-1.3158,0,-7.8334,19,-1.4854,127,1.92253,36,-0.5565,43,-0.2889,48,-0.1178,82,0.74765,14,-1.9304
ENSG00000160049,DFFA,85,0.48359,97,0.71756,42,-0.6274,46,-0.5355,56,-0.1899,39,-0.7524,47,-0.4690,91,0.59781,81,0.40110
ENSG00000142655,PEX14,8,-1.2224,13,-0.4215,34,1.10487,25,0.69598,19,0.15933,17,0.00583,15,-0.2626,3,-2.2853,14,-0.3732
ENSG00000120948,TARDBP,127,0.71945,48,-0.8246,74,-0.1623,89,0.15024,77,-0.1022,99,0.30435,73,-0.1893,71,-0.2287,73,-0.1862
ENSG00000116649,SRM,31,-0.7702,26,-1.0156,43,-0.2409,55,0.14153,84,0.83129,48,-0.0797,62,0.32480,58,0.21287,44,-0.1999
ENSG00000171824,EXOSC10,46,0.76693,38,0.42544,25,-0.2032,25,-0.2695,19,-0.6773,13,-1.1985,26,-0.1337,37,0.40276,35,0.29774
ENSG00000198793,MTOR,25,-0.6865,10,-2.0506,49,0.39313,58,0.76933,45,0.25474,58,0.66491,17,-1.2218,43,0.16037,23,-0.7893
ENSG00000116661,FBXO2,97,-0.7239,111,-0.5125,154,-0.0003,143,-0.1273,144,-0.1018,134,-0.2198,196,0.39227,304,1.14448,112,-0.4945
ENSG00000132879,FBXO44,29,-1.4295,66,-0.1632,98,0.48299,105,0.68447,91,0.36145,48,-0.6481,68,-0.1016,49,-0.6253,71,-0.0499
ENSG00000177000,MTHFR,36,0.58715,18,-0.5278,29,0.19254,30,0.32562,11,-1.2179,9,-1.6016,21,-0.3086,29,0.21125,40,0.74486
ENSG00000011021,CLCN6,49,-0.5486,63,-0.1443,80,0.22415,109,0.87509,37,-0.9693,81,0.25073,55,-0.3643,52,-0.4567,58,-0.2773
ENSG00000116685,KIAA2013,64,0.91187,57,0.71706,27,-0.5074,44,0.33270,21,-0.8643,16,-1.2702,17,-1.1524,38,0.03047,40,0.14801
ENSG00000083444,PLOD1,28,0.67217,14,-0.4969,9,-1.0542,20,0.09279,16,-0.2827,22,0.25304,14,-0.4151,27,0.56777,18,-0.0591
ENSG00000116688,MFN2,73,-0.8005,104,-0.2420,115,-0.0909,159,0.50167,167,0.52215,158,0.42436,123,0.02284,66,-0.9374,90,-0.4625
ENSG00000048707,VPS13D,64,-0.3827,75,-0.1372,111,0.48661,84,0.04165,61,-0.4641,73,-0.1860,64,-0.3868,71,-0.2167,132,0.79079
ENSG00000162496,DHRS3,25,0.19728,33,0.69376,23,0.07256,12,-0.9515,4,-2.3018,8,-1.5119,12,-0.9215,53,1.52519,35,0.75937
ENSG00000116731,PRDM2,172,-0.4257,208,-0.1238,306,0.49833,201,-0.2027,359,0.77001,187,-0.2935,135,-0.8034,266,0.26971,217,-0.0561
ENSG00000189337,KAZN,104,0.70301,50,-0.4782,64,-0.1068,76,0.19375,46,-0.5936,96,0.55607,71,0.06349,51,-0.4403,46,-0.5987
ENSG00000142634,EFHD2,36,-1.8193,325,1.75616,31,-2.0196,245,1.48506,7,-4.1311,79,-0.6347,123,0.05513,6,-4.3357,90,-0.4308
ENSG00000116138,DNAJC16,26,-0.5789,35,-0.1214,62,0.81204,54,0.69594,34,-0.1466,34,-0.1398,13,-1.5901,25,-0.6521,38,0.03432
ENSG00000197312,DDI2,45,0.21480,2,-4.4047,53,0.50736,45,0.27707,41,0.09028,34,-0.1982,29,-0.4731,34,-0.2085,61,0.73161
ENSG00000116786,PLEKHM2,67,-0.6501,41,-1.4049,52,-1.0595,54,-1.0820,141,0.52302,142,0.52933,179,0.93029,151,0.63297,143,0.54832
ENSG00000065526,SPEN,308,0.92828,127,-0.5156,252,0.58484,89,-1.1399,163,-0.1263,110,-0.7314,81,-1.2022,344,1.12348,198,0.19063
ENSG00000116809,ZBTB17,28,0.37369,54,1.52805,18,-0.2993,15,-0.6689,18,-0.3065,8,-1.4117,15,-0.5333,29,0.43568,19,-0.1979
ENSG00000037637,FBXO42,16,-0.2452,4,-2.0959,22,0.26757,24,0.46724,12,-0.6073,36,1.10388,8,-1.1921,9,-1.0906,29,0.74983
ENSG00000055070,SZRD1,60,1.29588,22,-0.3341,17,-0.7939,16,-0.9233,20,-0.4888,21,-0.4266,33,0.29695,44,0.76011,28,-0.0037
ENSG00000219481,NBPF1,46,1.63839,43,1.50520,12,-0.6070,8,-1.2562,14,-0.4066,17,-0.0658,9,-0.9604,14,-0.3025,5,-1.8197
ENSG00000159363,ATP13A2,31,-1.7332,89,-0.1160,126,0.43114,149,0.84639,60,-0.7254,132,0.51896,82,-0.2583,68,-0.5410,75,-0.3930
ENSG00000117118,SDHB,28,-0.7273,21,-1.1315,38,-0.2487,49,0.17243,50,0.19423,90,1.18323,46,0.06888,47,0.09169,26,-0.8255
ENSG00000117115,PADI2,384,3.19203,79,0.06275,13,-2.6249,15,-2.5582,28,-1.5280,26,-1.6353,70,-0.1249,75,-0.0161,53,-0.5469
ENSG00000179051,RCC2,15,-0.5078,17,-0.3646,34,0.74373,17,-0.3770,28,0.45264,34,0.74975,10,-1.1848,25,0.27011,16,-0.4417
ENSG00000117154,IGSF21,20,-1.7268,140,1.34907,46,-0.4846,89,0.65085,59,-0.1134,53,-0.2839,57,-0.1714,22,-1.6130,57,-0.1706
ENSG00000159423,ALDH4A1,24,-0.1005,87,2.22032,4,-2.6918,8,-1.7486,15,-0.7564,22,-0.2401,26,0.04383,46,0.98651,12,-1.1426
ENSG00000127481,UBR4,53,0.36114,20,-1.1135,70,0.83842,29,-0.6261,26,-0.7503,31,-0.5092,30,-0.5147,62,0.63045,71,0.86000
ENSG00000127463,EMC1,28,-0.2708,23,-0.6135,42,0.34933,38,0.22341,30,-0.1571,37,0.15023,25,-0.4667,35,0.04977,40,0.29671
ENSG00000053372,MRTO4,29,-0.4690,21,-0.9276,46,0.26312,49,0.43833,44,0.19685,42,0.11645,32,-0.2734,42,0.13402,33,-0.2311
ENSG00000053371,AKR7A2,48,0.47868,92,1.64185,15,-1.2718,23,-0.7415,18,-1.0451,35,-0.0005,39,0.14401,42,0.26971,20,-0.9092
ENSG00000077549,CAPZB,115,-0.3800,145,-0.0114,183,0.36863,175,0.33891,164,0.19252,140,-0.0607,125,-0.2431,115,-0.3673,120,-0.3093
ENSG00000173436,MICOS10,206,-0.5458,221,-0.4409,179,-0.7655,228,-0.4336,338,0.23855,475,0.80561,579,1.15453,273,-0.1094,192,-0.6555
ENSG00000158747,NBL1,53,-1.6375,224,0.60391,112,-0.5173,196,0.43472,137,-0.1928,132,-0.2559,210,0.49487,110,-0.5367,180,0.24272
ENSG00000169914,OTUD3,15,-0.3997,7,-1.4555,28,0.55584,27,0.60968,18,-0.1054,6,-1.6555,5,-2.0578,24,0.28156,39,1.11691
ENSG00000162545,CAMK2N1,1021,-0.7102,474,-1.8665,1085,-0.6169,751,-1.2750,4107,1.62891,1014,-0.7214,2529,0.75052,3229,1.17983,1094,-0.6028
ENSG00000090432,MUL1,21,0.00804,48,1.43086,18,-0.2212,26,0.43639,14,-0.5954,9,-1.2651,18,-0.1713,12,-0.8347,14,-0.6058
ENSG00000183114,FAM43B,5,-2.1583,56,1.69250,10,-1.1171,38,1.15956,2,-3.0334,17,-0.3142,10,-1.0659,1,-4.5463,32,0.71057
ENSG00000158828,PINK1,145,-1.5306,346,-0.1991,374,-0.0770,508,0.48263,435,0.16653,615,0.74097,470,0.29122,279,-0.5386,244,-0.7419
ENSG00000244038,DDOST,10,-1.1849,22,0.08465,25,0.27175,37,1.07435,13,-0.7073,4,-2.4520,12,-0.8130,28,0.44736,24,0.15624
ENSG00000117245,KIF17,3,-2.9179,34,0.65260,25,0.14265,42,1.17288,20,-0.2453,29,0.38841,27,0.27309,3,-3.0105,5,-2.2753
ENSG00000189410,SH2D5,2,-3.7495,9,-1.9286,49,0.58255,43,0.42525,89,1.63822,20,-0.7939,26,-0.4293,35,0.04229,25,-0.4889
ENSG00000127483,HP1BP3,417,0.58059,271,-0.1196,342,0.25147,227,-0.4426,254,-0.2222,237,-0.3316,175,-0.8004,428,0.62437,346,0.27122
ENSG00000075151,EIF4G3,158,-0.6914,92,-1.5041,502,1.20894,231,-0.1091,263,0.11129,306,0.35654,143,-0.8393,253,0.04988,275,0.18395
ENSG00000117298,ECE1,35,0.97991,11,-0.8348,12,-0.7484,16,-0.3459,12,-0.7312,29,0.67014,10,-1.0442,31,0.76707,21,0.18410
ENSG00000076864,RAP1GAP,34,-1.9025,157,0.43686,100,-0.2915,198,0.97464,118,-0.0294,111,-0.1188,124,0.04804,42,-1.6009,118,-0.0265
ENSG00000090686,USP48,121,0.49017,77,-0.2341,120,0.47558,81,-0.1644,55,-0.7491,76,-0.2655,55,-0.7613,99,0.17149,128,0.58814
ENSG00000070831,CDC42,200,0.01853,239,0.30533,190,-0.0637,315,0.89531,136,-0.5853,219,0.15989,137,-0.5820,96,-1.1232,134,-0.6157
ENSG00000133216,EPHB2,36,1.33166,6,-1.3968,14,-0.2350,14,-0.2505,27,0.82031,7,-1.3107,1,-3.8325,23,0.53699,21,0.39655
ENSG00000004487,KDM1A,44,-0.5896,70,0.13077,94,0.61145,89,0.61701,70,0.14585,45,-0.5605,19,-1.8178,86,0.47410,36,-0.8859
ENSG00000169641,LUZP1,18,-3.3983,122,-0.6152,356,1.13971,191,0.09765,220,0.31669,265,0.62489,96,-0.9892,147,-0.3250,202,0.18143
ENSG00000125944,HNRNPR,189,0.43248,121,-0.2778,152,0.08035,144,-0.0131,172,0.28187,131,-0.1561,118,-0.3161,147,0.02377,129,-0.1879
ENSG00000142676,RPL11,597,0.70446,267,-0.5934,157,-1.3992,237,-0.8527,414,0.09809,391,0.00558,762,1.12945,453,0.24378,380,-0.0383
ENSG00000011007,ELOA,45,0.63919,24,-0.3901,38,0.33935,31,0.06411,26,-0.2624,23,-0.4555,27,-0.1779,36,0.27853,23,-0.4352
ENSG00000057757,PITHD1,105,-0.5861,171,0.18898,145,-0.0770,235,0.82804,151,-0.0184,202,0.46012,145,-0.0806,69,-1.2268,67,-1.2669
ENSG00000011009,LYPLA2,4,-2.8409,25,-0.1014,18,-0.6553,38,0.61502,49,0.95971,20,-0.4562,31,0.21846,12,-1.1914,37,0.48539
ENSG00000189266,PNRC2,59,0.03128,41,-0.5572,38,-0.6860,75,0.46705,63,0.12127,45,-0.4009,51,-0.2228,78,0.47738,58,0.00090
ENSG00000188529,SRSF10,95,0.26693,94,0.25415,70,-0.2143,72,-0.1877,56,-0.5538,80,-0.0025,52,-0.6705,92,0.22335,119,0.63770
ENSG00000001461,NIPAL3,382,1.41037,218,0.42842,146,-0.2153,184,0.16809,109,-0.6724,89,-0.9816,88,-1.0029,79,-1.1564,196,0.25162
ENSG00000133226,SRRM1,405,1.12826,73,-1.5924,268,0.41956,136,-0.7288,178,-0.2440,107,-1.0262,103,-1.0785,374,0.98461,292,0.56134
ENSG00000169504,CLIC4,272,3.58074,53,0.18389,7,-2.8003,16,-1.7396,8,-2.6538,18,-1.5031,39,-0.3182,25,-0.9695,19,-1.3675
ENSG00000117614,SYF2,189,0.64554,74,-0.8482,153,0.29849,68,-1.0473,190,0.65747,124,-0.0449,129,0.01775,185,0.61269,93,-0.4973
ENSG00000117616,RSRP1,114,0.58228,105,0.44254,76,-0.0752,73,-0.1729,48,-0.7795,29,-1.5648,37,-1.1681,48,-0.7875,196,1.54378
ENSG00000183726,TMEM50A,63,-0.0218,71,0.19029,54,-0.2423,77,0.35588,96,0.67698,32,-1.0589,58,-0.1349,63,-0.0177,43,-0.5996
ENSG00000204178,MACO1,72,0.07171,110,0.76798,130,1.06285,52,-0.4939,55,-0.3415,33,-1.1365,37,-0.9437,67,-0.0270,79,0.23327
ENSG00000117643,MAN1C1,14,-1.2943,8,-2.0497,65,1.15062,24,-0.5614,80,1.51943,33,-0.0075,21,-0.6594,43,0.42367,16,-1.0403
ENSG00000162430,SELENON,35,0.31590,48,0.83226,22,-0.4413,25,-0.2395,21,-0.4875,7,-2.0728,44,0.68108,35,0.31514,26,-0.1481
ENSG00000117640,MTFR1L,46,-0.4301,34,-0.8879,49,-0.3447,78,0.45229,75,0.33398,67,0.16025,43,-0.5555,58,-0.0834,81,0.46974
ENSG00000117632,STMN1,849,-0.4882,1200,0.05830,1369,0.27128,1521,0.51184,1151,-0.0089,1909,0.82918,892,-0.4117,509,-1.2729,654,-0.8911
ENSG00000158008,EXTL1,6,-2.8088,57,0.54784,43,0.10399,51,0.40335,63,0.71173,24,-0.7939,44,0.14406,29,-0.5344,38,-0.0869
ENSG00000142684,ZNF593,21,-1.0447,37,-0.2030,35,-0.3173,64,0.78844,61,0.58852,26,-0.7363,59,0.52874,23,-0.9543,33,-0.3665
ENSG00000142669,SH3BGRL3,137,-0.3321,267,0.76133,117,-0.5673,216,0.46375,96,-0.8816,191,0.20002,219,0.42591,80,-1.1444,146,-0.2312
ENSG00000117682,DHDDS,12,-0.4439,0,-6.4283,20,0.27412,31,1.19244,13,-0.3427,13,-0.3979,30,0.94722,15,-0.1789,2,-2.6829
ENSG00000198830,HMGN2,339,1.27954,135,-0.2649,82,-1.0323,104,-0.7269,121,-0.4366,104,-0.6669,211,0.46215,239,0.66785,153,-0.0633
ENSG00000117713,ARID1A,127,0.36723,198,1.12290,61,-0.7761,80,-0.4053,75,-0.4622,82,-0.3352,57,-0.8926,102,0.00869,150,0.63905
ENSG00000204160,ZDHHC18,13,-0.5706,1,-3.7456,14,-0.4094,40,1.54916,14,-0.4254,12,-0.6648,24,0.42026,13,-0.5345,15,-0.3558
ENSG00000142751,GPN2,27,0.17813,12,-1.0151,17,-0.5507,30,0.40898,29,0.27055,16,-0.6854,17,-0.5104,23,-0.0965,41,0.85344
ENSG00000090273,NUDC,171,-0.4024,149,-0.6143,230,0.06683,212,-0.0690,255,0.23382,268,0.31655,278,0.37626,244,0.16527,185,-0.2742
ENSG00000253368,TRNP1,12,-1.7550,5,-2.8944,37,-0.0563,45,0.26914,60,0.71666,79,1.19039,56,0.59485,28,-0.4922,20,-1.0255
ENSG00000090020,SLC9A1,4,-2.0702,0,-6.3882,25,0.66776,33,1.43123,21,0.37690,26,0.79779,7,-1.2916,5,-1.6662,9,-0.9342
ENSG00000142784,WDTC1,39,0.42596,25,-0.2663,26,-0.2114,29,-0.0714,23,-0.4329,26,-0.2086,38,0.36928,36,0.28863,29,-0.0483
ENSG00000186501,TMEM222,58,0.25635,101,1.20849,31,-0.7258,55,0.18241,54,0.13832,35,-0.5253,60,0.30268,21,-1.2883,24,-1.0811
ENSG00000158195,WASF2,284,2.60980,71,0.02660,19,-1.9990,22,-1.8432,23,-1.6897,17,-2.1325,53,-0.4281,102,0.62248,85,0.31788
ENSG00000126705,AHDC1,30,-1.1592,63,-0.0414,73,0.21367,98,0.80738,53,-0.2996,33,-1.0088,53,-0.3018,53,-0.2898,87,0.49697
ENSG00000126709,IFI6,56,-0.5259,113,0.61094,86,0.15952,138,1.12762,27,-1.6278,61,-0.3884,65,-0.2774,34,-1.2808,62,-0.3741
ENSG00000009780,FAM76A,22,-0.0329,42,0.99309,12,-0.9707,27,0.28116,21,-0.1128,12,-1.0418,19,-0.3107,23,0.02032,24,0.09972
ENSG00000117758,STX12,121,0.04142,213,0.98840,112,-0.0827,135,0.24785,96,-0.3130,100,-0.2584,90,-0.4268,89,-0.4289,86,-0.4919
ENSG00000117751,PPP1R8,58,0.98200,22,-0.5640,14,-1.2159,47,0.74937,22,-0.5520,38,0.26170,17,-0.9914,25,-0.3789,28,-0.1869
ENSG00000117748,RPA2,22,-0.9121,49,0.34313,41,0.05209,56,0.64408,31,-0.4101,43,0.12132,33,-0.2975,40,0.01072,27,-0.6087
ENSG00000126698,DNAJC8,252,0.23525,115,-0.9977,266,0.32142,197,-0.1748,264,0.30825,225,0.05294,236,0.12898,267,0.32779,160,-0.4885
ENSG00000130770,ATP5IF1,115,-1.6357,171,-1.0442,369,0.15530,268,-0.3911,491,0.62754,693,1.23124,351,0.07538,390,0.24551,233,-0.5721
ENSG00000204138,PHACTR4,100,1.88392,41,0.27640,20,-0.8125,14,-1.4495,17,-1.0855,30,-0.1944,22,-0.7038,44,0.42101,40,0.23422
