Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000116198,CEP104,50,-0.0747,106,1.18497,29,-0.9080,23,-1.2274,51,-0.0595,60,0.22859,37,-0.5512,64,0.30948,53,0.02414
ENSG00000196581,AJAP1,0,-7.2974,10,-2.6021,49,-0.2791,16,-1.9814,51,-0.2269,59,0.03401,70,0.30653,171,1.89754,104,0.96595
ENSG00000069424,KCNAB2,124,-0.4076,1,-6.5425,138,-0.2344,85,-0.9834,317,1.38501,167,0.06889,154,-0.0666,151,-0.0933,148,-0.1264
ENSG00000116254,CHD5,49,-3.3125,33,-3.8530,526,0.27849,142,-1.7403,374,-0.3016,871,1.13668,363,-0.3161,798,0.98186,902,1.20134
ENSG00000116251,RPL22,666,1.11045,409,0.27930,241,-0.5622,291,-0.2649,289,-0.3102,400,0.24291,472,0.51708,266,-0.4053,118,-1.6380
ENSG00000116237,ICMT,45,0.27890,13,-1.5884,24,-0.7111,37,-0.0060,44,0.30897,32,-0.2462,48,0.39975,27,-0.5235,60,0.78485
ENSG00000097021,ACOT7,90,0.15271,26,-1.7297,33,-1.3793,0,-8.0787,198,1.91405,28,-1.6450,119,0.61298,20,-2.1207,103,0.38477
ENSG00000171680,PLEKHG5,2,-4.3173,0,-9.4945,65,0.34177,39,-0.4521,79,0.79731,75,0.57893,17,-1.6703,98,1.05561,68,0.41694
ENSG00000162408,NOL9,91,1.00573,31,-0.7253,16,-1.6934,24,-1.1422,41,-0.3461,68,0.50141,57,0.20951,67,0.47812,63,0.36710
ENSG00000007923,DNAJC11,22,-1.2899,8,-2.7408,83,0.80279,64,0.35763,68,0.53930,48,-0.1130,58,0.20528,46,-0.1667,46,-0.1694
ENSG00000171735,CAMTA1,215,-1.0526,162,-1.4786,202,-1.1442,221,-1.0092,562,0.53501,292,-0.5840,850,1.17811,610,0.60110,552,0.43475
ENSG00000049245,VAMP3,304,2.98346,101,0.72841,19,-1.8613,95,0.62326,31,-1.2035,13,-2.3395,17,-2.0502,27,-1.3579,9,-2.9779
ENSG00000049246,PER3,6,-3.0631,68,0.53134,44,-0.1573,157,2.06918,28,-0.9613,44,-0.1785,37,-0.4606,50,0.03102,29,-0.7978
ENSG00000116288,PARK7,146,0.41107,52,-1.2038,29,-2.0418,134,0.26609,160,0.65307,101,-0.1785,190,0.85777,87,-0.4204,74,-0.6703
ENSG00000142599,RERE,9,-4.3400,247,0.56974,35,-2.4433,251,0.59159,127,-0.5466,145,-0.2923,264,0.67750,314,0.97755,227,0.42485
ENSG00000074800,ENO1,380,-0.0382,198,-1.0506,253,-0.6720,1202,2.00832,382,-0.0313,297,-0.4273,329,-0.2637,217,-0.9116,249,-0.7004
ENSG00000171612,SLC25A33,17,-1.5986,12,-2.1539,41,-0.3017,130,1.68631,46,-0.1137,77,0.72652,51,0.07208,61,0.35739,10,-2.3050
ENSG00000171603,CLSTN1,213,-1.5378,130,-2.2643,330,-0.8726,538,-0.1136,1007,1.09733,318,-0.9304,672,0.24305,571,-0.0181,992,0.89799
ENSG00000178585,CTNNBIP1,45,-0.3067,18,-1.6550,145,1.70088,47,-0.2316,67,0.39308,65,0.27623,37,-0.5974,28,-1.0341,25,-1.2027
ENSG00000162441,LZIC,0,-7.5571,99,0.57846,151,1.31002,137,1.13518,25,-1.7020,68,-0.0478,92,0.44790,55,-0.3601,45,-0.6707
ENSG00000130939,UBE4B,22,-0.7756,64,0.91544,58,0.75216,0,-7.3906,62,1.03365,11,-1.8082,45,0.33593,16,-1.2539,26,-0.5466
ENSG00000054523,KIF1B,331,-0.8205,753,0.48587,639,0.21471,615,0.15258,572,0.03950,395,-0.5464,740,0.45666,590,0.08580,386,-0.5818
ENSG00000142657,PGD,82,0.65529,28,-1.0539,70,0.40591,65,0.28109,57,0.07124,54,-0.0261,35,-0.6805,9,-2.6664,90,0.82601
ENSG00000160049,DFFA,2,-4.6099,97,0.79191,24,-1.3833,95,0.75769,46,-0.4623,94,0.73733,60,0.01003,95,0.75052,40,-0.6264
ENSG00000120948,TARDBP,70,-0.0537,92,0.38887,21,-1.8397,38,-0.9738,101,0.64473,54,-0.4526,72,0.00755,71,-0.0226,99,0.52041
ENSG00000116649,SRM,45,-0.5360,16,-2.0968,60,-0.1032,75,0.26017,132,1.48293,60,-0.0924,31,-1.1213,41,-0.6732,46,-0.4994
ENSG00000171824,EXOSC10,0,-6.9284,61,0.48283,43,-0.0860,44,-0.0340,20,-1.3633,79,0.92215,16,-1.5461,67,0.63880,102,1.38890
ENSG00000116661,FBXO2,125,-0.0793,41,-1.7708,38,-1.8811,129,-0.0281,249,1.28382,143,0.13550,171,0.43074,75,-0.8736,93,-0.5359
ENSG00000132879,FBXO44,122,0.13848,8,-3.9377,49,-1.2719,55,-1.0928,211,1.27139,116,0.06646,40,-1.5547,86,-0.4191,220,1.13884
ENSG00000011021,CLCN6,17,-1.9064,23,-1.4842,106,0.95244,14,-2.1423,92,0.82811,46,-0.4028,76,0.38218,42,-0.5646,90,0.66971
ENSG00000116685,KIAA2013,58,-0.0721,62,0.02682,148,1.51306,41,-0.6242,64,0.09318,29,-1.1218,21,-1.6373,52,-0.2374,70,0.22566
ENSG00000116688,MFN2,64,-1.0419,102,-0.3297,116,-0.1332,142,0.19543,163,0.48013,109,-0.2189,149,0.27170,116,-0.1249,134,0.09780
ENSG00000048707,VPS13D,78,-0.4000,71,-0.5590,87,-0.2437,206,1.19975,88,-0.2403,75,-0.4680,77,-0.4215,132,0.43930,108,0.10172
ENSG00000162496,DHRS3,13,-1.7057,26,-0.7112,21,-1.0297,149,2.32973,37,-0.2069,62,0.66734,25,-0.7511,21,-1.0067,21,-1.0431
ENSG00000116731,PRDM2,175,-0.9110,190,-0.7890,274,-0.2140,122,-1.4558,247,-0.4202,348,0.16516,357,0.20468,709,1.38968,472,0.67015
ENSG00000189337,KAZN,120,0.74878,125,0.82144,143,1.05303,14,-2.5486,64,-0.3112,55,-0.5015,90,0.26033,42,-0.9360,45,-0.8063
ENSG00000142634,EFHD2,45,-0.8913,13,-2.6605,145,0.98698,30,-1.5020,185,1.78060,58,-0.5065,54,-0.6118,12,-2.8687,72,-0.1568
ENSG00000197312,DDI2,9,-2.4634,38,-0.4202,21,-1.2959,83,0.85145,54,0.14129,48,-0.0681,63,0.39491,67,0.47651,60,0.29493
ENSG00000116786,PLEKHM2,48,-2.0006,82,-1.2144,76,-1.3220,101,-0.8942,223,0.40322,445,1.56600,221,0.33478,276,0.70548,100,-0.9049
ENSG00000065526,SPEN,122,-1.3144,647,1.38693,287,0.00104,210,-0.4944,96,-1.7977,234,-0.3207,172,-0.8027,686,1.49689,320,0.17597
ENSG00000055070,SZRD1,148,1.28041,35,-1.0616,19,-1.9624,119,0.88307,35,-1.1683,85,0.31539,62,-0.1692,83,0.28311,76,0.13199
ENSG00000159363,ATP13A2,12,-2.9110,10,-3.2061,162,1.03758,53,-0.7684,160,1.21911,55,-0.7178,79,-0.1525,35,-1.3958,143,0.82034
ENSG00000117115,PADI2,477,1.81587,378,1.36634,268,0.75858,89,-1.0025,92,-1.0399,175,0.05518,75,-1.2625,29,-2.6435,19,-3.2278
ENSG00000117154,IGSF21,51,0.05145,4,-3.5465,0,-6.6870,4,-3.7131,137,2.31292,54,0.14036,42,-0.2493,25,-1.0417,38,-0.3925
ENSG00000159423,ALDH4A1,31,-0.3954,20,-1.0388,1,-4.8073,137,2.21368,48,0.32669,67,0.85420,6,-2.8684,30,-0.4700,12,-1.7706
ENSG00000127481,UBR4,48,-0.7733,93,0.27496,182,1.43763,95,0.30573,21,-2.1152,58,-0.4686,44,-0.9043,121,0.72063,101,0.41043
ENSG00000127463,EMC1,31,-0.2700,17,-1.2151,6,-2.5943,24,-0.6753,59,0.91410,17,-1.1584,57,0.71203,46,0.36864,52,0.54788
ENSG00000053372,MRTO4,64,0.09533,22,-1.5662,3,-4.4642,32,-1.0011,100,0.98037,79,0.41791,53,-0.1990,36,-0.7936,117,1.09731
ENSG00000077549,CAPZB,92,-0.5491,79,-0.7985,46,-1.5965,95,-0.5147,202,0.83082,119,-0.1524,181,0.52370,121,-0.1307,175,0.46815
ENSG00000173436,MICOS10,260,0.89270,61,-1.4041,45,-1.8625,170,0.17776,174,0.24548,186,0.32653,307,1.18624,61,-1.4030,82,-0.9510
ENSG00000158747,NBL1,68,-1.4358,20,-3.2284,135,-0.3935,173,0.00666,303,1.10674,279,0.79109,116,-0.6284,125,-0.5114,207,0.29319
ENSG00000162545,CAMK2N1,1381,-0.0155,950,-0.6035,264,-2.5256,646,-1.1923,1295,-0.1316,2863,1.21726,1974,0.56941,2742,1.13894,534,-1.4801
ENSG00000158828,PINK1,378,0.24622,115,-1.5892,401,0.34176,209,-0.6907,495,0.80870,370,0.21207,342,0.08154,157,-1.1255,285,-0.2057
ENSG00000127483,HP1BP3,185,-0.9874,524,0.67026,274,-0.3787,341,-0.0341,287,-0.3429,225,-0.6814,619,0.95986,441,0.38190,301,-0.2321
ENSG00000075151,EIF4G3,124,-0.7685,162,-0.3615,131,-0.6940,64,-1.7614,152,-0.5121,157,-0.4098,448,1.34447,322,0.75517,323,0.76534
ENSG00000117298,ECE1,40,-0.2977,65,0.47209,7,-2.8372,182,2.40694,14,-1.9447,48,-0.0280,14,-1.8758,63,0.42265,38,-0.3690
ENSG00000076864,RAP1GAP,47,-0.8634,14,-2.6189,106,0.42929,50,-0.7660,151,1.23354,53,-0.6672,77,-0.0914,32,-1.4290,133,0.81508
ENSG00000090686,USP48,75,-0.5356,211,1.17030,268,1.61433,13,-3.0968,30,-2.0156,87,-0.3035,57,-0.9502,122,0.23344,160,0.68292
ENSG00000070831,CDC42,358,1.17422,171,-0.0642,168,-0.0913,149,-0.2867,248,0.62278,89,-1.0771,162,-0.1526,35,-2.4679,155,-0.2217
ENSG00000004487,KDM1A,89,0.37986,20,-1.9063,44,-0.7442,120,0.87025,61,-0.2686,36,-1.0324,61,-0.2250,143,1.18782,72,0.02678
ENSG00000169641,LUZP1,30,-2.4804,85,-0.9643,100,-0.7095,120,-0.4311,137,-0.2484,85,-0.9635,387,1.54820,128,-0.3269,367,1.44657
ENSG00000125944,HNRNPR,90,-0.7751,205,0.53229,130,-0.2016,217,0.63147,137,-0.1312,85,-0.8673,183,0.34424,144,-0.0352,149,0.01508
ENSG00000142676,RPL11,623,1.33889,406,0.58531,223,-0.3823,182,-0.7004,281,-0.0174,329,0.23559,310,0.14212,80,-1.9233,124,-1.2806
ENSG00000011007,ELOA,0,-6.4884,47,0.56023,3,-3.2758,33,-0.0081,23,-0.5894,26,-0.3652,88,1.68330,50,0.67317,37,0.17947
ENSG00000057757,PITHD1,212,0.79621,65,-1.0724,114,-0.2226,171,0.43622,219,1.00777,53,-1.3780,92,-0.5490,40,-1.8127,123,-0.1043
ENSG00000189266,PNRC2,111,1.40335,41,-0.2691,51,0.07722,72,0.65166,48,-0.0040,13,-1.9227,29,-0.7883,26,-0.9395,44,-0.1386
ENSG00000188529,SRSF10,87,-0.8615,172,0.20140,403,1.70044,228,0.66659,39,-2.1912,160,0.08264,115,-0.4399,122,-0.3390,152,0.00367
ENSG00000001461,NIPAL3,289,0.72796,379,1.20043,339,1.00410,78,-1.3305,196,0.09232,81,-1.2763,128,-0.5857,62,-1.6839,111,-0.8007
ENSG00000133226,SRRM1,134,-1.4241,1047,2.02088,353,0.07640,246,-0.4911,177,-1.0840,257,-0.4261,380,0.19402,353,0.07784,241,-0.5239
ENSG00000169504,CLIC4,621,2.58007,281,0.98744,376,1.52313,91,-0.8341,47,-1.9390,67,-1.2993,13,-3.7158,2,-6.0880,8,-4.4239
ENSG00000117614,SYF2,153,-0.1857,287,0.84789,125,-0.4983,89,-1.0170,107,-0.8160,201,0.24826,230,0.47031,248,0.59974,174,0.01497
ENSG00000183726,TMEM50A,95,0.76988,67,0.19985,71,0.28383,16,-2.0002,89,0.77936,5,-3.6863,57,-0.0613,32,-0.9401,72,0.31689
ENSG00000204178,MACO1,24,-2.0406,117,0.40126,72,-0.3645,29,-1.7566,52,-0.9525,67,-0.4946,84,-0.1324,213,1.44833,203,1.36294
ENSG00000162430,SELENON,79,0.94677,17,-1.5021,73,0.79127,40,-0.1768,53,0.28823,52,0.22312,9,-2.3613,38,-0.2406,35,-0.3679
ENSG00000117640,MTFR1L,111,0.95215,34,-0.9303,4,-3.9285,34,-0.9403,70,0.19661,84,0.48215,79,0.36549,35,-0.9206,106,0.86474
ENSG00000117632,STMN1,1014,0.79686,772,0.33943,578,-0.1284,370,-0.8237,852,0.57952,159,-2.0857,757,0.30575,316,-1.0648,595,-0.0831
ENSG00000142669,SH3BGRL3,195,0.43424,149,-0.0009,225,0.67000,117,-0.3842,215,0.69379,133,-0.1872,119,-0.3606,29,-2.4435,96,-0.6924
ENSG00000198830,HMGN2,330,1.45209,143,0.02450,199,0.56615,199,0.56342,107,-0.4807,125,-0.1958,108,-0.4205,45,-1.7492,48,-1.6578
ENSG00000117713,ARID1A,240,0.65591,179,0.17115,261,0.79895,347,1.30188,85,-1.0782,88,-0.9346,138,-0.2460,76,-1.1654,111,-0.5815
ENSG00000142751,GPN2,6,-2.6323,50,0.41424,32,-0.3107,13,-1.6503,65,1.01999,25,-0.6708,24,-0.7328,40,0.04968,66,0.87778
ENSG00000090273,NUDC,95,-0.9946,101,-0.8957,38,-2.3483,280,0.72667,193,0.12982,217,0.30151,358,1.15779,198,0.15204,126,-0.5534
ENSG00000253368,TRNP1,0,-6.3616,1,-5.0303,0,-5.9953,32,0.11375,44,0.70062,62,1.19912,52,0.90638,29,-0.0841,38,0.38602
ENSG00000142784,WDTC1,43,0.03971,16,-1.4488,3,-3.6691,19,-1.2450,72,1.03595,81,1.08399,30,-0.5482,26,-0.7687,61,0.59342
ENSG00000186501,TMEM222,87,-0.0009,65,-0.4638,217,1.56678,89,0.03159,116,0.52892,59,-0.6103,45,-1.0397,28,-1.7540,52,-0.8054
ENSG00000158195,WASF2,233,0.61196,313,1.12031,141,-0.2040,438,1.75303,66,-1.4799,142,-0.1953,94,-0.8329,68,-1.3263,45,-1.9482
ENSG00000126705,AHDC1,45,-1.4158,66,-0.8392,181,0.78389,85,-0.4455,72,-0.7757,84,-0.4690,42,-1.5010,245,1.31592,236,1.25274
ENSG00000126709,IFI6,107,-0.0204,82,-0.4492,171,0.74890,110,0.01758,174,0.91343,50,-1.2071,71,-0.6677,31,-1.9195,117,0.11804
ENSG00000117758,STX12,121,0.18605,99,-0.1288,136,0.37810,146,0.50098,115,0.11835,89,-0.3060,108,0.00330,38,-1.6010,110,0.03220
ENSG00000117751,PPP1R8,132,1.52195,34,-0.7315,100,1.01605,77,0.57019,54,-0.0165,7,-3.0596,9,-2.7051,49,-0.1581,28,-1.0283
ENSG00000126698,DNAJC8,89,-1.3768,286,0.44759,55,-2.0813,115,-0.9844,135,-0.8177,251,0.23544,508,1.45798,336,0.71819,261,0.29996
ENSG00000130770,ATP5IF1,113,-0.2398,73,-0.9176,97,-0.4672,135,0.04186,147,0.21421,64,-1.1137,283,1.30621,110,-0.2847,143,0.13338
ENSG00000204138,PHACTR4,22,-1.9348,123,0.75661,144,1.03508,95,0.32771,30,-1.5519,92,0.27112,56,-0.5034,120,0.71736,63,-0.3164
ENSG00000198492,YTHDF2,7,-3.8965,95,0.00541,76,-0.3429,216,1.40044,83,-0.2376,63,-0.6440,131,0.52985,76,-0.3430,119,0.36007
ENSG00000116350,SRSF4,20,-3.2342,196,0.21737,270,0.75197,236,0.52213,87,-1.1357,222,0.42398,126,-0.4868,240,0.55363,228,0.46694
ENSG00000162512,SDC3,311,0.84611,118,-0.7088,98,-0.9927,309,0.83743,185,-0.0121,182,-0.0348,97,-1.0101,237,0.38766,141,-0.4414
ENSG00000134644,PUM1,155,-0.3497,125,-0.6925,236,0.31821,131,-0.6191,220,0.23176,121,-0.7375,262,0.49054,242,0.35581,228,0.25951
ENSG00000121766,ZCCHC17,120,-0.5121,204,0.34043,192,0.23604,77,-1.1815,195,0.29466,143,-0.2310,221,0.47214,165,-0.0041,145,-0.2121
ENSG00000162517,PEF1,50,-0.0913,33,-0.7669,21,-1.4309,52,-0.0377,106,1.39863,13,-2.0961,45,-0.2799,34,-0.7166,73,0.51768
ENSG00000084636,COL16A1,11,-2.5187,79,0.40977,295,3.05079,39,-0.6840,51,-0.3223,32,-0.9892,16,-2.0287,25,-1.3815,13,-2.3542
ENSG00000121753,ADGRB2,67,-1.8497,41,-2.5782,283,0.37835,93,-1.3500,356,0.89379,340,0.68426,67,-1.8511,322,0.59047,319,0.57469
ENSG00000184007,PTP4A2,1539,1.70797,1722,1.93394,424,-0.4860,386,-0.6318,341,-0.8977,298,-1.0311,390,-0.6164,183,-1.7644,150,-2.0503
ENSG00000121774,KHDRBS1,113,-0.2496,124,-0.1022,110,-0.2897,216,0.81140,132,0.00486,124,-0.0954,152,0.22401,118,-0.1723,99,-0.4571
ENSG00000025800,KPNA6,55,-1.3209,139,0.11153,184,0.57476,181,0.54819,89,-0.6470,59,-1.2083,174,0.47779,171,0.44892,155,0.28510
ENSG00000084652,TXLNA,53,0.19776,35,-0.4696,74,0.75201,95,1.17712,37,-0.4117,43,-0.1349,52,0.14914,25,-0.9568,19,-1.4026
ENSG00000084623,EIF3I,120,0.47975,45,-1.0680,77,-0.2253,114,0.39425,131,0.73759,58,-0.6674,77,-0.2244,91,0.03190,47,-0.9936
ENSG00000175130,MARCKSL1,1632,1.95155,1029,1.07382,1699,2.03517,327,-0.7940,177,-1.8361,113,-2.3776,101,-2.5420,111,-2.4098,60,-3.2994
ENSG00000160058,BSDC1,37,-1.2505,92,0.16307,35,-1.3107,126,0.67677,122,0.72030,53,-0.6952,77,-0.1307,62,-0.4697,107,0.41063
ENSG00000160062,ZBTB8A,6,-2.9797,64,0.55576,77,0.87280,49,0.12735,22,-1.1943,51,0.19320,37,-0.3020,73,0.78626,51,0.20781
ENSG00000162521,RBBP4,152,0.06776,160,0.14783,129,-0.1875,230,0.75495,103,-0.5919,116,-0.3534,171,0.25814,150,0.05101,141,-0.0571
ENSG00000134684,YARS,66,-0.3019,88,0.14802,131,0.82235,26,-1.6949,116,0.70599,39,-1.0981,73,-0.1407,40,-1.0634,103,0.41787
ENSG00000121905,HPCA,55,-1.1295,4,-4.9178,89,-0.3828,73,-0.7013,250,1.63503,86,-0.4407,69,-0.7830,55,-1.1227,210,1.01690
ENSG00000160094,ZNF362,1,-5.2091,25,-0.6871,11,-1.9196,51,0.42459,53,0.56609,43,0.14835,26,-0.6605,96,1.53191,33,-0.2488
ENSG00000134686,PHC2,308,0.84064,163,-0.2080,364,1.13560,81,-1.2782,172,-0.1344,218,0.26340,132,-0.5340,68,-1.5332,176,-0.0845
ENSG00000163866,SMIM12,24,-0.6565,16,-1.3102,31,-0.2653,59,0.75704,53,0.67913,17,-1.1646,51,0.52786,25,-0.6207,41,0.15358
ENSG00000116544,DLGAP3,0,-7.4370,1,-5.2453,14,-2.2703,7,-3.2396,108,1.00799,185,1.85679,19,-1.8414,111,0.91449,88,0.52124
ENSG00000116560,SFPQ,64,-2.4432,504,0.75442,343,0.11711,331,0.05811,137,-1.4115,477,0.66018,194,-0.7782,490,0.70554,516,0.79240
ENSG00000146463,ZMYM4,21,-1.0214,46,0.16667,9,-2.3557,92,1.32554,15,-1.6769,48,0.23462,50,0.29266,73,0.91000,49,0.26101
ENSG00000142687,KIAA0319L,94,0.12792,42,-1.1144,89,0.03227,67,-0.4074,90,0.06883,95,0.14953,102,0.26011,99,0.21285,100,0.22019
ENSG00000020129,NCDN,150,-1.0826,18,-4.1752,121,-1.4016,162,-0.9625,686,1.74136,154,-1.0431,175,-0.8458,301,0.00073,558,1.03076
ENSG00000126067,PSMB2,66,-0.3098,103,0.39275,110,0.50556,13,-2.6771,135,1.00633,85,0.07668,38,-1.1701,34,-1.3272,88,0.13067
ENSG00000142686,C1orf216,0,-7.4715,13,-2.4449,15,-2.1779,32,-1.1033,168,2.05091,24,-1.5568,86,0.43362,55,-0.2938,97,0.63816
ENSG00000092847,AGO1,4,-3.8725,52,-0.0377,35,-0.6220,21,-1.4314,52,-0.0372,29,-0.8993,108,1.20240,102,1.09956,74,0.54911
ENSG00000126070,AGO3,47,-0.6794,179,1.54846,71,-0.0415,102,0.55014,29,-1.5292,48,-0.6458,75,0.06003,115,0.75956,32,-1.2605
ENSG00000116871,MAP7D1,265,-0.1847,314,0.08668,547,1.02098,198,-0.6400,278,-0.1206,299,0.01059,205,-0.5819,363,0.32639,225,-0.4365
ENSG00000054118,THRAP3,240,-0.2255,288,0.06303,249,-0.1683,334,0.30494,189,-0.6605,164,-0.8178,487,0.94123,420,0.68568,208,-0.4498
ENSG00000163875,MEAF6,14,-2.4792,29,-1.4443,49,-0.6663,66,-0.2159,141,1.24140,17,-2.2767,119,0.74000,71,-0.1046,110,0.60306
ENSG00000197982,C1orf122,538,2.00319,133,-0.4212,226,0.42168,132,-0.4317,138,-0.4044,174,-0.0026,119,-0.5945,111,-0.7039,32,-2.5624
ENSG00000188786,MTF1,85,1.35494,88,1.42445,2,-3.8718,5,-2.9043,21,-1.0039,25,-0.6669,38,0.00735,42,0.17753,53,0.53267
ENSG00000183431,SF3A3,97,0.79229,39,-0.6926,67,0.16887,45,-0.4699,78,0.49374,30,-1.0696,57,-0.0833,39,-0.6898,72,0.28171
ENSG00000116954,RRAGC,55,-0.3152,74,0.15718,58,-0.2092,87,0.43797,83,0.41258,46,-0.5778,67,0.01207,43,-0.6982,70,0.08542
ENSG00000174574,AKIRIN1,126,0.21051,65,-0.8300,196,0.94633,186,0.85185,90,-0.3755,94,-0.2651,78,-0.5545,118,0.10214,67,-0.7798
ENSG00000168653,NDUFS5,291,-0.0364,119,-1.4119,222,-0.4655,306,0.04000,457,0.82132,264,-0.1927,443,0.65246,198,-0.6388,223,-0.4570
ENSG00000127603,MACF1,178,-2.1472,1341,1.02418,589,-0.3331,2512,2.24631,170,-2.3453,498,-0.5957,529,-0.5024,814,0.18226,472,-0.6792
ENSG00000090621,PABPC4,19,-2.6097,325,1.90177,69,-0.7358,59,-0.9653,101,-0.1664,115,0.05811,105,-0.0837,78,-0.5418,133,0.30480
ENSG00000116983,HPCAL4,158,-1.0461,31,-3.4295,152,-1.1090,127,-1.3759,405,0.49781,547,0.94522,267,-0.2359,630,1.19709,379,0.32662
ENSG00000131236,CAP1,126,-0.0291,134,0.07349,104,-0.3291,190,0.64269,120,-0.1227,64,-1.0848,202,0.75040,119,-0.1221,104,-0.3260
