Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000162408,NOL9,25,-0.3881,30,-0.0449,20,-0.6500,27,-0.2233,40,0.62874
ENSG00000162413,KLHL21,37,0.19959,12,-1.5149,59,0.91252,28,-0.3394,33,-0.0391
ENSG00000116273,PHF13,16,-0.0241,15,-0.1406,0,-5.8035,23,0.58385,18,0.19690
ENSG00000041988,THAP3,19,0.34568,17,0.08702,0,-5.7642,6,-1.5911,23,0.86920
ENSG00000007923,DNAJC11,25,-0.6973,22,-0.7441,64,0.92690,49,0.56725,35,-0.0960
ENSG00000171735,CAMTA1,217,-1.2372,345,-0.3536,494,0.21320,716,0.95357,458,0.13418
ENSG00000049245,VAMP3,160,2.93072,23,-1.3939,45,-0.4130,13,-2.3722,18,-2.1877
ENSG00000049246,PER3,77,1.02296,50,0.04667,26,-0.9296,51,0.08515,31,-0.9094
ENSG00000116288,PARK7,173,-0.4868,318,0.56970,79,-1.5915,140,-0.7883,316,0.88552
ENSG00000116285,ERRFI1,23,0.22669,10,-1.1075,0,-6.1065,14,-0.6697,30,0.96129
ENSG00000162426,SLC45A1,11,-1.4597,10,-1.3894,49,1.02029,20,-0.4748,39,1.01995
ENSG00000142599,RERE,145,0.11154,139,0.02513,156,0.20507,173,0.42933,107,-0.5151
ENSG00000074800,ENO1,335,-0.3144,463,0.25582,401,0.02429,292,-0.5136,472,0.42802
ENSG00000171612,SLC25A33,25,0.25367,49,1.32027,0,-5.9364,12,-1.0436,24,0.17585
ENSG00000171603,CLSTN1,242,-1.8048,318,-1.1741,1179,0.90040,746,0.16167,945,0.83191
ENSG00000178585,CTNNBIP1,29,0.09707,41,0.62398,38,0.48243,13,-1.2667,29,0.05845
ENSG00000162441,LZIC,121,1.36666,50,-0.4510,4,-4.1182,54,-0.3553,53,-0.5090
ENSG00000162444,RBP7,82,4.37026,12,-1.1264,1,-4.2211,2,-3.7130,3,-3.4893
ENSG00000130939,UBE4B,64,0.43437,41,-0.3725,18,-1.5816,52,-0.0033,54,0.08993
ENSG00000054523,KIF1B,629,0.43164,447,-0.2103,390,-0.4217,601,0.29322,423,-0.4077
ENSG00000142657,PGD,51,-0.5208,38,-0.8715,160,1.45908,36,-1.0478,79,0.39055
ENSG00000241563,CORT,73,1.17170,17,-1.4375,0,-7.1615,19,-1.2986,50,0.35891
ENSG00000160049,DFFA,102,1.03927,68,0.10902,78,0.33565,43,-0.6475,40,-0.9268
ENSG00000142655,PEX14,9,-0.9996,7,-1.3212,4,-2.1332,19,0.26169,26,1.21948
ENSG00000120948,TARDBP,104,0.40110,65,-0.4279,65,-0.4324,90,0.09379,80,-0.1563
ENSG00000116649,SRM,34,-0.2548,47,0.28725,57,0.58767,28,-0.5804,42,0.17463
ENSG00000171824,EXOSC10,52,0.68297,11,-1.7848,36,-0.0511,41,0.18461,31,-0.3716
ENSG00000198793,MTOR,25,-0.8203,29,-0.5169,71,0.94635,36,-0.1704,48,0.41867
ENSG00000120942,UBIAD1,36,1.95972,8,-1.0674,0,-5.7006,17,0.06974,7,-1.4788
ENSG00000116661,FBXO2,90,-0.4814,211,0.99365,8,-3.8290,73,-0.7688,159,0.80654
ENSG00000132879,FBXO44,34,-1.6489,53,-0.7754,177,1.17587,82,-0.0947,115,0.70030
ENSG00000177000,MTHFR,29,0.13891,9,-1.6753,3,-2.8832,43,0.89998,27,0.04512
ENSG00000011021,CLCN6,59,-0.4428,58,-0.3770,60,-0.3274,66,-0.2032,97,0.67269
ENSG00000116685,KIAA2013,56,0.22791,20,-1.3561,136,1.69856,31,-0.7842,41,-0.4293
ENSG00000083444,PLOD1,31,1.04657,13,-0.6311,8,-1.3148,16,-0.3700,17,-0.2967
ENSG00000116688,MFN2,82,-0.5735,73,-0.6487,112,0.01772,93,-0.3028,151,0.77384
ENSG00000116691,MIIP,17,-0.1401,20,0.17100,28,0.70820,22,0.33339,14,-0.5143
ENSG00000048707,VPS13D,55,-0.8001,44,-1.0059,117,0.52213,112,0.51321,95,0.27633
ENSG00000162496,DHRS3,30,0.83048,31,0.69936,22,0.12621,9,-1.2885,15,-0.5663
ENSG00000116731,PRDM2,152,-0.8415,256,0.09784,284,0.26935,443,1.18085,190,-0.5005
ENSG00000189337,KAZN,114,0.52458,60,-0.6193,58,-0.6658,82,-0.1373,88,-0.0159
ENSG00000142634,EFHD2,21,-2.6812,80,-0.4534,362,2.15148,97,-0.1645,118,0.24416
ENSG00000116138,DNAJC16,31,-0.5483,20,-1.0842,39,-0.0955,39,-0.0923,56,0.76575
ENSG00000197312,DDI2,40,-0.1403,23,-0.9192,14,-1.6517,64,0.75284,46,0.17787
ENSG00000116786,PLEKHM2,70,-0.4949,204,1.34355,35,-1.4506,89,-0.0508,95,0.07344
ENSG00000065526,SPEN,306,0.73265,148,-0.5978,236,0.12970,315,0.68831,114,-1.2675
ENSG00000116809,ZBTB17,31,0.69097,22,0.01129,0,-6.1988,13,-0.8042,25,0.32443
ENSG00000037637,FBXO42,16,-0.4396,12,-0.8110,5,-2.0359,27,0.54795,25,0.57860
ENSG00000055070,SZRD1,54,1.21634,41,0.42406,34,0.10140,9,-1.9491,23,-0.6660
ENSG00000219481,NBPF1,59,1.80755,20,-0.5351,14,-1.0544,17,-0.8475,16,-1.0869
ENSG00000159363,ATP13A2,35,-1.4985,53,-0.6682,42,-1.0161,62,-0.4701,143,1.62659
ENSG00000117118,SDHB,41,-0.4015,48,-0.0658,49,-0.0270,28,-0.9658,69,0.80820
ENSG00000117115,PADI2,433,3.05973,84,-0.9430,168,0.11724,24,-2.9223,28,-3.0028
ENSG00000179051,RCC2,15,-0.7847,18,-0.4595,33,0.50885,25,0.12614,28,0.42244
ENSG00000117154,IGSF21,15,-2.1466,38,-0.5172,59,0.15409,66,0.38536,78,0.98950
ENSG00000159423,ALDH4A1,16,-0.1031,58,2.09627,4,-2.1539,12,-0.6034,14,-0.4696
ENSG00000127481,UBR4,50,0.16361,30,-0.6334,7,-2.7559,100,1.55829,29,-0.9075
ENSG00000127463,EMC1,31,-0.4723,13,-1.7012,92,1.40435,29,-0.5503,46,0.31998
ENSG00000053372,MRTO4,22,-1.1534,51,0.32463,41,-0.0270,47,0.22755,51,0.50970
ENSG00000053371,AKR7A2,40,1.03865,36,0.57834,0,-6.3560,16,-0.7363,21,-0.3065
ENSG00000077549,CAPZB,141,-0.2491,152,-0.0876,197,0.32636,161,-0.0039,169,0.10915
ENSG00000173436,MICOS10,153,-0.8941,547,1.32002,220,-0.1942,142,-0.9357,306,0.50533
ENSG00000158747,NBL1,40,-1.9863,131,0.03231,215,0.84003,127,-0.0184,173,0.74394
ENSG00000169914,OTUD3,8,-1.3253,8,-1.1589,3,-2.4404,28,0.97264,23,0.83744
ENSG00000162545,CAMK2N1,771,-0.7608,2873,1.53675,537,-1.1879,1330,0.24399,1097,-0.1270
ENSG00000090432,MUL1,28,0.24384,15,-0.7879,18,-0.4880,10,-1.5267,35,0.80498
ENSG00000183114,FAM43B,5,-2.4614,8,-1.6442,66,1.70380,19,-0.4368,35,0.91432
ENSG00000158828,PINK1,202,-1.1021,417,0.18378,254,-0.5919,284,-0.4598,560,1.08510
ENSG00000244038,DDOST,18,-0.9162,23,-0.4500,60,1.10971,23,-0.4805,38,0.52449
ENSG00000117245,KIF17,3,-3.3939,21,-0.3071,26,0.03151,29,0.27348,41,1.31049
ENSG00000189410,SH2D5,4,-3.3907,32,-0.0034,0,-6.7502,24,-0.5381,67,2.32477
ENSG00000127483,HP1BP3,404,0.44994,267,-0.3117,537,0.81920,410,0.41973,186,-1.1252
ENSG00000075151,EIF4G3,217,-0.3606,148,-0.8824,278,0.09360,431,0.94102,235,-0.2336
ENSG00000117298,ECE1,38,1.37384,26,0.38699,0,-6.1123,15,-0.5146,14,-0.7360
ENSG00000076864,RAP1GAP,56,-1.4160,40,-1.7142,186,0.66365,131,0.10147,177,0.91100
ENSG00000090686,USP48,133,0.52432,48,-1.1797,180,0.90564,128,0.38235,64,-0.9771
ENSG00000070831,CDC42,214,0.22063,119,-0.7372,296,0.70112,117,-0.8319,205,0.15287
ENSG00000173372,C1QA,33,1.22699,44,1.38629,0,-5.7499,6,-1.8340,14,-0.6660
ENSG00000173369,C1QB,66,2.03811,53,0.94616,31,0.05820,7,-2.3030,7,-2.4489
ENSG00000133216,EPHB2,27,0.89771,1,-3.9728,0,-5.9052,20,0.24079,18,0.05638
ENSG00000004487,KDM1A,40,-1.0744,31,-1.2758,176,1.50514,85,0.30027,74,0.05956
ENSG00000169641,LUZP1,52,-2.0100,131,-0.3913,96,-0.8629,320,1.24744,207,0.49741
ENSG00000125944,HNRNPR,187,0.54931,106,-0.4690,230,0.76534,129,-0.1921,107,-0.6263
ENSG00000142676,RPL11,627,1.03352,600,0.68620,355,-0.1634,151,-1.5591,297,-0.5909
ENSG00000011007,ELOA,32,-0.2763,35,-0.0918,105,1.76610,44,0.29324,21,-1.1044
ENSG00000057757,PITHD1,115,-0.2343,107,-0.3121,70,-0.9481,94,-0.5543,180,0.82485
ENSG00000011009,LYPLA2,7,-1.8167,32,0.68801,0,-6.1199,24,0.26826,32,1.11130
ENSG00000117305,HMGCL,23,0.72487,22,0.48603,0,-5.7677,12,-0.5163,16,-0.0339
ENSG00000189266,PNRC2,67,0.56748,38,-0.4619,48,-0.0914,52,0.04231,43,-0.3939
ENSG00000188529,SRSF10,97,0.50649,86,0.17897,42,-0.9309,90,0.28398,60,-0.4987
ENSG00000001461,NIPAL3,374,1.41779,103,-1.0560,153,-0.4490,132,-0.7336,150,-0.6459
ENSG00000133226,SRRM1,383,0.89567,139,-0.9264,173,-0.5962,401,0.85595,133,-1.2829
ENSG00000169504,CLIC4,226,3.85310,31,-1.2742,22,-1.7751,7,-3.4810,13,-2.9652
ENSG00000117614,SYF2,154,0.29354,139,0.07391,191,0.58736,138,0.06767,99,-0.6250
ENSG00000117616,RSRP1,130,0.69388,25,-1.9934,118,0.36297,139,0.72924,55,-1.0630
ENSG00000183726,TMEM50A,101,0.93702,49,-0.4401,38,-0.8449,41,-0.7649,62,-0.1172
ENSG00000204178,MACO1,74,0.04989,33,-1.1820,110,0.66972,131,1.12854,42,-1.0703
ENSG00000157978,LDLRAP1,78,3.82978,5,-2.3220,0,-6.3809,7,-2.0781,6,-2.5819
ENSG00000117643,MAN1C1,18,-1.1192,17,-1.0557,29,-0.2410,28,-0.3371,55,1.26878
ENSG00000162430,SELENON,40,0.41160,36,0.13141,76,1.39354,15,-1.2744,25,-0.5819
ENSG00000117640,MTFR1L,48,-0.3382,55,-0.0603,42,-0.4960,53,-0.1411,71,0.51664
ENSG00000117632,STMN1,1038,-0.2516,734,-0.7410,1372,0.23791,831,-0.6010,1531,0.63833
ENSG00000158008,EXTL1,7,-2.5459,37,0.07928,32,-0.1436,33,-0.0795,57,1.31661
ENSG00000142684,ZNF593,17,-0.9822,19,-0.6441,26,-0.2101,27,-0.1381,43,0.99660
ENSG00000142669,SH3BGRL3,132,0.06603,135,0.08626,146,0.21651,66,-1.0954,149,0.36434
ENSG00000198830,HMGN2,316,1.35982,152,-0.2297,155,-0.1993,112,-0.7549,113,-0.8993
ENSG00000117713,ARID1A,127,0.35552,81,-0.4241,138,0.42181,124,0.27154,81,-0.5784
ENSG00000204160,ZDHHC18,16,-0.3475,11,-0.9191,3,-2.6225,19,-0.0555,29,0.98067
ENSG00000142751,GPN2,28,0.64218,15,-0.4767,0,-6.1200,22,0.08069,21,0.05218
ENSG00000090273,NUDC,152,-0.6277,267,0.36216,224,0.08085,202,-0.0932,248,0.35804
ENSG00000253368,TRNP1,6,-2.7112,40,0.30734,2,-4.1938,23,-0.6411,65,2.06819
ENSG00000090020,SLC9A1,4,-2.4210,4,-2.1363,0,-5.7944,22,0.47440,31,1.85927
ENSG00000142784,WDTC1,30,0.15026,29,0.07757,11,-1.3617,21,-0.4271,33,0.40893
ENSG00000186501,TMEM222,52,0.19981,32,-0.5785,57,0.29247,24,-1.0838,56,0.41364
ENSG00000158195,WASF2,239,2.60824,64,-0.5781,102,0.14650,41,-1.3519,15,-3.1182
ENSG00000126705,AHDC1,25,-1.5912,42,-0.6447,163,1.60322,94,0.72324,57,-0.2288
ENSG00000126709,IFI6,78,-0.2334,40,-1.2021,58,-0.6423,70,-0.4029,125,0.87901
ENSG00000009780,FAM76A,43,0.93000,14,-1.0007,15,-0.9041,30,0.14870,22,-0.5034
ENSG00000117758,STX12,121,0.22949,71,-0.6527,126,0.23640,91,-0.3085,112,0.08439
ENSG00000117751,PPP1R8,45,0.67290,18,-0.8830,55,0.81831,21,-0.7768,28,-0.3490
ENSG00000117748,RPA2,44,-0.4252,48,-0.2083,105,1.06168,30,-1.0302,65,0.40791
ENSG00000126698,DNAJC8,253,0.27674,235,0.09896,140,-0.7057,297,0.54484,175,-0.4964
ENSG00000130770,ATP5IF1,168,-1.2470,493,0.62133,166,-1.0820,240,-0.5722,513,1.12666
ENSG00000204138,PHACTR4,109,2.11144,35,-0.4875,20,-1.3277,46,-0.0567,13,-2.3516
ENSG00000180098,TRNAU1AP,29,0.43450,10,-1.1881,32,0.52085,18,-0.4116,23,-0.0667
ENSG00000198492,YTHDF2,73,-0.7065,50,-1.1392,189,0.94588,110,0.06018,123,0.34219
ENSG00000159023,EPB41,5,-1.9098,19,0.20983,0,-5.7763,34,1.41819,19,0.40761
ENSG00000116350,SRSF4,97,0.40947,74,-0.1233,70,-0.2153,86,0.12758,68,-0.3551
ENSG00000116353,MECR,21,-0.2438,16,-0.6116,15,-0.7312,20,-0.3471,33,0.76418
ENSG00000162511,LAPTM5,92,1.53496,87,0.96813,57,0.26722,10,-2.4171,22,-1.4982
ENSG00000162512,SDC3,132,0.20500,110,-0.1221,124,0.06826,116,-0.0514,112,-0.1330
ENSG00000134644,PUM1,152,-0.2993,136,-0.4125,251,0.56121,225,0.43127,165,-0.1661
ENSG00000060688,SNRNP40,34,0.62940,13,-0.9825,24,-0.0657,16,-0.7299,26,0.09704
ENSG00000121766,ZCCHC17,133,-0.0954,124,-0.1971,188,0.47144,188,0.53816,113,-0.4548
ENSG00000121769,FABP3,41,-1.1224,56,-0.4965,50,-0.6658,69,-0.1883,119,1.18099
ENSG00000162517,PEF1,54,-0.0554,64,0.22219,9,-2.6919,38,-0.6444,76,0.75345
ENSG00000084636,COL16A1,80,1.05673,23,-1.1601,47,-0.0847,24,-1.1626,47,-0.1336
ENSG00000121753,ADGRB2,49,-2.1919,142,-0.3402,204,0.22285,213,0.33362,257,0.96715
ENSG00000184007,PTP4A2,941,2.12524,235,-0.8746,368,-0.1804,242,-0.8984,159,-1.8110
ENSG00000121774,KHDRBS1,162,0.30785,114,-0.3093,152,0.13793,151,0.14072,119,-0.3309
ENSG00000025800,KPNA6,108,0.00746,50,-1.1874,118,0.14303,154,0.66357,96,-0.2511
ENSG00000084652,TXLNA,52,0.72728,30,-0.3297,52,0.54090,27,-0.5552,29,-0.5203
ENSG00000084623,EIF3I,89,-0.1537,59,-0.7410,122,0.38174,77,-0.3793,113,0.40221
ENSG00000175130,MARCKSL1,1153,2.76795,239,-0.9353,430,-0.0277,80,-2.6924,131,-2.2224
ENSG00000160058,BSDC1,65,0.00492,28,-1.2685,99,0.68046,62,-0.0833,67,0.07179
ENSG00000160062,ZBTB8A,22,0.29582,15,-0.3460,15,-0.3757,31,0.88540,13,-0.7834
ENSG00000176261,ZBTB8OS,23,-0.6638,44,0.49393,30,-0.1035,16,-1.1314,46,0.85307
ENSG00000162521,RBBP4,143,0.10459,90,-0.6391,186,0.50518,164,0.33373,116,-0.3520
ENSG00000134684,YARS,43,-1.3400,54,-0.7891,54,-0.7884,80,-0.2161,150,1.39814
ENSG00000116497,S100PBP,26,1.24617,11,-0.4923,0,-5.6321,9,-0.8714,14,-0.0696
ENSG00000160097,FNDC5,7,-2.2298,16,-0.6905,2,-3.5214,22,-0.2694,50,2.05269
ENSG00000121905,HPCA,21,-2.7315,102,-0.1006,100,-0.1428,101,-0.1316,183,1.45004
ENSG00000121900,TMEM54,22,-0.4267,66,1.46251,6,-2.2333,11,-1.4047,35,0.61998
ENSG00000116514,RNF19B,11,-0.8025,26,0.59986,35,1.11201,8,-1.2021,21,0.37493
ENSG00000004455,AK2,79,1.28549,26,-0.8322,71,0.75291,24,-1.0446,28,-0.9539
ENSG00000142920,AZIN2,33,1.17621,2,-2.9112,0,-6.0157,16,-0.3237,20,0.07562
ENSG00000160094,ZNF362,27,0.70077,20,0.00641,0,-6.0416,23,0.23966,17,-0.2757
ENSG00000134686,PHC2,95,1.07617,48,-0.3174,23,-1.3931,36,-0.8232,54,-0.1759
ENSG00000163866,SMIM12,26,-1.0121,28,-0.7590,45,-0.0303,33,-0.5621,71,1.19884
ENSG00000116544,DLGAP3,6,-2.5827,63,1.16590,7,-2.2689,31,0.00836,48,1.12502
ENSG00000163867,ZMYM6,22,-0.3284,15,-0.7817,35,0.46673,37,0.66588,24,-0.1949
ENSG00000116560,SFPQ,383,0.45829,216,-0.5522,345,0.18355,421,0.57675,207,-0.8147
ENSG00000146463,ZMYM4,53,-0.1854,66,0.19560,39,-0.6169,74,0.41734,58,-0.0278
ENSG00000142687,KIAA0319L,51,-0.4067,62,-0.0356,17,-1.9448,77,0.35303,77,0.48409
ENSG00000020129,NCDN,90,-2.2978,198,-0.8656,517,0.65042,341,-0.0282,536,1.17010
ENSG00000126067,PSMB2,77,-0.2473,32,-1.5248,103,0.25104,60,-0.6373,120,0.77839
ENSG00000142686,C1orf216,24,-2.2160,43,-1.0776,239,1.71344,73,-0.3105,116,0.69861
ENSG00000134698,AGO4,23,0.55322,12,-0.5910,0,-5.8723,22,0.37287,17,-0.0375
ENSG00000092847,AGO1,62,0.12514,45,-0.3962,119,1.17901,74,0.43430,36,-0.9888
ENSG00000126070,AGO3,134,1.28355,30,-1.4234,42,-0.9243,94,0.37948,44,-1.0822
ENSG00000116863,ADPRHL2,27,0.75072,12,-0.6906,17,-0.1771,8,-1.3161,20,0.17164
ENSG00000054116,TRAPPC3,21,-1.0229,22,-0.7635,46,0.34412,47,0.44499,45,0.48100
ENSG00000116871,MAP7D1,325,0.87234,178,-0.3105,122,-0.8871,164,-0.4866,197,-0.2133
ENSG00000054118,THRAP3,225,0.16890,153,-0.4640,312,0.67217,284,0.58586,141,-0.7908
ENSG00000196182,STK40,10,-1.0543,19,0.01697,13,-0.5972,15,-0.3440,29,1.06288
ENSG00000181817,LSM10,16,-1.1126,28,-0.1030,0,-6.6510,30,-0.0091,49,1.30368
ENSG00000116898,MRPS15,30,-0.4253,49,0.39656,1,-4.6116,30,-0.3839,54,0.89853
ENSG00000163873,GRIK3,9,-2.3213,13,-1.5367,213,3.42418,30,-0.3385,23,-0.9382
ENSG00000163875,MEAF6,40,-1.5679,77,-0.3719,111,0.21190,127,0.48803,127,0.66051
ENSG00000163877,SNIP1,21,0.07221,9,-1.1445,20,0.03454,23,0.27012,20,0.03769
ENSG00000134697,GNL2,31,0.01904,24,-0.3851,45,0.63926,41,0.53523,23,-0.5899
ENSG00000197982,C1orf122,296,0.93188,248,0.39750,264,0.49796,64,-1.7831,150,-0.5397
ENSG00000188786,MTF1,47,1.38000,18,-0.5000,27,0.05541,27,0.09401,11,-1.6483
ENSG00000183431,SF3A3,46,-0.3050,42,-0.3876,69,0.37745,58,0.09763,58,0.15632
ENSG00000183520,UTP11,34,0.26893,24,-0.3201,16,-0.9677,33,0.16117,30,0.02061
ENSG00000116954,RRAGC,69,0.40665,32,-0.8537,48,-0.2654,62,0.16716,53,-0.1558
ENSG00000158315,RHBDL2,45,2.92100,6,-1.3619,25,0.64949,3,-2.5995,2,-3.3810
ENSG00000174574,AKIRIN1,170,0.95939,76,-0.5814,102,-0.1238,91,-0.3243,85,-0.5489
ENSG00000168653,NDUFS5,321,-0.7558,694,0.58895,385,-0.3550,290,-0.8572,672,0.84053
ENSG00000127603,MACF1,551,0.73335,327,-0.2824,345,-0.1969,651,0.96615,169,-1.6169
ENSG00000090621,PABPC4,112,0.71803,82,0.03597,117,0.62259,70,-0.2325,51,-0.9114
ENSG00000116983,HPCAL4,83,-1.8979,286,0.22795,611,1.52933,333,0.53867,229,-0.1772
ENSG00000084072,PPIE,31,-0.0528,26,-0.3456,24,-0.4334,32,-0.0103,37,0.29318
ENSG00000131236,CAP1,239,0.73380,126,-0.4644,218,0.40780,138,-0.3588,132,-0.5302
ENSG00000131238,PPT1,95,-0.4251,82,-0.5798,133,0.17443,98,-0.3322,153,0.61974
ENSG00000117000,RLF,30,0.03761,18,-0.7389,16,-0.9136,62,1.46747,19,-0.8994
ENSG00000084073,ZMPSTE24,38,0.32874,40,0.37758,12,-1.4236,26,-0.3619,33,0.11018
ENSG00000049089,COL9A2,109,2.21699,27,-0.8136,77,0.81569,15,-1.7794,12,-2.3593
ENSG00000084070,SMAP2,69,-1.3094,137,-0.0780,96,-0.6211,238,0.95143,166,0.34422
ENSG00000117016,RIMS3,18,-3.3353,205,0.66124,21,-2.7966,120,-0.2291,246,1.72627
ENSG00000066136,NFYC,24,-0.8732,20,-0.9958,108,1.78227,37,-0.0426,37,-0.0925
ENSG00000127124,HIVEP3,26,-0.4359,27,-0.3270,68,1.15732,33,-0.0130,32,-0.1093
ENSG00000198815,FOXJ3,34,-0.7408,34,-0.6147,41,-0.3272,63,0.41922,63,0.53255
ENSG00000177181,RIMKLA,5,-3.4128,58,0.43098,0,-7.1746,43,-0.0468,82,1.82549
ENSG00000127125,PPCS,54,0.01168,51,-0.0940,59,0.15561,42,-0.4018,59,0.19702
ENSG00000186409,CCDC30,31,-0.3852,67,0.92296,11,-1.8176,72,1.24001,25,-0.8105
ENSG00000065978,YBX1,214,1.74516,153,0.61744,46,-1.2503,46,-1.3422,54,-1.2929
ENSG00000164008,C1orf50,20,0.29468,27,0.70508,12,-0.5272,10,-0.9535,18,0.08238
ENSG00000177868,SVBP,52,0.41904,54,0.36487,7,-2.6933,42,-0.0268,42,-0.0373
ENSG00000117394,SLC2A1,39,0.97986,47,1.04139,0,-6.3699,23,-0.1235,16,-0.9073
ENSG00000117395,EBNA1BP2,53,-0.5739,64,-0.2013,80,0.15436,75,0.05539,86,0.40670
ENSG00000179178,TMEM125,176,3.06070,12,-2.4190,104,0.81207,1,-5.8919,12,-2.9077
ENSG00000066322,ELOVL1,277,3.39863,23,-2.1079,111,0.25391,7,-3.9948,15,-3.1915
ENSG00000159479,MED8,20,0.11932,10,-1.0131,0,-5.9774,14,-0.5095,27,0.96186
ENSG00000198198,SZT2,25,0.61334,8,-1.3164,39,1.16749,21,0.15677,11,-1.0619
ENSG00000142949,PTPRF,123,0.60844,78,-0.2531,19,-2.3264,105,0.23341,84,-0.2003
