Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000160075,SSU72,147,0.04109,220,0.77140,44,-1.7686,117,-0.3133,87,-0.7636,201,0.60359,95,-0.6190,138,-0.0499,134,-0.0959,126,-0.2091
ENSG00000228594,FNDC10,21,-0.1016,48,1.38480,1,-4.3113,7,-1.6296,41,0.95803,21,-0.0818,15,-0.6503,12,-0.9837,15,-0.6238,22,-0.0715
ENSG00000197530,MIB2,33,0.00722,59,1.03048,17,-1.0337,31,-0.0977,38,0.19440,50,0.71052,17,-1.0167,46,0.51010,6,-2.4996,14,-1.4104
ENSG00000248333,CDK11B,45,0.38855,39,0.15411,73,1.15252,21,-0.7806,67,1.01531,31,-0.2237,20,-0.8927,33,-0.0914,38,0.12441,12,-1.6956
ENSG00000008128,CDK11A,33,0.62723,21,-0.0867,46,1.15725,35,0.72132,69,1.87522,11,-1.0905,5,-2.2036,23,0.02675,5,-2.2030,5,-2.2978
ENSG00000215790,SLC35E2A,35,0.23353,47,0.78450,2,-3.5887,40,0.44765,25,-0.2487,35,0.26249,27,-0.1767,42,0.54073,21,-0.5642,17,-0.9028
ENSG00000008130,NADK,19,-0.6085,34,0.30149,11,-1.3762,62,1.26565,21,-0.4487,38,0.50570,19,-0.6169,42,0.63808,28,-0.0259,11,-1.4503
ENSG00000078369,GNB1,599,0.11433,820,0.68514,319,-0.8530,362,-0.6641,573,0.04453,604,0.13928,475,-0.2485,424,-0.4230,768,0.50771,438,-0.4013
ENSG00000187730,GABRD,42,-1.8105,88,-0.7726,5,-4.6870,65,-1.1559,85,-0.7638,263,1.15385,117,-0.2841,306,1.27040,146,0.06046,178,0.41516
ENSG00000067606,PRKCZ,105,-0.6809,267,0.88365,68,-1.3279,104,-0.6987,209,0.38607,185,0.21130,133,-0.3199,257,0.71948,167,0.02804,90,-0.9729
ENSG00000162585,FAAP20,84,1.15281,74,1.07571,48,0.23615,55,0.46526,30,-0.4959,49,0.32474,13,-1.7231,10,-2.0262,13,-1.7454,17,-1.4140
ENSG00000157933,SKI,52,0.43152,77,1.25436,21,-0.9026,97,1.47963,35,-0.1485,17,-1.3583,22,-0.8644,39,-0.0059,42,0.09390,6,-2.7132
ENSG00000157916,RER1,83,0.47195,36,-0.8752,28,-1.1730,117,1.02985,43,-0.5394,80,0.45792,35,-0.8490,55,-0.1855,34,-0.9147,87,0.60199
ENSG00000157911,PEX10,35,0.61102,25,0.09588,20,-0.2444,39,0.79959,33,0.53683,6,-2.0643,26,0.14921,26,0.17552,35,0.61411,15,-0.7308
ENSG00000149527,PLCH2,11,-1.1249,57,1.65207,0,-8.1805,23,-0.0607,41,0.87957,26,0.18037,5,-2.1394,34,0.55179,13,-0.8641,7,-1.7789
ENSG00000157870,PRXL2B,27,-0.5658,57,0.68866,10,-2.0119,28,-0.4943,5,-2.8910,71,1.08617,33,-0.2340,88,1.32954,14,-1.4693,21,-0.9539
ENSG00000177133,PRDM16-DT,135,2.93837,36,0.52272,3,-2.8758,46,0.89872,9,-1.5131,23,-0.2529,8,-1.7817,5,-2.3782,0,-5.2791,9,-1.6414
ENSG00000158109,TPRG1L,82,-1.0586,200,0.32884,39,-2.1727,101,-0.7525,120,-0.4929,159,-0.0616,174,0.07749,203,0.31949,247,0.63945,232,0.60094
ENSG00000130764,LRRC47,47,-0.6047,47,-0.6261,24,-1.5817,69,-0.0004,63,-0.1454,118,0.95566,20,-1.8455,79,0.21093,151,1.26597,59,-0.2788
ENSG00000116198,CEP104,33,-0.1690,29,-0.3612,55,0.64800,53,0.58919,87,1.42115,17,-1.1761,54,0.61914,23,-0.7032,33,-0.1574,21,-0.8523
ENSG00000196581,AJAP1,14,-1.7951,71,0.70949,29,-0.7512,11,-2.2105,61,0.37416,56,0.28246,67,0.52799,87,0.96634,33,-0.5509,32,-0.6656
ENSG00000069424,KCNAB2,113,-0.4511,273,1.07988,46,-1.7846,84,-0.8974,69,-1.1935,178,0.27663,163,0.11532,206,0.49113,153,0.02133,115,-0.4536
ENSG00000116254,CHD5,189,-0.6365,313,0.15466,331,0.22895,278,-0.0450,1204,2.52032,100,-1.6650,212,-0.4604,215,-0.4404,234,-0.3132,114,-1.4698
ENSG00000116251,RPL22,726,0.25492,856,0.57655,983,0.74328,765,0.33857,402,-0.6613,681,0.16942,685,0.16236,335,-0.9355,469,-0.4251,294,-1.2031
ENSG00000116237,ICMT,35,-0.4830,30,-0.7336,11,-2.1703,84,0.91777,36,-0.4051,54,0.20926,59,0.33693,79,0.80932,61,0.38297,42,-0.1908
ENSG00000097021,ACOT7,49,-2.0723,107,-0.9924,37,-2.5097,48,-2.1272,105,-0.9554,314,0.83688,143,-0.4933,281,0.56541,201,0.02921,428,1.45923
ENSG00000215788,TNFRSF25,8,-1.5756,31,0.50325,0,-7.9921,41,0.91070,71,1.87416,9,-1.4139,16,-0.5260,69,1.82889,6,-2.0435,4,-2.4922
ENSG00000171680,PLEKHG5,8,-1.5758,26,0.12974,4,-2.7412,29,0.27155,29,0.27384,47,1.18473,6,-1.9479,58,1.40548,10,-1.3358,13,-0.9638
ENSG00000162408,NOL9,27,-0.0640,31,0.14647,38,0.46376,31,0.16064,36,0.38109,15,-0.9760,20,-0.5439,31,0.13200,33,0.23121,30,0.07769
ENSG00000162413,KLHL21,34,0.51449,14,-0.8432,30,0.30660,55,1.29410,20,-0.3308,29,0.26038,3,-3.1203,37,0.66915,6,-2.1030,24,-0.0206
ENSG00000007923,DNAJC11,21,-0.6988,33,-0.0217,22,-0.6512,39,0.26609,43,0.38585,51,0.76047,28,-0.2374,33,-0.0261,28,-0.2836,25,-0.4371
ENSG00000171735,CAMTA1,305,-0.3846,355,-0.1613,250,-0.6871,323,-0.2929,670,0.86587,320,-0.3343,429,0.14492,359,-0.1324,566,0.58990,414,0.09811
ENSG00000049245,VAMP3,46,0.20300,42,0.05772,115,1.74599,96,1.42686,22,-0.9088,49,0.32667,3,-3.5808,12,-1.8070,28,-0.5362,10,-2.1578
ENSG00000049246,PER3,53,0.36751,61,0.65786,64,0.66008,52,0.31619,60,0.56474,28,-0.6623,24,-0.8369,42,-0.0003,10,-2.0945,32,-0.4669
ENSG00000116288,PARK7,377,0.11826,346,-0.0181,291,-0.2834,310,-0.1877,169,-1.1025,612,1.01922,245,-0.5466,214,-0.7507,240,-0.5770,390,0.19089
ENSG00000116285,ERRFI1,24,-0.4241,20,-0.7277,23,-0.4630,36,0.24547,42,0.45809,19,-0.8238,58,0.98740,41,0.43144,19,-0.7088,42,0.53471
ENSG00000162426,SLC45A1,19,-0.3908,10,-1.4092,4,-2.4231,4,-2.5592,25,0.05613,32,0.48914,36,0.63125,44,0.95524,30,0.35056,34,0.58605
ENSG00000142599,RERE,100,-0.2969,82,-0.6418,160,0.44773,143,0.26630,246,1.15567,134,0.17746,158,0.42061,114,-0.0887,95,-0.3684,61,-1.1004
ENSG00000074800,ENO1,1393,1.62959,352,-0.6530,294,-0.8797,657,0.36065,168,-1.7103,745,0.62890,283,-0.9378,396,-0.4280,328,-0.7164,539,0.05427
ENSG00000171612,SLC25A33,180,2.43831,55,0.38809,21,-1.0835,40,-0.1426,16,-1.4772,41,-0.1203,11,-2.0532,13,-1.8238,32,-0.4962,34,-0.4451
ENSG00000171603,CLSTN1,312,-1.0287,359,-0.8714,148,-2.1302,303,-1.0692,504,-0.2996,740,0.33014,699,0.21065,1242,1.15032,922,0.65297,812,0.49634
ENSG00000178585,CTNNBIP1,71,1.14931,58,0.90859,39,0.18896,59,0.83221,47,0.45650,17,-1.1216,16,-1.1857,14,-1.3552,12,-1.5222,22,-0.7303
ENSG00000162441,LZIC,80,0.54427,57,0.01623,118,1.19564,70,0.34192,54,-0.0643,47,-0.3028,65,0.20780,33,-0.8228,39,-0.5618,34,-0.8431
ENSG00000130939,UBE4B,35,-0.1811,37,-0.1029,38,-0.0513,20,-1.0310,44,0.16429,48,0.32277,27,-0.5931,37,-0.1169,48,0.31222,48,0.31989
ENSG00000054523,KIF1B,387,0.01216,373,-0.0470,468,0.31138,285,-0.4603,545,0.55644,224,-0.8788,515,0.46449,321,-0.2753,547,0.56175,364,-0.0914
ENSG00000142657,PGD,49,-0.0251,39,-0.4114,24,-1.1264,87,0.88702,31,-0.7428,51,0.02470,6,-2.9887,33,-0.6233,63,0.36935,89,1.03417
ENSG00000241563,CORT,27,-1.7237,44,-1.0641,11,-2.9399,21,-2.1020,135,0.74112,299,2.69414,56,-0.6251,9,-3.2570,15,-2.5139,71,-0.3025
ENSG00000160049,DFFA,70,0.25676,63,0.09880,70,0.25657,76,0.39526,124,1.19241,42,-0.5807,38,-0.6768,38,-0.6809,34,-0.8526,56,-0.0919
ENSG00000142655,PEX14,7,-1.7023,12,-0.8801,14,-0.5998,21,-0.0397,21,-0.0159,48,1.49820,3,-2.8424,40,0.98071,19,-0.2151,17,-0.3763
ENSG00000120948,TARDBP,64,-0.5037,81,-0.1436,116,0.41835,101,0.20581,103,0.24161,75,-0.2768,95,0.11622,125,0.53924,81,-0.1333,77,-0.2374
ENSG00000116649,SRM,55,-0.4440,101,0.53766,43,-0.8152,78,0.07971,21,-1.8904,148,1.28455,38,-1.0098,60,-0.3116,47,-0.6814,61,-0.3306
ENSG00000171824,EXOSC10,48,0.61701,14,-1.2920,25,-0.4123,81,1.49638,47,0.56840,31,-0.0565,36,0.16669,29,-0.1923,31,-0.0829,17,-1.0057
ENSG00000198793,MTOR,66,0.59805,21,-1.2184,17,-1.4497,42,-0.1073,53,0.25406,55,0.34689,47,0.04594,68,0.63539,34,-0.4475,54,0.31527
ENSG00000116661,FBXO2,351,0.97401,255,0.50211,45,-2.1664,101,-0.9752,77,-1.3735,288,0.71989,146,-0.4168,182,-0.0847,151,-0.3669,177,-0.1385
ENSG00000132879,FBXO44,70,-0.1760,66,-0.2883,15,-2.4094,42,-0.9483,71,-0.1627,127,0.86540,52,-0.6260,168,1.23629,89,0.19987,63,-0.3601
ENSG00000011021,CLCN6,53,-0.1213,47,-0.3306,32,-0.9012,49,-0.2400,94,0.78072,72,0.38932,37,-0.6837,56,-0.0456,78,0.48066,55,-0.0642
ENSG00000116685,KIAA2013,24,-0.3267,22,-0.5038,28,-0.0988,55,0.98458,32,0.14114,35,0.27315,10,-1.6453,55,0.99224,13,-1.1927,27,-0.1277
ENSG00000116688,MFN2,113,-0.0237,90,-0.4034,94,-0.2998,101,-0.1967,75,-0.6489,117,0.03722,137,0.28412,138,0.28812,133,0.23265,142,0.37536
ENSG00000048707,VPS13D,77,0.19344,49,-0.5324,33,-1.0796,87,0.38662,104,0.67949,52,-0.4501,91,0.46828,65,-0.0532,64,-0.0883,79,0.26749
ENSG00000116731,PRDM2,129,-0.6423,192,-0.0350,228,0.23535,112,-0.8642,388,1.10234,95,-1.1717,337,0.86611,260,0.44290,227,0.22453,149,-0.4606
ENSG00000189337,KAZN,57,-0.3902,75,0.02172,80,0.12376,25,-1.6369,54,-0.4721,76,0.05222,71,-0.0535,39,-0.9692,150,1.15070,90,0.35327
ENSG00000142634,EFHD2,37,-0.8761,44,-0.6682,131,1.10932,30,-1.1745,125,1.02389,20,-1.8436,13,-2.3817,24,-1.5057,192,1.78555,88,0.50742
ENSG00000116138,DNAJC16,15,-1.4592,22,-1.0321,11,-1.9511,66,0.74573,30,-0.4773,36,-0.2204,26,-0.6860,81,1.07971,100,1.45913,45,0.15502
ENSG00000197312,DDI2,13,-1.5194,22,-0.8064,52,0.55166,43,0.25539,62,0.84179,23,-0.7623,41,0.19632,41,0.20019,69,1.03033,31,-0.2638
ENSG00000116786,PLEKHM2,130,0.21588,258,1.55673,69,-0.7551,122,0.11848,135,0.27461,77,-0.6483,81,-0.5217,73,-0.6813,86,-0.4331,55,-1.1578
ENSG00000065526,SPEN,132,0.11558,53,-1.3539,229,1.00405,149,0.30629,307,1.50763,33,-2.0690,215,0.89900,97,-0.3692,98,-0.3514,100,-0.3524
ENSG00000055070,SZRD1,46,0.87499,30,0.21855,22,-0.3047,82,1.89707,11,-1.2693,31,0.27545,9,-1.6127,13,-1.0585,12,-1.1203,13,-1.1230
ENSG00000159363,ATP13A2,66,-0.5595,100,0.08091,21,-2.2749,52,-0.9167,102,0.10847,96,0.02016,49,-1.0225,107,0.18043,149,0.71175,150,0.81302
ENSG00000117118,SDHB,99,0.07755,93,-0.0054,35,-1.4884,52,-0.9036,20,-2.2651,157,0.92909,90,-0.0687,72,-0.4024,80,-0.2452,135,0.64615
ENSG00000117115,PADI2,139,1.69988,57,0.23483,144,1.76368,99,1.11585,40,-0.3193,22,-1.3179,26,-0.9935,11,-2.1553,7,-2.7819,11,-2.2799
ENSG00000179051,RCC2,30,0.11530,12,-1.3121,12,-1.2573,55,1.10115,22,-0.3343,29,0.07704,24,-0.1913,57,1.17045,22,-0.3341,27,-0.0122
ENSG00000117154,IGSF21,44,-0.5972,62,-0.0765,31,-1.1372,43,-0.6179,27,-1.3003,90,0.57491,36,-0.9057,106,0.77583,96,0.60524,79,0.33842
ENSG00000159423,ALDH4A1,113,2.23064,54,1.02838,4,-2.9326,12,-1.3558,19,-0.6929,34,0.17663,23,-0.4297,3,-3.0744,32,0.05509,7,-2.1729
ENSG00000127481,UBR4,26,-0.5912,43,0.22417,27,-0.5230,47,0.32590,116,1.86071,15,-1.4345,36,-0.1012,41,0.12754,29,-0.4031,28,-0.5154
ENSG00000127463,EMC1,24,-0.5903,34,-0.0833,21,-0.7817,75,1.21021,38,0.11695,33,-0.1247,14,-1.3651,47,0.43605,19,-0.9010,44,0.38638
ENSG00000053372,MRTO4,55,0.32073,47,0.09418,27,-0.7876,33,-0.4771,29,-0.6479,60,0.50653,35,-0.3784,64,0.57952,62,0.50627,31,-0.5855
ENSG00000053371,AKR7A2,61,0.70881,39,0.01597,30,-0.4167,123,1.92042,20,-0.9749,38,-0.0433,19,-1.1089,17,-1.2314,13,-1.6391,35,-0.1824
ENSG00000077549,CAPZB,140,-0.6376,161,-0.4557,154,-0.4912,305,0.58124,187,-0.1892,305,0.64455,127,-0.7846,262,0.33757,176,-0.2845,234,0.17601
ENSG00000173436,MICOS10,388,0.09784,538,0.68890,295,-0.3311,279,-0.4144,297,-0.3158,414,0.21911,250,-0.5823,238,-0.6563,520,0.56246,286,-0.4076
ENSG00000158747,NBL1,139,-0.0021,169,0.33461,60,-1.2674,183,0.43239,141,0.01965,167,0.31367,89,-0.6808,175,0.36310,135,-0.0428,107,-0.4309
ENSG00000169914,OTUD3,12,-0.9625,12,-0.9834,14,-0.7805,15,-0.6120,60,1.58774,11,-1.1072,37,0.75358,38,0.80804,23,0.03858,25,0.16479
ENSG00000162545,CAMK2N1,2601,0.16579,5224,1.52441,1438,-0.7481,1439,-0.7466,1324,-0.8727,2499,0.11274,3051,0.41974,2825,0.29643,877,-1.4893,710,-1.8911
ENSG00000158828,PINK1,342,-0.3603,515,0.30763,233,-0.9401,352,-0.3130,221,-1.0223,455,0.09183,266,-0.7391,367,-0.2520,670,0.70154,608,0.60671
ENSG00000244038,DDOST,24,-0.3902,6,-2.3887,31,-0.0010,63,1.15839,6,-2.3670,42,0.56397,37,0.29230,44,0.57183,34,0.18043,31,0.02499
ENSG00000189410,SH2D5,17,-1.1122,53,0.70997,1,-4.3025,19,-0.9168,6,-2.5085,64,1.06617,32,-0.1301,59,0.79963,44,0.32992,24,-0.6358
ENSG00000127483,HP1BP3,258,0.02945,172,-0.6428,434,0.86331,277,0.13911,319,0.36168,123,-1.1700,453,0.93478,213,-0.2668,245,-0.0538,253,-0.0023
ENSG00000075151,EIF4G3,120,-1.2454,151,-0.9614,205,-0.4330,127,-1.1577,305,0.18427,190,-0.5947,543,1.12170,306,0.18780,291,0.10782,477,1.02417
ENSG00000076864,RAP1GAP,34,-1.7225,91,-0.2602,35,-1.6712,68,-0.6796,136,0.38380,138,0.44856,58,-0.9163,232,1.26706,117,0.14359,124,0.25334
ENSG00000090686,USP48,64,-0.2841,46,-0.8448,67,-0.2351,91,0.24652,106,0.48675,47,-0.8174,140,0.95207,69,-0.1834,98,0.36171,94,0.32902
ENSG00000070831,CDC42,144,-0.5894,118,-0.9510,167,-0.3697,269,0.37916,236,0.17135,251,0.29581,109,-1.0090,222,0.07393,248,0.25051,309,0.66963
ENSG00000173372,C1QA,32,-0.4591,19,-1.2910,27,-0.7153,369,4.53963,10,-2.0674,27,-0.7168,18,-1.2602,5,-3.1835,1,-5.2445,0,-6.7126
ENSG00000173369,C1QB,36,-0.1878,32,-0.3921,63,0.71069,251,3.43784,15,-1.4484,30,-0.4643,5,-2.9419,18,-1.1643,0,-8.0572,5,-2.9720
ENSG00000004487,KDM1A,29,-0.8583,23,-1.2593,35,-0.5766,44,-0.2280,55,0.12726,73,0.62031,80,0.70957,53,0.04551,45,-0.1941,66,0.43439
ENSG00000169641,LUZP1,76,-1.0738,99,-0.7088,90,-0.8150,132,-0.2327,266,0.88503,68,-1.3032,215,0.53690,128,-0.2803,192,0.35187,279,1.09813
ENSG00000125944,HNRNPR,126,-0.2658,83,-0.9591,195,0.41571,245,0.77954,120,-0.3465,155,0.05158,159,0.09055,158,0.07998,116,-0.4001,178,0.29664
ENSG00000117318,ID3,39,0.05971,5,-2.8992,47,0.34155,383,5.39194,0,-5.5993,5,-3.1302,0,-8.4328,0,-9.6416,0,-8.2507,0,-8.9228
ENSG00000142676,RPL11,822,0.42195,948,0.72854,929,0.61844,980,0.70588,344,-0.9242,769,0.34711,340,-0.9417,277,-1.2498,389,-0.7383,336,-1.0243
ENSG00000011007,ELOA,21,-0.6029,29,-0.1677,59,0.98403,50,0.70881,21,-0.6444,23,-0.5310,27,-0.2612,35,0.17177,37,0.24954,30,-0.1127
ENSG00000057757,PITHD1,81,-0.9023,147,0.01111,91,-0.7303,63,-1.2798,113,-0.4009,199,0.54573,53,-1.5191,195,0.45488,185,0.37262,213,0.66847
ENSG00000011009,LYPLA2,19,-0.2419,28,0.42511,9,-1.2650,20,-0.1425,23,0.08256,26,0.26576,21,-0.0494,28,0.39085,10,-1.2060,24,0.12937
ENSG00000189266,PNRC2,100,0.47786,48,-0.6978,118,0.75414,107,0.58680,48,-0.6614,71,-0.0566,100,0.47856,55,-0.4381,73,-0.0148,59,-0.3648
ENSG00000188529,SRSF10,83,0.04388,42,-1.0441,113,0.54596,146,0.96013,94,0.25183,68,-0.2808,71,-0.1988,94,0.24540,100,0.34465,62,-0.4403
ENSG00000001461,NIPAL3,68,-0.6109,80,-0.3913,214,1.22831,27,-1.9763,144,0.57294,61,-0.8081,66,-0.6369,141,0.53825,131,0.42003,117,0.26136
ENSG00000133226,SRRM1,169,-0.2208,124,-0.7500,435,1.30791,291,0.63713,505,1.57493,80,-1.4287,209,0.10530,116,-0.7950,148,-0.4276,128,-0.6889
ENSG00000169504,CLIC4,49,0.09502,22,-1.1800,215,2.71001,241,2.96767,18,-1.4042,12,-2.1188,0,-6.2094,3,-3.7748,0,-8.2953,5,-3.2827
ENSG00000117614,SYF2,143,0.09489,143,0.10489,210,0.71483,187,0.52325,162,0.29868,94,-0.5943,171,0.37838,114,-0.2501,118,-0.2051,84,-0.7697
ENSG00000117616,RSRP1,42,-0.8993,48,-0.7699,80,0.07587,175,1.34936,178,1.38045,54,-0.5635,34,-1.2243,170,1.30327,22,-1.8583,44,-0.8840
ENSG00000183726,TMEM50A,89,-0.0233,73,-0.3690,132,0.59480,150,0.80455,49,-0.9387,87,-0.0700,120,0.43942,103,0.20443,53,-0.8221,82,-0.1772
ENSG00000204178,MACO1,36,-0.5100,39,-0.3907,67,0.46757,29,-0.8137,102,1.15585,38,-0.4401,56,0.17715,84,0.82905,42,-0.2522,39,-0.4272
ENSG00000117643,MAN1C1,11,-2.2635,46,-0.1205,18,-1.4746,62,0.36388,34,-0.5809,67,0.52076,77,0.70203,87,0.90067,16,-1.6672,56,0.21692
ENSG00000162430,SELENON,38,0.35946,38,0.40252,16,-0.9285,101,2.02493,14,-1.1733,40,0.47580,3,-3.2557,32,0.09665,5,-2.5189,14,-1.2243
ENSG00000117640,MTFR1L,65,0.20008,72,0.37728,30,-0.9658,67,0.22888,62,0.12772,66,0.23214,60,0.05741,48,-0.2779,54,-0.1048,43,-0.4670
ENSG00000117632,STMN1,427,-1.6319,803,-0.7341,930,-0.4618,416,-1.6688,687,-0.9210,1676,0.50891,1381,0.15112,1125,-0.1696,2006,0.75058,2189,1.01241
ENSG00000158008,EXTL1,23,-0.6687,69,1.23439,6,-2.5552,20,-0.8584,54,0.65975,29,-0.3157,12,-1.6079,52,0.62328,27,-0.4197,34,-0.0449
ENSG00000142684,ZNF593,26,-0.2942,33,0.09792,21,-0.5653,28,-0.1782,15,-1.0899,64,1.33745,15,-1.1117,26,-0.2391,24,-0.3771,27,-0.2116
ENSG00000142669,SH3BGRL3,138,-0.0995,182,0.37282,155,0.08694,155,0.08274,69,-1.1412,178,0.33798,69,-1.1437,107,-0.4890,148,0.01033,173,0.28895
ENSG00000117682,DHDDS,25,0.11463,23,-0.0150,10,-1.2617,22,-0.1291,36,0.65272,32,0.53131,15,-0.6890,21,-0.1586,24,0.00904,21,-0.1540
ENSG00000198830,HMGN2,275,0.57526,193,0.01510,370,1.06441,288,0.65258,126,-0.6416,265,0.57209,167,-0.2115,128,-0.6126,63,-1.6832,77,-1.4476
ENSG00000117713,ARID1A,103,0.75113,44,-0.6061,69,0.11556,121,1.01441,73,0.20156,49,-0.4334,69,0.10731,97,0.65547,35,-0.9099,40,-0.7688
ENSG00000090273,NUDC,181,-0.2362,258,0.35613,176,-0.2763,162,-0.4077,184,-0.2095,231,0.16062,290,0.50750,227,0.11832,188,-0.1748,175,-0.3098
ENSG00000253368,TRNP1,34,-0.6037,60,0.29191,10,-2.3113,8,-2.6089,44,-0.2145,98,1.22048,25,-1.0866,31,-0.7667,32,-0.7022,79,0.78209
ENSG00000142784,WDTC1,27,0.19493,35,0.67648,12,-0.9354,52,1.28527,31,0.44678,13,-0.9214,22,-0.1102,20,-0.2584,19,-0.3312,13,-0.9018
ENSG00000186501,TMEM222,47,0.30335,51,0.49656,17,-1.2152,26,-0.6075,44,0.21702,29,-0.4948,28,-0.4920,62,0.74545,37,-0.0586,40,0.07689
ENSG00000158195,WASF2,85,0.56697,48,-0.3418,185,1.92004,202,2.08928,77,0.41879,23,-1.4989,19,-1.6602,21,-1.5655,18,-1.7830,9,-2.7832
ENSG00000126705,AHDC1,56,0.41841,38,-0.1924,13,-1.7207,47,0.14866,71,0.79608,37,-0.2343,38,-0.1867,77,0.93973,66,0.68670,19,-1.3011
ENSG00000126709,IFI6,72,-0.5977,52,-1.1591,119,0.17378,257,1.44626,41,-1.4326,103,-0.0606,24,-2.2116,61,-0.8535,93,-0.2059,204,1.19559
ENSG00000009780,FAM76A,14,-0.8303,15,-0.6999,48,1.12470,16,-0.6120,27,0.19678,27,0.21360,35,0.59041,35,0.59612,13,-0.8930,19,-0.3949
ENSG00000117758,STX12,92,-0.2728,100,-0.1565,106,-0.0645,80,-0.4979,65,-0.8104,177,0.84371,78,-0.5337,93,-0.2595,82,-0.4575,142,0.43763
ENSG00000117751,PPP1R8,44,0.60656,14,-1.2310,28,-0.0734,63,1.20951,12,-1.3222,40,0.51100,36,0.30062,20,-0.5753,22,-0.4380,27,-0.1772
ENSG00000117748,RPA2,61,0.03486,44,-0.4966,38,-0.7045,63,0.08464,48,-0.3547,81,0.52200,32,-0.9539,69,0.21785,78,0.42227,70,0.26287
ENSG00000126698,DNAJC8,199,-0.2818,208,-0.2389,363,0.66177,189,-0.3609,186,-0.3896,216,-0.1692,319,0.45209,193,-0.3323,314,0.42839,250,0.07458
ENSG00000130770,ATP5IF1,375,-0.6578,461,-0.3734,279,-1.1039,220,-1.4561,288,-1.0588,1162,1.30688,502,-0.2142,424,-0.4729,448,-0.3894,853,0.69784
