Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000157870,PRXL2B,14,-1.7266,44,-0.0018,16,-1.5018,40,-0.1375,54,0.34644,50,0.21921,55,0.35158,54,0.37283
ENSG00000177133,PRDM16-DT,9,-1.8553,103,2.07003,44,0.55221,6,-2.4629,13,-1.4561,27,-0.2484,40,0.39071,32,0.01399
ENSG00000142611,PRDM16,13,-0.2016,59,2.44860,25,0.81913,4,-1.8792,1,-3.6949,15,0.05089,5,-1.6858,13,-0.2624
ENSG00000158109,TPRG1L,33,-2.2691,122,-0.3211,71,-1.1342,196,0.43987,217,0.68785,155,0.06619,152,0.02332,163,0.15127
ENSG00000130764,LRRC47,34,-0.8856,48,-0.3974,8,-2.9025,67,0.13680,90,0.71194,86,0.61681,74,0.29677,46,-0.5047
ENSG00000116198,CEP104,69,1.04581,11,-1.7241,53,0.59678,50,0.50630,26,-0.5644,40,0.15722,45,0.34225,20,-0.9680
ENSG00000196581,AJAP1,37,-0.3549,29,-0.7383,61,0.40684,44,-0.0933,70,0.74545,36,-0.4335,62,0.45210,35,-0.5085
ENSG00000069424,KCNAB2,27,-2.9512,169,-0.2428,100,-1.0511,133,-0.6120,311,0.84925,243,0.37266,190,-0.0640,223,0.21669
ENSG00000116254,CHD5,156,-1.1080,116,-1.5552,484,0.67091,564,0.93084,213,-0.6907,304,-0.0922,560,0.91691,305,-0.0875
ENSG00000116251,RPL22,472,0.28143,537,0.49075,269,-0.6018,258,-0.6680,385,-0.0488,277,-0.6107,195,-1.0913,651,0.93857
ENSG00000116237,ICMT,17,-1.0015,27,-0.2671,18,-0.8826,30,-0.1321,59,1.16738,29,-0.1832,50,0.71481,18,-0.9519
ENSG00000097021,ACOT7,26,-2.3629,68,-0.9558,59,-1.1667,93,-0.4621,237,1.22326,195,0.81825,85,-0.5984,94,-0.4913
ENSG00000215788,TNFRSF25,8,-1.6820,13,-1.0259,16,-0.7226,58,1.40238,47,1.19873,22,-0.1836,23,-0.1450,10,-1.5095
ENSG00000171680,PLEKHG5,13,-1.6008,21,-0.8937,16,-1.2442,30,-0.3185,61,0.92152,20,-1.0246,43,0.21548,63,0.97178
ENSG00000162408,NOL9,23,-0.1808,21,-0.3219,17,-0.6054,21,-0.2979,29,0.19008,28,0.18051,25,-0.0177,30,0.29854
ENSG00000162413,KLHL21,21,-0.2779,32,0.35341,18,-0.5362,16,-0.7026,33,0.43263,28,0.12387,45,0.90309,15,-0.9228
ENSG00000041988,THAP3,0,-5.5451,15,-0.4029,10,-1.0507,13,-0.5549,32,0.95766,29,0.72117,28,0.58862,12,-0.7396
ENSG00000007923,DNAJC11,22,-0.8853,20,-1.0156,61,0.69143,27,-0.5865,33,-0.3293,57,0.66688,48,0.30602,39,-0.0281
ENSG00000171735,CAMTA1,247,-1.0387,264,-0.9368,625,0.40866,1021,1.24434,338,-0.6143,515,0.10829,575,0.27290,446,-0.1443
ENSG00000049245,VAMP3,63,1.54109,43,0.87790,31,0.31066,7,-1.9260,12,-1.2353,23,-0.1447,12,-1.0498,25,0.01786
ENSG00000049246,PER3,55,0.46565,57,0.51874,42,0.02753,48,0.22763,45,0.13974,41,-0.0277,29,-0.5290,26,-0.7660
ENSG00000116288,PARK7,67,-1.8418,341,0.67583,119,-0.9792,106,-1.1481,353,0.84468,207,-0.1402,117,-0.9996,300,0.53047
ENSG00000116285,ERRFI1,13,-0.6860,8,-1.4161,6,-1.7622,22,0.06144,39,1.20290,32,0.75617,8,-1.3388,15,-0.5362
ENSG00000162426,SLC45A1,3,-2.8413,23,0.17454,18,-0.2432,22,0.08336,30,0.70168,19,-0.1559,24,0.20821,20,-0.0591
ENSG00000142599,RERE,198,0.29764,146,-0.1874,274,0.83326,175,0.09918,156,-0.0999,127,-0.4500,219,0.45455,117,-0.5768
ENSG00000074800,ENO1,245,-1.1132,1118,1.33646,401,-0.3579,417,-0.2968,491,-0.0454,568,0.21257,386,-0.4154,429,-0.2784
ENSG00000171612,SLC25A33,5,-2.4760,69,1.67265,26,0.01988,10,-1.4483,26,0.03880,25,-0.0504,14,-0.8884,28,0.16472
ENSG00000171603,CLSTN1,238,-1.4750,346,-0.9151,488,-0.3863,678,0.13171,999,0.88392,761,0.35670,655,0.07623,472,-0.4804
ENSG00000178585,CTNNBIP1,22,-0.5636,42,0.42654,23,-0.5040,35,0.15302,24,-0.4711,30,-0.0937,41,0.37577,40,0.40101
ENSG00000162441,LZIC,75,0.74773,54,0.21919,68,0.58927,37,-0.3851,45,-0.0605,54,0.25131,21,-1.2366,32,-0.6437
ENSG00000130939,UBE4B,61,0.44707,26,-0.8440,33,-0.4905,56,0.33238,25,-0.9866,89,1.27434,35,-0.4132,32,-0.5892
ENSG00000054523,KIF1B,573,0.62396,247,-0.7101,551,0.56084,459,0.25951,315,-0.3687,381,-0.0391,404,0.05511,331,-0.2807
ENSG00000142657,PGD,37,-0.5272,53,0.02463,20,-1.4411,50,-0.0669,41,-0.4234,80,0.79473,52,0.01179,60,0.24230
ENSG00000241563,CORT,8,-1.3356,30,0.62406,20,0.02282,6,-1.6742,23,0.23764,20,0.01703,11,-0.8422,29,0.67373
ENSG00000160049,DFFA,92,0.70805,68,0.19829,134,1.34731,39,-0.6435,36,-0.8298,54,-0.1570,45,-0.4524,49,-0.3524
ENSG00000142655,PEX14,11,-1.2563,29,0.23959,8,-1.7364,17,-0.5843,32,0.48812,54,1.54271,11,-1.1889,12,-1.1693
ENSG00000120948,TARDBP,104,0.39615,70,-0.2280,75,-0.1290,75,-0.1216,105,0.46800,81,0.00762,67,-0.3054,64,-0.3956
ENSG00000116649,SRM,14,-2.3614,83,0.27397,46,-0.6553,79,0.19536,100,0.65899,64,-0.1438,45,-0.6987,87,0.38873
ENSG00000171824,EXOSC10,64,1.01960,42,0.32353,40,0.24524,60,0.90931,37,0.13865,37,0.11378,12,-1.5545,6,-2.7118
ENSG00000198793,MTOR,12,-1.7056,43,0.14861,36,-0.1279,38,-0.0320,41,0.07509,50,0.42724,35,-0.1573,42,0.12890
ENSG00000116661,FBXO2,66,-1.8204,439,1.14946,116,-0.9826,140,-0.6961,296,0.54862,199,-0.1688,209,-0.0768,227,0.05581
ENSG00000132879,FBXO44,40,-1.3318,67,-0.5508,63,-0.6598,75,-0.3803,157,0.93052,130,0.54938,84,-0.2061,76,-0.3980
ENSG00000116670,MAD2L2,14,0.00738,30,1.17217,5,-1.4918,12,-0.2849,13,-0.2198,14,-0.0821,8,-0.8864,18,0.42276
ENSG00000177000,MTHFR,30,0.19564,25,-0.0882,23,-0.1924,38,0.60221,18,-0.5958,25,-0.0816,46,0.91177,20,-0.4620
ENSG00000011021,CLCN6,39,-1.4112,72,-0.4852,44,-1.2127,117,0.28189,71,-0.5500,167,1.00760,159,0.78567,86,-0.2256
ENSG00000116685,KIAA2013,41,0.32696,38,0.22815,33,-0.0097,26,-0.3487,31,-0.1140,42,0.42944,39,0.27230,20,-0.8160
ENSG00000083444,PLOD1,41,0.88137,38,0.73848,32,0.45417,0,-5.9110,10,-1.4156,32,0.53388,25,0.07548,22,-0.1834
ENSG00000116688,MFN2,74,-0.5794,85,-0.3677,93,-0.2398,102,-0.0902,117,0.14598,139,0.45537,96,-0.1796,113,0.07218
ENSG00000116691,MIIP,14,-0.1835,29,0.95596,6,-1.4540,18,0.18836,15,-0.1256,23,0.62269,15,-0.1562,10,-0.8085
ENSG00000048707,VPS13D,54,-0.4857,57,-0.3755,72,-0.0191,63,-0.2310,60,-0.3279,102,0.61268,114,0.71126,60,-0.3469
ENSG00000162496,DHRS3,32,0.45966,92,2.36082,26,0.09657,1,-4.0593,24,-0.0396,11,-1.3341,15,-0.6980,16,-0.6994
ENSG00000116731,PRDM2,308,0.20207,100,-1.5247,528,1.10064,353,0.42259,257,-0.1007,205,-0.4842,278,0.03789,249,-0.1524
ENSG00000189337,KAZN,107,1.43384,43,-0.0772,24,-0.9780,46,0.01554,30,-0.6701,64,0.62759,21,-1.1937,35,-0.4418
ENSG00000142634,EFHD2,54,-0.8984,22,-2.2292,42,-1.2871,195,1.16722,41,-1.4158,188,1.29523,122,0.37267,85,-0.2114
ENSG00000116138,DNAJC16,29,-0.0912,20,-0.6303,25,-0.2959,16,-0.9930,49,0.85398,37,0.32769,29,-0.0817,23,-0.4564
ENSG00000197312,DDI2,54,0.61278,23,-0.7097,54,0.59315,57,0.68917,25,-0.6416,26,-0.5893,46,0.34429,35,-0.0792
ENSG00000116786,PLEKHM2,94,-0.8732,115,-0.5649,220,0.45656,177,0.10951,115,-0.6229,141,-0.2829,246,0.64207,229,0.59525
ENSG00000065526,SPEN,375,1.52286,105,-0.5885,334,1.30875,125,-0.3135,99,-0.7244,89,-0.9027,122,-0.3517,121,-0.4020
ENSG00000116809,ZBTB17,23,-0.2423,31,0.25680,18,-0.6232,6,-2.0591,25,-0.1333,37,0.59723,39,0.62057,26,-0.0413
ENSG00000037637,FBXO42,13,-0.9770,23,-0.1226,23,-0.1018,45,0.98828,24,-0.0331,38,0.77380,21,-0.2664,11,-1.2355
ENSG00000055070,SZRD1,53,0.78607,46,0.55379,43,0.45258,13,-1.3203,31,-0.0703,25,-0.4620,26,-0.3151,32,-0.0368
ENSG00000159363,ATP13A2,35,-1.6874,61,-0.8673,77,-0.4997,114,0.11430,120,0.21868,169,0.86748,93,-0.2097,106,-0.0111
ENSG00000117118,SDHB,25,-1.0790,66,0.42215,36,-0.5206,35,-0.5519,68,0.54463,71,0.61986,24,-1.1624,46,-0.1641
ENSG00000117115,PADI2,122,1.61792,135,1.80561,33,-0.5700,11,-2.1574,21,-1.3379,30,-0.7270,42,-0.1614,36,-0.4508
ENSG00000179051,RCC2,3,-3.2258,20,-0.6459,20,-0.6503,31,0.02167,40,0.45276,55,1.09733,30,-0.0425,23,-0.5304
ENSG00000074964,ARHGEF10L,1,-3.5674,31,1.06702,10,-0.6885,9,-0.9455,13,-0.3403,14,-0.2513,22,0.46031,26,0.82914
ENSG00000117154,IGSF21,45,-0.6521,30,-1.2633,40,-0.8400,36,-1.0127,100,0.67296,105,0.77200,74,0.10343,63,-0.1552
ENSG00000159423,ALDH4A1,20,-1.1318,95,1.34288,33,-0.4017,10,-2.1028,20,-1.2445,30,-0.6096,52,0.33053,79,1.18938
ENSG00000127481,UBR4,108,1.53855,25,-0.8437,66,0.68161,68,0.73299,28,-0.7176,33,-0.4780,30,-0.5904,29,-0.6713
ENSG00000127463,EMC1,18,-0.6145,28,0.06555,10,-1.5291,31,0.24230,39,0.67269,26,-0.0691,42,0.72869,18,-0.6220
ENSG00000053372,MRTO4,25,-0.8097,38,-0.1780,42,-0.0508,48,0.17655,53,0.39484,58,0.54356,41,-0.0631,27,-0.7444
ENSG00000053371,AKR7A2,15,-0.9340,78,1.69907,23,-0.3611,6,-2.2889,30,0.08533,19,-0.6949,20,-0.5113,37,0.47375
ENSG00000077549,CAPZB,138,-0.4244,179,-0.0139,153,-0.2610,177,-0.0370,229,0.42423,204,0.21606,169,-0.1121,154,-0.2749
ENSG00000173436,MICOS10,136,-1.0961,323,0.24176,131,-1.1538,188,-0.6062,299,0.13125,276,-0.0134,190,-0.5930,469,0.99238
ENSG00000158747,NBL1,61,-1.4047,125,-0.3199,130,-0.2536,99,-0.6776,184,0.32757,173,0.21489,258,0.85254,149,-0.0455
ENSG00000169914,OTUD3,22,0.01658,6,-1.8334,20,-0.0624,23,0.14544,16,-0.5066,31,0.69737,34,0.73477,18,-0.3208
ENSG00000162545,CAMK2N1,747,-1.0376,1962,0.47347,1637,0.17927,780,-0.9720,2214,0.77223,497,-1.7550,979,-0.6265,2282,0.83363
ENSG00000090432,MUL1,13,-0.4182,20,0.21398,12,-0.5940,22,0.35948,12,-0.6440,30,1.02358,15,-0.2061,13,-0.5080
ENSG00000183114,FAM43B,15,-0.2787,27,0.59031,9,-1.1383,21,0.22338,7,-1.4303,39,1.47600,18,-0.0623,10,-1.0095
ENSG00000158828,PINK1,120,-1.6558,337,-0.0912,234,-0.6552,266,-0.4565,422,0.30103,449,0.41503,286,-0.3457,470,0.50173
ENSG00000244038,DDOST,10,-1.4166,29,0.16011,23,-0.1877,16,-0.7301,39,0.74047,39,0.76033,21,-0.3418,15,-0.8691
ENSG00000117245,KIF17,10,-1.4770,19,-0.5625,9,-1.6613,32,0.29457,19,-0.5541,54,1.33907,41,0.66244,20,-0.5217
ENSG00000189410,SH2D5,2,-3.6888,17,-0.8746,13,-1.2141,26,-0.2089,75,1.85864,27,-0.1799,24,-0.3753,23,-0.4754
ENSG00000127483,HP1BP3,482,1.09699,170,-0.5901,403,0.79079,308,0.34344,222,-0.1936,180,-0.5458,169,-0.5987,198,-0.3938
ENSG00000075151,EIF4G3,277,0.11505,118,-1.1961,436,0.85987,383,0.64334,241,-0.1152,257,-0.0016,229,-0.1883,197,-0.4586
ENSG00000117298,ECE1,24,0.01327,37,0.72524,28,0.26639,14,-0.8227,20,-0.3249,30,0.42374,42,0.90822,9,-1.6239
ENSG00000076864,RAP1GAP,60,-1.1639,41,-1.7047,47,-1.5291,234,0.99557,126,-0.0148,235,1.17428,126,-0.0233,87,-0.6519
ENSG00000090686,USP48,159,1.17756,44,-0.8940,112,0.57762,120,0.69486,61,-0.4222,76,-0.0525,63,-0.3196,44,-0.9619
ENSG00000070831,CDC42,130,-0.1360,142,0.00435,50,-1.5950,149,0.08053,159,0.20678,218,0.80496,101,-0.5203,116,-0.3461
ENSG00000004487,KDM1A,53,-0.3374,72,0.14794,65,-0.0023,38,-0.8363,80,0.36202,95,0.68822,64,-0.0367,39,-0.8691
ENSG00000169641,LUZP1,83,-1.2873,68,-1.5790,318,0.81503,228,0.26216,129,-0.6803,245,0.43103,317,0.80853,181,-0.1155
ENSG00000125944,HNRNPR,154,0.55574,116,0.10235,114,0.06852,110,0.01163,135,0.38504,102,-0.1134,70,-0.6857,81,-0.5154
ENSG00000142676,RPL11,499,0.44733,515,0.49863,321,-0.2551,260,-0.5855,276,-0.5395,307,-0.3588,181,-1.1371,609,0.89654
ENSG00000011007,ELOA,35,0.20373,24,-0.3761,34,0.13741,46,0.61827,32,0.03397,21,-0.6386,49,0.73914,24,-0.4523
ENSG00000057757,PITHD1,50,-1.3128,85,-0.4979,56,-1.1334,138,0.26098,137,0.27619,201,1.01848,104,-0.1842,91,-0.4345
ENSG00000011009,LYPLA2,8,-2.0319,20,-0.6228,10,-1.6022,42,0.49316,30,-0.0113,32,0.05391,40,0.42801,46,0.75835
ENSG00000117308,GALE,4,-2.3150,15,-0.5419,7,-1.5913,34,0.68578,32,0.67602,38,1.01713,28,0.36968,7,-1.8340
ENSG00000117305,HMGCL,23,0.32763,36,1.04149,11,-0.8203,13,-0.5896,13,-0.6470,17,-0.1340,21,0.17093,22,0.24128
ENSG00000189266,PNRC2,47,-0.0110,61,0.38195,56,0.25663,32,-0.6152,63,0.50861,42,-0.2193,24,-1.0520,47,-0.0184
ENSG00000188529,SRSF10,96,0.57079,52,-0.4040,80,0.25974,119,0.92035,66,-0.0476,80,0.29532,35,-1.0094,35,-1.0687
ENSG00000001460,STPG1,11,-0.7874,20,0.02372,8,-1.2955,26,0.50119,28,0.66692,27,0.62876,8,-1.2250,14,-0.5438
ENSG00000001461,NIPAL3,367,1.65046,49,-1.5744,108,-0.3926,159,0.20999,80,-0.9346,153,0.16401,144,0.05324,120,-0.2589
ENSG00000133226,SRRM1,800,2.12854,180,-0.4401,419,0.92160,281,0.25959,135,-0.9539,123,-1.1004,177,-0.4659,127,-1.0551
ENSG00000169504,CLIC4,121,2.09156,93,1.57266,21,-0.8127,18,-1.0395,8,-2.3578,37,0.02483,21,-0.8245,18,-1.1286
ENSG00000117614,SYF2,192,0.31020,164,0.06293,289,0.99496,153,-0.0448,125,-0.4019,130,-0.3321,129,-0.3128,149,-0.0969
ENSG00000117616,RSRP1,123,1.07348,60,-0.0981,33,-1.0068,137,1.26577,87,0.55552,56,-0.2256,30,-1.1358,17,-2.0768
ENSG00000183726,TMEM50A,32,-0.9065,78,0.47101,29,-1.0585,56,-0.0491,79,0.56055,84,0.66850,41,-0.5369,39,-0.6863
ENSG00000204178,MACO1,106,0.59398,33,-1.2375,85,0.23882,158,1.27347,55,-0.4981,74,0.00370,65,-0.1971,52,-0.5781
ENSG00000117643,MAN1C1,50,0.21272,26,-0.7563,18,-1.2897,12,-1.9550,85,1.31056,54,0.38706,22,-1.0552,36,-0.3393
ENSG00000162430,SELENON,17,-0.7779,79,1.71685,21,-0.4571,14,-1.0817,32,0.20611,24,-0.3075,28,-0.0467,22,-0.4496
ENSG00000117640,MTFR1L,24,-1.2836,63,0.17782,45,-0.3644,47,-0.2998,75,0.49849,54,-0.0981,91,0.76302,49,-0.2681
ENSG00000117632,STMN1,576,-0.4494,448,-0.8346,400,-1.0069,981,0.39525,1164,0.77719,1126,0.71191,395,-1.0255,530,-0.6301
ENSG00000158008,EXTL1,22,-1.1155,24,-0.9577,25,-0.9267,49,0.12713,55,0.35382,63,0.61875,73,0.76869,34,-0.4813
ENSG00000142684,ZNF593,7,-2.2107,23,-0.4624,18,-0.7691,25,-0.2897,43,0.60494,39,0.42236,21,-0.5522,39,0.46096
ENSG00000142669,SH3BGRL3,100,-0.6204,176,0.25999,64,-1.3007,90,-0.7889,142,-0.0867,199,0.52533,147,-0.0265,192,0.45498
ENSG00000158062,UBXN11,2,-3.8050,32,0.27748,9,-1.6681,20,-0.4474,49,1.11524,30,0.20532,24,-0.2026,26,-0.0463
ENSG00000117682,DHDDS,16,-0.4464,28,0.46365,13,-0.6979,44,1.21748,20,-0.0854,21,-0.0105,21,0.00961,14,-0.7274
ENSG00000198830,HMGN2,201,0.63665,227,0.83872,95,-0.5549,84,-0.7458,144,0.10515,119,-0.2214,79,-0.8424,140,0.05826
ENSG00000117713,ARID1A,139,1.03920,92,0.34317,82,0.15555,78,0.07815,65,-0.2349,62,-0.3119,98,0.45071,37,-1.1619
ENSG00000204160,ZDHHC18,16,-0.6517,23,-0.0773,12,-1.0555,34,0.53179,24,0.01127,33,0.56682,38,0.70662,15,-0.8399
ENSG00000142751,GPN2,13,-0.5422,20,0.11632,17,-0.1548,21,0.15864,30,0.82884,19,0.00783,25,0.46542,7,-1.6034
ENSG00000090273,NUDC,147,-0.7065,198,-0.2496,220,-0.0811,164,-0.5396,284,0.36750,236,0.02820,186,-0.3486,298,0.45562
ENSG00000253368,TRNP1,7,-2.9240,42,-0.3613,29,-0.9478,48,-0.1645,61,0.23893,65,0.35910,28,-1.0010,90,0.99136
ENSG00000090020,SLC9A1,0,-6.5335,13,-0.9351,8,-1.5787,23,0.00050,22,-0.1230,51,1.53136,48,1.16068,10,-1.3037
ENSG00000142784,WDTC1,34,-0.0370,32,-0.1267,41,0.26223,10,-1.8347,33,-0.1039,36,0.04422,31,-0.1625,49,0.60905
ENSG00000186501,TMEM222,37,-0.1189,38,-0.0764,32,-0.3567,37,-0.1155,45,0.19410,57,0.65394,43,0.12205,25,-0.8142
ENSG00000158195,WASF2,192,2.11868,113,1.11783,112,1.10376,15,-2.0105,20,-1.6632,35,-0.8249,37,-0.6537,25,-1.3344
ENSG00000126705,AHDC1,68,0.16751,46,-0.4258,53,-0.2352,51,-0.2744,59,-0.0489,68,0.17931,112,0.99300,44,-0.5571
ENSG00000126709,IFI6,74,-0.0031,105,0.54761,23,-1.7634,33,-1.2264,78,0.07786,123,0.93799,70,-0.0933,56,-0.4749
ENSG00000009780,FAM76A,36,0.85546,14,-0.6123,18,-0.2347,23,0.10137,24,0.19172,26,0.32208,24,0.15957,10,-1.1702
ENSG00000117758,STX12,67,-0.2250,69,-0.1587,45,-0.8250,87,0.20237,86,0.21021,105,0.57760,49,-0.7070,72,-0.1066
ENSG00000117751,PPP1R8,28,0.15823,42,0.83841,7,-1.8290,29,0.20441,38,0.73788,25,-0.0441,9,-1.5776,19,-0.4839
ENSG00000117748,RPA2,29,0.00459,48,0.78733,10,-1.5481,30,0.03004,50,1.00147,20,-0.6204,25,-0.2394,20,-0.6555
ENSG00000126698,DNAJC8,225,0.13685,167,-0.3252,327,0.75046,219,0.09979,243,0.29979,110,-1.0492,167,-0.3272,227,0.17572
ENSG00000130770,ATP5IF1,130,-1.5479,295,-0.3095,214,-0.8025,338,-0.0947,655,1.15858,347,-0.0593,151,-1.3268,408,0.22970
ENSG00000204138,PHACTR4,117,2.16492,44,0.41109,49,0.58175,27,-0.3337,19,-0.9764,28,-0.3406,25,-0.4891,9,-2.0165
ENSG00000180098,TRNAU1AP,16,-0.0877,5,-1.6913,14,-0.2788,16,-0.0365,20,0.33568,24,0.62165,28,0.80089,9,-1.0522
ENSG00000198492,YTHDF2,61,-0.0965,55,-0.2697,55,-0.2789,104,0.75767,76,0.26604,70,0.13351,38,-0.8204,56,-0.2586
ENSG00000159023,EPB41,9,-1.3725,6,-1.9337,19,-0.3045,61,1.62510,10,-1.3969,30,0.46337,31,0.45951,25,0.10988
ENSG00000116350,SRSF4,132,0.82972,77,-0.0523,120,0.66254,101,0.38195,83,0.08349,52,-0.7133,58,-0.4783,58,-0.5437
ENSG00000116353,MECR,17,-0.4882,20,-0.2378,23,-0.0497,26,0.15215,35,0.73520,23,-0.0352,12,-0.9999,22,-0.1042
ENSG00000060656,PTPRU,22,0.47214,10,-0.7658,4,-1.8326,27,0.81037,11,-0.6823,35,1.56256,16,-0.0120,3,-2.4923
ENSG00000162512,SDC3,133,0.02911,224,0.87989,94,-0.5185,63,-1.1254,160,0.36402,108,-0.3399,197,0.66354,97,-0.5169
ENSG00000134644,PUM1,177,-0.0841,94,-1.0519,179,-0.0681,342,0.99364,166,-0.2020,183,-0.0361,291,0.72350,136,-0.5358
ENSG00000121766,ZCCHC17,151,0.01547,71,-1.1531,226,0.66712,235,0.73208,189,0.41736,126,-0.3042,97,-0.6697,119,-0.3879
ENSG00000121769,FABP3,18,-1.6101,22,-1.2969,16,-1.7586,49,-0.0923,82,0.84888,86,0.94355,26,-1.0572,53,0.01724
