Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000215790,SLC35E2A,33,0.15122,13,-1.1681,18,-0.7559,58,1.07661,40,0.46660,24,-0.3204,28,-0.0731,48,0.75608,30,0.04006,31,0.06295,16,-1.0090
ENSG00000008130,NADK,33,0.39134,11,-1.3290,54,1.16833,23,-0.1562,30,0.23978,9,-1.5877,22,-0.2263,2,-3.6181,37,0.61106,33,0.37050,23,-0.1880
ENSG00000078369,GNB1,227,-1.3232,212,-1.4244,233,-1.2878,1003,0.99199,692,0.38307,402,-0.4642,467,-0.2326,719,0.44614,763,0.60287,563,0.05766,505,-0.1225
ENSG00000187730,GABRD,60,-1.4580,0,-7.5225,12,-3.7384,103,-0.6530,52,-1.6777,152,-0.0651,83,-0.9849,461,1.78633,272,0.97946,85,-0.9437,253,0.83822
ENSG00000067606,PRKCZ,110,-0.8422,88,-1.1711,111,-0.8240,287,0.64693,73,-1.4623,132,-0.5644,139,-0.4872,260,0.49157,275,0.64442,270,0.54879,231,0.32836
ENSG00000162585,FAAP20,62,0.64415,40,-0.0531,22,-0.9279,84,1.14200,68,0.77186,17,-1.3321,12,-1.7903,43,0.06752,43,0.05154,40,-0.0548,32,-0.4169
ENSG00000157933,SKI,13,-1.1835,27,-0.0751,18,-0.7053,46,0.78740,58,1.16385,18,-0.7040,75,1.60982,4,-2.7363,32,0.24712,12,-1.2344,15,-0.9852
ENSG00000157916,RER1,4,-3.4765,63,0.37221,25,-1.0380,33,-0.6109,69,0.51957,46,-0.1201,25,-1.0499,41,-0.2684,78,0.81604,35,-0.5111,72,0.67859
ENSG00000157911,PEX10,101,2.31707,18,-0.6018,6,-2.0462,25,-0.0660,47,0.91472,23,-0.2050,13,-1.0188,2,-3.5525,21,-0.3357,24,-0.1588,20,-0.4720
ENSG00000149527,PLCH2,1,-3.6192,20,0.34100,0,-6.6252,19,0.26706,22,0.49520,1,-3.3868,23,0.58112,20,0.32965,41,1.82554,0,-6.7944,10,-0.8008
ENSG00000157870,PRXL2B,58,0.36829,6,-2.8559,51,0.16518,66,0.57087,46,0.01326,26,-0.8330,21,-1.1693,47,0.04285,66,0.64694,48,0.08292,46,0.02510
ENSG00000158109,TPRG1L,343,0.93181,36,-2.5048,125,-0.6559,248,0.40767,67,-1.5924,197,0.04137,90,-1.1500,159,-0.2899,252,0.47428,247,0.39809,240,0.38719
ENSG00000130764,LRRC47,1,-6.2578,70,-0.0563,89,0.32583,57,-0.3680,44,-0.7762,79,0.13463,68,-0.1032,98,0.47443,79,0.14726,86,0.25904,97,0.50613
ENSG00000116198,CEP104,8,-2.0292,84,1.60196,57,0.94321,20,-0.6866,53,0.80417,40,0.35935,31,-0.0190,36,0.18722,15,-1.1496,22,-0.5381,15,-1.1756
ENSG00000196581,AJAP1,26,-0.5985,26,-0.5962,91,1.37740,23,-0.8140,25,-0.6598,57,0.59669,34,-0.1911,23,-0.7676,45,0.26179,52,0.45627,29,-0.4976
ENSG00000069424,KCNAB2,88,-1.1272,21,-3.2363,85,-1.1852,326,0.90609,209,0.18793,141,-0.4206,120,-0.6672,180,-0.0483,331,1.05409,172,-0.1187,204,0.16143
ENSG00000116254,CHD5,48,-2.2350,27,-3.0875,170,-0.3562,292,0.49172,146,-0.5852,437,1.15804,440,1.16977,197,-0.1258,230,0.12186,180,-0.2701,193,-0.1735
ENSG00000116251,RPL22,1088,0.93210,889,0.59971,460,-0.4357,1024,0.83103,798,0.42634,455,-0.4531,563,-0.1254,375,-0.7454,584,-0.0735,460,-0.4364,324,-1.0292
ENSG00000116237,ICMT,0,-5.2387,21,-0.6119,43,0.44334,22,-0.5811,33,0.03646,32,0.02039,31,-0.0329,11,-1.5911,39,0.33990,27,-0.2379,59,1.09381
ENSG00000097021,ACOT7,135,-0.7570,54,-2.1116,214,-0.0533,134,-0.7680,45,-2.3955,227,0.03499,80,-1.5433,247,0.16823,287,0.45263,277,0.34942,448,1.30646
ENSG00000171680,PLEKHG5,0,-4.4289,0,-8.4021,0,-6.8153,27,0.61303,22,0.32384,25,0.46591,11,-0.7964,1,-3.9272,56,2.25146,6,-1.5350,17,-0.1447
ENSG00000162408,NOL9,6,-2.1411,24,0.00398,24,-0.0346,31,0.34499,16,-0.6400,13,-0.9807,29,0.25760,8,-1.5983,33,0.50994,51,1.19745,25,0.05227
ENSG00000162413,KLHL21,0,-5.2511,32,0.00549,80,1.48289,28,-0.2001,32,-0.0177,9,-1.8058,22,-0.5677,68,1.20840,20,-0.7490,45,0.50992,31,-0.0849
ENSG00000041988,THAP3,0,-4.4229,18,-0.0256,21,0.26327,24,0.42684,1,-3.6182,3,-2.4211,27,0.64861,35,1.07764,30,0.87311,3,-2.6801,21,0.26159
ENSG00000007923,DNAJC11,0,-5.1096,25,-0.2945,55,0.92490,41,0.43476,9,-1.8086,19,-0.7136,35,0.21341,68,1.28480,29,-0.1211,21,-0.5893,34,0.19174
ENSG00000171735,CAMTA1,133,-1.5573,176,-1.1380,361,-0.0431,326,-0.2006,210,-0.8729,695,1.01160,426,0.21488,700,1.02329,287,-0.4268,489,0.43484,369,-0.0120
ENSG00000049245,VAMP3,134,1.86352,162,2.22923,86,1.07147,25,-0.8556,52,0.27289,18,-1.3390,11,-2.0818,4,-3.4054,21,-1.1986,16,-1.5028,11,-2.0934
ENSG00000049246,PER3,58,0.44389,74,0.83161,42,-0.0615,20,-1.1809,36,-0.3082,32,-0.4724,135,1.88654,17,-1.3726,35,-0.3604,34,-0.3737,25,-0.9012
ENSG00000116288,PARK7,141,-1.1473,181,-0.7682,210,-0.5434,307,0.03688,320,0.10625,217,-0.4952,175,-0.8188,338,0.19077,477,0.83527,296,-0.0161,376,0.39621
ENSG00000116285,ERRFI1,0,-4.2690,18,0.12540,1,-3.7761,11,-0.5273,12,-0.5052,15,-0.0886,13,-0.3563,2,-2.8602,20,0.36983,31,1.05016,33,1.32969
ENSG00000162426,SLC45A1,0,-4.8608,7,-1.7348,29,0.25007,14,-0.8051,11,-1.2133,15,-0.7534,0,-6.1056,43,0.88152,30,0.33811,45,0.96143,47,1.19855
ENSG00000142599,RERE,60,-1.1275,153,0.29091,95,-0.4391,121,-0.0716,103,-0.3239,167,0.43079,318,1.51916,144,0.19610,122,-0.0678,90,-0.5332,77,-0.8136
ENSG00000074800,ENO1,236,-1.0084,264,-0.8376,437,-0.0688,317,-0.5606,891,1.08210,247,-0.9409,266,-0.8254,723,0.73301,459,0.00760,448,-0.0303,595,0.46372
ENSG00000171612,SLC25A33,53,0.93822,17,-0.8180,1,-4.0255,25,-0.2518,74,1.51528,16,-0.8978,9,-1.7960,66,1.31477,33,0.18780,16,-0.8946,19,-0.6806
ENSG00000171603,CLSTN1,354,-1.0831,139,-2.4636,773,0.11168,320,-1.2328,324,-1.2143,731,0.02568,483,-0.6142,631,-0.2046,920,0.42991,1698,1.41154,1031,0.63592
ENSG00000178585,CTNNBIP1,1,-4.7080,25,-0.3739,16,-1.0754,66,1.17575,48,0.63657,17,-0.9423,10,-1.6437,46,0.58297,53,0.92055,18,-0.8422,30,-0.0857
ENSG00000162441,LZIC,146,1.33755,172,1.62878,53,-0.3018,68,0.09675,84,0.41739,44,-0.5658,65,0.00438,27,-1.3244,39,-0.8208,15,-2.1338,42,-0.6905
ENSG00000130939,UBE4B,1,-5.3023,62,0.80805,87,1.39508,37,-0.0026,7,-2.4249,48,0.39763,14,-1.4235,6,-2.6990,40,0.13338,42,0.19781,49,0.49070
ENSG00000054523,KIF1B,99,-2.1479,692,0.81897,628,0.66076,449,0.12326,191,-1.1809,627,0.65774,538,0.41018,541,0.41925,237,-0.9180,442,0.09883,357,-0.2521
ENSG00000142657,PGD,0,-5.9759,47,-0.2173,81,0.65060,17,-1.7077,35,-0.6428,59,0.13291,51,-0.0716,106,1.08262,45,-0.3038,42,-0.3777,86,0.83348
ENSG00000241563,CORT,13,-2.4091,0,-7.3875,0,-7.9327,12,-2.4343,18,-1.9394,0,-9.5989,337,2.97002,339,2.98220,27,-1.4197,2,-4.7743,37,-0.9064
ENSG00000160049,DFFA,6,-3.1198,99,0.92348,46,-0.3031,62,0.16699,90,0.77722,54,-0.0527,118,1.22085,27,-1.0757,41,-0.4854,42,-0.4222,47,-0.2615
ENSG00000142655,PEX14,0,-4.4739,7,-1.3962,8,-1.2291,14,-0.4555,8,-1.2975,26,0.53193,6,-1.6428,58,1.87932,21,0.20849,26,0.48793,24,0.41160
ENSG00000120948,TARDBP,90,0.14351,127,0.69677,69,-0.2721,48,-0.8015,61,-0.4585,50,-0.7523,123,0.64849,64,-0.3876,70,-0.2640,128,0.70889,83,0.01724
ENSG00000116649,SRM,42,-0.2931,34,-0.6343,42,-0.3140,41,-0.3369,81,0.72496,28,-0.8937,36,-0.5523,25,-1.0533,70,0.55107,68,0.43166,64,0.39446
ENSG00000171824,EXOSC10,0,-5.2950,40,0.29133,33,-0.0346,21,-0.6941,52,0.68699,22,-0.6367,65,1.06601,14,-1.3440,42,0.40285,31,-0.1330,36,0.14305
ENSG00000198793,MTOR,70,0.70567,23,-0.9935,18,-1.3630,24,-0.9760,31,-0.5780,58,0.40667,27,-0.7821,58,0.40577,58,0.42714,32,-0.5198,64,0.62329
ENSG00000116661,FBXO2,133,-0.4386,43,-2.0975,21,-3.1566,231,0.42374,596,2.07188,73,-1.3434,57,-1.7105,66,-1.4766,239,0.53505,122,-0.5694,237,0.51583
ENSG00000132879,FBXO44,6,-3.9192,14,-2.7630,32,-1.5494,83,-0.1167,77,-0.2352,70,-0.3787,71,-0.3633,80,-0.1687,198,1.48916,98,0.14449,120,0.50292
ENSG00000011021,CLCN6,8,-2.8737,40,-0.6115,59,-0.0078,62,0.05790,48,-0.3356,58,-0.0370,29,-1.1060,34,-0.8613,69,0.24397,66,0.15614,117,1.23941
ENSG00000116685,KIAA2013,0,-5.3502,62,0.93074,96,1.68051,14,-1.3529,47,0.48331,17,-1.0653,39,0.18859,21,-0.7880,24,-0.5677,33,-0.0793,36,0.07462
ENSG00000083444,PLOD1,66,1.47187,20,-0.4389,20,-0.4819,13,-1.0371,24,-0.1453,4,-2.7687,48,0.91017,34,0.37793,24,-0.1518,26,-0.0360,22,-0.3094
ENSG00000116688,MFN2,109,-0.0970,65,-0.8852,86,-0.4556,98,-0.2636,75,-0.6708,118,0.03207,106,-0.1356,247,1.23123,109,-0.0961,117,0.01917,133,0.23955
ENSG00000048707,VPS13D,63,-0.3542,58,-0.4802,55,-0.5743,61,-0.4168,35,-1.2292,103,0.40923,71,-0.1692,112,0.54801,55,-0.5962,185,1.38502,89,0.20237
ENSG00000162496,DHRS3,32,0.60671,10,-1.0726,1,-3.6700,16,-0.4481,49,1.31559,11,-0.9628,42,1.06594,16,-0.4640,23,0.09129,12,-0.8776,23,0.08051
ENSG00000116731,PRDM2,88,-1.3312,192,-0.1530,286,0.46968,215,0.02298,100,-1.1446,491,1.37343,393,0.99370,107,-1.0476,150,-0.5726,279,0.43199,154,-0.5314
ENSG00000189337,KAZN,23,-1.5389,112,0.90427,74,0.22655,60,-0.0798,56,-0.2079,65,0.04298,55,-0.2247,94,0.62220,46,-0.5413,53,-0.2927,72,0.21154
ENSG00000142634,EFHD2,12,-2.8875,23,-1.9680,160,0.97001,64,-0.4748,23,-1.9638,57,-0.6456,8,-3.5266,146,0.81897,46,-1.0517,301,2.10237,126,0.63429
ENSG00000116138,DNAJC16,0,-5.2841,26,-0.3908,52,0.71042,14,-1.2889,8,-2.1348,45,0.47366,30,-0.1405,22,-0.5951,33,0.02061,54,0.79037,56,0.93947
ENSG00000197312,DDI2,24,-0.4927,35,0.07448,50,0.60966,28,-0.2603,10,-1.7689,47,0.51004,52,0.69474,23,-0.5743,24,-0.5211,40,0.25330,40,0.28109
ENSG00000116786,PLEKHM2,31,-1.8953,59,-0.9268,47,-1.2859,299,1.66961,113,0.05830,89,-0.3227,143,0.42815,155,0.55638,147,0.51562,38,-1.5794,76,-0.5900
ENSG00000065526,SPEN,235,0.60856,298,0.99451,179,0.16898,84,-0.9900,118,-0.4684,322,1.12728,465,1.78065,75,-1.1549,63,-1.5036,64,-1.3846,61,-1.5545
ENSG00000116809,ZBTB17,8,-1.4948,22,0.05147,33,0.73387,21,0.00951,23,0.12119,14,-0.5674,32,0.66729,8,-1.3787,26,0.38591,15,-0.4984,22,0.07490
ENSG00000055070,SZRD1,68,1.47029,49,0.92036,12,-1.2066,22,-0.3449,43,0.70712,20,-0.4575,43,0.70230,5,-2.5797,31,0.21037,8,-1.7936,13,-1.2205
ENSG00000219481,NBPF1,0,-4.3185,48,1.72808,18,0.14235,7,-1.2301,28,0.79910,10,-0.6911,17,0.03011,17,-0.0182,16,-0.0742,3,-2.3838,18,0.14941
ENSG00000159363,ATP13A2,15,-2.5527,15,-2.5475,51,-0.8190,94,0.12599,52,-0.7667,93,0.11775,51,-0.7959,72,-0.2745,142,0.88805,65,-0.4346,166,1.19397
ENSG00000117118,SDHB,81,0.48012,43,-0.4786,60,0.02788,65,0.13579,34,-0.8546,27,-1.1651,8,-2.9483,50,-0.2755,72,0.32119,28,-1.1588,117,1.24518
ENSG00000117115,PADI2,59,-0.2594,315,2.66033,186,1.61813,63,-0.1674,189,1.65230,12,-2.6448,19,-1.9561,4,-3.9602,15,-2.3863,2,-4.7097,15,-2.4029
ENSG00000179051,RCC2,0,-4.5486,20,0.05289,0,-6.9264,12,-0.7107,10,-0.9603,15,-0.4196,7,-1.5242,25,0.37769,40,1.29030,25,0.33981,31,0.78833
ENSG00000117154,IGSF21,5,-3.6059,13,-2.1428,70,0.32500,52,-0.1408,31,-0.9070,43,-0.4112,14,-2.0135,84,0.62323,80,0.60129,154,1.66139,55,-0.0477
ENSG00000127481,UBR4,38,0.20461,47,0.52769,24,-0.5016,15,-1.1717,26,-0.3849,65,1.05504,83,1.48607,27,-0.3400,23,-0.6156,8,-2.0308,28,-0.2932
ENSG00000127463,EMC1,0,-5.2382,29,-0.1581,61,1.02209,12,-1.4874,31,-0.0577,28,-0.2087,24,-0.4467,33,0.02345,37,0.24488,42,0.42306,42,0.45806
ENSG00000053372,MRTO4,1,-5.2607,17,-1.3292,13,-1.6782,46,0.18196,50,0.33122,33,-0.3424,51,0.34287,41,-0.0012,79,1.20390,35,-0.2251,43,0.10150
ENSG00000053371,AKR7A2,69,1.26810,30,-0.0441,41,0.40118,28,-0.1971,80,1.53823,8,-2.0123,16,-0.9739,6,-2.2903,27,-0.2634,14,-1.2323,31,-0.0114
ENSG00000077549,CAPZB,167,-0.2026,134,-0.5320,189,-0.0099,184,-0.0462,209,0.14924,148,-0.3840,126,-0.6277,223,0.25265,211,0.18443,209,0.15182,228,0.31819
ENSG00000173436,MICOS10,424,0.44937,246,-0.3985,162,-1.0297,549,0.87073,276,-0.2236,180,-0.8742,142,-1.2245,446,0.53355,391,0.35379,301,-0.0903,318,-0.0024
ENSG00000158747,NBL1,276,0.89418,20,-3.0538,183,0.23113,119,-0.4317,167,0.08431,48,-1.7774,104,-0.6410,256,0.77476,181,0.23796,160,0.01740,178,0.21143
ENSG00000169914,OTUD3,27,0.45902,10,-1.0163,1,-3.7139,34,0.82374,9,-1.1341,25,0.31416,9,-1.1704,26,0.38552,13,-0.7549,43,1.20746,26,0.45781
ENSG00000162545,CAMK2N1,762,-1.3686,1187,-0.7038,531,-1.9030,3895,1.18959,3666,1.08617,1672,-0.1784,2543,0.48273,1138,-0.7672,3107,0.91124,836,-1.2312,970,-1.0725
ENSG00000090432,MUL1,0,-4.3065,20,0.27272,46,1.68378,8,-1.0647,12,-0.5433,16,-0.0929,12,-0.4557,0,-6.1000,15,-0.1385,22,0.46389,24,0.67472
ENSG00000158828,PINK1,171,-1.3254,119,-1.8553,270,-0.6367,568,0.52431,196,-1.1202,356,-0.2143,219,-0.9494,449,0.15042,504,0.36491,698,0.86133,627,0.76655
ENSG00000244038,DDOST,49,0.77522,19,-0.7083,20,-0.5711,14,-1.1588,26,-0.2177,9,-1.7565,32,0.09263,7,-2.1966,32,0.11300,43,0.56886,53,1.04512
ENSG00000117245,KIF17,0,-4.8373,3,-3.0786,21,-0.2164,33,0.50768,19,-0.3290,15,-0.6946,7,-1.7239,11,-1.1179,18,-0.5052,78,1.95384,45,1.12616
ENSG00000189410,SH2D5,20,-0.8576,0,-7.4400,12,-1.5532,47,0.43775,36,0.00691,29,-0.3035,31,-0.1983,13,-1.5219,69,1.22600,51,0.57997,42,0.28081
ENSG00000127483,HP1BP3,211,-0.5428,479,0.74849,445,0.62843,156,-0.9937,166,-0.9005,520,0.88440,678,1.33733,266,-0.1861,177,-0.8585,183,-0.7582,219,-0.5209
ENSG00000075151,EIF4G3,85,-1.7007,286,0.12943,269,0.03310,148,-0.8807,98,-1.4956,650,1.48886,423,0.75716,217,-0.3011,172,-0.6973,203,-0.4017,350,0.49855
ENSG00000117298,ECE1,238,3.54467,28,-0.3979,29,-0.3734,14,-1.3895,46,0.34523,3,-3.6682,43,0.25412,2,-3.8742,20,-0.9356,10,-1.9404,12,-1.7919
ENSG00000076864,RAP1GAP,58,-1.3373,31,-2.2342,307,1.27943,57,-1.3595,53,-1.4668,73,-0.9864,79,-0.8827,165,0.25281,160,0.22790,316,1.32923,182,0.45115
ENSG00000090686,USP48,23,-1.9291,171,1.12775,194,1.34009,43,-1.0270,65,-0.4118,149,0.89966,97,0.20680,78,-0.1315,56,-0.7003,54,-0.7094,61,-0.5571
ENSG00000070831,CDC42,222,0.24554,224,0.25726,276,0.59487,96,-1.0373,99,-0.9877,120,-0.7080,122,-0.6774,232,0.31513,152,-0.3702,225,0.26494,275,0.65054
ENSG00000173369,C1QB,65,1.79071,13,-0.7278,0,-7.0747,29,0.44607,72,1.98942,13,-0.7759,43,1.07527,0,-6.4946,22,-0.0065,0,-6.7383,3,-2.7475
ENSG00000004487,KDM1A,16,-1.9004,36,-0.7000,61,0.09380,29,-1.0365,41,-0.4925,141,1.48136,88,0.69000,25,-1.2480,50,-0.2197,57,-0.0021,74,0.45696
ENSG00000169641,LUZP1,0,-7.2624,32,-2.1066,109,-0.2913,115,-0.2043,38,-1.8700,335,1.54307,337,1.55272,112,-0.2494,89,-0.6382,98,-0.4480,178,0.52581
ENSG00000125944,HNRNPR,23,-2.7806,254,0.86600,170,0.21890,106,-0.5147,118,-0.3483,209,0.54982,193,0.42054,154,0.06825,136,-0.1387,195,0.43392,114,-0.4307
ENSG00000142676,RPL11,1258,1.41572,786,0.62159,320,-0.7779,738,0.51873,784,0.61680,292,-0.9179,422,-0.3580,503,-0.0857,459,-0.2463,326,-0.7506,283,-1.0261
ENSG00000011007,ELOA,33,0.13829,57,0.98268,13,-1.3139,28,-0.1307,36,0.24300,43,0.54058,53,0.88576,21,-0.5903,17,-0.9073,43,0.52167,18,-0.8357
ENSG00000057757,PITHD1,81,-0.8145,89,-0.6694,122,-0.1923,104,-0.4385,83,-0.7719,105,-0.4254,75,-0.9382,144,0.06375,192,0.58198,167,0.29841,221,0.83903
ENSG00000011009,LYPLA2,1,-4.3069,5,-2.1414,34,0.51086,24,-0.0149,16,-0.6393,13,-0.9319,24,-0.0032,16,-0.6452,50,1.32321,13,-0.9583,35,0.64299
ENSG00000189266,PNRC2,72,0.33317,82,0.53607,72,0.31786,59,0.02223,82,0.53904,55,-0.0863,82,0.53956,31,-0.9470,56,-0.0615,41,-0.5541,35,-0.8310
ENSG00000188529,SRSF10,184,1.31384,93,0.18361,104,0.36474,44,-0.9467,81,-0.0226,68,-0.2911,104,0.37091,53,-0.6840,66,-0.3666,81,-0.0296,63,-0.4377
ENSG00000001461,NIPAL3,5,-4.7554,402,1.70714,328,1.34395,85,-0.8045,69,-1.1076,179,0.34286,82,-0.8638,122,-0.2565,76,-1.0269,170,0.26199,139,-0.0623
ENSG00000133226,SRRM1,289,0.53558,375,0.96033,228,0.15811,122,-0.8053,167,-0.3258,321,0.70763,487,1.41047,92,-1.2223,100,-1.1731,142,-0.5695,129,-0.7696
ENSG00000169504,CLIC4,481,3.18140,317,2.25251,134,0.71084,27,-1.7074,70,-0.3149,4,-4.3816,28,-1.6879,0,-8.3481,8,-3.4944,14,-2.7090,10,-3.1812
ENSG00000117614,SYF2,396,1.51018,180,0.19976,155,-0.0351,112,-0.5356,112,-0.5404,156,-0.0215,324,1.15920,126,-0.3599,75,-1.2001,137,-0.2275,107,-0.6548
ENSG00000117616,RSRP1,32,-1.0785,133,1.13499,145,1.27866,15,-2.2255,59,-0.1663,63,-0.0682,90,0.49455,35,-0.9436,58,-0.2030,76,0.22923,46,-0.6030
ENSG00000183726,TMEM50A,69,-0.0268,117,0.80489,150,1.22621,24,-1.6166,73,0.06109,55,-0.3913,43,-0.7381,59,-0.2592,68,-0.0570,53,-0.4477,68,-0.0549
ENSG00000204178,MACO1,0,-6.1170,86,0.59749,107,0.95224,31,-0.9763,40,-0.5864,87,0.61227,170,1.75640,38,-0.6781,32,-0.9860,40,-0.5859,52,-0.2091
ENSG00000117643,MAN1C1,29,-0.2550,5,-2.6909,9,-1.9814,20,-0.8043,42,0.33270,28,-0.3050,30,-0.1994,24,-0.5180,72,1.37651,36,0.08399,39,0.20339
ENSG00000162430,SELENON,83,1.72672,14,-1.0756,20,-0.5656,23,-0.3482,84,1.74698,16,-0.8909,23,-0.3765,0,-6.8985,39,0.49525,4,-2.8342,17,-0.8282
ENSG00000117640,MTFR1L,4,-3.7257,24,-1.3306,47,-0.3254,69,0.25077,44,-0.4442,46,-0.3745,102,0.89776,81,0.51818,76,0.45313,55,-0.0868,68,0.25138
ENSG00000117632,STMN1,506,-1.4774,1247,-0.1121,1661,0.33952,893,-0.6235,399,-1.8263,1203,-0.1675,610,-1.1977,1632,0.31163,1565,0.26912,1715,0.39043,2209,0.90232
ENSG00000158008,EXTL1,26,-0.5461,4,-3.0588,22,-0.8049,57,0.67080,15,-1.3612,29,-0.3600,22,-0.7911,43,0.22060,64,0.97786,63,0.84503,37,-0.0122
