Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000160097,FNDC5,11,-1.6286,37,0.89613,33,0.10605,15,-1.1213
ENSG00000121905,HPCA,8,-4.4815,231,1.69218,160,-0.1710,45,-2.0910
ENSG00000121900,TMEM54,19,-0.8814,28,-0.7002,65,1.07439,55,0.77617
ENSG00000116514,RNF19B,9,-1.2028,26,1.20378,11,-1.0216,13,-0.7575
ENSG00000004455,AK2,59,0.88579,25,-1.1492,41,0.26148,65,1.07009
ENSG00000142920,AZIN2,19,0.07012,22,0.90169,6,-1.7064,9,-1.0154
ENSG00000160094,ZNF362,17,-0.4732,21,-0.2056,29,0.42821,28,0.37070
ENSG00000134686,PHC2,91,0.92143,46,-0.5039,48,-0.1409,57,0.14757
ENSG00000163866,SMIM12,31,-1.1443,76,0.91723,40,-0.7388,50,-0.4073
ENSG00000116544,DLGAP3,3,-3.7247,36,-0.2034,68,1.01100,52,0.55085
ENSG00000163867,ZMYM6,27,0.12092,22,-0.4440,27,0.12843,37,0.66033
ENSG00000116560,SFPQ,319,0.71907,191,-0.3256,191,-0.1340,210,0.01754
ENSG00000146463,ZMYM4,69,0.04451,66,-0.0421,93,0.53542,43,-0.6821
ENSG00000142687,KIAA0319L,39,-0.8816,75,0.39056,58,-0.2765,74,0.11216
ENSG00000020129,NCDN,62,-3.2764,731,2.18763,219,-1.4037,199,-1.5458
ENSG00000126067,PSMB2,98,0.10984,99,0.32387,79,-0.2350,58,-0.7191
ENSG00000142686,C1orf216,18,-2.6439,136,1.78924,65,-0.7275,34,-1.7190
ENSG00000134698,AGO4,19,0.10263,16,-0.4557,31,0.87515,17,-0.1389
ENSG00000092847,AGO1,36,-0.0487,33,-0.4539,49,0.44701,52,0.53212
ENSG00000126070,AGO3,117,1.58949,34,-1.0996,38,-0.3626,66,0.55671
ENSG00000116863,ADPRHL2,29,0.66179,19,0.00619,13,-0.5897,15,-0.3275
ENSG00000054116,TRAPPC3,17,-1.5539,54,0.67714,45,-0.0644,38,-0.3273
ENSG00000116871,MAP7D1,286,0.43991,226,0.14555,173,-0.3795,155,-0.5500
ENSG00000054118,THRAP3,212,0.44944,159,-0.0786,138,-0.2493,152,-0.0977
ENSG00000196182,STK40,2,-2.5973,15,-0.1572,19,0.30235,29,1.03744
ENSG00000181817,LSM10,17,-1.2491,41,0.29625,42,0.17313,40,0.06825
ENSG00000116885,OSCP1,10,-0.7763,20,0.58506,16,-0.1094,12,-0.5605
ENSG00000116898,MRPS15,30,-0.9494,66,1.03878,40,-0.4983,26,-1.1408
ENSG00000163873,GRIK3,5,-1.6238,18,1.25041,12,-0.2998,5,-1.4934
ENSG00000163875,MEAF6,66,-0.8241,128,0.65949,112,-0.0057,64,-0.8756
ENSG00000163877,SNIP1,15,-0.3412,22,0.88252,9,-1.0803,11,-0.7830
ENSG00000134697,GNL2,33,0.33233,27,-0.0090,17,-0.7258,31,0.23795
ENSG00000116922,C1orf109,9,-0.7175,19,1.27884,7,-1.0855,6,-1.4215
ENSG00000185090,MANEAL,8,-1.2747,24,1.21587,17,-0.2458,5,-1.8893
ENSG00000197982,C1orf122,261,0.83567,121,-0.9531,235,0.64671,209,0.44951
ENSG00000188786,MTF1,41,1.69923,11,-1.1546,14,-0.1340,19,0.33003
ENSG00000183431,SF3A3,51,-0.0458,58,0.42871,47,-0.1677,30,-0.9019
ENSG00000183520,UTP11,66,0.73328,42,-0.0912,51,0.28226,16,-1.4577
ENSG00000185668,POU3F1,1,-3.8088,28,2.47398,10,-1.0604,3,-2.8382
ENSG00000116954,RRAGC,68,0.34877,53,-0.1563,44,-0.3544,65,0.27583
ENSG00000174574,AKIRIN1,96,-0.0564,107,0.37638,84,-0.2560,68,-0.6035
ENSG00000168653,NDUFS5,300,-1.2322,736,0.52577,737,0.17940,495,-0.4609
ENSG00000127603,MACF1,525,1.02218,212,-1.0480,289,0.00462,504,0.94914
ENSG00000090621,PABPC4,86,0.58858,47,-0.8918,76,0.39311,99,0.83210
ENSG00000116983,HPCAL4,67,-2.1920,302,0.31179,394,0.55427,268,-0.0848
ENSG00000084072,PPIE,30,-0.1484,35,0.40323,23,-0.5497,27,-0.2631
ENSG00000168389,MFSD2A,23,0.65652,10,-1.3984,28,1.03417,28,1.00166
ENSG00000131236,CAP1,214,0.36878,172,0.04577,112,-0.6671,176,0.04697
ENSG00000131238,PPT1,92,-0.8266,172,0.47458,119,-0.4248,159,0.03597
ENSG00000117000,RLF,33,0.25881,29,0.11540,22,-0.4064,25,-0.1777
ENSG00000259943,AL050341.2,17,0.02812,17,0.14488,10,-0.8711,21,0.31262
ENSG00000084073,ZMPSTE24,56,0.70100,36,-0.1210,20,-0.9353,40,0.15258
ENSG00000049089,COL9A2,80,3.29661,3,-3.4548,19,0.33595,22,0.58874
ENSG00000084070,SMAP2,56,-1.5277,186,1.18164,137,-0.1560,52,-1.6542
ENSG00000117016,RIMS3,16,-3.9273,259,0.87247,274,0.36125,135,-0.7763
ENSG00000066136,NFYC,27,-0.4678,41,0.65855,18,-1.1040,33,-0.1269
ENSG00000179862,CITED4,11,-0.2356,17,1.65400,2,-2.3484,2,-2.8391
ENSG00000171793,CTPS1,5,-1.8099,21,1.59290,6,-1.4917,9,-0.8415
ENSG00000127124,HIVEP3,20,-0.0161,19,-0.2687,33,0.83410,15,-0.4529
ENSG00000198815,FOXJ3,26,-1.0339,56,0.42352,52,0.03284,46,-0.1595
ENSG00000177181,RIMKLA,8,-2.7545,64,1.03629,71,0.46428,14,-1.9791
ENSG00000127125,PPCS,58,-0.1724,66,0.12828,72,0.17136,53,-0.3267
ENSG00000186409,CCDC30,27,-0.7865,44,-0.0120,71,0.79329,35,-0.3454
ENSG00000171960,PPIH,16,0.12969,16,0.60292,6,-1.3431,10,-0.5154
ENSG00000065978,YBX1,266,1.38886,64,-1.8509,165,0.53454,262,1.36381
ENSG00000164008,C1orf50,17,-0.1819,21,0.31364,17,-0.1798,15,-0.3689
ENSG00000177868,SVBP,48,-0.0839,53,0.14425,57,0.18920,37,-0.4990
ENSG00000117394,SLC2A1,48,-0.0227,30,-1.4965,46,-0.0991,165,2.23922
ENSG00000117395,EBNA1BP2,67,-0.7114,121,0.67953,117,0.16917,41,-1.4498
ENSG00000179178,TMEM125,152,5.44602,3,-3.9571,3,-2.7196,4,-2.4502
ENSG00000066322,ELOVL1,249,4.45093,6,-3.9136,15,-1.3612,35,-0.1028
ENSG00000159479,MED8,11,-1.1823,28,1.10545,15,-0.7014,13,-0.8470
ENSG00000178922,HYI,20,0.35059,11,-1.3006,20,0.36020,40,1.60996
ENSG00000142949,PTPRF,98,-0.1576,120,0.47581,59,-0.9573,101,-0.1192
ENSG00000066135,KDM4A,29,0.41165,24,0.27178,10,-1.1876,20,-0.1979
ENSG00000126091,ST3GAL3,4,-2.9891,37,0.57334,21,-0.6853,48,0.64901
ENSG00000117408,IPO13,154,1.81067,43,-0.8890,32,-0.8645,56,0.00861
ENSG00000117410,ATP6V0B,225,-0.7583,450,1.25199,145,-1.4276,197,-0.9621
ENSG00000117411,B4GALT2,35,-0.8529,49,-0.7860,114,1.08371,103,0.89698
ENSG00000159214,CCDC24,6,-1.3365,16,0.85201,14,-0.0004,7,-1.0038
ENSG00000178028,DMAP1,43,-0.2994,58,0.52177,33,-0.7201,45,-0.2423
ENSG00000117419,ERI3,61,-0.8900,120,0.56260,80,-0.4747,103,-0.0580
ENSG00000187147,RNF220,140,0.29182,120,0.12515,116,-0.0197,76,-0.6911
ENSG00000142937,RPS8,1680,0.88613,725,-1.0807,1496,0.68322,1424,0.59853
ENSG00000070785,EIF2B3,31,-0.0670,38,0.70230,15,-1.1813,22,-0.5993
ENSG00000126107,HECTD3,16,0.23410,13,-0.2972,10,-0.5598,22,0.75520
ENSG00000126088,UROD,55,-0.6438,91,0.43787,62,-0.4484,83,0.00726
ENSG00000117450,PRDX1,367,0.32546,239,-0.8284,161,-0.9829,747,1.60432
ENSG00000117448,AKR1A1,50,0.01665,48,-0.1167,38,-0.4309,69,0.54724
ENSG00000132780,NASP,162,1.64648,44,-1.1983,51,-0.3510,94,0.64813
ENSG00000159592,GPBP1L1,49,0.49371,34,-0.2975,32,-0.2097,44,0.30051
ENSG00000159596,TMEM69,9,-0.6592,15,0.73116,7,-0.9519,12,-0.2113
ENSG00000086015,MAST2,15,-0.7244,23,-0.2177,41,0.85253,25,0.03023
ENSG00000117461,PIK3R3,9,-1.6224,24,-0.5056,55,1.17687,39,0.56229
ENSG00000085998,POMGNT1,73,0.56306,51,-0.1017,35,-0.6340,56,0.10859
ENSG00000132128,LRRC41,26,-0.4551,42,0.92516,22,-0.7175,17,-1.1244
ENSG00000173660,UQCRH,153,-1.7503,554,0.79381,581,0.32776,224,-1.1761
ENSG00000117481,NSUN4,23,0.15829,21,0.03328,22,0.02542,18,-0.2867
