Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to9,Feature log2 fold change topic 6to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000158109,TPRG1L,86,-0.5864,69,-0.9110,53,-1.3222,134,0.09646,129,0.04420,126,0.00088,113,-0.1785,206,0.87579
ENSG00000130764,LRRC47,57,-0.0944,37,-0.7677,97,0.75406,59,-0.0411,64,0.13151,35,-0.8455,58,-0.0741,64,0.09308
ENSG00000116198,CEP104,154,1.64170,102,0.92721,56,-0.0349,50,-0.2116,47,-0.3861,26,-1.1968,42,-0.4801,37,-0.6993
ENSG00000196581,AJAP1,0,-7.3639,23,-1.2738,25,-1.1746,74,0.52360,91,1.22480,44,-0.3461,35,-0.6697,36,-0.6700
ENSG00000069424,KCNAB2,54,-1.6880,37,-2.2596,99,-0.7900,193,0.25317,186,0.23584,177,0.09328,145,-0.2176,262,0.80853
ENSG00000116254,CHD5,250,-0.6726,110,-1.8961,299,-0.4010,664,0.97756,388,0.00531,559,0.58399,220,-0.8654,358,-0.1337
ENSG00000116251,RPL22,428,-0.0794,595,0.44201,380,-0.2628,237,-1.0441,443,-0.0349,538,0.28037,586,0.41538,541,0.31784
ENSG00000116237,ICMT,55,0.63513,11,-1.7403,46,0.36088,40,0.15250,35,-0.1209,31,-0.2648,34,-0.1331,41,0.17882
ENSG00000097021,ACOT7,48,-1.1108,21,-2.3398,92,-0.1421,139,0.56934,131,0.57945,46,-1.1688,32,-1.7133,134,0.49851
ENSG00000215788,TNFRSF25,0,-6.6188,3,-3.2994,12,-1.4823,61,1.12007,48,0.84133,30,-0.1595,23,-0.5258,24,-0.5407
ENSG00000171680,PLEKHG5,8,-2.0456,0,-7.4680,14,-1.3536,48,0.57547,43,0.51022,33,-0.0561,23,-0.6108,49,0.64522
ENSG00000162408,NOL9,66,0.69845,31,-0.4823,15,-1.5717,54,0.40342,41,-0.0841,40,-0.1171,39,-0.1360,46,0.13273
ENSG00000162413,KLHL21,27,-0.5181,31,-0.2777,66,0.88566,33,-0.2254,32,-0.3083,34,-0.1566,49,0.41876,44,0.25971
ENSG00000116273,PHF13,36,0.97530,16,-0.2961,48,1.46930,18,-0.1715,12,-0.9490,17,-0.2346,11,-0.7972,22,0.17350
ENSG00000007923,DNAJC11,16,-0.9491,27,-0.1905,33,0.10478,40,0.43802,23,-0.5529,42,0.49191,45,0.57375,33,0.09849
ENSG00000171735,CAMTA1,110,-2.2191,150,-1.7675,335,-0.5621,658,0.54383,676,0.76853,367,-0.4246,404,-0.2767,445,-0.1371
ENSG00000049245,VAMP3,35,0.36862,88,1.93778,84,1.85355,7,-2.0633,9,-1.8830,21,-0.3953,26,-0.0859,26,-0.0680
ENSG00000049246,PER3,51,0.24500,51,0.26023,35,-0.3173,37,-0.2836,40,-0.1410,34,-0.3749,66,0.65699,46,0.09841
ENSG00000116288,PARK7,86,-1.1432,128,-0.5488,193,0.08872,90,-1.1496,206,0.26213,136,-0.4531,347,1.03894,239,0.47152
ENSG00000116285,ERRFI1,116,2.34309,13,-1.2269,1,-4.6302,34,0.22728,21,-0.6280,25,-0.2473,21,-0.5525,28,-0.0785
ENSG00000162426,SLC45A1,20,-0.0533,3,-2.8570,11,-0.9363,22,0.11950,26,0.44885,18,-0.2567,24,0.21939,24,0.23631
ENSG00000142599,RERE,319,0.79473,298,0.68448,168,-0.2201,193,-0.0050,161,-0.3702,212,0.14237,178,-0.1308,157,-0.3531
ENSG00000074800,ENO1,203,-0.9262,270,-0.4947,264,-0.5293,301,-0.3548,252,-0.7521,289,-0.3882,910,1.47695,643,0.99625
ENSG00000049239,H6PD,65,1.94250,74,2.19372,31,0.65603,15,-0.4518,6,-2.1707,22,0.09100,9,-1.2018,5,-2.0641
ENSG00000171612,SLC25A33,12,-1.2142,16,-0.7426,8,-1.7302,21,-0.4238,22,-0.3885,30,0.16828,64,1.40582,45,0.90568
ENSG00000171603,CLSTN1,180,-1.7814,196,-1.6544,562,-0.0623,679,0.25934,726,0.47729,413,-0.5372,333,-0.8612,827,0.61246
ENSG00000178585,CTNNBIP1,0,-6.1076,21,-0.1238,47,1.16607,20,-0.2377,16,-0.6934,40,0.89338,20,-0.1855,32,0.62260
ENSG00000162441,LZIC,67,0.02919,143,1.27898,112,0.86880,41,-0.7650,52,-0.4522,56,-0.2353,73,0.17482,54,-0.3164
ENSG00000130939,UBE4B,16,-1.4096,37,-0.1208,53,0.41144,59,0.65821,40,-0.0304,28,-0.5376,30,-0.4606,42,0.07859
ENSG00000054523,KIF1B,121,-1.8791,653,0.69975,573,0.48767,502,0.30357,380,-0.2104,456,0.12458,387,-0.1317,381,-0.1685
ENSG00000142657,PGD,0,-6.9059,29,-0.6160,65,0.65412,50,0.26954,40,-0.1213,35,-0.3202,47,0.15479,60,0.58678
ENSG00000160049,DFFA,152,1.11783,132,0.88394,89,0.24407,61,-0.3713,52,-0.7224,81,0.10053,91,0.28259,56,-0.4954
ENSG00000142655,PEX14,0,-5.7353,6,-1.4694,6,-1.4656,17,-0.0199,20,0.25320,13,-0.4381,29,0.79828,29,0.92845
ENSG00000120948,TARDBP,87,0.15785,75,-0.0721,78,-0.0207,83,0.08520,82,0.09899,64,-0.3240,83,0.09327,70,-0.1916
ENSG00000116649,SRM,22,-1.2281,37,-0.4385,59,0.28567,51,0.07400,49,0.01174,51,0.06172,58,0.26029,56,0.21906
ENSG00000171824,EXOSC10,75,1.22102,45,0.37402,42,0.27432,43,0.33836,22,-0.8858,25,-0.5198,40,0.19483,29,-0.3411
ENSG00000198793,MTOR,0,-6.7668,30,-0.2611,27,-0.4441,37,0.04390,51,0.78402,24,-0.5902,33,-0.1536,38,0.09899
ENSG00000116661,FBXO2,49,-1.6205,108,-0.4481,57,-1.4078,90,-0.7802,156,0.14833,196,0.47700,290,1.12177,191,0.48109
ENSG00000132879,FBXO44,9,-3.4514,24,-2.0511,124,0.40853,161,0.93888,89,-0.1488,88,-0.1249,53,-0.8977,134,0.58844
ENSG00000177000,MTHFR,52,0.77420,31,-0.0333,58,0.97362,40,0.38305,22,-0.7335,37,0.25125,17,-0.9688,26,-0.3390
ENSG00000011021,CLCN6,20,-2.0035,35,-1.1569,62,-0.3086,97,0.43773,56,-0.5729,105,0.52826,46,-0.7405,147,1.22421
ENSG00000116685,KIAA2013,43,0.33566,32,-0.1586,76,1.25406,40,0.22609,18,-1.1856,17,-1.0614,30,-0.2239,52,0.68131
ENSG00000083444,PLOD1,35,0.73334,23,0.04493,41,0.98151,19,-0.2788,14,-0.8218,23,0.04069,31,0.51766,20,-0.1465
ENSG00000116688,MFN2,100,-0.0225,95,-0.0974,47,-1.1742,104,0.04865,112,0.20689,109,0.10705,67,-0.6266,122,0.32390
ENSG00000048707,VPS13D,120,0.81302,38,-0.9776,74,0.04168,102,0.59945,54,-0.5709,63,-0.2072,66,-0.1463,80,0.16243
ENSG00000162496,DHRS3,103,1.71465,51,0.53096,33,-0.1662,32,-0.2090,14,-1.6726,23,-0.7209,63,0.87313,40,0.16997
ENSG00000116731,PRDM2,301,0.02315,251,-0.2574,163,-0.9187,377,0.41844,410,0.73111,233,-0.3751,161,-0.9311,178,-0.8390
ENSG00000189337,KAZN,93,0.52247,120,0.93999,100,0.63465,66,-0.0277,66,-0.0117,47,-0.5455,43,-0.6869,35,-1.0612
ENSG00000142634,EFHD2,9,-3.1732,44,-0.8330,170,1.30727,146,1.19363,14,-2.8058,108,0.56223,9,-3.0970,150,1.25416
ENSG00000116138,DNAJC16,12,-1.6092,14,-1.3973,64,0.92750,49,0.52991,42,0.34634,25,-0.5461,30,-0.2854,28,-0.4290
ENSG00000197312,DDI2,49,0.11517,53,0.23532,40,-0.2195,59,0.45111,48,0.08913,33,-0.4741,29,-0.6923,40,-0.2158
ENSG00000116786,PLEKHM2,68,-0.9233,112,-0.1601,40,-1.6926,129,0.05786,109,-0.2659,284,1.35005,116,-0.1073,152,0.34248
ENSG00000065526,SPEN,876,1.97501,396,0.59199,278,0.02901,236,-0.2457,265,-0.0554,155,-0.8664,196,-0.5054,56,-2.4785
ENSG00000116809,ZBTB17,33,0.34282,30,0.21731,26,0.01435,34,0.45983,21,-0.3990,27,0.03422,16,-0.7598,27,0.07574
ENSG00000037637,FBXO42,26,-0.0209,27,0.02254,45,0.81112,50,1.15078,19,-0.6012,16,-0.8086,10,-1.4270,22,-0.2979
ENSG00000055070,SZRD1,129,1.90064,56,0.46659,24,-0.8105,30,-0.5278,20,-1.3308,64,0.68808,45,0.12897,41,-0.0425
ENSG00000058453,CROCC,16,-0.1985,8,-1.1507,24,0.43192,29,0.86375,7,-1.6399,22,0.32848,22,0.30069,28,0.74719
ENSG00000159363,ATP13A2,33,-1.0370,28,-1.2818,24,-1.4729,101,0.80364,65,0.00918,82,0.36541,43,-0.6110,84,0.45988
ENSG00000117118,SDHB,29,-0.8187,13,-1.9743,82,0.79122,50,0.02244,53,0.13062,29,-0.8182,58,0.24540,62,0.36623
ENSG00000117115,PADI2,16,-2.1153,215,2.01990,212,1.98831,23,-1.6176,15,-2.4777,62,-0.0747,116,0.91791,60,-0.1490
ENSG00000179051,RCC2,31,0.12876,13,-1.1390,43,0.66690,40,0.61394,29,0.06716,23,-0.3095,15,-0.9893,23,-0.3542
ENSG00000074964,ARHGEF10L,113,2.75432,17,-0.5063,7,-1.8160,24,0.02161,10,-1.5864,14,-0.8387,20,-0.2868,26,0.15514
ENSG00000117154,IGSF21,25,-1.6260,8,-3.3000,87,0.24375,95,0.42403,84,0.24805,44,-0.8143,49,-0.6289,115,0.77708
ENSG00000159423,ALDH4A1,7,-1.7494,25,0.04723,24,-0.0371,24,0.00464,6,-2.3638,36,0.63603,61,1.52102,44,1.09698
ENSG00000127481,UBR4,128,1.38029,79,0.56499,69,0.34983,81,0.68464,43,-0.4855,40,-0.4786,35,-0.6805,15,-2.0155
ENSG00000127463,EMC1,2,-3.9832,31,-0.1823,62,0.89851,42,0.29592,30,-0.3302,32,-0.1460,41,0.22682,43,0.36117
ENSG00000053372,MRTO4,31,-0.1708,21,-0.7101,23,-0.6116,45,0.49662,28,-0.3879,46,0.46786,36,0.08830,42,0.35313
ENSG00000053371,AKR7A2,39,0.35643,62,1.10854,42,0.48582,18,-0.8319,16,-1.1838,24,-0.4122,82,1.60804,26,-0.2961
ENSG00000077549,CAPZB,133,-0.1282,100,-0.5559,111,-0.4009,164,0.22051,143,-0.0136,110,-0.4199,149,0.04698,186,0.43913
ENSG00000173436,MICOS10,128,-0.9648,142,-0.8092,118,-1.0894,134,-0.9540,222,-0.1595,343,0.56534,330,0.49951,454,1.17013
ENSG00000158747,NBL1,208,0.60475,74,-0.9847,184,0.41055,187,0.48020,94,-0.8009,173,0.31156,109,-0.4062,175,0.35755
ENSG00000169914,OTUD3,1,-4.3929,3,-2.8072,14,-0.5992,34,0.87720,32,0.99893,11,-0.8973,18,-0.2061,13,-0.6915
ENSG00000162545,CAMK2N1,615,-1.5972,533,-1.8068,469,-1.9955,494,-2.0124,3523,1.83975,1686,-0.0708,2864,0.77529,848,-1.1864
ENSG00000090432,MUL1,11,-0.6427,16,-0.0465,25,0.61118,16,-0.0799,17,-0.0522,12,-0.4680,19,0.21100,19,0.17333
ENSG00000158828,PINK1,32,-3.1756,195,-0.5340,172,-0.7264,250,-0.1653,299,0.17035,304,0.15293,296,0.11288,445,0.85993
ENSG00000244038,DDOST,17,0.01709,7,-1.2099,17,-0.0362,12,-0.5771,14,-0.3410,7,-1.2639,33,1.05232,29,0.97317
ENSG00000117245,KIF17,1,-4.4476,0,-7.8254,24,0.04072,39,0.94858,25,0.15970,20,-0.1926,11,-1.0422,33,0.62088
ENSG00000189410,SH2D5,0,-6.0071,3,-2.9518,8,-1.8719,30,0.13409,36,0.59869,37,0.46889,26,-0.0768,40,0.63789
ENSG00000127483,HP1BP3,643,0.99611,475,0.49830,345,-0.0100,272,-0.4066,395,0.27640,257,-0.4635,330,-0.0769,169,-1.1656
ENSG00000075151,EIF4G3,132,-1.0119,180,-0.5399,203,-0.3549,319,0.38652,405,1.09724,115,-1.2093,155,-0.7679,139,-0.9864
ENSG00000117298,ECE1,331,3.97730,51,0.21156,43,-0.0474,15,-1.6631,10,-2.4656,26,-0.8323,30,-0.5856,12,-1.9912
ENSG00000076864,RAP1GAP,24,-2.0267,20,-2.2615,141,0.67484,145,0.81967,65,-0.6839,105,0.21082,68,-0.4621,144,0.80292
ENSG00000090686,USP48,171,0.82642,152,0.63282,132,0.40125,107,0.07484,101,-0.0219,68,-0.6204,54,-0.9808,67,-0.7014
ENSG00000070831,CDC42,176,0.12277,128,-0.3797,254,0.70336,179,0.15831,135,-0.3772,103,-0.7067,120,-0.4789,221,0.53510
ENSG00000133216,EPHB2,0,-5.5926,31,1.09034,0,-6.6371,21,0.45910,27,1.26697,7,-1.1752,8,-1.0371,5,-1.6334
ENSG00000004487,KDM1A,30,-0.7471,29,-0.8098,68,0.50648,50,0.00401,66,0.62957,34,-0.5536,50,0.01638,35,-0.5812
ENSG00000169641,LUZP1,233,0.28013,46,-2.1591,101,-1.0053,238,0.35196,295,0.97052,105,-0.9454,111,-0.8577,140,-0.5474
ENSG00000125944,HNRNPR,164,0.35063,157,0.27678,105,-0.3450,131,-0.0089,154,0.34895,85,-0.6753,105,-0.3390,106,-0.3507
ENSG00000117318,ID3,142,3.21554,29,0.25478,18,-0.5146,3,-2.9251,8,-1.9892,42,0.83789,34,0.51260,9,-1.5577
ENSG00000142676,RPL11,282,-0.4426,497,0.44023,454,0.29672,142,-1.5590,327,-0.2825,479,0.38072,533,0.55165,527,0.59389
ENSG00000011007,ELOA,74,1.08763,54,0.57406,18,-1.1096,31,-0.3061,42,0.22207,31,-0.3116,30,-0.3649,26,-0.5763
ENSG00000057757,PITHD1,28,-1.9220,71,-0.5797,70,-0.5933,113,0.15814,114,0.20610,63,-0.7459,85,-0.2989,171,0.91235
ENSG00000011009,LYPLA2,10,-1.4193,6,-2.1589,29,0.12161,27,0.00682,26,-0.1120,32,0.25026,24,-0.1914,47,0.98238
ENSG00000189266,PNRC2,58,-0.2119,35,-0.9630,50,-0.4219,38,-0.9096,96,0.86575,58,-0.1916,92,0.51840,53,-0.3750
ENSG00000188529,SRSF10,189,1.26018,83,-0.0701,123,0.54483,92,0.08650,78,-0.2269,50,-0.8277,49,-0.8783,71,-0.3292
ENSG00000001461,NIPAL3,45,-1.4700,286,1.43008,274,1.34879,96,-0.3759,103,-0.3011,90,-0.4343,73,-0.7623,93,-0.4226
ENSG00000133226,SRRM1,1204,1.95033,1171,1.89861,384,0.01556,385,0.02240,245,-0.8434,132,-1.5944,168,-1.2394,65,-2.7504
ENSG00000169504,CLIC4,212,2.03939,153,1.43613,269,2.51682,6,-3.5355,11,-2.8940,33,-0.9876,30,-1.1535,37,-0.8850
ENSG00000117614,SYF2,289,0.98756,171,0.13573,68,-1.2700,106,-0.6443,183,0.33289,127,-0.3251,222,0.55106,108,-0.6070
ENSG00000117616,RSRP1,87,0.08699,72,-0.2109,92,0.18645,109,0.49939,81,-0.0154,39,-1.1283,69,-0.2744,82,8.34118
ENSG00000183726,TMEM50A,75,-0.1590,41,-1.0728,114,0.50146,70,-0.2743,95,0.29445,56,-0.5909,75,-0.1622,98,0.28860
ENSG00000204178,MACO1,119,0.66186,90,0.20472,43,-0.9050,77,-0.0396,113,0.83626,33,-1.2989,53,-0.6070,39,-1.1461
ENSG00000117643,MAN1C1,19,-1.2011,7,-2.5070,7,-2.5371,28,-0.6807,78,1.58086,19,-1.2126,30,-0.5226,48,0.21517
ENSG00000162430,SELENON,29,-0.0739,51,0.81158,14,-1.1493,27,-0.1741,22,-0.5759,42,0.51150,34,0.16381,40,0.48465
ENSG00000117640,MTFR1L,67,0.06256,42,-0.6317,44,-0.5916,85,0.49169,56,-0.2711,77,0.29237,58,-0.1674,76,0.29187
ENSG00000117632,STMN1,119,-2.5750,493,-0.4681,1184,0.92207,823,0.36373,682,0.04395,424,-0.6972,320,-1.1183,882,0.48946
ENSG00000158008,EXTL1,0,-6.1817,24,-0.6934,31,-0.3032,44,0.27014,37,-0.0551,37,-0.0205,26,-0.5413,69,1.07581
ENSG00000175087,PDIK1L,0,-5.6652,17,0.04390,7,-1.3055,37,1.51371,10,-0.9652,25,0.62587,6,-1.5160,24,0.60987
ENSG00000142684,ZNF593,14,-0.7591,25,0.07205,21,-0.1587,18,-0.4677,19,-0.4190,32,0.46170,28,0.25897,38,0.82613
ENSG00000142669,SH3BGRL3,85,-0.6673,135,0.03932,201,0.67861,97,-0.4970,107,-0.4151,129,-0.0359,142,0.12036,198,0.72626
ENSG00000198830,HMGN2,197,0.40685,191,0.35941,185,0.30812,104,-0.6329,134,-0.2498,136,-0.1712,260,0.85897,132,-0.2429
ENSG00000117713,ARID1A,141,0.50984,113,0.16043,173,0.84519,111,0.14092,95,-0.1455,84,-0.3086,96,-0.0925,59,-0.8897
ENSG00000204160,ZDHHC18,15,-0.5041,14,-0.5668,23,0.18262,35,0.93036,14,-0.7260,15,-0.4984,9,-1.1585,33,0.82813
ENSG00000142751,GPN2,24,0.01032,29,0.30491,8,-1.5218,29,0.32792,20,-0.3582,32,0.44749,25,0.08394,27,0.21798
ENSG00000090273,NUDC,76,-1.4600,144,-0.4963,191,-0.0601,142,-0.5508,260,0.59838,163,-0.3027,225,0.19815,229,0.24838
ENSG00000253368,TRNP1,21,-0.7580,3,-3.3225,12,-1.6163,43,0.36721,42,0.41117,34,-0.0522,30,-0.2387,50,0.60405
ENSG00000090020,SLC9A1,12,-0.6801,3,-2.7679,2,-3.2523,51,1.91007,15,-0.4537,22,0.20363,11,-0.8253,18,-0.0844
ENSG00000142784,WDTC1,37,-0.0374,26,-0.5753,51,0.48291,33,-0.2368,33,-0.2778,46,0.30949,39,0.04507,47,0.39477
ENSG00000186501,TMEM222,22,-1.0672,54,0.32171,51,0.23080,57,0.45157,27,-0.9259,79,0.93861,32,-0.4763,56,0.41754
ENSG00000158195,WASF2,338,2.54260,167,1.21300,131,0.80324,41,-1.0772,34,-1.5467,53,-0.6075,65,-0.3162,30,-1.5530
ENSG00000126705,AHDC1,164,0.90234,56,-0.7951,124,0.44401,114,0.34245,85,-0.1923,62,-0.6250,38,-1.3778,102,0.15006
ENSG00000126709,IFI6,25,-1.9112,60,-0.6509,126,0.51306,146,0.84333,43,-1.3791,104,0.20329,60,-0.6448,173,1.17882
ENSG00000009780,FAM76A,48,0.80687,22,-0.4165,77,1.61844,35,0.30988,27,-0.1122,6,-2.1646,17,-0.8145,13,-1.2401
ENSG00000117758,STX12,39,-1.1350,94,0.19988,185,1.31164,56,-0.6449,76,-0.1782,68,-0.2973,80,-0.0556,97,0.27939
ENSG00000117751,PPP1R8,14,-1.1774,22,-0.4944,29,-0.0610,32,0.09020,31,0.04157,36,0.23960,32,0.09607,37,0.34162
ENSG00000117748,RPA2,3,-2.8501,16,-0.7231,33,0.39461,22,-0.2332,24,-0.1410,19,-0.4611,46,0.89593,39,0.71002
ENSG00000126698,DNAJC8,312,0.43330,245,0.05145,154,-0.6603,190,-0.3669,329,0.74570,193,-0.3206,206,-0.2144,137,-0.8938
ENSG00000130770,ATP5IF1,82,-1.4370,86,-1.3717,106,-1.0667,159,-0.4905,303,0.80362,139,-0.6609,262,0.32211,284,0.50253
ENSG00000204138,PHACTR4,206,2.30363,142,1.59016,54,0.00107,41,-0.4603,26,-1.3682,61,0.18142,27,-1.0727,15,-2.0198
ENSG00000180098,TRNAU1AP,39,0.79238,13,-0.8775,53,1.30498,26,0.14903,18,-0.5819,22,-0.1354,14,-0.7886,23,-0.0832
ENSG00000120656,TAF12,5,-1.5031,7,-1.0858,20,0.40633,17,0.20132,9,-1.0254,15,-0.0387,17,0.16114,32,1.38398
ENSG00000162419,GMEB1,42,1.07517,21,0.00626,17,-0.3799,19,-0.1514,26,0.41239,20,-0.0911,7,-1.5360,14,-0.7041
ENSG00000198492,YTHDF2,78,-0.1467,52,-0.7576,82,-0.0781,107,0.37272,118,0.70963,37,-1.2800,62,-0.5104,61,-0.5576
ENSG00000116329,OPRD1,21,-0.0152,0,-5.5376,30,0.53294,27,0.40927,24,0.27362,26,0.31900,8,-1.4152,20,-0.0890
ENSG00000159023,EPB41,44,0.78667,16,-0.7810,2,-3.5936,57,1.43130,19,-0.6778,25,-0.0707,29,0.12635,20,-0.4441
ENSG00000116350,SRSF4,301,1.36037,183,0.52980,137,0.06758,129,-0.0296,114,-0.2730,100,-0.4186,88,-0.6142,90,-0.6222
ENSG00000116353,MECR,0,-5.6810,12,-0.4424,12,-0.4883,20,0.32699,20,0.40232,11,-0.6492,15,-0.1240,23,0.52427
ENSG00000060656,PTPRU,6,-1.5375,11,-0.7938,49,1.55593,30,0.84693,8,-1.4647,30,0.72425,2,-2.8615,26,0.56490
ENSG00000162512,SDC3,26,-2.3015,183,0.61511,138,0.16320,142,0.22722,92,-0.5875,113,-0.1406,189,0.66562,157,0.40528
ENSG00000134644,PUM1,312,0.49657,182,-0.3493,224,-0.0246,258,0.21235,256,0.24432,219,-0.0633,154,-0.5993,167,-0.5161
ENSG00000121766,ZCCHC17,60,-1.2088,137,0.04717,111,-0.2712,166,0.39348,168,0.51810,73,-0.9146,89,-0.6066,125,-0.0958
ENSG00000121769,FABP3,29,-0.4742,12,-1.7102,41,0.08083,88,1.53288,25,-0.8162,27,-0.5385,17,-1.2340,52,0.48474
ENSG00000162517,PEF1,31,-1.1096,21,-1.6864,99,0.68211,65,0.00789,71,0.18822,48,-0.4412,31,-1.0866,98,0.74331
