Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000130764,LRRC47,58,-0.4039,34,-1.2063,45,-0.7710,71,-0.0891,52,-0.5603,65,-0.2322,79,0.07677,98,0.42195,94,0.35734,133,0.93172,86,0.23406
ENSG00000116198,CEP104,58,0.83341,64,1.00830,39,0.21836,9,-1.9720,31,-0.1476,38,0.16268,36,0.06533,36,0.07787,8,-2.0852,38,0.17271,27,-0.4057
ENSG00000196581,AJAP1,58,0.39541,23,-1.0198,68,0.64842,29,-0.6787,29,-0.6935,64,0.55217,21,-1.1742,39,-0.2124,82,0.96800,42,-0.0973,43,-0.0682
ENSG00000069424,KCNAB2,58,-1.8571,41,-2.3486,325,0.80272,348,0.91478,211,0.09817,193,-0.0354,199,0.01143,104,-0.9901,233,0.26134,156,-0.3664,253,0.43475
ENSG00000116254,CHD5,58,-1.9811,41,-2.4915,449,1.20840,133,-0.7398,198,-0.1308,556,1.59190,240,0.17393,159,-0.4652,180,-0.2756,190,-0.1909,189,-0.2242
ENSG00000116251,RPL22,561,-0.0459,880,0.67866,1050,0.97467,882,0.68194,611,0.08930,293,-1.0418,723,0.35718,231,-1.3980,435,-0.4381,575,-0.0051,343,-0.8621
ENSG00000116237,ICMT,58,0.62154,8,-2.2735,18,-1.1830,21,-0.9409,39,-0.0107,34,-0.2367,70,0.94495,38,-0.0319,46,0.26175,33,-0.2687,52,0.51019
ENSG00000097021,ACOT7,144,-0.6473,30,-2.9753,96,-1.2517,170,-0.3911,75,-1.6163,147,-0.6129,262,0.28916,279,0.39052,269,0.33169,275,0.36869,437,1.32003
ENSG00000171680,PLEKHG5,58,1.38166,3,-2.9323,31,0.32067,30,0.29154,18,-0.4828,31,0.35683,8,-1.7485,3,-2.9839,40,0.76754,7,-1.8263,35,0.59945
ENSG00000162408,NOL9,58,0.93061,29,-0.1740,57,0.92272,42,0.39664,20,-0.7033,53,0.80281,13,-1.3138,13,-1.3254,25,-0.3832,33,0.04535,22,-0.6523
ENSG00000162413,KLHL21,58,0.98813,38,0.30927,23,-0.4667,38,0.30459,65,1.18049,10,-1.6354,19,-0.7363,16,-1.0341,41,0.41058,10,-1.6566,29,-0.1363
ENSG00000007923,DNAJC11,58,0.68256,29,-0.4095,50,0.45162,30,-0.3482,31,-0.2877,32,-0.2265,74,1.10878,31,-0.2875,45,0.26499,10,-1.8888,30,-0.3664
ENSG00000171735,CAMTA1,115,-1.7519,210,-0.8485,392,0.10928,313,-0.2421,289,-0.3663,604,0.81343,448,0.32384,652,0.94211,317,-0.2228,383,0.07406,331,-0.1706
ENSG00000049245,VAMP3,58,1.10689,96,2.03858,7,-2.0624,34,0.22529,59,1.15668,8,-1.9077,11,-1.4013,9,-1.6930,30,0.05414,19,-0.6745,9,-1.8078
ENSG00000049246,PER3,58,0.52504,77,0.99185,64,0.69682,26,-0.6955,64,0.68929,61,0.61947,19,-1.1591,34,-0.3211,52,0.35717,9,-2.1884,17,-1.4451
ENSG00000116288,PARK7,396,0.17706,134,-1.4777,354,0.00048,541,0.68386,411,0.23805,157,-1.2403,342,-0.0520,224,-0.7014,476,0.47581,427,0.29765,391,0.17498
ENSG00000116285,ERRFI1,58,0.94582,32,0.00768,12,-1.5198,26,-0.3428,33,0.05765,35,0.13302,29,-0.1293,14,-1.2743,30,-0.1239,19,-0.7648,49,0.75068
ENSG00000162426,SLC45A1,58,1.35336,1,-3.9730,19,-0.4691,16,-0.6790,12,-1.0849,11,-1.2632,18,-0.5151,27,0.12101,26,0.06656,26,0.05952,44,1.02711
ENSG00000142599,RERE,58,-1.4157,258,0.91519,232,0.73395,71,-1.1027,191,0.41765,215,0.60811,85,-0.8352,150,0.03101,146,-0.0113,181,0.33086,88,-0.8489
ENSG00000074800,ENO1,58,-3.1542,275,-0.8541,341,-0.5290,517,0.11784,1160,1.47123,265,-0.9121,487,0.02293,456,-0.0808,548,0.20902,552,0.22321,549,0.23768
ENSG00000171612,SLC25A33,58,0.24145,62,0.35544,27,-0.9207,62,0.35112,185,2.30363,20,-1.3798,50,0.02569,21,-1.2787,25,-1.0274,14,-1.8723,35,-0.5833
ENSG00000171603,CLSTN1,143,-2.2427,265,-1.3297,376,-0.8025,363,-0.8550,413,-0.6588,563,-0.1841,718,0.19816,926,0.61038,995,0.72957,728,0.22178,1053,0.93895
ENSG00000178585,CTNNBIP1,58,0.95161,9,-1.8579,46,0.56381,40,0.33705,27,-0.2638,19,-0.8224,79,1.50647,28,-0.2064,14,-1.2743,20,-0.6763,22,-0.5952
ENSG00000162441,LZIC,58,-0.0205,118,1.14478,68,0.24271,46,-0.3670,73,0.34107,49,-0.2641,99,0.84545,72,0.33304,32,-0.9225,21,-1.5198,33,-0.9447
ENSG00000130939,UBE4B,58,0.07748,51,-0.1061,50,-0.1421,39,-0.5380,28,-1.0197,66,0.27652,60,0.12649,92,0.82357,29,-0.9466,85,0.69499,51,-0.1220
ENSG00000054523,KIF1B,58,-2.7739,667,0.96142,432,0.24720,208,-0.8809,279,-0.4379,499,0.47909,538,0.60302,435,0.25977,195,-0.9810,432,0.24851,345,-0.1169
ENSG00000142657,PGD,681,3.69390,29,-1.9057,20,-2.4838,33,-1.7194,50,-1.1128,40,-1.4355,68,-0.6592,103,-0.0198,66,-0.6999,24,-2.1784,69,-0.6847
ENSG00000241563,CORT,58,0.46499,25,-0.8018,8,-2.5224,85,1.10504,34,-0.3764,6,-2.8074,29,-0.5918,211,2.90570,56,0.41752,0,-7.1065,2,-4.2345
ENSG00000160049,DFFA,58,0.20785,89,0.91962,94,1.00148,36,-0.5135,74,0.61140,48,-0.0938,36,-0.5134,19,-1.4313,37,-0.4603,40,-0.3728,37,-0.5001
ENSG00000142655,PEX14,58,1.33599,3,-2.9954,31,0.32019,19,-0.4245,26,0.05031,21,-0.2690,24,-0.0860,35,0.47840,24,-0.0787,15,-0.7607,24,-0.0808
ENSG00000120948,TARDBP,58,-0.5297,113,0.51881,64,-0.3744,74,-0.1577,77,-0.0840,74,-0.1482,94,0.23135,139,0.85682,93,0.20183,53,-0.6627,70,-0.2605
ENSG00000116649,SRM,58,0.00625,38,-0.6308,29,-1.0391,111,1.06408,60,0.05303,45,-0.3894,58,0.00927,59,0.03076,80,0.52864,46,-0.3395,54,-0.1143
ENSG00000171824,EXOSC10,58,0.84634,45,0.45097,13,-1.4084,31,-0.1425,21,-0.7128,70,1.16925,6,-2.4686,41,0.28212,41,0.29460,4,-2.9906,39,0.23148
ENSG00000198793,MTOR,58,0.28405,23,-1.1395,15,-1.7626,32,-0.6501,39,-0.3175,65,0.48512,65,0.47853,28,-0.8050,56,0.23121,67,0.51939,65,0.54096
ENSG00000116661,FBXO2,58,-1.6694,116,-0.6252,175,0.00384,414,1.44030,322,0.99903,79,-1.2079,112,-0.6782,68,-1.4304,224,0.39793,127,-0.4835,198,0.22161
ENSG00000132879,FBXO44,58,-0.7950,14,-2.8757,53,-0.9247,98,0.02315,69,-0.5323,75,-0.3931,72,-0.4547,100,0.04623,224,1.38344,147,0.66492,127,0.48014
ENSG00000011021,CLCN6,58,0.01401,54,-0.0905,57,-0.0043,38,-0.6232,51,-0.1862,36,-0.7101,96,0.83787,62,0.13664,74,0.41512,31,-0.9169,64,0.20275
ENSG00000116685,KIAA2013,58,1.05739,43,0.56518,13,-1.2523,27,-0.1354,32,0.09992,22,-0.4433,13,-1.2601,31,0.07470,20,-0.6020,44,0.59210,28,-0.1057
ENSG00000116688,MFN2,1136,3.16334,89,-1.3136,117,-0.9001,103,-1.0934,78,-1.4993,101,-1.1228,163,-0.3938,157,-0.4512,127,-0.7789,142,-0.6091,156,-0.5027
ENSG00000048707,VPS13D,58,-0.3881,77,0.04896,46,-0.7301,36,-1.0887,36,-1.0858,133,0.94661,125,0.84212,92,0.34278,64,-0.2223,53,-0.5199,85,0.23522
ENSG00000162496,DHRS3,58,1.44350,23,-0.0396,34,0.53636,21,-0.1895,58,1.46062,5,-2.2699,10,-1.3522,7,-1.8748,20,-0.2751,2,-3.6533,25,0.09419
ENSG00000116731,PRDM2,58,-2.1149,242,0.04297,378,0.76288,98,-1.3325,101,-1.2901,430,0.98003,175,-0.4628,321,0.49456,218,-0.1218,375,0.74982,215,-0.1546
ENSG00000189337,KAZN,58,-0.1524,100,0.72506,65,0.02578,64,0.01647,43,-0.5930,58,-0.1564,53,-0.2751,124,1.08301,36,-0.8738,52,-0.3110,56,-0.2300
ENSG00000142634,EFHD2,58,-0.7111,58,-0.6926,32,-1.6103,54,-0.8139,40,-1.2543,78,-0.2559,329,2.21989,147,0.75813,16,-2.6059,160,0.89720,65,-0.5757
ENSG00000116138,DNAJC16,58,0.48307,12,-1.9191,47,0.15355,33,-0.4062,28,-0.6267,31,-0.4852,25,-0.8298,45,0.09863,43,0.02301,91,1.23361,49,0.25912
ENSG00000197312,DDI2,58,0.62524,22,-0.8409,32,-0.2969,31,-0.3695,12,-1.7398,47,0.30216,32,-0.2964,55,0.54097,42,0.10162,70,0.95512,33,-0.2691
ENSG00000116786,PLEKHM2,58,-1.0202,34,-1.7978,176,0.71777,201,0.93723,137,0.30399,114,0.02301,252,1.32987,65,-0.8330,44,-1.4403,136,0.30177,67,-0.8468
ENSG00000065526,SPEN,58,-1.6228,520,1.92112,240,0.56496,57,-1.6445,124,-0.4736,351,1.20031,92,-0.9227,233,0.51187,62,-1.5084,89,-0.9780,100,-0.8709
ENSG00000055070,SZRD1,58,1.13234,43,0.63146,23,-0.3086,40,0.51918,62,1.24477,21,-0.5045,19,-0.6194,22,-0.3933,26,-0.1326,19,-0.6594,6,-2.3533
ENSG00000159363,ATP13A2,58,-0.8659,17,-2.6420,93,-0.1434,70,-0.5671,80,-0.3752,84,-0.2967,161,0.74341,123,0.30409,120,0.26636,84,-0.2999,165,0.88358
ENSG00000117118,SDHB,58,-0.4465,34,-1.2335,20,-1.9918,90,0.23798,63,-0.3238,41,-0.9454,94,0.31511,155,1.13835,103,0.45439,42,-0.9387,113,0.68940
ENSG00000117115,PADI2,58,-0.1907,351,3.13845,44,-0.5930,74,0.20300,131,1.13293,26,-1.3982,33,-1.0235,16,-2.0873,28,-1.2701,3,-4.3815,10,-2.9018
ENSG00000179051,RCC2,58,1.20282,20,-0.4543,25,-0.1274,29,0.10154,21,-0.4296,24,-0.2156,25,-0.1675,7,-1.9363,28,0.02849,13,-1.0929,40,0.65405
ENSG00000117154,IGSF21,349,2.76176,26,-1.6039,40,-0.9858,62,-0.3111,46,-0.7806,46,-0.7537,18,-2.1785,23,-1.7999,103,0.48220,16,-2.2915,91,0.32141
ENSG00000159423,ALDH4A1,58,1.13699,31,0.12582,43,0.66188,26,-0.1560,89,1.91951,7,-2.0199,37,0.39909,1,-4.0214,4,-2.7543,19,-0.6145,14,-1.1593
ENSG00000127481,UBR4,58,0.59242,40,0.02651,16,-1.3575,17,-1.2803,40,-0.0081,112,1.74047,15,-1.4264,83,1.19237,16,-1.3862,17,-1.2520,32,-0.3781
ENSG00000127463,EMC1,58,0.63724,5,-3.0799,7,-2.5656,25,-0.6727,39,0.01027,67,0.88028,67,0.87523,28,-0.4948,36,-0.0934,32,-0.2832,51,0.47588
ENSG00000053372,MRTO4,58,0.21352,20,-1.4194,31,-0.7381,38,-0.4181,46,-0.1563,25,-1.0608,47,-0.0942,33,-0.6306,69,0.50535,111,1.29502,63,0.39811
ENSG00000053371,AKR7A2,58,0.77942,39,0.12836,43,0.30097,42,0.25775,93,1.60040,17,-1.1347,28,-0.3552,14,-1.3658,30,-0.2644,31,-0.2192,16,-1.2652
ENSG00000077549,CAPZB,1762,3.18107,129,-1.4089,121,-1.4977,244,-0.4447,197,-0.7680,210,-0.6753,185,-0.8679,183,-0.8768,232,-0.5227,180,-0.9038,226,-0.6052
ENSG00000173436,MICOS10,190,-0.7931,305,-0.0640,348,0.14424,651,1.17894,335,0.08402,102,-1.7135,546,0.87775,248,-0.3854,302,-0.0780,272,-0.2416,256,-0.3651
ENSG00000158747,NBL1,115,-0.3422,67,-1.1725,156,0.12744,233,0.78045,178,0.33718,117,-0.3193,194,0.47672,71,-1.0705,186,0.41537,83,-0.8462,162,0.21066
ENSG00000169914,OTUD3,58,0.86492,37,0.16008,23,-0.5649,13,-1.4292,14,-1.3601,100,1.83628,6,-2.4313,13,-1.4032,35,0.07837,30,-0.1901,37,0.18014
ENSG00000162545,CAMK2N1,263,-2.7844,1233,-0.4879,4457,1.63375,3230,1.06151,2650,0.72749,1148,-0.5970,740,-1.2610,604,-1.5624,2719,0.77008,1599,-0.0850,805,-1.2115
ENSG00000158828,PINK1,194,-1.1465,186,-1.2145,318,-0.3990,559,0.48935,328,-0.3537,221,-0.9516,668,0.78414,443,0.11623,411,-0.0009,448,0.13576,579,0.61694
ENSG00000244038,DDOST,58,1.15523,22,-0.4071,10,-1.5109,17,-0.8056,27,-0.0835,16,-0.8619,13,-1.1192,23,-0.3438,54,1.04658,26,-0.1149,37,0.47826
ENSG00000117245,KIF17,58,0.61545,8,-2.2743,8,-2.3202,17,-1.2352,7,-2.5158,27,-0.5602,72,0.99272,15,-1.4710,30,-0.3964,135,2.12892,46,0.28997
ENSG00000189410,SH2D5,58,0.29445,5,-3.2326,38,-0.3505,47,-0.0317,26,-0.9179,46,-0.0704,21,-1.2574,19,-1.4075,72,0.63972,120,1.53203,62,0.44759
ENSG00000127483,HP1BP3,58,-2.2151,448,0.93153,366,0.59610,109,-1.2836,192,-0.4226,396,0.72635,178,-0.5363,376,0.64049,186,-0.4714,253,0.00501,233,-0.1390
ENSG00000075151,EIF4G3,58,-2.3349,200,-0.4857,290,0.09097,121,-1.2485,111,-1.3755,454,0.81654,165,-0.7761,554,1.15640,232,-0.2559,165,-0.7755,467,0.98976
ENSG00000076864,RAP1GAP,58,-1.0821,41,-1.5994,66,-0.8835,89,-0.4273,42,-1.5667,99,-0.2653,237,1.14718,121,0.04569,166,0.55225,231,1.10426,130,0.18094
ENSG00000090686,USP48,58,-0.5492,133,0.76576,94,0.20077,31,-1.4802,40,-1.1048,126,0.67778,63,-0.4283,118,0.56758,50,-0.7530,109,0.44211,85,0.04287
ENSG00000070831,CDC42,58,-1.7761,172,-0.1339,101,-0.9443,157,-0.2732,156,-0.2801,151,-0.3330,198,0.08800,231,0.33326,218,0.24041,291,0.71019,257,0.56459
ENSG00000173369,C1QB,58,1.26139,26,-0.0147,19,-0.5500,96,2.21666,74,1.71062,22,-0.2863,0,-5.0401,3,-3.2201,15,-0.8924,4,-2.8465,2,-3.9550
ENSG00000004487,KDM1A,58,-0.3740,58,-0.3557,26,-1.5619,41,-0.9102,61,-0.2811,98,0.45489,37,-1.0402,145,1.10537,69,-0.1090,76,0.06029,107,0.67047
ENSG00000169641,LUZP1,58,-1.5760,91,-0.9019,195,0.27630,55,-1.6547,68,-1.3240,297,0.96907,196,0.28471,248,0.66837,78,-1.1248,155,-0.0796,261,0.85382
ENSG00000125944,HNRNPR,58,-1.3335,219,0.73004,122,-0.2012,105,-0.4294,122,-0.2029,188,0.48249,125,-0.1606,196,0.55328,156,0.18498,162,0.24082,107,-0.4441
ENSG00000142676,RPL11,73,-2.5124,642,0.80681,536,0.50936,852,1.29036,534,0.50231,199,-1.0280,394,0.01599,232,-0.7962,334,-0.2434,473,0.30804,204,-1.0612
ENSG00000011007,ELOA,58,0.83805,43,0.37464,39,0.21689,22,-0.6962,30,-0.1891,64,1.01098,26,-0.4079,21,-0.7103,27,-0.3608,43,0.36823,18,-1.0246
ENSG00000057757,PITHD1,245,0.63328,66,-1.3872,115,-0.5610,145,-0.2024,80,-1.1159,86,-1.0019,213,0.40250,223,0.47848,189,0.21329,217,0.43280,202,0.35369
ENSG00000011009,LYPLA2,58,1.23777,8,-1.8691,31,0.19236,34,0.36777,18,-0.5951,19,-0.5050,15,-0.8962,10,-1.5379,29,0.10091,28,0.05400,38,0.58779
ENSG00000189266,PNRC2,58,-0.2217,87,0.43136,78,0.25089,74,0.16331,96,0.59067,66,-0.0174,40,-0.7798,46,-0.5597,83,0.35638,99,0.62763,36,-1.0187
ENSG00000188529,SRSF10,58,-0.3941,151,1.15907,54,-0.4981,55,-0.4765,63,-0.2579,107,0.58127,59,-0.3713,69,-0.1096,88,0.25430,59,-0.3514,66,-0.2188
ENSG00000001461,NIPAL3,294,1.41640,265,1.23174,48,-1.4370,90,-0.5105,44,-1.5864,90,-0.5058,62,-1.0632,183,0.61302,79,-0.7107,111,-0.1863,117,-0.1094
ENSG00000133226,SRRM1,163,-0.5836,674,1.76599,326,0.50236,92,-1.4482,108,-1.1993,495,1.20754,137,-0.8437,317,0.45950,148,-0.7324,104,-1.2673,144,-0.8301
ENSG00000169504,CLIC4,58,0.63593,300,4.27538,24,-0.7008,23,-0.7952,35,-0.1748,12,-1.7581,3,-3.4558,0,-6.1783,2,-4.4124,0,-6.9896,4,-3.2498
ENSG00000117614,SYF2,58,-1.2040,196,0.69164,241,1.03586,122,-0.0635,153,0.29436,122,-0.0680,111,-0.2084,136,0.10002,97,-0.4223,88,-0.5641,102,-0.3754
ENSG00000117616,RSRP1,58,-0.1156,107,0.87120,16,-1.9913,33,-0.9740,72,0.23429,178,1.77864,18,-1.8214,45,-0.5013,107,0.86987,19,-1.7553,47,-0.4860
ENSG00000183726,TMEM50A,58,-0.2385,88,0.42790,27,-1.4058,107,0.74600,53,-0.3638,27,-1.4061,41,-0.7584,71,0.08537,113,0.83987,85,0.37353,69,0.04044
ENSG00000204178,MACO1,58,-0.4043,78,0.06756,80,0.10258,45,-0.7712,50,-0.6375,140,1.00783,34,-1.2035,119,0.74681,78,0.05199,71,-0.0831,74,-0.0280
ENSG00000117643,MAN1C1,58,0.56450,3,-3.8818,45,0.16828,46,0.20059,42,0.07448,45,0.15463,3,-3.6505,22,-0.9464,87,1.25932,25,-0.7178,55,0.54165
ENSG00000162430,SELENON,58,1.09755,32,0.15874,38,0.41658,31,0.07712,38,0.39451,22,-0.4281,14,-1.0577,4,-2.7529,41,0.53920,29,-0.0170,22,-0.4857
ENSG00000117640,MTFR1L,58,-0.1990,11,-2.6690,81,0.32647,73,0.16214,67,0.03409,81,0.32777,61,-0.1199,89,0.48304,78,0.27832,41,-0.7090,74,0.21470
ENSG00000117632,STMN1,878,-0.7576,708,-1.0826,885,-0.7461,1171,-0.3169,540,-1.4893,740,-1.0164,2529,0.92144,2172,0.66703,1350,-0.0949,2784,1.08511,1729,0.32969
ENSG00000158008,EXTL1,58,0.63506,6,-2.6474,27,-0.5318,37,-0.0508,38,-0.0442,26,-0.6060,55,0.56223,26,-0.6107,57,0.60102,42,0.12466,46,0.31171
ENSG00000142684,ZNF593,58,0.44669,22,-1.0307,36,-0.2841,45,0.05958,64,0.62216,23,-0.9886,23,-0.9373,62,0.55975,58,0.44038,31,-0.5187,50,0.24513
ENSG00000142669,SH3BGRL3,58,-1.5509,131,-0.3199,99,-0.7434,222,0.51217,147,-0.1384,98,-0.7613,239,0.63621,131,-0.3143,154,-0.0724,325,1.15414,163,0.02181
ENSG00000158062,UBXN11,58,1.49291,1,-4.6633,35,0.62230,39,0.82326,18,-0.3937,17,-0.4504,36,0.68943,13,-0.8645,31,0.42801,8,-1.6493,13,-0.9861
ENSG00000198830,HMGN2,261,0.53529,366,1.10192,129,-0.5688,262,0.54277,275,0.62326,145,-0.3914,138,-0.4653,156,-0.2816,185,-0.0127,124,-0.6339,99,-1.0405
ENSG00000117713,ARID1A,58,-0.4297,144,1.02853,53,-0.5716,51,-0.6154,105,0.51227,129,0.84712,40,-0.9797,34,-1.2429,71,-0.1207,53,-0.5694,90,0.28020
ENSG00000090273,NUDC,58,-2.2794,182,-0.5691,265,0.00691,386,0.61085,251,-0.0789,181,-0.5814,370,0.54357,292,0.15955,309,0.25070,413,0.72338,228,-0.2443
ENSG00000253368,TRNP1,58,0.08100,8,-2.8152,42,-0.4225,82,0.65095,56,0.04490,28,-1.0053,126,1.36978,54,-0.0159,54,-0.0192,30,-0.9014,59,0.13974
ENSG00000142784,WDTC1,58,0.88481,35,0.09795,48,0.58481,38,0.21030,49,0.62631,26,-0.3559,37,0.16112,18,-0.9005,26,-0.3991,17,-0.9707,23,-0.6146
ENSG00000186501,TMEM222,58,0.61714,29,-0.4714,25,-0.6708,55,0.53635,58,0.62013,37,-0.0829,41,0.07983,23,-0.8344,52,0.43661,30,-0.4138,31,-0.3659
ENSG00000158195,WASF2,58,0.32845,167,2.19523,34,-0.4861,29,-0.7085,95,1.14349,55,0.24603,34,-0.4802,15,-1.6522,11,-2.1971,40,-0.2414,12,-2.0774
ENSG00000126705,AHDC1,58,0.28948,64,0.44823,17,-1.5766,22,-1.1561,29,-0.7473,64,0.44900,59,0.31228,43,-0.1563,54,0.19458,80,0.82619,43,-0.1894
