Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000157873,TNFRSF14,20,1.20131,16,0.91534,10,0.03552,6,-0.7876,3,-1.8283,4,-1.3103
ENSG00000157870,PRXL2B,22,-0.7493,47,0.47625,44,0.36910,30,-0.3478,30,-0.3098,37,0.02702
ENSG00000177133,PRDM16-DT,46,1.63854,26,0.72230,7,-1.4758,6,-1.8047,23,0.39688,24,0.44770
ENSG00000158109,TPRG1L,107,-0.9337,186,-0.0733,250,0.46767,205,0.11220,214,0.15689,134,-0.5766
ENSG00000116213,WRAP73,10,-0.8191,22,0.42998,20,0.19383,16,-0.1753,24,0.48314,10,-0.8810
ENSG00000130764,LRRC47,50,-0.6322,59,-0.4286,81,0.13316,83,0.19109,83,0.15686,93,0.32977
ENSG00000116198,CEP104,24,0.24925,20,-0.0757,15,-0.5403,16,-0.4878,26,0.33928,39,1.05546
ENSG00000198912,C1orf174,8,-0.9513,14,-0.0078,16,0.13883,18,0.43450,14,-0.0091,9,-0.6885
ENSG00000196581,AJAP1,22,-0.7204,44,0.44397,37,0.10747,31,-0.2235,44,0.39071,26,-0.4502
ENSG00000131697,NPHP4,10,0.24208,12,0.66093,8,-0.2019,5,-0.8640,14,0.82441,6,-0.6294
ENSG00000069424,KCNAB2,104,-0.8239,170,-0.0575,244,0.61486,141,-0.4401,217,0.34241,188,0.10667
ENSG00000116254,CHD5,78,-0.6837,113,-0.1322,144,0.31447,111,-0.1832,166,0.51324,123,0.02399
ENSG00000116251,RPL22,1126,0.88242,830,0.41959,555,-0.3119,510,-0.5108,509,-0.4163,687,0.05810
ENSG00000116237,ICMT,33,-0.4703,52,0.26910,60,0.52623,37,-0.4139,50,0.16960,34,-0.4537
ENSG00000097021,ACOT7,88,-1.7784,239,-0.2897,331,0.29970,362,0.54746,301,0.10663,201,-0.5279
ENSG00000215788,TNFRSF25,25,-0.4066,42,0.47330,38,0.25647,20,-0.8984,64,1.12801,17,-0.9971
ENSG00000171680,PLEKHG5,11,-0.3265,21,0.78435,16,0.26389,9,-0.8119,19,0.45435,8,-0.8409
ENSG00000162408,NOL9,28,0.11475,26,-0.0060,26,0.02926,26,0.03668,29,0.19789,18,-0.5267
ENSG00000204859,ZBTB48,7,-0.6774,18,0.95330,9,-0.3645,7,-0.7466,11,-0.0616,16,0.62838
ENSG00000162413,KLHL21,30,-0.0011,28,-0.1471,22,-0.5172,26,-0.2981,43,0.60582,49,0.82106
ENSG00000116273,PHF13,10,-0.2890,17,0.51195,12,-0.0681,11,-0.2625,13,0.05453,12,-0.0885
ENSG00000041988,THAP3,13,-0.6337,19,-0.1241,27,0.50318,21,0.11233,14,-0.6111,20,0.00872
ENSG00000007923,DNAJC11,31,0.40470,25,0.07095,24,0.00173,18,-0.5577,28,0.23731,29,0.32641
ENSG00000171735,CAMTA1,285,0.05478,242,-0.2280,297,0.13918,277,0.01401,328,0.28195,231,-0.2829
ENSG00000049245,VAMP3,45,1.14364,17,-0.4810,12,-1.0488,11,-1.2685,29,0.36786,62,1.71116
ENSG00000049246,PER3,76,0.88730,48,0.13275,33,-0.5157,30,-0.7726,49,0.15188,69,0.72450
ENSG00000116288,PARK7,425,-0.2022,522,0.14044,510,0.09952,513,0.12510,412,-0.2542,391,-0.3361
ENSG00000116285,ERRFI1,36,0.32871,19,-0.7682,34,0.24800,33,0.18986,31,0.07185,26,-0.2087
ENSG00000162426,SLC45A1,7,-1.9426,25,-0.1057,34,0.43633,27,0.01514,30,0.20105,31,0.22779
ENSG00000142599,RERE,116,0.07188,117,0.09577,132,0.31261,86,-0.5040,133,0.29338,106,-0.0694
ENSG00000074800,ENO1,710,0.63364,399,-0.3369,352,-0.5517,549,0.27286,484,0.00383,486,0.01020
ENSG00000171612,SLC25A33,78,1.50963,24,-0.5043,38,0.28401,22,-0.6888,25,-0.4089,29,-0.1818
ENSG00000171608,PIK3CD,11,0.12190,6,-0.9687,11,0.15116,12,0.37333,6,-0.8424,15,0.62456
ENSG00000171603,CLSTN1,367,-1.2963,772,-0.1659,970,0.24753,924,0.18028,1095,0.41692,759,-0.1756
ENSG00000178585,CTNNBIP1,38,0.20034,31,-0.1203,40,0.35349,24,-0.6207,30,-0.1587,50,0.65879
ENSG00000162441,LZIC,66,0.26927,58,0.06689,49,-0.2393,52,-0.1544,41,-0.4770,82,0.64105
ENSG00000130939,UBE4B,13,-1.5559,31,-0.2468,45,0.45266,33,-0.1137,48,0.49169,41,0.23740
ENSG00000054523,KIF1B,302,-0.1873,283,-0.3236,317,-0.1232,325,-0.0895,459,0.49147,461,0.49854
ENSG00000284642,AL139424.2,11,-0.0410,3,-1.9295,12,0.19631,14,0.45768,13,0.30365,14,0.39109
ENSG00000142657,PGD,32,-0.6096,32,-0.6411,51,0.14111,53,0.24419,51,0.12122,63,0.46950
ENSG00000175279,CENPS,10,-0.1764,16,0.52607,12,0.03314,13,0.21464,9,-0.4558,4,-1.6155
ENSG00000241563,CORT,38,-0.7954,72,0.23994,28,-1.3717,49,-0.4895,17,-1.9779,231,2.35552
ENSG00000160049,DFFA,66,1.03948,32,-0.1799,29,-0.3547,28,-0.4328,30,-0.2735,52,0.60537
ENSG00000142655,PEX14,13,-0.4574,18,0.00092,15,-0.2557,17,-0.0648,19,0.12251,28,0.70490
ENSG00000120948,TARDBP,75,-0.0783,81,0.04585,74,-0.1117,82,0.06148,81,0.03321,80,0.01019
ENSG00000271895,AL109811.2,17,0.15979,24,0.79165,13,-0.3832,11,-0.7312,22,0.53617,13,-0.3009
ENSG00000116649,SRM,52,-0.0206,74,0.63095,64,0.35203,38,-0.6466,46,-0.2413,42,-0.3645
ENSG00000171824,EXOSC10,36,-0.0571,45,0.35787,29,-0.4060,33,-0.2355,50,0.48179,37,0.01501
ENSG00000198793,MTOR,33,-0.7640,47,-0.2315,62,0.27818,60,0.24769,53,-0.0195,50,-0.0925
ENSG00000120942,UBIAD1,17,1.20591,5,-0.7953,4,-1.2542,8,-0.0304,13,0.71652,10,0.36554
ENSG00000116661,FBXO2,340,1.02231,188,0.03787,204,0.18012,146,-0.4577,104,-0.8960,178,-0.0530
ENSG00000132879,FBXO44,50,-0.9821,106,0.20159,100,0.08546,98,0.06764,91,-0.0750,103,0.13066
ENSG00000116670,MAD2L2,20,0.66044,18,0.51133,13,-0.0634,8,-0.8666,11,-0.2943,16,0.31508
ENSG00000177000,MTHFR,14,0.23644,8,-0.6366,15,0.40954,13,0.11984,16,0.46167,5,-1.2043
ENSG00000011021,CLCN6,33,-0.9940,57,-0.2031,95,0.77188,60,-0.1202,65,0.03484,54,-0.2657
ENSG00000116685,KIAA2013,27,0.17754,26,0.11562,24,-0.0422,17,-0.6599,42,0.87527,24,-0.0454
ENSG00000083444,PLOD1,34,1.02728,14,-0.5048,16,-0.1897,12,-0.7406,16,-0.1795,36,1.09946
ENSG00000116688,MFN2,78,-0.5899,108,-0.0944,125,0.17147,125,0.19779,102,-0.1629,116,0.03164
ENSG00000116691,MIIP,20,1.01991,10,-0.0563,6,-0.8726,9,-0.3692,9,-0.3003,18,0.88509
ENSG00000048707,VPS13D,55,-0.4234,51,-0.6180,60,-0.3223,93,0.55408,88,0.31646,79,0.13923
ENSG00000162496,DHRS3,65,2.43324,10,-0.9472,8,-1.1946,15,-0.2751,11,-0.7109,15,-0.2287
ENSG00000116731,PRDM2,87,-0.8224,145,-0.0359,96,-0.7390,171,0.30710,213,0.59720,184,0.35154
ENSG00000189337,KAZN,42,-0.3777,38,-0.5653,63,0.30742,57,0.16405,48,-0.1506,66,0.36280
ENSG00000142634,EFHD2,22,-1.8282,26,-1.6626,71,-0.0570,72,-0.0260,150,1.20644,149,1.19176
ENSG00000132906,CASP9,17,1.08356,8,-0.0500,10,0.32132,6,-0.5642,7,-0.2943,6,-0.5822
ENSG00000116138,DNAJC16,20,-0.8072,33,-0.0199,40,0.31081,41,0.39842,35,0.06716,13,-1.3943
ENSG00000197312,DDI2,24,-0.1082,15,-0.9339,20,-0.4128,32,0.48390,37,0.60457,29,0.20385
ENSG00000116786,PLEKHM2,74,-0.2097,129,0.79530,84,-0.0173,57,-0.7466,60,-0.5313,116,0.51275
ENSG00000065526,SPEN,130,0.80098,63,-0.4065,61,-0.4737,69,-0.2801,121,0.67454,92,0.22681
ENSG00000116809,ZBTB17,20,0.30703,17,0.05140,15,-0.1248,13,-0.4874,23,0.53760,19,0.20972
ENSG00000037637,FBXO42,10,-1.1220,15,-0.4474,29,0.69259,21,0.05187,25,0.35230,15,-0.4155
ENSG00000055070,SZRD1,41,1.19103,25,0.42154,18,-0.1492,10,-1.1918,15,-0.4317,26,0.41170
ENSG00000157191,NECAP2,23,1.30402,7,-0.5409,7,-0.7493,4,-1.5935,18,0.88304,23,1.29472
ENSG00000219481,NBPF1,17,0.58202,11,-0.1859,6,-0.9984,7,-0.9110,17,0.57134,29,1.49658
ENSG00000058453,CROCC,7,-0.4939,12,0.33143,12,0.21786,8,-0.4785,15,0.60599,8,-0.3064
ENSG00000238142,BX284668.5,13,0.58186,11,0.41399,9,-0.0029,8,-0.1863,5,-0.8733,7,-0.4117
ENSG00000159363,ATP13A2,41,-1.1741,86,-0.0548,128,0.70498,87,-0.0196,69,-0.3970,83,-0.0889
ENSG00000117118,SDHB,79,-0.5698,131,0.25947,136,0.33274,117,0.06318,84,-0.4788,88,-0.4043
ENSG00000117115,PADI2,81,1.59886,12,-1.6364,16,-1.1833,12,-1.7030,45,0.54485,102,2.07443
ENSG00000179051,RCC2,23,-0.0855,20,-0.3172,36,0.74967,20,-0.4014,17,-0.5244,31,0.36856
ENSG00000074964,ARHGEF10L,14,0.30463,11,-0.1197,16,0.65371,12,0.12214,4,-1.5549,6,-0.9194
ENSG00000117154,IGSF21,33,-1.0038,52,-0.3583,51,-0.3889,56,-0.2394,141,1.35535,87,0.50621
ENSG00000159423,ALDH4A1,18,0.65131,15,0.39831,11,-0.1193,5,-1.6842,20,0.78835,17,0.52484
ENSG00000127481,UBR4,25,0.73603,15,-0.1232,12,-0.4498,15,-0.1296,15,-0.1333,21,0.41439
ENSG00000127463,EMC1,21,-0.5065,38,0.51778,29,-0.0177,28,-0.0686,29,-0.0065,22,-0.4311
ENSG00000053372,MRTO4,38,0.09879,30,-0.2850,40,0.21277,35,-0.0249,38,0.06967,35,-0.0329
ENSG00000053371,AKR7A2,74,1.59228,25,-0.2475,20,-0.6116,24,-0.3584,30,0.05619,23,-0.3457
ENSG00000040487,SLC66A1,8,-0.2763,9,0.06842,10,0.12406,8,-0.2734,14,0.65907,7,-0.2933
ENSG00000077549,CAPZB,155,0.09171,116,-0.3963,118,-0.3721,186,0.52626,125,-0.2447,154,0.08181
ENSG00000173436,MICOS10,411,-0.0566,464,0.15851,612,0.69082,351,-0.3822,286,-0.6227,353,-0.2949
ENSG00000158747,NBL1,139,0.06272,130,-0.0380,145,0.15351,113,-0.3242,158,0.27169,146,0.14401
ENSG00000169914,OTUD3,10,-1.0121,12,-0.7898,23,0.29855,22,0.30586,36,1.03399,10,-0.9433
ENSG00000162545,CAMK2N1,2904,0.92675,3247,1.35445,1095,-0.7231,918,-1.1116,1280,-0.4153,1027,-0.7565
ENSG00000090432,MUL1,18,-0.1126,19,-0.0084,21,0.16644,14,-0.5402,21,0.12138,30,0.70316
ENSG00000183114,FAM43B,5,-1.5742,7,-1.1221,13,-0.0944,13,-0.1211,37,1.70095,17,0.33926
ENSG00000158828,PINK1,284,-0.8220,375,-0.4338,633,0.51728,511,0.12937,489,0.02914,482,0.00289
ENSG00000244038,DDOST,18,-0.5070,25,-0.0244,22,-0.2072,28,0.18613,33,0.43045,24,-0.0958
ENSG00000117245,KIF17,10,-1.4200,7,-1.9211,31,0.38130,37,0.87269,24,-0.0757,30,0.26095
ENSG00000189410,SH2D5,24,-0.6268,47,0.46241,51,0.63229,27,-0.5767,40,0.15806,23,-0.7034
ENSG00000127483,HP1BP3,281,0.34624,218,-0.0716,183,-0.3724,200,-0.2561,283,0.36178,302,0.46762
ENSG00000075151,EIF4G3,127,-1.0828,150,-0.9028,235,-0.1480,401,1.05100,263,0.04526,191,-0.4558
ENSG00000117298,ECE1,34,1.25753,16,-0.0079,11,-0.6616,11,-0.7081,18,0.19976,21,0.47191
ENSG00000076864,RAP1GAP,35,-2.2619,111,-0.5997,152,-0.0591,162,0.05512,334,1.27433,193,0.32679
ENSG00000090686,USP48,79,0.19336,56,-0.3780,71,0.03956,65,-0.1465,95,0.48949,75,0.11591
ENSG00000070831,CDC42,144,-0.6599,173,-0.4092,236,0.13692,279,0.52837,188,-0.2437,202,-0.1250
ENSG00000184677,ZBTB40,4,-1.4339,13,0.36786,11,0.08557,8,-0.5631,22,1.24453,8,-0.4823
ENSG00000133216,EPHB2,4,-1.2624,8,-0.2303,7,-0.6037,10,0.13651,18,0.99075,13,0.52311
ENSG00000004487,KDM1A,46,-0.2720,51,-0.1339,48,-0.2479,68,0.46522,67,0.31626,34,-0.7244
ENSG00000169641,LUZP1,52,-1.2511,97,-0.3364,133,0.23452,148,0.50695,110,-0.1016,106,-0.1588
ENSG00000125944,HNRNPR,127,-0.0449,133,0.02933,105,-0.3876,131,0.00386,158,0.30577,154,0.26434
ENSG00000125945,ZNF436,11,-0.2023,17,0.46772,14,0.09149,11,-0.3581,21,0.79010,4,-1.7054
ENSG00000249087,ZNF436-AS1,9,-0.4328,21,0.96260,10,-0.3542,9,-0.6010,14,0.20565,12,-0.0179
ENSG00000117318,ID3,142,4.41661,2,-3.2714,5,-2.0765,4,-2.6026,8,-1.3939,22,0.13600
ENSG00000142676,RPL11,1092,1.14043,736,0.53028,500,-0.1845,387,-0.6927,310,-0.9057,511,-0.1312
ENSG00000011007,ELOA,31,0.38859,17,-0.6097,18,-0.5057,23,-0.0866,38,0.70437,35,0.57133
ENSG00000057757,PITHD1,99,-0.9994,194,0.05273,201,0.12064,217,0.30689,186,-0.0198,155,-0.3056
ENSG00000011009,LYPLA2,20,-0.2410,25,0.09346,24,0.04173,22,-0.1968,33,0.54060,21,-0.2115
ENSG00000117308,GALE,5,-2.1784,26,0.36088,28,0.50352,21,-0.0290,25,0.24368,12,-0.8180
ENSG00000117305,HMGCL,12,-0.3986,19,0.36796,14,-0.2098,13,-0.2847,12,-0.3991,25,0.80574
ENSG00000179163,FUCA1,7,-0.6139,9,-0.4132,9,-0.3281,15,0.65016,12,0.14579,11,-0.0553
ENSG00000189266,PNRC2,99,0.47110,79,0.12934,55,-0.5144,70,-0.1104,94,0.39659,67,-0.1489
ENSG00000188529,SRSF10,78,0.23256,59,-0.2189,70,0.08735,61,-0.1843,68,0.02639,82,0.32693
ENSG00000001460,STPG1,1,-2.4374,8,-0.1044,14,0.92550,8,-0.1376,12,0.49002,5,-0.9627
ENSG00000001461,NIPAL3,42,-1.2316,54,-0.9278,81,-0.2624,115,0.44280,113,0.30009,167,0.96036
ENSG00000133226,SRRM1,158,0.54913,102,-0.1855,91,-0.3862,104,-0.1709,134,0.27148,142,0.36782
ENSG00000169504,CLIC4,131,2.53457,6,-2.5902,12,-1.6745,11,-1.8855,14,-1.2891,117,2.26697
ENSG00000117614,SYF2,191,0.86146,120,0.09990,96,-0.2908,92,-0.4101,111,-0.0305,124,0.13982
ENSG00000117616,RSRP1,73,-0.0831,81,0.10179,57,-0.5124,64,-0.3753,111,0.60345,117,0.68598
ENSG00000183726,TMEM50A,78,-0.1429,117,0.58748,73,-0.2703,67,-0.4704,97,0.20564,98,0.21151
ENSG00000204178,MACO1,31,-0.4650,36,-0.2829,26,-0.8036,52,0.42606,56,0.46194,56,0.44806
ENSG00000117643,MAN1C1,36,-0.4240,72,0.81753,47,0.01132,43,-0.1508,46,-0.0311,18,-1.4213
ENSG00000162430,SELENON,40,0.77755,27,0.15718,30,0.34861,15,-0.9664,23,-0.1304,27,0.13149
ENSG00000117640,MTFR1L,54,-0.2699,56,-0.2289,69,0.14339,61,-0.1038,78,0.32678,74,0.24035
ENSG00000117632,STMN1,729,-1.4889,1292,-0.6801,2366,0.39277,2606,0.68738,1362,-0.5367,1921,0.00573
ENSG00000158008,EXTL1,20,-0.7829,22,-0.7243,30,-0.1932,33,-0.0318,64,1.07606,48,0.59034
ENSG00000175087,PDIK1L,5,-1.3717,11,-0.4195,13,-0.0908,17,0.42010,20,0.58490,14,0.06200
ENSG00000142684,ZNF593,32,-0.1342,37,0.09325,25,-0.6097,41,0.30593,42,0.26675,33,-0.1241
ENSG00000142669,SH3BGRL3,153,0.15310,89,-0.7720,135,-0.0591,153,0.20405,154,0.15939,178,0.40051
ENSG00000158062,UBXN11,4,-2.1300,27,0.86603,15,-0.1942,13,-0.5009,18,0.05622,26,0.63175
ENSG00000117682,DHDDS,26,0.24327,19,-0.2027,21,-0.0952,22,0.02370,20,-0.1665,27,0.32425
ENSG00000198830,HMGN2,349,1.58893,158,0.23501,79,-0.9576,82,-0.9876,115,-0.2964,205,0.63805
ENSG00000117713,ARID1A,50,0.13343,45,-0.0512,42,-0.1546,41,-0.2478,49,0.08417,66,0.58678
ENSG00000060642,PIGV,16,0.36334,12,-0.1280,11,-0.1670,12,-0.0847,14,0.20065,13,0.08774
ENSG00000204160,ZDHHC18,9,-1.1707,17,-0.1619,22,0.25244,20,0.05411,19,-0.0221,26,0.48146
ENSG00000142751,GPN2,14,-0.3426,17,-0.1258,15,-0.2787,16,-0.1829,18,0.01304,34,1.05244
ENSG00000090273,NUDC,183,-0.1914,252,0.36760,211,0.04245,182,-0.2507,195,-0.0896,213,0.05274
ENSG00000253368,TRNP1,25,-1.2469,51,-0.1904,106,1.22447,54,-0.1191,41,-0.5392,30,-0.9941
ENSG00000090020,SLC9A1,17,-0.1492,16,-0.2891,27,0.68295,19,0.05274,17,-0.0987,9,-1.0494
ENSG00000142784,WDTC1,8,-1.0943,17,-0.0117,24,0.56617,14,-0.3944,21,0.27849,20,0.25451
ENSG00000186501,TMEM222,26,-0.7873,36,-0.2945,44,0.03485,40,-0.1493,63,0.62406,61,0.56735
ENSG00000158195,WASF2,101,1.97735,14,-1.3395,18,-1.0241,19,-0.9947,30,-0.1191,75,1.39772
ENSG00000126705,AHDC1,22,-0.2318,20,-0.3900,27,0.16156,24,-0.0773,39,0.73473,23,-0.1693
ENSG00000126709,IFI6,106,-0.4034,72,-1.0806,109,-0.4007,225,1.18754,108,-0.3759,116,-0.2629
ENSG00000009780,FAM76A,16,-0.3052,17,-0.2589,17,-0.2756,14,-0.5944,31,0.72788,39,1.14273
ENSG00000117758,STX12,88,-0.3863,98,-0.2445,91,-0.3698,136,0.40494,120,0.10670,131,0.24595
ENSG00000117751,PPP1R8,33,0.28053,38,0.62632,23,-0.3248,24,-0.2964,24,-0.2367,25,-0.1435
ENSG00000117748,RPA2,37,-0.6266,63,0.25917,50,-0.1519,59,0.16318,59,0.12249,48,-0.2267
ENSG00000158161,EYA3,16,0.55741,9,-0.4893,13,0.18038,11,-0.1236,15,0.45422,8,-0.4941
ENSG00000126698,DNAJC8,303,0.22485,263,-0.0031,232,-0.2229,291,0.21059,196,-0.4701,272,0.05107
ENSG00000130770,ATP5IF1,456,-0.7931,836,0.18061,911,0.34104,904,0.37920,407,-0.9693,506,-0.6334
ENSG00000204138,PHACTR4,43,1.84178,12,-0.3030,10,-0.6695,9,-0.8199,20,0.44229,12,-0.2708
ENSG00000242125,SNHG3,16,0.86427,12,0.42386,6,-0.7051,6,-0.9365,9,-0.1027,17,0.89183
ENSG00000180098,TRNAU1AP,17,-0.1511,19,-0.0020,19,0.00772,20,0.08080,20,0.07948,17,-0.1426
ENSG00000197989,SNHG12,8,-0.4061,15,0.60107,13,0.31875,10,-0.1594,5,-1.2717,10,-0.1911
ENSG00000120656,TAF12,9,-0.9757,24,0.53871,27,0.78654,14,-0.4366,11,-0.6815,13,-0.4856
ENSG00000198492,YTHDF2,54,-0.6466,75,-0.1658,64,-0.4338,107,0.57585,107,0.43870,61,-0.4621
ENSG00000116329,OPRD1,2,-2.3522,14,0.14457,17,0.44766,11,-0.3297,24,1.02130,9,-0.5705
ENSG00000159023,EPB41,22,0.41867,14,-0.2714,20,0.30473,18,0.09897,16,-0.0613,8,-1.0088
ENSG00000116350,SRSF4,83,0.46611,56,-0.1782,51,-0.3436,65,0.09408,56,-0.1602,73,0.25521
ENSG00000116353,MECR,19,-0.7927,25,-0.4084,38,0.36611,32,0.05236,29,-0.1036,43,0.50418
ENSG00000060656,PTPRU,5,-1.9395,12,-0.6133,11,-0.7628,14,-0.4549,59,2.14719,24,0.48959
ENSG00000162512,SDC3,87,0.50131,60,-0.0994,58,-0.1678,42,-0.7818,94,0.62949,94,0.62938
ENSG00000134644,PUM1,112,-0.0526,114,-0.0281,105,-0.1642,107,-0.1563,175,0.67999,110,-0.0806
ENSG00000060688,SNRNP40,14,-0.2035,13,-0.3553,18,0.19950,18,0.14352,13,-0.3721,21,0.36416
ENSG00000121766,ZCCHC17,90,-0.5971,125,-0.0864,132,0.01715,147,0.24451,130,-0.0157,136,0.05228
ENSG00000121769,FABP3,42,-2.0774,107,-0.7306,165,0.01519,278,1.27509,99,-0.7861,118,-0.5167
ENSG00000162517,PEF1,49,-0.6361,70,-0.0756,77,0.09938,83,0.26903,58,-0.3548,80,0.15059
ENSG00000084636,COL16A1,34,0.28059,19,-0.6346,14,-1.1730,21,-0.5821,71,1.57803,49,0.89179
ENSG00000121753,ADGRB2,88,-1.0066,176,0.08618,158,-0.1082,152,-0.2073,278,0.83292,191,0.20694
ENSG00000184007,PTP4A2,192,0.01973,148,-0.4372,134,-0.6047,168,-0.2435,202,0.09666,437,1.42457
ENSG00000121774,KHDRBS1,145,0.24449,135,0.13633,125,0.00097,104,-0.3667,144,0.23428,129,0.04695
ENSG00000121775,TMEM39B,7,-0.5531,10,-0.0774,8,-0.4803,8,-0.4403,19,1.04182,17,0.77647
ENSG00000025800,KPNA6,39,-0.3344,43,-0.1908,45,-0.1492,45,-0.1408,77,0.75947,57,0.25629
ENSG00000084652,TXLNA,22,0.12754,14,-0.6502,20,-0.0373,20,0.02470,24,0.28393,28,0.49877
ENSG00000160050,CCDC28B,29,0.78295,30,0.99103,16,-0.2266,13,-0.6486,8,-1.2521,13,-0.5126
