Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000162441,LZIC,112,1.09914,89,0.71864,98,0.88082,48,-0.2955,39,-0.6309,49,-0.2596,38,-0.7458
ENSG00000130939,UBE4B,53,0.16683,34,-0.4872,31,-0.6432,35,-0.4805,58,0.34675,48,0.03782,55,0.31424
ENSG00000054523,KIF1B,687,0.73939,500,0.22446,418,-0.0611,373,-0.2581,514,0.29534,373,-0.2603,362,-0.3383
ENSG00000284642,AL139424.2,9,-0.8503,5,-1.7994,0,-6.0120,8,-1.1133,34,1.37324,18,0.17430,21,0.46489
ENSG00000142657,PGD,37,-0.4843,29,-0.8603,35,-0.5511,33,-0.7220,44,-0.2471,40,-0.3843,91,1.28183
ENSG00000241563,CORT,28,-0.2355,41,0.37543,47,0.61748,24,-0.4958,9,-2.0234,25,-0.3855,51,0.97926
ENSG00000160049,DFFA,83,0.67628,71,0.44040,68,0.37171,48,-0.1889,45,-0.3006,47,-0.2541,49,-0.1949
ENSG00000142655,PEX14,6,-1.7932,14,-0.5050,8,-1.2768,16,-0.3321,17,-0.2704,15,-0.4641,38,1.42398
ENSG00000120948,TARDBP,99,0.22217,54,-0.7241,79,-0.1292,101,0.28047,97,0.20407,83,-0.0636,80,-0.1428
ENSG00000271895,AL109811.2,5,-1.4360,6,-1.2819,10,-0.4829,16,0.16933,20,0.64629,15,0.05682,16,0.19478
ENSG00000116649,SRM,36,-0.5724,46,-0.2142,42,-0.3321,38,-0.5477,34,-0.6859,77,0.69719,68,0.54088
ENSG00000171824,EXOSC10,40,0.46370,25,-0.3091,4,-2.7652,33,0.18229,41,0.56811,22,-0.5192,33,0.15673
ENSG00000198793,MTOR,22,-0.9839,37,-0.2028,36,-0.2395,51,0.31734,42,0.00166,38,-0.1761,50,0.32558
ENSG00000116661,FBXO2,62,-1.3606,90,-0.8077,99,-0.6588,121,-0.3908,77,-1.1065,264,1.01837,217,0.73190
ENSG00000132879,FBXO44,25,-1.5258,38,-0.8874,43,-0.7144,53,-0.4134,69,0.03188,84,0.37857,99,0.77604
ENSG00000177000,MTHFR,6,-1.5155,17,-0.0295,8,-1.1956,15,-0.3061,30,0.94267,23,0.48455,15,-0.2947
ENSG00000011021,CLCN6,29,-1.4475,72,-0.0677,52,-0.5813,48,-0.7588,92,0.34867,89,0.28214,99,0.53934
ENSG00000116685,KIAA2013,29,0.42413,18,-0.2616,9,-1.3895,18,-0.2963,15,-0.5783,23,0.09809,31,0.70934
ENSG00000083444,PLOD1,10,-0.5597,13,-0.0605,4,-1.6628,13,-0.1754,13,-0.1311,21,0.71673,16,0.23356
ENSG00000116688,MFN2,71,-0.9927,73,-0.9572,149,0.13164,105,-0.4417,140,0.04761,144,0.08637,189,0.66776
ENSG00000048707,VPS13D,50,-0.7003,42,-0.9562,55,-0.5731,109,0.57384,109,0.58001,69,-0.2398,76,-0.0758
ENSG00000162496,DHRS3,13,-0.0088,15,0.21181,4,-1.6918,6,-1.1518,10,-0.5439,21,0.78530,18,0.59555
ENSG00000116731,PRDM2,223,-0.1835,360,0.57797,327,0.41946,333,0.50719,400,0.85418,128,-1.1063,126,-1.2077
ENSG00000189337,KAZN,80,0.31272,60,-0.1436,58,-0.1804,50,-0.4534,70,0.09923,59,-0.1857,78,0.32672
ENSG00000142634,EFHD2,43,-1.1613,66,-0.5204,154,0.82453,32,-1.6747,118,0.43726,88,-0.0872,123,0.57748
ENSG00000116138,DNAJC16,17,-1.3920,43,-0.0348,12,-1.8889,51,0.23695,61,0.55568,32,-0.5315,57,0.50799
ENSG00000197312,DDI2,25,-0.6759,43,0.16118,27,-0.5537,41,0.10201,65,0.92793,30,-0.4505,34,-0.2787
ENSG00000116786,PLEKHM2,88,-0.2214,158,0.72261,120,0.27611,45,-1.2961,55,-0.9814,183,1.10421,93,-0.1575
ENSG00000065526,SPEN,386,1.64554,225,0.70713,190,0.43058,168,0.25171,162,0.19106,74,-1.0998,44,-2.0061
ENSG00000116809,ZBTB17,20,0.26846,19,0.18437,5,-1.6362,9,-0.8991,17,-0.0005,23,0.58232,19,0.26046
ENSG00000037637,FBXO42,16,-0.1766,8,-1.1528,11,-0.7781,11,-0.7207,25,0.54820,22,0.33264,22,0.36423
ENSG00000055070,SZRD1,37,0.80070,23,0.03092,32,0.53589,9,-1.4794,27,0.28192,28,0.39874,17,-0.5007
ENSG00000219481,NBPF1,42,1.50155,15,-0.1296,1,-3.4231,9,-0.9211,24,0.64648,13,-0.4769,17,0.00435
ENSG00000159363,ATP13A2,19,-2.2041,29,-1.6065,36,-1.2742,56,-0.6506,97,0.26894,98,0.28243,138,1.07535
ENSG00000117118,SDHB,39,-0.8310,30,-1.2349,53,-0.3801,62,-0.1506,41,-0.8171,63,-0.1354,120,1.23861
ENSG00000117115,PADI2,237,3.29586,31,-0.4420,20,-1.1199,11,-2.0864,13,-1.8094,55,0.49809,17,-1.4876
ENSG00000179051,RCC2,12,-1.1248,27,0.10941,3,-2.9689,24,-0.0461,11,-1.3006,28,0.19116,44,1.21322
ENSG00000074964,ARHGEF10L,8,-0.9103,14,-0.1346,14,-0.0778,10,-0.7219,12,-0.3218,24,0.83323,17,0.28816
ENSG00000117154,IGSF21,16,-2.1548,21,-1.7493,70,0.08239,44,-0.6835,78,0.27350,74,0.19047,100,0.84568
ENSG00000159423,ALDH4A1,15,0.13443,17,0.30684,4,-1.8517,8,-0.9402,2,-2.7952,31,1.51228,17,0.34842
ENSG00000127481,UBR4,68,0.91926,61,0.72800,21,-0.9246,40,0.09145,60,0.82264,18,-1.1764,24,-0.8238
ENSG00000127463,EMC1,24,-0.3710,35,0.18860,42,0.48547,22,-0.5638,23,-0.5370,31,-0.0321,41,0.52152
ENSG00000053372,MRTO4,31,-0.3008,36,-0.0832,25,-0.6105,43,0.23063,38,0.01890,36,-0.0966,43,0.22183
ENSG00000053371,AKR7A2,47,0.75858,19,-0.6456,34,0.25734,14,-1.1672,13,-1.3380,55,1.19904,28,-0.0465
ENSG00000077549,CAPZB,107,-0.5262,108,-0.5031,156,0.06436,161,0.12133,156,0.07126,142,-0.0889,170,0.24341
ENSG00000173436,MICOS10,228,-0.5694,375,0.20454,413,0.35968,228,-0.6147,160,-1.1821,568,1.01068,341,0.07022
ENSG00000158747,NBL1,55,-1.2695,99,-0.3841,150,0.27022,95,-0.4707,103,-0.3497,159,0.40288,166,0.55566
ENSG00000169914,OTUD3,10,-1.1203,15,-0.4701,9,-1.2330,16,-0.3857,33,0.87963,17,-0.2686,26,0.47694
ENSG00000162545,CAMK2N1,1188,-0.4230,1781,0.21022,1745,0.17818,2682,1.00663,641,-1.4429,2230,0.64533,964,-0.8659
ENSG00000090432,MUL1,17,0.04357,9,-0.8144,12,-0.4580,12,-0.4548,18,0.19868,12,-0.4569,24,0.76688
ENSG00000183114,FAM43B,10,-0.6298,13,-0.2891,25,0.74688,6,-1.6006,23,0.69551,14,-0.2470,18,0.30832
ENSG00000158828,PINK1,159,-1.6198,280,-0.7712,417,-0.1580,483,0.07893,362,-0.4120,584,0.41667,609,0.56045
ENSG00000244038,DDOST,12,-0.7235,10,-0.9842,5,-1.9602,23,0.31231,15,-0.4600,22,0.19002,29,0.81347
ENSG00000117245,KIF17,5,-2.3182,19,-0.3915,42,0.81096,19,-0.4894,33,0.47800,25,-0.0325,27,0.17638
ENSG00000189410,SH2D5,1,-3.7019,8,-1.5092,19,-0.2857,30,0.44365,18,-0.4186,28,0.32508,32,0.68155
ENSG00000127483,HP1BP3,431,0.66773,387,0.49152,253,-0.1789,309,0.14669,368,0.45956,186,-0.7035,204,-0.6046
ENSG00000075151,EIF4G3,305,-0.1315,344,0.05400,319,-0.0626,415,0.39321,491,0.70809,140,-1.4007,309,-0.1391
ENSG00000076864,RAP1GAP,33,-1.8832,33,-1.8926,128,0.16202,105,-0.1573,156,0.54213,98,-0.2748,157,0.62970
ENSG00000090686,USP48,123,0.50581,94,0.08210,102,0.21636,118,0.49550,133,0.71814,35,-1.4934,60,-0.7176
ENSG00000070831,CDC42,159,-0.3367,139,-0.5409,160,-0.3283,164,-0.3098,191,-0.0520,172,-0.2381,285,0.76054
ENSG00000004487,KDM1A,61,0.12073,53,-0.0876,24,-1.3033,81,0.65989,73,0.45311,40,-0.5521,50,-0.2358
ENSG00000169641,LUZP1,56,-1.8182,262,0.53684,146,-0.3880,186,-0.0159,246,0.48220,139,-0.5034,215,0.26682
ENSG00000125944,HNRNPR,216,0.68469,91,-0.6779,137,-0.0435,176,0.39484,167,0.29499,119,-0.2848,108,-0.4936
ENSG00000142676,RPL11,747,0.69978,421,-0.2159,602,0.34852,397,-0.3333,208,-1.3705,824,0.98707,391,-0.3940
ENSG00000011007,ELOA,30,0.15118,32,0.25498,13,-1.1299,26,-0.0894,38,0.57781,24,-0.2248,26,-0.1074
ENSG00000057757,PITHD1,73,-1.0381,44,-1.7767,72,-1.0715,125,-0.2484,151,0.07801,166,0.24233,220,0.88219
ENSG00000011009,LYPLA2,8,-1.4795,6,-1.9834,13,-0.8318,22,-0.0641,19,-0.2510,25,0.16091,37,1.06080
ENSG00000117308,GALE,0,-5.4562,12,-0.4006,18,0.17344,19,0.32432,12,-0.4963,13,-0.3035,24,0.85800
ENSG00000117305,HMGCL,10,-0.3415,9,-0.5616,11,-0.2794,5,-1.4149,10,-0.4829,20,0.76441,19,0.73486
ENSG00000189266,PNRC2,77,0.42146,68,0.23764,63,0.12212,65,0.17330,52,-0.1900,54,-0.1502,51,-0.2516
ENSG00000188529,SRSF10,85,0.25406,63,-0.2168,52,-0.4948,66,-0.1474,114,0.83384,56,-0.4213,64,-0.2130
ENSG00000001461,NIPAL3,292,1.31510,113,-0.2313,135,0.03438,114,-0.2381,173,0.48889,84,-0.7466,99,-0.5273
ENSG00000133226,SRRM1,537,1.55416,415,1.09733,216,0.03176,225,0.09868,261,0.36420,63,-1.9231,93,-1.4282
ENSG00000169504,CLIC4,170,3.25099,18,-0.7826,46,0.66277,3,-3.1824,10,-1.7066,38,0.39433,8,-2.0900
ENSG00000117614,SYF2,198,0.80975,180,0.65716,146,0.31808,145,0.33876,88,-0.5140,106,-0.2025,78,-0.7798
ENSG00000117616,RSRP1,109,0.60564,54,-0.4870,19,-2.0207,48,-0.7466,157,1.41963,44,-0.8528,72,-0.0708
ENSG00000183726,TMEM50A,85,0.01968,48,-0.8574,80,-0.0796,105,0.39781,84,0.01581,81,-0.0596,84,0.00679
ENSG00000204178,MACO1,82,0.42823,65,0.05845,72,0.22617,86,0.56370,91,0.68758,27,-1.3526,41,-0.7650
ENSG00000117643,MAN1C1,20,-1.0074,18,-1.1852,5,-2.8722,66,0.97413,36,-0.1176,30,-0.4440,53,0.62898
ENSG00000162430,SELENON,17,-0.1186,23,0.37109,7,-1.4479,13,-0.5297,18,0.05046,29,0.87246,16,-0.2075
ENSG00000117640,MTFR1L,39,-0.5961,44,-0.3794,55,-0.0412,33,-0.9129,56,-0.0392,59,0.05822,83,0.78909
ENSG00000117632,STMN1,952,-0.3626,463,-1.4510,1230,0.03742,1808,0.74436,1263,0.08745,821,-0.6373,1327,0.19579
ENSG00000158008,EXTL1,12,-1.6121,25,-0.5431,30,-0.2340,30,-0.2368,43,0.35805,35,0.00292,46,0.52769
ENSG00000175087,PDIK1L,11,-0.4253,5,-1.4558,4,-1.6374,9,-0.7857,28,1.26294,10,-0.4808,18,0.51413
ENSG00000142684,ZNF593,22,-0.6728,23,-0.5522,25,-0.4857,29,-0.2270,27,-0.3484,34,0.03942,51,0.84503
ENSG00000142669,SH3BGRL3,97,-0.6293,90,-0.7428,134,-0.1227,88,-0.8360,137,-0.0974,188,0.46344,199,0.63769
ENSG00000158062,UBXN11,6,-1.5224,16,0.00376,23,0.54129,15,-0.1362,9,-1.0119,23,0.58991,19,0.31683
ENSG00000117682,DHDDS,8,-1.3739,23,0.23618,3,-2.6254,3,-2.5595,24,0.39788,21,0.15890,34,1.18406
ENSG00000198830,HMGN2,322,1.26586,129,-0.2301,203,0.48951,130,-0.2360,98,-0.6968,162,0.14720,119,-0.4224
ENSG00000117713,ARID1A,95,0.56508,74,0.16543,52,-0.3863,79,0.30118,95,0.63386,58,-0.2473,39,-0.9731
ENSG00000204160,ZDHHC18,4,-1.8664,9,-0.6767,12,-0.3517,6,-1.4310,17,0.23574,15,0.05307,26,1.14213
ENSG00000142751,GPN2,9,-1.0528,14,-0.3879,7,-1.3617,24,0.43031,19,0.03430,21,0.19521,22,0.29522
ENSG00000090273,NUDC,120,-0.7719,209,0.08333,177,-0.1737,246,0.38570,141,-0.5747,235,0.30095,209,0.10417
ENSG00000253368,TRNP1,11,-2.0644,32,-0.5060,32,-0.5090,28,-0.7458,39,-0.2420,60,0.53511,68,0.89473
ENSG00000090020,SLC9A1,4,-2.3438,7,-1.6665,3,-2.6587,8,-1.4843,20,-0.1057,25,0.33058,44,1.67710
ENSG00000142784,WDTC1,14,-0.7842,26,0.13810,22,-0.1405,15,-0.6987,26,0.14922,38,0.85701,21,-0.1945
ENSG00000186501,TMEM222,41,0.26522,19,-0.8968,26,-0.4205,15,-1.3205,32,-0.1257,48,0.58564,46,0.57270
ENSG00000158195,WASF2,167,2.76635,55,0.67501,17,-1.0928,16,-1.3341,32,-0.2076,36,-0.0151,9,-2.2881
ENSG00000126705,AHDC1,37,0.01916,35,-0.0674,16,-1.2038,30,-0.3393,59,0.87740,47,0.42059,26,-0.5881
ENSG00000126709,IFI6,76,-0.6112,50,-1.2486,127,0.17168,51,-1.3124,121,0.10380,88,-0.4296,197,1.19820
ENSG00000009780,FAM76A,21,-0.2072,18,-0.4885,24,-0.0098,26,0.13946,36,0.68498,18,-0.4865,23,-0.1211
ENSG00000117758,STX12,98,-0.0490,58,-0.8511,99,-0.0303,95,-0.0961,104,0.04904,85,-0.2857,129,0.49432
ENSG00000117751,PPP1R8,48,1.06743,18,-0.4852,25,0.00808,23,-0.1103,15,-0.8353,17,-0.5774,32,0.49707
ENSG00000117748,RPA2,29,-0.2818,15,-1.2121,28,-0.3158,31,-0.1585,47,0.54381,29,-0.2939,42,0.40799
ENSG00000126698,DNAJC8,314,0.44639,340,0.57716,254,0.10589,265,0.19323,242,0.03697,186,-0.4099,184,-0.4694
ENSG00000130770,ATP5IF1,169,-1.4627,290,-0.6502,241,-0.9297,586,0.50474,251,-0.9351,430,-0.0437,688,0.93676
ENSG00000204138,PHACTR4,95,2.33918,45,0.96139,17,-0.5529,14,-0.9496,28,0.20470,16,-0.7028,8,-1.8321
ENSG00000180098,TRNAU1AP,22,0.18944,17,-0.1360,7,-1.4406,9,-1.2124,27,0.59608,18,-0.1061,25,0.55657
ENSG00000120656,TAF12,10,-0.5763,10,-0.6482,8,-0.9042,13,-0.2220,19,0.37768,20,0.53599,16,0.10552
ENSG00000198492,YTHDF2,72,-0.3820,69,-0.4361,92,0.00182,105,0.23185,120,0.47601,74,-0.3644,91,-0.0301
ENSG00000159023,EPB41,18,-0.8314,54,0.84126,19,-0.7913,24,-0.4750,59,1.12844,17,-1.0535,31,-0.0502
ENSG00000116350,SRSF4,141,0.87843,87,0.10432,63,-0.4027,95,0.26712,100,0.35704,58,-0.5636,61,-0.5415
ENSG00000116353,MECR,16,-0.8536,16,-0.8562,17,-0.7890,24,-0.2567,23,-0.3322,26,-0.1054,47,1.10188
ENSG00000060656,PTPRU,10,-0.7478,9,-0.8036,23,0.53609,7,-1.3503,28,0.98851,16,-0.0187,17,0.08325
ENSG00000162512,SDC3,98,0.65076,89,0.48374,56,-0.2405,42,-0.7307,66,0.00098,89,0.54595,50,-0.5018
ENSG00000134644,PUM1,101,-0.7825,157,-0.1017,165,-0.0324,188,0.19956,230,0.55823,162,-0.0607,144,-0.2842
ENSG00000121766,ZCCHC17,161,0.23461,105,-0.4304,132,-0.0829,205,0.70047,178,0.44524,106,-0.4584,97,-0.6544
ENSG00000121769,FABP3,30,-1.2159,31,-1.1545,29,-1.2451,59,-0.2157,72,0.13862,57,-0.2569,111,1.09218
ENSG00000162517,PEF1,35,-1.0218,26,-1.4797,54,-0.3876,61,-0.2042,54,-0.4296,67,-0.0458,117,1.12581
ENSG00000084636,COL16A1,48,1.49904,16,-0.3012,4,-2.2594,13,-0.6235,17,-0.2220,23,0.26004,20,0.02859
ENSG00000121753,ADGRB2,46,-1.7727,70,-1.1453,119,-0.3513,202,0.54284,139,-0.1169,158,0.10332,185,0.42994
ENSG00000184007,PTP4A2,1083,2.15097,324,0.05287,603,1.06903,253,-0.3655,202,-0.7319,206,-0.7014,144,-1.3640
ENSG00000121774,KHDRBS1,155,0.15386,173,0.33694,76,-0.9316,174,0.37689,150,0.11259,124,-0.2036,128,-0.1767
ENSG00000025800,KPNA6,91,-0.0129,81,-0.1979,74,-0.3471,104,0.21366,127,0.57736,81,-0.2218,78,-0.3028
ENSG00000084652,TXLNA,40,1.02000,24,0.22421,24,0.21102,15,-0.5501,15,-0.5871,18,-0.2427,23,0.15644
ENSG00000160050,CCDC28B,12,-0.4427,11,-0.6014,10,-0.6696,18,0.21801,7,-1.2455,28,1.00188,18,0.18079
ENSG00000084623,EIF3I,65,-0.5953,71,-0.4434,61,-0.6874,107,0.20628,65,-0.6408,86,-0.1754,143,0.85122
ENSG00000175130,MARCKSL1,540,2.83144,111,-0.0479,124,0.13345,48,-1.4071,39,-1.7141,128,0.19742,55,-1.2690
ENSG00000160058,BSDC1,50,0.22525,34,-0.4051,44,0.02605,39,-0.2128,47,0.11487,45,0.06867,45,0.04880
ENSG00000160062,ZBTB8A,23,0.29962,19,0.03495,27,0.58709,33,1.05894,15,-0.4043,19,0.04463,7,-1.6238
ENSG00000176261,ZBTB8OS,17,-1.4288,60,0.50489,32,-0.4892,44,0.00320,34,-0.3940,54,0.38977,50,0.26186
ENSG00000162521,RBBP4,127,0.26728,114,0.08909,60,-0.8956,136,0.41512,114,0.10490,93,-0.2447,101,-0.1206
ENSG00000162522,KIAA1522,4,-1.8214,19,0.24453,10,-0.7237,18,0.20738,9,-0.9015,19,0.30617,22,0.64697
ENSG00000134684,YARS,19,-2.4324,78,-0.3015,46,-1.1147,108,0.22192,85,-0.1836,88,-0.1346,146,0.88774
ENSG00000160097,FNDC5,5,-2.6198,29,-0.1458,5,-2.6983,25,-0.4060,29,-0.1671,47,0.70199,47,0.80393
ENSG00000121905,HPCA,33,-2.0602,72,-0.9030,124,-0.0703,166,0.43439,111,-0.2682,130,0.00163,172,0.56728
ENSG00000121900,TMEM54,11,-1.4619,30,0.02819,29,-0.0494,18,-0.8498,17,-0.8915,55,1.15634,35,0.34141
ENSG00000004455,AK2,50,0.78129,32,0.08104,8,-1.9350,17,-0.9287,31,0.01331,39,0.40938,35,0.22968
