Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000215790,SLC35E2A,11,-0.5124,9,-0.8482,19,0.24926,17,0.10905,29,0.95859,13,-0.2955,11,-0.5436,13,-0.2913,20,0.38522,24,0.62330,13,-0.2800
ENSG00000008130,NADK,15,-0.4899,35,0.87785,21,0.05804,22,0.11135,28,0.53673,16,-0.3970,16,-0.3633,8,-1.3673,28,0.53730,28,0.52106,20,0.02607
ENSG00000078369,GNB1,356,-0.4343,456,-0.0497,526,0.17213,322,-0.5866,369,-0.3776,495,0.08400,431,-0.1388,430,-0.1555,477,0.02115,711,0.65717,627,0.45190
ENSG00000187730,GABRD,317,1.00529,337,1.10905,235,0.51807,143,-0.2632,77,-1.1898,78,-1.2527,116,-0.5882,227,0.50929,76,-1.2174,140,-0.3014,156,-0.1331
ENSG00000067606,PRKCZ,187,-0.1064,221,0.15671,282,0.54764,169,-0.2627,147,-0.4698,280,0.59171,178,-0.1820,148,-0.4974,119,-0.7896,201,0.00770,239,0.28170
ENSG00000162585,FAAP20,13,-1.1355,17,-0.7552,39,0.53603,11,-1.3470,10,-1.5289,29,0.05767,14,-0.9989,26,-0.1035,39,0.55105,47,0.84937,60,1.25174
ENSG00000157933,SKI,3,-2.9344,20,-0.1258,12,-0.8546,17,-0.3260,41,1.04034,8,-1.5184,13,-0.7400,22,0.03312,49,1.35135,34,0.71823,29,0.50249
ENSG00000157916,RER1,52,0.34168,67,0.74465,60,0.55934,33,-0.3666,28,-0.6201,42,-0.0128,20,-1.0944,37,-0.2079,53,0.37819,48,0.20485,26,-0.6983
ENSG00000157911,PEX10,13,-0.4661,19,0.13234,20,0.20719,10,-0.7859,20,0.19828,13,-0.4231,8,-1.1376,16,-0.0897,36,1.16859,29,0.81878,11,-0.6470
ENSG00000157870,PRXL2B,45,0.20478,48,0.31042,62,0.71488,39,-0.0043,24,-0.7237,32,-0.3659,38,-0.0548,35,-0.2009,26,-0.6551,57,0.57646,40,0.02930
ENSG00000177133,PRDM16-DT,3,-1.9127,4,-1.4524,8,-0.5113,2,-2.1832,12,0.10796,4,-1.4889,2,-2.0956,5,-1.3367,61,3.02410,28,1.45455,8,-0.4880
ENSG00000158109,TPRG1L,265,0.34763,286,0.46638,208,-0.0325,167,-0.3758,132,-0.7295,276,0.45418,198,-0.1141,169,-0.3836,134,-0.7093,249,0.24897,237,0.16622
ENSG00000116213,WRAP73,9,-0.1917,14,0.42138,18,0.86139,18,0.83718,10,-0.0366,5,-1.0781,10,-0.0195,11,0.04510,15,0.59136,2,-2.2668,7,-0.5572
ENSG00000130764,LRRC47,108,0.61382,86,0.24368,93,0.37244,57,-0.3913,52,-0.5241,71,-0.0668,65,-0.1974,96,0.46954,54,-0.4720,50,-0.5717,56,-0.4194
ENSG00000116198,CEP104,17,-1.0753,26,-0.4621,20,-0.8307,50,0.56331,48,0.50280,43,0.35154,60,0.85579,27,-0.4173,41,0.23923,28,-0.3515,25,-0.5215
ENSG00000198912,C1orf174,20,0.67726,15,0.25870,17,0.43047,13,0.00565,6,-0.9906,13,0.06263,7,-0.7805,10,-0.3901,21,0.76884,9,-0.5021,11,-0.2440
ENSG00000196581,AJAP1,27,-0.5876,71,0.92161,26,-0.6512,39,-0.0183,50,0.36929,30,-0.4558,41,0.04560,54,0.53946,24,-0.7339,47,0.26225,22,-0.8672
ENSG00000069424,KCNAB2,274,0.68119,268,0.64859,214,0.28414,147,-0.2989,117,-0.6468,162,-0.1593,133,-0.4565,133,-0.4919,137,-0.4134,278,0.70650,163,-0.1435
ENSG00000116254,CHD5,262,-0.1738,233,-0.3557,143,-1.0938,323,0.15136,386,0.43385,372,0.41828,450,0.68321,316,0.13011,164,-0.8864,228,-0.3889,244,-0.2809
ENSG00000116251,RPL22,277,-0.9410,381,-0.4599,389,-0.4270,302,-0.8142,642,0.35428,501,-0.0393,458,-0.1766,474,-0.1326,656,0.38821,938,0.97286,675,0.43467
ENSG00000116237,ICMT,43,0.33019,63,0.94662,38,0.14008,39,0.17158,30,-0.2230,38,0.13111,18,-0.9790,29,-0.3337,35,-0.0053,21,-0.7984,34,-0.0362
ENSG00000097021,ACOT7,469,1.26676,299,0.51759,385,0.93235,180,-0.2816,88,-1.3530,230,0.11095,179,-0.2928,213,-0.0218,47,-2.2839,118,-0.9235,154,-0.5227
ENSG00000215788,TNFRSF25,3,-1.8111,25,1.37235,12,0.18103,38,2.16349,3,-1.7726,2,-2.1234,5,-1.1535,1,-2.8014,14,0.45657,15,0.57592,14,0.45748
ENSG00000171680,PLEKHG5,23,0.31181,46,1.43690,18,-0.1021,19,-0.0236,9,-1.0946,8,-1.2779,17,-0.1805,23,0.29368,12,-0.7156,31,0.75129,11,-0.8223
ENSG00000162408,NOL9,29,0.31314,35,0.59150,22,-0.1055,30,0.32886,22,-0.1107,25,0.05778,27,0.16337,18,-0.4836,14,-0.8181,19,-0.3560,28,0.25620
ENSG00000204859,ZBTB48,4,-1.2439,14,0.72720,15,0.86187,11,0.43871,7,-0.3588,7,-0.3983,3,-1.3897,9,0.07278,8,-0.1138,14,0.78649,4,-0.9632
ENSG00000162413,KLHL21,23,-0.0123,31,0.45069,35,0.60499,20,-0.2570,23,-0.0203,15,-0.6804,12,-0.9900,24,0.03085,31,0.40705,32,0.47889,20,-0.2504
ENSG00000116273,PHF13,7,-0.7780,20,0.79037,10,-0.2352,7,-0.7714,8,-0.6054,14,0.24846,14,0.20812,19,0.78837,11,-0.1193,4,-1.6006,9,-0.3672
ENSG00000041988,THAP3,17,0.14599,15,-0.0622,20,0.38132,12,-0.4211,16,0.07721,17,0.11307,3,-2.1515,18,0.28178,19,0.34969,11,-0.4783,18,0.21409
ENSG00000007923,DNAJC11,36,0.20393,35,0.13652,36,0.18922,32,0.03618,28,-0.1610,45,0.60839,37,0.25123,19,-0.7882,39,0.34609,18,-0.8392,21,-0.6376
ENSG00000171735,CAMTA1,400,-0.3285,317,-0.6803,413,-0.2796,537,0.12972,354,-0.5132,402,-0.3449,820,0.81096,895,1.08476,285,-0.8427,298,-0.7780,408,-0.2964
ENSG00000049245,VAMP3,6,-1.3883,8,-1.0407,14,-0.2132,16,0.00563,15,-0.1014,10,-0.7933,6,-1.3346,12,-0.5280,66,2.40303,23,0.55360,13,-0.3828
ENSG00000049246,PER3,6,-2.6863,40,0.08338,26,-0.5427,43,0.20417,58,0.66859,32,-0.2875,32,-0.2530,34,-0.1736,74,1.06787,57,0.63287,25,-0.6496
ENSG00000116288,PARK7,249,-0.1182,369,0.49989,399,0.62837,169,-0.7138,145,-0.9443,250,-0.1229,189,-0.5411,283,0.08812,234,-0.2151,432,0.75671,244,-0.1538
ENSG00000116285,ERRFI1,27,0.44243,17,-0.2984,37,0.92840,21,0.04590,12,-0.7432,18,-0.2329,18,-0.2249,20,-0.0039,17,-0.2773,18,-0.1694,22,0.13700
ENSG00000162426,SLC45A1,56,1.24113,36,0.52403,53,1.13689,31,0.28539,11,-1.2749,13,-1.0935,21,-0.3391,28,0.14114,19,-0.4802,16,-0.7422,12,-1.1210
ENSG00000142599,RERE,61,-1.0088,104,-0.1939,102,-0.2219,97,-0.3026,140,0.27300,114,-0.0609,111,-0.0938,143,0.33406,138,0.24326,158,0.45856,109,-0.1241
ENSG00000074800,ENO1,415,0.04226,519,0.39677,601,0.63251,305,-0.4349,200,-1.0715,326,-0.3591,270,-0.6196,295,-0.5229,980,1.46145,507,0.35972,211,-0.9881
ENSG00000171612,SLC25A33,23,-0.0402,20,-0.2978,23,-0.0399,12,-1.0762,9,-1.4100,13,-1.0133,12,-0.9957,20,-0.2954,88,2.22051,41,0.84822,17,-0.4852
ENSG00000188807,TMEM201,12,0.43853,8,-0.1634,7,-0.4365,12,0.41396,10,0.06071,8,-0.2786,4,-1.0474,6,-0.6058,9,-0.1170,17,0.90285,13,0.55957
ENSG00000171608,PIK3CD,20,0.72931,5,-1.2390,22,0.90695,18,0.54385,9,-0.5093,13,0.02918,11,-0.1790,14,0.22599,6,-0.9808,4,-1.6557,13,0.04246
ENSG00000171603,CLSTN1,777,0.19372,1086,0.73167,997,0.59185,676,-0.0258,552,-0.3387,788,0.23614,798,0.23570,681,-0.0136,346,-1.0450,333,-1.1057,428,-0.7278
ENSG00000178585,CTNNBIP1,18,-0.5715,15,-0.8759,56,1.19882,15,-0.8175,18,-0.5704,33,0.37600,19,-0.5355,17,-0.7529,43,0.75395,32,0.27898,30,0.19168
ENSG00000162441,LZIC,47,-0.3408,27,-1.1348,46,-0.3709,38,-0.6579,88,0.65055,81,0.57518,46,-0.3624,64,0.15706,70,0.30078,54,-0.1247,52,-0.1772
ENSG00000130939,UBE4B,63,0.70924,29,-0.4942,44,0.12677,55,0.48963,43,0.08899,51,0.38554,25,-0.7358,38,-0.1108,25,-0.7348,19,-1.1615,46,0.20018
ENSG00000054523,KIF1B,402,-0.2318,302,-0.6697,320,-0.5786,415,-0.1825,663,0.55733,649,0.58130,683,0.60679,478,0.04197,345,-0.4663,246,-0.9803,436,-0.1049
ENSG00000284642,AL139424.2,23,0.89730,14,0.18877,11,-0.1836,16,0.38253,15,0.25740,20,0.83060,5,-1.3201,9,-0.6272,11,-0.2507,3,-2.1464,9,-0.4882
ENSG00000142657,PGD,114,1.01997,41,-0.5993,104,0.87783,64,0.09707,44,-0.4845,58,-0.0748,29,-1.1208,61,0.01127,62,0.03917,38,-0.7145,52,-0.2316
ENSG00000175279,CENPS,21,0.61782,18,0.34574,9,-0.6806,15,0.03442,8,-0.7686,7,-1.1866,20,0.50510,15,0.12821,6,-1.2948,21,0.62526,23,0.76326
ENSG00000241563,CORT,16,-1.6425,20,-1.3229,52,0.14474,29,-0.7462,40,-0.2573,49,0.02961,10,-2.3554,91,1.17287,27,-0.8705,133,1.69844,15,-1.6927
ENSG00000160049,DFFA,41,-0.1605,26,-0.8175,22,-1.0570,31,-0.5727,64,0.54163,38,-0.2686,56,0.32800,56,0.38640,56,0.34593,61,0.47471,40,-0.1848
ENSG00000142655,PEX14,16,-0.1087,22,0.34726,29,0.84314,18,0.04260,7,-1.2396,23,0.45598,11,-0.6261,18,0.06274,18,0.09169,8,-1.1330,13,-0.3687
ENSG00000120948,TARDBP,64,-0.1118,82,0.25501,78,0.19353,82,0.26044,74,0.10833,61,-0.2162,66,-0.0877,64,-0.1423,103,0.63214,63,-0.1390,39,-0.8720
ENSG00000271895,AL109811.2,4,-1.5214,19,0.63379,15,0.30313,48,2.29245,5,-1.3118,8,-0.6364,3,-1.8260,4,-1.5822,21,0.83594,12,0.01417,8,-0.6736
ENSG00000116649,SRM,45,-0.0219,80,0.89439,67,0.59811,27,-0.7893,27,-0.8238,31,-0.6378,14,-1.7322,44,-0.0619,64,0.52191,95,1.16696,27,-0.8184
ENSG00000171824,EXOSC10,16,-0.8885,31,0.03759,28,-0.0840,90,1.83492,39,0.40626,17,-0.8722,24,-0.3440,21,-0.5390,43,0.56008,20,-0.5641,19,-0.6425
ENSG00000198793,MTOR,53,0.36145,55,0.41480,43,0.01945,47,0.17672,30,-0.5136,34,-0.3622,58,0.50145,45,0.09275,45,0.11576,34,-0.3466,26,-0.7241
ENSG00000116661,FBXO2,220,0.55907,215,0.51983,185,0.28576,97,-0.7098,77,-1.0542,86,-0.9611,88,-0.8610,76,-1.1497,391,1.53523,310,1.12958,102,-0.6368
ENSG00000132879,FBXO44,74,-0.1475,159,1.08408,113,0.53328,79,-0.0431,53,-0.6406,100,0.35776,51,-0.7183,49,-0.8066,52,-0.6889,110,0.48612,65,-0.3418
ENSG00000116670,MAD2L2,2,-1.7404,15,0.97036,7,-0.1421,8,0.04390,6,-0.3289,6,-0.4504,1,-2.2410,2,-2.1525,8,0.08527,25,1.82073,15,0.97879
ENSG00000177000,MTHFR,18,-0.1801,29,0.52218,12,-0.7401,27,0.41055,27,0.42591,19,-0.0803,21,0.05464,18,-0.1763,21,0.01378,28,0.46914,8,-1.3974
ENSG00000011021,CLCN6,68,0.07852,62,-0.0514,92,0.56108,65,0.02949,62,-0.0523,75,0.26940,46,-0.5059,55,-0.2495,57,-0.1714,46,-0.5137,76,0.25680
ENSG00000116685,KIAA2013,36,0.33458,37,0.36219,20,-0.5609,39,0.46727,40,0.49525,34,0.26754,30,0.04258,20,-0.6101,31,0.10686,23,-0.3604,14,-1.0805
ENSG00000083444,PLOD1,14,-0.0794,16,0.10931,21,0.51293,15,-0.0176,15,0.03374,13,-0.2457,8,-0.8646,10,-0.5860,34,1.34250,7,-1.0635,17,0.17376
ENSG00000116688,MFN2,146,0.34211,145,0.33115,181,0.68388,98,-0.2814,97,-0.2949,130,0.17319,117,-0.0131,107,-0.1673,78,-0.6354,99,-0.2643,95,-0.3295
ENSG00000116691,MIIP,6,-0.7287,12,0.29039,9,-0.1104,14,0.53579,23,1.36649,3,-1.5656,4,-1.3423,6,-0.7751,26,1.58141,9,-0.0134,5,-0.9365
ENSG00000048707,VPS13D,58,-0.3667,63,-0.2302,85,0.23083,101,0.49460,113,0.68039,78,0.09106,79,0.11669,74,0.00330,74,0.00372,31,-1.3127,50,-0.5981
ENSG00000162496,DHRS3,25,1.11136,8,-0.6966,5,-1.3273,9,-0.4833,10,-0.2767,1,-3.7479,1,-2.7784,1,-2.9459,62,2.87861,28,1.31173,7,-0.7903
ENSG00000116731,PRDM2,184,-0.6245,205,-0.4624,96,-1.5993,301,0.12927,453,0.78573,333,0.31803,460,0.81248,359,0.45218,138,-1.0648,163,-0.8141,218,-0.3700
ENSG00000189337,KAZN,90,0.47335,21,-1.6892,88,0.43581,58,-0.2119,61,-0.1360,59,-0.1912,38,-0.8416,96,0.65435,68,0.04421,46,-0.5510,82,0.33229
ENSG00000142634,EFHD2,81,-0.3591,11,-3.2670,110,0.10630,124,0.29655,96,-0.1024,278,1.97137,111,0.11735,45,-1.3294,58,-0.8710,15,-2.8779,82,-0.3383
ENSG00000116138,DNAJC16,38,-0.0340,40,0.02838,45,0.23259,41,0.07699,48,0.32582,35,-0.1657,45,0.23119,52,0.48226,27,-0.5521,17,-1.2784,32,-0.2915
ENSG00000197312,DDI2,31,-0.5884,31,-0.5555,35,-0.3903,59,0.43323,51,0.20034,48,0.11403,57,0.36120,70,0.78669,25,-0.8738,23,-1.0027,36,-0.3286
ENSG00000116786,PLEKHM2,79,-0.2704,77,-0.3156,59,-0.7210,57,-0.7682,93,-0.0296,91,-0.0643,99,0.07391,77,-0.3350,104,0.14938,163,0.87370,161,0.84952
ENSG00000065526,SPEN,86,-1.2619,103,-0.9962,75,-1.4623,189,-0.0672,404,1.16193,185,-0.1111,331,0.82673,294,0.70959,244,0.33638,73,-1.4971,103,-0.9924
ENSG00000116809,ZBTB17,17,-0.0551,20,0.20096,24,0.44201,11,-0.7538,33,0.95500,18,0.00806,10,-0.8048,13,-0.5531,28,0.71606,13,-0.4336,14,-0.3445
ENSG00000185519,FAM131C,6,-0.6325,1,-2.8110,25,1.57571,5,-0.9700,11,0.16232,2,-1.9497,2,-2.1297,17,1.05159,9,-0.0124,12,0.41513,12,0.39081
ENSG00000037637,FBXO42,17,0.01628,21,0.28225,22,0.39566,32,1.01742,11,-0.6809,22,0.43960,14,-0.2467,17,0.01584,10,-0.7383,8,-1.0846,7,-1.2608
ENSG00000055070,SZRD1,12,-0.7852,8,-1.3988,17,-0.2679,18,-0.2413,36,0.87186,15,-0.5231,15,-0.4936,16,-0.4401,51,1.46163,36,0.87256,15,-0.5199
ENSG00000219481,NBPF1,8,-0.4529,7,-0.5930,8,-0.4850,19,0.80975,18,0.74211,8,-0.5518,5,-1.1933,12,0.09958,23,1.13895,8,-0.5462,10,-0.2220
ENSG00000159363,ATP13A2,207,1.15259,116,0.21317,179,0.90946,95,-0.0981,49,-1.1020,83,-0.3311,64,-0.7166,88,-0.2341,67,-0.6351,97,-0.0753,103,0.02229
ENSG00000117118,SDHB,72,0.43310,87,0.73674,90,0.80273,34,-0.7313,44,-0.3117,30,-0.9672,34,-0.7196,65,0.31211,49,-0.1688,59,0.13247,49,-0.1650
ENSG00000117115,PADI2,9,-1.8918,7,-2.2714,16,-1.0938,10,-1.8009,82,1.41874,33,-0.0597,4,-3.1052,6,-2.6013,161,2.74519,40,0.23607,37,0.11721
ENSG00000179051,RCC2,37,0.74564,25,0.12142,35,0.66594,17,-0.4863,12,-0.9791,13,-0.8898,9,-1.3626,30,0.46899,21,-0.1321,23,-0.0133,34,0.59888
ENSG00000074964,ARHGEF10L,16,0.46848,13,0.09840,12,-0.0030,6,-0.9047,19,0.72688,5,-1.3464,2,-2.7313,9,-0.3943,24,1.07030,15,0.36397,20,0.81266
ENSG00000117154,IGSF21,92,1.10580,67,0.58304,54,0.23815,66,0.56272,54,0.24512,26,-0.9468,57,0.32285,23,-1.1282,26,-0.8983,41,-0.1932,48,0.05856
ENSG00000159423,ALDH4A1,9,-0.5501,11,-0.3097,10,-0.4025,4,-1.7952,13,-0.0063,8,-0.9048,4,-1.6052,5,-1.3746,48,2.13710,34,1.49293,15,0.15444
ENSG00000127481,UBR4,46,-0.2033,33,-0.7149,26,-1.0401,89,0.86025,68,0.42219,66,0.41710,84,0.75595,49,-0.1135,46,-0.2037,22,-1.3029,34,-0.6431
ENSG00000127463,EMC1,31,-0.0953,36,0.14138,34,0.05176,51,0.70692,30,-0.1513,32,-0.0489,41,0.34626,22,-0.6559,43,0.43361,30,-0.1269,23,-0.5562
ENSG00000053372,MRTO4,34,-0.3083,51,0.32154,54,0.40810,40,-0.0531,28,-0.5954,38,-0.1651,54,0.40450,32,-0.4462,46,0.13564,51,0.30633,45,0.11057
ENSG00000053371,AKR7A2,14,-0.5202,33,0.80939,11,-0.8235,16,-0.2828,22,0.15379,19,-0.0561,8,-1.2263,12,-0.8290,42,1.20656,36,0.97258,11,-0.7956
ENSG00000077549,CAPZB,202,0.38409,191,0.29216,211,0.45603,174,0.15021,119,-0.4449,131,-0.3209,176,0.16141,161,0.03295,134,-0.2575,176,0.16900,91,-0.8424
ENSG00000173436,MICOS10,247,-0.1716,232,-0.2732,394,0.56188,176,-0.6904,190,-0.5803,265,-0.0713,183,-0.6377,225,-0.3470,192,-0.5628,495,0.93743,506,0.97461
ENSG00000158747,NBL1,138,0.29861,127,0.17677,147,0.40409,128,0.17924,57,-1.0554,149,0.47025,84,-0.4617,77,-0.6352,85,-0.4502,157,0.50754,104,-0.1382
ENSG00000169914,OTUD3,14,-1.0610,29,-0.0331,17,-0.7856,64,1.27453,50,0.86869,26,-0.2157,25,-0.2181,26,-0.1665,18,-0.7191,23,-0.3545,34,0.23534
ENSG00000162545,CAMK2N1,538,-1.7536,2463,0.57336,928,-0.9416,835,-1.1009,1752,0.03165,1048,-0.8110,1202,-0.5497,1536,-0.1880,2528,0.61564,5136,1.84177,1774,0.05074
ENSG00000090432,MUL1,17,0.14200,17,0.20837,16,0.08032,19,0.30355,13,-0.2586,18,0.32486,7,-1.0880,13,-0.2259,19,0.36438,8,-1.0122,19,0.32121
ENSG00000183114,FAM43B,11,-0.2087,2,-2.5671,16,0.28262,9,-0.5583,13,-0.0252,21,0.82881,10,-0.4314,20,0.77006,8,-0.6666,5,-1.4021,13,0.02494
ENSG00000158828,PINK1,611,0.63532,415,0.02068,541,0.44031,347,-0.2552,231,-0.8787,429,0.07851,425,0.05750,368,-0.1821,287,-0.5454,363,-0.1891,512,0.35182
ENSG00000244038,DDOST,24,0.02820,55,1.37174,24,0.01219,22,-0.0780,11,-1.1095,13,-0.9819,16,-0.5415,23,-0.0101,47,1.10292,25,0.07563,10,-1.3116
ENSG00000117245,KIF17,18,-0.5741,14,-0.9558,47,0.92020,21,-0.3041,9,-1.5949,66,1.79777,27,0.06151,21,-0.3505,6,-2.1756,3,-2.8577,20,-0.4389
ENSG00000189410,SH2D5,42,0.10596,88,1.30054,50,0.36698,43,0.13404,17,-1.2342,22,-0.9651,21,-0.9446,35,-0.2067,31,-0.3642,61,0.68144,47,0.26205
ENSG00000127483,HP1BP3,180,-0.7846,214,-0.5197,176,-0.8167,265,-0.1937,482,0.76021,289,-0.0620,368,0.32315,442,0.68807,293,-0.0353,219,-0.4874,240,-0.3457
ENSG00000075151,EIF4G3,545,0.64896,282,-0.3899,198,-0.9267,434,0.28128,439,0.30178,273,-0.4696,612,0.83777,584,0.85728,147,-1.3702,141,-1.4283,202,-0.8982
ENSG00000117298,ECE1,7,-1.3241,19,0.21113,11,-0.6714,21,0.31584,25,0.57985,11,-0.6545,9,-0.9747,7,-1.2684,66,2.31898,15,-0.1831,11,-0.6975
ENSG00000076864,RAP1GAP,82,-0.2613,112,0.22963,202,1.19439,168,0.88251,66,-0.5953,128,0.48771,55,-0.8616,62,-0.7239,56,-0.8366,52,-0.9355,85,-0.1947
ENSG00000090686,USP48,61,-0.5420,73,-0.2600,65,-0.4311,120,0.51243,149,0.86690,78,-0.1640,117,0.48010,123,0.62343,56,-0.6617,32,-1.5099,49,-0.8773
ENSG00000070831,CDC42,225,0.50800,200,0.32351,263,0.75965,186,0.20200,135,-0.2878,174,0.10586,133,-0.3140,127,-0.4199,128,-0.3727,99,-0.7575,151,-0.1237
ENSG00000184677,ZBTB40,4,-1.4636,4,-1.3584,10,-0.2072,13,0.21646,24,1.23967,10,-0.2275,13,0.27137,13,0.22865,22,1.09364,7,-0.6672,2,-2.2783
ENSG00000173372,C1QA,5,-1.3930,6,-1.0978,4,-1.5359,3,-2.0815,8,-0.6710,4,-1.7047,2,-2.2312,5,-1.4680,54,2.57559,57,2.70624,3,-2.1290
