Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000221978,CCNL2,50,0.09211,57,0.34389,93,1.10906,63,0.45458,37,-0.3760,29,-0.8297,64,0.48796,36,-0.3930,27,-0.8410
ENSG00000242485,MRPL20,152,0.24765,190,0.68083,95,-0.4715,90,-0.5682,117,-0.1704,103,-0.4149,109,-0.2624,190,0.60926,125,-0.0632
ENSG00000235098,ANKRD65,9,-1.4035,35,0.60690,15,-0.7364,33,0.45871,16,-0.7072,20,-0.4063,36,0.59676,41,0.79337,25,0.04782
ENSG00000179403,VWA1,9,-0.8384,7,-1.2129,5,-1.7151,40,1.53092,28,1.04282,7,-1.3258,32,1.11725,12,-0.4452,15,-0.0657
ENSG00000197785,ATAD3A,11,0.07222,16,0.67677,14,0.40843,6,-0.8805,5,-1.2100,7,-0.7712,14,0.39456,19,0.86342,14,0.39270
ENSG00000205090,TMEM240,14,-0.4018,29,0.74574,18,-0.0986,19,-0.0189,15,-0.3247,18,-0.0465,4,-2.0897,31,0.75870,16,-0.2807
ENSG00000160075,SSU72,161,0.38970,169,0.52372,107,-0.2486,82,-0.6620,124,-0.0280,99,-0.4303,114,-0.1490,179,0.55993,108,-0.2371
ENSG00000228594,FNDC10,51,0.91905,38,0.47979,23,-0.2970,15,-0.9283,22,-0.4135,20,-0.5771,24,-0.2611,50,0.89665,26,-0.1626
ENSG00000272106,AL691432.2,4,-1.7789,24,0.98024,8,-0.7973,6,-1.1959,18,0.46849,10,-0.6336,17,0.30286,15,0.08200,17,0.31836
ENSG00000197530,MIB2,24,-0.1594,36,0.55023,33,0.36478,20,-0.3878,23,-0.2130,9,-1.7275,55,1.16657,31,0.25204,33,0.36637
ENSG00000248333,CDK11B,38,-0.5439,34,-0.7528,54,0.00255,57,0.09965,54,0.00210,83,0.88029,40,-0.4662,42,-0.3881,44,-0.3104
ENSG00000189339,SLC35E2B,12,0.39614,11,0.29652,15,0.75212,10,0.17411,5,-1.0123,5,-0.9663,19,1.10156,7,-0.3240,10,0.05564
ENSG00000008128,CDK11A,18,0.12697,15,-0.1375,16,-0.0690,20,0.27884,11,-0.6774,21,0.48997,20,0.27396,11,-0.6281,15,-0.1887
ENSG00000215790,SLC35E2A,11,-0.5124,14,-0.2281,17,0.10905,29,0.95859,13,-0.2955,13,-0.4173,20,0.38522,24,0.62330,13,-0.2800
ENSG00000008130,NADK,15,-0.4899,28,0.57073,22,0.11135,28,0.53673,16,-0.3970,11,-1.0484,28,0.53730,28,0.52106,20,0.02607
ENSG00000078369,GNB1,356,-0.4343,491,0.07083,322,-0.5866,369,-0.3776,495,0.08400,430,-0.1684,477,0.02115,711,0.65717,627,0.45190
ENSG00000187730,GABRD,317,1.00529,286,0.94275,143,-0.2632,77,-1.1898,78,-1.2527,190,0.21370,76,-1.2174,140,-0.3014,156,-0.1331
ENSG00000067606,PRKCZ,187,-0.1064,252,0.40084,169,-0.2627,147,-0.4698,280,0.59171,158,-0.4261,119,-0.7896,201,0.00770,239,0.28170
ENSG00000162585,FAAP20,13,-1.1355,28,0.01112,11,-1.3470,10,-1.5289,29,0.05767,22,-0.4046,39,0.55105,47,0.84937,60,1.25174
ENSG00000157933,SKI,3,-2.9344,16,-0.4845,17,-0.3260,41,1.04034,8,-1.5184,19,-0.2238,49,1.35135,34,0.71823,29,0.50249
ENSG00000157916,RER1,52,0.34168,63,0.73157,33,-0.3666,28,-0.6201,42,-0.0128,31,-0.5144,53,0.37819,48,0.20485,26,-0.6983
ENSG00000157911,PEX10,13,-0.4661,19,0.18668,10,-0.7859,20,0.19828,13,-0.4231,14,-0.4271,36,1.16859,29,0.81878,11,-0.6470
ENSG00000157870,PRXL2B,45,0.20478,55,0.58236,39,-0.0043,24,-0.7237,32,-0.3659,36,-0.1672,26,-0.6551,57,0.57646,40,0.02930
ENSG00000177133,PRDM16-DT,3,-1.9127,6,-0.9727,2,-2.1832,12,0.10796,4,-1.4889,4,-1.6678,61,3.02410,28,1.45455,8,-0.4880
ENSG00000158109,TPRG1L,265,0.34763,247,0.25794,167,-0.3758,132,-0.7295,276,0.45418,179,-0.3195,134,-0.7093,249,0.24897,237,0.16622
ENSG00000116213,WRAP73,9,-0.1917,16,0.73154,18,0.83718,10,-0.0366,5,-1.0781,11,0.02552,15,0.59136,2,-2.2668,7,-0.5572
ENSG00000130764,LRRC47,108,0.61382,89,0.34093,57,-0.3913,52,-0.5241,71,-0.0668,86,0.29376,54,-0.4720,50,-0.5717,56,-0.4194
ENSG00000116198,CEP104,17,-1.0753,23,-0.6818,50,0.56331,48,0.50280,43,0.35154,38,0.15876,41,0.23923,28,-0.3515,25,-0.5215
ENSG00000198912,C1orf174,20,0.67726,16,0.38272,13,0.00565,6,-0.9906,13,0.06263,9,-0.5700,21,0.76884,9,-0.5021,11,-0.2440
ENSG00000196581,AJAP1,27,-0.5876,48,0.33654,39,-0.0183,50,0.36929,30,-0.4558,50,0.43271,24,-0.7339,47,0.26225,22,-0.8672
ENSG00000069424,KCNAB2,274,0.68119,241,0.52760,147,-0.2989,117,-0.6468,162,-0.1593,133,-0.5329,137,-0.4134,278,0.70650,163,-0.1435
ENSG00000116254,CHD5,262,-0.1738,188,-0.7312,323,0.15136,386,0.43385,372,0.41828,361,0.40271,164,-0.8864,228,-0.3889,244,-0.2809
ENSG00000116251,RPL22,277,-0.9410,385,-0.4777,302,-0.8142,642,0.35428,501,-0.0393,469,-0.1664,656,0.38821,938,0.97286,675,0.43467
ENSG00000116237,ICMT,43,0.33019,51,0.65434,39,0.17158,30,-0.2230,38,0.13111,25,-0.5852,35,-0.0053,21,-0.7984,34,-0.0362
ENSG00000097021,ACOT7,469,1.26676,342,0.82630,180,-0.2816,88,-1.3530,230,0.11095,201,-0.1264,47,-2.2839,118,-0.9235,154,-0.5227
ENSG00000215788,TNFRSF25,3,-1.8111,18,0.97861,38,2.16349,3,-1.7726,2,-2.1234,2,-2.1941,14,0.45657,15,0.57592,14,0.45748
ENSG00000171680,PLEKHG5,23,0.31181,32,0.92122,19,-0.0236,9,-1.0946,8,-1.2779,21,0.15771,12,-0.7156,31,0.75129,11,-0.8223
ENSG00000162408,NOL9,29,0.31314,29,0.30523,30,0.32886,22,-0.1107,25,0.05778,21,-0.2592,14,-0.8181,19,-0.3560,28,0.25620
ENSG00000204859,ZBTB48,4,-1.2439,14,0.89561,11,0.43871,7,-0.3588,7,-0.3983,7,-0.3423,8,-0.1138,14,0.78649,4,-0.9632
ENSG00000162413,KLHL21,23,-0.0123,33,0.58881,20,-0.2570,23,-0.0203,15,-0.6804,20,-0.2910,31,0.40705,32,0.47889,20,-0.2504
ENSG00000116273,PHF13,7,-0.7780,15,0.38697,7,-0.7714,8,-0.6054,14,0.24846,17,0.69427,11,-0.1193,4,-1.6006,9,-0.3672
ENSG00000041988,THAP3,17,0.14599,17,0.19049,12,-0.4211,16,0.07721,17,0.11307,13,-0.2681,19,0.34969,11,-0.4783,18,0.21409
ENSG00000007923,DNAJC11,36,0.20393,35,0.17885,32,0.03618,28,-0.1610,45,0.60839,25,-0.3976,39,0.34609,18,-0.8392,21,-0.6376
ENSG00000171735,CAMTA1,400,-0.3285,365,-0.5035,537,0.12972,354,-0.5132,402,-0.3449,870,1.18717,285,-0.8427,298,-0.7780,408,-0.2964
ENSG00000049245,VAMP3,6,-1.3883,11,-0.6169,16,0.00563,15,-0.1014,10,-0.7933,10,-0.8350,66,2.40303,23,0.55360,13,-0.3828
ENSG00000049246,PER3,6,-2.6863,33,-0.2173,43,0.20417,58,0.66859,32,-0.2875,33,-0.2256,74,1.06787,57,0.63287,25,-0.6496
ENSG00000116288,PARK7,249,-0.1182,384,0.62957,169,-0.7138,145,-0.9443,250,-0.1229,252,-0.1217,234,-0.2151,432,0.75671,244,-0.1538
ENSG00000116285,ERRFI1,27,0.44243,27,0.46255,21,0.04590,12,-0.7432,18,-0.2329,19,-0.0885,17,-0.2773,18,-0.1694,22,0.13700
ENSG00000162426,SLC45A1,56,1.24113,45,0.96450,31,0.28539,11,-1.2749,13,-1.0935,26,-0.0158,19,-0.4802,16,-0.7422,12,-1.1210
ENSG00000142599,RERE,61,-1.0088,103,-0.2253,97,-0.3026,140,0.27300,114,-0.0609,132,0.21958,138,0.24326,158,0.45856,109,-0.1241
ENSG00000074800,ENO1,415,0.04226,560,0.57628,305,-0.4349,200,-1.0715,326,-0.3591,286,-0.6152,980,1.46145,507,0.35972,211,-0.9881
ENSG00000171612,SLC25A33,23,-0.0402,21,-0.1779,12,-1.0762,9,-1.4100,13,-1.0133,17,-0.5593,88,2.22051,41,0.84822,17,-0.4852
ENSG00000188807,TMEM201,12,0.43853,8,-0.3183,12,0.41396,10,0.06071,8,-0.2786,6,-0.8173,9,-0.1170,17,0.90285,13,0.55957
ENSG00000171608,PIK3CD,20,0.72931,14,0.16408,18,0.54385,9,-0.5093,13,0.02918,13,0.10482,6,-0.9808,4,-1.6557,13,0.04246
ENSG00000171603,CLSTN1,777,0.19372,1041,0.74168,676,-0.0258,552,-0.3387,788,0.23614,720,0.08958,346,-1.0450,333,-1.1057,428,-0.7278
ENSG00000178585,CTNNBIP1,18,-0.5715,35,0.49534,15,-0.8175,18,-0.5704,33,0.37600,17,-0.7458,43,0.75395,32,0.27898,30,0.19168
ENSG00000162441,LZIC,47,-0.3408,37,-0.7576,38,-0.6579,88,0.65055,81,0.57518,58,-0.0108,70,0.30078,54,-0.1247,52,-0.1772
ENSG00000130939,UBE4B,63,0.70924,37,-0.1684,55,0.48963,43,0.08899,51,0.38554,34,-0.3385,25,-0.7348,19,-1.1615,46,0.20018
ENSG00000054523,KIF1B,402,-0.2318,311,-0.6688,415,-0.1825,663,0.55733,649,0.58130,547,0.30412,345,-0.4663,246,-0.9803,436,-0.1049
ENSG00000284642,AL139424.2,23,0.89730,13,0.01385,16,0.38253,15,0.25740,20,0.83060,7,-0.9107,11,-0.2507,3,-2.1464,9,-0.4882
ENSG00000142657,PGD,114,1.01997,72,0.31954,64,0.09707,44,-0.4845,58,-0.0748,50,-0.3384,62,0.03917,38,-0.7145,52,-0.2316
ENSG00000175279,CENPS,21,0.61782,13,-0.0983,15,0.03442,8,-0.7686,7,-1.1866,17,0.31324,6,-1.2948,21,0.62526,23,0.76326
ENSG00000241563,CORT,16,-1.6425,36,-0.4621,29,-0.7462,40,-0.2573,49,0.02961,64,0.56076,27,-0.8705,133,1.69844,15,-1.6927
ENSG00000160049,DFFA,41,-0.1605,24,-0.9938,31,-0.5727,64,0.54163,38,-0.2686,56,0.42216,56,0.34593,61,0.47471,40,-0.1848
ENSG00000142655,PEX14,16,-0.1087,26,0.68263,18,0.04260,7,-1.2396,23,0.45598,16,-0.1673,18,0.09169,8,-1.1330,13,-0.3687
ENSG00000120948,TARDBP,64,-0.1118,80,0.24680,82,0.26044,74,0.10833,61,-0.2162,64,-0.1386,103,0.63214,63,-0.1390,39,-0.8720
ENSG00000271895,AL109811.2,4,-1.5214,17,0.52815,48,2.29245,5,-1.3118,8,-0.6364,4,-1.7825,21,0.83594,12,0.01417,8,-0.6736
ENSG00000116649,SRM,45,-0.0219,74,0.84461,27,-0.7893,27,-0.8238,31,-0.6378,34,-0.5220,64,0.52191,95,1.16696,27,-0.8184
ENSG00000171824,EXOSC10,16,-0.8885,29,-0.0241,90,1.83492,39,0.40626,17,-0.8722,22,-0.5219,43,0.56008,20,-0.5641,19,-0.6425
ENSG00000198793,MTOR,53,0.36145,49,0.25090,47,0.17672,30,-0.5136,34,-0.3622,49,0.28680,45,0.11576,34,-0.3466,26,-0.7241
ENSG00000116661,FBXO2,220,0.55907,200,0.44994,97,-0.7098,77,-1.0542,86,-0.9611,80,-1.1428,391,1.53523,310,1.12958,102,-0.6368
ENSG00000132879,FBXO44,74,-0.1475,136,0.93361,79,-0.0431,53,-0.6406,100,0.35776,50,-0.8537,52,-0.6889,110,0.48612,65,-0.3418
ENSG00000116670,MAD2L2,2,-1.7404,11,0.55294,8,0.04390,6,-0.3289,6,-0.4504,2,-2.3217,8,0.08527,25,1.82073,15,0.97879
ENSG00000177000,MTHFR,18,-0.1801,20,0.00616,27,0.41055,27,0.42591,19,-0.0803,19,-0.1037,21,0.01378,28,0.46914,8,-1.3974
ENSG00000011021,CLCN6,68,0.07852,77,0.30976,65,0.02949,62,-0.0523,75,0.26940,52,-0.3730,57,-0.1714,46,-0.5137,76,0.25680
ENSG00000116685,KIAA2013,36,0.33458,28,-0.0405,39,0.46727,40,0.49525,34,0.26754,23,-0.3976,31,0.10686,23,-0.3604,14,-1.0805
ENSG00000083444,PLOD1,14,-0.0794,18,0.35579,15,-0.0176,15,0.03374,13,-0.2457,10,-0.7452,34,1.34250,7,-1.0635,17,0.17376
ENSG00000116688,MFN2,146,0.34211,163,0.57351,98,-0.2814,97,-0.2949,130,0.17319,110,-0.1260,78,-0.6354,99,-0.2643,95,-0.3295
ENSG00000116691,MIIP,6,-0.7287,10,0.11120,14,0.53579,23,1.36649,3,-1.5656,5,-1.0330,26,1.58141,9,-0.0134,5,-0.9365
ENSG00000048707,VPS13D,58,-0.3667,74,0.01725,101,0.49460,113,0.68039,78,0.09106,76,0.05026,74,0.00372,31,-1.3127,50,-0.5981
ENSG00000162496,DHRS3,25,1.11136,6,-1.0437,9,-0.4833,10,-0.2767,1,-3.7479,1,-3.0459,62,2.87861,28,1.31173,7,-0.7903
ENSG00000116731,PRDM2,184,-0.6245,151,-0.9912,301,0.12927,453,0.78573,333,0.31803,392,0.69477,138,-1.0648,163,-0.8141,218,-0.3700
ENSG00000189337,KAZN,90,0.47335,55,-0.3283,58,-0.2119,61,-0.1360,59,-0.1912,77,0.27947,68,0.04421,46,-0.5510,82,0.33229
ENSG00000142634,EFHD2,81,-0.3591,60,-0.8625,124,0.29655,96,-0.1024,278,1.97137,67,-0.7613,58,-0.8710,15,-2.8779,82,-0.3383
ENSG00000116138,DNAJC16,38,-0.0340,43,0.14627,41,0.07699,48,0.32582,35,-0.1657,50,0.45671,27,-0.5521,17,-1.2784,32,-0.2915
ENSG00000197312,DDI2,31,-0.5884,33,-0.5068,59,0.43323,51,0.20034,48,0.11403,66,0.75073,25,-0.8738,23,-1.0027,36,-0.3286
ENSG00000116786,PLEKHM2,79,-0.2704,68,-0.5439,57,-0.7682,93,-0.0296,91,-0.0643,84,-0.2040,104,0.14938,163,0.87370,161,0.84952
ENSG00000065526,SPEN,86,-1.2619,89,-1.2845,189,-0.0672,404,1.16193,185,-0.1111,307,0.89411,244,0.33638,73,-1.4971,103,-0.9924
ENSG00000116809,ZBTB17,17,-0.0551,22,0.35916,11,-0.7538,33,0.95500,18,0.00806,12,-0.7011,28,0.71606,13,-0.4336,14,-0.3445
ENSG00000185519,FAM131C,6,-0.6325,13,0.55414,5,-0.9700,11,0.16232,2,-1.9497,12,0.46199,9,-0.0124,12,0.41513,12,0.39081
ENSG00000037637,FBXO42,17,0.01628,21,0.37512,32,1.01742,11,-0.6809,22,0.43960,16,-0.0814,10,-0.7383,8,-1.0846,7,-1.2608
ENSG00000055070,SZRD1,12,-0.7852,13,-0.7863,18,-0.2413,36,0.87186,15,-0.5231,15,-0.5095,51,1.46163,36,0.87256,15,-0.5199
ENSG00000219481,NBPF1,8,-0.4529,8,-0.5784,19,0.80975,18,0.74211,8,-0.5518,10,-0.2792,23,1.13895,8,-0.5462,10,-0.2220
ENSG00000159363,ATP13A2,207,1.15259,148,0.66219,95,-0.0981,49,-1.1020,83,-0.3311,80,-0.4298,67,-0.6351,97,-0.0753,103,0.02229
ENSG00000117118,SDHB,72,0.43310,88,0.86562,34,-0.7313,44,-0.3117,30,-0.9672,55,0.01262,49,-0.1688,59,0.13247,49,-0.1650
ENSG00000117115,PADI2,9,-1.8918,12,-1.6560,10,-1.8009,82,1.41874,33,-0.0597,5,-2.8984,161,2.74519,40,0.23607,37,0.11721
ENSG00000179051,RCC2,37,0.74564,30,0.45847,17,-0.4863,12,-0.9791,13,-0.8898,23,0.01362,21,-0.1321,23,-0.0133,34,0.59888
ENSG00000074964,ARHGEF10L,16,0.46848,12,0.05291,6,-0.9047,19,0.72688,5,-1.3464,7,-0.9562,24,1.07030,15,0.36397,20,0.81266
ENSG00000117154,IGSF21,92,1.10580,61,0.46369,66,0.56272,54,0.24512,26,-0.9468,34,-0.5385,26,-0.8983,41,-0.1932,48,0.05856
ENSG00000159423,ALDH4A1,9,-0.5501,11,-0.3838,4,-1.7952,13,-0.0063,8,-0.9048,5,-1.5629,48,2.13710,34,1.49293,15,0.15444
ENSG00000127481,UBR4,46,-0.2033,29,-0.9273,89,0.86025,68,0.42219,66,0.41710,60,0.28180,46,-0.2037,22,-1.3029,34,-0.6431
ENSG00000127463,EMC1,31,-0.0953,35,0.10632,51,0.70692,30,-0.1513,32,-0.0489,28,-0.2698,43,0.43361,30,-0.1269,23,-0.5562
ENSG00000053372,MRTO4,34,-0.3083,53,0.40365,40,-0.0531,28,-0.5954,38,-0.1651,39,-0.1136,46,0.13564,51,0.30633,45,0.11057
ENSG00000053371,AKR7A2,14,-0.5202,22,0.19623,16,-0.2828,22,0.15379,19,-0.0561,11,-1.0411,42,1.20656,36,0.97258,11,-0.7956
ENSG00000077549,CAPZB,202,0.38409,201,0.41555,174,0.15021,119,-0.4449,131,-0.3209,166,0.09053,134,-0.2575,176,0.16900,91,-0.8424
ENSG00000173436,MICOS10,247,-0.1716,313,0.21284,176,-0.6904,190,-0.5803,265,-0.0713,211,-0.4910,192,-0.5628,495,0.93743,506,0.97461
ENSG00000158747,NBL1,138,0.29861,137,0.32404,128,0.17924,57,-1.0554,149,0.47025,80,-0.6355,85,-0.4502,157,0.50754,104,-0.1382
ENSG00000169914,OTUD3,14,-1.0610,23,-0.3957,64,1.27453,50,0.86869,26,-0.2157,26,-0.2072,18,-0.7191,23,-0.3545,34,0.23534
ENSG00000162545,CAMK2N1,538,-1.7536,1696,-0.0216,835,-1.1009,1752,0.03165,1048,-0.8110,1425,-0.3409,2528,0.61564,5136,1.84177,1774,0.05074
ENSG00000090432,MUL1,17,0.14200,17,0.15951,19,0.30355,13,-0.2586,18,0.32486,11,-0.5275,19,0.36438,8,-1.0122,19,0.32121
ENSG00000183114,FAM43B,11,-0.2087,9,-0.6182,9,-0.5583,13,-0.0252,21,0.82881,17,0.47918,8,-0.6666,5,-1.4021,13,0.02494
ENSG00000158828,PINK1,611,0.63532,478,0.26725,347,-0.2552,231,-0.8787,429,0.07851,387,-0.1065,287,-0.5454,363,-0.1891,512,0.35182
ENSG00000244038,DDOST,24,0.02820,39,0.91210,22,-0.0780,11,-1.1095,13,-0.9819,21,-0.2000,47,1.10292,25,0.07563,10,-1.3116
ENSG00000117245,KIF17,18,-0.5741,30,0.24634,21,-0.3041,9,-1.5949,66,1.79777,23,-0.2200,6,-2.1756,3,-2.8577,20,-0.4389
ENSG00000189410,SH2D5,42,0.10596,69,1.00504,43,0.13404,17,-1.2342,22,-0.9651,30,-0.4742,31,-0.3642,61,0.68144,47,0.26205
ENSG00000127483,HP1BP3,180,-0.7846,195,-0.7088,265,-0.1937,482,0.76021,289,-0.0620,417,0.65597,293,-0.0353,219,-0.4874,240,-0.3457
ENSG00000075151,EIF4G3,545,0.64896,240,-0.6820,434,0.28128,439,0.30178,273,-0.4696,593,1.01479,147,-1.3702,141,-1.4283,202,-0.8982
ENSG00000117298,ECE1,7,-1.3241,15,-0.1872,21,0.31584,25,0.57985,11,-0.6545,8,-1.2668,66,2.31898,15,-0.1831,11,-0.6975
ENSG00000076864,RAP1GAP,82,-0.2613,157,0.86813,168,0.88251,66,-0.5953,128,0.48771,60,-0.8461,56,-0.8366,52,-0.9355,85,-0.1947
ENSG00000090686,USP48,61,-0.5420,69,-0.3708,120,0.51243,149,0.86690,78,-0.1640,121,0.66897,56,-0.6617,32,-1.5099,49,-0.8773
ENSG00000070831,CDC42,225,0.50800,231,0.61725,186,0.20200,135,-0.2878,174,0.10586,129,-0.4267,128,-0.3727,99,-0.7575,151,-0.1237
ENSG00000184677,ZBTB40,4,-1.4636,7,-0.7298,13,0.21646,24,1.23967,10,-0.2275,13,0.28010,22,1.09364,7,-0.6672,2,-2.2783
ENSG00000173372,C1QA,5,-1.3930,5,-1.3773,3,-2.0815,8,-0.6710,4,-1.7047,4,-1.8041,54,2.57559,57,2.70624,3,-2.1290
ENSG00000173369,C1QB,0,-4.0004,6,-1.1591,2,-2.8902,18,0.44588,9,-0.6802,3,-2.4421,50,2.19726,56,2.44368,11,-0.2896
ENSG00000133216,EPHB2,7,-1.0469,14,-0.0237,20,0.59677,20,0.60168,14,0.00973,17,0.42097,7,-1.0506,11,-0.4000,8,-0.7900
ENSG00000004487,KDM1A,83,0.42256,79,0.37935,61,-0.0451,69,0.12821,49,-0.4236,79,0.44544,50,-0.3693,34,-0.9482,31,-1.0514
ENSG00000169641,LUZP1,543,1.46688,110,-1.1437,220,-0.0177,199,-0.1760,160,-0.5470,354,0.94444,58,-2.0115,86,-1.4451,189,-0.2528
ENSG00000125944,HNRNPR,89,-0.7628,126,-0.2486,127,-0.2162,185,0.37060,158,0.13918,188,0.49027,99,-0.6009,151,0.05035,116,-0.3480
ENSG00000125945,ZNF436,4,-1.2590,11,0.23239,9,0.02019,11,0.28353,14,0.71956,6,-0.8290,4,-1.2694,17,0.94724,9,-0.0689
ENSG00000142676,RPL11,171,-0.9646,359,0.18976,153,-1.1338,254,-0.3618,269,-0.2994,226,-0.6300,531,0.80246,651,1.14466,486,0.65835
ENSG00000011007,ELOA,17,-0.8577,23,-0.4256,30,0.01870,35,0.24536,29,-0.0403,40,0.59049,43,0.57309,20,-0.5822,17,-0.8351
ENSG00000057757,PITHD1,184,0.48390,206,0.74080,130,-0.0656,92,-0.6038,153,0.20201,110,-0.3756,64,-1.1339,90,-0.6352,156,0.22172
ENSG00000011009,LYPLA2,27,0.50960,28,0.62070,15,-0.4310,16,-0.3009,21,0.09078,18,-0.1910,14,-0.4795,15,-0.4125,17,-0.1859
ENSG00000117308,GALE,8,-0.2685,26,1.81582,8,-0.3515,10,-0.0505,3,-1.7816,6,-0.8788,9,-0.2179,13,0.36741,7,-0.5229
ENSG00000117305,HMGCL,13,0.33670,16,0.75514,9,-0.2046,4,-1.3364,3,-1.8724,5,-1.1601,33,1.86274,15,0.54165,9,-0.2816
ENSG00000179163,FUCA1,12,0.47638,18,1.36362,10,0.21705,17,1.03379,3,-1.4720,3,-1.3958,7,-0.3004,4,-0.9411,8,-0.0502
ENSG00000189266,PNRC2,20,-1.2908,43,-0.1655,49,0.05199,86,0.94576,33,-0.6149,49,0.07111,55,0.24389,77,0.76063,31,-0.6496
ENSG00000188529,SRSF10,48,-0.4536,68,0.08410,92,0.55570,105,0.76221,47,-0.5385,67,0.04771,70,0.10646,52,-0.3476,47,-0.4805
ENSG00000001460,STPG1,12,0.51645,9,0.08810,14,0.68163,15,0.77837,6,-0.6919,9,0.03204,4,-1.0370,4,-1.2716,9,0.06689
ENSG00000001461,NIPAL3,180,0.26452,96,-0.7495,140,-0.1262,242,0.73875,203,0.50518,186,0.38878,103,-0.5945,48,-1.7420,108,-0.5275
ENSG00000133226,SRRM1,181,-0.4176,117,-1.1443,288,0.30545,403,0.85053,214,-0.1717,335,0.68697,213,-0.1693,146,-0.7430,185,-0.3796
ENSG00000169504,CLIC4,8,-1.4057,8,-1.6171,5,-2.0449,54,1.48769,18,-0.3099,9,-1.5051,98,2.63713,16,-0.5045,24,0.13682
ENSG00000117614,SYF2,81,-0.7692,82,-0.8016,104,-0.3826,178,0.45742,145,0.14597,172,0.49437,146,0.14236,148,0.16233,108,-0.3319
ENSG00000117616,RSRP1,19,-1.4653,52,0.07651,227,2.68949,78,0.72401,19,-1.4774,17,-1.7904,74,0.62592,18,-1.4741,35,-0.5166
ENSG00000183726,TMEM50A,54,0.09164,77,0.73156,55,0.13796,60,0.26674,26,-1.0693,39,-0.4576,64,0.35215,57,0.18750,46,-0.1558
ENSG00000204178,MACO1,76,-0.0788,48,-0.8321,100,0.35274,123,0.68413,72,-0.1843,116,0.74682,60,-0.4364,38,-1.1259,54,-0.5927
ENSG00000117643,MAN1C1,52,0.67123,64,1.14147,36,0.10631,28,-0.3219,3,-3.3819,35,0.05349,21,-0.7187,48,0.52870,18,-0.9383
ENSG00000162430,SELENON,5,-1.7067,22,0.48190,21,0.29804,20,0.23352,9,-1.0671,7,-1.4394,56,1.98600,23,0.46818,13,-0.3990
ENSG00000117640,MTFR1L,58,-0.0032,79,0.51866,55,-0.0821,50,-0.2290,52,-0.2022,44,-0.4981,58,-0.0216,81,0.52320,63,0.11449
