category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,2/25,57/5742,0.02509598403576267,0.2659516815401984,0.23769266473304723,10912/27244,2
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,2/25,59/5742,0.026762433362535688,0.2659516815401984,0.23769266473304723,5595/2949,2
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,3/25,157/5742,0.029682815378783554,0.27661676833830584,0.24722451986541735,5595/54541/8660,3
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,3/25,161/5742,0.03166251265750695,0.27661676833830584,0.24722451986541735,5595/493/117,3
Human Diseases,Cancer: specific types,hsa05214,Glioma,2/25,68/5742,0.03479456205513281,0.27661676833830584,0.24722451986541735,5595/10912,2
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,2/25,68/5742,0.03479456205513281,0.27661676833830584,0.24722451986541735,5595/10912,2
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,2/25,70/5742,0.03669313459838747,0.2778194476735051,0.24829940705675735,5595/10912,2
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,2/25,72/5742,0.03863132584376783,0.2791991276890493,0.24953248750759127,5595/10912,2
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,2/25,77/5742,0.04364509700338022,0.30172045319728064,0.26966078240074737,5595/10912,2
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,2/25,79/5742,0.04571594113661074,0.30286811003004616,0.27068649357203733,8660/27244,2
Metabolism,Glycan biosynthesis and metabolism,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,1/25,13/5742,0.05520145230628337,0.35108123666796226,0.313776676267295,8534,1
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,2/25,91/5742,0.05887643926821684,0.3586619896689341,0.3205519272115598,10724/8660,2
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,2/25,94/5742,0.06235230169618865,0.3586619896689341,0.3205519272115598,5595/2289,2
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,2/25,100/5742,0.06951082282956195,0.3586619896689341,0.3205519272115598,5595/9762,2
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",2/25,100/5742,0.06951082282956195,0.3586619896689341,0.3205519272115598,5595/8660,2
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,1/25,17/5742,0.07158959074107418,0.3586619896689341,0.3205519272115598,358,1
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,2/25,105/5742,0.07567639967188396,0.3586619896689341,0.3205519272115598,5595/10912,2
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,2/25,108/5742,0.07945862843381424,0.3586619896689341,0.3205519272115598,5595/10912,2
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,2/25,108/5742,0.07945862843381424,0.3586619896689341,0.3205519272115598,5595/10912,2
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,1/25,19/5742,0.0796809798781889,0.3586619896689341,0.3205519272115598,2949,1
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,4/25,386/5742,0.08298267982077928,0.3586619896689341,0.3205519272115598,5595/2949/7704/10912,4
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,3/25,239/5742,0.08353104427219686,0.3586619896689341,0.3205519272115598,5595/54541/3691,3
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,2/25,116/5742,0.08983046366156992,0.3586619896689341,0.3205519272115598,5595/10628,2
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,2/25,116/5742,0.08983046366156992,0.3586619896689341,0.3205519272115598,5595/8660,2
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,2/25,117/5742,0.09115483784594153,0.3586619896689341,0.3205519272115598,5595/493,2
Environmental Information Processing,Signal transduction,hsa04392,Hippo signaling pathway - multiple species,1/25,22/5742,0.09169125505299547,0.3586619896689341,0.3205519272115598,9113,1
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,2/25,118/5742,0.0924851671473352,0.3586619896689341,0.3205519272115598,5595/51655,2
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,1/25,23/5742,0.09566113593126035,0.36214572888262847,0.3236654975117832,2949,1
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,2/25,123/5742,0.09922364308614526,0.3668967267603976,0.32791167237771385,5595/10912,2
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,1/25,25/5742,0.10355098543357633,0.3741956064531508,0.3344350008022203,2949,1
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,1/25,26/5742,0.10747108782366954,0.3767783443559537,0.3367433067729477,5595,1
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,2/25,131/5742,0.11028931659445715,0.3767783443559537,0.3367433067729477,5595/2949,2
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,1/25,27/5742,0.11137473072157122,0.3767783443559537,0.3367433067729477,710,1
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,2/25,136/5742,0.11736977156961588,0.3887873683243526,0.34747629741004704,5595/54541,2
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,1/25,31/5742,0.12682602839479307,0.4115375207096346,0.3678091049043409,5595,1
Organismal Systems,Digestive system,hsa04976,Bile secretion,1/25,37/5742,0.14952033518283692,0.4560225128236096,0.40756729050769486,358,1
NA,NA,hsa04820,Cytoskeleton in muscle cells,2/25,159/5742,0.15132504100110314,0.4560225128236096,0.40756729050769486,5339/3691,2
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,1/25,38/5742,0.15324723993663636,0.4560225128236096,0.40756729050769486,2949,1
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,2/25,165/5742,0.16049923837870395,0.4560225128236096,0.40756729050769486,5595/3691,2
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,1/25,40/5742,0.16065406900755574,0.4560225128236096,0.40756729050769486,2949,1
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,1/25,41/5742,0.16433411956434463,0.4560225128236096,0.40756729050769486,493,1
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,1/25,43/5742,0.17164780649510447,0.4560225128236096,0.40756729050769486,8660,1
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,2/25,173/5742,0.17289731823589938,0.4560225128236096,0.40756729050769486,5595/3691,2
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,1/25,44/5742,0.17528156765278524,0.4560225128236096,0.40756729050769486,10912,1
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,1/25,49/5742,0.1932220244315055,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,1/25,49/5742,0.1932220244315055,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,1/25,50/5742,0.196764875193707,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,1/25,50/5742,0.196764875193707,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,1/25,51/5742,0.20029278772360082,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Nervous system,hsa04730,Long-term depression,1/25,53/5742,0.2073040393426523,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,2/25,195/5742,0.2077737387813364,0.4560225128236096,0.40756729050769486,5595/2949,2
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,1/25,54/5742,0.2107874984771979,0.4560225128236096,0.40756729050769486,8660,1
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,1/25,54/5742,0.2107874984771979,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,1/25,55/5742,0.21425625947193616,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Digestive system,hsa04970,Salivary secretion,1/25,55/5742,0.21425625947193616,0.4560225128236096,0.40756729050769486,493,1
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,1/25,57/5742,0.2211499245874189,0.4560225128236096,0.40756729050769486,3691,1
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,1/25,57/5742,0.2211499245874189,0.4560225128236096,0.40756729050769486,8660,1
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,1/25,57/5742,0.2211499245874189,0.4560225128236096,0.40756729050769486,493,1
Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,1/25,58/5742,0.22457494690673563,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,1/25,58/5742,0.22457494690673563,0.4560225128236096,0.40756729050769486,5595,1
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,1/25,60/5742,0.2313816648514172,0.4560225128236096,0.40756729050769486,10912,1
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,1/25,60/5742,0.2313816648514172,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,1/25,61/5742,0.23476347730807257,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/25,65/5742,0.2481484361998798,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,1/25,65/5742,0.2481484361998798,0.4560225128236096,0.40756729050769486,3691,1
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,1/25,66/5742,0.2514593907700763,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,1/25,66/5742,0.2514593907700763,0.4560225128236096,0.40756729050769486,117,1
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,1/25,68/5742,0.25803935722605453,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cancer: specific types,hsa05211,Renal cell carcinoma,1/25,69/5742,0.26130848237045845,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,1/25,71/5742,0.26780529799355435,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,1/25,71/5742,0.26780529799355435,0.4560225128236096,0.40756729050769486,5595,1
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,2/25,235/5742,0.27287389441039556,0.4560225128236096,0.40756729050769486,5595/10912,2
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,1/25,73/5742,0.27424724018707836,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,1/25,73/5742,0.27424724018707836,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,1/25,73/5742,0.27424724018707836,0.4560225128236096,0.40756729050769486,3691,1
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,1/25,75/5742,0.28063475326832177,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,1/25,75/5742,0.28063475326832177,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,1/25,76/5742,0.2838082367989889,0.4560225128236096,0.40756729050769486,5595,1
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,1/25,76/5742,0.2838082367989889,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,1/25,77/5742,0.28696827811208925,0.4560225128236096,0.40756729050769486,493,1
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,1/25,78/5742,0.29011493178326275,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,1/25,78/5742,0.29011493178326275,0.4560225128236096,0.40756729050769486,3691,1
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,1/25,79/5742,0.29324825217616834,0.4560225128236096,0.40756729050769486,10912,1
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,1/25,80/5742,0.2963682934432701,0.4560225128236096,0.40756729050769486,5595,1
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,1/25,80/5742,0.2963682934432701,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,1/25,80/5742,0.2963682934432701,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,1/25,80/5742,0.2963682934432701,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,2/25,250/5742,0.29745750565329454,0.4560225128236096,0.40756729050769486,5595/3691,2
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,1/25,82/5742,0.30256875415863294,0.4560225128236096,0.40756729050769486,5595,1
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,1/25,82/5742,0.30256875415863294,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,1/25,83/5742,0.30564928086287924,0.4560225128236096,0.40756729050769486,5595,1
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,1/25,84/5742,0.30871674295484386,0.4560225128236096,0.40756729050769486,5595,1
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,1/25,86/5742,0.31481268552811126,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,1/25,87/5742,0.31784127160692965,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",1/25,88/5742,0.32085700427002883,0.4560225128236096,0.40756729050769486,5595,1
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,1/25,90/5742,0.32685011829207267,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,1/25,90/5742,0.32685011829207267,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,1/25,90/5742,0.32685011829207267,0.4560225128236096,0.40756729050769486,5595,1
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,1/25,91/5742,0.3298276036145604,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,1/25,91/5742,0.3298276036145604,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Immune system,hsa04611,Platelet activation,1/25,91/5742,0.3298276036145604,0.4560225128236096,0.40756729050769486,5595,1
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,1/25,95/5742,0.34161160380366506,0.4682434914205409,0.4184897142785371,5595,1
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,1/25,100/5742,0.356062059947829,0.4770682039712734,0.42637674634969824,8660,1
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,1/25,102/5742,0.36175656634811026,0.4770682039712734,0.42637674634969824,5595,1
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,1/25,103/5742,0.364585659582383,0.4770682039712734,0.42637674634969824,5595,1
Human Diseases,Substance dependence,hsa05034,Alcoholism,1/25,103/5742,0.364585659582383,0.4770682039712734,0.42637674634969824,5595,1
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,1/25,104/5742,0.3674027119871426,0.4770682039712734,0.42637674634969824,5595,1
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,1/25,105/5742,0.37020777268248184,0.4770682039712734,0.42637674634969824,5595,1
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,1/25,106/5742,0.37300089059678676,0.4770682039712734,0.42637674634969824,2949,1
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,1/25,108/5742,0.37855149284159995,0.4770682039712734,0.42637674634969824,5595,1
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,1/25,108/5742,0.37855149284159995,0.4770682039712734,0.42637674634969824,5595,1
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,1/25,109/5742,0.38130907407677217,0.4770682039712734,0.42637674634969824,5595,1
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,1/25,110/5742,0.38405490634165407,0.4770682039712734,0.42637674634969824,5595,1
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,1/25,110/5742,0.38405490634165407,0.4770682039712734,0.42637674634969824,5595,1
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,1/25,114/5742,0.3949217025011157,0.48630701104243423,0.43463387282839205,5595,1
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,1/25,115/5742,0.3976095058837512,0.48630701104243423,0.43463387282839205,8566,1
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,1/25,117/5742,0.40295076786008854,0.4883605451121051,0.43646920615779006,5595,1
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,1/25,120/5742,0.4108774991001881,0.4883605451121051,0.43646920615779006,10912,1
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,1/25,121/5742,0.41349721851009447,0.4883605451121051,0.43646920615779006,5595,1
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,1/25,121/5742,0.41349721851009447,0.4883605451121051,0.43646920615779006,9113,1
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,2/25,323/5742,0.41464574584990055,0.4883605451121051,0.43646920615779006,5595/8660,2
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,1/25,123/5742,0.4187031468358686,0.4895132378448758,0.4374994181334541,5595,1
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,1/25,125/5742,0.4238646987850797,0.4919305628235597,0.43965988732989447,5595,1
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,1/25,127/5742,0.42898223699835203,0.494262142628536,0.44174372230951586,5595,1
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,1/25,131/5742,0.4390867086225717,0.5022646523092726,0.4488959156686649,5595,1
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,1/25,134/5742,0.4465521819195579,0.5071556923229265,0.4532672523243633,8660,1
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,1/25,137/5742,0.4539222171344671,0.5118697342154629,0.4574803980078616,5595,1
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,1/25,140/5742,0.4611979841283622,0.5164118272986591,0.4615398655102217,5595,1
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,1/25,145/5742,0.4731179114945062,0.522401027275184,0.46689267581694693,5595,1
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,1/25,145/5742,0.4731179114945062,0.522401027275184,0.46689267581694693,5595,1
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,1/25,148/5742,0.48014791200454254,0.5265070207498087,0.4705623820008221,10912,1
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,1/25,156/5742,0.49845711677461646,0.539147493654177,0.481859726205322,117,1
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,1/25,156/5742,0.49845711677461646,0.539147493654177,0.481859726205322,5595,1
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,1/25,158/5742,0.5029367557111557,0.5403171902572551,0.4829051352845379,5595,1
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,1/25,163/5742,0.5139684378135987,0.5448065440824147,0.4869174674023567,5595,1
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,1/25,163/5742,0.5139684378135987,0.5448065440824147,0.4869174674023567,5595,1
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,1/25,165/5742,0.5183149690759394,0.545775364788572,0.4877833448954468,5595,1
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,1/25,169/5742,0.5268963515600728,0.5511613151187603,0.49259700457486033,5595,1
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,1/25,171/5742,0.531131815048927,0.5512856486258998,0.4927081268751835,5595,1
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,1/25,174/5742,0.5374168272768205,0.5512856486258998,0.4927081268751835,5595,1
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,1/25,174/5742,0.5374168272768205,0.5512856486258998,0.4927081268751835,493,1
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,1/25,196/5742,0.5810977422020845,0.5922726987828938,0.529340048564652,5595,1
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,1/25,205/5742,0.5978011172301447,0.6054164180865796,0.541087166115116,5595,1
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,1/25,230/5742,0.640911948799189,0.6449683535384244,0.5764364629439742,5595,1
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,1/25,400/5742,0.8362002111555604,0.8362002111555604,0.7473487487984155,5595,1
