"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","9/56","238/11800",1.57585320439181e-06,9.92181421380536e-05,7.23488880073002e-05,"CX3CR1/SELPLG/AIF1/CD74/LAPTM5/ITGB2/LILRB4/SYK/OLR1",9
"GO:0001816","BP","GO:0001816","cytokine production","12/56","473/11800",1.67460241535128e-06,0.000101530524219631,7.40350541523723e-05,"CX3CR1/C3/PLD4/TYROBP/AIF1/CD74/LAPTM5/TREM2/CYBA/CSF1R/LILRB4/SYK",12
"GO:2000147","BP","GO:2000147","positive regulation of cell motility","11/56","392/11800",1.83285019609037e-06,0.000106797957166904,7.787601416408e-05,"CX3CR1/AIF1/CD74/TF/TREM2/P2RY12/ENPP2/CSF1R/ITGAX/PLP1/PFN1",11
"GO:0002532","BP","GO:0002532","production of molecular mediator involved in inflammatory response","5/56","44/11800",1.89196136703739e-06,0.000106797957166904,7.787601416408e-05,"PLD4/TREM2/ALOX5AP/LILRB4/SYK",5
"GO:0002703","BP","GO:0002703","regulation of leukocyte mediated immunity","7/56","127/11800",2.12078349305592e-06,0.000115724085937751,8.43848589868567e-05,"CX3CR1/C3/TYROBP/TREM2/ITGB2/LILRB4/SYK",7
"GO:0040017","BP","GO:0040017","positive regulation of locomotion","11/56","400/11800",2.23080409195806e-06,0.00011780084833985,8.58992135918655e-05,"CX3CR1/AIF1/CD74/TF/TREM2/P2RY12/ENPP2/CSF1R/ITGAX/PLP1/PFN1",11
"GO:0002253","BP","GO:0002253","activation of immune response","10/56","322/11800",2.3264759559308e-06,0.000119013785620585,8.6783675461366e-05,"A2M/C3/TYROBP/LAPTM5/TREM2/HSPA8/CYBA/LILRB4/C1QB/SYK",10
"GO:0002687","BP","GO:0002687","positive regulation of leukocyte migration","6/56","84/11800",2.65333929951793e-06,0.000131621710100329,9.59772493031368e-05,"CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R",6
"GO:0070661","BP","GO:0070661","leukocyte proliferation","8/56","190/11800",2.8597117301308e-06,0.000137686708888945,0.000100399786438648,"TYROBP/AIF1/CD74/TREM2/CSF1R/LILRB4/LST1/SYK",8
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","7/56","135/11800",3.19103561277503e-06,0.000148361708261425,0.000108183890408293,"C3/TYROBP/CD74/LAPTM5/TREM2/ITGB2/SYK",7
"GO:0150076","BP","GO:0150076","neuroinflammatory response","5/56","49/11800",3.26268875834533e-06,0.000148361708261425,0.000108183890408293,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2",5
"GO:0050921","BP","GO:0050921","positive regulation of chemotaxis","6/56","89/11800",3.72482555486829e-06,0.000158108265029233,0.000115290983212648,"CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R",6
"GO:0006956","BP","GO:0006956","complement activation","4/56","23/11800",3.76678212348203e-06,0.000158108265029233,0.000115290983212648,"A2M/C3/TREM2/C1QB",4
"GO:0150146","BP","GO:0150146","cell junction disassembly","4/56","23/11800",3.76678212348203e-06,0.000158108265029233,0.000115290983212648,"CX3CR1/C3/TREM2/C1QB",4
"GO:0006935","BP","GO:0006935","chemotaxis","9/56","267/11800",4.06018623007498e-06,0.000162110362405676,0.000118209273039924,"CX3CR1/AIF1/CD74/TREM2/P2RY12/ITGB2/ENPP2/CSF1R/SYK",9
"GO:0042330","BP","GO:0042330","taxis","9/56","267/11800",4.06018623007498e-06,0.000162110362405676,0.000118209273039924,"CX3CR1/AIF1/CD74/TREM2/P2RY12/ITGB2/ENPP2/CSF1R/SYK",9
"GO:0002275","BP","GO:0002275","myeloid cell activation involved in immune response","5/56","52/11800",4.39900959665631e-06,0.000171456635945866,0.00012502448327339,"CX3CR1/TYROBP/TREM2/ITGB2/SYK",5
"GO:0032755","BP","GO:0032755","positive regulation of interleukin-6 production","5/56","53/11800",4.83976528965243e-06,0.000182315772217735,0.000132942858049006,"TYROBP/AIF1/CD74/CYBA/SYK",5
"GO:0050730","BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","7/56","144/11800",4.90036284519264e-06,0.000182315772217735,0.000132942858049006,"CD74/TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK",7
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","7/56","145/11800",5.1301765733369e-06,0.000186624423345611,0.000136084683840095,"TYROBP/AIF1/CD74/CSF1R/LILRB4/LST1/SYK",7
"GO:0032640","BP","GO:0032640","tumor necrosis factor production","6/56","96/11800",5.79281641533259e-06,0.000198083150889483,0.000144440274641465,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:0032680","BP","GO:0032680","regulation of tumor necrosis factor production","6/56","96/11800",5.79281641533259e-06,0.000198083150889483,0.000144440274641465,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","9/56","279/11800",5.80818035595308e-06,0.000198083150889483,0.000144440274641465,"C3/TYROBP/AIF1/CD74/LAPTM5/TREM2/CYBA/CSF1R/SYK",9
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","6/56","97/11800",6.15233267360155e-06,0.000201427371733715,0.000146878847407667,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:1903555","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","6/56","97/11800",6.15233267360155e-06,0.000201427371733715,0.000146878847407667,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK",6
"GO:0032613","BP","GO:0032613","interleukin-10 production","4/56","27/11800",7.36091400038528e-06,0.000231727234973667,0.000168973208025039,"TYROBP/TREM2/LILRB4/SYK",4
"GO:0032653","BP","GO:0032653","regulation of interleukin-10 production","4/56","27/11800",7.36091400038528e-06,0.000231727234973667,0.000168973208025039,"TYROBP/TREM2/LILRB4/SYK",4
"GO:0042742","BP","GO:0042742","defense response to bacterium","6/56","103/11800",8.70989979499225e-06,0.000269020867252874,0.000196167355859408,"TF/RNASE1/TREM2/CYBA/VGF/SYK",6
"GO:0002444","BP","GO:0002444","myeloid leukocyte mediated immunity","5/56","60/11800",8.98147893278379e-06,0.000272271870610501,0.000198537955356273,"CX3CR1/C3/TYROBP/ITGB2/SYK",5
"GO:0045124","BP","GO:0045124","regulation of bone resorption","4/56","29/11800",9.89176081044374e-06,0.000294414771758116,0.000214684339885994,"TF/TMEM119/CSF1R/SYK",4
"GO:0030335","BP","GO:0030335","positive regulation of cell migration","10/56","383/11800",1.08240718675589e-05,0.000316410815128462,0.000230723637176913,"CX3CR1/AIF1/CD74/TREM2/P2RY12/ENPP2/CSF1R/ITGAX/PLP1/PFN1",10
"GO:0002366","BP","GO:0002366","leukocyte activation involved in immune response","7/56","163/11800",1.10786796391352e-05,0.000318171904723936,0.000232007806293247,"CX3CR1/TYROBP/CD74/TREM2/ITGB2/ITM2A/SYK",7
"GO:1905521","BP","GO:1905521","regulation of macrophage migration","4/56","30/11800",1.13733980927834e-05,0.000321004356515283,0.000234073202127339,"CX3CR1/TREM2/P2RY12/CSF1R",4
"GO:0032930","BP","GO:0032930","positive regulation of superoxide anion generation","3/56","10/11800",1.18668160324218e-05,0.000329253861780925,0.000240088659781737,"TYROBP/ITGB2/SYK",3
"GO:0002263","BP","GO:0002263","cell activation involved in immune response","7/56","167/11800",1.29785414130589e-05,0.000354097871552957,0.000258204666007172,"CX3CR1/TYROBP/CD74/TREM2/ITGB2/ITM2A/SYK",7
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","3/56","11/11800",1.62619532779285e-05,0.000423192839636294,0.000308588033403567,"TYROBP/ITGB2/SYK",3
"GO:0032928","BP","GO:0032928","regulation of superoxide anion generation","3/56","11/11800",1.62619532779285e-05,0.000423192839636294,0.000308588033403567,"TYROBP/ITGB2/SYK",3
"GO:0010562","BP","GO:0010562","positive regulation of phosphorus metabolic process","11/56","494/11800",1.66749926124628e-05,0.000423192839636294,0.000308588033403567,"CX3CR1/C3/CD74/TF/TREM2/P2RY12/TMEM119/ENPP2/CSF1R/FABP3/SYK",11
"GO:0045937","BP","GO:0045937","positive regulation of phosphate metabolic process","11/56","494/11800",1.66749926124628e-05,0.000423192839636294,0.000308588033403567,"CX3CR1/C3/CD74/TF/TREM2/P2RY12/TMEM119/ENPP2/CSF1R/FABP3/SYK",11
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment","4/56","33/11800",1.68036252757233e-05,0.000423192839636294,0.000308588033403567,"C3/AIF1/TREM2/ITGB2",4
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","7/56","175/11800",1.75936806014377e-05,0.000436376593099296,0.000318201496045141,"CD74/TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK",7
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","7/56","177/11800",1.89380995343118e-05,0.000462192600098288,0.000337026273035694,"CD74/TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK",7
"GO:0006959","BP","GO:0006959","humoral immune response","5/56","70/11800",1.91992039136735e-05,0.000462192600098288,0.000337026273035694,"A2M/C3/TF/TREM2/C1QB",5
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","6/56","119/11800",1.99428498720366e-05,0.000473136887543826,0.000345006739205028,"CX3CR1/AIF1/CD74/ITGB2/CSF1R/SYK",6
"GO:0006801","BP","GO:0006801","superoxide metabolic process","4/56","35/11800",2.13503784538939e-05,0.000484588719150849,0.000353357301557446,"TYROBP/CYBA/ITGB2/SYK",4
"GO:0032722","BP","GO:0032722","positive regulation of chemokine production","4/56","35/11800",2.13503784538939e-05,0.000484588719150849,0.000353357301557446,"AIF1/CD74/CSF1R/SYK",4
"GO:0046850","BP","GO:0046850","regulation of bone remodeling","4/56","35/11800",2.13503784538939e-05,0.000484588719150849,0.000353357301557446,"TF/TMEM119/CSF1R/SYK",4
"GO:0030449","BP","GO:0030449","regulation of complement activation","3/56","12/11800",2.16096374453341e-05,0.000484588719150849,0.000353357301557446,"A2M/C3/TREM2",3
"GO:0030316","BP","GO:0030316","osteoclast differentiation","5/56","72/11800",2.20357062578351e-05,0.000487465556001029,0.000355455062537483,"TYROBP/TF/TREM2/CSF1R/LILRB4",5
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","6/56","125/11800",2.6375182645267e-05,0.000575682319870694,0.000419781854312039,"TYROBP/CD74/LAPTM5/TREM2/LILRB4/LST1",6
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","6/56","127/11800",2.88564850633045e-05,0.00062155350063986,0.000453230665675724,"TYROBP/AIF1/CD74/LILRB4/LST1/SYK",6
"GO:0002437","BP","GO:0002437","inflammatory response to antigenic stimulus","4/56","38/11800",2.97823779070734e-05,0.000625048110690758,0.000455778900764119,"A2M/C3/TREM2/SYK",4
"GO:1905517","BP","GO:1905517","macrophage migration","4/56","38/11800",2.97823779070734e-05,0.000625048110690758,0.000455778900764119,"CX3CR1/TREM2/P2RY12/CSF1R",4
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","6/56","130/11800",3.2927625978822e-05,0.000682310426928249,0.000497534015456152,"TYROBP/AIF1/CD74/LILRB4/LST1/SYK",6
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","9/56","350/11800",3.54595439471327e-05,0.000700437748890523,0.00051075227935688,"TYROBP/AIF1/CD74/LAPTM5/TREM2/ITGB2/LILRB4/LST1/SYK",9
"GO:0002888","BP","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","3/56","14/11800",3.55139481722134e-05,0.000700437748890523,0.00051075227935688,"C3/TYROBP/ITGB2",3
"GO:0032691","BP","GO:0032691","negative regulation of interleukin-1 beta production","3/56","14/11800",3.55139481722134e-05,0.000700437748890523,0.00051075227935688,"CX3CR1/TREM2/LILRB4",3
"GO:1903975","BP","GO:1903975","regulation of glial cell migration","3/56","14/11800",3.55139481722134e-05,0.000700437748890523,0.00051075227935688,"CX3CR1/TREM2/P2RY12",3
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","6/56","133/11800",3.74484418313934e-05,0.000729798800928464,0.000532162068130327,"CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R",6
"GO:0099024","BP","GO:0099024","plasma membrane invagination","4/56","41/11800",4.04301634739952e-05,0.000778637383610943,0.000567774679622422,"C3/AIF1/TREM2/ITGB2",4
"GO:0042327","BP","GO:0042327","positive regulation of phosphorylation","10/56","448/11800",4.1744154543745e-05,0.000794595127768727,0.000579410908844637,"CX3CR1/C3/CD74/TF/TREM2/P2RY12/TMEM119/ENPP2/CSF1R/SYK",10
"GO:0032692","BP","GO:0032692","negative regulation of interleukin-1 production","3/56","15/11800",4.42431162117303e-05,0.000819030543292924,0.000597228972185433,"CX3CR1/TREM2/LILRB4",3
"GO:0090322","BP","GO:0090322","regulation of superoxide metabolic process","3/56","15/11800",4.42431162117303e-05,0.000819030543292924,0.000597228972185433,"TYROBP/ITGB2/SYK",3
"GO:0045453","BP","GO:0045453","bone resorption","4/56","42/11800",4.45288444429262e-05,0.000819030543292924,0.000597228972185433,"TF/TMEM119/CSF1R/SYK",4
"GO:0031529","BP","GO:0031529","ruffle organization","4/56","45/11800",5.86513592118351e-05,0.00105507994538213,0.000769353861726097,"AIF1/P2RY12/CSF1R/PFN1",4
"GO:2000379","BP","GO:2000379","positive regulation of reactive oxygen species metabolic process","4/56","45/11800",5.86513592118351e-05,0.00105507994538213,0.000769353861726097,"TYROBP/CYBA/ITGB2/SYK",4
"GO:0032611","BP","GO:0032611","interleukin-1 beta production","4/56","46/11800",6.40114059550638e-05,0.00110839447802422,0.000808230291662837,"CX3CR1/TYROBP/TREM2/LILRB4",4
"GO:0032651","BP","GO:0032651","regulation of interleukin-1 beta production","4/56","46/11800",6.40114059550638e-05,0.00110839447802422,0.000808230291662837,"CX3CR1/TYROBP/TREM2/LILRB4",4
"GO:0034103","BP","GO:0034103","regulation of tissue remodeling","4/56","46/11800",6.40114059550638e-05,0.00110839447802422,0.000808230291662837,"TF/TMEM119/CSF1R/SYK",4
"GO:0051250","BP","GO:0051250","negative regulation of lymphocyte activation","5/56","90/11800",6.4873695125957e-05,0.00110839447802422,0.000808230291662837,"TYROBP/CD74/LAPTM5/LILRB4/LST1",5
"GO:0002920","BP","GO:0002920","regulation of humoral immune response","3/56","17/11800",6.5677620261667e-05,0.00110839447802422,0.000808230291662837,"A2M/C3/TREM2",3
"GO:0006958","BP","GO:0006958","complement activation, classical pathway","3/56","17/11800",6.5677620261667e-05,0.00110839447802422,0.000808230291662837,"C3/TREM2/C1QB",3
"GO:0050865","BP","GO:0050865","regulation of cell activation","9/56","380/11800",6.719414528597e-05,0.00112241648809319,0.000818455002731363,"TYROBP/AIF1/CD74/LAPTM5/TREM2/ITGB2/LILRB4/LST1/SYK",9
"GO:0010324","BP","GO:0010324","membrane invagination","4/56","48/11800",7.57909239791405e-05,0.00124680025895858,0.000909154418325582,"C3/AIF1/TREM2/ITGB2",4
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","6/56","151/11800",7.61637299302736e-05,0.00124680025895858,0.000909154418325582,"TYROBP/CD74/TF/TREM2/CSF1R/LILRB4",6
"GO:0042119","BP","GO:0042119","neutrophil activation","3/56","18/11800",7.85481752012817e-05,0.00127310260202473,0.000928333826766581,"TYROBP/ITGB2/SYK",3
"GO:0045807","BP","GO:0045807","positive regulation of endocytosis","5/56","94/11800",7.98668742954562e-05,0.00128178503158492,0.00093466496853506,"C3/TF/TREM2/CYBA/SYK",5
"GO:0050920","BP","GO:0050920","regulation of chemotaxis","6/56","153/11800",8.19321421328789e-05,0.00130197798554076,0.000949389470856973,"CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R",6
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","7/56","223/11800",8.27157669494435e-05,0.00130197798554076,0.000949389470856973,"TYROBP/AIF1/CD74/TREM2/ITGB2/LILRB4/SYK",7
"GO:0002250","BP","GO:0002250","adaptive immune response","7/56","225/11800",8.7484462172934e-05,0.00136276267124499,0.000993713062528902,"CX3CR1/C3/CD74/TREM2/LILRB4/C1QB/SYK",7
"GO:0050731","BP","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","5/56","96/11800",8.82982730188634e-05,0.00136276267124499,0.000993713062528902,"CD74/TREM2/ENPP2/CSF1R/SYK",5
"GO:0002220","BP","GO:0002220","innate immune response activating cell surface receptor signaling pathway","4/56","50/11800",8.90748966543765e-05,0.00136276267124499,0.000993713062528902,"TYROBP/TREM2/CYBA/SYK",4
"GO:0035590","BP","GO:0035590","purinergic nucleotide receptor signaling pathway","3/56","19/11800",9.29624156738315e-05,0.00140906920794502,0.00102747933113182,"P2RY12/GPR34/P2RY13",3
"GO:0050764","BP","GO:0050764","regulation of phagocytosis","4/56","51/11800",9.63161317502358e-05,0.00144650924472602,0.001054780235681,"C3/TREM2/CYBA/SYK",4
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","7/56","230/11800",0.000100396164504872,0.00149407746631341,0.00108946651242608,"TYROBP/AIF1/CD74/TREM2/ITGB2/LILRB4/SYK",7
"GO:0002690","BP","GO:0002690","positive regulation of leukocyte chemotaxis","4/56","52/11800",0.000103975891929701,0.00153341022602631,0.00111814757181869,"CX3CR1/AIF1/CD74/CSF1R",4
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","6/56","162/11800",0.000112358159242834,0.00164223488107606,0.00119750143403547,"TYROBP/AIF1/CD74/LILRB4/LST1/SYK",6
"GO:0009617","BP","GO:0009617","response to bacterium","8/56","318/11800",0.000117279592343277,0.00169899728022959,0.00123889201413392,"CX3CR1/C3/TF/RNASE1/TREM2/CYBA/VGF/SYK",8
"GO:0032612","BP","GO:0032612","interleukin-1 production","4/56","54/11800",0.000120608973416485,0.00171684251724161,0.00125190458447866,"CX3CR1/TYROBP/TREM2/LILRB4",4
"GO:0032652","BP","GO:0032652","regulation of interleukin-1 production","4/56","54/11800",0.000120608973416485,0.00171684251724161,0.00125190458447866,"CX3CR1/TYROBP/TREM2/LILRB4",4
"GO:0002455","BP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","3/56","21/11800",0.000126739310208948,0.00176811892784359,0.00128929483598021,"C3/TREM2/C1QB",3
"GO:0036230","BP","GO:0036230","granulocyte activation","3/56","21/11800",0.000126739310208948,0.00176811892784359,0.00128929483598021,"TYROBP/ITGB2/SYK",3
"GO:0060326","BP","GO:0060326","cell chemotaxis","6/56","166/11800",0.000128480679511188,0.00176811892784359,0.00128929483598021,"CX3CR1/AIF1/CD74/ITGB2/CSF1R/SYK",6
"GO:0033627","BP","GO:0033627","cell adhesion mediated by integrin","4/56","55/11800",0.000129611650177905,0.00176811892784359,0.00128929483598021,"P2RY12/ITGB2/ITGAX/SYK",4
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","4/56","55/11800",0.000129611650177905,0.00176811892784359,0.00128929483598021,"CD74/ITGB2/CSF1R/SYK",4
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","6/56","168/11800",0.000137203315274162,0.00185621344713886,0.00135353248822009,"TYROBP/AIF1/CD74/LILRB4/LST1/SYK",6
"GO:0046849","BP","GO:0046849","bone remodeling","4/56","56/11800",0.000139091554008374,0.00186633503206319,0.00136091304784725,"TF/TMEM119/CSF1R/SYK",4
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","5/56","109/11800",0.000161056773887693,0.00214349543783864,0.00156301567469956,"TYROBP/CD74/LAPTM5/LILRB4/LST1",5
"GO:0002429","BP","GO:0002429","immune response-activating cell surface receptor signaling pathway","6/56","176/11800",0.000176910893827721,0.00233550913867726,0.0017030301663891,"TYROBP/LAPTM5/TREM2/CYBA/LILRB4/SYK",6
"GO:0071404","BP","GO:0071404","cellular response to low-density lipoprotein particle stimulus","3/56","24/11800",0.000190935243579129,0.00250048794991228,0.00182333108394722,"TREM2/ITGB2/SYK",3
"GO:0002861","BP","GO:0002861","regulation of inflammatory response to antigenic stimulus","3/56","25/11800",0.000216243237562647,0.00276554828039104,0.00201661045555955,"C3/TREM2/SYK",3
"GO:0055094","BP","GO:0055094","response to lipoprotein particle","3/56","25/11800",0.000216243237562647,0.00276554828039104,0.00201661045555955,"TREM2/ITGB2/SYK",3
"GO:0061081","BP","GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response","3/56","25/11800",0.000216243237562647,0.00276554828039104,0.00201661045555955,"CD74/LAPTM5/SYK",3
"GO:1902107","BP","GO:1902107","positive regulation of leukocyte differentiation","5/56","118/11800",0.000233520390523539,0.00294056060990026,0.00214422771541452,"TYROBP/CD74/TREM2/LILRB4/SYK",5
"GO:1903708","BP","GO:1903708","positive regulation of hemopoiesis","5/56","118/11800",0.000233520390523539,0.00294056060990026,0.00214422771541452,"TYROBP/CD74/TREM2/LILRB4/SYK",5
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","7/56","265/11800",0.000241081577428801,0.00301213979630793,0.00219642255024479,"CX3CR1/CD74/LAPTM5/TREM2/CSF1R/LILRB4/SYK",7
"GO:0097242","BP","GO:0097242","amyloid-beta clearance","3/56","26/11800",0.000243628108371729,0.00301213979630793,0.00219642255024479,"C3/TREM2/ITGB2",3
"GO:0002367","BP","GO:0002367","cytokine production involved in immune response","4/56","65/11800",0.000248404931277685,0.00301213979630793,0.00219642255024479,"CD74/LAPTM5/LILRB4/SYK",4
"GO:0002718","BP","GO:0002718","regulation of cytokine production involved in immune response","4/56","65/11800",0.000248404931277685,0.00301213979630793,0.00219642255024479,"CD74/LAPTM5/LILRB4/SYK",4
"GO:0097530","BP","GO:0097530","granulocyte migration","4/56","65/11800",0.000248404931277685,0.00301213979630793,0.00219642255024479,"CD74/ITGB2/CSF1R/SYK",4
