category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,2/37,196/5742,0.36188894708703745,0.5989886020750964,0.4925893109170202,718/5216,2
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,1/37,71/5742,0.36986206247903375,0.6018094575930041,0.4949090934152994,6850,1
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,1/37,77/5742,0.3941414369895868,0.6217304309913676,0.5112914728547431,122618,1
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,2/37,212/5742,0.3991660460406765,0.6217304309913676,0.5112914728547431,4715/9377,2
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,1/37,80/5742,0.40593733155860445,0.6217304309913676,0.5112914728547431,3312,1
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,1/37,82/5742,0.4136767978272847,0.6217304309913676,0.5112914728547431,6850,1
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,1/37,86/5742,0.4288625223247726,0.6217304309913676,0.5112914728547431,7018,1
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,2/37,226/5742,0.4310094854745856,0.6217304309913676,0.5112914728547431,3312/832,2
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,1/37,91/5742,0.44730726371758833,0.6217304309913676,0.5112914728547431,7018,1
Human Diseases,Infectious disease: viral,hsa05162,Measles,1/37,92/5742,0.45092602698823947,0.6217304309913676,0.5112914728547431,3312,1
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,2/37,235/5742,0.4510390043134743,0.6217304309913676,0.5112914728547431,3312/1436,2
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,2/37,237/5742,0.45543967456938905,0.6217304309913676,0.5112914728547431,4715/9377,2
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,1/37,94/5742,0.4580945235695175,0.6217304309913676,0.5112914728547431,3312,1
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,2/37,239/5742,0.4598214645873656,0.6217304309913676,0.5112914728547431,1436/6850,2
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,3/37,393/5742,0.4696617592096225,0.6262156789461633,0.514979999133358,718/972/6850,3
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",1/37,100/5742,0.4790579518260769,0.6299940188397724,0.5180871865458655,6750,1
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,1/37,104/5742,0.49259294240411733,0.6390163282476032,0.5255068488878316,10231,1
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,1/37,106/5742,0.49923150644344005,0.6390163282476032,0.5255068488878316,1535,1
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,2/37,267/5742,0.5190605907589662,0.6396845807694698,0.5260563986591036,4715/9377,2
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,1/37,116/5742,0.5311770246481722,0.6396845807694698,0.5260563986591036,7805,1
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,1/37,116/5742,0.5311770246481722,0.6396845807694698,0.5260563986591036,1535,1
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,1/37,117/5742,0.5342602898611151,0.6396845807694698,0.5260563986591036,1524,1
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,1/37,118/5742,0.5373238221766952,0.6396845807694698,0.5260563986591036,1436,1
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,1/37,121/5742,0.5463972460739221,0.6396845807694698,0.5260563986591036,6850,1
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,1/37,121/5742,0.5463972460739221,0.6396845807694698,0.5260563986591036,3689,1
Genetic Information Processing,Transcription,hsa03040,Spliceosome,1/37,126/5742,0.5611362780709315,0.6402640814597972,0.526532961726807,3312,1
Cellular Processes,Cell motility,hsa04814,Motor proteins,1/37,127/5742,0.5640276523072875,0.6402640814597972,0.526532961726807,832,1
Genetic Information Processing,Translation,hsa03010,Ribosome,1/37,128/5742,0.5669004887925287,0.6402640814597972,0.526532961726807,6231,1
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,1/37,131/5742,0.5754089239655154,0.6423169383801102,0.5282211664310117,4715,1
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,1/37,148/5742,0.6206372573866428,0.6813486887131944,0.5603196453233508,6850,1
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,2/37,323/5742,0.6245696313204283,0.6813486887131944,0.5603196453233508,4715/9377,2
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,1/37,158/5742,0.6450144001684968,0.6878510527915113,0.5656669842035454,3312,1
NA,NA,hsa04820,Cytoskeleton in muscle cells,1/37,159/5742,0.647366561198899,0.6878510527915113,0.5656669842035454,832,1
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,1/37,161/5742,0.6520254771252867,0.6878510527915113,0.5656669842035454,6750,1
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,1/37,171/5742,0.6744362501823085,0.702845051471701,0.5779975752234382,3689,1
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,1/37,174/5742,0.6808811436132103,0.702845051471701,0.5779975752234382,1436,1
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,2/37,400/5742,0.7402977707495098,0.7484100545980334,0.6154687948996985,4715/9377,2
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,1/37,205/5742,0.7406141165293039,0.7484100545980334,0.6154687948996985,5216,1
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,1/37,386/5742,0.9244704752039365,0.9244704752039365,0.7602553250032373,1436,1
