Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000116288,PARK7,525,0.97407,354,0.30634,179,-0.7732,134,-1.2047,289,-0.0419
ENSG00000116285,ERRFI1,16,-0.2367,11,-0.7671,15,-0.3433,20,0.12418,21,0.39777
ENSG00000162426,SLC45A1,14,-1.1306,19,-0.7074,11,-1.5226,21,-0.5348,39,1.23709
ENSG00000142599,RERE,145,-0.2247,195,0.24876,271,0.80513,186,0.17320,145,-0.4542
ENSG00000074800,ENO1,559,0.39362,1027,1.45728,160,-1.5513,196,-1.2474,408,-0.2509
ENSG00000171612,SLC25A33,25,0.14838,61,1.70485,9,-1.4283,3,-2.7857,21,-0.1845
ENSG00000171603,CLSTN1,283,-1.4090,315,-1.2519,366,-1.0248,614,-0.2223,914,1.21197
ENSG00000178585,CTNNBIP1,24,0.02939,12,-0.9625,29,0.34321,7,-1.7795,27,0.56480
ENSG00000162441,LZIC,60,-0.0010,65,0.10959,68,0.19992,54,-0.1645,59,-0.0619
ENSG00000130939,UBE4B,24,-0.7723,52,0.42036,27,-0.6263,46,0.21716,42,0.17013
ENSG00000054523,KIF1B,200,-1.0589,303,-0.4224,494,0.35917,378,-0.0721,430,0.32387
ENSG00000142657,PGD,46,-0.5168,66,0.04541,36,-0.9168,43,-0.6344,76,0.65601
ENSG00000241563,CORT,44,0.47944,3,-3.5044,8,-2.0112,30,-0.1591,41,0.91542
ENSG00000160049,DFFA,48,-0.2881,93,0.77392,75,0.42314,49,-0.2514,52,-0.3426
ENSG00000142655,PEX14,15,-0.2469,14,-0.3271,20,0.26530,15,-0.1846,18,0.15913
ENSG00000120948,TARDBP,58,-0.4765,68,-0.2256,68,-0.2192,97,0.34944,82,0.17135
ENSG00000116649,SRM,84,0.56955,73,0.33038,30,-1.0544,34,-0.8507,62,0.16461
ENSG00000171824,EXOSC10,28,-0.3390,62,0.96899,22,-0.6586,64,1.03538,28,-0.6463
ENSG00000198793,MTOR,21,-1.0930,40,-0.1094,39,-0.1311,27,-0.6933,50,0.64231
ENSG00000116661,FBXO2,317,1.03242,374,1.33417,63,-1.5412,68,-1.4108,148,-0.4747
ENSG00000132879,FBXO44,60,-0.5495,46,-0.9602,39,-1.2216,116,0.49619,99,0.59951
ENSG00000177000,MTHFR,5,-1.9842,37,0.89196,16,-0.3925,49,1.39090,18,-0.5961
ENSG00000011021,CLCN6,35,-0.8459,50,-0.3064,26,-1.2840,54,-0.1981,74,0.83101
ENSG00000116685,KIAA2013,24,-0.3240,43,0.60851,7,-2.1633,34,0.23291,31,0.20711
ENSG00000083444,PLOD1,9,-1.1400,43,1.29825,9,-1.1012,14,-0.4840,20,0.08806
ENSG00000116688,MFN2,57,-0.9772,74,-0.5753,90,-0.2857,50,-1.1732,134,0.97464
ENSG00000048707,VPS13D,42,-0.7249,73,0.13186,41,-0.7646,101,0.67262,69,0.10072
ENSG00000162496,DHRS3,20,0.27239,64,2.45777,1,-3.4734,7,-1.1777,12,-0.8982
ENSG00000116731,PRDM2,108,-1.5106,117,-1.3909,510,0.95419,354,0.33885,298,0.13029
ENSG00000189337,KAZN,21,-1.6990,61,-0.0854,84,0.43402,51,-0.3679,71,0.38693
ENSG00000142634,EFHD2,35,-1.4066,56,-0.6780,146,0.86359,69,-0.3694,94,0.29211
ENSG00000116138,DNAJC16,15,-1.5720,8,-2.4132,26,-0.7725,40,-0.1183,57,1.32316
ENSG00000197312,DDI2,13,-1.6588,25,-0.6956,39,-0.0284,46,0.23011,46,0.55769
ENSG00000116786,PLEKHM2,159,0.56458,85,-0.4374,145,0.41136,65,-0.8529,112,-0.0219
ENSG00000065526,SPEN,84,-1.4515,215,-0.0044,303,0.55787,299,0.53217,209,-0.1061
ENSG00000116809,ZBTB17,20,-0.0632,14,-0.5817,17,-0.2878,13,-0.7162,24,0.55591
ENSG00000055070,SZRD1,38,0.64513,64,1.57248,19,-0.4684,18,-0.5431,19,-0.8256
ENSG00000159363,ATP13A2,58,-0.8034,37,-1.4958,58,-0.8137,99,0.03054,120,0.93055
ENSG00000117118,SDHB,95,0.88756,47,-0.2615,15,-1.9217,46,-0.3035,58,0.20507
ENSG00000117115,PADI2,66,0.48335,245,3.16039,44,-0.1692,17,-1.6181,19,-2.2294
ENSG00000179051,RCC2,18,-0.4521,14,-0.8155,10,-1.3120,20,-0.2892,30,0.91893
ENSG00000117154,IGSF21,53,0.08365,29,-0.8808,60,0.28183,40,-0.3820,54,0.24627
ENSG00000159423,ALDH4A1,36,1.18504,36,1.20288,14,-0.3761,13,-0.5025,13,-0.9150
ENSG00000127481,UBR4,17,-1.5724,44,-0.1344,53,0.17112,82,0.88763,47,-0.0577
ENSG00000127463,EMC1,20,-0.8510,36,0.09637,29,-0.2470,31,-0.1580,38,0.36958
ENSG00000053372,MRTO4,42,-0.1772,39,-0.2820,43,-0.1414,20,-1.3071,54,0.58497
ENSG00000053371,AKR7A2,64,1.44764,57,1.23033,11,-1.4305,6,-2.2327,23,-0.5967
ENSG00000077549,CAPZB,184,0.16365,159,-0.0676,107,-0.6830,124,-0.4552,181,0.33209
ENSG00000173436,MICOS10,601,1.17522,219,-0.4948,407,0.50179,142,-1.1604,271,-0.3360
ENSG00000158747,NBL1,138,-0.0805,118,-0.3318,97,-0.6352,139,-0.0741,160,0.38205
ENSG00000169914,OTUD3,12,-1.0932,6,-2.1721,43,0.85373,37,0.61167,26,0.08515
ENSG00000162545,CAMK2N1,4641,1.27228,2062,-0.0988,2479,0.19762,1410,-0.6934,1890,-0.4862
ENSG00000090432,MUL1,5,-1.8179,14,-0.3931,11,-0.7546,19,0.09865,22,0.80151
ENSG00000158828,PINK1,452,0.25619,240,-0.7419,341,-0.1987,218,-0.8897,435,0.47414
ENSG00000244038,DDOST,41,0.39370,41,0.42587,16,-1.0692,28,-0.1816,32,0.01942
ENSG00000117245,KIF17,13,-0.6421,1,-4.0162,15,-0.4141,22,0.14674,25,0.92568
ENSG00000189410,SH2D5,28,-0.2914,25,-0.4536,10,-1.8614,34,0.04791,39,0.69999
ENSG00000127483,HP1BP3,143,-1.2023,269,-0.2316,376,0.30721,365,0.25815,326,0.17872
ENSG00000075151,EIF4G3,110,-1.5978,124,-1.4071,327,0.08399,468,0.67451,346,0.42624
ENSG00000117298,ECE1,9,-1.4075,79,2.21807,17,-0.4692,38,0.83511,14,-1.2956
ENSG00000076864,RAP1GAP,39,-1.4626,32,-1.7461,112,0.17457,95,-0.0961,122,0.80348
ENSG00000090686,USP48,35,-1.3763,56,-0.6726,102,0.25430,119,0.51245,93,0.24485
ENSG00000070831,CDC42,141,-0.2138,149,-0.1309,107,-0.6435,142,-0.2012,179,0.41015
ENSG00000173372,C1QA,103,2.28962,72,1.56989,11,-1.4129,21,-0.5042,14,-1.8961
ENSG00000159189,C1QC,74,2.60568,48,1.67330,8,-1.2974,5,-1.8529,8,-2.0804
ENSG00000173369,C1QB,132,2.61177,77,1.49231,6,-2.3672,11,-1.5595,16,-1.8075
ENSG00000004487,KDM1A,31,-1.1796,70,0.07264,44,-0.6503,75,0.18741,75,0.43799
ENSG00000169641,LUZP1,64,-1.9351,92,-1.3911,266,0.26162,241,0.10098,267,0.68654
ENSG00000125944,HNRNPR,119,-0.3479,141,-0.0799,159,0.11468,116,-0.3849,158,0.23749
ENSG00000142676,RPL11,854,1.21805,596,0.59095,639,0.70921,231,-0.9160,306,-0.9217
ENSG00000011007,ELOA,17,-0.9519,35,0.20811,37,0.27535,36,0.22371,31,-0.0087
ENSG00000057757,PITHD1,94,-0.6452,53,-1.5046,97,-0.6046,93,-0.6640,181,1.09675
ENSG00000011009,LYPLA2,21,-0.2383,29,0.24475,13,-0.9382,22,-0.1609,27,0.32318
ENSG00000189266,PNRC2,76,0.49987,81,0.60093,63,0.19223,37,-0.6259,50,-0.3525
ENSG00000188529,SRSF10,61,-0.2755,87,0.28865,52,-0.5163,132,0.99156,66,-0.3339
ENSG00000001461,NIPAL3,60,-1.0164,80,-0.5724,93,-0.3479,128,0.15793,133,0.55473
ENSG00000133226,SRRM1,134,-1.1366,311,0.17997,429,0.71306,559,1.17617,225,-0.6696
ENSG00000169504,CLIC4,71,1.02109,222,3.60460,13,-1.5817,17,-1.2695,10,-2.9624
ENSG00000117614,SYF2,152,0.09723,154,0.11889,177,0.34260,122,-0.2513,138,-0.1356
ENSG00000117616,RSRP1,31,-1.1760,49,-0.4922,13,-2.4150,181,1.71252,67,-0.0445
ENSG00000183726,TMEM50A,66,0.12081,88,0.59067,41,-0.6210,51,-0.2834,61,-0.0130
ENSG00000204178,MACO1,27,-1.7043,37,-1.2122,76,-0.1122,160,1.12701,86,0.20005
ENSG00000117643,MAN1C1,30,-0.5765,66,0.66242,10,-2.1539,32,-0.4643,50,0.51720
ENSG00000162430,SELENON,31,-0.0118,101,2.10095,7,-2.2764,16,-1.0101,26,-0.5662
ENSG00000117640,MTFR1L,69,0.17704,40,-0.6968,46,-0.4551,62,0.00719,67,0.30071
ENSG00000117632,STMN1,917,-0.4972,261,-2.3901,1218,-0.0502,835,-0.6427,1557,0.94606
ENSG00000158008,EXTL1,40,-0.0275,21,-1.0349,33,-0.3246,41,0.00980,46,0.42477
ENSG00000142684,ZNF593,38,0.49124,27,-0.0384,27,-0.0649,22,-0.4101,28,-0.0353
ENSG00000142669,SH3BGRL3,228,0.98938,132,0.07821,139,0.16371,80,-0.7026,113,-0.3554
ENSG00000158062,UBXN11,32,0.84303,17,-0.1564,18,-0.0813,10,-0.9558,19,-0.0363
ENSG00000117682,DHDDS,14,-0.5137,26,0.48371,10,-0.9858,26,0.48256,20,0.03504
ENSG00000198830,HMGN2,213,0.77020,240,0.97743,137,0.04101,75,-0.8954,111,-0.5720
ENSG00000117713,ARID1A,48,-0.9073,136,0.76187,60,-0.5647,93,0.13793,87,0.04053
ENSG00000204160,ZDHHC18,10,-1.2090,21,-0.0826,12,-0.8960,17,-0.4029,26,0.81590
ENSG00000142751,GPN2,7,-1.4526,28,0.52532,22,0.11981,23,0.19361,20,0.01593
ENSG00000090273,NUDC,293,0.29237,180,-0.4848,337,0.52021,152,-0.7423,248,0.04182
ENSG00000253368,TRNP1,48,0.06542,27,-0.8103,28,-0.7855,44,-0.0898,53,0.51024
ENSG00000090020,SLC9A1,9,-1.3069,10,-1.0219,10,-1.1422,20,-0.0645,26,1.08728
ENSG00000142784,WDTC1,43,0.61945,39,0.45879,33,0.20409,36,0.33371,24,-0.6691
ENSG00000186501,TMEM222,30,-0.2883,31,-0.2047,36,0.00797,32,-0.1863,38,0.24019
ENSG00000158195,WASF2,52,0.06745,159,2.05997,71,0.57564,42,-0.2693,29,-1.4614
ENSG00000126705,AHDC1,24,-1.2550,33,-0.7657,61,0.18380,80,0.61588,58,0.22393
ENSG00000126709,IFI6,56,-0.2462,81,0.32345,29,-1.2466,61,-0.1351,72,0.34425
ENSG00000009780,FAM76A,15,-0.7237,22,-0.1396,23,-0.0876,31,0.40601,25,0.13568
ENSG00000117758,STX12,106,0.14984,77,-0.3446,87,-0.1638,68,-0.5458,104,0.30076
ENSG00000117751,PPP1R8,18,-0.3956,37,0.73126,7,-1.7158,19,-0.3544,25,0.33171
ENSG00000117748,RPA2,35,-0.0123,36,0.02664,8,-2.1294,26,-0.4447,41,0.62958
ENSG00000126698,DNAJC8,284,0.05644,256,-0.1133,327,0.28090,204,-0.4675,279,0.06013
ENSG00000130770,ATP5IF1,740,0.84347,187,-1.3412,346,-0.4005,201,-1.2312,496,0.42976
ENSG00000204138,PHACTR4,22,-0.4646,60,1.14940,52,0.88597,47,0.70712,20,-1.1468
ENSG00000180098,TRNAU1AP,14,-0.2982,15,-0.1924,9,-1.0111,38,1.28858,16,-0.2207
ENSG00000198492,YTHDF2,54,-0.8690,42,-1.2354,53,-0.8884,101,0.11599,115,0.87568
ENSG00000159023,EPB41,10,-1.3570,14,-0.8293,27,0.12468,61,1.53439,22,-0.3068
ENSG00000116350,SRSF4,74,-0.5367,99,-0.0752,161,0.72531,157,0.68064,91,-0.4284
ENSG00000116353,MECR,40,0.57735,11,-1.4077,23,-0.2952,21,-0.4353,30,0.36318
ENSG00000162511,LAPTM5,65,1.74084,64,1.72424,18,-0.4168,8,-1.5916,14,-1.4889
ENSG00000162512,SDC3,121,-0.0516,220,0.93846,82,-0.6519,122,-0.0352,117,-0.2150
ENSG00000134644,PUM1,80,-1.2616,107,-0.8117,148,-0.3176,171,-0.0879,217,0.77530
ENSG00000121766,ZCCHC17,185,0.13648,93,-0.9281,181,0.10577,175,0.05058,177,0.15810
ENSG00000121769,FABP3,101,0.12118,25,-1.9680,48,-1.0164,54,-0.8561,118,1.03614
ENSG00000162517,PEF1,86,0.38025,37,-0.9425,32,-1.1460,53,-0.3845,79,0.58801
ENSG00000084636,COL16A1,21,-0.0692,25,0.19052,11,-1.0231,33,0.65641,22,-0.0548
ENSG00000121753,ADGRB2,181,-0.0220,84,-1.2147,118,-0.6946,172,-0.1074,214,0.62335
ENSG00000184007,PTP4A2,214,-0.0680,255,0.21655,470,1.26429,156,-0.5576,189,-0.5332
ENSG00000121774,KHDRBS1,123,-0.0414,130,0.05329,91,-0.5195,92,-0.4930,137,0.33406
ENSG00000025800,KPNA6,52,-1.1759,83,-0.4640,82,-0.4833,118,0.09173,130,0.63116
ENSG00000084652,TXLNA,18,-0.7243,31,0.18293,24,-0.2414,34,0.30020,29,0.11346
ENSG00000160050,CCDC28B,37,1.12758,29,0.69370,14,-0.4180,19,0.05555,15,-0.7465
ENSG00000084623,EIF3I,88,0.01288,92,0.07803,61,-0.5685,53,-0.7620,96,0.39148
ENSG00000175130,MARCKSL1,238,1.11727,320,1.66701,47,-1.4567,42,-1.6393,96,-0.7489
ENSG00000160058,BSDC1,40,-0.6611,60,-0.0215,39,-0.6979,58,-0.0818,69,0.47987
ENSG00000176261,ZBTB8OS,74,1.00588,34,-0.2773,26,-0.7027,24,-0.8290,41,0.06537
ENSG00000162521,RBBP4,86,-0.4589,139,0.30225,53,-1.2096,94,-0.3232,130,0.48470
ENSG00000162522,KIAA1522,40,1.26427,26,0.51805,13,-0.5513,13,-0.5990,16,-0.5085
ENSG00000134684,YARS,60,-0.8645,85,-0.3244,67,-0.7074,54,-1.0391,130,0.96921
ENSG00000160097,FNDC5,14,-1.6800,13,-1.7620,29,-0.5736,30,-0.5202,55,1.35618
ENSG00000121905,HPCA,197,0.56749,59,-1.3273,81,-0.8463,64,-1.2091,166,0.72197
ENSG00000121900,TMEM54,71,1.01350,47,0.31474,41,0.11714,10,-2.0456,36,-0.2276
ENSG00000004455,AK2,47,0.81234,63,1.33278,18,-0.6677,31,0.13028,21,-0.9079
ENSG00000160094,ZNF362,23,0.15616,21,-0.0133,22,0.08870,34,0.79969,18,-0.4526
ENSG00000134686,PHC2,41,-0.2314,60,0.38679,28,-0.7834,36,-0.4098,51,0.30100
ENSG00000163866,SMIM12,42,-0.4138,39,-0.5233,40,-0.4887,40,-0.5085,65,0.67503
ENSG00000116544,DLGAP3,90,1.22745,55,0.36984,24,-0.9001,38,-0.2031,38,-0.4476
ENSG00000163867,ZMYM6,24,0.17983,22,0.01011,12,-0.9268,36,0.81745,21,-0.1865
ENSG00000116560,SFPQ,175,-0.9245,393,0.34865,446,0.55713,633,1.16512,254,-0.6959
ENSG00000146463,ZMYM4,44,-0.7485,71,-0.0021,120,0.86219,70,-0.0285,68,-0.1675
ENSG00000142687,KIAA0319L,37,-0.8508,47,-0.4940,43,-0.6341,70,0.13092,75,0.59353
ENSG00000020129,NCDN,359,-0.2279,109,-2.0330,138,-1.6870,303,-0.4918,539,1.24385
ENSG00000126067,PSMB2,84,0.05236,80,-0.0293,36,-1.2313,86,0.08369,88,0.29525
ENSG00000142686,C1orf216,56,-0.6351,20,-2.1481,53,-0.6941,73,-0.2025,105,1.05019
ENSG00000092847,AGO1,24,-0.5564,22,-0.6797,44,0.40681,63,1.02074,31,-0.2807
ENSG00000126070,AGO3,12,-2.0745,51,0.06365,48,-0.0473,97,1.12618,48,-0.1312
ENSG00000054116,TRAPPC3,31,-0.2448,37,0.00742,11,-1.7814,23,-0.7366,44,0.77749
ENSG00000116871,MAP7D1,203,0.15643,125,-0.6035,180,-0.0394,194,0.08635,190,0.11262
ENSG00000054118,THRAP3,108,-1.1002,164,-0.4575,212,-0.0541,295,0.48215,236,0.27557
ENSG00000196182,STK40,15,-0.3572,23,0.39272,13,-0.4778,23,0.39159,18,-0.0492
ENSG00000181817,LSM10,68,1.05745,29,-0.3457,23,-0.7151,16,-1.2141,37,0.13777
ENSG00000116898,MRPS15,88,0.89854,26,-1.0573,48,-0.0928,24,-1.1591,54,0.21998
ENSG00000163875,MEAF6,81,-0.4836,44,-1.3992,124,0.18870,127,0.22044,121,0.36518
ENSG00000134697,GNL2,26,-0.1710,17,-0.8011,25,-0.2683,25,-0.2268,33,0.49626
ENSG00000185090,MANEAL,13,-0.6246,12,-0.8067,20,0.01599,16,-0.3061,23,0.56665
ENSG00000197982,C1orf122,282,1.37060,166,0.44670,109,-0.2299,52,-1.3750,109,-0.4829
ENSG00000183431,SF3A3,42,-0.1995,50,0.04602,29,-0.7833,60,0.35828,50,0.14310
ENSG00000183520,UTP11,36,-0.2074,28,-0.6209,46,0.17123,32,-0.4242,46,0.35377
ENSG00000116954,RRAGC,24,-0.9952,54,0.24829,16,-1.5749,33,-0.5176,56,0.79652
ENSG00000174574,AKIRIN1,67,-0.1527,72,-0.0462,31,-1.3311,80,0.11885,81,0.38505
ENSG00000168653,NDUFS5,1202,0.88990,480,-0.6016,678,-0.0594,321,-1.2171,726,0.11562
ENSG00000127603,MACF1,133,-1.9911,1156,1.47589,405,-0.3008,743,0.68786,410,-0.5724
ENSG00000090621,PABPC4,72,-0.0408,147,1.15104,97,0.44630,44,-0.7971,63,-0.5098
ENSG00000116983,HPCAL4,385,0.43139,203,-0.5899,319,0.12028,205,-0.5783,308,0.14539
ENSG00000084072,PPIE,36,0.07421,32,-0.0875,13,-1.4876,29,-0.2574,38,0.48560
ENSG00000131236,CAP1,182,0.28218,193,0.38381,88,-0.8535,118,-0.4125,158,0.11747
ENSG00000131238,PPT1,129,0.17122,122,0.07827,61,-1.0079,66,-0.8755,131,0.46520
ENSG00000117000,RLF,15,-1.1772,14,-1.3023,31,-0.1148,61,1.02817,35,0.19687
ENSG00000084073,ZMPSTE24,25,-0.3182,39,0.34428,23,-0.4831,24,-0.4359,34,0.27663
ENSG00000084070,SMAP2,98,-0.8110,54,-1.7140,139,-0.2736,178,0.11715,197,0.74879
ENSG00000117016,RIMS3,150,-0.1028,72,-1.2371,117,-0.4933,82,-1.0297,196,0.89756
ENSG00000066136,NFYC,18,-0.9955,19,-0.9309,26,-0.4627,16,-1.1503,45,1.15718
ENSG00000127124,HIVEP3,17,-0.6870,11,-1.3562,48,0.93993,38,0.56783,26,-0.1386
ENSG00000198815,FOXJ3,29,-0.7582,23,-1.0771,44,-0.1087,34,-0.5305,57,0.80264
ENSG00000177181,RIMKLA,38,-0.5192,24,-1.2081,66,0.33232,44,-0.2949,60,0.47865
ENSG00000127125,PPCS,86,0.61022,49,-0.3194,59,-0.0203,34,-0.8504,61,0.09954
ENSG00000186409,CCDC30,53,-0.6423,64,-0.3326,187,1.46661,131,0.82432,60,-0.8562
ENSG00000065978,YBX1,251,1.34508,255,1.37379,197,0.90793,67,-0.8189,61,-1.6425
ENSG00000164008,C1orf50,28,0.69323,10,-0.9302,14,-0.4015,18,0.01689,18,0.08443
ENSG00000177868,SVBP,70,0.96018,35,-0.1728,37,-0.1016,22,-0.8714,38,-0.1107
ENSG00000117394,SLC2A1,33,0.28279,95,2.18420,17,-0.7614,11,-1.4125,21,-0.9106
ENSG00000117395,EBNA1BP2,99,0.18822,79,-0.1679,84,-0.0696,32,-1.5183,97,0.40136
ENSG00000159479,MED8,23,0.15765,12,-0.8635,7,-1.6762,20,-0.0982,25,0.66875
ENSG00000142949,PTPRF,75,-0.7623,159,0.42336,37,-1.8009,101,-0.2995,142,0.60416
ENSG00000066135,KDM4A,15,-0.2362,13,-0.5173,17,-0.0670,29,0.75623,18,-0.0726
ENSG00000126091,ST3GAL3,50,0.48753,20,-0.9327,30,-0.3613,49,0.44467,37,-0.0045
ENSG00000117408,IPO13,52,0.38336,56,0.51777,24,-0.8351,17,-1.3197,43,0.21340
ENSG00000117410,ATP6V0B,183,-0.9241,175,-0.9920,99,-1.8506,256,-0.4122,434,1.28194
ENSG00000117411,B4GALT2,91,0.47677,112,0.83039,63,-0.1233,49,-0.5260,61,-0.3715
ENSG00000178028,DMAP1,33,-0.8863,59,-0.0044,26,-1.2833,61,0.03868,69,0.62018
ENSG00000117419,ERI3,133,0.25646,107,-0.0829,69,-0.7784,68,-0.8033,126,0.41844
ENSG00000187147,RNF220,99,-0.0375,43,-1.3137,82,-0.3372,63,-0.7547,122,0.75557
ENSG00000142937,RPS8,2214,1.21299,1456,0.48678,1948,0.98426,512,-1.1584,779,-0.9749
ENSG00000070785,EIF2B3,19,-0.8225,38,0.25642,3,-3.2110,44,0.48051,37,0.48687
ENSG00000126088,UROD,89,0.25309,66,-0.2239,40,-0.9843,38,-1.0657,88,0.58703
ENSG00000117450,PRDX1,373,0.71959,523,1.31622,126,-1.0041,94,-1.4532,216,-0.3702
ENSG00000117448,AKR1A1,57,0.51615,58,0.54605,11,-1.9773,23,-0.9263,45,0.24898
ENSG00000132780,NASP,46,-0.8044,116,0.66167,137,0.93656,157,1.17762,54,-1.0834
ENSG00000159592,GPBP1L1,31,0.00478,27,-0.2532,25,-0.3646,42,0.48149,31,0.00412
ENSG00000086015,MAST2,31,0.05359,17,-0.8445,43,0.54850,29,-0.0946,31,0.02589
ENSG00000117461,PIK3R3,16,-1.2445,37,0.00985,62,0.86687,34,-0.1193,36,-0.0401
ENSG00000085998,POMGNT1,41,-0.2835,54,0.15930,25,-1.0255,70,0.60388,49,0.05878
ENSG00000132128,LRRC41,28,-0.3298,41,0.29446,23,-0.6162,39,0.23641,35,0.09393
ENSG00000173660,UQCRH,662,0.87925,183,-1.1745,345,-0.1929,187,-1.1417,421,0.28824
