Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000171680,PLEKHG5,0,-8.0365,6,-2.0542,0,-8.9009,1,-3.9235,34,0.53145,67,2.27253,29,0.31777,19,-0.4040
ENSG00000162408,NOL9,25,0.09649,15,-0.6906,14,-0.7597,28,0.31985,48,1.22414,22,-0.1329,14,-0.7729,22,-0.0617
ENSG00000162413,KLHL21,24,-0.2634,22,-0.4041,18,-0.6435,1,-4.7321,31,0.18687,30,0.13218,70,1.56252,27,-0.0656
ENSG00000007923,DNAJC11,27,-0.2656,12,-1.3932,7,-2.1981,7,-2.2610,39,0.34232,48,0.80256,27,-0.2641,50,0.89070
ENSG00000171735,CAMTA1,221,-0.8512,145,-1.4928,133,-1.6159,680,0.96102,617,0.79223,457,0.33181,273,-0.5305,418,0.16604
ENSG00000049245,VAMP3,98,0.48748,210,1.87837,200,1.77907,18,-2.0693,19,-1.9759,6,-3.7792,102,0.56844,31,-1.4002
ENSG00000049246,PER3,86,0.97689,80,0.84379,52,0.13156,53,0.15074,48,0.00685,24,-1.1437,61,0.38453,25,-1.0576
ENSG00000116288,PARK7,133,-1.0161,288,0.19549,196,-0.4177,97,-1.4792,154,-0.7871,326,0.45924,336,0.44684,347,0.58055
ENSG00000116285,ERRFI1,4,-2.3041,6,-1.7391,20,-0.0409,13,-0.6819,31,0.70440,37,1.16488,7,-1.4938,24,0.28183
ENSG00000162426,SLC45A1,8,-1.6959,6,-1.9768,2,-3.7300,11,-1.1168,47,1.13057,46,1.32476,16,-0.6240,28,0.29200
ENSG00000142599,RERE,192,0.51404,81,-0.8414,98,-0.5561,218,0.72924,150,0.10803,128,-0.1602,115,-0.3106,145,0.06127
ENSG00000074800,ENO1,303,-0.6713,546,0.26090,176,-1.4972,151,-1.7256,390,-0.2791,502,0.14196,1208,1.65860,435,-0.1189
ENSG00000171612,SLC25A33,29,0.05768,16,-0.8400,20,-0.5018,11,-1.3627,10,-1.4918,24,-0.2561,75,1.69295,35,0.40219
ENSG00000171603,CLSTN1,165,-1.8180,174,-1.7405,137,-2.0894,237,-1.2776,1067,1.14119,1043,1.32424,575,0.09514,488,-0.1868
ENSG00000178585,CTNNBIP1,24,-0.9960,56,0.33117,30,-0.6443,11,-2.1371,46,0.01339,32,-0.6242,63,0.53362,81,1.13622
ENSG00000162441,LZIC,113,0.71255,138,1.04851,115,0.73941,106,0.60395,30,-1.3888,36,-1.2049,58,-0.3757,52,-0.6102
ENSG00000162444,RBP7,36,0.71853,61,1.67423,106,2.92271,1,-4.2776,3,-2.8866,1,-4.2706,5,-2.0837,7,-1.7868
ENSG00000130939,UBE4B,49,0.38476,30,-0.3972,56,0.60077,34,-0.1807,44,0.20947,42,0.13184,24,-0.7409,33,-0.2792
ENSG00000054523,KIF1B,631,0.35084,463,-0.1488,563,0.16322,709,0.54358,613,0.30237,407,-0.3922,470,-0.1240,411,-0.3738
ENSG00000142657,PGD,31,-0.7836,32,-0.7180,43,-0.2866,15,-1.8163,59,0.21775,75,0.72188,83,0.77623,50,-0.0384
ENSG00000160049,DFFA,137,1.10476,67,-0.0966,84,0.26730,122,0.89040,67,-0.0820,28,-1.5264,49,-0.5674,64,-0.1909
ENSG00000120948,TARDBP,91,0.15170,89,0.09900,100,0.29619,86,0.04505,90,0.12281,90,0.13817,60,-0.5015,68,-0.3454
ENSG00000116649,SRM,29,-0.6433,41,-0.0820,30,-0.5581,17,-1.4694,33,-0.4530,66,0.79920,56,0.39493,49,0.20867
ENSG00000171824,EXOSC10,58,0.91264,35,0.07327,39,0.24994,7,-2.2808,103,1.98229,19,-0.9707,12,-1.5872,21,-0.7499
ENSG00000198793,MTOR,8,-2.3752,20,-1.0800,19,-1.1775,17,-1.3397,60,0.62910,52,0.47105,96,1.46529,41,0.01310
ENSG00000116661,FBXO2,112,-0.7815,266,0.59128,74,-1.4107,69,-1.5082,96,-1.0154,231,0.40439,347,1.04814,214,0.26192
ENSG00000132879,FBXO44,23,-1.6244,17,-2.0657,13,-2.3784,36,-0.9472,61,-0.1278,136,1.49499,77,0.24924,79,0.34985
ENSG00000011021,CLCN6,35,-0.9819,40,-0.7767,34,-1.0177,47,-0.5126,63,-0.0552,81,0.38050,107,0.80240,84,0.46910
ENSG00000116685,KIAA2013,45,0.13886,62,0.68379,51,0.35961,15,-1.5562,49,0.27754,37,-0.1693,52,0.38590,31,-0.4911
ENSG00000116688,MFN2,53,-1.1425,100,-0.1788,71,-0.7077,82,-0.4882,81,-0.5080,134,0.33203,96,-0.2489,184,0.96698
ENSG00000048707,VPS13D,64,-0.1331,48,-0.5988,31,-1.2276,86,0.33524,94,0.47349,91,0.50072,59,-0.2768,67,-0.0690
ENSG00000162496,DHRS3,14,-0.8773,49,1.15795,2,-3.4960,1,-3.9270,7,-1.8784,19,-0.4525,101,2.63197,16,-0.6718
ENSG00000116731,PRDM2,154,-0.3082,63,-1.6610,143,-0.4268,497,1.69574,257,0.51191,180,-0.0692,90,-1.1323,155,-0.3367
ENSG00000189337,KAZN,155,0.94064,90,0.03827,115,0.43847,88,0.00312,63,-0.5138,69,-0.4097,38,-1.2671,95,0.14045
ENSG00000142634,EFHD2,29,-1.6681,35,-1.4206,15,-2.6350,71,-0.3276,118,0.48366,99,0.21521,98,0.17369,157,1.14910
ENSG00000116138,DNAJC16,35,0.19119,4,-2.8691,28,-0.1909,20,-0.6683,41,0.44414,55,1.10504,16,-1.0097,29,-0.1385
ENSG00000197312,DDI2,26,-0.3773,9,-1.9491,42,0.41895,58,0.95839,68,1.23973,35,0.12452,6,-2.3762,23,-0.5791
ENSG00000116786,PLEKHM2,98,-0.6471,144,-0.0361,70,-1.1564,187,0.38488,109,-0.4719,119,-0.3824,92,-0.7365,269,1.19611
ENSG00000065526,SPEN,334,1.52409,84,-0.7734,139,0.01516,311,1.38819,204,0.64461,70,-1.1498,44,-1.7388,61,-1.3544
ENSG00000116809,ZBTB17,18,-0.4339,27,0.20990,33,0.54476,12,-1.0070,23,-0.0316,18,-0.4426,33,0.57977,26,0.19440
ENSG00000037637,FBXO42,12,-0.8287,9,-1.2918,18,-0.2470,22,0.03340,44,1.21191,27,0.47330,14,-0.6401,19,-0.1768
ENSG00000055070,SZRD1,48,0.72968,48,0.73280,39,0.38939,15,-1.0981,13,-1.2668,21,-0.6241,42,0.51804,29,-0.0808
ENSG00000159363,ATP13A2,20,-1.8768,36,-0.9717,11,-2.6830,6,-3.5753,45,-0.6587,137,1.41703,59,-0.2241,115,1.02909
ENSG00000117118,SDHB,27,-0.9389,43,-0.2387,58,0.21107,19,-1.4455,40,-0.3827,62,0.36769,49,-0.0600,73,0.68896
ENSG00000117115,PADI2,260,1.07144,317,1.43372,340,1.56918,63,-1.1963,19,-2.9161,22,-2.8606,174,0.38888,76,-1.0038
ENSG00000179051,RCC2,20,-0.1295,29,0.42180,16,-0.4611,24,0.13633,21,-0.0932,22,0.03543,21,-0.0866,22,0.01537
ENSG00000117154,IGSF21,5,-3.6667,22,-1.6479,10,-2.7840,34,-0.9855,108,0.84329,117,1.16851,84,0.40629,76,0.28702
ENSG00000159423,ALDH4A1,16,-0.9585,36,0.26546,11,-1.4889,18,-0.8229,6,-2.3388,15,-1.2219,109,2.28859,40,0.49677
ENSG00000127481,UBR4,58,0.68972,12,-1.7047,26,-0.5836,57,0.65676,51,0.46118,50,0.51274,31,-0.3359,23,-0.8678
ENSG00000127463,EMC1,24,-0.3342,20,-0.5644,18,-0.7440,11,-1.4893,54,1.00838,52,1.11435,12,-1.3165,25,-0.2644
ENSG00000053372,MRTO4,36,0.12104,23,-0.6022,11,-1.6672,16,-1.1616,49,0.62300,56,0.98152,16,-1.1026,37,0.14926
ENSG00000053371,AKR7A2,61,1.05269,60,1.00463,10,-1.6873,4,-3.0200,18,-0.8620,26,-0.4068,70,1.28254,25,-0.4522
ENSG00000077549,CAPZB,109,-0.6021,139,-0.2226,120,-0.4577,150,-0.1048,135,-0.2740,217,0.57101,197,0.33323,159,-0.0126
ENSG00000173436,MICOS10,162,-0.9164,390,0.46889,234,-0.3523,209,-0.5293,150,-1.0364,289,-0.0222,346,0.27579,427,0.72276
ENSG00000158747,NBL1,32,-2.1466,94,-0.5299,29,-2.2965,31,-2.2068,161,0.32108,197,0.76333,167,0.37799,206,0.86222
ENSG00000162545,CAMK2N1,947,-1.0387,1096,-0.8157,1522,-0.3056,2562,0.53682,1737,-0.0966,2121,0.25518,1787,-0.0513,2282,0.39370
ENSG00000158828,PINK1,92,-2.0520,271,-0.4260,142,-1.4146,189,-0.9815,281,-0.3705,513,0.70068,305,-0.2389,621,1.10771
ENSG00000244038,DDOST,2,-3.4922,30,0.44185,17,-0.4055,12,-0.9492,34,0.63712,42,1.20987,18,-0.3164,15,-0.7219
ENSG00000117245,KIF17,0,-7.5929,3,-2.4294,0,-8.4620,0,-5.1098,16,-0.1196,40,1.67266,3,-2.5720,38,1.54058
ENSG00000189410,SH2D5,0,-8.2120,0,-8.3146,0,-9.0809,25,-0.1571,21,-0.4147,57,1.49479,29,0.10260,43,0.85640
ENSG00000127483,HP1BP3,464,0.75459,200,-0.6045,357,0.31811,614,1.24831,417,0.57168,199,-0.6713,118,-1.3990,184,-0.7982
ENSG00000075151,EIF4G3,214,-0.1752,102,-1.3158,206,-0.2321,537,1.38647,388,0.80494,254,0.11157,94,-1.4250,168,-0.6044
ENSG00000117298,ECE1,58,1.18203,35,0.34857,11,-1.4662,27,-0.0952,24,-0.2701,17,-0.8978,59,1.22121,19,-0.6993
ENSG00000076864,RAP1GAP,36,-1.6414,35,-1.6690,24,-2.2164,33,-1.7578,288,1.76438,196,1.25017,81,-0.4139,80,-0.4714
ENSG00000090686,USP48,142,0.80553,96,0.14924,120,0.52570,87,0.00572,162,1.03948,76,-0.2291,40,-1.2111,35,-1.4865
ENSG00000070831,CDC42,138,-0.3709,223,0.39719,262,0.67217,68,-1.4485,124,-0.5360,250,0.68567,119,-0.5955,154,-0.2148
ENSG00000004487,KDM1A,26,-0.9457,22,-1.2085,27,-0.9280,95,1.11742,87,0.97694,74,0.79898,25,-1.0204,28,-0.9345
ENSG00000169641,LUZP1,73,-1.1736,15,-3.5179,17,-3.2892,417,1.71283,271,0.91726,217,0.62619,18,-3.2273,157,0.01464
ENSG00000125944,HNRNPR,187,0.36059,149,-0.0107,200,0.47168,173,0.23497,156,0.06905,139,-0.1372,167,0.18065,94,-0.8045
ENSG00000142676,RPL11,625,-0.0651,1418,1.32438,879,0.48965,376,-0.8573,297,-1.2134,404,-0.8180,801,0.33720,653,0.00507
ENSG00000011007,ELOA,54,1.03770,27,-0.1030,33,0.19695,27,-0.1179,43,0.66937,27,-0.1066,16,-0.9390,17,-0.8572
ENSG00000057757,PITHD1,72,-0.9833,82,-0.7768,111,-0.3173,39,-1.8989,120,-0.1970,195,0.69103,157,0.23848,192,0.66083
ENSG00000011009,LYPLA2,6,-1.8040,7,-1.6606,7,-1.5132,2,-3.2277,18,-0.2162,42,1.42965,21,0.02949,30,0.73919
ENSG00000189266,PNRC2,101,0.80255,60,-0.0569,56,-0.1730,96,0.71849,40,-0.6738,61,-0.0316,65,0.07651,40,-0.7376
ENSG00000188529,SRSF10,113,0.70137,66,-0.1767,72,-0.0335,77,0.07775,124,0.86025,57,-0.4309,63,-0.2396,53,-0.5680
ENSG00000001461,NIPAL3,278,0.60784,319,0.84167,413,1.30216,157,-0.3181,132,-0.5891,121,-0.7890,138,-0.5202,120,-0.8052
ENSG00000133226,SRRM1,645,1.92670,109,-1.0692,228,0.08178,424,1.12431,223,0.04520,117,-1.0399,67,-1.7990,119,-1.0115
ENSG00000169504,CLIC4,203,1.06292,261,1.52602,373,2.25028,33,-1.7786,9,-3.6016,8,-3.9607,99,-0.1279,40,-1.6280
ENSG00000117614,SYF2,174,0.38281,138,0.00916,151,0.15417,271,1.13961,96,-0.5698,123,-0.2059,79,-0.8578,110,-0.3853
ENSG00000117616,RSRP1,117,1.00848,77,0.29443,101,0.74854,17,-2.0295,147,1.41542,63,-0.0316,27,-1.3308,14,-2.3694
ENSG00000183726,TMEM50A,69,-0.1925,95,0.32166,145,1.04214,45,-0.8409,71,-0.1405,85,0.16916,89,0.22772,46,-0.8919
ENSG00000204178,MACO1,101,0.96262,25,-1.2462,64,0.18552,78,0.51991,110,1.10237,52,-0.1499,33,-0.8478,26,-1.2856
ENSG00000157978,LDLRAP1,61,1.72921,27,0.32602,110,3.07409,0,-7.5519,0,-7.6845,1,-3.9078,13,-0.8078,5,-2.3118
ENSG00000117643,MAN1C1,24,-0.5767,16,-1.2306,12,-1.6305,4,-3.2317,57,0.78399,76,1.57922,39,0.14020,25,-0.5969
ENSG00000162430,SELENON,18,-1.0978,63,0.92158,27,-0.4439,9,-2.0530,39,0.12814,24,-0.7009,136,2.40708,11,-1.8993
ENSG00000117640,MTFR1L,31,-1.0574,40,-0.6524,32,-1.0077,23,-1.5018,99,0.78794,78,0.44391,90,0.63622,71,0.26635
ENSG00000117632,STMN1,668,-0.6967,744,-0.5313,1510,0.60902,726,-0.5684,810,-0.3986,1414,0.57442,662,-0.7112,1236,0.31539
ENSG00000158008,EXTL1,7,-2.6511,4,-3.4750,9,-2.2505,15,-1.5290,57,0.49533,65,0.83454,68,0.78474,65,0.83486
ENSG00000142684,ZNF593,10,-1.7704,25,-0.3719,19,-0.7702,26,-0.3296,15,-1.1388,45,0.64484,16,-1.0582,58,1.21522
ENSG00000142669,SH3BGRL3,94,-0.8660,175,0.09770,151,-0.1363,71,-1.2818,111,-0.6169,149,-0.1783,272,0.83285,236,0.68750
ENSG00000198830,HMGN2,316,0.28763,410,0.72476,430,0.80381,195,-0.4793,159,-0.7902,182,-0.6418,356,0.48431,206,-0.4339
ENSG00000117713,ARID1A,112,0.59213,80,0.04500,92,0.25268,84,0.10760,106,0.49226,74,-0.0950,73,-0.1049,43,-0.9958
ENSG00000142751,GPN2,45,1.27237,21,0.01221,20,-0.0949,6,-1.9375,23,0.11084,24,0.22575,22,0.07029,13,-0.7760
ENSG00000090273,NUDC,119,-0.8370,159,-0.3858,145,-0.5323,122,-0.7997,188,-0.1266,254,0.41410,175,-0.2414,309,0.80203
ENSG00000253368,TRNP1,4,-3.2253,11,-1.9355,6,-2.8845,33,-0.3034,46,0.23161,63,0.87081,15,-1.5028,80,1.38937
ENSG00000142784,WDTC1,24,-0.2747,26,-0.1209,16,-0.8462,20,-0.5229,13,-1.1946,40,0.65018,33,0.24430,36,0.40582
ENSG00000186501,TMEM222,33,-0.2574,32,-0.2886,41,0.07621,15,-1.4294,43,0.15693,64,0.96401,41,0.09865,27,-0.5863
ENSG00000158195,WASF2,245,1.70592,136,0.64637,175,1.07875,93,0.02089,42,-1.2038,20,-2.4341,108,0.25833,40,-1.3938
ENSG00000126705,AHDC1,34,-0.2868,21,-0.9710,18,-1.2218,46,0.21635,55,0.51597,44,0.17333,86,1.26491,27,-0.6757
ENSG00000126709,IFI6,57,-0.7191,118,0.42635,58,-0.6795,41,-1.2134,55,-0.7704,105,0.27672,205,1.39352,80,-0.2201
ENSG00000009780,FAM76A,26,0.15248,12,-1.0284,29,0.36828,37,0.74355,19,-0.2959,25,0.11444,36,0.72710,12,-1.0946
ENSG00000117758,STX12,73,-0.6415,112,0.01672,133,0.30429,112,0.02408,83,-0.4486,103,-0.1228,183,0.83263,101,-0.1575
ENSG00000117751,PPP1R8,13,-1.1661,40,0.59483,62,1.36551,21,-0.4333,14,-0.9897,33,0.32910,26,-0.0664,17,-0.8391
ENSG00000117748,RPA2,29,-0.8551,44,-0.2379,56,0.14879,8,-2.8098,73,0.58766,73,0.65544,67,0.44118,44,-0.2464
ENSG00000126698,DNAJC8,347,0.59245,155,-0.6981,229,-0.0813,546,1.39277,227,-0.1001,198,-0.3476,104,-1.2961,205,-0.2866
ENSG00000130770,ATP5IF1,171,-1.2717,275,-0.5489,250,-0.6926,188,-1.1254,311,-0.3534,617,0.89337,323,-0.2960,570,0.72588
ENSG00000204138,PHACTR4,126,1.76669,53,0.23836,59,0.41509,90,1.12831,31,-0.6164,20,-1.3720,22,-1.1075,18,-1.5117
ENSG00000198492,YTHDF2,71,-0.1646,52,-0.6536,78,-0.0281,92,0.24232,114,0.60026,119,0.78239,23,-1.8882,61,-0.4420
ENSG00000116350,SRSF4,88,0.34027,64,-0.1726,86,0.31495,98,0.51785,118,0.84202,46,-0.7428,58,-0.3220,53,-0.4961
ENSG00000116353,MECR,17,-0.6337,23,-0.1171,11,-1.2017,1,-3.8552,14,-0.9027,40,0.88164,34,0.50447,35,0.62980
ENSG00000162511,LAPTM5,29,-0.2735,64,1.01890,29,-0.2929,33,-0.0663,10,-1.8623,27,-0.4356,57,0.82708,35,0.02369
ENSG00000162512,SDC3,126,0.54572,156,0.91469,32,-1.5880,83,-0.1287,115,0.39993,68,-0.4795,131,0.61615,60,-0.6929
ENSG00000134644,PUM1,123,-0.3971,102,-0.6837,94,-0.8161,208,0.44836,287,0.99562,160,0.02760,162,0.04061,142,-0.1927
ENSG00000121766,ZCCHC17,149,0.14651,131,-0.0538,127,-0.1113,139,0.03408,194,0.58256,148,0.14942,113,-0.2971,106,-0.4388
ENSG00000121769,FABP3,0,-8.5973,7,-2.3561,8,-2.2868,17,-1.1571,9,-2.0798,75,1.51897,17,-1.1100,75,1.51525
ENSG00000162517,PEF1,49,-0.3590,40,-0.6554,56,-0.1576,31,-1.0389,79,0.41464,90,0.73051,58,-0.0957,60,-0.0352
ENSG00000084636,COL16A1,44,0.60650,28,-0.1185,53,0.89319,2,-3.6492,43,0.56076,28,-0.1640,47,0.70416,16,-1.0745
ENSG00000121753,ADGRB2,41,-2.2697,64,-1.6046,34,-2.5125,50,-1.9610,268,0.63064,359,1.37437,206,0.19843,221,0.35496
ENSG00000184007,PTP4A2,1117,1.39501,1103,1.37268,908,1.01997,600,0.31731,191,-1.4600,153,-1.9129,184,-1.5198,263,-1.0677
ENSG00000121774,KHDRBS1,146,0.14129,119,-0.1905,163,0.32083,103,-0.4065,208,0.72707,111,-0.3247,114,-0.2500,131,-0.0389
ENSG00000025800,KPNA6,64,-0.6676,88,-0.1792,96,-0.0365,136,0.53201,158,0.79187,126,0.46978,79,-0.3384,54,-1.0192
ENSG00000084652,TXLNA,20,-0.3558,22,-0.2398,30,0.22850,16,-0.7598,48,1.02218,22,-0.2421,35,0.50693,21,-0.3669
ENSG00000084623,EIF3I,49,-0.7458,71,-0.1889,84,0.07387,47,-0.8319,64,-0.3360,107,0.55090,89,0.17686,90,0.21601
ENSG00000175130,MARCKSL1,699,1.14100,618,0.92305,1189,2.18018,151,-1.3140,77,-2.3247,77,-2.4488,395,0.17326,132,-1.6316
ENSG00000160058,BSDC1,62,0.04439,45,-0.4725,63,0.05771,43,-0.5506,71,0.25580,64,0.09140,88,0.60795,54,-0.2210
ENSG00000160062,ZBTB8A,30,0.34331,27,0.13724,24,-0.0336,16,-0.6460,43,0.91496,22,-0.1518,7,-1.8973,27,0.15274
ENSG00000176261,ZBTB8OS,16,-1.4460,53,0.36513,33,-0.3580,47,0.18201,29,-0.5683,48,0.25086,61,0.61233,42,-0.0024
ENSG00000162521,RBBP4,155,0.49719,113,-0.0184,99,-0.2221,145,0.38713,101,-0.1937,138,0.34770,89,-0.3976,82,-0.5709
ENSG00000134684,YARS,35,-1.3631,41,-1.1443,33,-1.4548,30,-1.6080,76,-0.1791,163,1.29961,90,0.09004,111,0.49493
ENSG00000160097,FNDC5,10,-1.3313,15,-0.7446,1,-3.8442,0,-5.3550,16,-0.6903,52,1.54965,4,-2.5573,47,1.29130
ENSG00000121905,HPCA,1,-6.4763,11,-3.6156,11,-3.6354,68,-1.0278,216,0.80825,275,1.49921,73,-0.9292,197,0.75794
ENSG00000121900,TMEM54,10,-1.4966,79,1.75727,19,-0.6137,10,-1.5316,9,-1.6890,28,-0.0199,24,-0.2645,38,0.55470
ENSG00000004455,AK2,51,0.43569,58,0.66588,89,1.42551,12,-1.7744,19,-1.1031,22,-0.9599,29,-0.4206,42,0.16106
ENSG00000142920,AZIN2,39,0.87921,40,0.95520,30,0.45084,4,-2.4104,22,-0.0711,26,0.27102,19,-0.3048,10,-1.3235
ENSG00000160094,ZNF362,28,0.18036,17,-0.5961,15,-0.7339,25,0.03740,17,-0.5685,19,-0.4226,49,1.12690,29,0.27753
ENSG00000134686,PHC2,54,-0.0958,74,0.40744,96,0.83466,37,-0.7093,46,-0.3712,58,0.01644,58,-0.0102,49,-0.3074
ENSG00000163866,SMIM12,21,-0.9411,22,-0.8683,31,-0.3115,31,-0.3122,23,-0.7594,73,1.27396,35,-0.1311,37,-0.0627
ENSG00000116544,DLGAP3,1,-5.0343,0,-5.5777,4,-3.2244,48,0.23290,65,0.73705,60,0.70690,36,-0.2186,69,1.00317
ENSG00000163867,ZMYM6,17,-0.3940,29,0.44721,25,0.21647,7,-1.6840,53,1.47111,21,-0.0921,7,-1.6290,20,-0.1627
