Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000197530,MIB2,37,0.38574,18,-0.6833,37,0.39191,41,0.56221,44,0.65132,14,-1.0899,17,-0.7652,29,0.02065,33,0.23541,30,0.05425,13,-1.2261
ENSG00000248333,CDK11B,67,0.88257,58,0.63672,29,-0.4516,23,-0.7827,11,-1.8433,39,-0.0088,75,1.07555,9,-2.0765,12,-1.7855,49,0.35859,80,1.18624
ENSG00000189339,SLC35E2B,22,0.30544,24,0.42500,24,0.44583,4,-2.1809,36,1.11874,11,-0.7646,18,-0.0257,24,0.42819,11,-0.8093,18,-0.0105,15,-0.3047
ENSG00000008128,CDK11A,34,0.65373,42,1.00594,22,-0.0178,18,-0.3041,16,-0.4750,31,0.52415,12,-0.9835,7,-1.7164,11,-1.1596,24,0.10950,41,0.95862
ENSG00000215790,SLC35E2A,43,0.48591,18,-0.8366,43,0.47617,22,-0.5884,56,0.92266,17,-0.9013,28,-0.2025,36,0.17567,20,-0.7460,48,0.65260,30,-0.1033
ENSG00000008130,NADK,16,-0.6026,25,0.10029,31,0.44955,12,-0.9656,15,-0.6506,17,-0.5091,15,-0.6198,40,0.89415,33,0.62613,23,-0.0014,18,-0.3754
ENSG00000078369,GNB1,329,-0.6982,469,-0.1518,844,0.79310,475,-0.1315,695,0.47389,447,-0.2244,511,-0.0160,598,0.23279,571,0.17557,446,-0.2282,242,-1.1632
ENSG00000187730,GABRD,126,-0.4433,85,-1.0425,129,-0.4144,64,-1.4746,207,0.32808,210,0.35180,317,1.03703,290,0.88598,271,0.88002,21,-3.0706,24,-2.8633
ENSG00000067606,PRKCZ,173,-0.0218,184,0.07833,236,0.47489,133,-0.4341,224,0.39118,130,-0.4658,155,-0.1877,257,0.61000,199,0.22148,97,-0.9028,117,-0.6290
ENSG00000162585,FAAP20,15,-0.8922,16,-0.8306,52,1.06565,10,-1.4265,50,0.99536,15,-0.9289,31,0.22673,33,0.30873,21,-0.4531,38,0.54219,23,-0.2424
ENSG00000157933,SKI,33,-0.0570,41,0.27649,30,-0.1909,24,-0.5258,47,0.49717,11,-1.6964,25,-0.4668,35,0.03484,18,-1.0700,78,1.33601,52,0.66178
ENSG00000157916,RER1,40,-0.2977,27,-0.8719,50,0.04783,11,-2.2481,33,-0.6016,57,0.24601,35,-0.4944,97,1.12736,65,0.51253,56,0.21704,47,-0.0362
ENSG00000157911,PEX10,16,-0.3415,6,-1.6300,13,-0.6290,11,-0.7982,19,-0.0811,13,-0.6410,14,-0.4516,33,0.82223,22,0.19959,31,0.75034,34,0.89813
ENSG00000149527,PLCH2,7,-0.9276,3,-2.2810,18,0.45639,4,-1.6563,13,-0.0396,3,-2.0679,11,-0.2703,40,1.82868,9,-0.5440,25,1.02710,16,0.34467
ENSG00000157881,PANK4,22,0.57414,5,-1.5507,4,-2.0545,4,-2.0433,39,1.54981,9,-0.7913,28,0.93445,32,1.18961,15,-0.0516,7,-1.0738,4,-1.8461
ENSG00000157870,PRXL2B,40,-0.2128,30,-0.6739,54,0.24691,25,-0.9035,75,0.77842,42,-0.1555,31,-0.5955,87,1.01858,64,0.57049,27,-0.7998,15,-1.6378
ENSG00000177133,PRDM16-DT,15,-0.3767,10,-1.0129,15,-0.4148,30,0.69879,25,0.36976,1,-3.4520,26,0.42859,24,0.31465,4,-2.2985,71,2.23342,8,-1.2609
ENSG00000158109,TPRG1L,109,-0.8110,153,-0.2892,207,0.17593,242,0.43220,172,-0.1101,259,0.54154,167,-0.1532,266,0.58476,244,0.49502,102,-0.9117,51,-1.9481
ENSG00000116213,WRAP73,17,0.53382,8,-0.4920,6,-0.9427,4,-1.4327,12,0.09149,10,-0.1924,2,-2.5337,13,0.10490,24,1.35548,11,-0.1128,9,-0.4436
ENSG00000130764,LRRC47,24,-1.6745,52,-0.5307,66,-0.1765,70,-0.0775,118,0.75514,90,0.30160,88,0.27145,95,0.39884,98,0.49212,44,-0.7820,44,-0.7919
ENSG00000116198,CEP104,63,0.81392,61,0.74552,27,-0.5040,32,-0.2859,23,-0.7666,29,-0.4303,27,-0.5418,9,-2.0499,20,-1.0238,33,-0.2260,113,1.83158
ENSG00000198912,C1orf174,14,0.01980,11,-0.4153,15,0.08583,5,-1.3526,12,-0.2999,22,0.68553,9,-0.5816,23,0.78444,16,0.27250,7,-0.9731,17,0.31530
ENSG00000196581,AJAP1,71,0.56983,74,0.63116,49,-0.0220,26,-0.9512,50,0.01000,40,-0.3340,68,0.49893,56,0.18109,37,-0.4986,37,-0.4657,51,0.05749
ENSG00000069424,KCNAB2,151,-0.3540,157,-0.2939,303,0.75697,132,-0.5565,202,0.09800,167,-0.2001,200,0.07984,327,0.88403,239,0.41110,110,-0.8345,48,-2.0645
ENSG00000116254,CHD5,378,0.78854,406,0.90952,224,-0.0502,282,0.31162,185,-0.3472,226,-0.0361,300,0.41110,184,-0.3602,156,-0.6576,152,-0.6501,130,-0.8844
ENSG00000116251,RPL22,305,-0.8389,395,-0.4442,990,1.03312,555,0.08571,481,-0.1378,372,-0.5339,571,0.13191,494,-0.0967,366,-0.6068,849,0.77480,562,0.10620
ENSG00000116237,ICMT,20,-1.0718,24,-0.8113,55,0.45094,26,-0.6954,72,0.89465,34,-0.2989,51,0.31398,68,0.78823,51,0.37590,27,-0.6492,17,-1.3624
ENSG00000097021,ACOT7,99,-1.1655,147,-0.5659,160,-0.4369,152,-0.5138,220,0.06399,357,0.84657,172,-0.3208,287,0.48541,422,1.31541,58,-1.9418,43,-2.4006
ENSG00000215788,TNFRSF25,84,2.30551,20,-0.1563,26,0.26437,11,-1.0378,25,0.18056,9,-1.3701,4,-2.2978,45,1.13335,16,-0.5008,2,-3.4339,8,-1.5703
ENSG00000171680,PLEKHG5,20,-0.1741,11,-1.0344,35,0.68195,15,-0.6888,11,-1.1373,25,0.15309,18,-0.3618,54,1.40872,31,0.52367,15,-0.6613,9,-1.4316
ENSG00000162408,NOL9,25,-0.2918,35,0.21735,23,-0.4359,32,0.05568,40,0.41111,12,-1.4096,30,-0.0250,35,0.20148,30,-0.0582,46,0.64565,30,-0.0110
ENSG00000162413,KLHL21,24,-0.1801,24,-0.1531,26,-0.0379,12,-1.1840,22,-0.2917,25,-0.1039,24,-0.1918,34,0.35273,42,0.80909,22,-0.2870,25,-0.1312
ENSG00000116273,PHF13,19,0.43068,19,0.39460,10,-0.5951,7,-1.0435,24,0.76141,12,-0.2716,19,0.39571,8,-0.8491,14,-0.0593,16,0.14348,13,-0.1780
ENSG00000041988,THAP3,19,0.34188,14,-0.0867,14,-0.1226,3,-2.2236,7,-1.0861,21,0.53237,17,0.19505,19,0.39664,14,-0.1244,25,0.79102,13,-0.2217
ENSG00000007923,DNAJC11,37,0.09657,28,-0.3347,36,0.05241,52,0.63660,61,0.89269,35,0.01492,26,-0.4816,32,-0.1596,36,0.02637,15,-1.2952,27,-0.4031
ENSG00000171735,CAMTA1,636,0.50834,680,0.61853,312,-0.6071,603,0.42184,581,0.36369,570,0.33320,737,0.75180,298,-0.6793,306,-0.6892,266,-0.8505,254,-0.9204
ENSG00000049245,VAMP3,26,0.06131,14,-0.8871,16,-0.6901,13,-0.9809,29,0.19557,1,-4.2235,12,-1.1631,20,-0.3397,14,-0.9686,49,1.05731,97,2.31966
ENSG00000049246,PER3,52,0.23208,41,-0.1322,19,-1.2867,39,-0.2122,73,0.78677,24,-0.9278,48,0.09008,39,-0.2291,31,-0.5930,56,0.34234,85,1.02869
ENSG00000116288,PARK7,125,-1.2325,146,-1.0019,361,0.40671,160,-0.8555,293,0.07451,319,0.20895,326,0.24027,434,0.70435,410,0.69092,260,-0.1145,114,-1.3700
ENSG00000116285,ERRFI1,26,-0.1588,26,-0.1990,24,-0.3103,29,-0.0344,32,0.13256,39,0.45350,28,-0.0862,26,-0.1585,43,0.70048,16,-0.8732,18,-0.6886
ENSG00000162426,SLC45A1,28,0.05689,19,-0.5069,18,-0.5905,24,-0.1714,34,0.37494,30,0.16063,32,0.27893,56,1.19361,36,0.52256,0,-5.1179,8,-1.7190
ENSG00000142599,RERE,161,0.34189,136,0.07428,132,0.01855,127,-0.0340,152,0.24081,103,-0.3624,176,0.48579,105,-0.3339,82,-0.7632,150,0.22416,154,0.27030
ENSG00000074800,ENO1,208,-0.9694,263,-0.6130,354,-0.1545,190,-1.1025,352,-0.1625,402,0.04584,280,-0.5150,509,0.42262,540,0.58088,854,1.29220,195,-1.0628
ENSG00000171612,SLC25A33,8,-1.9305,18,-0.7162,31,0.12923,26,-0.1457,29,0.04882,26,-0.1464,39,0.47662,38,0.46051,18,-0.7789,79,1.69686,14,-1.1050
ENSG00000171603,CLSTN1,566,-0.2754,861,0.38653,499,-0.4704,650,-0.0592,690,0.03455,935,0.52137,576,-0.2473,968,0.57719,941,0.59675,230,-1.6348,245,-1.5423
ENSG00000178585,CTNNBIP1,34,-0.0223,20,-0.8366,43,0.33593,41,0.24472,63,0.95969,27,-0.4018,22,-0.6906,23,-0.6190,36,0.04065,50,0.58199,23,-0.6433
ENSG00000162441,LZIC,55,-0.2393,56,-0.1961,65,0.01876,102,0.74513,50,-0.3693,35,-0.9173,79,0.34565,40,-0.7033,41,-0.7309,85,0.44850,117,0.98391
ENSG00000130939,UBE4B,56,0.22394,43,-0.1993,41,-0.2486,56,0.21007,43,-0.1872,44,-0.1645,31,-0.6627,18,-1.4990,67,0.58292,46,-0.0762,70,0.58609
ENSG00000054523,KIF1B,589,0.33556,665,0.53227,366,-0.4125,840,0.92026,241,-1.0471,482,0.01853,425,-0.1780,218,-1.1952,332,-0.6064,529,0.16482,701,0.61950
ENSG00000142657,PGD,44,-0.3150,36,-0.6409,40,-0.4690,48,-0.1862,74,0.49226,71,0.44103,52,-0.0733,33,-0.7600,93,0.99481,39,-0.5043,27,-1.0421
ENSG00000241563,CORT,3,-3.9338,281,3.03690,25,-1.2039,3,-4.1345,60,0.15174,13,-2.0771,19,-1.6127,40,-0.4817,69,0.40684,41,-0.4282,31,-0.8504
ENSG00000160049,DFFA,65,0.22953,70,0.34468,47,-0.2790,50,-0.1853,35,-0.7258,25,-1.2240,64,0.19669,38,-0.5949,32,-0.9197,81,0.57413,137,1.46792
ENSG00000142655,PEX14,13,-0.6914,15,-0.5383,20,-0.1132,27,0.35229,41,1.03269,25,0.23526,18,-0.2690,29,0.46004,26,0.31448,10,-1.1580,8,-1.4056
ENSG00000120948,TARDBP,108,0.34632,71,-0.3040,71,-0.3166,96,0.15299,83,-0.0678,80,-0.1225,102,0.24788,93,0.10798,76,-0.2172,74,-0.2513,111,0.39383
ENSG00000271895,AL109811.2,22,0.56958,11,-0.4591,10,-0.5599,1,-3.4672,20,0.39664,10,-0.5830,11,-0.5359,20,0.45533,21,0.57627,21,0.48244,14,-0.1335
ENSG00000116649,SRM,28,-0.8584,28,-0.8403,81,0.80571,13,-1.9272,66,0.45791,39,-0.3423,47,-0.0692,56,0.20232,73,0.72157,52,0.08835,32,-0.6439
ENSG00000171824,EXOSC10,62,0.91529,17,-1.0928,32,-0.1197,14,-1.3361,31,-0.1902,29,-0.2723,29,-0.2642,37,0.09646,41,0.28416,40,0.21609,45,0.39376
ENSG00000198793,MTOR,37,-0.1145,38,-0.0743,36,-0.1591,18,-1.1996,45,0.18934,68,0.85761,38,-0.0970,50,0.34516,47,0.26840,32,-0.3603,25,-0.7225
ENSG00000116661,FBXO2,53,-1.6238,57,-1.5281,216,0.53008,82,-0.9776,124,-0.3510,137,-0.1919,131,-0.2652,264,0.85858,194,0.39557,356,1.37238,55,-1.5692
ENSG00000132879,FBXO44,97,0.26482,90,0.13697,59,-0.5141,51,-0.7296,82,-0.0043,68,-0.3034,46,-0.8957,183,1.32100,110,0.51551,52,-0.7140,40,-1.1031
ENSG00000177000,MTHFR,28,0.50942,9,-1.1745,22,0.12716,28,0.51440,23,0.14467,11,-0.9932,25,0.28064,34,0.81904,11,-0.9704,23,0.17995,20,-0.0099
ENSG00000011021,CLCN6,68,-0.0163,66,-0.0442,68,0.00157,57,-0.2717,118,0.87575,60,-0.1956,57,-0.2884,87,0.37325,69,0.01991,61,-0.1688,40,-0.8338
ENSG00000116685,KIAA2013,60,1.16308,34,0.21773,15,-1.0210,6,-2.3148,20,-0.5686,17,-0.8046,19,-0.6930,36,0.32001,38,0.45704,28,-0.0938,42,0.55936
ENSG00000083444,PLOD1,11,-0.5611,19,0.26152,17,0.14864,10,-0.6382,14,-0.2134,18,0.21795,12,-0.4707,25,0.71481,17,0.07448,9,-0.8671,22,0.52666
ENSG00000116688,MFN2,127,-0.0551,115,-0.2175,105,-0.3472,128,-0.0492,205,0.70743,148,0.18905,110,-0.2857,153,0.23755,162,0.36407,68,-1.0151,99,-0.4489
ENSG00000048707,VPS13D,89,0.10713,107,0.40373,57,-0.5877,87,0.08304,112,0.47900,109,0.43670,49,-0.8132,48,-0.8383,106,0.44076,52,-0.7184,73,-0.2044
ENSG00000162496,DHRS3,7,-1.4434,5,-1.7575,8,-1.2321,7,-1.4234,8,-1.2099,4,-2.3149,5,-1.9237,18,0.01044,19,0.07806,104,3.24998,15,-0.2656
ENSG00000116731,PRDM2,412,0.78935,517,1.17489,197,-0.3885,318,0.36335,183,-0.5030,324,0.39314,336,0.45476,155,-0.7518,103,-1.4560,142,-0.8918,245,-0.0507
ENSG00000189337,KAZN,46,-0.5420,60,-0.1240,48,-0.4844,87,0.45905,44,-0.6230,71,0.12387,83,0.36786,44,-0.6020,87,0.50815,28,-1.2984,101,0.68697
ENSG00000142634,EFHD2,116,0.33363,142,0.66589,63,-0.6072,230,1.49921,147,0.72188,87,-0.1130,23,-2.1091,22,-2.1884,97,0.05854,24,-2.0291,76,-0.3147
ENSG00000116138,DNAJC16,43,0.11875,64,0.77619,14,-1.5239,39,-0.0287,72,0.96572,42,0.09753,35,-0.2012,41,0.06002,38,-0.0875,20,-1.0072,29,-0.4590
ENSG00000197312,DDI2,66,0.78253,81,1.12737,24,-0.8204,46,0.21354,57,0.55023,36,-0.1829,39,-0.0716,16,-1.4057,40,-0.0401,13,-1.6504,29,-0.5266
ENSG00000116786,PLEKHM2,69,-0.5986,61,-0.8014,181,0.92338,92,-0.1616,132,0.40343,71,-0.5717,204,1.12926,111,0.12337,68,-0.6859,102,-0.0117,70,-0.5800
ENSG00000065526,SPEN,307,0.87180,326,0.97555,84,-1.1632,215,0.28878,57,-1.7315,159,-0.1895,219,0.32047,44,-2.0917,40,-2.3726,230,0.40139,428,1.45099
ENSG00000116809,ZBTB17,23,0.37704,16,-0.1586,17,-0.1255,12,-0.6479,16,-0.1371,17,-0.1204,9,-0.9685,25,0.52211,19,0.09692,32,0.92138,11,-0.7629
ENSG00000037637,FBXO42,45,1.13452,17,-0.3760,6,-1.8371,24,0.14036,21,-0.0986,26,0.25546,10,-1.1420,27,0.28469,30,0.51012,16,-0.5354,15,-0.6119
ENSG00000055070,SZRD1,16,-0.5781,15,-0.6655,17,-0.4594,15,-0.6628,17,-0.4945,16,-0.6148,31,0.42525,36,0.69131,14,-0.8759,59,1.52412,32,0.48813
ENSG00000219481,NBPF1,21,0.71799,4,-1.6525,7,-0.9378,9,-0.5949,8,-0.7247,10,-0.3601,17,0.45169,14,0.11562,9,-0.6134,23,0.89735,26,1.07550
ENSG00000159363,ATP13A2,67,-0.5251,59,-0.7229,128,0.48238,57,-0.7727,157,0.81647,124,0.42787,59,-0.7218,101,0.10040,164,1.02526,27,-1.8740,26,-1.9087
ENSG00000117118,SDHB,16,-2.0310,27,-1.2910,61,-0.0694,26,-1.3298,53,-0.2699,90,0.55398,98,0.69805,108,0.85247,108,0.98137,36,-0.8624,30,-1.1369
ENSG00000117115,PADI2,44,-0.5024,25,-1.3514,29,-1.1076,70,0.20549,38,-0.7271,6,-3.2971,18,-1.8428,33,-0.9211,12,-2.4874,182,1.84779,264,2.61181
ENSG00000179051,RCC2,21,-0.3275,19,-0.4467,40,0.68552,20,-0.4434,17,-0.6252,27,0.07708,20,-0.4024,24,-0.1371,42,0.87601,25,-0.0574,15,-0.8826
ENSG00000074964,ARHGEF10L,13,-0.1341,4,-1.8336,22,0.60747,3,-2.4117,16,0.13009,16,0.14755,10,-0.5044,21,0.59789,15,0.00353,35,1.42405,6,-1.3726
ENSG00000117154,IGSF21,48,-0.3790,68,0.17932,61,0.01557,74,0.29821,90,0.63324,45,-0.4684,26,-1.2842,106,0.89320,78,0.44210,29,-1.1476,27,-1.2072
ENSG00000159423,ALDH4A1,15,0.04118,2,-2.6561,19,0.44031,14,-0.0547,19,0.45772,1,-3.4473,17,0.21217,22,0.64158,10,-0.5957,31,1.25509,13,-0.1435
ENSG00000127481,UBR4,73,1.08789,59,0.72544,16,-1.2579,18,-1.0774,18,-1.1072,44,0.24902,59,0.73246,17,-1.2239,18,-1.1673,43,0.19616,66,0.91920
ENSG00000127463,EMC1,28,-0.2550,50,0.66716,28,-0.2623,35,0.09458,26,-0.3650,33,0.03176,24,-0.4822,47,0.56440,46,0.58643,13,-1.3955,19,-0.8124
ENSG00000053372,MRTO4,49,0.23674,43,0.03262,53,0.34728,43,0.01321,63,0.63430,30,-0.5147,49,0.23400,64,0.65693,37,-0.2020,16,-1.4230,22,-0.9775
ENSG00000053371,AKR7A2,15,-0.6792,12,-1.0044,15,-0.6135,17,-0.4340,34,0.58767,13,-0.9258,16,-0.5828,28,0.29994,26,0.19380,51,1.27455,26,0.18396
ENSG00000077549,CAPZB,109,-0.6114,178,0.14336,134,-0.3012,101,-0.7263,160,-0.0286,188,0.22652,195,0.28553,189,0.23341,206,0.41884,154,-0.0846,132,-0.3263
ENSG00000173436,MICOS10,155,-0.8581,136,-1.0488,575,1.24427,264,-0.0378,260,-0.0595,216,-0.3469,360,0.45913,328,0.30864,320,0.29657,170,-0.7111,138,-1.0323
ENSG00000158747,NBL1,172,0.29007,128,-0.1738,158,0.15246,103,-0.5121,198,0.52301,91,-0.7036,79,-0.9032,211,0.62674,165,0.24714,173,0.29821,74,-1.0005
ENSG00000169914,OTUD3,30,0.46165,42,0.99165,24,0.12025,9,-1.4286,42,1.00014,17,-0.3864,15,-0.6007,15,-0.6277,25,0.20888,11,-1.1236,14,-0.6647
ENSG00000162545,CAMK2N1,1134,-0.6397,1254,-0.4856,2996,0.90748,1448,-0.2634,1407,-0.3078,726,-1.3115,3128,0.98070,3687,1.26459,756,-1.3328,2575,0.65453,698,-1.3714
ENSG00000090432,MUL1,15,0.18726,10,-0.3895,20,0.59389,4,-1.7182,9,-0.6690,8,-0.7004,10,-0.5127,12,-0.1493,25,1.09160,2,-2.6676,23,0.81754
ENSG00000183114,FAM43B,38,1.23568,39,1.26858,15,-0.2231,15,-0.2245,42,1.41083,17,-0.0611,9,-1.0063,2,-2.8884,15,-0.2412,1,-3.3381,3,-2.5119
ENSG00000158828,PINK1,257,-0.8116,294,-0.6080,429,-0.0217,546,0.36064,463,0.09691,526,0.29924,455,0.06773,531,0.31576,640,0.69575,256,-0.8194,189,-1.2743
ENSG00000244038,DDOST,22,-0.2043,26,0.03406,13,-0.9472,14,-0.8562,27,0.08702,33,0.44602,28,0.17928,40,0.74072,33,0.47380,20,-0.3776,13,-1.0295
ENSG00000117245,KIF17,16,-0.8235,26,-0.0736,27,-0.0343,55,1.11413,61,1.29816,35,0.38859,7,-1.9233,9,-1.5818,43,0.79596,6,-2.3022,2,-3.5181
ENSG00000189410,SH2D5,26,-0.6806,28,-0.5743,31,-0.4381,39,-0.0964,27,-0.6716,51,0.34353,60,0.59537,78,1.03561,62,0.72709,24,-0.8189,7,-2.6219
ENSG00000127483,HP1BP3,376,0.47188,323,0.22732,183,-0.6601,322,0.22149,176,-0.7183,310,0.16250,355,0.37772,163,-0.8348,175,-0.7768,317,0.19724,484,0.88605
ENSG00000075151,EIF4G3,303,0.06775,477,0.80383,197,-0.5994,231,-0.3549,117,-1.3820,594,1.17570,463,0.75372,137,-1.1523,272,-0.1083,149,-1.0181,269,-0.1172
ENSG00000117298,ECE1,29,0.74431,5,-1.8677,10,-0.9119,8,-1.2124,14,-0.3573,9,-0.9980,19,0.07826,21,0.21081,10,-0.9081,57,1.94413,24,0.46739
ENSG00000076864,RAP1GAP,186,0.64716,163,0.43459,94,-0.4227,82,-0.6331,220,0.92423,93,-0.4400,76,-0.7579,125,0.00758,176,0.62853,30,-2.1076,68,-0.9296
ENSG00000090686,USP48,122,0.61867,128,0.68753,48,-0.8346,52,-0.7332,45,-0.9343,112,0.47485,67,-0.3447,65,-0.3910,64,-0.4301,88,0.08085,143,0.87925
ENSG00000070831,CDC42,148,-0.4844,162,-0.3498,162,-0.3447,186,-0.1311,275,0.48631,199,-0.0329,193,-0.0764,199,-0.0279,300,0.71000,130,-0.6894,178,-0.2014
ENSG00000184677,ZBTB40,15,0.20737,21,0.69091,7,-1.0391,15,0.15957,10,-0.5190,13,-0.0285,13,-0.0250,10,-0.4700,9,-0.6120,13,0.00077,26,1.04885
ENSG00000173372,C1QA,10,-0.5977,2,-2.9473,7,-1.1175,16,0.10007,12,-0.3418,0,-4.7755,1,-3.1917,41,1.60901,5,-1.7972,60,2.36626,25,0.74146
ENSG00000173369,C1QB,6,-1.3384,4,-1.9125,22,0.48171,7,-1.2825,7,-1.1270,0,-5.1152,19,0.22890,23,0.56864,6,-1.4393,61,2.30762,30,1.02728
ENSG00000133216,EPHB2,20,0.54668,22,0.74969,9,-0.6869,4,-1.6579,8,-0.8687,12,-0.2021,16,0.21301,12,-0.2739,15,0.17653,7,-0.9295,26,0.98948
ENSG00000004487,KDM1A,87,0.61663,87,0.62190,32,-0.9271,33,-0.8912,35,-0.8042,83,0.55107,52,-0.1806,54,-0.1356,76,0.45001,54,-0.1404,38,-0.6686
ENSG00000169641,LUZP1,173,0.02057,311,0.97202,158,-0.1261,132,-0.3980,117,-0.5891,348,1.16722,262,0.68906,91,-0.9686,149,-0.2299,92,-0.9457,68,-1.4008
ENSG00000125944,HNRNPR,158,0.15482,214,0.65082,91,-0.6969,101,-0.5304,145,0.02358,135,-0.0891,180,0.36288,106,-0.4605,111,-0.4202,158,0.15736,204,0.56897
ENSG00000142676,RPL11,202,-1.3432,192,-1.4181,817,0.83287,430,-0.1971,596,0.31840,320,-0.6518,590,0.29994,637,0.42330,399,-0.3402,742,0.67432,531,0.13432
ENSG00000011007,ELOA,39,0.26737,44,0.46494,20,-0.7364,28,-0.2205,35,0.11920,35,0.11272,59,0.93671,10,-1.7261,17,-1.0169,39,0.26757,48,0.62349
ENSG00000057757,PITHD1,80,-1.0544,101,-0.6957,161,0.01721,143,-0.1623,342,1.26205,186,0.24910,110,-0.5617,160,0.00789,224,0.61731,81,-1.0215,94,-0.7999
