Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000189339,SLC35E2B,17,-0.5413,25,0.14599,29,0.27601,25,0.03837,20,-0.2762
ENSG00000215790,SLC35E2A,15,-1.2623,31,-0.3969,45,0.40333,62,0.93749,42,0.29019
ENSG00000008130,NADK,31,0.57769,21,-0.0345,16,-0.4480,34,0.73144,7,-1.7276
ENSG00000078369,GNB1,360,-0.7681,587,-0.0047,545,-0.1210,722,0.33247,730,0.35068
ENSG00000187730,GABRD,17,-3.5293,241,1.36351,124,-0.6083,148,-0.3323,86,-1.1648
ENSG00000067606,PRKCZ,97,-0.9514,215,0.76453,100,-0.9116,168,-0.1033,140,-0.3934
ENSG00000162585,FAAP20,36,0.06221,27,-0.7141,35,0.02090,65,1.05477,45,0.42210
ENSG00000157933,SKI,41,0.09574,36,-0.2853,58,0.65767,41,0.08948,34,-0.2167
ENSG00000157916,RER1,73,0.31446,62,0.13575,63,0.07627,53,-0.1975,38,-0.7234
ENSG00000157911,PEX10,30,0.46440,17,-0.8405,28,0.36133,51,1.37724,14,-0.7403
ENSG00000157881,PANK4,9,-0.7990,16,0.43188,13,-0.1888,15,0.06576,11,-0.3989
ENSG00000157870,PRXL2B,40,-0.5950,62,0.18808,40,-0.5975,78,0.46900,58,-0.0171
ENSG00000177133,PRDM16-DT,17,-0.4698,16,-1.1085,26,0.14367,75,2.05626,21,-0.1662
ENSG00000158109,TPRG1L,58,-1.6992,210,0.72673,118,-0.6270,200,0.20070,130,-0.4812
ENSG00000130764,LRRC47,31,-1.3786,90,0.64828,50,-0.6864,77,-0.0063,72,-0.1115
ENSG00000116198,CEP104,53,0.99395,24,-0.6314,47,0.79519,12,-1.3373,36,0.33726
ENSG00000198912,C1orf174,19,0.36362,15,-0.1067,16,0.07619,16,0.06601,13,-0.2816
ENSG00000196581,AJAP1,21,-1.3100,57,0.59973,41,-0.2682,34,-0.5782,54,0.13725
ENSG00000069424,KCNAB2,75,-1.5043,211,0.23032,148,-0.4667,252,0.38535,246,0.34296
ENSG00000116254,CHD5,99,-1.0313,205,0.21066,184,-0.0782,168,-0.2250,255,0.45182
ENSG00000116251,RPL22,956,0.82657,452,-0.7755,442,-0.4305,702,0.30880,994,0.89476
ENSG00000116237,ICMT,26,-0.5583,40,0.33930,31,-0.2745,46,0.35382,24,-0.6420
ENSG00000097021,ACOT7,60,-1.9623,285,1.29327,110,-1.0531,175,-0.3388,118,-0.9457
ENSG00000215788,TNFRSF25,10,-1.5787,39,1.39584,22,-0.4751,18,-0.7271,8,-1.8772
ENSG00000171680,PLEKHG5,6,-2.3611,34,0.39873,30,-0.0405,47,0.69419,20,-0.6813
ENSG00000162408,NOL9,36,0.06587,31,-0.2898,35,0.04681,44,0.41603,39,0.19430
ENSG00000162413,KLHL21,28,-0.2812,29,-0.4659,36,0.10837,63,1.01296,36,0.08584
ENSG00000041988,THAP3,7,-1.0276,18,0.71658,14,-0.1357,8,-0.8888,13,-0.1950
ENSG00000007923,DNAJC11,20,-0.8718,37,0.20035,44,0.34494,37,0.06685,29,-0.3144
ENSG00000171735,CAMTA1,282,-0.5557,429,0.25064,438,0.14167,234,-0.8447,487,0.31429
ENSG00000049245,VAMP3,91,1.82125,19,-1.3806,31,-0.0648,47,0.63150,35,0.14860
ENSG00000049246,PER3,42,0.17736,32,-0.5757,56,0.62351,53,0.53509,39,0.03088
ENSG00000116288,PARK7,232,-0.5852,347,0.10952,298,-0.1940,460,0.50890,296,-0.2049
ENSG00000116285,ERRFI1,18,-0.7389,34,0.64350,17,-0.8294,28,-0.0171,23,-0.3750
ENSG00000162426,SLC45A1,9,-1.5556,37,1.50961,6,-2.0962,22,-0.3226,12,-1.1921
ENSG00000142599,RERE,149,0.22203,123,-0.1741,207,0.77620,90,-0.5690,110,-0.2580
ENSG00000074800,ENO1,406,-0.3615,448,-0.4321,799,0.73966,846,0.83788,366,-0.5234
ENSG00000171612,SLC25A33,24,-0.9316,35,-0.7179,72,0.82474,88,1.17378,45,0.04921
ENSG00000171603,CLSTN1,302,-1.2748,861,1.01036,553,-0.3456,525,-0.4264,330,-1.1405
ENSG00000178585,CTNNBIP1,31,-0.1993,32,-0.3615,42,0.28517,37,0.08256,53,0.65156
ENSG00000162441,LZIC,94,0.93332,37,-1.0775,86,0.77839,71,0.47157,62,0.23884
ENSG00000130939,UBE4B,36,-0.3053,48,0.30344,44,0.00457,19,-1.2746,55,0.34997
ENSG00000054523,KIF1B,529,0.43248,394,-0.1092,386,-0.0783,285,-0.5557,497,0.32811
ENSG00000142657,PGD,52,-0.1460,61,0.27307,53,-0.1083,52,-0.1511,45,-0.3556
ENSG00000241563,CORT,12,-2.5359,76,0.55808,84,0.39484,67,0.01730,42,-0.6926
ENSG00000160049,DFFA,75,0.89584,33,-0.8876,62,0.56525,59,0.48203,46,0.08449
ENSG00000142655,PEX14,20,-0.1167,23,0.35102,12,-0.8056,21,-0.0092,19,-0.1482
ENSG00000120948,TARDBP,90,-0.0319,100,0.35117,89,-0.0353,83,-0.1494,51,-0.8960
ENSG00000271895,AL109811.2,17,-0.0505,21,0.57163,16,-0.1478,15,-0.2379,6,-1.5930
ENSG00000116649,SRM,34,-1.0287,68,0.15144,66,0.01940,94,0.58211,52,-0.3612
ENSG00000171824,EXOSC10,33,0.12911,32,0.18606,30,-0.0110,36,0.29050,12,-1.3350
ENSG00000198793,MTOR,23,-0.9527,48,0.51696,45,0.08692,32,-0.4301,35,-0.3188
ENSG00000116661,FBXO2,162,-0.1537,150,-0.5484,256,0.59701,309,0.91757,152,-0.2490
ENSG00000132879,FBXO44,38,-1.3373,108,0.73094,62,-0.5894,97,0.10162,63,-0.5805
ENSG00000116670,MAD2L2,21,0.44060,17,0.26519,10,-0.6909,19,0.25520,7,-1.2618
ENSG00000177000,MTHFR,22,0.38622,16,-0.2485,23,0.47755,20,0.21577,11,-0.6321
ENSG00000011021,CLCN6,61,-0.2795,79,0.33369,38,-1.0127,69,-0.0932,84,0.23431
ENSG00000116685,KIAA2013,40,0.52313,26,-0.3234,23,-0.3422,37,0.37821,32,0.15852
ENSG00000083444,PLOD1,27,0.71711,15,-0.4025,19,0.13511,21,0.30833,14,-0.2713
ENSG00000116688,MFN2,107,-0.4054,152,0.34979,164,0.27273,106,-0.4268,99,-0.5317
ENSG00000048707,VPS13D,41,-0.6815,66,0.11202,59,-0.1249,54,-0.2747,90,0.55268
ENSG00000162496,DHRS3,52,0.84964,17,-1.5119,86,1.79209,48,0.74324,16,-0.9662
ENSG00000116731,PRDM2,118,-0.6075,184,0.20804,173,-0.0083,75,-1.2960,271,0.72548
ENSG00000189337,KAZN,70,0.03780,67,-0.0429,74,0.14416,60,-0.1904,73,0.10424
ENSG00000142634,EFHD2,95,0.64849,72,0.48394,27,-1.3317,32,-1.0461,52,-0.3315
ENSG00000116138,DNAJC16,36,-0.1189,47,0.83176,20,-0.9828,23,-0.8054,26,-0.6373
ENSG00000197312,DDI2,32,-0.1600,41,0.56313,25,-0.5648,21,-0.8212,32,-0.1426
ENSG00000116786,PLEKHM2,59,-0.7174,91,-0.0668,75,-0.3418,110,0.27270,139,0.65525
ENSG00000065526,SPEN,164,0.91997,80,-0.5073,118,0.36620,40,-1.3278,137,0.61205
ENSG00000116809,ZBTB17,13,-0.1560,14,-0.2729,21,0.56207,27,0.95279,5,-1.5102
ENSG00000037637,FBXO42,7,-1.6414,24,0.19093,47,1.19803,16,-0.4972,13,-0.8464
ENSG00000055070,SZRD1,47,0.89542,19,-1.0623,53,1.10074,30,0.14274,30,0.13867
ENSG00000159363,ATP13A2,36,-1.6795,134,0.97926,72,-0.6137,96,-0.1746,66,-0.7526
ENSG00000117118,SDHB,42,-1.0072,92,0.54229,45,-0.9142,110,0.51368,55,-0.5828
ENSG00000117115,PADI2,243,2.35283,20,-2.7133,156,1.44197,100,0.66749,47,-0.5642
ENSG00000179051,RCC2,19,-0.2382,25,0.41621,28,0.40938,20,-0.1883,6,-1.8638
ENSG00000074964,ARHGEF10L,6,-1.5986,17,-0.1490,39,1.31260,17,-0.1120,14,-0.3512
ENSG00000117154,IGSF21,36,-1.0897,81,0.41224,49,-0.6202,73,-0.0008,86,0.25109
ENSG00000159423,ALDH4A1,34,0.50469,15,-1.4490,26,0.06710,61,1.52881,41,0.80103
ENSG00000127481,UBR4,22,-0.1578,23,-0.1138,42,0.91293,13,-0.8855,24,-0.0198
ENSG00000127463,EMC1,30,-0.5873,48,0.39559,33,-0.4539,52,0.28732,32,-0.4957
ENSG00000053372,MRTO4,28,-0.6807,48,0.43507,39,-0.1635,48,0.16769,28,-0.6951
ENSG00000053371,AKR7A2,50,0.34730,31,-0.7923,46,0.21207,93,1.42882,27,-0.6127
ENSG00000077549,CAPZB,94,-0.8554,177,0.32841,178,0.15382,176,0.13231,114,-0.5536
ENSG00000173436,MICOS10,276,-0.1741,310,0.02165,136,-1.2638,468,0.68771,341,0.16433
ENSG00000158747,NBL1,83,-0.9143,164,0.37074,144,-0.0581,148,-0.0164,133,-0.1837
ENSG00000169914,OTUD3,14,-0.7618,28,0.98282,14,-0.7909,8,-1.6216,22,-0.0728
ENSG00000162545,CAMK2N1,952,-1.1559,1920,-0.1523,1836,-0.1402,3131,0.73579,2614,0.43208
ENSG00000090432,MUL1,11,-0.8439,19,0.05915,14,-0.4175,24,0.38759,24,0.40433
ENSG00000158828,PINK1,320,-0.6381,526,0.35792,407,-0.2626,408,-0.2554,507,0.08817
ENSG00000244038,DDOST,18,-0.7189,31,0.39768,26,-0.1210,35,0.36800,15,-0.9420
ENSG00000117245,KIF17,8,-1.4229,28,1.73731,4,-2.3791,13,-0.5837,7,-1.5355
ENSG00000189410,SH2D5,6,-3.2082,64,0.95817,36,-0.5767,41,-0.3773,49,-0.0741
ENSG00000127483,HP1BP3,254,0.03532,242,-0.0933,303,0.32100,150,-0.7834,325,0.43850
ENSG00000075151,EIF4G3,175,-0.2406,213,0.16336,221,0.12811,69,-1.6528,295,0.60760
ENSG00000076864,RAP1GAP,73,-0.8487,158,1.01082,65,-1.0279,81,-0.6897,94,-0.4678
ENSG00000090686,USP48,71,0.11971,68,0.13761,59,-0.1763,64,-0.0349,54,-0.3099
ENSG00000070831,CDC42,230,0.06244,236,0.24664,211,-0.0785,184,-0.2901,171,-0.4076
ENSG00000173369,C1QB,20,0.05973,10,-1.6847,39,1.12912,54,1.74207,22,0.17690
ENSG00000004487,KDM1A,28,-1.0295,68,0.90660,48,-0.2085,40,-0.5188,28,-1.0471
ENSG00000169641,LUZP1,55,-1.2339,142,0.61826,106,-0.2222,49,-1.3988,159,0.43111
ENSG00000125944,HNRNPR,172,0.41267,133,0.00116,141,0.08972,117,-0.2024,103,-0.4102
ENSG00000249087,ZNF436-AS1,7,-1.2235,18,0.38977,21,0.38968,22,0.44184,5,-1.6756
ENSG00000117318,ID3,100,2.65931,2,-4.7268,103,2.73952,10,-1.2269,15,-0.7325
ENSG00000142676,RPL11,1065,1.00444,439,-0.8697,529,-0.1595,719,0.33782,896,0.70444
ENSG00000011007,ELOA,35,0.34097,23,-0.6302,37,0.40727,29,-0.0006,45,0.73524
ENSG00000057757,PITHD1,103,-0.8765,219,0.84750,93,-1.0300,190,0.08527,101,-0.8992
ENSG00000011009,LYPLA2,9,-1.3041,27,0.73440,21,-0.1312,22,-0.0554,12,-0.9518
ENSG00000117308,GALE,0,-5.2390,18,1.60499,10,-0.4604,11,-0.3257,2,-2.3959
ENSG00000117305,HMGCL,11,-0.6373,16,-0.1674,19,0.11805,32,1.03393,12,-0.5949
ENSG00000189266,PNRC2,61,-0.0868,57,-0.3664,92,0.58381,54,-0.2586,90,0.54819
ENSG00000188529,SRSF10,74,0.21709,66,0.07535,77,0.27835,63,-0.0575,37,-0.8534
ENSG00000001461,NIPAL3,334,2.13952,82,-0.6803,71,-0.5602,40,-1.4242,79,-0.3925
ENSG00000133226,SRRM1,292,0.98653,130,-0.6890,309,1.08682,47,-1.8851,190,0.26031
ENSG00000169504,CLIC4,261,3.34956,16,-2.5781,64,0.44284,24,-1.0842,42,-0.2189
ENSG00000117614,SYF2,141,0.38770,98,-0.4142,134,0.29828,103,-0.1215,146,0.43570
ENSG00000117616,RSRP1,100,0.43640,79,0.09886,92,0.29200,69,-0.1739,33,-1.2867
ENSG00000183726,TMEM50A,77,-0.0784,85,0.17414,95,0.24740,71,-0.2091,58,-0.5185
ENSG00000204178,MACO1,44,-0.1427,48,0.01528,77,0.77870,22,-1.1772,48,-0.0147
ENSG00000117643,MAN1C1,31,-0.8297,60,0.57673,51,-0.0471,40,-0.4240,40,-0.4237
ENSG00000162430,SELENON,38,0.37107,22,-0.8977,59,1.11680,34,0.19144,37,0.31678
ENSG00000117640,MTFR1L,30,-1.4385,86,0.48261,80,0.07931,73,-0.0686,63,-0.3001
ENSG00000117632,STMN1,820,-0.6878,1595,1.02141,631,-1.0874,840,-0.6515,851,-0.6308
ENSG00000158008,EXTL1,19,-1.0465,43,0.43896,24,-0.7232,47,0.31775,36,-0.1003
ENSG00000175087,PDIK1L,18,0.08956,20,0.56662,21,0.33028,5,-1.8223,9,-1.0287
ENSG00000142684,ZNF593,31,-0.4989,46,0.35858,26,-0.7565,54,0.41100,33,-0.3779
ENSG00000142669,SH3BGRL3,190,0.51708,123,-0.3924,122,-0.2074,183,0.45393,152,0.14791
ENSG00000158062,UBXN11,5,-1.8778,15,-0.4252,19,0.20763,33,1.09942,24,0.51454
ENSG00000117682,DHDDS,15,-0.3059,20,0.33121,13,-0.4781,23,0.37636,11,-0.7009
ENSG00000198830,HMGN2,324,0.42640,221,-0.3925,270,0.12783,342,0.51786,227,-0.1458
ENSG00000117713,ARID1A,97,0.34452,74,-0.1853,90,0.22789,79,0.01179,72,-0.1387
ENSG00000204160,ZDHHC18,8,-0.8756,18,0.80556,13,-0.2381,10,-0.5864,9,-0.7000
ENSG00000142751,GPN2,9,-1.2184,26,0.90132,12,-0.8825,21,0.00331,12,-0.7890
ENSG00000090273,NUDC,173,-0.4122,241,0.26657,167,-0.4685,198,-0.2027,264,0.25610
ENSG00000253368,TRNP1,19,-1.7520,74,0.85708,43,-0.5509,69,0.20687,32,-0.9912
ENSG00000090020,SLC9A1,2,-3.1994,21,0.57210,18,-0.0396,24,0.41171,13,-0.5330
ENSG00000142784,WDTC1,37,0.26665,28,-0.3799,24,-0.4181,36,0.20824,50,0.73531
ENSG00000186501,TMEM222,38,-0.2771,43,-0.1921,53,0.24350,56,0.34021,49,0.13587
ENSG00000158195,WASF2,151,1.80670,27,-1.8136,129,1.50460,39,-0.4958,58,0.12784
ENSG00000126705,AHDC1,24,-0.9467,49,0.36636,66,0.62593,26,-0.8380,36,-0.3248
ENSG00000126709,IFI6,88,-0.3535,105,-0.1693,175,0.76015,106,-0.0673,104,-0.0952
ENSG00000009780,FAM76A,13,-0.8353,24,0.19476,38,0.80689,17,-0.5005,17,-0.4777
ENSG00000117758,STX12,114,0.01753,124,0.36854,91,-0.3390,109,-0.0465,69,-0.7605
ENSG00000117751,PPP1R8,49,0.50367,39,0.36148,27,-0.4128,30,-0.2690,15,-1.2686
ENSG00000117748,RPA2,36,-0.5629,59,0.59586,53,0.04639,39,-0.4028,28,-0.9141
ENSG00000126698,DNAJC8,197,-0.0157,200,0.02252,183,-0.1292,161,-0.3349,247,0.35008
ENSG00000130770,ATP5IF1,149,-1.5285,458,0.52343,308,-0.4239,514,0.39864,304,-0.4438
ENSG00000204138,PHACTR4,58,1.29430,17,-1.3406,66,1.53262,21,-0.4035,25,-0.1135
ENSG00000180098,TRNAU1AP,29,0.65228,16,-0.5424,36,0.98429,18,-0.1648,14,-0.4841
ENSG00000120656,TAF12,23,0.55236,17,0.06959,16,0.00433,14,-0.2745,10,-0.7012
ENSG00000198492,YTHDF2,51,-0.8169,95,0.31308,102,0.25122,63,-0.5050,88,0.00763
ENSG00000159023,EPB41,17,-0.0843,16,-0.3203,16,-0.1383,14,-0.3384,34,1.04918
ENSG00000116350,SRSF4,99,0.65640,57,-0.5215,106,0.76635,47,-0.5272,73,0.14563
ENSG00000116353,MECR,21,-0.4027,30,0.31627,26,-0.0899,25,-0.1673,24,-0.2283
ENSG00000060656,PTPRU,16,0.03909,18,0.60458,7,-1.1375,9,-0.8218,15,-0.0799
ENSG00000162511,LAPTM5,23,0.21700,9,-2.0365,46,1.39838,39,1.09073,41,1.16977
ENSG00000162512,SDC3,136,0.74227,64,-0.9069,114,0.44606,151,0.92320,81,-0.1101
ENSG00000134644,PUM1,140,-0.1789,161,0.09990,190,0.31292,137,-0.2134,133,-0.2511
ENSG00000121766,ZCCHC17,115,-0.2000,144,0.40875,119,-0.1477,106,-0.3283,96,-0.4827
ENSG00000121769,FABP3,9,-2.7983,71,0.98351,25,-1.2834,45,-0.3787,65,0.21228
ENSG00000162517,PEF1,26,-1.3785,73,0.52648,54,-0.2798,63,-0.0301,60,-0.1085
ENSG00000084636,COL16A1,38,0.56348,19,-0.9159,66,1.54500,29,0.16590,16,-0.7901
ENSG00000121753,ADGRB2,82,-1.2938,224,0.68315,123,-0.6820,203,0.10424,149,-0.3818
ENSG00000184007,PTP4A2,804,2.12523,183,-0.8874,180,-0.4922,105,-1.3124,270,0.14939
ENSG00000121774,KHDRBS1,164,-0.0787,170,-0.0293,219,0.39542,159,-0.1191,154,-0.1788
ENSG00000025800,KPNA6,81,0.07565,76,-0.0524,108,0.54147,51,-0.6342,76,-0.0336
ENSG00000084652,TXLNA,44,0.89399,25,-0.0293,24,-0.1080,20,-0.3531,15,-0.7926
ENSG00000160050,CCDC28B,13,-0.6596,18,-0.2601,12,-0.7866,39,1.15918,23,0.28062
ENSG00000084623,EIF3I,75,-0.6384,118,0.18334,135,0.29123,131,0.24193,76,-0.6188
ENSG00000175130,MARCKSL1,525,2.15097,88,-1.5922,146,-0.1327,213,0.47891,177,0.17204
ENSG00000160058,BSDC1,52,-0.0409,57,0.25712,60,0.18894,54,0.02953,25,-1.1934
ENSG00000160062,ZBTB8A,38,0.84615,20,-0.4333,32,0.53034,19,-0.2750,19,-0.2607
ENSG00000176261,ZBTB8OS,18,-1.2440,41,0.07445,34,-0.2508,56,0.53895,48,0.27450
ENSG00000162521,RBBP4,121,0.02848,117,-0.0624,179,0.66913,123,0.04205,66,-0.9096
ENSG00000162522,KIAA1522,6,-1.7964,19,-0.2045,22,0.11615,24,0.25230,37,0.97343
ENSG00000134684,YARS,54,-1.1321,145,1.16474,66,-0.8261,86,-0.4215,51,-1.2248
ENSG00000116497,S100PBP,21,0.38310,13,-0.7430,41,1.57549,20,0.34878,4,-1.9436
ENSG00000160097,FNDC5,7,-2.1392,34,0.39992,34,0.15335,30,-0.0625,32,0.07720
ENSG00000121905,HPCA,48,-1.8094,191,0.87664,121,-0.4108,178,0.21011,70,-1.2502
ENSG00000121900,TMEM54,51,0.45701,32,-0.5455,24,-0.7296,53,0.51594,62,0.78766
ENSG00000116514,RNF19B,13,-0.4922,20,0.27109,17,-0.1125,24,0.38463,11,-0.7301
ENSG00000004455,AK2,51,0.79943,22,-0.9829,45,0.58527,35,0.15982,48,0.70318
ENSG00000142920,AZIN2,33,0.69592,23,0.14480,11,-0.9570,18,-0.2452,18,-0.2808
ENSG00000160094,ZNF362,19,-0.2687,21,-0.2791,37,0.75039,24,0.04427,24,0.03947
ENSG00000134686,PHC2,60,0.50321,44,-0.0107,53,0.29036,37,-0.2649,27,-0.7626
ENSG00000163866,SMIM12,33,-1.0170,72,0.53499,47,-0.4779,68,0.11430,52,-0.3181
ENSG00000116544,DLGAP3,10,-2.4153,51,0.03553,52,0.05067,63,0.36404,73,0.61449
ENSG00000163867,ZMYM6,28,0.18857,24,-0.1972,35,0.50701,13,-1.0375,34,0.46657
ENSG00000116560,SFPQ,271,0.42547,193,-0.2600,283,0.49895,200,-0.0690,172,-0.3033
ENSG00000146463,ZMYM4,45,-0.3205,60,0.29234,36,-0.6891,44,-0.3728,71,0.39262
ENSG00000142687,KIAA0319L,55,-0.2142,61,-0.1132,55,-0.2122,57,-0.1665,97,0.71195
ENSG00000020129,NCDN,92,-2.4261,598,1.30795,253,-0.9152,457,0.00538,163,-1.5767
ENSG00000126067,PSMB2,107,-0.0134,117,0.31761,92,-0.2539,98,-0.1458,78,-0.5000
ENSG00000142686,C1orf216,23,-1.9793,107,1.10899,54,-0.6917,82,-0.0409,39,-1.1762
ENSG00000134698,AGO4,19,-0.0772,17,-0.3957,29,0.66676,18,-0.0827,25,0.38972
ENSG00000092847,AGO1,36,-0.0957,36,-0.2152,48,0.37151,43,0.21360,39,0.03609
ENSG00000126070,AGO3,83,1.12735,34,-0.6618,64,0.67799,30,-0.5093,40,-0.0877
ENSG00000116863,ADPRHL2,14,-0.3269,20,0.35964,16,-0.2112,17,-0.0362,13,-0.4501
ENSG00000054116,TRAPPC3,37,-0.5475,61,0.66563,33,-0.7272,67,0.41823,17,-1.6991
ENSG00000116871,MAP7D1,190,0.06876,196,0.28658,145,-0.3567,174,-0.0733,134,-0.4823
ENSG00000054118,THRAP3,124,-0.2004,141,0.00043,221,0.73945,80,-0.8859,139,-0.0231
ENSG00000196182,STK40,22,0.57495,13,-0.4416,18,0.28561,20,0.40829,13,-0.2511
ENSG00000181817,LSM10,21,-0.9016,40,0.27846,32,-0.2273,43,0.22696,36,-0.0521
ENSG00000116885,OSCP1,2,-3.2953,24,1.32058,13,-0.4664,15,-0.2870,7,-1.3562
ENSG00000116898,MRPS15,34,-0.5956,52,0.19784,34,-0.5994,56,0.19461,58,0.26729
ENSG00000163873,GRIK3,25,0.41208,25,1.10468,10,-0.9383,2,-3.2482,8,-1.3604
ENSG00000163875,MEAF6,65,-1.0045,149,0.76507,98,-0.3706,107,-0.2364,80,-0.7014
ENSG00000163877,SNIP1,20,0.28803,19,0.43163,16,-0.0485,14,-0.2922,5,-1.7901
ENSG00000134697,GNL2,32,0.32768,27,0.13926,31,0.30556,12,-1.1615,22,-0.2282
ENSG00000116922,C1orf109,4,-1.9374,16,0.47903,13,-0.1207,22,0.76050,6,-1.2636
ENSG00000185090,MANEAL,10,-1.2008,30,1.15360,15,-0.6117,15,-0.6370,11,-1.0780
ENSG00000197982,C1orf122,279,0.84688,142,-0.5413,90,-0.9567,244,0.61704,211,0.37739
ENSG00000188786,MTF1,31,0.96621,14,-0.5280,30,0.93171,9,-0.9599,14,-0.2983
ENSG00000183431,SF3A3,36,-0.4071,47,0.05624,54,0.26002,24,-1.0359,67,0.60465
ENSG00000183520,UTP11,20,-1.0883,47,0.50497,27,-0.6773,22,-0.9673,63,0.68125
ENSG00000185668,POU3F1,1,-4.0784,19,0.72901,11,-0.5261,22,0.53349,11,-0.5588
ENSG00000116954,RRAGC,36,-0.4598,55,0.46484,43,-0.2025,34,-0.5738,45,-0.1082
ENSG00000174574,AKIRIN1,94,-0.0235,98,0.10016,96,-0.0020,100,0.07518,77,-0.3486
ENSG00000168653,NDUFS5,304,-1.1900,724,0.39654,469,-0.5242,670,0.03760,757,0.23522
ENSG00000127603,MACF1,404,0.66150,195,-0.9699,544,1.17955,267,-0.0177,316,0.25221
ENSG00000090621,PABPC4,120,0.55139,66,-0.8120,136,0.75175,86,-0.0055,122,0.57455
ENSG00000116983,HPCAL4,143,-1.0982,297,0.08299,318,0.15015,396,0.50940,263,-0.1572
ENSG00000084072,PPIE,29,-0.2305,36,0.26660,29,-0.2509,43,0.41180,19,-0.9084
ENSG00000131236,CAP1,189,0.05027,180,-0.0484,224,0.32415,145,-0.3668,189,0.05462
ENSG00000131238,PPT1,92,-0.8010,164,0.25012,168,0.14138,184,0.28773,108,-0.5476
ENSG00000117000,RLF,24,0.05322,27,0.63890,18,-0.3901,10,-1.2120,17,-0.5074
ENSG00000259943,AL050341.2,18,-0.1441,20,0.17849,22,0.17943,24,0.35619,8,-1.3039
ENSG00000084073,ZMPSTE24,39,-0.2122,44,0.00286,58,0.43851,53,0.29578,27,-0.7715
ENSG00000084070,SMAP2,71,-1.1638,174,0.56807,130,-0.2383,97,-0.6942,170,0.19160
ENSG00000117016,RIMS3,45,-2.2501,230,0.56447,144,-0.5183,243,0.30997,190,-0.0846
ENSG00000066136,NFYC,32,-0.3560,45,0.46766,37,-0.1254,33,-0.2709,27,-0.5924
ENSG00000179862,CITED4,12,-0.6052,23,1.25163,6,-1.5696,9,-0.9391,10,-0.8045
ENSG00000171793,CTPS1,10,-0.8431,22,1.01892,5,-1.8141,11,-0.7768,17,-0.0373
ENSG00000127124,HIVEP3,14,-0.7259,24,0.24351,21,-0.1428,20,-0.2188,27,0.27786
ENSG00000198815,FOXJ3,24,-1.3835,73,0.85256,55,-0.1526,43,-0.5113,39,-0.6620
ENSG00000177181,RIMKLA,25,-1.0127,53,0.31773,39,-0.3625,35,-0.5153,71,0.60560
ENSG00000127125,PPCS,70,-0.0418,71,-0.0281,74,0.05336,83,0.23427,63,-0.1981
