Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000116251,RPL22,940,0.87332,967,0.79441,331,-0.9219,467,-0.7645
ENSG00000116237,ICMT,28,-0.1066,22,-0.5221,22,-0.5074,34,0.41884
ENSG00000097021,ACOT7,82,-1.3148,46,-2.0591,166,-0.1283,237,1.33032
ENSG00000215788,TNFRSF25,15,-0.4330,6,-1.6644,38,1.15923,19,0.06689
ENSG00000171680,PLEKHG5,21,0.17265,7,-1.5364,16,-0.2352,21,0.35284
ENSG00000162408,NOL9,17,-0.9046,36,0.39244,39,0.50437,29,0.11369
ENSG00000162413,KLHL21,18,-0.0685,23,0.28919,16,-0.2090,19,0.00154
ENSG00000041988,THAP3,12,-0.5985,6,-1.5327,7,-1.3079,23,1.22729
ENSG00000007923,DNAJC11,23,-0.7301,45,0.38019,54,0.68111,35,-0.0510
ENSG00000171735,CAMTA1,269,-1.0441,466,-0.1013,509,0.03821,576,0.60741
ENSG00000049246,PER3,30,0.27265,27,0.04799,23,-0.1765,25,-0.1459
ENSG00000116288,PARK7,440,0.77733,179,-0.7732,134,-1.2047,289,-0.0419
ENSG00000116285,ERRFI1,14,-0.5315,15,-0.3433,20,0.12418,21,0.39777
ENSG00000162426,SLC45A1,17,-0.9869,11,-1.5226,21,-0.5348,39,1.23709
ENSG00000142599,RERE,170,0.03090,271,0.80513,186,0.17320,145,-0.4542
ENSG00000074800,ENO1,793,1.17711,160,-1.5513,196,-1.2474,408,-0.2509
ENSG00000171612,SLC25A33,43,1.26640,9,-1.4283,3,-2.7857,21,-0.1845
ENSG00000171603,CLSTN1,299,-1.4331,366,-1.0248,614,-0.2223,914,1.21197
ENSG00000178585,CTNNBIP1,18,-0.4380,29,0.34321,7,-1.7795,27,0.56480
ENSG00000162441,LZIC,63,0.06214,68,0.19992,54,-0.1645,59,-0.0619
ENSG00000130939,UBE4B,38,-0.0869,27,-0.6263,46,0.21716,42,0.17013
ENSG00000054523,KIF1B,252,-0.7787,494,0.35917,378,-0.0721,430,0.32387
ENSG00000142657,PGD,56,-0.2377,36,-0.9168,43,-0.6344,76,0.65601
ENSG00000241563,CORT,24,-0.5735,8,-2.0112,30,-0.1591,41,0.91542
ENSG00000160049,DFFA,71,0.36116,75,0.42314,49,-0.2514,52,-0.3426
ENSG00000142655,PEX14,14,-0.3186,20,0.26530,15,-0.1846,18,0.15913
ENSG00000120948,TARDBP,63,-0.3845,68,-0.2192,97,0.34944,82,0.17135
ENSG00000116649,SRM,79,0.52183,30,-1.0544,34,-0.8507,62,0.16461
ENSG00000171824,EXOSC10,45,0.48640,22,-0.6586,64,1.03538,28,-0.6463
ENSG00000198793,MTOR,30,-0.5846,39,-0.1311,27,-0.6933,50,0.64231
ENSG00000116661,FBXO2,346,1.43919,63,-1.5412,68,-1.4108,148,-0.4747
ENSG00000132879,FBXO44,53,-0.8128,39,-1.2216,116,0.49619,99,0.59951
ENSG00000177000,MTHFR,21,-0.0157,16,-0.3925,49,1.39090,18,-0.5961
ENSG00000011021,CLCN6,43,-0.6109,26,-1.2840,54,-0.1981,74,0.83101
ENSG00000116685,KIAA2013,34,0.22719,7,-2.1633,34,0.23291,31,0.20711
ENSG00000083444,PLOD1,26,0.51048,9,-1.1012,14,-0.4840,20,0.08806
ENSG00000116688,MFN2,66,-0.8363,90,-0.2857,50,-1.1732,134,0.97464
ENSG00000048707,VPS13D,57,-0.2720,41,-0.7646,101,0.67262,69,0.10072
ENSG00000162496,DHRS3,42,1.98478,1,-3.4734,7,-1.1777,12,-0.8982
ENSG00000116731,PRDM2,112,-1.5596,510,0.95419,354,0.33885,298,0.13029
ENSG00000189337,KAZN,41,-0.7696,84,0.43402,51,-0.3679,71,0.38693
ENSG00000142634,EFHD2,45,-1.0890,146,0.86359,69,-0.3694,94,0.29211
ENSG00000116138,DNAJC16,12,-2.0628,26,-0.7725,40,-0.1183,57,1.32316
ENSG00000197312,DDI2,19,-1.1991,39,-0.0284,46,0.23011,46,0.55769
ENSG00000116786,PLEKHM2,122,0.14838,145,0.41136,65,-0.8529,112,-0.0219
ENSG00000065526,SPEN,150,-0.6337,303,0.55787,299,0.53217,209,-0.1061
ENSG00000116809,ZBTB17,17,-0.3368,17,-0.2878,13,-0.7162,24,0.55591
ENSG00000055070,SZRD1,51,1.39350,19,-0.4684,18,-0.5431,19,-0.8256
ENSG00000159363,ATP13A2,47,-1.2062,58,-0.8137,99,0.03054,120,0.93055
ENSG00000117118,SDHB,71,0.45580,15,-1.9217,46,-0.3035,58,0.20507
ENSG00000117115,PADI2,155,2.78516,44,-0.1692,17,-1.6181,19,-2.2294
ENSG00000179051,RCC2,16,-0.6859,10,-1.3120,20,-0.2892,30,0.91893
ENSG00000117154,IGSF21,41,-0.3683,60,0.28183,40,-0.3820,54,0.24627
ENSG00000159423,ALDH4A1,36,1.44720,14,-0.3761,13,-0.5025,13,-0.9150
ENSG00000127481,UBR4,30,-0.7690,53,0.17112,82,0.88763,47,-0.0577
ENSG00000127463,EMC1,28,-0.3477,29,-0.2470,31,-0.1580,38,0.36958
ENSG00000053372,MRTO4,40,-0.2550,43,-0.1414,20,-1.3071,54,0.58497
ENSG00000053371,AKR7A2,61,1.64835,11,-1.4305,6,-2.2327,23,-0.5967
ENSG00000077549,CAPZB,172,0.05826,107,-0.6830,124,-0.4552,181,0.33209
ENSG00000173436,MICOS10,410,0.59183,407,0.50179,142,-1.1604,271,-0.3360
ENSG00000158747,NBL1,128,-0.2250,97,-0.6352,139,-0.0741,160,0.38205
ENSG00000169914,OTUD3,9,-1.6546,43,0.85373,37,0.61167,26,0.08515
ENSG00000162545,CAMK2N1,3351,0.81582,2479,0.19762,1410,-0.6934,1890,-0.4862
ENSG00000090432,MUL1,9,-1.0376,11,-0.7546,19,0.09865,22,0.80151
ENSG00000158828,PINK1,346,-0.1929,341,-0.1987,218,-0.8897,435,0.47414
ENSG00000244038,DDOST,41,0.47035,16,-1.0692,28,-0.1816,32,0.01942
ENSG00000117245,KIF17,7,-1.6606,15,-0.4141,22,0.14674,25,0.92568
ENSG00000189410,SH2D5,26,-0.4109,10,-1.8614,34,0.04791,39,0.69999
ENSG00000127483,HP1BP3,206,-0.7107,376,0.30721,365,0.25815,326,0.17872
ENSG00000075151,EIF4G3,117,-1.6116,327,0.08399,468,0.67451,346,0.42624
ENSG00000117298,ECE1,44,1.29978,17,-0.4692,38,0.83511,14,-1.2956
ENSG00000076864,RAP1GAP,35,-1.7139,112,0.17457,95,-0.0961,122,0.80348
ENSG00000090686,USP48,46,-1.0730,102,0.25430,119,0.51245,93,0.24485
ENSG00000070831,CDC42,145,-0.1919,107,-0.6435,142,-0.2012,179,0.41015
ENSG00000173372,C1QA,87,2.58535,11,-1.4129,21,-0.5042,14,-1.8961
ENSG00000159189,C1QC,61,2.98989,8,-1.2974,5,-1.8529,8,-2.0804
ENSG00000173369,C1QB,105,2.84651,6,-2.3672,11,-1.5595,16,-1.8075
ENSG00000004487,KDM1A,51,-0.4869,44,-0.6503,75,0.18741,75,0.43799
ENSG00000169641,LUZP1,78,-1.7569,266,0.26162,241,0.10098,267,0.68654
ENSG00000125944,HNRNPR,130,-0.2329,159,0.11468,116,-0.3849,158,0.23749
ENSG00000142676,RPL11,725,1.09903,639,0.70921,231,-0.9160,306,-0.9217
ENSG00000011007,ELOA,26,-0.3074,37,0.27535,36,0.22371,31,-0.0087
ENSG00000057757,PITHD1,74,-1.1067,97,-0.6046,93,-0.6640,181,1.09675
ENSG00000011009,LYPLA2,25,0.02173,13,-0.9382,22,-0.1609,27,0.32318
ENSG00000189266,PNRC2,79,0.63746,63,0.19223,37,-0.6259,50,-0.3525
ENSG00000188529,SRSF10,74,0.03205,52,-0.5163,132,0.99156,66,-0.3339
ENSG00000001461,NIPAL3,70,-0.8528,93,-0.3479,128,0.15793,133,0.55473
ENSG00000133226,SRRM1,222,-0.3933,429,0.71306,559,1.17617,225,-0.6696
ENSG00000169504,CLIC4,146,3.65320,13,-1.5817,17,-1.2695,10,-2.9624
ENSG00000117614,SYF2,153,0.12219,177,0.34260,122,-0.2513,138,-0.1356
ENSG00000117616,RSRP1,40,-0.8734,13,-2.4150,181,1.71252,67,-0.0445
ENSG00000183726,TMEM50A,77,0.42376,41,-0.6210,51,-0.2834,61,-0.0130
ENSG00000204178,MACO1,32,-1.5486,76,-0.1122,160,1.12701,86,0.20005
ENSG00000117643,MAN1C1,48,0.16476,10,-2.1539,32,-0.4643,50,0.51720
ENSG00000162430,SELENON,66,1.54653,7,-2.2764,16,-1.0101,26,-0.5662
ENSG00000117640,MTFR1L,55,-0.2295,46,-0.4551,62,0.00719,67,0.30071
ENSG00000117632,STMN1,589,-1.2733,1218,-0.0502,835,-0.6427,1557,0.94606
ENSG00000158008,EXTL1,31,-0.5055,33,-0.3246,41,0.00980,46,0.42477
ENSG00000142684,ZNF593,33,0.27877,27,-0.0649,22,-0.4101,28,-0.0353
ENSG00000142669,SH3BGRL3,180,0.67806,139,0.16371,80,-0.7026,113,-0.3554
ENSG00000158062,UBXN11,24,0.46720,18,-0.0813,10,-0.9558,19,-0.0363
ENSG00000117682,DHDDS,20,0.05947,10,-0.9858,26,0.48256,20,0.03504
ENSG00000198830,HMGN2,226,1.03544,137,0.04101,75,-0.8954,111,-0.5720
ENSG00000117713,ARID1A,92,0.12707,60,-0.5647,93,0.13793,87,0.04053
ENSG00000204160,ZDHHC18,15,-0.6091,12,-0.8960,17,-0.4029,26,0.81590
ENSG00000142751,GPN2,18,-0.2183,22,0.11981,23,0.19361,20,0.01593
ENSG00000090273,NUDC,237,-0.0609,337,0.52021,152,-0.7423,248,0.04182
ENSG00000253368,TRNP1,38,-0.3525,28,-0.7855,44,-0.0898,53,0.51024
ENSG00000090020,SLC9A1,9,-1.2543,10,-1.1422,20,-0.0645,26,1.08728
ENSG00000142784,WDTC1,41,0.62516,33,0.20409,36,0.33371,24,-0.6691
ENSG00000186501,TMEM222,30,-0.2740,36,0.00797,32,-0.1863,38,0.24019
ENSG00000158195,WASF2,105,1.53969,71,0.57564,42,-0.2693,29,-1.4614
ENSG00000126705,AHDC1,29,-1.0789,61,0.18380,80,0.61588,58,0.22393
ENSG00000126709,IFI6,69,0.06858,29,-1.2466,61,-0.1351,72,0.34425
ENSG00000009780,FAM76A,19,-0.4504,23,-0.0876,31,0.40601,25,0.13568
ENSG00000117758,STX12,91,-0.0900,87,-0.1638,68,-0.5458,104,0.30076
ENSG00000117751,PPP1R8,27,0.28604,7,-1.7158,19,-0.3544,25,0.33171
ENSG00000117748,RPA2,35,0.00813,8,-2.1294,26,-0.4447,41,0.62958
ENSG00000126698,DNAJC8,270,-0.0297,327,0.28090,204,-0.4675,279,0.06013
ENSG00000130770,ATP5IF1,464,0.07319,346,-0.4005,201,-1.2312,496,0.42976
ENSG00000204138,PHACTR4,41,0.58150,52,0.88597,47,0.70712,20,-1.1468
ENSG00000180098,TRNAU1AP,15,-0.2723,9,-1.0111,38,1.28858,16,-0.2207
ENSG00000198492,YTHDF2,48,-1.1317,53,-0.8884,101,0.11599,115,0.87568
ENSG00000159023,EPB41,12,-1.1631,27,0.12468,61,1.53439,22,-0.3068
ENSG00000116350,SRSF4,86,-0.3231,161,0.72531,157,0.68064,91,-0.4284
ENSG00000116353,MECR,25,-0.1642,23,-0.2952,21,-0.4353,30,0.36318
ENSG00000162511,LAPTM5,65,2.22746,18,-0.4168,8,-1.5916,14,-1.4889
ENSG00000162512,SDC3,170,0.58247,82,-0.6519,122,-0.0352,117,-0.2150
ENSG00000134644,PUM1,94,-1.1096,148,-0.3176,171,-0.0879,217,0.77530
ENSG00000121766,ZCCHC17,139,-0.3496,181,0.10577,175,0.05058,177,0.15810
ENSG00000121769,FABP3,63,-0.6743,48,-1.0164,54,-0.8561,118,1.03614
ENSG00000162517,PEF1,61,-0.1778,32,-1.1460,53,-0.3845,79,0.58801
ENSG00000084636,COL16A1,23,0.07361,11,-1.0231,33,0.65641,22,-0.0548
ENSG00000121753,ADGRB2,133,-0.5678,118,-0.6946,172,-0.1074,214,0.62335
ENSG00000184007,PTP4A2,234,0.09011,470,1.26429,156,-0.5576,189,-0.5332
ENSG00000121774,KHDRBS1,127,0.00733,91,-0.5195,92,-0.4930,137,0.33406
ENSG00000025800,KPNA6,68,-0.8552,82,-0.4833,118,0.09173,130,0.63116
ENSG00000084652,TXLNA,25,-0.2368,24,-0.2414,34,0.30020,29,0.11346
ENSG00000160050,CCDC28B,33,1.09219,14,-0.4180,19,0.05555,15,-0.7465
ENSG00000084623,EIF3I,90,0.05157,61,-0.5685,53,-0.7620,96,0.39148
ENSG00000175130,MARCKSL1,279,1.73984,47,-1.4567,42,-1.6393,96,-0.7489
ENSG00000160058,BSDC1,50,-0.3465,39,-0.6979,58,-0.0818,69,0.47987
ENSG00000176261,ZBTB8OS,54,0.53864,26,-0.7027,24,-0.8290,41,0.06537
ENSG00000162521,RBBP4,112,-0.0428,53,-1.2096,94,-0.3232,130,0.48470
ENSG00000162522,KIAA1522,33,1.09383,13,-0.5513,13,-0.5990,16,-0.5085
ENSG00000134684,YARS,73,-0.6307,67,-0.7074,54,-1.0391,130,0.96921
ENSG00000160097,FNDC5,13,-1.8409,29,-0.5736,30,-0.5202,55,1.35618
ENSG00000121905,HPCA,128,-0.1509,81,-0.8463,64,-1.2091,166,0.72197
ENSG00000121900,TMEM54,59,0.80930,41,0.11714,10,-2.0456,36,-0.2276
ENSG00000004455,AK2,55,1.30557,18,-0.6677,31,0.13028,21,-0.9079
ENSG00000160094,ZNF362,22,0.08280,22,0.08870,34,0.79969,18,-0.4526
ENSG00000134686,PHC2,50,0.11714,28,-0.7834,36,-0.4098,51,0.30100
ENSG00000163866,SMIM12,41,-0.5168,40,-0.4887,40,-0.5085,65,0.67503
ENSG00000116544,DLGAP3,72,0.99139,24,-0.9001,38,-0.2031,38,-0.4476
ENSG00000163867,ZMYM6,23,0.10953,12,-0.9268,36,0.81745,21,-0.1865
ENSG00000116560,SFPQ,284,-0.1949,446,0.55713,633,1.16512,254,-0.6959
ENSG00000146463,ZMYM4,58,-0.3720,120,0.86219,70,-0.0285,68,-0.1675
ENSG00000142687,KIAA0319L,42,-0.7278,43,-0.6341,70,0.13092,75,0.59353
ENSG00000020129,NCDN,234,-0.9714,138,-1.6870,303,-0.4918,539,1.24385
ENSG00000126067,PSMB2,82,0.01349,36,-1.2313,86,0.08369,88,0.29525
ENSG00000142686,C1orf216,38,-1.3165,53,-0.6941,73,-0.2025,105,1.05019
ENSG00000092847,AGO1,23,-0.6783,44,0.40681,63,1.02074,31,-0.2807
ENSG00000126070,AGO3,32,-0.7457,48,-0.0473,97,1.12618,48,-0.1312
ENSG00000054116,TRAPPC3,34,-0.1278,11,-1.7814,23,-0.7366,44,0.77749
ENSG00000116871,MAP7D1,164,-0.2039,180,-0.0394,194,0.08635,190,0.11262
ENSG00000054118,THRAP3,136,-0.8188,212,-0.0541,295,0.48215,236,0.27557
ENSG00000196182,STK40,19,0.06336,13,-0.4778,23,0.39159,18,-0.0492
ENSG00000181817,LSM10,48,0.55200,23,-0.7151,16,-1.2141,37,0.13777
ENSG00000116898,MRPS15,57,0.19308,48,-0.0928,24,-1.1591,54,0.21998
ENSG00000163875,MEAF6,63,-0.9577,124,0.18870,127,0.22044,121,0.36518
ENSG00000134697,GNL2,22,-0.5051,25,-0.2683,25,-0.2268,33,0.49626
ENSG00000185090,MANEAL,12,-0.7818,20,0.01599,16,-0.3061,23,0.56665
ENSG00000197982,C1orf122,224,1.13666,109,-0.2299,52,-1.3750,109,-0.4829
ENSG00000183431,SF3A3,46,-0.0813,29,-0.7833,60,0.35828,50,0.14310
ENSG00000183520,UTP11,32,-0.4448,46,0.17123,32,-0.4242,46,0.35377
ENSG00000116954,RRAGC,39,-0.2938,16,-1.5749,33,-0.5176,56,0.79652
ENSG00000174574,AKIRIN1,69,-0.1106,31,-1.3311,80,0.11885,81,0.38505
ENSG00000168653,NDUFS5,841,0.32883,678,-0.0594,321,-1.2171,726,0.11562
ENSG00000127603,MACF1,645,0.51551,405,-0.3008,743,0.68786,410,-0.5724
ENSG00000090621,PABPC4,110,0.74581,97,0.44630,44,-0.7971,63,-0.5098
ENSG00000116983,HPCAL4,294,-0.0085,319,0.12028,205,-0.5783,308,0.14539
ENSG00000084072,PPIE,34,-0.0054,13,-1.4876,29,-0.2574,38,0.48560
ENSG00000131236,CAP1,188,0.38138,88,-0.8535,118,-0.4125,158,0.11747
ENSG00000131238,PPT1,126,0.14180,61,-1.0079,66,-0.8755,131,0.46520
ENSG00000117000,RLF,15,-1.3389,31,-0.1148,61,1.02817,35,0.19687
ENSG00000084073,ZMPSTE24,32,0.04858,23,-0.4831,24,-0.4359,34,0.27663
ENSG00000084070,SMAP2,76,-1.2975,139,-0.2736,178,0.11715,197,0.74879
ENSG00000117016,RIMS3,111,-0.6336,117,-0.4933,82,-1.0297,196,0.89756
ENSG00000066136,NFYC,19,-1.0481,26,-0.4627,16,-1.1503,45,1.15718
ENSG00000127124,HIVEP3,14,-1.0738,48,0.93993,38,0.56783,26,-0.1386
ENSG00000198815,FOXJ3,26,-0.9918,44,-0.1087,34,-0.5305,57,0.80264
ENSG00000177181,RIMKLA,31,-0.9042,66,0.33232,44,-0.2949,60,0.47865
ENSG00000127125,PPCS,67,0.23037,59,-0.0203,34,-0.8504,61,0.09954
ENSG00000186409,CCDC30,58,-0.5306,187,1.46661,131,0.82432,60,-0.8562
ENSG00000065978,YBX1,253,1.67374,197,0.90793,67,-0.8189,61,-1.6425
ENSG00000164008,C1orf50,19,0.06573,14,-0.4015,18,0.01689,18,0.08443
ENSG00000177868,SVBP,53,0.54649,37,-0.1016,22,-0.8714,38,-0.1107
ENSG00000117394,SLC2A1,64,1.73735,17,-0.7614,11,-1.4125,21,-0.9106
ENSG00000117395,EBNA1BP2,89,0.02127,84,-0.0696,32,-1.5183,97,0.40136
ENSG00000159479,MED8,17,-0.3099,7,-1.6762,20,-0.0982,25,0.66875
ENSG00000142949,PTPRF,117,-0.0811,37,-1.8009,101,-0.2995,142,0.60416
ENSG00000066135,KDM4A,14,-0.4113,17,-0.0670,29,0.75623,18,-0.0726
ENSG00000126091,ST3GAL3,35,-0.0938,30,-0.3613,49,0.44467,37,-0.0045
ENSG00000117408,IPO13,54,0.51960,24,-0.8351,17,-1.3197,43,0.21340
ENSG00000117410,ATP6V0B,179,-1.0426,99,-1.8506,256,-0.4122,434,1.28194
ENSG00000117411,B4GALT2,102,0.77002,63,-0.1233,49,-0.5260,61,-0.3715
ENSG00000178028,DMAP1,46,-0.4311,26,-1.2833,61,0.03868,69,0.62018
ENSG00000117419,ERI3,120,0.10686,69,-0.7784,68,-0.8033,126,0.41844
ENSG00000187147,RNF220,71,-0.6133,82,-0.3372,63,-0.7547,122,0.75557
ENSG00000142937,RPS8,1835,1.04013,1948,0.98426,512,-1.1584,779,-0.9749
ENSG00000070785,EIF2B3,29,-0.2242,3,-3.2110,44,0.48051,37,0.48687
ENSG00000126088,UROD,77,0.03406,40,-0.9843,38,-1.0657,88,0.58703
ENSG00000117450,PRDX1,448,1.24076,126,-1.0041,94,-1.4532,216,-0.3702
ENSG00000117448,AKR1A1,58,0.61374,11,-1.9773,23,-0.9263,45,0.24898
ENSG00000132780,NASP,81,0.08249,137,0.93656,157,1.17762,54,-1.0834
ENSG00000159592,GPBP1L1,29,-0.1338,25,-0.3646,42,0.48149,31,0.00412
ENSG00000086015,MAST2,24,-0.3745,43,0.54850,29,-0.0946,31,0.02589
ENSG00000117461,PIK3R3,26,-0.5551,62,0.86687,34,-0.1193,36,-0.0401
ENSG00000085998,POMGNT1,47,-0.0543,25,-1.0255,70,0.60388,49,0.05878
ENSG00000132128,LRRC41,34,0.01032,23,-0.6162,39,0.23641,35,0.09393
ENSG00000173660,UQCRH,423,0.14539,345,-0.1929,187,-1.1417,421,0.28824
ENSG00000117480,FAAH,23,-0.3252,11,-1.3868,22,-0.3405,33,0.72240
ENSG00000079277,MKNK1,26,-0.1066,19,-0.6095,58,1.23335,25,-0.3735
ENSG00000123472,ATPAF1,114,0.00793,71,-0.7399,74,-0.6661,127,0.44524
ENSG00000159658,EFCAB14,96,0.85402,67,0.13319,47,-0.4291,52,-0.5624
ENSG00000162368,CMPK1,96,-0.5449,143,0.12730,93,-0.5502,149,0.46918
ENSG00000162373,BEND5,21,-1.1292,54,0.43763,33,-0.3379,47,0.54131
ENSG00000162374,ELAVL4,73,-2.1027,214,-0.3399,239,-0.1666,343,1.19286
ENSG00000185104,FAF1,35,0.05073,22,-0.6815,35,0.01273,36,0.17500
ENSG00000123091,RNF11,291,-0.6302,425,0.02401,356,-0.2561,470,0.46503
ENSG00000085832,EPS15,108,-0.8826,251,0.53119,119,-0.6632,205,0.48057
ENSG00000117859,OSBPL9,26,0.50404,31,0.74040,34,0.89672,13,-1.1083
ENSG00000078618,NRDC,113,-0.5003,152,0.02270,215,0.58659,151,0.03245
ENSG00000169213,RAB3B,14,-2.8572,181,1.25538,65,-0.4407,98,0.51136
ENSG00000117862,TXNDC12,40,0.31699,19,-0.8919,13,-1.3710,37,0.40320
ENSG00000134717,BTF3L4,55,0.20131,24,-1.1120,33,-0.6176,54,0.37403
ENSG00000157077,ZFYVE9,27,-1.0430,37,-0.4962,76,0.63849,57,0.44537
ENSG00000134748,PRPF38A,59,0.53775,43,-0.0546,46,0.07756,39,-0.3992
ENSG00000134744,TUT4,68,-0.3774,108,0.38483,183,1.29887,70,-0.6009
ENSG00000162377,COA7,22,-0.5055,40,0.45120,28,-0.1076,31,0.15148
ENSG00000162378,ZYG11B,74,-1.5185,148,-0.3627,147,-0.3701,236,1.08633
ENSG00000116171,SCP2,108,0.42787,66,-0.4124,62,-0.5089,85,-0.0068
ENSG00000162384,CZIB,39,0.01824,48,0.35374,27,-0.5742,39,0.02525
ENSG00000162385,MAGOH,24,0.28808,9,-1.1823,3,-2.6603,24,0.65248
ENSG00000157193,LRP8,21,-0.7999,28,-0.2891,40,0.25503,38,0.46299
ENSG00000058799,YIPF1,24,0.67544,1,-3.7507,9,-0.9069,18,0.31148
ENSG00000081870,HSPB11,35,0.48240,10,-1.4546,15,-0.8842,29,0.27907
ENSG00000116209,TMEM59,128,0.13298,58,-1.0982,65,-0.9285,135,0.50481
ENSG00000116221,MRPL37,62,0.05922,44,-0.4767,46,-0.4208,64,0.26248
ENSG00000157216,SSBP3,175,-0.7696,521,1.07577,182,-0.6400,281,0.09562
ENSG00000243725,TTC4,15,-0.7580,12,-1.1067,37,0.70099,27,0.43123
ENSG00000116133,DHCR24,93,-0.7956,55,-1.5065,98,-0.6467,190,1.16001
ENSG00000162402,USP24,35,0.12276,19,-0.8480,44,0.47097,33,-0.0333
ENSG00000162407,PLPP3,444,2.30472,32,-2.4396,33,-2.3715,108,-1.1321
ENSG00000162409,PRKAA2,42,-0.8900,36,-1.0730,95,0.45726,83,0.62790
ENSG00000162601,MYSM1,31,-1.1264,74,0.29049,178,1.86530,50,-0.6458
ENSG00000177606,JUN,119,0.00938,64,-0.9389,121,0.03513,126,0.25740
ENSG00000134709,HOOK1,25,-1.5405,54,-0.2373,97,0.71323,72,0.50666
ENSG00000162599,NFIA,391,1.35779,310,0.72166,202,0.01611,118,-1.4551
ENSG00000162604,TM2D1,40,-0.0604,6,-2.8827,33,-0.3658,50,0.72366
ENSG00000162607,USP1,52,-0.3316,81,0.39066,76,0.29483,62,-0.0767
ENSG00000116641,DOCK7,76,1.39726,16,-1.3409,41,0.14000,28,-0.8636
ENSG00000079739,PGM1,63,1.30173,5,-2.8564,20,-0.7822,29,-0.3367
ENSG00000158966,CACHD1,34,0.92545,17,-0.3770,9,-1.2061,19,-0.2762
ENSG00000162434,JAK1,98,-0.2816,105,-0.1440,112,-0.0499,123,0.25216
ENSG00000162433,AK4,87,0.90150,48,-0.2011,27,-1.0693,49,-0.3347
