Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000177133,PRDM16-DT,12,-0.7125,10,-1.2799,0,-4.8552,32,0.76173,31,0.80270,52,1.63256,13,-0.6948
ENSG00000142611,PRDM16,15,-0.0271,5,-1.7939,17,0.09244,25,0.77127,10,-0.8025,50,2.01796,14,-0.1566
ENSG00000158109,TPRG1L,211,0.31747,240,0.73045,108,-0.7323,142,-0.3101,201,0.27438,93,-0.9741,55,-1.7408
ENSG00000116213,WRAP73,5,-1.1775,17,0.71722,0,-5.2552,18,0.61052,15,0.35466,2,-2.4215,16,0.41896
ENSG00000130764,LRRC47,57,-0.3736,91,0.51129,44,-0.7453,81,0.19929,87,0.35748,28,-1.4226,60,-0.2748
ENSG00000116198,CEP104,49,0.22618,21,-1.3172,67,0.73916,34,-0.3457,25,-0.8818,52,0.32123,112,1.66101
ENSG00000198912,C1orf174,2,-2.5313,18,1.10410,0,-6.3245,11,0.01773,14,0.45901,3,-2.0083,13,0.24700
ENSG00000196581,AJAP1,51,0.52244,44,0.34082,53,0.56649,56,0.68013,24,-0.7217,15,-1.3890,17,-1.2111
ENSG00000069424,KCNAB2,151,-0.0455,185,0.37221,171,0.15621,159,0.03595,199,0.46083,93,-0.8059,27,-2.6151
ENSG00000116254,CHD5,529,1.32211,228,-0.1267,383,0.75063,281,0.23817,167,-0.6513,148,-0.7714,70,-1.9004
ENSG00000116251,RPL22,317,-0.6586,345,-0.6484,686,0.57975,481,-0.0024,584,0.35591,587,0.31933,545,0.19895
ENSG00000116237,ICMT,22,-0.7979,54,0.78996,12,-1.7518,38,0.01234,48,0.46321,17,-1.1868,29,-0.3783
ENSG00000097021,ACOT7,154,-0.2431,325,1.46199,124,-0.5819,94,-1.0087,176,-0.0330,61,-1.6482,37,-2.3913
ENSG00000215788,TNFRSF25,34,1.29939,23,0.86879,7,-1.2212,8,-1.0422,11,-0.5293,8,-1.0918,8,-1.0080
ENSG00000171680,PLEKHG5,5,-1.7134,21,0.70753,7,-1.1264,33,1.23456,18,0.22582,7,-1.1074,3,-2.1417
ENSG00000162408,NOL9,35,0.22418,31,0.01815,23,-0.4169,28,-0.1395,30,-0.0478,43,0.53394,25,-0.3401
ENSG00000162413,KLHL21,22,-0.3607,29,0.04401,23,-0.3288,33,0.23036,27,-0.0511,28,-0.0212,35,0.35283
ENSG00000116273,PHF13,9,-0.6246,16,0.19011,28,1.09606,14,-0.0044,13,-0.1358,0,-5.1454,18,0.35269
ENSG00000041988,THAP3,11,-0.4911,18,0.36893,11,-0.4647,7,-1.1617,19,0.42755,12,-0.3712,18,0.26662
ENSG00000007923,DNAJC11,32,0.11515,46,0.98383,13,-1.2384,18,-0.7633,25,-0.2950,17,-0.8515,30,0.00232
ENSG00000171735,CAMTA1,624,0.69010,444,0.16366,349,-0.2586,492,0.29481,383,-0.1216,320,-0.3927,221,-0.9658
ENSG00000049245,VAMP3,7,-1.9982,11,-1.7079,27,-0.0991,22,-0.4121,31,0.15648,36,0.40103,98,2.21334
ENSG00000049246,PER3,51,-0.3909,36,-1.0853,56,-0.2173,46,-0.5317,53,-0.3361,184,1.82854,96,0.63280
ENSG00000116288,PARK7,124,-1.1072,316,0.48310,155,-0.7665,218,-0.2315,392,0.84657,154,-0.7737,145,-0.8672
ENSG00000116285,ERRFI1,22,-0.2559,39,0.96943,17,-0.6083,22,-0.2653,21,-0.3331,24,-0.0937,12,-1.1995
ENSG00000162426,SLC45A1,21,-0.1941,41,1.25727,16,-0.6256,10,-1.3743,22,-0.1245,11,-1.1003,14,-0.7656
ENSG00000142599,RERE,162,0.49530,99,-0.3687,78,-0.6586,117,-0.0312,118,-0.0168,118,-0.0155,184,0.71656
ENSG00000074800,ENO1,244,-0.9306,525,0.36345,252,-0.8821,313,-0.5488,545,0.38261,732,0.83179,227,-1.0435
ENSG00000171612,SLC25A33,10,-1.7267,26,-0.3444,2,-4.0282,48,0.71909,51,0.98979,48,0.71094,21,-0.6039
ENSG00000188807,TMEM201,17,0.63423,9,-0.5954,8,-0.5803,13,0.10334,11,-0.1624,15,0.39062,17,0.62636
ENSG00000171603,CLSTN1,690,0.08391,1030,1.05783,587,-0.1759,598,-0.1456,526,-0.3847,326,-1.0864,208,-1.7548
ENSG00000178585,CTNNBIP1,20,-0.5668,19,-0.8136,50,0.90490,30,0.09389,42,0.71232,10,-1.5786,37,0.42119
ENSG00000162441,LZIC,34,-0.8962,50,-0.4094,60,-0.0380,44,-0.5406,49,-0.3897,95,0.71462,134,1.31550
ENSG00000130939,UBE4B,33,-0.3040,51,0.49615,37,-0.1503,33,-0.3046,36,-0.2126,19,-1.1300,58,0.56750
ENSG00000054523,KIF1B,634,0.26480,417,-0.4990,721,0.47595,640,0.28078,438,-0.3631,506,-0.0987,754,0.55117
ENSG00000142657,PGD,38,-0.5939,86,1.01399,49,-0.2085,21,-1.4873,51,-0.1611,43,-0.4096,45,-0.3200
ENSG00000241563,CORT,5,-3.6967,27,-1.5883,461,4.31043,5,-3.6702,45,-0.6779,19,-1.8931,4,-4.2085
ENSG00000160049,DFFA,50,0.05336,33,-0.7016,30,-0.7425,48,-0.0023,39,-0.3577,87,0.97336,89,1.01722
ENSG00000142655,PEX14,10,-0.6897,20,0.50480,10,-0.7831,24,0.63628,13,-0.3521,19,0.26596,11,-0.6102
ENSG00000120948,TARDBP,77,-0.0364,92,0.33189,59,-0.4687,65,-0.3088,62,-0.4189,85,0.12622,102,0.42128
ENSG00000271895,AL109811.2,25,0.53571,19,0.13135,2,-3.0371,7,-1.4613,22,0.37139,29,0.81858,14,-0.3255
ENSG00000116649,SRM,19,-1.6027,73,0.66813,18,-1.6582,27,-1.0844,72,0.51817,71,0.44406,44,-0.3371
ENSG00000171824,EXOSC10,28,-0.3049,40,0.36672,15,-1.2535,26,-0.4313,30,-0.2132,38,0.16549,52,0.69788
ENSG00000198793,MTOR,45,0.35189,46,0.50828,7,-2.3305,42,0.22952,43,0.30061,14,-1.4745,31,-0.2335
ENSG00000116661,FBXO2,73,-1.1965,172,0.16565,78,-1.1089,148,-0.1154,220,0.61228,238,0.66095,97,-0.7700
ENSG00000132879,FBXO44,112,0.52607,107,0.59078,45,-0.9281,61,-0.4433,82,0.02156,77,-0.0847,34,-1.3469
ENSG00000116670,MAD2L2,7,-1.1005,11,-0.4631,30,1.20442,15,0.05489,8,-0.9093,16,0.11634,27,0.99472
ENSG00000177000,MTHFR,34,0.43916,23,-0.2359,45,0.90106,41,0.75132,9,-1.7796,23,-0.1807,30,0.23581
ENSG00000011021,CLCN6,76,0.03633,92,0.44704,66,-0.2038,81,0.12417,81,0.13874,42,-0.8813,45,-0.7944
ENSG00000116685,KIAA2013,28,-0.3711,33,-0.1455,49,0.52900,17,-1.1305,33,-0.1211,42,0.27998,54,0.66059
ENSG00000083444,PLOD1,11,-0.6946,16,-0.0643,7,-1.2822,35,1.21346,10,-0.9407,35,1.20738,13,-0.4123
ENSG00000116688,MFN2,108,-0.0382,139,0.49083,75,-0.6214,107,-0.0586,115,0.06357,94,-0.2647,79,-0.5414
ENSG00000116691,MIIP,19,0.69639,10,-0.3680,5,-1.2738,12,-0.0029,13,0.05311,20,0.74956,11,-0.1499
ENSG00000048707,VPS13D,96,0.45281,94,0.54938,47,-0.6742,71,-0.0426,69,-0.0940,37,-1.0427,58,-0.3706
ENSG00000162496,DHRS3,18,-0.2357,20,-0.0858,0,-7.2234,12,-0.8208,21,0.01034,59,1.74638,20,-0.1074
ENSG00000116731,PRDM2,414,0.95249,196,-0.3527,441,1.06418,192,-0.3130,158,-0.6731,202,-0.2305,185,-0.3717
ENSG00000189337,KAZN,51,-0.2986,64,0.10260,39,-0.7053,56,-0.1355,58,-0.1027,55,-0.1682,103,0.85681
ENSG00000142634,EFHD2,163,0.83700,88,-0.2305,211,1.29527,137,0.53887,62,-0.7932,50,-1.0459,36,-1.5542
ENSG00000116138,DNAJC16,54,0.66031,43,0.40901,18,-1.0559,33,-0.1221,29,-0.3602,31,-0.2115,34,-0.0985
ENSG00000197312,DDI2,58,0.64604,49,0.48727,22,-0.8880,47,0.29827,25,-0.7164,31,-0.3523,34,-0.2104
ENSG00000116786,PLEKHM2,65,-0.7860,80,-0.5589,113,0.09103,151,0.55851,144,0.55850,137,0.39745,76,-0.5423
ENSG00000065526,SPEN,310,0.80884,114,-0.9649,280,0.63472,166,-0.2167,110,-0.9271,176,-0.1259,407,1.29324
ENSG00000116809,ZBTB17,20,-0.3327,16,-0.8314,43,0.88347,19,-0.4346,18,-0.6024,56,1.35686,29,0.23781
ENSG00000037637,FBXO42,23,0.34450,20,0.10063,2,-2.8357,25,0.42073,19,0.02965,24,0.37241,16,-0.2097
ENSG00000055070,SZRD1,20,-0.1923,14,-0.8401,0,-5.0224,35,0.69563,22,-0.0369,27,0.27803,57,1.56679
ENSG00000157191,NECAP2,10,-0.6260,4,-2.0149,8,-0.8864,9,-0.7206,14,-0.0505,52,2.27477,26,0.91255
ENSG00000219481,NBPF1,22,-0.0808,10,-1.4491,40,0.88116,22,-0.1151,16,-0.6346,25,0.08965,62,1.67521
ENSG00000159363,ATP13A2,89,-0.1207,140,0.85779,57,-0.8042,72,-0.4570,112,0.28926,64,-0.6361,33,-1.6282
ENSG00000117118,SDHB,17,-1.4849,61,0.61934,12,-1.9946,17,-1.5023,84,1.18153,41,-0.1862,23,-1.1044
ENSG00000117115,PADI2,10,-3.0340,23,-2.1562,71,-0.1774,61,-0.4276,53,-0.6889,143,0.97273,335,2.70340
ENSG00000179051,RCC2,7,-1.4256,26,0.69154,9,-1.0871,19,-0.0297,24,0.43994,6,-1.7522,22,0.27078
ENSG00000074964,ARHGEF10L,10,-0.7644,17,0.13628,8,-1.1114,10,-0.7981,17,0.13028,40,1.52563,8,-1.0119
ENSG00000117154,IGSF21,84,0.77874,72,0.71394,34,-0.6621,39,-0.4622,57,0.15549,16,-1.7973,20,-1.4888
ENSG00000159423,ALDH4A1,16,-0.6367,11,-1.4252,3,-2.9274,36,0.64373,31,0.46807,64,1.70236,27,0.16612
ENSG00000127481,UBR4,60,0.57523,40,-0.1338,62,0.62458,38,-0.1735,30,-0.5723,22,-1.0215,62,0.61382
ENSG00000127463,EMC1,30,0.02034,41,0.72108,4,-2.7287,26,-0.2278,33,0.20464,18,-0.7586,29,-0.0602
ENSG00000053372,MRTO4,56,0.63572,41,0.14472,12,-1.7648,54,0.57757,41,0.14540,30,-0.3447,23,-0.7910
ENSG00000053371,AKR7A2,9,-1.3227,25,0.15185,6,-2.0630,26,0.22712,25,0.12072,36,0.72161,29,0.36712
ENSG00000077549,CAPZB,127,-0.1085,172,0.51404,122,-0.1711,76,-0.8893,141,0.07750,97,-0.5184,135,-0.0035
ENSG00000173436,MICOS10,149,-0.9073,260,-0.0482,228,-0.2467,295,0.16262,452,1.03784,209,-0.3843,99,-1.5253
ENSG00000158747,NBL1,179,0.39265,162,0.30052,163,0.23659,166,0.27055,112,-0.3892,123,-0.2065,63,-1.2324
ENSG00000169914,OTUD3,40,1.04188,20,-0.1126,18,-0.2331,13,-0.7356,27,0.41174,22,0.08507,5,-2.0557
ENSG00000162545,CAMK2N1,1055,-0.6366,1360,-0.3026,1068,-0.6179,1753,0.16543,2466,0.85698,1929,0.32099,1005,-0.7111
ENSG00000090432,MUL1,20,0.17226,21,0.30814,3,-2.5052,16,-0.1988,14,-0.4837,32,0.96225,19,0.07816
ENSG00000183114,FAM43B,29,0.59069,15,-0.5385,50,1.52919,18,-0.1595,20,-0.0201,11,-0.9518,8,-1.2910
ENSG00000158828,PINK1,294,-0.4329,531,0.71119,301,-0.3921,258,-0.6331,499,0.47765,271,-0.5579,148,-1.4798
ENSG00000244038,DDOST,18,-0.5417,31,0.43954,9,-1.5243,22,-0.1959,37,0.75864,17,-0.5939,17,-0.5600
ENSG00000117245,KIF17,23,0.15566,39,1.49044,11,-0.9215,13,-0.6904,22,0.11227,0,-6.4760,2,-3.4991
ENSG00000189410,SH2D5,26,-0.4383,58,1.25906,7,-2.2444,53,0.72848,35,0.07377,3,-3.6284,7,-2.2867
ENSG00000127483,HP1BP3,343,0.35473,208,-0.5503,338,0.32971,216,-0.3849,219,-0.4001,335,0.31977,461,0.85340
ENSG00000075151,EIF4G3,379,0.70644,295,0.38382,293,0.28004,177,-0.5216,167,-0.6682,158,-0.6988,240,-0.0460
ENSG00000117298,ECE1,16,-0.4587,13,-0.9951,3,-2.6759,33,0.69904,15,-0.6591,65,1.92011,32,0.61737
ENSG00000076864,RAP1GAP,168,0.63385,149,0.58059,164,0.58998,90,-0.3747,93,-0.3576,38,-1.6902,50,-1.2852
ENSG00000090686,USP48,126,0.69580,83,0.01286,57,-0.5812,56,-0.6127,47,-0.9536,77,-0.1141,167,1.18165
ENSG00000070831,CDC42,143,-0.2117,221,0.67253,96,-0.8303,90,-0.9267,161,-0.0216,133,-0.3279,186,0.20654
ENSG00000133216,EPHB2,32,1.74044,9,-0.4291,3,-1.7666,4,-1.4189,12,0.10724,1,-3.5143,23,1.11981
ENSG00000004487,KDM1A,72,0.40918,74,0.62009,32,-0.8716,33,-0.7958,60,0.12206,44,-0.3891,36,-0.6808
ENSG00000169641,LUZP1,271,0.98575,196,0.58847,103,-0.5830,167,0.17391,132,-0.2286,41,-1.9712,66,-1.2740
ENSG00000125944,HNRNPR,120,-0.2027,143,0.09029,160,0.25672,94,-0.5946,127,-0.1302,124,-0.1551,187,0.50561
ENSG00000125945,ZNF436,21,0.72709,14,0.10150,5,-1.3860,14,0.04224,8,-0.8130,30,1.39212,4,-1.5782
ENSG00000142676,RPL11,138,-1.4970,240,-0.7998,445,0.31983,264,-0.5080,575,0.88052,406,0.17299,525,0.59616
ENSG00000011007,ELOA,36,0.42600,27,-0.0764,13,-1.1600,18,-0.6622,31,0.21535,24,-0.2366,44,0.74537
ENSG00000057757,PITHD1,124,-0.1801,203,0.86412,79,-0.8841,126,-0.1550,152,0.16372,41,-1.8595,106,-0.4246
ENSG00000011009,LYPLA2,25,0.24987,28,0.53713,13,-0.7693,18,-0.2835,18,-0.3112,32,0.59901,9,-1.2971
ENSG00000117305,HMGCL,13,-0.1364,11,-0.4973,7,-1.0370,8,-0.9566,25,1.05458,18,0.33828,15,0.07574
ENSG00000189266,PNRC2,44,-0.3942,54,-0.1070,51,-0.1739,53,-0.1183,44,-0.4419,107,1.06145,63,0.17136
ENSG00000188529,SRSF10,96,0.57032,68,0.01085,48,-0.5433,54,-0.3686,56,-0.3265,70,0.05747,93,0.51302
ENSG00000001461,NIPAL3,164,0.13566,128,-0.3226,257,0.89034,94,-0.7401,80,-1.0590,102,-0.6147,343,1.41078
ENSG00000133226,SRRM1,300,0.49796,156,-0.6792,233,0.08451,152,-0.5918,100,-1.3296,290,0.44237,570,1.64242
ENSG00000169504,CLIC4,18,-1.4135,9,-2.7423,73,0.72680,23,-1.0522,23,-1.1443,64,0.50664,214,2.91329
ENSG00000117614,SYF2,101,-0.2740,93,-0.5070,203,0.85936,113,-0.1089,117,-0.0592,128,0.09686,149,0.33949
ENSG00000117616,RSRP1,96,0.58069,57,-0.3135,15,-2.1988,81,0.31538,39,-0.8953,114,0.88225,112,0.85683
ENSG00000183726,TMEM50A,53,-0.3827,83,0.43854,52,-0.4090,43,-0.7180,64,-0.1088,83,0.33362,69,0.04035
ENSG00000204178,MACO1,82,0.41345,71,0.23666,39,-0.7621,42,-0.6548,48,-0.4891,76,0.29643,87,0.51346
ENSG00000117643,MAN1C1,29,0.08599,45,1.11857,6,-2.1418,10,-1.4598,42,0.80305,2,-3.5140,10,-1.5831
ENSG00000162430,SELENON,24,-0.1443,14,-1.1056,36,0.50690,34,0.44381,27,0.06880,39,0.65656,31,0.26985
ENSG00000117640,MTFR1L,62,0.04127,78,0.55418,61,0.01487,51,-0.2584,60,-0.0191,34,-0.9053,43,-0.5321
ENSG00000117632,STMN1,1143,-0.0566,1591,0.65530,1291,0.13899,761,-0.6939,1276,0.13589,415,-1.6139,908,-0.4197
ENSG00000158008,EXTL1,65,0.62367,50,0.26572,44,-0.0165,52,0.24025,43,-0.0634,41,-0.1262,5,-3.0388
ENSG00000175087,PDIK1L,23,0.43796,18,0.11587,16,-0.1407,9,-0.9938,21,0.39878,9,-0.9266,18,0.07107
ENSG00000142684,ZNF593,33,-0.1798,49,0.60020,27,-0.4885,20,-0.9114,54,0.71769,8,-2.2647,27,-0.4809
ENSG00000142669,SH3BGRL3,106,-0.3319,149,0.26978,106,-0.3284,123,-0.0919,133,0.03598,139,0.10000,120,-0.1317
ENSG00000158062,UBXN11,3,-2.7378,22,0.28707,13,-0.5117,18,-0.0283,25,0.51380,31,0.83220,7,-1.3597
ENSG00000117682,DHDDS,17,-0.1297,31,1.26151,7,-1.4093,11,-0.7517,18,0.01212,9,-1.0866,8,-1.1426
ENSG00000198830,HMGN2,64,-0.9986,84,-0.7251,95,-0.4054,105,-0.2432,150,0.36367,212,0.90590,200,0.80458
ENSG00000117713,ARID1A,101,0.13876,74,-0.4488,133,0.58827,89,-0.0664,45,-1.2185,129,0.53928,164,0.95221
ENSG00000204160,ZDHHC18,15,-0.3109,23,0.52977,25,0.52913,16,-0.2428,13,-0.5287,15,-0.3489,15,-0.2844
ENSG00000142751,GPN2,29,0.54041,25,0.46922,0,-5.5901,18,-0.1616,10,-1.2197,41,1.13716,21,0.04006
ENSG00000090273,NUDC,129,-0.8114,251,0.30649,217,-0.0017,193,-0.1900,274,0.43312,180,-0.2974,152,-0.5589
ENSG00000253368,TRNP1,32,-0.2698,50,0.58989,11,-1.8829,32,-0.2553,63,0.99677,20,-0.9958,9,-2.2078
ENSG00000090020,SLC9A1,23,0.55898,26,1.00588,8,-1.0190,17,0.07030,14,-0.3058,10,-0.7332,1,-3.5401
ENSG00000142784,WDTC1,27,0.35976,20,-0.1517,7,-1.6439,26,0.28694,22,0.03466,21,-0.0103,30,0.54967
ENSG00000186501,TMEM222,47,0.16447,37,-0.3067,48,0.19749,40,-0.1175,53,0.40865,34,-0.3507,41,-0.0536
ENSG00000158195,WASF2,34,-0.7485,16,-2.0886,20,-1.4983,71,0.42215,27,-1.1793,124,1.38182,196,2.30881
ENSG00000126705,AHDC1,63,0.74599,43,0.14921,30,-0.4572,55,0.53231,29,-0.5463,40,-0.0039,24,-0.7611
ENSG00000126709,IFI6,103,0.37479,116,0.78639,52,-0.7040,94,0.21939,66,-0.3733,20,-2.1336,69,-0.2733
ENSG00000009780,FAM76A,39,0.63470,23,-0.2789,6,-2.2648,16,-0.7560,30,0.22124,43,0.76942,33,0.33080
ENSG00000117758,STX12,100,-0.0573,129,0.47875,93,-0.1635,71,-0.5901,106,0.03567,81,-0.3830,91,-0.2012
ENSG00000117751,PPP1R8,15,-0.9019,29,0.12192,10,-1.5349,41,0.64811,24,-0.2258,28,-0.0019,46,0.82640
ENSG00000117748,RPA2,42,0.01641,52,0.46641,19,-1.2400,47,0.17293,41,-0.0567,47,0.16776,28,-0.6513
ENSG00000126698,DNAJC8,242,0.12455,214,-0.0930,312,0.54194,189,-0.2667,215,-0.0731,172,-0.4185,253,0.19405
ENSG00000130770,ATP5IF1,180,-0.9711,487,0.84177,160,-1.1525,150,-1.2484,550,0.95858,190,-0.8919,121,-1.5656
ENSG00000204138,PHACTR4,22,-0.3299,18,-0.7653,9,-1.5892,31,0.16441,10,-1.6196,36,0.44588,102,2.36722
ENSG00000180098,TRNAU1AP,18,0.00570,23,0.48283,3,-2.3562,11,-0.7128,13,-0.5071,21,0.26118,32,0.91516
ENSG00000198492,YTHDF2,92,0.04726,121,0.69191,66,-0.4726,87,-0.0343,84,-0.1045,38,-1.3051,75,-0.2730
ENSG00000116329,OPRD1,26,1.29273,15,0.50062,0,-6.4289,15,0.30309,15,0.40265,0,-6.3916,4,-1.5322
ENSG00000159023,EPB41,28,0.42755,32,0.95269,1,-4.3986,19,-0.1270,23,0.15488,10,-1.0890,11,-1.0292
ENSG00000116350,SRSF4,96,0.23118,69,-0.3696,100,0.29908,79,-0.0729,75,-0.1791,55,-0.6431,144,0.90720
ENSG00000116353,MECR,35,0.50290,35,0.73362,12,-1.1034,21,-0.2981,26,0.02219,11,-1.2422,17,-0.5957
ENSG00000060656,PTPRU,43,1.37531,11,-0.9363,50,1.64923,15,-0.3946,4,-2.3678,36,1.03035,5,-2.0730
ENSG00000162512,SDC3,73,-0.0540,56,-0.5761,71,-0.0961,79,0.07876,52,-0.6329,165,1.32155,94,0.35829
ENSG00000134644,PUM1,254,0.66135,170,0.00313,194,0.21498,156,-0.1358,134,-0.4106,168,-0.0189,147,-0.2235
ENSG00000060688,SNRNP40,14,0.00547,16,0.31343,7,-0.9342,10,-0.5031,8,-0.9501,26,1.02580,18,0.36846
ENSG00000121766,ZCCHC17,154,0.22224,158,0.35016,161,0.28810,62,-1.1868,123,-0.1622,110,-0.3220,137,0.02740
ENSG00000121769,FABP3,54,-0.0184,97,1.38916,34,-0.7512,30,-0.9475,60,0.16649,3,-4.1762,16,-1.8121
ENSG00000162517,PEF1,30,-1.0251,83,0.78327,29,-1.0642,32,-0.9191,84,0.69640,42,-0.5108,33,-0.8745
ENSG00000084636,COL16A1,30,-0.3697,30,-0.4473,29,-0.4312,36,-0.0936,22,-0.9089,73,1.07880,78,1.20261
ENSG00000121753,ADGRB2,224,0.42030,231,0.64138,183,0.09671,131,-0.4379,137,-0.4092,156,-0.1571,67,-1.4588
ENSG00000184007,PTP4A2,185,-0.8464,152,-1.3520,592,1.03830,199,-0.7392,175,-1.0168,314,-0.0247,1089,2.22204
ENSG00000121774,KHDRBS1,96,-0.3577,132,0.18778,124,0.04478,83,-0.5791,130,0.14000,116,-0.0534,129,0.11549
ENSG00000025800,KPNA6,103,0.46685,89,0.29936,56,-0.4909,71,-0.1388,68,-0.2270,55,-0.5206,84,0.13533
ENSG00000084652,TXLNA,35,0.23519,28,-0.1599,21,-0.5222,26,-0.2066,24,-0.3765,34,0.22360,52,0.89400
ENSG00000160050,CCDC28B,6,-1.4469,19,0.37565,1,-3.6260,19,0.29445,22,0.57839,26,0.79474,6,-1.3697
ENSG00000084623,EIF3I,63,-0.2764,98,0.59405,85,0.20670,32,-1.2827,80,0.12231,60,-0.3454,53,-0.5288
