Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000142657,PGD,71,0.78357,51,-0.0279,45,-0.2866,39,-0.4363,14,-1.9983,49,-0.0801
ENSG00000241563,CORT,36,0.66464,10,-1.5074,41,0.88043,2,-3.7551,15,-0.9062,7,-2.0042
ENSG00000160049,DFFA,39,-0.8279,78,0.45800,44,-0.5223,113,1.08426,93,0.74710,71,0.30589
ENSG00000142655,PEX14,25,1.02324,12,-0.4643,18,0.13978,7,-1.2831,3,-2.6063,8,-1.0168
ENSG00000120948,TARDBP,92,0.05729,84,-0.1044,67,-0.5621,110,0.31797,134,0.64762,92,0.03947
ENSG00000271895,AL109811.2,18,0.10923,22,0.40902,12,-0.5678,14,-0.3067,9,-0.9659,33,1.09537
ENSG00000116649,SRM,74,0.31542,56,-0.2395,83,0.50188,37,-0.8625,36,-0.9074,40,-0.7328
ENSG00000171824,EXOSC10,37,-0.1514,30,-0.4261,24,-0.9173,51,0.39766,45,0.19231,91,1.37906
ENSG00000198793,MTOR,56,0.91624,33,-0.2602,36,-0.1629,35,-0.1870,7,-2.4963,24,-0.7807
ENSG00000120942,UBIAD1,13,-0.1749,11,-0.3514,10,-0.5728,26,0.97248,11,-0.4291,25,0.89420
ENSG00000116661,FBXO2,138,-0.1988,232,0.70064,212,0.72780,92,-0.7701,93,-0.7475,55,-1.5465
ENSG00000132879,FBXO44,105,0.59979,61,-0.4494,79,-0.0565,22,-1.9455,55,-0.6214,105,0.39643
ENSG00000116670,MAD2L2,14,-0.0980,15,0.09330,16,0.25991,29,1.16905,7,-0.9910,2,-2.7984
ENSG00000177000,MTHFR,15,-0.4923,26,0.47375,16,-0.3878,16,-0.2462,38,1.12193,23,0.30481
ENSG00000011021,CLCN6,93,0.66414,84,0.26039,59,-0.3408,35,-1.1026,40,-0.8806,73,0.04238
ENSG00000116685,KIAA2013,36,-0.0105,40,0.17875,25,-0.7079,50,0.51883,34,-0.0877,55,0.68307
ENSG00000083444,PLOD1,19,-0.4806,55,1.39529,20,-0.3551,25,0.05011,7,-1.7793,40,0.84604
ENSG00000116688,MFN2,154,0.62407,80,-0.6247,104,-0.2667,76,-0.7055,144,0.29790,86,-0.5027
ENSG00000116691,MIIP,8,-1.3132,31,1.15133,16,0.07097,15,-0.0512,17,0.18372,27,0.91548
ENSG00000048707,VPS13D,112,0.66641,84,-0.0259,54,-0.8542,54,-0.7250,46,-0.9699,149,0.90315
ENSG00000162496,DHRS3,18,-1.4699,127,2.07466,32,-0.3463,30,-0.3816,10,-1.9747,89,1.39938
ENSG00000116731,PRDM2,280,0.48869,159,-0.5629,157,-0.6985,163,-0.5235,343,0.65805,258,0.19271
ENSG00000189337,KAZN,78,0.31459,41,-0.7814,54,-0.4575,124,0.96523,59,-0.2307,55,-0.3403
ENSG00000142634,EFHD2,106,0.62145,79,-0.0647,62,-0.5393,10,-3.1002,94,0.21526,113,0.50465
ENSG00000116138,DNAJC16,59,1.77144,12,-1.4367,18,-1.0521,22,-0.5574,6,-2.5570,25,-0.4147
ENSG00000197312,DDI2,45,0.28886,14,-1.5539,27,-0.7311,32,-0.3247,83,1.22323,48,0.28284
ENSG00000116786,PLEKHM2,75,-0.6968,117,0.18013,158,0.90123,43,-1.3354,155,0.64589,60,-0.8584
ENSG00000065526,SPEN,117,-0.8216,134,-0.4066,67,-1.6770,381,1.30616,471,1.70109,263,0.66604
ENSG00000116809,ZBTB17,12,-0.8046,15,-0.2795,23,0.55559,23,0.43698,29,0.78170,11,-0.7498
ENSG00000037637,FBXO42,38,0.63178,14,-1.1223,17,-0.9212,16,-0.9394,43,0.64738,44,0.65698
ENSG00000055070,SZRD1,22,-0.4001,27,0.03850,27,0.00786,43,0.78875,22,-0.3215,32,0.29795
ENSG00000157191,NECAP2,9,-0.7122,31,1.38594,9,-0.6368,22,0.78537,3,-2.0091,25,1.02053
ENSG00000159363,ATP13A2,165,1.58727,46,-1.1046,74,-0.4680,18,-2.4782,59,-0.7388,37,-1.4141
ENSG00000117118,SDHB,65,0.19010,18,-1.8392,99,1.12783,40,-0.6047,4,-4.0124,39,-0.6498
ENSG00000117115,PADI2,15,-2.4569,87,0.57052,44,-0.5869,273,2.77597,92,0.67265,22,-1.5665
ENSG00000179051,RCC2,34,1.00788,15,-0.6229,22,-0.1450,10,-1.2764,16,-0.5804,12,-0.9640
ENSG00000074964,ARHGEF10L,13,-0.2937,37,1.48455,16,0.15207,6,-1.2810,6,-1.3080,15,0.00040
ENSG00000117154,IGSF21,86,0.84929,49,-0.3514,70,0.25302,8,-2.9633,25,-1.3971,42,-0.5985
ENSG00000159423,ALDH4A1,9,-1.7560,67,1.86657,25,0.22985,20,-0.1815,11,-1.1302,39,0.90719
ENSG00000127481,UBR4,42,-0.3994,39,-0.4141,18,-1.7797,60,0.26800,119,1.42231,118,1.41589
ENSG00000127463,EMC1,50,0.73191,39,0.06676,35,-0.1333,26,-0.5575,11,-1.7858,29,-0.3731
ENSG00000053372,MRTO4,49,0.64643,50,0.45539,34,-0.2136,15,-1.3508,14,-1.4492,37,-0.0184
ENSG00000053371,AKR7A2,26,-0.6244,42,0.31553,50,0.79976,27,-0.3525,15,-1.2368,42,0.31434
ENSG00000077549,CAPZB,172,0.42063,128,-0.1853,155,0.14313,113,-0.3812,76,-0.9906,117,-0.3293
ENSG00000173436,MICOS10,254,-0.4050,389,0.38122,521,1.19833,179,-0.8368,92,-1.8277,136,-1.2493
ENSG00000158747,NBL1,139,0.47355,146,0.39722,110,-0.0734,16,-2.9262,91,-0.3540,117,0.03484
ENSG00000169914,OTUD3,29,0.96727,3,-2.5342,16,-0.4233,7,-1.5103,8,-1.4025,37,0.99787
ENSG00000162545,CAMK2N1,773,-1.1274,1248,-0.1318,2739,1.70758,760,-0.8978,778,-0.8616,827,-0.7692
ENSG00000090432,MUL1,18,0.24539,16,0.00047,16,-0.0682,15,-0.0697,7,-1.2081,20,0.35385
ENSG00000158828,PINK1,442,0.39733,349,-0.1083,500,0.61307,147,-1.4317,200,-0.9671,151,-1.3889
ENSG00000244038,DDOST,26,0.03817,24,-0.1348,35,0.62532,13,-1.0675,4,-2.6916,34,0.44047
ENSG00000117245,KIF17,45,1.76317,14,-0.9032,19,-0.5222,1,-4.5133,8,-1.7511,13,-0.9516
ENSG00000189410,SH2D5,28,0.12549,6,-2.2493,42,1.03765,1,-4.3979,14,-0.9035,30,0.22990
ENSG00000127483,HP1BP3,274,-0.0406,249,-0.1754,185,-0.7645,442,0.75115,374,0.47391,352,0.37333
ENSG00000075151,EIF4G3,313,0.80394,140,-0.7484,126,-1.0714,202,-0.1887,184,-0.3293,347,0.68620
ENSG00000117298,ECE1,12,-1.2350,64,1.76231,11,-1.2204,23,0.04221,32,0.53232,49,1.25817
ENSG00000076864,RAP1GAP,193,1.16932,53,-1.3169,86,-0.6889,15,-3.0927,85,-0.5924,188,0.66075
ENSG00000090686,USP48,106,0.52463,44,-1.0301,46,-1.1258,138,0.78287,115,0.48025,81,-0.0824
ENSG00000070831,CDC42,203,0.59217,115,-0.5017,146,-0.1726,193,0.30766,51,-1.7151,143,-0.1645
ENSG00000173372,C1QA,9,-1.5329,3,-2.7034,52,2.83275,2,-3.2689,17,-0.1866,0,-6.2716
ENSG00000173369,C1QB,7,-2.1184,9,-1.4317,68,3.28659,2,-3.1408,11,-1.1328,2,-3.6744
ENSG00000004487,KDM1A,70,0.51606,47,-0.2685,42,-0.5474,26,-1.1473,44,-0.3808,96,0.87461
ENSG00000169641,LUZP1,215,1.32655,67,-1.0600,91,-0.6983,44,-1.6898,69,-1.0141,146,0.15621
ENSG00000125944,HNRNPR,133,0.11606,97,-0.4232,103,-0.3934,206,0.78976,115,-0.1542,134,0.09033
ENSG00000117318,ID3,8,-1.6582,79,2.41998,13,-0.7325,47,1.39775,6,-1.7089,17,-0.2871
ENSG00000142676,RPL11,319,-0.9353,580,0.22141,746,0.84765,785,0.71740,504,-0.0015,169,-1.6649
ENSG00000011007,ELOA,32,-0.0478,38,0.25066,21,-0.8116,37,0.20622,59,0.95247,34,0.08771
ENSG00000057757,PITHD1,185,0.72593,67,-1.1172,139,0.00266,94,-0.6056,88,-0.6960,117,-0.2586
ENSG00000011009,LYPLA2,17,0.01676,14,-0.3124,18,0.03646,5,-1.7403,17,-0.0414,31,0.96949
ENSG00000117305,HMGCL,15,-0.1200,17,0.14001,22,0.67206,18,0.24206,10,-0.6477,2,-2.5885
ENSG00000189266,PNRC2,58,0.06786,53,-0.1135,63,0.20951,69,0.31406,12,-2.2486,67,0.26321
ENSG00000188529,SRSF10,77,0.19347,64,-0.1486,48,-0.7037,91,0.40618,33,-1.1621,137,1.08606
ENSG00000001461,NIPAL3,130,-0.3185,111,-0.4715,70,-1.3470,415,1.74142,297,1.13011,99,-0.6509
ENSG00000133226,SRRM1,183,-0.8259,93,-1.6486,107,-1.6396,605,1.32997,939,2.17853,317,0.23624
ENSG00000169504,CLIC4,25,-1.4514,58,0.11530,44,-0.4127,248,2.82203,29,-0.9670,28,-1.0280
ENSG00000117614,SYF2,119,-0.3302,159,0.21979,133,-0.0761,190,0.51018,205,0.63254,94,-0.5989
ENSG00000117616,RSRP1,53,-0.5984,69,-0.0492,45,-0.8391,104,0.62576,57,-0.3349,201,1.79373
ENSG00000183726,TMEM50A,78,0.21809,67,-0.0897,91,0.52244,89,0.35350,6,-3.6561,34,-1.1340
ENSG00000204178,MACO1,71,0.45086,23,-1.4254,29,-1.2845,81,0.49575,82,0.52626,93,0.73509
ENSG00000157978,LDLRAP1,4,-1.7400,2,-2.1802,4,-1.8840,56,2.92115,24,1.23017,15,0.43510
ENSG00000117643,MAN1C1,54,0.50860,10,-2.1053,52,0.37858,16,-1.4868,15,-1.5855,64,0.63521
ENSG00000162430,SELENON,23,-0.3727,61,1.31312,25,-0.2055,24,-0.1880,18,-0.6207,33,0.27036
ENSG00000117640,MTFR1L,78,0.37711,71,0.10461,61,-0.1611,35,-1.0060,40,-0.7845,91,0.49450
ENSG00000117632,STMN1,1295,0.86104,325,-1.5986,974,0.10509,949,0.04134,283,-1.8004,509,-0.9227
ENSG00000158008,EXTL1,39,0.38435,18,-0.9737,45,0.61381,0,-5.3061,27,-0.3200,30,-0.1433
ENSG00000142684,ZNF593,55,0.79702,36,-0.1745,40,-0.0061,20,-1.0820,9,-2.2716,36,-0.1416
ENSG00000142669,SH3BGRL3,144,-0.0880,143,-0.0767,179,0.36617,188,0.36822,110,-0.4851,94,-0.7289
ENSG00000158062,UBXN11,13,-0.4521,20,0.35189,23,0.79655,6,-1.5365,5,-1.6131,24,0.61464
ENSG00000117682,DHDDS,30,0.75165,13,-0.7856,15,-0.7321,9,-1.3655,22,-0.0035,35,0.73366
ENSG00000198830,HMGN2,163,-0.4424,304,0.67072,250,0.45454,263,0.43610,137,-0.5950,101,-1.0546
ENSG00000117713,ARID1A,64,-0.5339,135,0.81754,51,-0.8688,119,0.60535,73,-0.1726,166,1.16624
ENSG00000204160,ZDHHC18,25,1.05780,15,-0.1266,11,-0.7355,10,-0.6712,14,-0.2615,9,-0.8404
ENSG00000142751,GPN2,19,0.00797,12,-0.7359,17,-0.2650,21,0.14491,33,0.83637,19,-0.0240
ENSG00000090273,NUDC,246,0.29173,159,-0.4852,293,0.62891,141,-0.6696,127,-0.8301,101,-1.1794
ENSG00000253368,TRNP1,63,0.96149,19,-1.2749,58,0.59363,5,-3.2587,13,-1.7624,16,-1.5387
ENSG00000090020,SLC9A1,35,1.78653,6,-1.6258,18,-0.1556,0,-5.7385,6,-1.7814,4,-2.0760
ENSG00000142784,WDTC1,27,-0.1789,27,-0.1158,30,0.04294,19,-0.6328,44,0.64574,34,0.23839
ENSG00000186501,TMEM222,46,0.23148,27,-0.6490,40,-0.0547,33,-0.3355,43,0.03975,49,0.25531
ENSG00000158195,WASF2,21,-2.3076,198,1.68816,44,-0.9278,240,2.06930,81,0.15159,75,0.02854
ENSG00000126705,AHDC1,46,0.09275,33,-0.4787,28,-0.8665,34,-0.4300,65,0.60714,90,1.15898
ENSG00000126709,IFI6,133,0.13125,275,1.31422,85,-0.7269,118,-0.0979,83,-0.6462,118,-0.0936
ENSG00000009780,FAM76A,23,0.23028,5,-2.1433,13,-0.8169,33,0.69859,14,-0.6394,48,1.33175
ENSG00000117758,STX12,124,0.68857,47,-1.0480,89,-0.1039,100,0.09512,47,-1.0436,75,-0.3447
ENSG00000117751,PPP1R8,34,0.25174,30,-0.0030,30,0.00677,46,0.67745,21,-0.5878,10,-1.6709
ENSG00000117748,RPA2,56,0.29342,98,1.13424,48,-0.0273,27,-0.8947,24,-1.1114,23,-1.1239
ENSG00000126698,DNAJC8,233,0.17336,171,-0.3671,210,-0.0551,252,0.24433,180,-0.2817,211,-0.0328
ENSG00000130770,ATP5IF1,419,0.37471,140,-1.4367,580,1.07749,147,-1.3636,146,-1.3743,88,-2.1209
ENSG00000130766,SESN2,69,2.24138,7,-2.2202,24,-0.6362,3,-3.2781,5,-2.8149,11,-1.6671
ENSG00000204138,PHACTR4,14,-2.0579,24,-0.9085,20,-1.3801,105,1.50305,149,2.19758,79,1.00878
ENSG00000180098,TRNAU1AP,19,-0.5146,23,-0.1168,18,-0.5492,17,-0.5942,18,-0.4984,81,2.08333
ENSG00000120656,TAF12,18,0.56104,7,-1.0394,18,0.47529,12,-0.2613,4,-1.7129,7,-1.0230
ENSG00000198492,YTHDF2,124,1.20999,40,-1.0508,65,-0.3604,64,-0.3202,24,-1.8155,49,-0.7320
ENSG00000159023,EPB41,33,0.62189,11,-1.1966,12,-1.3523,7,-1.9639,25,-0.0348,70,1.72387
ENSG00000116350,SRSF4,93,-0.0799,110,0.21281,58,-0.9299,115,0.28995,174,0.98128,113,0.26016
ENSG00000116353,MECR,26,0.07475,21,-0.2926,30,0.30722,11,-1.3159,31,0.32321,23,-0.1617
ENSG00000060656,PTPRU,19,0.36042,29,0.96493,13,-0.3721,7,-1.2117,17,0.14713,8,-0.9949
ENSG00000162511,LAPTM5,10,-0.7889,24,0.68497,30,1.55001,3,-2.3407,8,-0.9165,3,-2.2983
ENSG00000162512,SDC3,38,-0.9827,129,1.22744,43,-0.6846,86,0.53755,56,-0.1459,128,1.20328
ENSG00000134644,PUM1,206,0.50439,189,0.19168,119,-0.6374,106,-0.7132,188,0.18853,176,0.08285
ENSG00000121766,ZCCHC17,154,0.42726,91,-0.5365,105,-0.3907,142,0.15898,147,0.21140,105,-0.3156
ENSG00000121769,FABP3,65,1.18019,25,-0.8092,39,-0.1434,5,-3.0108,28,-0.6330,25,-0.7677
ENSG00000162517,PEF1,67,0.68106,29,-0.8800,53,0.09055,37,-0.4816,8,-2.7384,58,0.20555
ENSG00000084636,COL16A1,29,-0.4444,30,-0.2696,24,-0.7717,41,0.21536,33,-0.1269,104,1.81044
ENSG00000121753,ADGRB2,190,0.29343,194,0.23443,203,0.39454,30,-2.5724,89,-0.9824,162,-0.0520
ENSG00000184007,PTP4A2,167,-1.4494,343,-0.0428,174,-1.2671,1185,2.13920,951,1.70047,203,-0.8492
ENSG00000121774,KHDRBS1,107,-0.1684,139,0.30060,151,0.55850,149,0.40830,36,-1.7455,65,-0.8849
ENSG00000025800,KPNA6,117,0.64283,57,-0.6962,65,-0.6096,84,-0.1073,75,-0.2896,112,0.34222
ENSG00000084652,TXLNA,31,0.35309,29,0.12472,16,-0.9436,31,0.24137,31,0.24288,31,0.23153
ENSG00000160050,CCDC28B,7,-1.2622,16,0.09599,28,1.47874,10,-0.5860,2,-2.5321,19,0.45507
ENSG00000084623,EIF3I,99,0.43189,63,-0.4092,104,0.48857,76,-0.1366,27,-1.6861,33,-1.4046
ENSG00000116478,HDAC1,9,-1.3356,34,1.06050,13,-0.6227,49,1.69246,25,0.53646,15,-0.2808
ENSG00000175130,MARCKSL1,66,-1.6312,169,0.14368,118,-0.5101,718,2.87094,129,-0.2814,64,-1.3456
ENSG00000160058,BSDC1,55,0.26388,41,-0.2724,36,-0.5951,63,0.39650,51,0.04527,58,0.27425
ENSG00000160062,ZBTB8A,15,-0.3695,7,-1.4212,16,-0.2008,33,0.95839,24,0.45815,26,0.55183
ENSG00000176261,ZBTB8OS,30,-0.3846,28,-0.3834,52,0.78654,33,-0.1593,30,-0.2955,29,-0.3223
ENSG00000162521,RBBP4,117,0.27102,132,0.37741,79,-0.5266,135,0.40600,46,-1.2630,130,0.35470
ENSG00000162522,KIAA1522,6,-1.8954,17,-0.0501,34,1.62096,1,-3.4726,23,0.46640,22,0.34696
ENSG00000134684,YARS,190,1.46762,33,-1.8349,92,-0.3821,29,-2.0263,65,-0.8465,74,-0.6429
ENSG00000116497,S100PBP,10,-0.6557,27,1.08717,10,-0.6415,31,1.29354,8,-0.8384,18,0.37747
ENSG00000160097,FNDC5,48,1.57320,2,-3.7754,34,0.42280,6,-2.2746,1,-4.2574,0,-5.0123
ENSG00000121905,HPCA,162,0.44544,39,-1.8730,209,0.97507,6,-4.5789,83,-0.7469,75,-0.8939
ENSG00000121900,TMEM54,40,0.03170,71,0.96809,52,0.58310,39,-0.0240,2,-4.0396,5,-2.9983
ENSG00000004455,AK2,33,-0.3353,33,-0.2603,38,-0.0124,74,1.07670,17,-1.1965,53,0.50407
ENSG00000142920,AZIN2,28,1.50092,0,-6.2698,12,-0.5792,18,0.15307,1,-3.4273,12,-0.3906
ENSG00000160094,ZNF362,16,-0.6361,28,0.44016,22,0.03476,18,-0.2318,31,0.61082,29,0.49088
ENSG00000134686,PHC2,54,0.04539,44,-0.2725,51,-0.0558,73,0.52973,66,0.36043,27,-1.0023
ENSG00000163866,SMIM12,59,0.77292,25,-0.8529,52,0.35678,21,-1.0777,10,-2.1824,30,-0.5900
ENSG00000116544,DLGAP3,27,-0.6150,31,-0.2301,63,1.28484,2,-3.8922,45,0.38357,19,-0.9203
ENSG00000163867,ZMYM6,29,0.27934,21,-0.2701,24,-0.1100,18,-0.5582,27,0.10792,27,0.07305
ENSG00000116560,SFPQ,207,-0.7938,220,-0.5014,163,-1.1232,428,0.55482,755,1.54446,620,1.18597
ENSG00000146463,ZMYM4,74,0.39371,81,0.40836,55,-0.2708,58,-0.1272,38,-0.7614,53,-0.2547
ENSG00000142687,KIAA0319L,74,0.15175,91,0.44824,54,-0.4778,46,-0.6150,54,-0.3872,112,0.78717
ENSG00000020129,NCDN,562,0.90399,156,-1.4228,461,0.31248,34,-3.6358,200,-1.0486,328,-0.2925
ENSG00000126067,PSMB2,105,0.59126,69,-0.2740,82,-0.0154,75,-0.1431,19,-2.1883,78,-0.0900
ENSG00000142686,C1orf216,101,1.28792,24,-1.4600,55,-0.2586,13,-2.3621,23,-1.5493,64,0.01288
ENSG00000134698,AGO4,18,-0.0397,10,-0.9531,16,-0.2678,14,-0.4521,30,0.75977,30,0.74085
ENSG00000092847,AGO1,33,-0.6588,64,0.58586,35,-0.4651,34,-0.4125,86,1.08390,72,0.76596
ENSG00000126070,AGO3,45,-0.4963,36,-0.7011,29,-1.2233,130,1.38133,102,0.94368,93,0.78960
ENSG00000116863,ADPRHL2,15,0.05419,20,0.52607,13,-0.2449,21,0.58915,3,-2.1247,17,0.27886
