Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000205090,TMEM240,10,-1.2002,19,-0.2430,24,0.06381,22,-0.0364,16,-0.6299,28,0.37092,18,-0.3655,35,0.77367
ENSG00000160075,SSU72,59,-1.4017,93,-0.7220,123,-0.2907,113,-0.4615,153,0.05892,190,0.44185,182,0.33145,204,0.57711
ENSG00000228594,FNDC10,3,-2.8184,15,-0.7528,12,-1.0973,22,-0.2164,17,-0.6615,35,0.60831,43,0.86745,39,0.81525
ENSG00000272106,AL691432.2,7,-1.2215,7,-1.1681,4,-1.9745,21,0.43724,12,-0.4737,14,-0.2656,11,-0.6216,37,1.51421
ENSG00000197530,MIB2,12,-0.9927,7,-1.7602,26,0.19883,8,-1.5812,33,0.63782,32,0.60009,22,-0.0763,31,0.52681
ENSG00000248333,CDK11B,101,1.33417,60,0.46580,46,0.04930,59,0.48538,44,-0.0211,30,-0.6633,28,-0.7307,18,-1.4421
ENSG00000008128,CDK11A,65,1.94788,43,1.20109,8,-1.4177,16,-0.4080,33,0.82697,7,-1.7592,4,-2.4612,8,-1.4173
ENSG00000215790,SLC35E2A,12,-1.2378,36,0.38720,43,0.68351,12,-1.2869,30,0.10206,31,0.19239,20,-0.4887,39,0.57769
ENSG00000008130,NADK,8,-1.3037,16,-0.2108,15,-0.3291,15,-0.3823,23,0.35660,24,0.43439,14,-0.4298,24,0.42168
ENSG00000078369,GNB1,232,-1.1641,453,-0.1450,563,0.19705,495,-0.0088,401,-0.3655,712,0.64739,348,-0.5528,578,0.26342
ENSG00000187730,GABRD,23,-2.6703,81,-0.8277,38,-1.9533,138,-0.0014,132,-0.0877,120,-0.2501,253,0.97750,244,1.05502
ENSG00000067606,PRKCZ,79,-1.0803,98,-0.7659,173,0.11351,133,-0.3290,154,-0.0757,229,0.63215,130,-0.3328,210,0.47655
ENSG00000162585,FAAP20,18,-0.5817,37,0.55926,42,0.75948,7,-1.9430,12,-1.2291,44,0.99202,17,-0.6469,35,0.52709
ENSG00000157933,SKI,37,0.45625,30,0.10258,39,0.53155,26,-0.1083,22,-0.3736,35,0.37890,27,-0.0572,18,-0.7381
ENSG00000157916,RER1,43,-0.1603,20,-1.3001,18,-1.4948,44,-0.1145,47,-0.0043,65,0.55372,48,0.00092,65,0.54114
ENSG00000157911,PEX10,16,-0.0956,8,-1.2240,28,0.74521,7,-1.4642,16,-0.1143,26,0.71118,6,-1.5100,27,0.74292
ENSG00000157870,PRXL2B,6,-2.7223,16,-1.3242,22,-0.8597,31,-0.4101,44,0.18843,56,0.62365,46,0.24607,60,0.77029
ENSG00000177133,PRDM16-DT,15,0.04116,28,0.99274,2,-2.9648,6,-1.3582,4,-2.1571,43,2.12539,5,-1.5535,12,-0.3157
ENSG00000158109,TPRG1L,55,-1.6794,105,-0.7137,156,-0.1018,147,-0.2168,156,-0.1182,203,0.34421,219,0.43394,228,0.55833
ENSG00000130764,LRRC47,43,-0.7085,27,-1.3923,54,-0.3454,66,-0.0487,63,-0.1158,72,0.10496,77,0.19221,106,0.79869
ENSG00000116198,CEP104,103,1.61872,62,0.73012,26,-0.6374,47,0.34290,43,0.15859,28,-0.5363,12,-1.7571,15,-1.5657
ENSG00000198912,C1orf174,14,-0.1444,11,-0.5250,10,-0.6136,9,-0.7635,19,0.40744,13,-0.2288,24,0.73915,20,0.46142
ENSG00000196581,AJAP1,28,-0.3251,42,0.27585,23,-0.6545,53,0.73207,39,0.19017,33,-0.1041,19,-0.9301,30,-0.2846
ENSG00000069424,KCNAB2,37,-2.3677,98,-0.9424,161,-0.1832,158,-0.2378,150,-0.3208,221,0.35044,306,0.85020,257,0.63007
ENSG00000116254,CHD5,72,-1.6452,323,0.65879,200,-0.1049,206,-0.0673,304,0.63251,187,-0.2282,210,-0.0313,185,-0.2516
ENSG00000116251,RPL22,856,0.73777,598,0.15541,1004,1.00639,494,-0.1583,272,-1.1293,729,0.53162,244,-1.2184,404,-0.4935
ENSG00000116237,ICMT,9,-2.1509,18,-1.2358,12,-1.8016,45,0.20822,42,0.08129,55,0.55248,47,0.24729,56,0.58552
ENSG00000097021,ACOT7,35,-2.4151,49,-1.8940,83,-1.1280,241,0.58513,156,-0.1887,116,-0.6758,279,0.76500,307,1.06006
ENSG00000215788,TNFRSF25,1,-3.6043,10,-0.7147,2,-2.6949,17,0.04025,31,1.10735,11,-0.6472,15,-0.1893,27,0.86830
ENSG00000171680,PLEKHG5,2,-3.4778,17,-0.7488,19,-0.6066,33,0.25940,29,0.04698,31,0.18812,24,-0.2629,45,0.84165
ENSG00000162408,NOL9,25,-0.0368,27,0.09024,30,0.22286,18,-0.5979,17,-0.6601,25,-0.0495,43,0.80030,32,0.38205
ENSG00000162413,KLHL21,18,-0.4300,14,-0.8333,18,-0.4851,18,-0.4830,26,0.10331,26,0.09137,33,0.49480,35,0.62727
ENSG00000041988,THAP3,6,-1.0596,7,-0.8665,6,-1.0344,7,-0.8721,9,-0.5150,21,0.85013,21,0.76195,19,0.72449
ENSG00000007923,DNAJC11,22,-0.6134,24,-0.4343,14,-1.2684,27,-0.2774,38,0.28222,41,0.43490,41,0.36927,37,0.22372
ENSG00000171735,CAMTA1,261,-1.0885,800,0.65903,480,-0.1593,585,0.16914,691,0.46783,430,-0.3595,590,0.16511,416,-0.4132
ENSG00000049245,VAMP3,71,2.09413,16,-0.3820,18,-0.2523,4,-2.4471,12,-0.8235,33,0.83855,11,-0.9007,17,-0.3273
ENSG00000049246,PER3,72,0.71410,59,0.40634,32,-0.5404,38,-0.3127,45,-0.0170,65,0.61862,20,-1.2679,35,-0.4355
ENSG00000116288,PARK7,189,-0.6955,245,-0.2986,199,-0.6148,340,0.23980,180,-0.8254,364,0.36199,293,-0.0163,431,0.67923
ENSG00000116285,ERRFI1,13,-0.9579,20,-0.3221,7,-1.7727,15,-0.8284,37,0.71895,29,0.28581,46,0.99069,24,-0.0314
ENSG00000162426,SLC45A1,6,-2.1142,8,-1.5970,3,-2.8302,31,0.40538,17,-0.6283,24,-0.0252,50,1.14557,42,0.97336
ENSG00000142599,RERE,178,0.70266,179,0.71447,118,0.04053,108,-0.1101,101,-0.2285,101,-0.2171,63,-0.9254,111,-0.0577
ENSG00000074800,ENO1,302,-0.3926,327,-0.2716,222,-0.8628,332,-0.2729,261,-0.6694,552,0.62816,438,0.18818,546,0.61029
ENSG00000171612,SLC25A33,9,-1.6840,49,0.86719,21,-0.4724,16,-0.9362,19,-0.6559,52,1.10970,24,-0.2895,33,0.23725
ENSG00000171603,CLSTN1,180,-2.0833,386,-0.9491,473,-0.6405,955,0.51380,900,0.40443,541,-0.4720,826,0.22628,969,0.54056
ENSG00000178585,CTNNBIP1,18,-0.6237,51,0.97150,26,-0.1188,14,-1.0709,13,-1.1861,46,0.91400,27,-0.0540,32,0.26537
ENSG00000162441,LZIC,112,1.09914,89,0.71864,98,0.88082,48,-0.2955,39,-0.6309,49,-0.2596,43,-0.4366,35,-0.8024
ENSG00000130939,UBE4B,53,0.16683,34,-0.4872,31,-0.6432,35,-0.4805,58,0.34675,48,0.03782,60,0.37726,53,0.20554
ENSG00000054523,KIF1B,687,0.73939,500,0.22446,418,-0.0611,373,-0.2581,514,0.29534,373,-0.2603,450,0.05582,319,-0.5213
ENSG00000284642,AL139424.2,9,-0.8503,5,-1.7994,0,-6.0120,8,-1.1133,34,1.37324,18,0.17430,24,0.56730,19,0.28914
ENSG00000142657,PGD,37,-0.4843,29,-0.8603,35,-0.5511,33,-0.7220,44,-0.2471,40,-0.3843,127,1.52939,73,0.65731
ENSG00000241563,CORT,28,-0.2355,41,0.37543,47,0.61748,24,-0.4958,9,-2.0234,25,-0.3855,24,-0.4607,65,1.33009
ENSG00000160049,DFFA,83,0.67628,71,0.44040,68,0.37171,48,-0.1889,45,-0.3006,47,-0.2541,66,0.30675,40,-0.4927
ENSG00000142655,PEX14,6,-1.7932,14,-0.5050,8,-1.2768,16,-0.3321,17,-0.2704,15,-0.4641,43,1.22875,36,1.07537
ENSG00000120948,TARDBP,99,0.22217,54,-0.7241,79,-0.1292,101,0.28047,97,0.20407,83,-0.0636,62,-0.5111,89,0.05410
ENSG00000271895,AL109811.2,5,-1.4360,6,-1.2819,10,-0.4829,16,0.16933,20,0.64629,15,0.05682,9,-0.6257,19,0.50031
ENSG00000116649,SRM,36,-0.5724,46,-0.2142,42,-0.3321,38,-0.5477,34,-0.6859,77,0.69719,46,-0.1993,80,0.76158
ENSG00000171824,EXOSC10,40,0.46370,25,-0.3091,4,-2.7652,33,0.18229,41,0.56811,22,-0.5192,25,-0.3049,37,0.34322
ENSG00000198793,MTOR,22,-0.9839,37,-0.2028,36,-0.2395,51,0.31734,42,0.00166,38,-0.1761,33,-0.4045,59,0.58177
ENSG00000116661,FBXO2,62,-1.3606,90,-0.8077,99,-0.6588,121,-0.3908,77,-1.1065,264,1.01837,217,0.56237,218,0.64295
ENSG00000132879,FBXO44,25,-1.5258,38,-0.8874,43,-0.7144,53,-0.4134,69,0.03188,84,0.37857,66,-0.0491,116,0.97803
ENSG00000177000,MTHFR,6,-1.5155,17,-0.0295,8,-1.1956,15,-0.3061,30,0.94267,23,0.48455,5,-1.7572,20,0.20628
ENSG00000011021,CLCN6,29,-1.4475,72,-0.0677,52,-0.5813,48,-0.7588,92,0.34867,89,0.28214,97,0.38748,100,0.49648
ENSG00000116685,KIAA2013,29,0.42413,18,-0.2616,9,-1.3895,18,-0.2963,15,-0.5783,23,0.09809,24,0.16140,35,0.81645
ENSG00000083444,PLOD1,10,-0.5597,13,-0.0605,4,-1.6628,13,-0.1754,13,-0.1311,21,0.71673,8,-0.7643,20,0.58490
ENSG00000116688,MFN2,71,-0.9927,73,-0.9572,149,0.13164,105,-0.4417,140,0.04761,144,0.08637,188,0.50791,190,0.59278
ENSG00000048707,VPS13D,50,-0.7003,42,-0.9562,55,-0.5731,109,0.57384,109,0.58001,69,-0.2398,88,0.16616,70,-0.2066
ENSG00000162496,DHRS3,13,-0.0088,15,0.21181,4,-1.6918,6,-1.1518,10,-0.5439,21,0.78530,12,-0.1890,21,0.82124
ENSG00000116731,PRDM2,223,-0.1835,360,0.57797,327,0.41946,333,0.50719,400,0.85418,128,-1.1063,170,-0.5987,104,-1.4213
ENSG00000189337,KAZN,80,0.31272,60,-0.1436,58,-0.1804,50,-0.4534,70,0.09923,59,-0.1857,108,0.79499,62,-0.0858
ENSG00000142634,EFHD2,43,-1.1613,66,-0.5204,154,0.82453,32,-1.6747,118,0.43726,88,-0.0872,96,0.07066,136,0.69846
ENSG00000116138,DNAJC16,17,-1.3920,43,-0.0348,12,-1.8889,51,0.23695,61,0.55568,32,-0.5315,68,0.67811,52,0.27270
ENSG00000197312,DDI2,25,-0.6759,43,0.16118,27,-0.5537,41,0.10201,65,0.92793,30,-0.4505,38,-0.0187,31,-0.3801
ENSG00000116786,PLEKHM2,88,-0.2214,158,0.72261,120,0.27611,45,-1.2961,55,-0.9814,183,1.10421,73,-0.5051,103,0.03317
ENSG00000065526,SPEN,386,1.64554,225,0.70713,190,0.43058,168,0.25171,162,0.19106,74,-1.0998,67,-1.1792,33,-2.3390
ENSG00000116809,ZBTB17,20,0.26846,19,0.18437,5,-1.6362,9,-0.8991,17,-0.0005,23,0.58232,15,-0.1356,21,0.40108
ENSG00000037637,FBXO42,16,-0.1766,8,-1.1528,11,-0.7781,11,-0.7207,25,0.54820,22,0.33264,19,0.11869,23,0.41397
ENSG00000055070,SZRD1,37,0.80070,23,0.03092,32,0.53589,9,-1.4794,27,0.28192,28,0.39874,10,-1.1451,20,-0.1671
ENSG00000219481,NBPF1,42,1.50155,15,-0.1296,1,-3.4231,9,-0.9211,24,0.64648,13,-0.4769,19,0.21666,16,-0.1245
ENSG00000159363,ATP13A2,19,-2.2041,29,-1.6065,36,-1.2742,56,-0.6506,97,0.26894,98,0.28243,148,0.92897,133,0.85056
ENSG00000117118,SDHB,39,-0.8310,30,-1.2349,53,-0.3801,62,-0.1506,41,-0.8171,63,-0.1354,124,0.97114,118,1.02320
ENSG00000117115,PADI2,237,3.29586,31,-0.4420,20,-1.1199,11,-2.0864,13,-1.8094,55,0.49809,13,-1.7591,20,-1.2000
ENSG00000179051,RCC2,12,-1.1248,27,0.10941,3,-2.9689,24,-0.0461,11,-1.3006,28,0.19116,54,1.25304,39,0.79673
ENSG00000074964,ARHGEF10L,8,-0.9103,14,-0.1346,14,-0.0778,10,-0.7219,12,-0.3218,24,0.83323,9,-0.7193,21,0.63478
ENSG00000117154,IGSF21,16,-2.1548,21,-1.7493,70,0.08239,44,-0.6835,78,0.27350,74,0.19047,71,0.10096,114,1.00051
ENSG00000159423,ALDH4A1,15,0.13443,17,0.30684,4,-1.8517,8,-0.9402,2,-2.7952,31,1.51228,9,-0.5801,20,0.66388
ENSG00000127481,UBR4,68,0.91926,61,0.72800,21,-0.9246,40,0.09145,60,0.82264,18,-1.1764,31,-0.3148,21,-1.0095
ENSG00000127463,EMC1,24,-0.3710,35,0.18860,42,0.48547,22,-0.5638,23,-0.5370,31,-0.0321,35,0.15732,44,0.59157
ENSG00000053372,MRTO4,31,-0.3008,36,-0.0832,25,-0.6105,43,0.23063,38,0.01890,36,-0.0966,24,-0.6868,52,0.54975
ENSG00000053371,AKR7A2,47,0.75858,19,-0.6456,34,0.25734,14,-1.1672,13,-1.3380,55,1.19904,23,-0.3641,31,0.11500
ENSG00000077549,CAPZB,107,-0.5262,108,-0.5031,156,0.06436,161,0.12133,156,0.07126,142,-0.0889,151,0.01629,179,0.31059
ENSG00000173436,MICOS10,228,-0.5694,375,0.20454,413,0.35968,228,-0.6147,160,-1.1821,568,1.01068,269,-0.3175,378,0.24167
ENSG00000158747,NBL1,55,-1.2695,99,-0.3841,150,0.27022,95,-0.4707,103,-0.3497,159,0.40288,122,-0.0573,189,0.72531
ENSG00000169914,OTUD3,10,-1.1203,15,-0.4701,9,-1.2330,16,-0.3857,33,0.87963,17,-0.2686,28,0.49869,25,0.34953
ENSG00000162545,CAMK2N1,1188,-0.4230,1781,0.21022,1745,0.17818,2682,1.00663,641,-1.4429,2230,0.64533,653,-1.3289,1120,-0.5567
ENSG00000090432,MUL1,17,0.04357,9,-0.8144,12,-0.4580,12,-0.4548,18,0.19868,12,-0.4569,40,1.47508,16,-0.0685
ENSG00000183114,FAM43B,10,-0.6298,13,-0.2891,25,0.74688,6,-1.6006,23,0.69551,14,-0.2470,19,0.31466,18,0.23546
ENSG00000158828,PINK1,159,-1.6198,280,-0.7712,417,-0.1580,483,0.07893,362,-0.4120,584,0.41667,576,0.35071,625,0.54331
ENSG00000244038,DDOST,12,-0.7235,10,-0.9842,5,-1.9602,23,0.31231,15,-0.4600,22,0.19002,25,0.37595,31,0.84190
ENSG00000117245,KIF17,5,-2.3182,19,-0.3915,42,0.81096,19,-0.4894,33,0.47800,25,-0.0325,18,-0.5290,32,0.44801
ENSG00000189410,SH2D5,1,-3.7019,8,-1.5092,19,-0.2857,30,0.44365,18,-0.4186,28,0.32508,30,0.42971,33,0.65326
ENSG00000127483,HP1BP3,431,0.66773,387,0.49152,253,-0.1789,309,0.14669,368,0.45956,186,-0.7035,228,-0.3404,192,-0.6534
ENSG00000075151,EIF4G3,305,-0.1315,344,0.05400,319,-0.0626,415,0.39321,491,0.70809,140,-1.4007,571,0.87923,177,-1.0320
ENSG00000076864,RAP1GAP,33,-1.8832,33,-1.8926,128,0.16202,105,-0.1573,156,0.54213,98,-0.2748,113,-0.0317,179,0.80234
ENSG00000090686,USP48,123,0.50581,94,0.08210,102,0.21636,118,0.49550,133,0.71814,35,-1.4934,77,-0.2302,52,-0.9032
ENSG00000070831,CDC42,159,-0.3367,139,-0.5409,160,-0.3283,164,-0.3098,191,-0.0520,172,-0.2381,251,0.38155,302,0.77528
ENSG00000004487,KDM1A,61,0.12073,53,-0.0876,24,-1.3033,81,0.65989,73,0.45311,40,-0.5521,56,-0.0172,47,-0.3187
ENSG00000169641,LUZP1,56,-1.8182,262,0.53684,146,-0.3880,186,-0.0159,246,0.48220,139,-0.5034,441,1.42189,101,-1.0092
ENSG00000125944,HNRNPR,216,0.68469,91,-0.6779,137,-0.0435,176,0.39484,167,0.29499,119,-0.2848,107,-0.4244,108,-0.4464
ENSG00000142676,RPL11,747,0.69978,421,-0.2159,602,0.34852,397,-0.3333,208,-1.3705,824,0.98707,279,-0.8472,447,-0.1332
ENSG00000011007,ELOA,30,0.15118,32,0.25498,13,-1.1299,26,-0.0894,38,0.57781,24,-0.2248,22,-0.3423,28,0.02811
ENSG00000057757,PITHD1,73,-1.0381,44,-1.7767,72,-1.0715,125,-0.2484,151,0.07801,166,0.24233,190,0.43077,236,0.89727
ENSG00000011009,LYPLA2,8,-1.4795,6,-1.9834,13,-0.8318,22,-0.0641,19,-0.2510,25,0.16091,50,1.30746,31,0.54986
ENSG00000117308,GALE,0,-5.4562,12,-0.4006,18,0.17344,19,0.32432,12,-0.4963,13,-0.3035,20,0.40159,26,0.88270
ENSG00000117305,HMGCL,10,-0.3415,9,-0.5616,11,-0.2794,5,-1.4149,10,-0.4829,20,0.76441,12,-0.0454,22,0.92952
ENSG00000189266,PNRC2,77,0.42146,68,0.23764,63,0.12212,65,0.17330,52,-0.1900,54,-0.1502,41,-0.5318,56,-0.0749
ENSG00000188529,SRSF10,85,0.25406,63,-0.2168,52,-0.4948,66,-0.1474,114,0.83384,56,-0.4213,66,-0.1402,64,-0.2131
ENSG00000001461,NIPAL3,292,1.31510,113,-0.2313,135,0.03438,114,-0.2381,173,0.48889,84,-0.7466,115,-0.2054,90,-0.6256
ENSG00000133226,SRRM1,537,1.55416,415,1.09733,216,0.03176,225,0.09868,261,0.36420,63,-1.9231,122,-0.8461,79,-1.5954
ENSG00000169504,CLIC4,170,3.25099,18,-0.7826,46,0.66277,3,-3.1824,10,-1.7066,38,0.39433,4,-2.9764,11,-1.6175
ENSG00000117614,SYF2,198,0.80975,180,0.65716,146,0.31808,145,0.33876,88,-0.5140,106,-0.2025,91,-0.4170,71,-0.8668
ENSG00000117616,RSRP1,109,0.60564,54,-0.4870,19,-2.0207,48,-0.7466,157,1.41963,44,-0.8528,33,-1.2210,91,0.35216
ENSG00000183726,TMEM50A,85,0.01968,48,-0.8574,80,-0.0796,105,0.39781,84,0.01581,81,-0.0596,80,-0.0626,86,0.04260
ENSG00000204178,MACO1,82,0.42823,65,0.05845,72,0.22617,86,0.56370,91,0.68758,27,-1.3526,60,-0.0726,31,-1.1172
ENSG00000117643,MAN1C1,20,-1.0074,18,-1.1852,5,-2.8722,66,0.97413,36,-0.1176,30,-0.4440,71,0.95850,44,0.23009
ENSG00000162430,SELENON,17,-0.1186,23,0.37109,7,-1.4479,13,-0.5297,18,0.05046,29,0.87246,18,0.03434,15,-0.3110
ENSG00000117640,MTFR1L,39,-0.5961,44,-0.3794,55,-0.0412,33,-0.9129,56,-0.0392,59,0.05822,80,0.53510,85,0.72990
ENSG00000117632,STMN1,952,-0.3626,463,-1.4510,1230,0.03742,1808,0.74436,1263,0.08745,821,-0.6373,843,-0.5495,1570,0.47755
ENSG00000158008,EXTL1,12,-1.6121,25,-0.5431,30,-0.2340,30,-0.2368,43,0.35805,35,0.00292,30,-0.2185,53,0.75309
ENSG00000175087,PDIK1L,11,-0.4253,5,-1.4558,4,-1.6374,9,-0.7857,28,1.26294,10,-0.4808,15,0.09416,20,0.61155
ENSG00000142684,ZNF593,22,-0.6728,23,-0.5522,25,-0.4857,29,-0.2270,27,-0.3484,34,0.03942,60,0.92371,46,0.55769
ENSG00000142669,SH3BGRL3,97,-0.6293,90,-0.7428,134,-0.1227,88,-0.8360,137,-0.0974,188,0.46344,216,0.63425,190,0.47780
ENSG00000158062,UBXN11,6,-1.5224,16,0.00376,23,0.54129,15,-0.1362,9,-1.0119,23,0.58991,10,-0.7644,24,0.67934
ENSG00000117682,DHDDS,8,-1.3739,23,0.23618,3,-2.6254,3,-2.5595,24,0.39788,21,0.15890,39,1.10902,31,0.86517
ENSG00000198830,HMGN2,322,1.26586,129,-0.2301,203,0.48951,130,-0.2360,98,-0.6968,162,0.14720,51,-1.6180,153,0.03856
ENSG00000117713,ARID1A,95,0.56508,74,0.16543,52,-0.3863,79,0.30118,95,0.63386,58,-0.2473,37,-0.8971,39,-0.8704
ENSG00000204160,ZDHHC18,4,-1.8664,9,-0.6767,12,-0.3517,6,-1.4310,17,0.23574,15,0.05307,26,0.89377,25,0.95475
ENSG00000142751,GPN2,9,-1.0528,14,-0.3879,7,-1.3617,24,0.43031,19,0.03430,21,0.19521,17,-0.1402,24,0.44575
ENSG00000090273,NUDC,120,-0.7719,209,0.08333,177,-0.1737,246,0.38570,141,-0.5747,235,0.30095,184,-0.1112,221,0.19364
ENSG00000253368,TRNP1,11,-2.0644,32,-0.5060,32,-0.5090,28,-0.7458,39,-0.2420,60,0.53511,55,0.32914,75,0.96024
ENSG00000090020,SLC9A1,4,-2.3438,7,-1.6665,3,-2.6587,8,-1.4843,20,-0.1057,25,0.33058,44,1.23007,43,1.36623
ENSG00000142784,WDTC1,14,-0.7842,26,0.13810,22,-0.1405,15,-0.6987,26,0.14922,38,0.85701,16,-0.5868,24,0.01897
ENSG00000186501,TMEM222,41,0.26522,19,-0.8968,26,-0.4205,15,-1.3205,32,-0.1257,48,0.58564,34,-0.0181,52,0.72981
ENSG00000158195,WASF2,167,2.76635,55,0.67501,17,-1.0928,16,-1.3341,32,-0.2076,36,-0.0151,11,-1.7647,8,-2.3467
ENSG00000126705,AHDC1,37,0.01916,35,-0.0674,16,-1.2038,30,-0.3393,59,0.87740,47,0.42059,24,-0.6289,28,-0.4727
ENSG00000126709,IFI6,76,-0.6112,50,-1.2486,127,0.17168,51,-1.3124,121,0.10380,88,-0.4296,325,1.77850,134,0.28231
ENSG00000009780,FAM76A,21,-0.2072,18,-0.4885,24,-0.0098,26,0.13946,36,0.68498,18,-0.4865,19,-0.4009,25,0.03606
ENSG00000117758,STX12,98,-0.0490,58,-0.8511,99,-0.0303,95,-0.0961,104,0.04904,85,-0.2857,101,0.00767,143,0.62538
ENSG00000117751,PPP1R8,48,1.06743,18,-0.4852,25,0.00808,23,-0.1103,15,-0.8353,17,-0.5774,22,-0.1646,37,0.69756
ENSG00000117748,RPA2,29,-0.2818,15,-1.2121,28,-0.3158,31,-0.1585,47,0.54381,29,-0.2939,47,0.48129,40,0.26754
ENSG00000126698,DNAJC8,314,0.44639,340,0.57716,254,0.10589,265,0.19323,242,0.03697,186,-0.4099,221,-0.1113,165,-0.6022
ENSG00000130770,ATP5IF1,169,-1.4627,290,-0.6502,241,-0.9297,586,0.50474,251,-0.9351,430,-0.0437,522,0.26748,771,1.03642
ENSG00000204138,PHACTR4,95,2.33918,45,0.96139,17,-0.5529,14,-0.9496,28,0.20470,16,-0.7028,2,-3.5585,11,-1.2423
ENSG00000180098,TRNAU1AP,22,0.18944,17,-0.1360,7,-1.4406,9,-1.2124,27,0.59608,18,-0.1061,21,0.15461,27,0.63577
ENSG00000120656,TAF12,10,-0.5763,10,-0.6482,8,-0.9042,13,-0.2220,19,0.37768,20,0.53599,12,-0.3916,18,0.31432
ENSG00000198492,YTHDF2,72,-0.3820,69,-0.4361,92,0.00182,105,0.23185,120,0.47601,74,-0.3644,91,-0.0109,90,-0.0347
ENSG00000159023,EPB41,18,-0.8314,54,0.84126,19,-0.7913,24,-0.4750,59,1.12844,17,-1.0535,43,0.46910,25,-0.3983
ENSG00000116350,SRSF4,141,0.87843,87,0.10432,63,-0.4027,95,0.26712,100,0.35704,58,-0.5636,81,-0.0196,51,-0.7844
ENSG00000116353,MECR,16,-0.8536,16,-0.8562,17,-0.7890,24,-0.2567,23,-0.3322,26,-0.1054,52,0.99966,45,0.83716
ENSG00000060656,PTPRU,10,-0.7478,9,-0.8036,23,0.53609,7,-1.3503,28,0.98851,16,-0.0187,23,0.52335,14,-0.2331
ENSG00000162512,SDC3,98,0.65076,89,0.48374,56,-0.2405,42,-0.7307,66,0.00098,89,0.54595,43,-0.6580,53,-0.3446
ENSG00000134644,PUM1,101,-0.7825,157,-0.1017,165,-0.0324,188,0.19956,230,0.55823,162,-0.0607,162,-0.0551,135,-0.3647
ENSG00000121766,ZCCHC17,161,0.23461,105,-0.4304,132,-0.0829,205,0.70047,178,0.44524,106,-0.4584,101,-0.4987,95,-0.6319
