Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000272106,AL691432.2,34,0.87600,13,-0.5746,11,-0.8417,20,0.01385,26,0.45347,14,-0.5279,19,-0.0348,19,-0.0645,10,-1.0541,22,0.15038,23,0.25328
ENSG00000197530,MIB2,10,-1.4530,20,-0.4421,19,-0.5204,28,0.09007,39,0.69092,40,0.65813,31,0.25827,15,-0.8905,21,-0.3177,25,-0.0490,30,0.19451
ENSG00000248333,CDK11B,42,1.35295,9,-1.0841,14,-0.3648,5,-1.7923,12,-0.7392,14,-0.4067,19,0.04222,13,-0.5596,11,-0.7242,47,1.53983,23,0.33441
ENSG00000189339,SLC35E2B,18,-0.4371,16,-0.6073,43,0.94264,20,-0.2533,27,0.22937,29,0.29673,21,-0.1629,23,-0.0350,13,-0.8928,31,0.40313,17,-0.5051
ENSG00000215790,SLC35E2A,39,0.22824,33,-0.0378,45,0.46727,25,-0.4473,30,-0.1993,65,1.05103,34,0.02947,30,-0.1726,28,-0.2699,30,-0.1774,15,-1.2291
ENSG00000008130,NADK,31,0.47319,26,0.16093,11,-1.0510,10,-1.2649,39,0.93790,33,0.57129,15,-0.6829,21,-0.1675,15,-0.6426,16,-0.5189,22,-0.1031
ENSG00000078369,GNB1,395,-0.3500,679,0.50547,464,-0.0990,492,-0.0100,459,-0.1273,639,0.40810,618,0.35488,646,0.42451,377,-0.4204,432,-0.2123,275,-0.9012
ENSG00000187730,GABRD,92,-0.7187,159,0.13116,197,0.46982,183,0.35494,207,0.61871,172,0.25118,81,-0.9160,277,1.03446,149,0.02170,24,-2.6958,12,-3.6333
ENSG00000067606,PRKCZ,144,-0.0941,188,0.32775,180,0.25829,157,0.04159,172,0.20531,222,0.59487,170,0.16385,122,-0.3543,125,-0.3180,85,-0.8943,99,-0.6728
ENSG00000162585,FAAP20,28,0.18108,30,0.23711,22,-0.2468,8,-1.6153,15,-0.8730,37,0.60105,28,0.14040,30,0.23912,21,-0.2876,32,0.36778,39,0.68993
ENSG00000157933,SKI,6,-1.7239,24,0.39414,32,0.85136,9,-1.1686,28,0.69298,16,-0.2244,7,-1.4607,15,-0.3253,9,-1.1723,39,1.15961,14,-0.4352
ENSG00000157916,RER1,78,0.19350,59,-0.2422,44,-0.6812,93,0.47150,63,-0.1516,64,-0.1368,67,-0.0539,69,-0.0090,57,-0.2932,73,0.08152,100,0.58138
ENSG00000157911,PEX10,16,-0.4687,20,-0.0963,19,-0.2301,31,0.58626,21,-0.0487,18,-0.2544,19,-0.1725,25,0.22240,14,-0.6894,24,0.16523,31,0.56730
ENSG00000149527,PLCH2,2,-3.1550,19,0.17503,26,0.69127,13,-0.4294,33,1.23767,29,0.87657,1,-4.0586,22,0.40954,5,-1.8779,9,-0.9533,12,-0.5125
ENSG00000157881,PANK4,20,0.45706,8,-0.9243,25,0.76185,19,0.38454,17,0.20975,17,0.20608,16,0.05134,15,-0.0434,12,-0.2945,5,-1.5755,10,-0.6386
ENSG00000157870,PRXL2B,12,-1.5586,39,0.23063,34,-0.0001,40,0.26635,58,0.99711,42,0.33172,18,-0.9190,31,-0.1496,30,-0.1644,32,-0.0888,11,-1.6360
ENSG00000158109,TPRG1L,171,-0.1853,242,0.35952,204,0.08521,257,0.45369,214,0.17858,247,0.39479,180,-0.1055,174,-0.1645,194,0.00758,164,-0.2529,55,-1.8894
ENSG00000116213,WRAP73,7,-1.1646,15,-0.1097,12,-0.4663,33,1.18201,22,0.61235,17,0.08781,13,-0.3403,10,-0.6807,13,-0.3045,10,-0.7045,16,0.05455
ENSG00000130764,LRRC47,88,0.14560,70,-0.2007,79,-0.0200,99,0.33860,81,0.02366,103,0.40689,97,0.30557,77,-0.0620,79,-0.0256,56,-0.5344,49,-0.7506
ENSG00000116198,CEP104,42,0.81885,11,-1.2098,15,-0.7504,18,-0.4987,14,-0.9940,16,-0.6911,23,-0.1439,20,-0.3838,21,-0.2385,51,1.13667,57,1.35269
ENSG00000198912,C1orf174,16,0.05045,15,-0.0118,21,0.47129,14,-0.1738,16,0.09089,15,-0.0885,11,-0.4607,21,0.48748,13,-0.3133,15,-0.0533,12,-0.3484
ENSG00000196581,AJAP1,64,0.87655,35,-0.1073,26,-0.5456,33,-0.1888,61,0.90751,31,-0.2645,33,-0.1823,49,0.43050,18,-1.0630,16,-1.2797,19,-1.0385
ENSG00000069424,KCNAB2,116,-0.5739,203,0.29981,205,0.31326,202,0.28922,207,0.36230,258,0.68868,154,-0.1437,158,-0.1037,201,0.28067,86,-1.0295,24,-2.9173
ENSG00000116254,CHD5,149,0.30494,145,0.25900,133,0.12966,178,0.59968,151,0.36570,136,0.15828,99,-0.3301,133,0.13306,109,-0.1793,63,-1.0282,25,-2.3691
ENSG00000116251,RPL22,512,-0.2535,962,0.75575,468,-0.3928,360,-0.7941,598,-0.0115,543,-0.1622,714,0.27068,492,-0.3155,357,-0.8038,802,0.45809,819,0.49246
ENSG00000116237,ICMT,26,-0.7998,37,-0.2797,45,0.03099,65,0.60464,60,0.53719,59,0.45516,63,0.56850,33,-0.4587,25,-0.8675,35,-0.3576,23,-0.9836
ENSG00000097021,ACOT7,200,-0.4287,218,-0.2981,157,-0.7966,436,0.80849,253,-0.0734,350,0.44967,276,0.06963,331,0.35870,483,0.98193,128,-1.1048,83,-1.7466
ENSG00000215788,TNFRSF25,24,-0.2261,35,0.37267,57,1.17339,47,0.87524,49,1.05657,21,-0.4146,8,-1.8436,16,-0.8290,13,-1.1341,10,-1.5159,2,-3.5108
ENSG00000171680,PLEKHG5,22,0.16780,29,0.62223,21,0.09846,24,0.32493,35,1.04736,18,-0.1490,10,-1.0000,10,-1.0639,20,0.07270,8,-1.2261,3,-2.5198
ENSG00000162408,NOL9,29,0.23373,34,0.48701,25,0.00482,21,-0.2069,26,0.09002,36,0.61946,22,-0.1504,19,-0.4309,10,-1.2890,19,-0.3564,28,0.20251
ENSG00000162413,KLHL21,21,-0.7457,20,-0.7998,27,-0.3431,41,0.31808,31,-0.1479,50,0.62696,17,-1.0148,45,0.46634,35,0.06863,45,0.44724,42,0.32606
ENSG00000116273,PHF13,6,-1.0492,8,-0.6407,13,0.02662,16,0.27950,20,0.75420,17,0.44010,7,-0.8795,12,-0.1175,11,-0.2856,14,0.11527,11,-0.2028
ENSG00000041988,THAP3,27,0.66328,12,-0.5325,21,0.28190,23,0.40016,15,-0.2951,27,0.69833,16,-0.1190,11,-0.6660,9,-1.0213,21,0.26506,14,-0.3428
ENSG00000007923,DNAJC11,24,-0.2337,23,-0.2920,26,-0.0938,22,-0.3022,42,0.75999,33,0.31156,11,-1.3157,40,0.60755,16,-0.8194,37,0.46696,13,-1.1234
ENSG00000171735,CAMTA1,478,0.91938,261,-0.0617,200,-0.4716,221,-0.3157,291,0.12357,277,0.03254,234,-0.2310,379,0.53647,320,0.26320,191,-0.5411,110,-1.3672
ENSG00000049245,VAMP3,35,0.19907,21,-0.5687,23,-0.4204,4,-2.8364,10,-1.6880,12,-1.4334,4,-2.7712,8,-1.9794,5,-2.5318,71,1.37612,163,3.10273
ENSG00000049246,PER3,23,-0.4746,35,0.14876,29,-0.1539,15,-1.0938,37,0.25498,27,-0.2462,28,-0.1993,32,-0.0138,9,-1.8336,61,1.05134,49,0.68355
ENSG00000116288,PARK7,362,-0.2597,389,-0.1476,549,0.39884,420,-0.0283,393,-0.1422,426,-0.0050,500,0.24807,413,-0.0548,576,0.47562,387,-0.1547,321,-0.4451
ENSG00000116285,ERRFI1,12,-1.2545,14,-0.9647,18,-0.6687,45,0.78999,37,0.52085,45,0.80186,15,-0.8809,35,0.37019,33,0.27451,16,-0.8028,22,-0.3107
ENSG00000162426,SLC45A1,42,0.63732,21,-0.4390,14,-1.0334,33,0.22191,29,0.07385,39,0.51052,37,0.41414,26,-0.1016,34,0.29629,22,-0.4060,12,-1.3024
ENSG00000142599,RERE,130,0.21052,142,0.35491,166,0.60821,86,-0.4299,108,-0.0822,120,0.08414,71,-0.7173,121,0.09647,78,-0.5821,133,0.24831,100,-0.2018
ENSG00000074800,ENO1,535,0.17195,484,0.01259,235,-1.0919,427,-0.1839,427,-0.1995,359,-0.4521,644,0.46910,538,0.17978,531,0.15892,840,0.90785,314,-0.6583
ENSG00000171612,SLC25A33,20,-0.4891,38,0.48319,18,-0.6609,22,-0.3408,25,-0.2076,19,-0.5758,32,0.19544,39,0.52199,27,-0.0462,46,0.78902,24,-0.1954
ENSG00000171603,CLSTN1,1210,0.52617,772,-0.1885,828,-0.0795,1293,0.63486,960,0.17092,1165,0.46414,915,0.07890,801,-0.1313,782,-0.1689,558,-0.6876,206,-2.1738
ENSG00000178585,CTNNBIP1,24,-0.4019,47,0.66896,35,0.21845,24,-0.4030,14,-1.2750,41,0.47675,63,1.16925,27,-0.1920,19,-0.7192,22,-0.4995,38,0.36044
ENSG00000162441,LZIC,63,0.10569,34,-0.8317,60,0.05041,27,-1.1461,40,-0.6484,33,-0.8764,42,-0.5084,91,0.70768,41,-0.5616,96,0.79945,136,1.39083
ENSG00000162444,RBP7,9,-0.7471,0,-5.9840,0,-6.0817,0,-8.1782,0,-8.4114,1,-3.1310,7,-1.1477,0,-7.4068,3,-2.3723,24,0.81269,133,4.96678
ENSG00000130939,UBE4B,36,-0.1394,39,0.00371,24,-0.7574,62,0.75776,30,-0.4301,52,0.46694,40,0.05948,50,0.39149,41,0.07197,20,-0.9686,42,0.12842
ENSG00000054523,KIF1B,349,0.03414,334,-0.0348,270,-0.3654,294,-0.2353,251,-0.5187,299,-0.2093,440,0.40399,413,0.30378,284,-0.2873,350,0.03908,563,0.80807
ENSG00000142657,PGD,61,0.21647,46,-0.2218,38,-0.5345,46,-0.2365,43,-0.3766,80,0.64536,39,-0.4836,66,0.32455,87,0.77782,54,0.01703,39,-0.4811
ENSG00000241563,CORT,509,4.12661,44,-0.6827,48,-0.5586,9,-2.9270,46,-0.6687,34,-1.0899,2,-4.9947,42,-0.7564,30,-1.2348,7,-3.3399,8,-3.1485
ENSG00000160049,DFFA,39,-0.1434,48,0.18415,31,-0.4941,32,-0.4722,33,-0.4544,40,-0.1070,26,-0.7590,45,0.08490,42,-0.0216,61,0.54543,86,1.11756
ENSG00000142655,PEX14,30,0.40865,17,-0.4135,19,-0.2717,48,1.20919,26,0.25791,23,0.03361,7,-1.6325,21,-0.1293,21,-0.1549,22,-0.0378,12,-0.9639
ENSG00000120948,TARDBP,116,0.47269,76,-0.1961,68,-0.3641,95,0.14737,89,0.04288,96,0.17433,104,0.28681,62,-0.5136,67,-0.3855,73,-0.2610,102,0.25494
ENSG00000271895,AL109811.2,23,0.50368,22,0.39634,23,0.47555,12,-0.5276,27,0.82891,19,0.17969,7,-1.2092,20,0.27755,9,-0.8997,5,-1.7234,8,-1.0671
ENSG00000116649,SRM,53,-0.0475,71,0.43148,70,0.39594,59,0.13859,77,0.63439,52,-0.0702,34,-0.7176,42,-0.4014,38,-0.5312,54,0.00580,23,-1.2866
ENSG00000171824,EXOSC10,27,-0.5780,30,-0.4103,37,-0.1043,41,0.06245,38,-0.0465,40,0.02885,38,-0.0570,60,0.67758,32,-0.3303,48,0.31714,43,0.12712
ENSG00000198793,MTOR,58,-0.0518,43,-0.5337,47,-0.3999,72,0.27005,70,0.24469,88,0.60489,107,0.93035,60,-0.0008,43,-0.5098,39,-0.6657,28,-1.1702
ENSG00000116661,FBXO2,43,-1.8971,262,0.87279,139,-0.1505,189,0.33873,173,0.22320,143,-0.0993,63,-1.3522,119,-0.3906,187,0.32105,248,0.78580,92,-0.7752
ENSG00000132879,FBXO44,73,-0.2917,98,0.17222,69,-0.3763,105,0.28785,133,0.74901,111,0.36493,102,0.22969,82,-0.1138,71,-0.3235,45,-1.0242,33,-1.4645
ENSG00000116670,MAD2L2,5,-1.4048,15,0.10565,14,-0.0222,12,-0.1838,20,0.61805,15,0.04649,8,-0.7878,11,-0.3565,11,-0.3709,11,-0.3322,26,0.97277
ENSG00000177000,MTHFR,16,0.28756,20,0.67057,17,0.40680,15,0.16421,21,0.80841,6,-1.1205,6,-1.0734,8,-0.8060,7,-0.9239,7,-0.8597,14,0.11974
ENSG00000011021,CLCN6,80,0.32905,58,-0.1839,72,0.16221,53,-0.3244,55,-0.2935,106,0.77738,66,0.02644,101,0.70280,61,-0.0926,27,-1.3097,47,-0.4920
ENSG00000116685,KIAA2013,19,-0.6369,23,-0.3449,11,-1.4922,29,-0.0131,33,0.17430,21,-0.4837,26,-0.1610,34,0.20771,27,-0.1300,44,0.65337,52,0.92096
ENSG00000083444,PLOD1,24,-0.1312,18,-0.5327,25,-0.0785,20,-0.3654,16,-0.7669,33,0.40786,24,-0.1410,28,0.09896,19,-0.4759,46,0.94246,41,0.73316
ENSG00000116688,MFN2,69,-0.8265,122,0.05547,152,0.40583,170,0.58584,126,0.12436,187,0.74639,90,-0.4197,130,0.16263,121,0.05021,50,-1.2886,68,-0.8458
ENSG00000048707,VPS13D,88,0.10493,78,-0.0795,60,-0.4835,113,0.50604,65,-0.3974,80,-0.0435,129,0.72216,100,0.31146,75,-0.1377,92,0.18135,41,-1.0562
ENSG00000162496,DHRS3,15,-0.2125,11,-0.6066,15,-0.1658,9,-0.9109,17,0.00490,4,-2.0121,3,-2.2755,4,-2.0583,20,0.26334,71,2.52991,16,-0.0996
ENSG00000116731,PRDM2,288,1.21272,106,-0.4073,112,-0.3194,148,0.11881,128,-0.1247,125,-0.1523,173,0.36813,160,0.24022,108,-0.3716,78,-0.8713,96,-0.5494
ENSG00000189337,KAZN,47,-0.3606,49,-0.2923,60,0.00848,48,-0.3339,50,-0.2837,89,0.64631,40,-0.6117,73,0.32859,69,0.23587,41,-0.5669,97,0.77857
ENSG00000142634,EFHD2,184,1.58615,54,-0.4207,30,-1.2944,43,-0.7643,6,-3.7360,141,1.11472,159,1.32955,72,0.02784,64,-0.1700,64,-0.1594,30,-1.3111
ENSG00000116138,DNAJC16,50,0.53291,22,-0.7193,28,-0.3724,57,0.72735,49,0.53401,25,-0.5785,38,0.08241,47,0.43519,30,-0.2941,13,-1.5102,24,-0.6203
ENSG00000197312,DDI2,54,1.30062,17,-0.5077,38,0.71568,14,-0.8551,18,-0.4945,30,0.33470,28,0.22495,24,-0.0266,24,-0.0089,9,-1.5129,17,-0.5023
ENSG00000116786,PLEKHM2,35,-1.1562,150,1.14586,122,0.79080,64,-0.2349,71,-0.0726,112,0.64888,55,-0.4787,51,-0.5953,60,-0.3460,47,-0.7159,57,-0.4111
ENSG00000065526,SPEN,103,0.46905,41,-0.9588,50,-0.6490,45,-0.8333,46,-0.8286,32,-1.3214,65,-0.2590,66,-0.2434,46,-0.7869,210,1.68905,171,1.32245
ENSG00000116809,ZBTB17,26,0.82532,18,0.22064,16,0.05531,13,-0.2592,8,-1.0446,25,0.73109,9,-0.7416,12,-0.3921,11,-0.4851,17,0.10739,23,0.61939
ENSG00000037637,FBXO42,35,0.78144,13,-0.7877,20,-0.0939,17,-0.4130,25,0.27590,17,-0.3849,26,0.25956,14,-0.6600,25,0.21100,30,0.48375,13,-0.7332
ENSG00000055070,SZRD1,0,-4.4447,32,0.83064,19,0.03556,6,-1.7007,12,-0.7845,15,-0.3738,18,-0.0708,15,-0.3399,7,-1.3658,45,1.39305,47,1.46984
ENSG00000159363,ATP13A2,78,0.03875,101,0.46313,70,-0.1107,71,-0.0975,82,0.13941,135,0.94282,43,-0.8464,53,-0.5365,124,0.79546,39,-0.9981,28,-1.5036
ENSG00000117118,SDHB,66,-0.7318,88,-0.2926,119,0.18249,102,-0.0615,108,0.03381,82,-0.3927,97,-0.1408,158,0.63831,179,0.84776,69,-0.6633,96,-0.1520
ENSG00000117115,PADI2,55,0.51993,30,-0.4587,17,-1.2704,4,-3.2186,10,-2.1980,7,-2.5973,14,-1.5528,15,-1.4524,1,-4.6101,89,1.31696,227,3.28322
ENSG00000179051,RCC2,7,-1.9028,38,0.60963,31,0.28510,27,0.07436,32,0.33866,51,1.10633,8,-1.7171,20,-0.3653,29,0.18933,11,-1.2397,24,-0.1037
ENSG00000074964,ARHGEF10L,7,-0.9527,16,0.37432,22,0.81055,8,-0.7812,16,0.34522,21,0.79902,10,-0.4408,12,-0.1524,5,-1.4438,18,0.47718,6,-1.1348
ENSG00000117154,IGSF21,127,1.00041,69,-0.0005,69,0.01235,95,0.52216,75,0.14192,50,-0.4883,91,0.45106,53,-0.3959,63,-0.1371,32,-1.1704,26,-1.4892
ENSG00000159423,ALDH4A1,0,-6.4897,22,0.55221,15,-0.0923,9,-0.7601,10,-0.6460,17,0.11087,8,-0.9013,18,0.21455,4,-1.9255,50,1.97238,23,0.59850
ENSG00000127481,UBR4,40,1.13288,12,-0.6975,20,0.04386,9,-1.1000,13,-0.6876,23,0.21672,13,-0.6092,22,0.13641,12,-0.7718,38,1.05010,22,0.16090
ENSG00000127463,EMC1,20,-0.6138,20,-0.6064,34,0.20191,31,0.04267,37,0.40447,43,0.57307,28,-0.1102,23,-0.3674,19,-0.6496,36,0.30120,28,-0.0674
ENSG00000053372,MRTO4,45,0.41098,42,0.30326,25,-0.5084,30,-0.2084,35,0.04325,37,0.12171,27,-0.3908,26,-0.4528,43,0.36669,48,0.51377,21,-0.7739
ENSG00000053371,AKR7A2,20,-0.5268,25,-0.2278,21,-0.4879,24,-0.2652,32,0.19090,13,-1.1557,18,-0.7014,34,0.26738,18,-0.7288,66,1.36936,41,0.56543
ENSG00000077549,CAPZB,160,0.16042,123,-0.2550,133,-0.1291,132,-0.1390,170,0.28359,114,-0.3713,141,-0.0405,137,-0.0863,191,0.44625,155,0.11424,108,-0.4437
ENSG00000173436,MICOS10,211,-1.0480,725,0.89636,474,0.20379,454,0.13469,408,-0.0360,527,0.37351,322,-0.4004,533,0.39036,407,-0.0368,277,-0.6303,256,-0.7507
ENSG00000158747,NBL1,151,0.07880,192,0.46616,108,-0.4442,172,0.28991,131,-0.1569,188,0.42833,120,-0.2816,153,0.10178,139,-0.0445,166,0.23349,70,-1.0869
ENSG00000169914,OTUD3,22,-0.0178,14,-0.7675,10,-1.2166,21,-0.1242,26,0.20930,43,1.02607,41,0.96518,27,0.26739,21,-0.1217,16,-0.5583,6,-1.9080
ENSG00000162545,CAMK2N1,646,-1.1632,2677,1.08325,1477,0.10637,972,-0.5452,3009,1.51044,557,-1.3845,632,-1.1968,1104,-0.3494,494,-1.5628,1225,-0.1880,772,-0.8961
ENSG00000090432,MUL1,35,0.61316,21,-0.2074,36,0.66731,29,0.30596,17,-0.5359,18,-0.4218,23,-0.0179,18,-0.4011,20,-0.2387,23,-0.0497,27,0.18913
ENSG00000183114,FAM43B,37,1.32879,21,0.39565,10,-0.7050,4,-2.0498,2,-3.0168,23,0.48323,31,0.98860,34,1.14807,13,-0.3754,17,0.07279,4,-1.9594
ENSG00000158828,PINK1,441,-0.1178,512,0.11556,529,0.16694,570,0.28704,454,-0.0809,749,0.73164,527,0.16200,311,-0.6563,708,0.63811,283,-0.7984,171,-1.5590
ENSG00000244038,DDOST,32,0.23602,15,-0.9245,30,0.13367,30,0.16871,23,-0.2440,29,0.10666,28,0.04622,33,0.32404,32,0.28307,23,-0.2181,26,-0.0549
ENSG00000117245,KIF17,26,0.22350,21,-0.1024,10,-1.1503,33,0.59271,11,-1.1036,47,1.18650,42,1.00374,26,0.20593,23,-0.0053,12,-0.9267,8,-1.4734
ENSG00000189410,SH2D5,22,-0.6869,41,0.25999,24,-0.5367,46,0.45683,71,1.34558,45,0.39519,17,-1.0677,23,-0.6308,44,0.36098,13,-1.5045,0,-5.4434
ENSG00000127483,HP1BP3,421,0.87275,136,-0.9050,315,0.39464,117,-1.1355,222,-0.1724,166,-0.6075,270,0.14870,231,-0.0965,168,-0.5924,324,0.44012,357,0.59730
ENSG00000075151,EIF4G3,406,0.87495,98,-1.3370,276,0.24448,243,0.04475,178,-0.4771,132,-0.8933,294,0.34468,284,0.28923,399,0.84615,163,-0.5735,186,-0.3728
ENSG00000117298,ECE1,6,-1.5160,8,-1.0373,32,1.09540,14,-0.2174,15,-0.0914,12,-0.4740,8,-1.0805,7,-1.2282,12,-0.4448,33,1.14290,32,1.10723
ENSG00000076864,RAP1GAP,238,0.63550,122,-0.4169,190,0.27303,213,0.45352,117,-0.5310,286,0.93979,217,0.48203,92,-0.8523,121,-0.4289,147,-0.1333,62,-1.4435
ENSG00000090686,USP48,151,1.06790,44,-0.8857,41,-0.9777,70,-0.1759,59,-0.4846,65,-0.2980,86,0.14088,61,-0.3928,62,-0.3530,101,0.39433,143,0.97364
ENSG00000070831,CDC42,207,-0.1436,178,-0.3749,201,-0.1888,323,0.56430,219,-0.0646,205,-0.1600,277,0.31725,226,-0.0089,302,0.45586,130,-0.8578,237,0.06928
ENSG00000173369,C1QB,1,-3.1999,16,-0.0501,66,2.42506,5,-1.8198,9,-0.9924,7,-1.2027,8,-1.1044,6,-1.5222,3,-2.2342,44,1.64910,23,0.51427
ENSG00000004487,KDM1A,81,0.61404,35,-0.6797,58,0.06828,64,0.23911,70,0.42100,51,-0.1351,56,0.01715,42,-0.4258,61,0.14899,41,-0.4531,34,-0.7555
ENSG00000169641,LUZP1,114,0.12079,86,-0.3228,81,-0.4085,112,0.09675,89,-0.2843,110,0.05827,89,-0.2711,205,1.07991,199,1.02891,70,-0.6445,24,-2.2019
ENSG00000125944,HNRNPR,223,0.78516,74,-0.9404,147,0.10888,111,-0.3310,120,-0.2268,54,-1.4279,160,0.24167,136,-0.0106,121,-0.2028,150,0.14138,231,0.83865
ENSG00000117318,ID3,0,-8.1151,23,0.43629,15,-0.2364,1,-3.3775,3,-2.7217,10,-0.7991,1,-3.4425,0,-4.4247,3,-2.5855,122,3.90504,26,0.67450
ENSG00000142676,RPL11,283,-0.9348,889,0.87286,663,0.38991,357,-0.5794,507,-0.0397,511,-0.0243,332,-0.6883,484,-0.1111,389,-0.4478,647,0.35081,659,0.37952
ENSG00000011007,ELOA,28,0.32719,16,-0.5204,22,0.00286,19,-0.2225,26,0.26955,20,-0.2009,32,0.55604,13,-0.7902,13,-0.7749,20,-0.1864,33,0.61810
ENSG00000057757,PITHD1,121,-0.5970,161,-0.1560,183,0.04566,210,0.26739,189,0.10604,306,0.88215,162,-0.1437,194,0.14448,200,0.19019,96,-0.9407,120,-0.6079
ENSG00000011009,LYPLA2,14,-1.0779,26,-0.1281,42,0.62979,31,0.16903,37,0.49771,31,0.15759,13,-1.1067,34,0.30503,38,0.47174,14,-1.0911,20,-0.5299
ENSG00000117308,GALE,23,0.35947,11,-0.6994,17,-0.1328,11,-0.7474,23,0.40721,30,0.79957,22,0.31945,15,-0.3362,34,0.98420,3,-2.3627,6,-1.5801
