Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000177133,PRDM16-DT,12,-0.7160,15,-0.4148,30,0.69879,25,0.36976,14,-0.5904,24,0.31465,4,-2.2985,71,2.23342,8,-1.2609
ENSG00000158109,TPRG1L,131,-0.5730,207,0.17593,242,0.43220,172,-0.1101,213,0.25264,266,0.58476,244,0.49502,102,-0.9117,51,-1.9481
ENSG00000116213,WRAP73,12,0.10497,6,-0.9427,4,-1.4327,12,0.09149,6,-1.0309,13,0.10490,24,1.35548,11,-0.1128,9,-0.4436
ENSG00000130764,LRRC47,38,-1.0715,66,-0.1765,70,-0.0775,118,0.75514,89,0.31865,95,0.39884,98,0.49212,44,-0.7820,44,-0.7919
ENSG00000116198,CEP104,62,0.88737,27,-0.5040,32,-0.2859,23,-0.7666,28,-0.5258,9,-2.0499,20,-1.0238,33,-0.2260,113,1.83158
ENSG00000198912,C1orf174,12,-0.2009,15,0.08583,5,-1.3526,12,-0.2999,16,0.18099,23,0.78444,16,0.27250,7,-0.9731,17,0.31530
ENSG00000196581,AJAP1,72,0.67725,49,-0.0220,26,-0.9512,50,0.01000,54,0.14512,56,0.18109,37,-0.4986,37,-0.4657,51,0.05749
ENSG00000069424,KCNAB2,154,-0.3524,303,0.75697,132,-0.5565,202,0.09800,183,-0.0597,327,0.88403,239,0.41110,110,-0.8345,48,-2.0645
ENSG00000116254,CHD5,392,0.97061,224,-0.0502,282,0.31162,185,-0.3472,263,0.22328,184,-0.3602,156,-0.6576,152,-0.6501,130,-0.8844
ENSG00000116251,RPL22,350,-0.6797,990,1.03312,555,0.08571,481,-0.1378,472,-0.1843,494,-0.0967,366,-0.6068,849,0.77480,562,0.10620
ENSG00000116237,ICMT,22,-1.0035,55,0.45094,26,-0.6954,72,0.89465,42,0.03791,68,0.78823,51,0.37590,27,-0.6492,17,-1.3624
ENSG00000097021,ACOT7,123,-0.8999,160,-0.4369,152,-0.5138,220,0.06399,265,0.39607,287,0.48541,422,1.31541,58,-1.9418,43,-2.4006
ENSG00000215788,TNFRSF25,52,1.64913,26,0.26437,11,-1.0378,25,0.18056,7,-1.8627,45,1.13335,16,-0.5008,2,-3.4339,8,-1.5703
ENSG00000171680,PLEKHG5,16,-0.5931,35,0.68195,15,-0.6888,11,-1.1373,22,-0.0933,54,1.40872,31,0.52367,15,-0.6613,9,-1.4316
ENSG00000162408,NOL9,30,-0.0203,23,-0.4359,32,0.05568,40,0.41111,21,-0.6206,35,0.20148,30,-0.0582,46,0.64565,30,-0.0110
ENSG00000162413,KLHL21,24,-0.1822,26,-0.0379,12,-1.1840,22,-0.2917,25,-0.1612,34,0.35273,42,0.80909,22,-0.2870,25,-0.1312
ENSG00000116273,PHF13,19,0.46132,10,-0.5951,7,-1.0435,24,0.76141,16,0.10336,8,-0.8491,14,-0.0593,16,0.14348,13,-0.1780
ENSG00000041988,THAP3,16,0.15541,14,-0.1226,3,-2.2236,7,-1.0861,19,0.41449,19,0.39664,14,-0.1244,25,0.79102,13,-0.2217
ENSG00000007923,DNAJC11,33,-0.1156,36,0.05241,52,0.63660,61,0.89269,30,-0.2349,32,-0.1596,36,0.02637,15,-1.2952,27,-0.4031
ENSG00000171735,CAMTA1,658,0.63499,312,-0.6071,603,0.42184,581,0.36369,654,0.62328,298,-0.6793,306,-0.6892,266,-0.8505,254,-0.9204
ENSG00000049245,VAMP3,20,-0.3765,16,-0.6901,13,-0.9809,29,0.19557,6,-2.1245,20,-0.3397,14,-0.9686,49,1.05731,97,2.31966
ENSG00000049246,PER3,47,0.06546,19,-1.2867,39,-0.2122,73,0.78677,36,-0.3722,39,-0.2291,31,-0.5930,56,0.34234,85,1.02869
ENSG00000116288,PARK7,135,-1.1885,361,0.40671,160,-0.8555,293,0.07451,323,0.24920,434,0.70435,410,0.69092,260,-0.1145,114,-1.3700
ENSG00000116285,ERRFI1,26,-0.1955,24,-0.3103,29,-0.0344,32,0.13256,33,0.22608,26,-0.1585,43,0.70048,16,-0.8732,18,-0.6886
ENSG00000162426,SLC45A1,24,-0.2202,18,-0.5905,24,-0.1714,34,0.37494,31,0.24481,56,1.19361,36,0.52256,0,-5.1179,8,-1.7190
ENSG00000142599,RERE,149,0.23625,132,0.01855,127,-0.0340,152,0.24081,140,0.12422,105,-0.3339,82,-0.7632,150,0.22416,154,0.27030
ENSG00000074800,ENO1,235,-0.8404,354,-0.1545,190,-1.1025,352,-0.1625,341,-0.2309,509,0.42262,540,0.58088,854,1.29220,195,-1.0628
ENSG00000171612,SLC25A33,13,-1.2875,31,0.12923,26,-0.1457,29,0.04882,32,0.21299,38,0.46051,18,-0.7789,79,1.69686,14,-1.1050
ENSG00000171603,CLSTN1,713,0.09564,499,-0.4704,650,-0.0592,690,0.03455,756,0.19753,968,0.57719,941,0.59675,230,-1.6348,245,-1.5423
ENSG00000178585,CTNNBIP1,27,-0.4129,43,0.33593,41,0.24472,63,0.95969,24,-0.5842,23,-0.6190,36,0.04065,50,0.58199,23,-0.6433
ENSG00000162441,LZIC,55,-0.2376,65,0.01876,102,0.74513,50,-0.3693,57,-0.1864,40,-0.7033,41,-0.7309,85,0.44850,117,0.98391
ENSG00000130939,UBE4B,49,0.02771,41,-0.2486,56,0.21007,43,-0.1872,38,-0.4291,18,-1.4990,67,0.58292,46,-0.0762,70,0.58609
ENSG00000054523,KIF1B,627,0.48843,366,-0.4125,840,0.92026,241,-1.0471,454,-0.0844,218,-1.1952,332,-0.6064,529,0.16482,701,0.61950
ENSG00000142657,PGD,40,-0.5095,40,-0.4690,48,-0.1862,74,0.49226,61,0.22425,33,-0.7600,93,0.99481,39,-0.5043,27,-1.0421
ENSG00000241563,CORT,142,1.93420,25,-1.2039,3,-4.1345,60,0.15174,16,-1.9273,40,-0.4817,69,0.40684,41,-0.4282,31,-0.8504
ENSG00000160049,DFFA,68,0.32026,47,-0.2790,50,-0.1853,35,-0.7258,45,-0.3975,38,-0.5949,32,-0.9197,81,0.57413,137,1.46792
ENSG00000142655,PEX14,14,-0.6622,20,-0.1132,27,0.35229,41,1.03269,21,0.00154,29,0.46004,26,0.31448,10,-1.1580,8,-1.4056
ENSG00000120948,TARDBP,90,0.05659,71,-0.3166,96,0.15299,83,-0.0678,91,0.07991,93,0.10798,76,-0.2172,74,-0.2513,111,0.39383
ENSG00000271895,AL109811.2,17,0.14312,10,-0.5599,1,-3.4672,20,0.39664,10,-0.6049,20,0.45533,21,0.57627,21,0.48244,14,-0.1335
ENSG00000116649,SRM,28,-0.9121,81,0.80571,13,-1.9272,66,0.45791,43,-0.2188,56,0.20232,73,0.72157,52,0.08835,32,-0.6439
ENSG00000171824,EXOSC10,39,0.20395,32,-0.1197,14,-1.3361,31,-0.1902,29,-0.2925,37,0.09646,41,0.28416,40,0.21609,45,0.39376
ENSG00000198793,MTOR,38,-0.1034,36,-0.1591,18,-1.1996,45,0.18934,53,0.49400,50,0.34516,47,0.26840,32,-0.3603,25,-0.7225
ENSG00000116661,FBXO2,55,-1.6680,216,0.53008,82,-0.9776,124,-0.3510,134,-0.2491,264,0.85858,194,0.39557,356,1.37238,55,-1.5692
ENSG00000132879,FBXO44,93,0.22389,59,-0.5141,51,-0.7296,82,-0.0043,57,-0.6193,183,1.32100,110,0.51551,52,-0.7140,40,-1.1031
ENSG00000177000,MTHFR,19,-0.1436,22,0.12716,28,0.51440,23,0.14467,18,-0.2599,34,0.81904,11,-0.9704,23,0.17995,20,-0.0099
ENSG00000011021,CLCN6,67,-0.0332,68,0.00157,57,-0.2717,118,0.87575,59,-0.2635,87,0.37325,69,0.01991,61,-0.1688,40,-0.8338
ENSG00000116685,KIAA2013,47,0.84835,15,-1.0210,6,-2.3148,20,-0.5686,18,-0.8050,36,0.32001,38,0.45704,28,-0.0938,42,0.55936
ENSG00000083444,PLOD1,15,-0.1104,17,0.14864,10,-0.6382,14,-0.2134,15,-0.1008,25,0.71481,17,0.07448,9,-0.8671,22,0.52666
ENSG00000116688,MFN2,121,-0.1471,105,-0.3472,128,-0.0492,205,0.70743,129,-0.0351,153,0.23755,162,0.36407,68,-1.0151,99,-0.4489
ENSG00000048707,VPS13D,98,0.29051,57,-0.5877,87,0.08304,112,0.47900,79,-0.0837,48,-0.8383,106,0.44076,52,-0.7184,73,-0.2044
ENSG00000162496,DHRS3,6,-1.6858,8,-1.2321,7,-1.4234,8,-1.2099,4,-2.2133,18,0.01044,19,0.07806,104,3.24998,15,-0.2656
ENSG00000116731,PRDM2,465,1.14107,197,-0.3885,318,0.36335,183,-0.5030,330,0.47439,155,-0.7518,103,-1.4560,142,-0.8918,245,-0.0507
ENSG00000189337,KAZN,53,-0.3484,48,-0.4844,87,0.45905,44,-0.6230,77,0.27757,44,-0.6020,87,0.50815,28,-1.2984,101,0.68697
ENSG00000142634,EFHD2,129,0.56922,63,-0.6072,230,1.49921,147,0.72188,55,-0.8775,22,-2.1884,97,0.05854,24,-2.0291,76,-0.3147
ENSG00000116138,DNAJC16,54,0.53399,14,-1.5239,39,-0.0287,72,0.96572,38,-0.0498,41,0.06002,38,-0.0875,20,-1.0072,29,-0.4590
ENSG00000197312,DDI2,73,1.10587,24,-0.8204,46,0.21354,57,0.55023,37,-0.1384,16,-1.4057,40,-0.0401,13,-1.6504,29,-0.5266
ENSG00000116786,PLEKHM2,65,-0.7511,181,0.92338,92,-0.1616,132,0.40343,138,0.52534,111,0.12337,68,-0.6859,102,-0.0117,70,-0.5800
ENSG00000065526,SPEN,317,1.06005,84,-1.1632,215,0.28878,57,-1.7315,189,0.09263,44,-2.0917,40,-2.3726,230,0.40139,428,1.45099
ENSG00000116809,ZBTB17,20,0.14309,17,-0.1255,12,-0.6479,16,-0.1371,13,-0.5312,25,0.52211,19,0.09692,32,0.92138,11,-0.7629
ENSG00000037637,FBXO42,31,0.59367,6,-1.8371,24,0.14036,21,-0.0986,18,-0.3276,27,0.28469,30,0.51012,16,-0.5354,15,-0.6119
ENSG00000055070,SZRD1,15,-0.6709,17,-0.4594,15,-0.6628,17,-0.4945,23,-0.0191,36,0.69131,14,-0.8759,59,1.52412,32,0.48813
ENSG00000219481,NBPF1,12,-0.0899,7,-0.9378,9,-0.5949,8,-0.7247,14,0.10203,14,0.11562,9,-0.6134,23,0.89735,26,1.07550
ENSG00000159363,ATP13A2,63,-0.6706,128,0.48238,57,-0.7727,157,0.81647,91,-0.0574,101,0.10040,164,1.02526,27,-1.8740,26,-1.9087
ENSG00000117118,SDHB,22,-1.7108,61,-0.0694,26,-1.3298,53,-0.2699,94,0.70818,108,0.85247,108,0.98137,36,-0.8624,30,-1.1369
ENSG00000117115,PADI2,35,-0.9349,29,-1.1076,70,0.20549,38,-0.7271,12,-2.5117,33,-0.9211,12,-2.4874,182,1.84779,264,2.61181
ENSG00000179051,RCC2,20,-0.4195,40,0.68552,20,-0.4434,17,-0.6252,24,-0.1596,24,-0.1371,42,0.87601,25,-0.0574,15,-0.8826
ENSG00000074964,ARHGEF10L,9,-0.8262,22,0.60747,3,-2.4117,16,0.13009,13,-0.1612,21,0.59789,15,0.00353,35,1.42405,6,-1.3726
ENSG00000117154,IGSF21,58,-0.0847,61,0.01557,74,0.29821,90,0.63324,35,-0.8863,106,0.89320,78,0.44210,29,-1.1476,27,-1.2072
ENSG00000159423,ALDH4A1,8,-0.8518,19,0.44031,14,-0.0547,19,0.45772,9,-0.7920,22,0.64158,10,-0.5957,31,1.25509,13,-0.1435
ENSG00000127481,UBR4,66,1.04843,16,-1.2579,18,-1.0774,18,-1.1072,52,0.56830,17,-1.2239,18,-1.1673,43,0.19616,66,0.91920
ENSG00000127463,EMC1,39,0.29412,28,-0.2623,35,0.09458,26,-0.3650,29,-0.2248,47,0.56440,46,0.58643,13,-1.3955,19,-0.8124
ENSG00000053372,MRTO4,46,0.15215,53,0.34728,43,0.01321,63,0.63430,40,-0.1092,64,0.65693,37,-0.2020,16,-1.4230,22,-0.9775
ENSG00000053371,AKR7A2,13,-0.8955,15,-0.6135,17,-0.4340,34,0.58767,14,-0.8022,28,0.29994,26,0.19380,51,1.27455,26,0.18396
ENSG00000077549,CAPZB,144,-0.2101,134,-0.3012,101,-0.7263,160,-0.0286,191,0.28459,189,0.23341,206,0.41884,154,-0.0846,132,-0.3263
ENSG00000173436,MICOS10,145,-1.0186,575,1.24427,264,-0.0378,260,-0.0595,288,0.11267,328,0.30864,320,0.29657,170,-0.7111,138,-1.0323
ENSG00000158747,NBL1,150,0.08101,158,0.15246,103,-0.5121,198,0.52301,85,-0.8605,211,0.62674,165,0.24714,173,0.29821,74,-1.0005
ENSG00000169914,OTUD3,36,0.84542,24,0.12025,9,-1.4286,42,1.00014,16,-0.5310,15,-0.6277,25,0.20888,11,-1.1236,14,-0.6647
ENSG00000162545,CAMK2N1,1194,-0.6066,2996,0.90748,1448,-0.2634,1407,-0.3078,1927,0.20594,3687,1.26459,756,-1.3328,2575,0.65453,698,-1.3714
ENSG00000090432,MUL1,13,-0.0844,20,0.59389,4,-1.7182,9,-0.6690,9,-0.6523,12,-0.1493,25,1.09160,2,-2.6676,23,0.81754
ENSG00000183114,FAM43B,39,1.46677,15,-0.2231,15,-0.2245,42,1.41083,13,-0.5060,2,-2.8884,15,-0.2412,1,-3.3381,3,-2.5119
ENSG00000158828,PINK1,276,-0.7614,429,-0.0217,546,0.36064,463,0.09691,490,0.20739,531,0.31576,640,0.69575,256,-0.8194,189,-1.2743
ENSG00000244038,DDOST,24,-0.0888,13,-0.9472,14,-0.8562,27,0.08702,31,0.35352,40,0.74072,33,0.47380,20,-0.3776,13,-1.0295
ENSG00000117245,KIF17,21,-0.4414,27,-0.0343,55,1.11413,61,1.29816,21,-0.4236,9,-1.5818,43,0.79596,6,-2.3022,2,-3.5181
ENSG00000189410,SH2D5,27,-0.6765,31,-0.4381,39,-0.0964,27,-0.6716,56,0.53090,78,1.03561,62,0.72709,24,-0.8189,7,-2.6219
ENSG00000127483,HP1BP3,350,0.39435,183,-0.6601,322,0.22149,176,-0.7183,333,0.30374,163,-0.8348,175,-0.7768,317,0.19724,484,0.88605
ENSG00000075151,EIF4G3,390,0.52902,197,-0.5994,231,-0.3549,117,-1.3820,528,1.12205,137,-1.1523,272,-0.1083,149,-1.0181,269,-0.1172
ENSG00000117298,ECE1,17,-0.1086,10,-0.9119,8,-1.2124,14,-0.3573,14,-0.4065,21,0.21081,10,-0.9081,57,1.94413,24,0.46739
ENSG00000076864,RAP1GAP,175,0.61149,94,-0.4227,82,-0.6331,220,0.92423,85,-0.6389,125,0.00758,176,0.62853,30,-2.1076,68,-0.9296
ENSG00000090686,USP48,125,0.73852,48,-0.8346,52,-0.7332,45,-0.9343,89,0.12423,65,-0.3910,64,-0.4301,88,0.08085,143,0.87925
ENSG00000070831,CDC42,155,-0.4514,162,-0.3447,186,-0.1311,275,0.48631,196,-0.0599,199,-0.0279,300,0.71000,130,-0.6894,178,-0.2014
ENSG00000184677,ZBTB40,18,0.52077,7,-1.0391,15,0.15957,10,-0.5190,13,-0.0294,10,-0.4700,9,-0.6120,13,0.00077,26,1.04885
ENSG00000173372,C1QA,6,-1.4476,7,-1.1175,16,0.10007,12,-0.3418,1,-3.9067,41,1.60901,5,-1.7972,60,2.36626,25,0.74146
ENSG00000173369,C1QB,5,-1.6923,22,0.48171,7,-1.2825,7,-1.1270,9,-0.8657,23,0.56864,6,-1.4393,61,2.30762,30,1.02728
ENSG00000133216,EPHB2,21,0.73555,9,-0.6869,4,-1.6579,8,-0.8687,14,0.01961,12,-0.2739,15,0.17653,7,-0.9295,26,0.98948
ENSG00000004487,KDM1A,87,0.69876,32,-0.9271,33,-0.8912,35,-0.8042,68,0.24678,54,-0.1356,76,0.45001,54,-0.1404,38,-0.6686
ENSG00000169641,LUZP1,242,0.62528,158,-0.1261,132,-0.3980,117,-0.5891,305,1.08148,91,-0.9686,149,-0.2299,92,-0.9457,68,-1.4008
ENSG00000125944,HNRNPR,186,0.46900,91,-0.6969,101,-0.5304,145,0.02358,157,0.16731,106,-0.4605,111,-0.4202,158,0.15736,204,0.56897
ENSG00000142676,RPL11,197,-1.4664,817,0.83287,430,-0.1971,596,0.31840,455,-0.1209,637,0.42330,399,-0.3402,742,0.67432,531,0.13432
ENSG00000011007,ELOA,41,0.41147,20,-0.7364,28,-0.2205,35,0.11920,47,0.64088,10,-1.7261,17,-1.0169,39,0.26757,48,0.62349
ENSG00000057757,PITHD1,90,-0.9286,161,0.01721,143,-0.1623,342,1.26205,148,-0.1189,160,0.00789,224,0.61731,81,-1.0215,94,-0.7999
ENSG00000011009,LYPLA2,11,-1.0689,18,-0.2147,13,-0.7525,22,0.11200,20,-0.0507,29,0.53616,32,0.79216,26,0.38044,14,-0.5542
ENSG00000117308,GALE,12,-0.0914,16,0.32030,1,-3.0424,8,-0.6906,12,-0.0870,26,1.10607,24,1.15311,4,-1.6085,2,-2.4062
ENSG00000117305,HMGCL,4,-1.6544,5,-1.2895,7,-0.8572,3,-2.0143,10,-0.3156,17,0.53570,14,0.27791,34,1.77165,21,0.93054
ENSG00000189266,PNRC2,67,-0.0029,50,-0.4535,96,0.58674,102,0.67376,61,-0.1530,63,-0.0888,59,-0.2038,60,-0.1669,56,-0.2608
ENSG00000188529,SRSF10,100,0.49927,42,-0.8910,66,-0.2143,97,0.38533,81,0.11725,54,-0.5115,53,-0.5919,76,-0.0028,105,0.52294
ENSG00000001460,STPG1,19,0.75573,14,0.20179,13,0.10435,12,-0.0788,12,-0.1349,23,0.97432,7,-0.9125,1,-2.9893,11,-0.2366
ENSG00000001461,NIPAL3,172,0.26547,67,-1.2091,225,0.67281,77,-1.0064,117,-0.3904,73,-1.0840,120,-0.3497,127,-0.2386,387,1.61481
ENSG00000133226,SRRM1,288,0.53409,102,-1.1228,197,-0.1225,92,-1.2757,270,0.41663,88,-1.3451,84,-1.5141,298,0.53150,501,1.41631
ENSG00000169504,CLIC4,23,-0.7663,17,-1.1862,54,0.57282,54,0.57298,4,-3.3080,18,-1.0867,13,-1.6455,78,1.19666,147,2.40350
ENSG00000117614,SYF2,116,-0.0560,112,-0.1064,110,-0.1431,99,-0.3024,164,0.55448,97,-0.3279,58,-1.1839,179,0.63662,169,0.54014
ENSG00000117616,RSRP1,199,1.25979,25,-2.1089,60,-0.8282,104,0.02922,61,-0.8612,76,-0.4599,96,-0.1124,77,-0.4280,174,0.85658
ENSG00000183726,TMEM50A,60,-0.3537,64,-0.2159,111,0.64207,107,0.58085,53,-0.5582,101,0.49516,82,0.17963,47,-0.6998,69,-0.1180
ENSG00000204178,MACO1,87,0.66026,55,-0.1338,61,0.01394,27,-1.1966,84,0.59818,45,-0.4425,33,-0.9984,46,-0.4294,81,0.46894
ENSG00000117643,MAN1C1,31,-0.4766,37,-0.1748,27,-0.6520,42,0.00202,47,0.21975,93,1.32061,54,0.44106,23,-0.9155,14,-1.6473
ENSG00000162430,SELENON,31,0.56884,21,-0.1129,10,-1.2593,21,-0.1102,9,-1.5116,50,1.28130,15,-0.6800,43,1.03175,18,-0.3830
ENSG00000117640,MTFR1L,50,-0.4095,64,-0.0001,98,0.66438,85,0.44777,57,-0.2167,79,0.31782,75,0.25883,43,-0.6089,40,-0.7408
ENSG00000117632,STMN1,1016,-0.5150,1343,-0.0407,1055,-0.4167,2115,0.68895,1676,0.34462,1156,-0.2748,2084,0.75163,455,-1.6821,870,-0.7123
ENSG00000158008,EXTL1,38,-0.0152,49,0.38230,43,0.17492,45,0.25169,28,-0.5081,41,0.10109,51,0.50966,25,-0.6660,23,-0.7837
ENSG00000175087,PDIK1L,27,0.77845,8,-1.1797,27,0.68802,16,-0.1723,18,0.04438,13,-0.4659,15,-0.2709,14,-0.3166,13,-0.4940
ENSG00000142684,ZNF593,12,-1.2463,25,-0.0636,12,-1.1415,24,-0.1209,36,0.58241,30,0.22822,40,0.79476,29,0.19238,14,-0.8786
ENSG00000142669,SH3BGRL3,92,-0.4836,149,0.30728,131,0.10828,176,0.57492,65,-1.0428,108,-0.2056,182,0.71361,100,-0.3211,131,0.10161
ENSG00000158062,UBXN11,9,-0.8294,30,1.15918,8,-0.8023,8,-0.8886,19,0.42803,22,0.63365,21,0.64142,4,-1.9215,6,-1.2480
ENSG00000117682,DHDDS,24,0.16647,14,-0.6208,25,0.27051,37,0.85585,14,-0.7224,25,0.26122,23,0.14663,23,0.09017,11,-0.9511
ENSG00000198830,HMGN2,111,-0.6512,173,0.09020,119,-0.4891,189,0.22838,116,-0.5816,181,0.15405,110,-0.6613,356,1.28065,273,0.82618
ENSG00000117713,ARID1A,112,0.59201,46,-0.8570,134,0.82032,84,0.07363,64,-0.3982,69,-0.2350,39,-1.1709,75,-0.1068,128,0.74278
