Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to13,Feature log2 fold change topic 9to13
ENSG00000116138,DNAJC16,15,-1.4592,22,-1.0321,11,-1.9511,66,0.74573,30,-0.4773,36,-0.2204,59,0.98958
ENSG00000197312,DDI2,13,-1.5194,22,-0.8064,52,0.55166,43,0.25539,62,0.84179,23,-0.7623,43,0.39729
ENSG00000116786,PLEKHM2,130,0.21588,258,1.55673,69,-0.7551,122,0.11848,135,0.27461,77,-0.6483,70,-1.0028
ENSG00000065526,SPEN,132,0.11558,53,-1.3539,229,1.00405,149,0.30629,307,1.50763,33,-2.0690,122,-0.0216
ENSG00000055070,SZRD1,46,0.87499,30,0.21855,22,-0.3047,82,1.89707,11,-1.2693,31,0.27545,12,-1.5197
ENSG00000159363,ATP13A2,66,-0.5595,100,0.08091,21,-2.2749,52,-0.9167,102,0.10847,96,0.02016,121,0.60813
ENSG00000117118,SDHB,99,0.07755,93,-0.0054,35,-1.4884,52,-0.9036,20,-2.2651,157,0.92909,102,0.21311
ENSG00000117115,PADI2,139,1.69988,57,0.23483,144,1.76368,99,1.11585,40,-0.3193,22,-1.3179,13,-2.3891
ENSG00000179051,RCC2,30,0.11530,12,-1.3121,12,-1.2573,55,1.10115,22,-0.3343,29,0.07704,32,0.33430
ENSG00000117154,IGSF21,44,-0.5972,62,-0.0765,31,-1.1372,43,-0.6179,27,-1.3003,90,0.57491,79,0.48663
ENSG00000159423,ALDH4A1,113,2.23064,54,1.02838,4,-2.9326,12,-1.3558,19,-0.6929,34,0.17663,15,-1.4469
ENSG00000127481,UBR4,26,-0.5912,43,0.22417,27,-0.5230,47,0.32590,116,1.86071,15,-1.4345,32,-0.3589
ENSG00000127463,EMC1,24,-0.5903,34,-0.0833,21,-0.7817,75,1.21021,38,0.11695,33,-0.1247,34,-0.1058
ENSG00000053372,MRTO4,55,0.32073,47,0.09418,27,-0.7876,33,-0.4771,29,-0.6479,60,0.50653,45,0.00164
ENSG00000053371,AKR7A2,61,0.70881,39,0.01597,30,-0.4167,123,1.92042,20,-0.9749,38,-0.0433,24,-1.0197
ENSG00000077549,CAPZB,140,-0.6376,161,-0.4557,154,-0.4912,305,0.58124,187,-0.1892,305,0.64455,207,-0.0536
ENSG00000173436,MICOS10,388,0.09784,538,0.68890,295,-0.3311,279,-0.4144,297,-0.3158,414,0.21911,316,-0.3236
ENSG00000158747,NBL1,139,-0.0021,169,0.33461,60,-1.2674,183,0.43239,141,0.01965,167,0.31367,123,-0.2794
ENSG00000169914,OTUD3,12,-0.9625,12,-0.9834,14,-0.7805,15,-0.6120,60,1.58774,11,-1.1072,30,0.67040
ENSG00000162545,CAMK2N1,2601,0.16579,5224,1.52441,1438,-0.7481,1439,-0.7466,1324,-0.8727,2499,0.11274,1635,-0.7664
ENSG00000158828,PINK1,342,-0.3603,515,0.30763,233,-0.9401,352,-0.3130,221,-1.0223,455,0.09183,504,0.38351
ENSG00000244038,DDOST,24,-0.3902,6,-2.3887,31,-0.0010,63,1.15839,6,-2.3670,42,0.56397,36,0.36065
ENSG00000189410,SH2D5,17,-1.1122,53,0.70997,1,-4.3025,19,-0.9168,6,-2.5085,64,1.06617,37,0.07507
ENSG00000127483,HP1BP3,258,0.02945,172,-0.6428,434,0.86331,277,0.13911,319,0.36168,123,-1.1700,283,0.27225
ENSG00000075151,EIF4G3,120,-1.2454,151,-0.9614,205,-0.4330,127,-1.1577,305,0.18427,190,-0.5947,419,1.21837
ENSG00000076864,RAP1GAP,34,-1.7225,91,-0.2602,35,-1.6712,68,-0.6796,136,0.38380,138,0.44856,131,0.51491
ENSG00000090686,USP48,64,-0.2841,46,-0.8448,67,-0.2351,91,0.24652,106,0.48675,47,-0.8174,99,0.61952
ENSG00000070831,CDC42,144,-0.5894,118,-0.9510,167,-0.3697,269,0.37916,236,0.17135,251,0.29581,240,0.30042
ENSG00000173372,C1QA,32,-0.4591,19,-1.2910,27,-0.7153,369,4.53963,10,-2.0674,27,-0.7168,5,-3.6755
ENSG00000173369,C1QB,36,-0.1878,32,-0.3921,63,0.71069,251,3.43784,15,-1.4484,30,-0.4643,7,-3.0640
ENSG00000004487,KDM1A,29,-0.8583,23,-1.2593,35,-0.5766,44,-0.2280,55,0.12726,73,0.62031,62,0.47147
ENSG00000169641,LUZP1,76,-1.0738,99,-0.7088,90,-0.8150,132,-0.2327,266,0.88503,68,-1.3032,219,0.95812
ENSG00000125944,HNRNPR,126,-0.2658,83,-0.9591,195,0.41571,245,0.77954,120,-0.3465,155,0.05158,158,0.11954
ENSG00000117318,ID3,39,0.05971,5,-2.8992,47,0.34155,383,5.39194,0,-5.5993,5,-3.1302,0,-9.2958
ENSG00000142676,RPL11,822,0.42195,948,0.72854,929,0.61844,980,0.70588,344,-0.9242,769,0.34711,335,-1.2767
ENSG00000011007,ELOA,21,-0.6029,29,-0.1677,59,0.98403,50,0.70881,21,-0.6444,23,-0.5310,32,0.00181
ENSG00000057757,PITHD1,81,-0.9023,147,0.01111,91,-0.7303,63,-1.2798,113,-0.4009,199,0.54573,172,0.40223
ENSG00000011009,LYPLA2,19,-0.2419,28,0.42511,9,-1.2650,20,-0.1425,23,0.08256,26,0.26576,21,-0.0664
ENSG00000189266,PNRC2,100,0.47786,48,-0.6978,118,0.75414,107,0.58680,48,-0.6614,71,-0.0566,69,-0.1401
ENSG00000188529,SRSF10,83,0.04388,42,-1.0441,113,0.54596,146,0.96013,94,0.25183,68,-0.2808,78,-0.0808
ENSG00000001461,NIPAL3,68,-0.6109,80,-0.3913,214,1.22831,27,-1.9763,144,0.57294,61,-0.8081,115,0.31880
ENSG00000133226,SRRM1,169,-0.2208,124,-0.7500,435,1.30791,291,0.63713,505,1.57493,80,-1.4287,146,-0.6292
ENSG00000169504,CLIC4,49,0.09502,22,-1.1800,215,2.71001,241,2.96767,18,-1.4042,12,-2.1188,3,-4.5617
ENSG00000117614,SYF2,143,0.09489,143,0.10489,210,0.71483,187,0.52325,162,0.29868,94,-0.5943,114,-0.3632
ENSG00000117616,RSRP1,42,-0.8993,48,-0.7699,80,0.07587,175,1.34936,178,1.38045,54,-0.5635,63,-0.4282
ENSG00000183726,TMEM50A,89,-0.0233,73,-0.3690,132,0.59480,150,0.80455,49,-0.9387,87,-0.0700,88,-0.0732
ENSG00000204178,MACO1,36,-0.5100,39,-0.3907,67,0.46757,29,-0.8137,102,1.15585,38,-0.4401,52,0.09048
ENSG00000117643,MAN1C1,11,-2.2635,46,-0.1205,18,-1.4746,62,0.36388,34,-0.5809,67,0.52076,58,0.41207
ENSG00000162430,SELENON,38,0.35946,38,0.40252,16,-0.9285,101,2.02493,14,-1.1733,40,0.47580,14,-1.5391
ENSG00000117640,MTFR1L,65,0.20008,72,0.37728,30,-0.9658,67,0.22888,62,0.12772,66,0.23214,50,-0.3288
ENSG00000117632,STMN1,427,-1.6319,803,-0.7341,930,-0.4618,416,-1.6688,687,-0.9210,1676,0.50891,1778,0.93843
ENSG00000158008,EXTL1,23,-0.6687,69,1.23439,6,-2.5552,20,-0.8584,54,0.65975,29,-0.3157,32,-0.2222
ENSG00000142684,ZNF593,26,-0.2942,33,0.09792,21,-0.5653,28,-0.1782,15,-1.0899,64,1.33745,24,-0.5506
ENSG00000142669,SH3BGRL3,138,-0.0995,182,0.37282,155,0.08694,155,0.08274,69,-1.1412,178,0.33798,134,-0.2049
ENSG00000117682,DHDDS,25,0.11463,23,-0.0150,10,-1.2617,22,-0.1291,36,0.65272,32,0.53131,21,-0.3018
ENSG00000198830,HMGN2,275,0.57526,193,0.01510,370,1.06441,288,0.65258,126,-0.6416,265,0.57209,103,-1.2630
ENSG00000117713,ARID1A,103,0.75113,44,-0.6061,69,0.11556,121,1.01441,73,0.20156,49,-0.4334,56,-0.2963
ENSG00000090273,NUDC,181,-0.2362,258,0.35613,176,-0.2763,162,-0.4077,184,-0.2095,231,0.16062,211,0.00555
ENSG00000253368,TRNP1,34,-0.6037,60,0.29191,10,-2.3113,8,-2.6089,44,-0.2145,98,1.22048,49,-0.0813
ENSG00000142784,WDTC1,27,0.19493,35,0.67648,12,-0.9354,52,1.28527,31,0.44678,13,-0.9214,17,-0.6305
ENSG00000186501,TMEM222,47,0.30335,51,0.49656,17,-1.2152,26,-0.6075,44,0.21702,29,-0.4948,42,0.17393
ENSG00000158195,WASF2,85,0.56697,48,-0.3418,185,1.92004,202,2.08928,77,0.41879,23,-1.4989,15,-2.4530
ENSG00000126705,AHDC1,56,0.41841,38,-0.1924,13,-1.7207,47,0.14866,71,0.79608,37,-0.2343,44,0.05103
ENSG00000126709,IFI6,72,-0.5977,52,-1.1591,119,0.17378,257,1.44626,41,-1.4326,103,-0.0606,117,0.23098
ENSG00000009780,FAM76A,14,-0.8303,15,-0.6999,48,1.12470,16,-0.6120,27,0.19678,27,0.21360,24,0.01930
ENSG00000117758,STX12,92,-0.2728,100,-0.1565,106,-0.0645,80,-0.4979,65,-0.8104,177,0.84371,107,-0.0630
ENSG00000117751,PPP1R8,44,0.60656,14,-1.2310,28,-0.0734,63,1.20951,12,-1.3222,40,0.51100,26,-0.2627
ENSG00000117748,RPA2,61,0.03486,44,-0.4966,38,-0.7045,63,0.08464,48,-0.3547,81,0.52200,64,0.14783
ENSG00000126698,DNAJC8,199,-0.2818,208,-0.2389,363,0.66177,189,-0.3609,186,-0.3896,216,-0.1692,265,0.24756
ENSG00000130770,ATP5IF1,375,-0.6578,461,-0.3734,279,-1.1039,220,-1.4561,288,-1.0588,1162,1.30688,616,0.16030
ENSG00000204138,PHACTR4,39,0.29439,17,-0.9892,78,1.46324,98,1.87093,51,0.74272,9,-1.9096,19,-1.0296
ENSG00000198492,YTHDF2,68,-0.4904,50,-0.9911,77,-0.3011,81,-0.2110,78,-0.2708,98,0.09223,122,0.69385
ENSG00000116350,SRSF4,78,-0.1492,63,-0.5144,114,0.45070,144,0.82630,163,1.02750,77,-0.1889,68,-0.5207
ENSG00000116353,MECR,25,-0.3358,42,0.51081,21,-0.5837,20,-0.6511,16,-0.9642,32,0.02533,35,0.28398
ENSG00000162511,LAPTM5,49,-0.0467,80,0.81102,55,0.12427,264,2.98922,19,-1.4396,34,-0.6416,9,-3.1022
ENSG00000162512,SDC3,182,0.90488,108,0.08418,68,-0.6440,220,1.23259,78,-0.4247,88,-0.2692,80,-0.5477
ENSG00000134644,PUM1,99,-0.5817,135,-0.1250,86,-0.7944,209,0.57664,193,0.44991,142,-0.0349,149,0.06332
ENSG00000121766,ZCCHC17,109,-0.3040,144,0.14100,130,-0.0246,68,-1.0079,105,-0.3576,161,0.33830,140,0.13081
ENSG00000121769,FABP3,13,-2.6630,55,-0.5356,34,-1.2151,12,-2.7685,18,-2.1229,135,1.02306,108,0.91086
ENSG00000162517,PEF1,39,-0.6946,58,-0.1281,31,-1.0561,79,0.36720,34,-0.8942,108,0.99191,59,-0.1249
ENSG00000084636,COL16A1,22,-0.2284,9,-1.5877,25,-0.0599,95,2.23291,52,1.13658,19,-0.4867,17,-0.8964
ENSG00000121753,ADGRB2,99,-0.7201,178,0.19642,70,-1.2408,106,-0.6199,135,-0.2502,194,0.34583,182,0.33461
ENSG00000184007,PTP4A2,233,-0.0725,232,-0.0868,813,2.04145,152,-0.7340,226,-0.1260,188,-0.4361,183,-0.6287
ENSG00000121774,KHDRBS1,134,-0.0769,124,-0.2171,147,0.06639,176,0.34510,137,-0.0521,143,0.01643,142,0.00734
ENSG00000025800,KPNA6,51,-0.9323,67,-0.5532,73,-0.3911,111,0.25896,149,0.74167,82,-0.2349,108,0.33820
ENSG00000084652,TXLNA,24,-0.0418,16,-0.7029,33,0.44139,66,1.62101,40,0.76585,16,-0.7110,19,-0.5797
ENSG00000160050,CCDC28B,40,0.91588,28,0.38289,5,-2.0121,25,0.20702,7,-1.6206,45,1.27669,13,-1.0464
ENSG00000084623,EIF3I,107,0.16787,57,-0.8593,82,-0.2437,86,-0.1629,60,-0.7207,150,0.79458,100,0.09540
ENSG00000175130,MARCKSL1,418,1.45504,201,0.26682,534,1.90578,187,0.12827,146,-0.2588,163,-0.0979,46,-2.4479
ENSG00000160058,BSDC1,55,0.13644,59,0.26574,52,0.04039,54,0.10928,83,0.78692,49,-0.0476,39,-0.5443
ENSG00000160062,ZBTB8A,13,-0.9506,30,0.35058,23,-0.0881,70,1.72006,14,-0.8580,29,0.28554,16,-0.8535
ENSG00000176261,ZBTB8OS,47,-0.1213,58,0.23739,26,-1.0180,57,0.18282,46,-0.1390,64,0.41176,48,-0.1440
ENSG00000162521,RBBP4,143,0.31279,93,-0.3814,109,-0.1204,130,0.16093,163,0.52086,78,-0.6815,128,0.20455
ENSG00000162522,KIAA1522,29,0.58680,53,1.89854,2,-2.8962,9,-1.1323,2,-3.3663,20,-0.0027,14,-0.7172
ENSG00000134684,YARS,48,-1.2663,68,-0.8056,60,-0.9369,49,-1.2332,93,-0.2845,186,0.91878,138,0.54245
ENSG00000160097,FNDC5,26,-0.5143,34,-0.1187,7,-2.2953,19,-0.9294,70,1.06717,38,0.10920,40,0.27269
ENSG00000121905,HPCA,75,-1.4354,276,0.63445,29,-2.8292,65,-1.6303,81,-1.3139,410,1.41733,177,-0.1967
ENSG00000121900,TMEM54,40,0.19923,65,1.11655,38,0.11494,27,-0.4126,17,-1.0802,36,0.05900,26,-0.6062
ENSG00000004455,AK2,35,0.00169,38,0.12623,58,0.78034,86,1.46027,42,0.26038,36,0.02927,18,-1.3363
ENSG00000142920,AZIN2,18,-0.8364,27,-0.3109,6,-2.3268,41,0.39517,39,0.29824,49,0.74051,32,0.01168
ENSG00000160094,ZNF362,23,0.15266,35,0.90581,14,-0.6170,28,0.42450,6,-1.7275,30,0.59605,15,-0.7651
ENSG00000134686,PHC2,37,-0.2256,41,-0.0867,50,0.23646,65,0.65401,40,-0.1006,33,-0.4170,43,0.03273
ENSG00000163866,SMIM12,16,-1.6335,30,-0.7547,16,-1.6596,52,0.11948,14,-1.8467,92,1.20214,56,0.39013
ENSG00000116544,DLGAP3,56,0.35857,121,1.94255,9,-2.3422,72,0.75810,21,-1.1524,40,-0.2003,21,-1.5131
ENSG00000163867,ZMYM6,17,-0.4441,18,-0.3999,27,0.25820,43,1.00213,26,0.19222,26,0.20543,19,-0.3615
ENSG00000116560,SFPQ,221,-0.0477,174,-0.4475,297,0.42184,302,0.44570,529,1.38277,155,-0.6285,190,-0.3984
ENSG00000146463,ZMYM4,64,-0.1299,72,0.04916,67,-0.0727,36,-1.0185,117,0.83035,49,-0.5856,76,0.21749
ENSG00000142687,KIAA0319L,67,0.11759,47,-0.4436,63,0.02015,75,0.31126,87,0.55022,58,-0.1071,60,-0.0628
ENSG00000020129,NCDN,153,-1.5889,381,-0.2338,75,-2.6378,181,-1.3374,230,-0.9806,696,0.83278,579,0.72919
ENSG00000126067,PSMB2,67,-0.4221,46,-1.0473,83,-0.0781,89,0.03171,50,-0.8396,118,0.51436,105,0.43671
ENSG00000142686,C1orf216,22,-2.1222,77,-0.2500,27,-1.7927,39,-1.2476,58,-0.6666,165,1.10789,108,0.44553
ENSG00000092847,AGO1,26,-0.6680,40,0.00793,49,0.32586,58,0.59473,70,0.88257,31,-0.4009,35,-0.3108
ENSG00000126070,AGO3,34,-0.6811,41,-0.4345,72,0.48132,107,1.14304,145,1.67110,18,-1.6583,42,-0.4885
ENSG00000054116,TRAPPC3,37,-0.4424,41,-0.3244,32,-0.6661,46,-0.1086,25,-1.0238,101,1.32942,44,-0.2736
ENSG00000116871,MAP7D1,126,-0.4506,234,0.57772,140,-0.2922,115,-0.5906,121,-0.5112,234,0.57128,151,-0.2467
ENSG00000054118,THRAP3,140,-0.0713,76,-1.0584,181,0.33514,150,0.04423,188,0.39847,106,-0.5294,175,0.45326
ENSG00000181817,LSM10,21,-1.0774,57,0.51023,22,-1.0194,31,-0.4993,16,-1.4306,75,1.02089,40,-0.1415
ENSG00000116898,MRPS15,46,-0.3143,62,0.14582,42,-0.4705,37,-0.6425,32,-0.8773,78,0.55160,60,0.14405
ENSG00000163875,MEAF6,45,-1.3238,97,-0.1580,34,-1.7068,102,-0.0688,114,0.10333,128,0.30979,129,0.46466
ENSG00000134697,GNL2,21,-0.5954,17,-1.0160,29,-0.1166,15,-1.1014,34,0.12459,23,-0.5174,46,1.02887
ENSG00000197982,C1orf122,256,0.55301,304,0.93977,253,0.53688,111,-0.7488,79,-1.2584,268,0.70126,101,-1.1857
ENSG00000183431,SF3A3,38,-0.3806,26,-0.9918,47,-0.0629,39,-0.3455,67,0.48803,57,0.28043,55,0.30152
