Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000116237,ICMT,15,-1.4149,33,-0.2873,41,0.05100,33,-0.2842,26,-0.6278,26,-0.6267,63,0.74722,51,0.57642
ENSG00000097021,ACOT7,50,-2.4576,152,-0.8711,170,-0.6423,184,-0.5192,137,-0.9613,194,-0.4403,368,0.57376,420,1.25391
ENSG00000171680,PLEKHG5,2,-3.3380,24,0.26489,40,1.02425,10,-1.1544,18,-0.1887,1,-3.9669,11,-0.9401,30,0.86815
ENSG00000162408,NOL9,24,0.18669,16,-0.4716,9,-1.2834,24,0.16828,32,0.59702,25,0.22987,30,0.51553,21,-0.0923
ENSG00000162413,KLHL21,30,0.26201,20,-0.4092,39,0.69682,24,-0.0713,10,-1.4332,28,0.17243,15,-0.8157,29,0.34336
ENSG00000041988,THAP3,11,-0.5844,19,0.23993,15,-0.1407,14,-0.2457,9,-0.9732,6,-1.4662,23,0.48205,21,0.50828
ENSG00000007923,DNAJC11,26,-0.2373,27,-0.1908,50,0.79845,42,0.51128,36,0.29877,14,-1.1433,30,-0.0293,28,-0.1802
ENSG00000171735,CAMTA1,241,-0.7443,309,-0.3964,366,-0.1031,766,1.10321,687,0.91692,350,-0.1700,400,0.03650,315,-0.4447
ENSG00000049245,VAMP3,62,2.08503,18,0.01618,15,-0.2446,14,-0.4269,2,-2.8649,45,1.48646,5,-1.9620,10,-1.1810
ENSG00000049246,PER3,52,1.12716,34,0.49359,30,0.21719,30,0.24306,38,0.59970,15,-0.8282,12,-1.1801,16,-0.8809
ENSG00000116288,PARK7,212,-0.6834,376,0.23022,202,-0.7583,375,0.20003,125,-1.4712,394,0.27841,250,-0.4341,413,0.51503
ENSG00000116285,ERRFI1,12,-1.1352,19,-0.4093,26,0.08952,21,-0.2634,27,0.11737,7,-1.8318,42,0.81444,31,0.52410
ENSG00000162426,SLC45A1,4,-2.9409,21,-0.7183,23,-0.5834,22,-0.6422,23,-0.5375,24,-0.4831,68,1.15895,48,0.87834
ENSG00000142599,RERE,162,0.41526,135,0.13942,148,0.27469,145,0.23952,231,1.00134,94,-0.4407,94,-0.4353,88,-0.6979
ENSG00000074800,ENO1,472,-0.1258,540,0.09553,504,-0.0241,451,-0.1963,233,-1.2036,396,-0.3985,429,-0.2757,643,0.52909
ENSG00000171612,SLC25A33,37,0.28921,64,1.36462,20,-0.6481,26,-0.2591,19,-0.7225,16,-0.9876,28,-0.1380,24,-0.4919
ENSG00000171603,CLSTN1,240,-1.6416,471,-0.6755,736,0.06514,598,-0.2600,629,-0.1805,831,0.25889,772,0.14117,931,0.64924
ENSG00000178585,CTNNBIP1,48,0.75682,37,0.36646,15,-1.0092,37,0.33831,20,-0.6306,41,0.48424,30,-0.0080,24,-0.4764
ENSG00000162441,LZIC,88,0.84675,48,-0.1466,36,-0.5396,92,0.93104,65,0.35305,65,0.35225,39,-0.4470,35,-0.7486
ENSG00000130939,UBE4B,31,-0.4131,31,-0.4517,49,0.27053,43,0.08132,27,-0.6088,39,-0.0663,47,0.22951,48,0.35152
ENSG00000054523,KIF1B,435,0.34932,294,-0.2907,347,-0.0074,440,0.36965,537,0.69568,466,0.46195,383,0.14966,247,-0.6915
ENSG00000142657,PGD,22,-1.4291,36,-0.7431,59,0.06853,58,0.02742,22,-1.4119,61,0.12025,119,1.22008,67,0.36099
ENSG00000241563,CORT,19,-1.6257,46,-0.3933,16,-1.9087,277,2.86135,11,-2.5068,72,0.33781,12,-2.3233,49,-0.3544
ENSG00000160049,DFFA,75,0.90522,47,0.18319,29,-0.5791,38,-0.1583,54,0.36822,42,-0.0327,46,0.11990,33,-0.5072
ENSG00000142655,PEX14,7,-1.4979,14,-0.6201,30,0.62479,12,-0.8383,11,-0.8647,35,0.86068,12,-0.8292,27,0.67799
ENSG00000120948,TARDBP,62,-0.3847,62,-0.4027,115,0.59443,80,0.01091,82,0.04790,82,0.04667,77,-0.0514,82,0.08468
ENSG00000116649,SRM,37,-0.7759,65,0.10307,53,-0.2434,55,-0.1791,29,-1.1221,77,0.34912,69,0.17395,72,0.35602
ENSG00000171824,EXOSC10,23,-0.4660,12,-1.5171,97,1.90990,32,0.03054,44,0.52894,15,-1.0971,20,-0.7081,31,-0.0616
ENSG00000198793,MTOR,34,-0.5107,32,-0.6491,49,0.04860,37,-0.3798,29,-0.7720,22,-1.1672,72,0.65710,66,0.77352
ENSG00000116661,FBXO2,204,0.11755,268,0.62999,144,-0.4176,72,-1.4563,90,-1.1267,62,-1.6875,182,-0.0603,244,0.59615
ENSG00000132879,FBXO44,45,-1.0295,68,-0.4124,108,0.33529,25,-1.8547,74,-0.2661,51,-0.8367,79,-0.1640,133,1.03203
ENSG00000177000,MTHFR,11,-0.5989,10,-0.8046,39,1.48021,9,-0.8457,30,1.04070,8,-0.9578,9,-0.7830,16,0.02848
ENSG00000011021,CLCN6,41,-0.6397,63,0.00992,79,0.37419,68,0.12919,61,-0.0424,46,-0.4593,54,-0.2190,69,0.20629
ENSG00000116685,KIAA2013,40,0.38563,19,-0.7798,30,-0.0599,19,-0.7950,25,-0.3331,55,0.90067,28,-0.1831,35,0.25055
ENSG00000083444,PLOD1,30,0.65392,18,-0.1721,30,0.67887,13,-0.6555,20,-0.0028,9,-1.2449,14,-0.5649,22,0.19794
ENSG00000116688,MFN2,69,-0.6567,88,-0.3017,95,-0.1606,93,-0.1858,107,0.03210,85,-0.3267,144,0.49343,123,0.35808
ENSG00000048707,VPS13D,50,-0.6032,52,-0.5911,108,0.59564,89,0.28526,82,0.16464,94,0.37194,74,-0.0046,72,-0.0545
ENSG00000162496,DHRS3,32,1.15469,21,0.48002,20,0.41875,0,-4.2618,12,-0.4328,3,-2.4841,32,1.16780,12,-0.5711
ENSG00000116731,PRDM2,154,-0.6906,193,-0.3748,182,-0.4331,334,0.52151,574,1.44334,250,0.05883,261,0.12652,188,-0.5125
ENSG00000189337,KAZN,69,0.00803,61,-0.1964,77,0.17483,133,1.07087,88,0.39368,47,-0.5794,92,0.46263,49,-0.6720
ENSG00000142634,EFHD2,69,-0.5904,46,-1.2811,129,0.37635,66,-0.6694,57,-0.8891,517,2.99972,81,-0.3603,53,-1.2523
ENSG00000116138,DNAJC16,13,-1.3765,28,-0.2675,27,-0.3256,30,-0.1386,26,-0.3436,28,-0.2630,54,0.78045,40,0.45965
ENSG00000197312,DDI2,21,-1.0040,32,-0.4361,46,0.16731,57,0.49927,74,0.93528,36,-0.2147,29,-0.5618,43,0.05971
ENSG00000116786,PLEKHM2,127,0.24525,182,0.95134,63,-0.8276,100,-0.1244,130,0.28589,85,-0.3853,70,-0.6699,91,-0.3679
ENSG00000065526,SPEN,229,0.57519,120,-0.4831,140,-0.2078,257,0.76883,435,1.68820,112,-0.5514,148,-0.1173,89,-1.1283
ENSG00000116809,ZBTB17,18,-0.0684,22,0.20651,32,0.77457,19,0.00919,9,-1.1470,8,-1.3259,13,-0.5735,22,0.30786
ENSG00000037637,FBXO42,16,-0.4087,14,-0.6785,29,0.49401,14,-0.6476,22,0.03824,6,-1.8347,16,-0.3910,31,0.89273
ENSG00000055070,SZRD1,37,0.98230,40,1.30427,25,0.38700,8,-1.2580,19,-0.0288,13,-0.6224,10,-1.0420,11,-1.0510
ENSG00000159363,ATP13A2,46,-1.5061,99,-0.3868,103,-0.2957,80,-0.6855,101,-0.3319,86,-0.5697,244,1.09718,160,0.56966
ENSG00000117118,SDHB,39,-0.9401,67,-0.1493,39,-0.9611,76,0.06321,32,-1.2595,54,-0.4746,92,0.37016,103,0.81216
ENSG00000117115,PADI2,163,3.23081,39,0.52029,34,0.22824,9,-1.6796,8,-1.8684,29,0.00241,7,-2.1733,5,-2.8398
ENSG00000179051,RCC2,32,0.67181,18,-0.2201,15,-0.5401,9,-1.2329,20,-0.0686,6,-1.7403,33,0.70727,25,0.38720
ENSG00000117154,IGSF21,32,-1.2525,46,-0.7824,82,0.17213,19,-2.0041,37,-1.0496,132,0.94610,54,-0.4620,108,0.94797
ENSG00000159423,ALDH4A1,35,1.26570,44,2.03743,11,-0.6045,5,-1.7415,4,-1.9215,6,-1.4328,11,-0.4922,8,-1.2858
ENSG00000127481,UBR4,30,-0.2524,18,-1.1073,51,0.55729,36,-0.0026,108,1.86623,15,-1.2744,36,-0.0008,29,-0.4019
ENSG00000127463,EMC1,19,-0.8819,23,-0.6209,86,1.53814,25,-0.4752,23,-0.6199,24,-0.5146,26,-0.3990,40,0.33933
ENSG00000053372,MRTO4,23,-0.7769,42,0.13749,48,0.34038,38,-0.0165,42,0.11725,24,-0.7275,35,-0.1496,43,0.20775
ENSG00000053371,AKR7A2,55,1.02429,33,0.20627,30,0.06042,19,-0.6388,8,-1.9625,22,-0.3912,27,-0.1087,30,0.10278
ENSG00000077549,CAPZB,94,-1.0769,150,-0.3899,161,-0.2491,155,-0.3131,134,-0.5307,201,0.09505,279,0.62107,237,0.51453
ENSG00000173436,MICOS10,423,0.36356,477,0.63036,216,-0.6827,317,-0.0930,134,-1.4005,416,0.33727,193,-0.8512,346,0.05886
ENSG00000158747,NBL1,122,-0.3085,152,0.02877,192,0.40375,71,-1.1269,104,-0.5530,187,0.35851,156,0.07320,163,0.19998
ENSG00000169914,OTUD3,7,-1.4197,17,-0.1511,28,0.67265,32,0.86318,27,0.58025,15,-0.3325,29,0.70325,13,-0.7422
ENSG00000162545,CAMK2N1,2053,0.45453,2825,1.13232,682,-1.2501,1043,-0.6085,1651,0.10525,648,-1.3268,453,-1.8569,1588,0.06112
ENSG00000090432,MUL1,5,-1.8688,23,0.29179,17,-0.2251,17,-0.1865,19,-0.0341,13,-0.5793,26,0.47035,23,0.30685
ENSG00000183114,FAM43B,11,-1.0075,11,-1.0464,46,1.22789,13,-0.7415,12,-0.9018,74,2.09840,17,-0.3234,16,-0.6081
ENSG00000158828,PINK1,325,-0.5918,515,0.13788,228,-1.1247,350,-0.4787,256,-0.9506,514,0.12127,723,0.67259,571,0.41514
ENSG00000244038,DDOST,9,-1.7344,19,-0.7126,27,-0.1089,29,-0.0110,21,-0.4865,17,-0.8165,33,0.15988,45,1.01116
ENSG00000117245,KIF17,7,-2.0018,12,-1.2270,12,-1.1673,50,1.00696,18,-0.6334,50,1.01200,32,0.28833,32,0.38792
ENSG00000189410,SH2D5,16,-1.0841,32,-0.0535,20,-0.7683,22,-0.5975,26,-0.3538,3,-3.3216,40,0.31477,51,1.07478
ENSG00000127483,HP1BP3,334,0.64008,187,-0.3018,170,-0.4239,311,0.52610,451,1.14821,207,-0.1217,220,-0.0286,155,-0.7394
ENSG00000075151,EIF4G3,140,-1.3310,211,-0.7749,259,-0.4030,559,0.82503,602,0.94809,196,-0.8305,613,0.97836,310,-0.1700
ENSG00000117298,ECE1,36,1.15623,23,0.47990,47,1.62123,4,-2.0130,16,-0.1726,13,-0.4160,7,-1.4186,10,-0.9861
ENSG00000076864,RAP1GAP,41,-1.7650,95,-0.5645,222,0.83115,123,-0.1226,68,-1.0133,203,0.68360,116,-0.2071,157,0.38511
ENSG00000090686,USP48,79,-0.0621,40,-1.1746,156,1.03541,85,0.05068,130,0.73413,82,-0.0067,111,0.47063,66,-0.4409
ENSG00000070831,CDC42,111,-0.7133,111,-0.7676,162,-0.1371,174,-0.0247,132,-0.4459,182,0.04915,211,0.28242,231,0.62785
ENSG00000133216,EPHB2,15,0.07740,10,-0.5861,6,-1.3430,5,-1.4145,23,0.75737,17,0.26787,5,-1.6199,20,0.80782
ENSG00000004487,KDM1A,33,-1.2937,57,-0.4998,108,0.53089,52,-0.6051,83,0.12395,57,-0.4630,101,0.42973,94,0.45542
ENSG00000169641,LUZP1,80,-1.4460,179,-0.2430,116,-0.8910,342,0.81290,400,1.07696,120,-0.8360,490,1.43542,144,-0.7271
ENSG00000125944,HNRNPR,108,-0.2997,89,-0.6444,141,0.12465,177,0.48220,162,0.34096,174,0.45465,101,-0.3907,132,0.01762
ENSG00000142676,RPL11,863,1.41456,444,0.32710,271,-0.4764,321,-0.2161,197,-0.9630,579,0.72738,163,-1.2491,285,-0.5223
ENSG00000011007,ELOA,34,0.41382,29,0.17570,21,-0.2875,33,0.38331,35,0.49262,22,-0.2484,26,-0.0105,20,-0.4709
ENSG00000057757,PITHD1,73,-1.0790,139,-0.1005,119,-0.3306,143,-0.0484,75,-1.0261,159,0.12422,180,0.32149,185,0.52497
ENSG00000011009,LYPLA2,15,-0.7056,24,0.06951,35,0.61804,11,-1.1252,15,-0.6211,25,0.08182,29,0.36184,25,0.18933
ENSG00000117308,GALE,0,-4.4046,14,-0.2191,22,0.45124,22,0.46360,3,-2.1875,9,-0.8565,11,-0.5641,25,1.01071
ENSG00000189266,PNRC2,69,0.17585,46,-0.4909,65,0.06859,63,0.01489,61,-0.0262,74,0.28517,33,-0.9585,72,0.32277
ENSG00000188529,SRSF10,70,0.06217,44,-0.6988,136,1.14796,70,0.04773,98,0.59408,28,-1.3507,54,-0.3557,67,-0.0306
ENSG00000001461,NIPAL3,166,0.38872,58,-1.3158,172,0.44825,109,-0.2754,128,-0.0208,309,1.44164,179,0.50883,95,-0.6294
ENSG00000133226,SRRM1,409,1.04466,118,-0.9896,318,0.62102,312,0.59191,493,1.36955,177,-0.3083,169,-0.3772,118,-1.1548
ENSG00000169504,CLIC4,122,3.49358,10,-1.0784,20,0.04032,4,-2.4275,2,-3.3147,58,1.79615,0,-5.7709,3,-3.1089
ENSG00000117614,SYF2,170,0.48515,140,0.19471,79,-0.7169,222,0.92778,193,0.68972,87,-0.5573,115,-0.1354,90,-0.6748
ENSG00000117616,RSRP1,57,-0.3964,12,-2.7965,385,3.08659,13,-2.5686,67,-0.1398,39,-0.9776,41,-0.8889,64,-0.2957
ENSG00000183726,TMEM50A,75,0.23763,50,-0.4191,69,0.10370,40,-0.7398,46,-0.5095,72,0.17668,55,-0.2622,79,0.46777
ENSG00000204178,MACO1,60,-0.3189,38,-1.0875,109,0.62756,89,0.29852,142,1.07330,62,-0.2529,86,0.24816,64,-0.2678
ENSG00000117643,MAN1C1,9,-2.2249,31,-0.4413,46,0.20245,17,-1.3338,40,-0.0242,6,-2.8731,40,-0.0230,67,1.26970
ENSG00000162430,SELENON,43,1.11477,36,0.92212,42,1.04218,9,-1.2989,9,-1.3500,17,-0.3696,6,-1.9060,16,-0.6353
ENSG00000117640,MTFR1L,60,0.00130,57,-0.0779,57,-0.0883,40,-0.6365,51,-0.2576,31,-1.0176,64,0.09742,76,0.54024
ENSG00000117632,STMN1,519,-1.4621,943,-0.6064,797,-0.8185,1587,0.25158,863,-0.6964,2252,0.82304,1159,-0.2430,1797,0.66531
ENSG00000158008,EXTL1,37,-0.0397,47,0.37215,44,0.24306,22,-0.7915,30,-0.3401,53,0.52266,36,-0.0905,35,-0.1888
ENSG00000175087,PDIK1L,13,-0.2809,11,-0.5303,14,-0.1380,22,0.55265,8,-0.8930,28,0.96298,21,0.45251,14,-0.1749
ENSG00000142684,ZNF593,20,-1.2098,45,-0.0099,32,-0.5438,51,0.18027,33,-0.4757,51,0.20265,43,-0.0777,56,0.46900
ENSG00000142669,SH3BGRL3,155,-0.0147,185,0.29825,141,-0.1656,129,-0.3006,75,-1.1148,259,0.81156,105,-0.6185,161,0.05954
ENSG00000158062,UBXN11,28,0.45633,21,0.01449,37,0.86183,11,-0.9898,17,-0.3174,20,-0.1031,5,-2.1218,24,0.22591
ENSG00000117682,DHDDS,10,-1.0344,17,-0.2610,19,-0.0986,19,-0.1001,12,-0.7376,28,0.57081,27,0.49673,22,0.25491
ENSG00000198830,HMGN2,278,1.01870,163,0.15945,159,0.10769,125,-0.2633,84,-0.8800,238,0.76022,36,-2.1206,134,-0.2136
ENSG00000117713,ARID1A,103,0.61483,71,0.02286,76,0.12378,68,-0.0488,100,0.57730,46,-0.6276,37,-0.9478,67,-0.1008
ENSG00000204160,ZDHHC18,13,-0.8347,16,-0.5224,25,0.14155,18,-0.3361,8,-1.4826,19,-0.2690,30,0.42021,32,0.77363
ENSG00000142751,GPN2,26,0.38852,13,-0.6889,18,-0.1816,16,-0.3164,23,0.19607,14,-0.5212,23,0.21948,24,0.36334
ENSG00000090273,NUDC,246,0.01074,243,-0.0069,195,-0.3475,295,0.30147,188,-0.4031,243,-0.0080,215,-0.1960,265,0.18185
ENSG00000253368,TRNP1,20,-1.4330,66,0.43403,23,-1.2350,85,0.79767,18,-1.5472,33,-0.6867,74,0.55409,59,0.29174
ENSG00000090020,SLC9A1,10,-1.0982,18,-0.2802,21,-0.0312,27,0.37674,13,-0.7051,17,-0.3187,35,0.77172,24,0.26604
ENSG00000142784,WDTC1,36,0.71136,29,0.37204,27,0.24704,18,-0.4284,14,-0.7498,13,-0.8474,16,-0.5451,24,0.08230
ENSG00000186501,TMEM222,32,-0.0018,32,0.00878,51,0.75071,13,-1.3110,23,-0.5208,30,-0.1189,23,-0.5271,37,0.32466
ENSG00000158195,WASF2,161,2.74593,33,-0.0830,44,0.36993,23,-0.6231,41,0.25364,33,-0.0751,16,-1.1545,9,-2.4277
ENSG00000126705,AHDC1,45,-0.2954,35,-0.7264,80,0.60332,46,-0.2809,78,0.55856,42,-0.3991,52,-0.0791,61,0.23478
ENSG00000126709,IFI6,99,0.02685,65,-0.6802,119,0.30724,49,-1.0612,34,-1.5735,113,0.22599,189,1.07885,110,0.26040
ENSG00000009780,FAM76A,24,0.38474,10,-0.9437,44,1.41755,11,-0.7761,33,0.92808,16,-0.2445,5,-1.7859,17,-0.1577
ENSG00000117758,STX12,94,-0.1737,84,-0.3704,141,0.47301,118,0.18870,69,-0.6344,140,0.45911,97,-0.1113,107,0.05254
ENSG00000117751,PPP1R8,46,0.92218,18,-0.5960,26,-0.0256,24,-0.1412,18,-0.5282,27,0.02949,10,-1.4714,32,0.42770
ENSG00000117748,RPA2,21,-1.0492,24,-0.9420,55,0.39949,36,-0.2886,8,-2.4008,56,0.41334,31,-0.5088,65,1.01341
ENSG00000126698,DNAJC8,192,-0.2986,284,0.34968,111,-1.1271,346,0.63800,367,0.73467,195,-0.2797,287,0.33234,182,-0.5059
ENSG00000130770,ATP5IF1,228,-1.3111,585,0.14493,248,-1.1861,618,0.21935,238,-1.2481,434,-0.3353,502,-0.1081,755,0.81269
ENSG00000204138,PHACTR4,78,2.13982,17,-0.4459,34,0.68622,24,0.09854,40,0.93438,24,0.13405,6,-1.8310,7,-2.0766
ENSG00000180098,TRNAU1AP,27,0.61685,14,-0.4760,25,0.47752,13,-0.5037,7,-1.4465,20,0.17959,23,0.33572,19,0.11182
ENSG00000120656,TAF12,11,-0.6357,25,0.73104,16,-0.0203,16,0.01693,11,-0.5398,10,-0.7821,10,-0.7543,18,0.22473
ENSG00000198492,YTHDF2,23,-2.1065,66,-0.6032,91,-0.0621,98,0.06201,87,-0.1193,122,0.40778,148,0.72838,108,0.29655
ENSG00000116329,OPRD1,5,-1.6004,16,0.16002,11,-0.4702,23,0.69142,24,0.80519,4,-1.8491,19,0.40095,14,-0.0230
ENSG00000159023,EPB41,15,-0.3575,13,-0.6125,31,0.75441,42,1.24586,42,1.26650,5,-1.9953,39,1.11338,8,-1.5993
ENSG00000116350,SRSF4,98,-0.0019,62,-0.7485,115,0.25503,137,0.53703,179,0.97209,68,-0.5749,81,-0.2899,94,-0.1013
ENSG00000116353,MECR,24,-0.4884,41,0.37291,30,-0.1432,18,-0.9114,17,-1.0189,25,-0.4693,50,0.63926,38,0.31016
ENSG00000162512,SDC3,200,0.77571,181,0.68638,138,0.17732,51,-1.3316,97,-0.3789,59,-1.1222,65,-0.9728,128,0.06913
ENSG00000134644,PUM1,104,-0.5426,109,-0.5041,189,0.39014,183,0.33551,251,0.85598,115,-0.3866,155,0.07107,140,-0.1219
ENSG00000060688,SNRNP40,19,-0.1056,8,-1.5339,20,-0.0478,27,0.43772,9,-1.3018,26,0.33041,23,0.16244,27,0.63176
ENSG00000121766,ZCCHC17,112,-0.5173,141,-0.1732,102,-0.6655,161,0.04316,200,0.39121,179,0.21349,180,0.22687,165,0.11790
ENSG00000121769,FABP3,27,-2.4077,122,-0.1996,69,-1.0453,74,-0.9457,46,-1.6628,136,-0.0224,238,0.88469,204,0.96410
ENSG00000162517,PEF1,20,-2.0131,82,0.09362,55,-0.5264,55,-0.5462,48,-0.7518,74,-0.0827,80,0.04034,110,0.81714
