Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000117115,PADI2,118,2.51079,23,-0.5042,25,-0.2717,9,-1.8394,55,0.99933,8,-2.0045,6,-2.3069
ENSG00000117154,IGSF21,9,-2.4477,48,0.06666,60,0.39363,77,0.95030,63,0.47265,17,-1.5638,22,-1.1608
ENSG00000159423,ALDH4A1,30,-0.0160,34,0.23314,25,-0.3385,9,-2.0216,99,2.08552,26,-0.2855,7,-2.2238
ENSG00000127481,UBR4,101,1.24174,27,-1.0669,23,-1.1353,27,-0.9403,51,0.08905,87,0.98703,83,0.90775
ENSG00000127463,EMC1,24,-0.3620,24,-0.4270,29,-0.0733,45,0.72989,33,0.11521,33,0.10470,23,-0.4347
ENSG00000053372,MRTO4,29,-0.5568,36,-0.2962,70,0.85357,50,0.34615,19,-1.2145,45,0.14076,45,0.12194
ENSG00000053371,AKR7A2,42,0.92671,18,-0.5146,44,0.98142,26,0.13826,32,0.42634,11,-1.1700,5,-2.2909
ENSG00000077549,CAPZB,74,-0.9175,109,-0.4169,181,0.48767,168,0.41500,205,0.69239,78,-0.8443,142,0.09599
ENSG00000173436,MICOS10,189,-0.3456,276,0.34851,530,1.39194,207,-0.2240,153,-0.6742,122,-1.0162,111,-1.1615
ENSG00000158747,NBL1,43,-1.4347,103,-0.1204,114,0.06341,183,1.00653,89,-0.3182,105,-0.0702,67,-0.7526
ENSG00000162545,CAMK2N1,587,-1.8621,2453,0.46472,2779,0.55553,1330,-0.6876,3185,0.78715,1353,-0.5991,1875,-0.0865
ENSG00000158828,PINK1,161,-1.3323,427,0.24079,607,0.77094,514,0.56213,198,-1.0141,259,-0.6078,276,-0.5076
ENSG00000117245,KIF17,3,-2.8677,20,-0.3358,17,-0.5404,50,1.55268,3,-2.8959,37,0.72729,16,-0.6212
ENSG00000189410,SH2D5,3,-3.5595,39,0.21203,56,0.76194,41,0.26168,22,-0.6895,21,-0.7825,51,0.60594
ENSG00000127483,HP1BP3,515,0.83257,168,-1.1425,199,-0.7028,269,-0.2579,472,0.68277,453,0.61540,432,0.53422
ENSG00000075151,EIF4G3,271,-0.0452,177,-0.8621,231,-0.2954,292,0.08795,329,0.27110,272,-0.0397,566,1.19931
ENSG00000076864,RAP1GAP,11,-3.1248,73,-0.3734,89,0.01016,213,1.88757,28,-1.7741,65,-0.4768,46,-1.0105
ENSG00000090686,USP48,113,0.42544,50,-1.0364,54,-0.7559,86,-0.0313,148,0.87120,114,0.44015,122,0.54057
ENSG00000070831,CDC42,71,-0.8695,98,-0.4657,131,0.08144,217,1.09391,135,0.13314,65,-1.0113,114,-0.1359
ENSG00000004487,KDM1A,27,-1.2497,45,-0.5992,67,0.14622,78,0.44790,79,0.41284,68,0.18246,80,0.43012
ENSG00000169641,LUZP1,91,-0.9977,130,-0.5602,122,-0.5500,175,0.01100,151,-0.2179,252,0.61223,379,1.32661
ENSG00000125944,HNRNPR,174,0.47973,95,-0.5971,102,-0.3761,142,0.17339,155,0.28846,126,-0.0440,168,0.42118
ENSG00000142676,RPL11,775,0.97400,498,0.30175,693,0.78047,313,-0.5597,338,-0.3897,186,-1.3015,210,-1.1213
ENSG00000011007,ELOA,59,1.07905,15,-1.3462,35,0.18615,22,-0.5554,24,-0.3930,48,0.71828,54,0.93747
ENSG00000057757,PITHD1,48,-1.3905,120,0.02301,139,0.25212,215,1.18528,51,-1.3063,57,-1.1337,101,-0.2496
ENSG00000011009,LYPLA2,5,-2.1426,24,0.09221,31,0.51967,30,0.55742,20,-0.1761,16,-0.5436,21,-0.0796
ENSG00000189266,PNRC2,60,0.02608,52,-0.2585,62,0.09748,62,0.10643,77,0.44023,62,0.08065,47,-0.3509
ENSG00000188529,SRSF10,87,0.52595,50,-0.4363,51,-0.3363,76,0.34830,41,-0.6752,60,-0.0693,87,0.53201
ENSG00000001461,NIPAL3,273,1.22281,69,-1.2102,126,-0.0866,142,0.11960,101,-0.4211,187,0.56545,148,0.17758
ENSG00000133226,SRRM1,1087,2.59206,120,-1.4719,124,-1.2069,139,-1.1230,206,-0.4321,342,0.38064,308,0.20665
ENSG00000117614,SYF2,166,0.31270,107,-0.4783,164,0.28695,108,-0.4205,220,0.78120,135,-0.0258,148,0.12359
ENSG00000117616,RSRP1,51,-0.3055,38,-0.9029,45,-0.5096,91,0.74480,117,1.06032,45,-0.5100,64,0.04611
ENSG00000183726,TMEM50A,30,-0.6940,37,-0.4999,43,-0.1691,67,0.63775,92,1.10692,36,-0.4470,31,-0.6831
ENSG00000204178,MACO1,88,0.68705,32,-1.0766,33,-0.8810,66,0.23804,83,0.59072,73,0.36883,73,0.37500
ENSG00000117643,MAN1C1,15,-1.1621,41,0.54810,30,-0.0869,37,0.27043,22,-0.5906,15,-1.1389,40,0.35375
ENSG00000162430,SELENON,25,-0.2149,34,0.39714,30,0.07802,22,-0.4351,62,1.32635,8,-1.9616,13,-1.2314
ENSG00000117640,MTFR1L,27,-1.1770,62,0.10237,81,0.51767,71,0.34943,52,-0.1915,31,-0.9711,69,0.25309
ENSG00000117632,STMN1,329,-1.6107,858,-0.1773,1530,0.81268,1472,0.87454,599,-0.7020,635,-0.6112,756,-0.3394
ENSG00000158008,EXTL1,6,-2.6560,37,0.13435,58,0.84612,47,0.59482,22,-0.7017,40,0.25515,14,-1.3717
ENSG00000142684,ZNF593,8,-1.5337,27,0.28794,41,0.92976,27,0.30543,12,-1.0037,16,-0.5705,20,-0.2269
ENSG00000142669,SH3BGRL3,88,-0.3992,125,0.21034,168,0.64948,142,0.43233,76,-0.6132,80,-0.5420,58,-1.0323
ENSG00000198830,HMGN2,208,0.54174,145,-0.0660,186,0.35121,129,-0.2653,188,0.37286,95,-0.7115,126,-0.2648
ENSG00000117713,ARID1A,91,0.21134,62,-0.5050,56,-0.5625,84,0.08346,92,0.22929,96,0.29647,112,0.54361
ENSG00000090273,NUDC,84,-1.4170,207,-0.0474,318,0.67268,261,0.39099,249,0.26451,137,-0.6800,184,-0.2222
ENSG00000253368,TRNP1,2,-4.8743,68,0.48900,75,0.52485,57,0.08111,51,-0.0887,45,-0.3162,53,-0.0464
ENSG00000142784,WDTC1,10,-1.6294,35,0.25238,20,-0.6692,28,-0.1368,19,-0.7590,57,1.01305,41,0.45311
ENSG00000186501,TMEM222,35,0.18746,33,0.11681,30,-0.0502,42,0.55879,19,-0.7169,27,-0.2382,17,-0.9342
ENSG00000158195,WASF2,183,1.75247,45,-0.7639,51,-0.4353,15,-2.4007,140,1.25084,94,0.55545,37,-0.9200
ENSG00000126705,AHDC1,56,-0.0884,43,-0.5919,40,-0.5879,71,0.33665,42,-0.5330,84,0.58503,95,0.78864
ENSG00000126709,IFI6,30,-0.9667,58,0.04774,70,0.31789,94,0.97586,39,-0.5984,24,-1.3099,44,-0.4200
ENSG00000117758,STX12,47,-0.9689,73,-0.3572,93,0.10099,107,0.38221,145,0.84136,60,-0.5911,95,0.13340
ENSG00000117748,RPA2,7,-2.0448,27,-0.0416,16,-0.7722,48,1.11397,51,1.02296,8,-1.7665,14,-1.0246
ENSG00000126698,DNAJC8,237,0.05589,173,-0.5453,226,-0.0184,190,-0.3335,373,0.80488,223,-0.0434,333,0.61204
ENSG00000130770,ATP5IF1,95,-1.8892,362,0.21245,747,1.41359,416,0.45132,219,-0.6293,95,-1.8839,195,-0.8075
ENSG00000204138,PHACTR4,114,1.97718,20,-1.1704,18,-1.0815,16,-1.4001,55,0.62961,55,0.64024,39,0.07855
ENSG00000198492,YTHDF2,26,-1.5524,54,-0.5764,66,-0.1351,94,0.48030,88,0.31821,62,-0.2423,132,1.00429
ENSG00000116350,SRSF4,160,1.06146,46,-1.1443,81,-0.0836,60,-0.6117,109,0.41022,144,0.86924,99,0.24669
ENSG00000116353,MECR,14,-0.7075,15,-0.7282,26,0.26849,38,1.03325,24,0.13300,13,-0.8275,24,0.10470
ENSG00000162512,SDC3,142,0.67750,77,-0.3788,69,-0.4789,82,-0.2355,146,0.72719,74,-0.3737,111,0.26638
ENSG00000134644,PUM1,117,-0.6718,126,-0.6836,136,-0.4418,212,0.30524,232,0.41466,257,0.58578,253,0.55849
ENSG00000121766,ZCCHC17,129,-0.4039,142,-0.3180,165,-0.0172,223,0.53788,143,-0.2497,183,0.14976,178,0.09773
ENSG00000121769,FABP3,8,-2.4521,43,-0.0089,63,0.61936,75,1.08329,40,-0.1121,7,-2.6378,34,-0.3822
ENSG00000162517,PEF1,14,-1.8601,47,-0.0941,110,1.36382,42,-0.2884,50,0.03006,30,-0.7551,63,0.40032
ENSG00000084636,COL16A1,45,0.96790,18,-0.6272,27,0.10839,25,0.03771,42,0.87287,17,-0.5562,13,-0.9678
ENSG00000121753,ADGRB2,37,-2.4490,171,-0.2058,261,0.52141,302,0.89882,234,0.33964,122,-0.6971,126,-0.6470
ENSG00000184007,PTP4A2,1074,2.68044,175,-0.7455,127,-1.0935,175,-0.6669,122,-1.1559,204,-0.3732,176,-0.5975
ENSG00000121774,KHDRBS1,93,-0.1868,97,-0.1535,114,0.13780,103,-0.0226,142,0.50131,92,-0.2070,108,0.04410
ENSG00000025800,KPNA6,90,-0.3781,81,-0.6642,76,-0.6389,119,0.08796,186,0.81137,129,0.20387,177,0.72558
ENSG00000084652,TXLNA,39,0.59779,16,-0.9404,21,-0.3413,35,0.50765,46,0.87851,19,-0.5522,24,-0.1577
ENSG00000084623,EIF3I,41,-0.8637,71,-0.0392,99,0.50715,92,0.44978,77,0.09756,36,-1.0850,73,0.01898
ENSG00000175130,MARCKSL1,284,2.10523,76,-0.2849,90,0.04666,34,-1.5369,105,0.29607,42,-1.1426,58,-0.6506
ENSG00000160058,BSDC1,57,0.05052,42,-0.4967,80,0.61640,46,-0.3242,76,0.53885,47,-0.2461,70,0.39123
ENSG00000176261,ZBTB8OS,16,-0.8817,31,0.17274,58,1.17433,22,-0.4885,35,0.28310,27,-0.1350,16,-0.9414
ENSG00000162521,RBBP4,80,-0.3624,69,-0.7322,72,-0.5258,110,0.15004,187,1.02800,106,0.08718,138,0.50584
ENSG00000134684,YARS,23,-2.1159,77,-0.3669,125,0.48907,146,0.87220,102,0.14721,56,-0.7855,99,0.10282
ENSG00000160097,FNDC5,8,-1.7892,23,-0.2116,28,0.11938,32,0.41779,16,-0.6995,34,0.46025,37,0.59893
ENSG00000121905,HPCA,4,-4.9674,106,-0.4315,255,1.11154,224,1.03942,109,-0.2939,77,-0.8282,106,-0.3479
ENSG00000121900,TMEM54,23,-0.1039,35,0.80098,37,0.64990,22,-0.1771,7,-1.9412,10,-1.3651,20,-0.3574
ENSG00000004455,AK2,40,1.01284,30,0.73439,33,0.66934,10,-1.2201,1,-3.6204,16,-0.4880,15,-0.5358
ENSG00000160094,ZNF362,23,0.12637,17,-0.4586,19,-0.1421,23,0.16295,11,-0.9359,33,0.72231,28,0.47965
ENSG00000134686,PHC2,12,-1.9135,53,0.52127,36,-0.2312,52,0.40195,38,-0.1490,26,-0.7248,43,0.02644
ENSG00000163866,SMIM12,15,-1.2163,44,0.54557,63,1.02837,43,0.45095,8,-2.0949,10,-1.7724,25,-0.4916
ENSG00000116544,DLGAP3,1,-5.0972,65,0.54851,43,-0.2491,47,-0.1215,97,1.07934,31,-0.7607,44,-0.2139
ENSG00000116560,SFPQ,653,1.72432,123,-1.2592,167,-0.5868,141,-0.9287,289,0.28282,388,0.77482,281,0.23746
ENSG00000146463,ZMYM4,100,0.63123,59,-0.2807,51,-0.4469,44,-0.7438,97,0.58948,65,-0.0550,100,0.63624
ENSG00000142687,KIAA0319L,25,-1.4951,57,-0.2888,53,-0.3395,96,0.69446,91,0.51928,55,-0.2932,75,0.19884
ENSG00000020129,NCDN,35,-3.6591,334,-0.3844,651,0.78290,790,1.35093,331,-0.3201,146,-1.5733,310,-0.4233
ENSG00000126067,PSMB2,38,-0.8200,54,-0.3449,77,0.28860,128,1.40713,36,-0.8977,40,-0.7282,33,-1.0429
ENSG00000142686,C1orf216,12,-2.9510,90,-0.0284,123,0.49626,148,0.94795,91,0.00460,32,-1.5761,85,-0.1177
ENSG00000092847,AGO1,45,0.15363,35,-0.2995,29,-0.5530,33,-0.3792,43,0.07377,54,0.45812,67,0.80924
ENSG00000126070,AGO3,81,0.59279,29,-1.2310,25,-1.2209,48,-0.2823,77,0.50313,89,0.74330,110,1.10778
ENSG00000054116,TRAPPC3,8,-1.9003,26,-0.3175,39,0.38361,58,1.29048,24,-0.3666,11,-1.5402,28,-0.1160
ENSG00000116871,MAP7D1,148,-0.2601,170,-0.0499,234,0.47976,187,0.12809,137,-0.3766,147,-0.2724,193,0.16093
ENSG00000054118,THRAP3,206,-0.0124,134,-0.8244,174,-0.2758,156,-0.4963,259,0.36476,316,0.69248,402,1.11449
ENSG00000181817,LSM10,7,-1.9585,30,0.19633,65,1.48280,33,0.32713,27,-0.0094,9,-1.6311,9,-1.6972
ENSG00000116898,MRPS15,31,-0.3059,37,-0.0402,59,0.74428,41,0.17805,59,0.75515,12,-1.6914,20,-0.9387
ENSG00000163875,MEAF6,36,-1.4787,95,-0.0175,118,0.33472,137,0.68637,93,-0.0384,65,-0.5906,84,-0.2021
ENSG00000134697,GNL2,49,1.18785,21,-0.2781,29,0.26747,20,-0.3098,21,-0.1990,20,-0.2702,19,-0.3840
ENSG00000197982,C1orf122,130,0.23199,147,0.57865,204,0.98904,81,-0.5715,95,-0.2664,58,-1.0334,37,-1.6779
ENSG00000183431,SF3A3,25,-0.6939,31,-0.4921,20,-1.0324,59,0.76353,44,0.16191,35,-0.1909,61,0.70612
ENSG00000183520,UTP11,27,-0.3852,24,-0.6776,21,-0.8015,49,0.62371,63,0.98710,22,-0.7476,45,0.42367
ENSG00000116954,RRAGC,48,0.33370,29,-0.5459,41,0.09913,51,0.50638,30,-0.3968,47,0.29696,33,-0.2789
ENSG00000174574,AKIRIN1,31,-1.4108,62,-0.4670,111,0.55307,107,0.56525,61,-0.4090,97,0.33585,89,0.19459
ENSG00000168653,NDUFS5,218,-1.5217,673,0.29642,1149,1.13378,612,0.07952,541,-0.1263,309,-0.9960,397,-0.6121
ENSG00000127603,MACF1,1508,2.11488,231,-1.2877,185,-1.4193,176,-1.6051,653,0.56067,626,0.49024,622,0.47941
ENSG00000090621,PABPC4,97,0.40697,79,0.09583,52,-0.5746,42,-0.9701,107,0.57502,105,0.55050,70,-0.1176
ENSG00000116983,HPCAL4,76,-2.5060,376,-0.1163,451,0.20023,457,0.25438,551,0.53021,392,-0.0244,469,0.26517
ENSG00000084072,PPIE,17,-0.7499,22,-0.4507,44,0.73296,41,0.71788,31,0.14539,28,-0.0387,12,-1.2379
ENSG00000131236,CAP1,111,-0.4378,125,-0.3257,157,0.10085,198,0.55760,157,0.10687,133,-0.1564,142,-0.0585
ENSG00000131238,PPT1,20,-2.2512,77,-0.3100,148,0.82756,125,0.62789,105,0.25328,61,-0.5942,82,-0.1430
ENSG00000117000,RLF,37,0.39232,11,-1.7039,21,-0.4885,25,-0.2190,54,1.04092,50,0.92091,42,0.62631
ENSG00000084073,ZMPSTE24,36,0.47926,25,-0.1560,23,-0.2583,35,0.47747,14,-1.0326,31,0.24761,21,-0.4168
ENSG00000084070,SMAP2,68,-1.1813,103,-0.6728,125,-0.2389,158,0.14964,136,-0.1111,196,0.48478,307,1.26211
ENSG00000117016,RIMS3,15,-3.7129,245,0.69462,192,0.10873,151,-0.3056,208,0.23882,132,-0.4842,211,0.25847
ENSG00000066136,NFYC,12,-1.1785,25,-0.1832,23,-0.2702,52,1.32163,26,-0.0872,19,-0.5465,12,-1.2414
ENSG00000127124,HIVEP3,19,-0.6227,27,-0.0434,29,0.07370,17,-0.8286,22,-0.3688,46,0.82126,47,0.85723
ENSG00000198815,FOXJ3,13,-1.7639,39,-0.2327,39,-0.1512,88,1.42690,21,-1.1344,8,-2.4851,61,0.55710
ENSG00000177181,RIMKLA,13,-2.2097,52,-0.1207,64,0.22030,57,0.03910,41,-0.4721,53,-0.0772,114,1.21814
ENSG00000127125,PPCS,36,-0.4236,49,0.10006,53,0.18189,49,0.08803,64,0.49104,24,-1.0065,47,-0.0098
ENSG00000186409,CCDC30,51,-0.4375,44,-0.8277,40,-0.8211,43,-0.7755,131,1.09413,111,0.81388,128,1.05871
ENSG00000065978,YBX1,277,1.60216,102,-0.1494,100,-0.1379,40,-1.6559,209,1.07818,55,-1.0546,69,-0.7235
ENSG00000177868,SVBP,21,-0.9958,36,-0.2269,64,0.74498,41,0.01161,29,-0.5466,41,0.02850,61,0.64959
ENSG00000117394,SLC2A1,26,-0.1869,43,0.80352,18,-0.8078,22,-0.5363,46,0.72476,28,-0.0790,7,-2.0504
ENSG00000117395,EBNA1BP2,27,-1.3665,66,-0.0049,106,0.77264,79,0.32247,73,0.15630,31,-1.1612,69,0.06612
