Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000162585,FAAP20,27,-0.3240,12,-1.6866,40,0.30069,30,-0.1780,58,0.90444,53,0.76837,39,0.24392,51,0.68810
ENSG00000157933,SKI,26,-0.4055,28,-0.3534,14,-1.3215,26,-0.4597,72,1.25340,52,0.69557,29,-0.2045,42,0.35755
ENSG00000157916,RER1,57,0.53456,43,0.12839,43,0.08585,24,-0.8512,44,0.11557,65,0.76525,38,-0.1129,22,-0.9425
ENSG00000157911,PEX10,17,-0.1564,18,-0.0759,17,-0.1891,10,-1.0229,32,0.85365,29,0.67659,20,0.06000,19,-0.0022
ENSG00000197921,HES5,8,-1.5523,15,-0.7151,8,-1.4130,4,-2.6205,46,1.23937,66,1.90154,40,0.99901,19,-0.1930
ENSG00000157870,PRXL2B,46,-0.0963,51,0.08443,94,1.07175,40,-0.3392,33,-0.6002,64,0.44152,32,-0.6585,35,-0.5046
ENSG00000177133,PRDM16-DT,9,-1.2311,18,-0.3024,8,-1.3775,4,-2.4320,48,1.31834,46,1.24648,45,1.20636,17,-0.3989
ENSG00000158109,TPRG1L,245,0.66299,219,0.62675,161,-0.0192,143,-0.2184,72,-1.2438,174,0.10868,61,-1.4905,133,-0.3188
ENSG00000130764,LRRC47,106,1.08551,72,0.57208,45,-0.3230,37,-0.6537,29,-0.9630,62,0.20494,42,-0.4319,29,-0.9865
ENSG00000116198,CEP104,31,-0.0539,22,-0.7205,22,-0.6061,42,0.47183,85,1.62978,15,-1.1515,27,-0.2868,26,-0.3160
ENSG00000196581,AJAP1,26,-0.7380,58,0.63076,48,0.17083,54,0.42918,24,-0.8756,30,-0.5354,26,-0.7302,33,-0.3764
ENSG00000069424,KCNAB2,179,0.08591,191,0.23499,275,0.78475,132,-0.4277,86,-1.0537,287,0.85794,63,-1.5097,142,-0.2862
ENSG00000116254,CHD5,99,-1.4545,237,-0.1613,379,0.62414,357,0.59637,169,-0.6520,114,-1.2480,357,0.52456,291,0.19414
ENSG00000116251,RPL22,459,-0.1383,533,0.12347,318,-0.7072,366,-0.5350,616,0.33307,642,0.39802,413,-0.3021,731,0.61322
ENSG00000116237,ICMT,54,0.73808,46,0.61368,40,0.23845,28,-0.3653,9,-1.9712,31,-0.1382,28,-0.3189,21,-0.7150
ENSG00000097021,ACOT7,300,1.06626,255,1.08098,172,0.14567,124,-0.4119,53,-1.6416,104,-0.6384,40,-2.0550,46,-1.8578
ENSG00000215788,TNFRSF25,10,-0.4515,15,0.14368,12,-0.1718,17,0.38464,12,-0.2127,14,-0.0212,15,0.08747,10,-0.4698
ENSG00000171680,PLEKHG5,17,-0.5514,35,0.73754,43,0.88054,17,-0.6293,27,0.15654,19,-0.4083,11,-1.1766,16,-0.7101
ENSG00000162408,NOL9,51,0.94357,28,-0.0184,17,-0.7500,24,-0.3075,22,-0.3610,35,0.33919,29,0.04923,26,-0.1659
ENSG00000162413,KLHL21,33,0.58704,26,0.25952,10,-1.2307,20,-0.2302,25,0.14871,33,0.57131,18,-0.3656,14,-0.6929
ENSG00000116273,PHF13,15,0.10899,20,0.76793,10,-0.4899,17,0.42750,13,-0.1051,6,-1.2861,4,-1.6512,9,-0.6206
ENSG00000041988,THAP3,32,1.31327,18,0.40903,13,-0.1983,12,-0.2803,15,0.04359,5,-1.4706,9,-0.7654,8,-0.9295
ENSG00000007923,DNAJC11,41,0.57182,26,-0.1493,41,0.58985,26,-0.1590,25,-0.2157,21,-0.4383,24,-0.2489,30,0.07792
ENSG00000171735,CAMTA1,509,0.07936,395,-0.3895,510,0.07945,761,0.84602,319,-0.6526,284,-0.8281,656,0.48838,345,-0.5307
ENSG00000049245,VAMP3,52,1.45706,13,-0.9616,14,-0.6910,8,-1.5908,33,0.66985,42,1.05082,19,-0.1731,25,0.24197
ENSG00000049246,PER3,33,-0.4806,42,-0.1625,22,-1.0983,42,-0.1450,107,1.42423,35,-0.4234,58,0.36643,38,-0.3017
ENSG00000116288,PARK7,311,0.23566,361,0.62720,134,-1.0695,183,-0.6497,211,-0.3759,472,0.92746,187,-0.5611,187,-0.5601
ENSG00000116285,ERRFI1,22,0.18123,22,0.19770,26,0.41267,23,0.25597,12,-0.7151,16,-0.3077,14,-0.5308,16,-0.3377
ENSG00000162426,SLC45A1,21,-0.0981,24,0.18327,38,0.90468,30,0.55146,13,-0.7834,18,-0.3135,12,-0.8941,7,-1.5913
ENSG00000142599,RERE,111,-0.5017,153,-0.0012,115,-0.4432,156,0.03177,202,0.45075,139,-0.1499,154,0.01682,190,0.35000
ENSG00000074800,ENO1,456,0.03101,427,-0.0919,456,0.03259,275,-0.8156,554,0.34292,1006,1.36081,330,-0.4734,285,-0.6985
ENSG00000171612,SLC25A33,25,-0.8162,37,-0.3128,18,-1.3281,19,-1.3301,60,0.50953,147,2.13117,52,0.29507,27,-0.7444
ENSG00000171603,CLSTN1,620,0.08009,809,0.67420,799,0.49125,691,0.28574,307,-1.0062,365,-0.7436,371,-0.7191,211,-1.5700
ENSG00000178585,CTNNBIP1,16,-0.4756,16,-0.6478,23,0.06922,19,-0.2762,16,-0.5353,35,0.73560,32,0.57948,38,0.84761
ENSG00000162441,LZIC,82,0.52717,52,-0.2521,24,-1.3685,45,-0.4735,104,0.92263,79,0.45592,47,-0.3687,70,0.26807
ENSG00000130939,UBE4B,46,0.54911,33,0.02505,23,-0.5273,50,0.79448,12,-1.5295,29,-0.1777,30,-0.1357,20,-0.7822
ENSG00000054523,KIF1B,387,-0.1747,388,-0.2106,400,-0.1243,535,0.38554,382,-0.1929,312,-0.5072,591,0.50562,449,0.05919
ENSG00000142657,PGD,62,0.47101,49,0.11054,79,0.86540,34,-0.5507,27,-0.8190,60,0.40416,40,-0.2199,28,-0.7899
ENSG00000241563,CORT,49,1.41507,23,0.21299,7,-1.5864,20,-0.0227,9,-1.2031,39,1.00313,5,-1.9866,9,-1.2045
ENSG00000160049,DFFA,53,0.28516,29,-0.8036,39,-0.2147,24,-0.9833,76,0.87749,77,0.90280,64,0.59137,44,-0.0073
ENSG00000142655,PEX14,20,0.43159,15,-0.0285,30,1.09464,12,-0.4084,12,-0.4446,16,0.07880,14,-0.1531,8,-1.0376
ENSG00000120948,TARDBP,77,0.08220,78,0.11519,51,-0.5710,89,0.34748,62,-0.2682,68,-0.1169,68,-0.1100,69,-0.0871
ENSG00000116649,SRM,52,0.24403,51,0.29514,48,0.11305,38,-0.2733,25,-0.8827,70,0.74599,28,-0.7301,36,-0.3203
ENSG00000171824,EXOSC10,35,0.37991,20,-0.6356,19,-0.5969,30,0.14219,52,1.04785,27,-0.0377,32,0.21764,20,-0.4731
ENSG00000198793,MTOR,42,0.02629,50,0.41391,49,0.27318,43,0.08473,32,-0.3879,50,0.31567,21,-1.0255,21,-1.0077
ENSG00000116661,FBXO2,122,-0.5751,159,-0.2031,170,-0.0592,88,-1.1570,239,0.49355,478,1.70522,77,-1.2751,202,0.21831
ENSG00000132879,FBXO44,56,-0.3902,94,0.56600,87,0.30228,74,0.04749,33,-1.1696,69,-0.0633,64,-0.1951,52,-0.5161
ENSG00000177000,MTHFR,24,0.34170,17,-0.2387,21,0.12496,21,0.16902,27,0.55459,20,0.03871,14,-0.5204,13,-0.6036
ENSG00000011021,CLCN6,48,-0.3188,42,-0.6197,135,1.38380,76,0.45877,23,-1.4456,52,-0.1884,72,0.32534,40,-0.6157
ENSG00000116685,KIAA2013,47,1.06045,27,0.16193,31,0.34808,18,-0.5657,28,0.22910,23,-0.1189,16,-0.6336,10,-1.3149
ENSG00000083444,PLOD1,19,0.53780,12,-0.2976,21,0.62113,7,-1.0167,22,0.74648,20,0.55644,16,0.19278,5,-1.5626
ENSG00000116688,MFN2,130,0.45322,111,0.25258,102,0.06830,109,0.18534,49,-1.0715,95,-0.0472,77,-0.3748,74,-0.4341
ENSG00000048707,VPS13D,60,-0.0718,56,-0.2160,49,-0.3639,79,0.42149,82,0.44230,56,-0.1628,76,0.31579,38,-0.7727
ENSG00000162496,DHRS3,24,0.19675,11,-1.1326,18,-0.2306,5,-2.1209,76,2.24546,49,1.38241,9,-1.3239,13,-0.7231
ENSG00000116731,PRDM2,181,-0.5358,274,0.14516,195,-0.4178,381,0.74524,195,-0.4213,72,-1.9187,305,0.28887,273,0.10619
ENSG00000189337,KAZN,70,0.54512,31,-0.8795,64,0.41397,58,0.26948,57,0.20757,64,0.39652,47,-0.0732,37,-0.4576
ENSG00000142634,EFHD2,63,0.52359,10,-2.4522,79,0.90580,68,0.75085,27,-0.7811,18,-1.4052,115,1.56993,30,-0.6496
ENSG00000116138,DNAJC16,46,0.62226,40,0.51255,41,0.43369,35,0.24198,18,-0.8110,12,-1.4698,17,-0.9271,18,-0.8590
ENSG00000197312,DDI2,37,0.01708,37,0.04942,35,-0.0786,50,0.57575,29,-0.3782,15,-1.3426,48,0.44868,25,-0.5541
ENSG00000116786,PLEKHM2,77,-0.4045,89,-0.2111,70,-0.5441,96,-0.0698,69,-0.5605,110,0.15856,144,0.59701,165,0.82941
ENSG00000065526,SPEN,79,-1.2463,177,-0.0236,77,-1.2851,244,0.56539,326,0.98852,66,-1.5106,213,0.28225,187,0.07483
ENSG00000116809,ZBTB17,18,0.06887,14,-0.4184,14,-0.2801,15,-0.2036,23,0.45035,23,0.42127,21,0.26630,20,0.19092
ENSG00000037637,FBXO42,19,0.25884,16,-0.0409,16,-0.0847,22,0.53872,17,0.04084,19,0.25026,12,-0.4172,4,-1.8741
ENSG00000055070,SZRD1,17,-0.7730,20,-0.6276,24,-0.2136,19,-0.6603,62,1.32129,47,0.84225,37,0.43374,23,-0.2861
ENSG00000159363,ATP13A2,84,0.28398,81,0.29455,113,0.77397,60,-0.2645,38,-0.9523,63,-0.1649,40,-0.8459,70,-0.0063
ENSG00000117118,SDHB,74,0.45046,68,0.39788,54,-0.0631,52,-0.1452,38,-0.5959,75,0.46361,45,-0.3510,23,-1.3219
ENSG00000117115,PADI2,104,1.11806,18,-1.8819,20,-1.4494,10,-2.5261,134,1.57157,152,1.80288,36,-0.5783,62,0.24991
ENSG00000179051,RCC2,12,-0.6665,23,0.37818,40,1.17353,17,-0.2477,14,-0.4621,20,0.04248,9,-1.0689,14,-0.5291
ENSG00000074964,ARHGEF10L,22,0.71157,12,-0.2445,9,-0.6477,8,-0.8931,11,-0.3490,20,0.58656,21,0.68044,17,0.31312
ENSG00000117154,IGSF21,64,0.52222,51,0.18633,75,0.78593,39,-0.3047,26,-0.9021,44,-0.0610,37,-0.3246,32,-0.5584
ENSG00000159423,ALDH4A1,8,-1.1952,16,-0.2391,13,-0.4171,4,-2.3571,23,0.43958,42,1.41323,40,1.33002,15,-0.2992
ENSG00000127481,UBR4,10,-1.9401,33,-0.3110,16,-1.3049,64,0.94432,76,1.12242,7,-2.5271,56,0.59992,32,-0.2695
ENSG00000127463,EMC1,53,0.90167,29,-0.0628,36,0.25853,25,-0.3012,33,0.15469,19,-0.7465,36,0.25918,18,-0.7680
ENSG00000053372,MRTO4,25,-0.5401,44,0.46890,36,0.03815,36,0.06763,42,0.27160,28,-0.3456,19,-0.9114,31,-0.1858
ENSG00000053371,AKR7A2,22,-0.4725,29,-0.0668,10,-1.5854,14,-1.2436,59,1.08783,75,1.52591,29,-0.0800,22,-0.5057
ENSG00000077549,CAPZB,177,0.15458,163,0.03655,244,0.68171,151,-0.1113,122,-0.4221,205,0.39527,122,-0.4279,103,-0.6907
ENSG00000173436,MICOS10,258,0.18861,205,-0.2143,198,-0.2354,198,-0.2561,134,-0.8358,339,0.63389,236,0.04271,347,0.67261
ENSG00000158747,NBL1,166,0.52427,114,-0.0947,165,0.51639,95,-0.3935,124,0.05875,119,-0.0053,105,-0.1980,104,-0.2129
ENSG00000169914,OTUD3,11,-0.4311,15,0.00314,5,-1.4446,27,1.09488,14,-0.0813,5,-1.4501,20,0.47903,9,-0.7399
ENSG00000162545,CAMK2N1,1095,-0.8231,2828,0.91571,763,-1.3681,1345,-0.5550,1310,-0.5490,2833,0.68351,743,-1.4091,2556,0.51278
ENSG00000090432,MUL1,10,-0.5307,19,0.54052,9,-0.6898,15,0.07325,14,-0.0597,14,-0.0391,24,0.78174,1,-3.1005
ENSG00000158828,PINK1,677,0.98893,419,0.24699,402,0.12841,319,-0.2643,177,-1.1425,432,0.24084,218,-0.8241,283,-0.4257
ENSG00000244038,DDOST,15,-0.3865,22,0.31003,16,-0.3046,14,-0.4588,22,0.25400,44,1.39960,7,-1.4256,9,-1.0421
ENSG00000117245,KIF17,28,0.53531,21,0.06357,44,1.28556,27,0.49822,6,-1.8440,7,-1.6100,12,-0.8096,10,-1.1133
ENSG00000189410,SH2D5,59,0.89706,54,0.99215,28,-0.3155,13,-1.5455,29,-0.2445,42,0.32461,12,-1.5858,18,-0.9479
ENSG00000127483,HP1BP3,188,-0.9094,346,0.04418,209,-0.7459,416,0.37456,548,0.78695,219,-0.6765,371,0.14626,316,-0.1063
ENSG00000075151,EIF4G3,306,-0.2234,371,0.09892,387,0.14820,616,1.06488,278,-0.3755,128,-1.5464,230,-0.6647,207,-0.8245
ENSG00000117298,ECE1,17,0.15740,8,-1.1210,15,-0.0435,8,-1.0994,58,2.29934,12,-0.4249,19,0.26688,11,-0.5578
ENSG00000076864,RAP1GAP,114,0.46679,69,-0.4050,132,0.70937,105,0.36986,60,-0.5450,69,-0.3268,111,0.42355,35,-1.3395
ENSG00000090686,USP48,67,-0.2703,75,-0.1164,66,-0.2999,124,0.82569,95,0.26947,34,-1.2824,77,-0.0552,65,-0.3260
ENSG00000070831,CDC42,227,0.52356,168,0.04616,268,0.80290,159,-0.0473,166,0.02036,140,-0.2500,106,-0.6802,74,-1.2156
ENSG00000004487,KDM1A,78,-0.0172,102,0.52651,66,-0.2796,99,0.40847,51,-0.6887,65,-0.2926,67,-0.2667,39,-1.0909
ENSG00000169641,LUZP1,202,-0.1173,174,-0.4306,332,0.68803,395,1.14701,187,-0.2355,51,-2.2010,173,-0.3618,138,-0.7104
ENSG00000125944,HNRNPR,106,-0.4193,174,0.47423,92,-0.6328,174,0.41406,143,0.05523,106,-0.4151,115,-0.2903,90,-0.6630
ENSG00000204219,TCEA3,1,-3.5800,8,-1.1072,2,-3.0741,17,0.07942,50,1.95912,18,0.13953,26,0.77938,21,0.39018
ENSG00000117318,ID3,32,0.93427,1,-4.4303,2,-3.1166,0,-6.2343,111,3.59985,29,0.76225,3,-2.3192,19,0.07764
ENSG00000142676,RPL11,524,0.49196,309,-0.4242,262,-0.6065,214,-0.9888,531,0.51559,658,0.87433,386,4.36718,531,0.51535
ENSG00000011007,ELOA,34,0.12434,28,-0.1815,24,-0.3880,43,0.56722,36,0.24812,25,-0.3181,22,-0.5574,31,-0.0073
ENSG00000057757,PITHD1,188,0.67457,148,0.36762,164,0.45599,127,0.04425,43,-1.6043,126,0.03159,82,-0.6477,61,-1.0970
ENSG00000011009,LYPLA2,18,-0.0779,20,0.14812,41,1.28654,13,-0.6323,11,-0.7353,21,0.14981,15,-0.3848,14,-0.3934
ENSG00000117308,GALE,18,0.50696,14,0.20053,4,-1.6008,11,-0.1975,16,0.32462,7,-0.9472,21,0.75259,11,-0.2943
ENSG00000117305,HMGCL,14,-0.0803,11,-0.4856,9,-0.7472,9,-0.8286,42,1.76296,26,0.92378,12,-0.2942,7,-1.0308
ENSG00000189266,PNRC2,88,0.63503,66,0.20216,43,-0.5185,51,-0.2747,55,-0.1149,79,0.45527,42,-0.5578,49,-0.3019
ENSG00000188529,SRSF10,79,0.30340,65,0.00025,41,-0.6964,75,0.26110,92,0.54793,38,-0.8448,72,0.16432,48,-0.4570
ENSG00000001461,NIPAL3,186,1.14702,66,-0.6499,121,0.42515,100,0.12365,100,0.11442,106,0.20578,68,-0.4921,46,-1.0839
ENSG00000133226,SRRM1,171,-0.4686,176,-0.5100,218,-0.0925,264,0.24038,600,1.62594,112,-1.1180,223,-0.0572,160,-0.5747
ENSG00000169504,CLIC4,88,2.03962,1,-4.3478,6,-2.1044,5,-2.5975,94,2.17137,48,0.91768,26,-0.0475,22,-0.3077
ENSG00000117614,SYF2,97,-0.5900,165,0.31349,96,-0.6119,125,-0.2125,233,0.81326,115,-0.3284,120,-0.2585,151,0.10541
ENSG00000117616,RSRP1,98,1.33880,22,-1.2479,29,-0.6309,58,0.48521,82,1.01738,46,0.07294,31,-0.5250,17,-1.4484
ENSG00000183726,TMEM50A,78,0.23026,84,0.44779,61,-0.1619,56,-0.3181,56,-0.2781,71,0.08620,67,-0.0164,45,-0.6182
ENSG00000204178,MACO1,58,-0.3883,64,-0.3061,81,0.12562,113,0.75403,102,0.49085,35,-1.1414,82,0.13578,49,-0.6540
ENSG00000117643,MAN1C1,33,-0.0225,57,1.22360,17,-0.9950,32,-0.0784,31,-0.1107,22,-0.6615,8,-2.0424,20,-0.8107
ENSG00000162430,SELENON,7,-1.4777,14,-0.5035,7,-1.3723,11,-0.8972,38,1.15170,46,1.48953,20,0.08497,24,0.38433
ENSG00000117640,MTFR1L,67,0.26743,63,0.23614,88,0.72595,48,-0.2676,41,-0.4941,66,0.25230,32,-0.8490,39,-0.5696
ENSG00000117632,STMN1,1696,0.72815,1277,0.33455,1103,0.02569,1500,0.59526,380,-1.6022,670,-0.7488,793,-0.4912,461,-1.3151
ENSG00000158008,EXTL1,33,0.19727,26,-0.2647,48,0.80000,22,-0.4987,20,-0.5683,33,0.18162,31,0.05917,38,0.38747
ENSG00000175087,PDIK1L,10,-0.5707,13,-0.2021,22,0.61812,20,0.51520,5,-1.6230,20,0.44643,19,0.38609,8,-0.9250
ENSG00000142684,ZNF593,44,1.05762,37,0.99082,6,-1.9653,10,-1.3487,19,-0.2832,34,0.58683,12,-0.9512,10,-1.2710
ENSG00000142669,SH3BGRL3,145,0.32084,116,-0.0477,193,0.79618,80,-0.6686,122,0.04292,154,0.41350,69,-0.8467,116,-0.0419
ENSG00000158062,UBXN11,10,-0.4628,17,0.43297,9,-0.6601,9,-0.6454,14,0.06942,21,0.66156,7,-0.9716,20,0.60842
ENSG00000117682,DHDDS,11,-0.3293,12,-0.2580,17,0.37086,12,-0.2107,7,-1.0255,20,0.57753,24,0.89306,12,-0.2277
ENSG00000198830,HMGN2,219,0.45573,136,-0.3656,89,-0.9561,115,-0.6075,224,0.49149,299,0.97315,132,-0.3541,214,0.41636
ENSG00000117713,ARID1A,63,0.00103,69,0.18784,21,-1.6774,54,-0.2736,111,0.92733,62,-0.0161,54,-0.2337,66,0.08638
ENSG00000204160,ZDHHC18,18,0.03897,14,-0.3716,33,0.99402,19,0.17223,32,0.93836,12,-0.5610,8,-1.2587,10,-0.8850
ENSG00000142751,GPN2,11,-0.6438,20,0.30060,7,-1.3520,17,0.02320,31,0.94890,15,-0.2475,19,0.15507,12,-0.5899
ENSG00000090273,NUDC,285,0.47690,277,0.56905,164,-0.4010,183,-0.2526,164,-0.4007,172,-0.3230,131,-0.7437,214,0.01860
ENSG00000253368,TRNP1,58,0.32306,47,-0.0078,40,-0.2407,62,0.48918,30,-0.6992,50,0.08576,36,-0.4129,40,-0.2503
ENSG00000090020,SLC9A1,9,-1.1500,15,-0.5820,42,1.23388,34,0.98710,9,-1.1233,13,-0.6936,27,0.48574,7,-1.4458
ENSG00000142784,WDTC1,29,0.20231,22,-0.2949,30,0.26046,19,-0.5244,20,-0.4138,33,0.41737,32,0.36603,34,0.44906
ENSG00000186501,TMEM222,16,-0.9746,23,-0.5014,66,1.28636,28,-0.1002,33,0.12213,28,-0.1226,33,0.16392,30,0.00745
ENSG00000158195,WASF2,36,-0.1090,18,-1.3553,12,-1.7131,9,-2.2111,155,2.50371,67,0.91320,44,0.22177,37,-0.0675
ENSG00000126705,AHDC1,34,-0.0724,39,0.16678,40,0.17989,33,-0.1201,35,-0.0189,32,-0.1561,46,0.41108,22,-0.7574
ENSG00000126709,IFI6,143,0.53957,78,-0.5041,212,1.20918,98,-0.0707,90,-0.2059,100,-0.0347,81,-0.3713,69,-0.6204
ENSG00000009780,FAM76A,24,0.15636,27,0.46537,15,-0.5541,17,-0.4295,26,0.25275,16,-0.4693,24,0.17538,19,-0.2431
ENSG00000117758,STX12,118,0.50707,91,0.12317,78,-0.1453,73,-0.2882,83,-0.0514,107,0.35133,75,-0.2051,64,-0.4607
ENSG00000117751,PPP1R8,27,0.04745,31,0.32016,25,-0.0801,22,-0.2969,22,-0.3195,37,0.50864,30,0.20192,13,-1.0538
ENSG00000117748,RPA2,63,0.88337,53,0.80518,23,-0.6788,23,-0.7926,49,0.45227,22,-0.7833,28,-0.3984,12,-1.6870
ENSG00000126698,DNAJC8,211,-0.4846,361,0.46873,312,0.12944,314,0.15288,280,-0.0433,185,-0.6874,221,-0.4170,248,-0.2347
ENSG00000130770,ATP5IF1,505,0.49928,582,0.99463,191,-1.0199,324,-0.2344,210,-0.8778,405,0.14125,172,-1.1777,201,-0.9461
ENSG00000204138,PHACTR4,29,-0.2815,25,-0.6173,28,-0.3084,15,-1.3846,112,2.05181,20,-0.8309,52,0.66733,35,0.00206
ENSG00000180098,TRNAU1AP,12,-0.0245,18,0.69174,2,-2.7550,9,-0.5090,6,-1.0430,18,0.56866,15,0.27961,14,0.15066
ENSG00000198492,YTHDF2,102,0.23608,120,0.64943,96,0.13152,106,0.32801,55,-0.7347,40,-1.2190,67,-0.4250,39,-1.2539
ENSG00000159023,EPB41,29,0.16445,15,-0.9675,30,0.19704,40,0.78604,38,0.60376,2,-3.6008,36,0.51000,27,0.04782
ENSG00000116350,SRSF4,58,-0.3107,58,-0.3896,39,-0.9165,85,0.32900,118,0.82116,66,-0.1258,68,-0.0736,89,0.35549
ENSG00000116353,MECR,36,0.46808,35,0.52156,41,0.69213,26,-0.0327,12,-1.2591,18,-0.5840,18,-0.6360,14,-0.9916
ENSG00000162511,LAPTM5,16,0.11497,6,-1.3951,3,-2.1281,9,-0.7752,43,1.80296,35,1.39739,6,-1.3200,22,0.63638
ENSG00000162512,SDC3,80,-0.7789,131,-0.0226,114,-0.2427,119,-0.1872,166,0.35966,208,0.72771,140,0.08602,120,-0.1568
ENSG00000134644,PUM1,103,-0.6697,161,0.02782,182,0.21867,178,0.20984,177,0.17189,111,-0.5604,226,0.57174,107,-0.6113
ENSG00000060688,SNRNP40,19,0.23854,13,-0.3979,13,-0.2810,14,-0.2689,35,1.28675,14,-0.2416,22,0.47103,8,-1.0747
ENSG00000121766,ZCCHC17,149,0.14077,172,0.48463,98,-0.5175,152,0.20283,110,-0.3285,96,-0.5455,113,-0.2866,110,-0.3248
ENSG00000121769,FABP3,102,0.61710,85,0.41010,109,0.71842,81,0.26620,26,-1.5014,42,-0.7939,38,-0.9500,34,-1.1057
