Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000116198,CEP104,82,1.58153,15,-1.5950,45,0.51581,49,0.65921,35,0.11474,24,-0.4717
ENSG00000198912,C1orf174,15,-0.1044,20,0.78005,14,-0.1856,11,-0.4685,10,-0.6358,8,-0.9497
ENSG00000196581,AJAP1,23,-1.0713,53,0.36076,93,1.17043,45,-0.0629,34,-0.5077,12,-2.0215
ENSG00000069424,KCNAB2,32,-2.7779,259,0.72476,195,-0.0559,165,-0.3239,253,0.36857,137,-0.6108
ENSG00000116254,CHD5,26,-2.8509,148,-0.3331,242,0.59037,310,1.02924,260,0.71264,96,-0.8971
ENSG00000116251,RPL22,780,0.48564,481,-0.4619,439,-0.4478,333,-0.8759,964,0.85270,794,0.51724
ENSG00000116237,ICMT,23,-0.8601,49,0.51885,38,-0.1118,40,-0.0348,44,0.11269,26,-0.7316
ENSG00000097021,ACOT7,52,-2.3111,360,1.39521,164,-0.5765,257,0.13790,128,-0.9613,83,-1.6229
ENSG00000215788,TNFRSF25,7,-1.5556,22,0.30099,37,1.07435,16,-0.3562,14,-0.5515,15,-0.3929
ENSG00000171680,PLEKHG5,0,-5.8468,38,1.31380,27,0.13789,11,-1.3023,17,-0.6015,20,-0.3885
ENSG00000162408,NOL9,28,-0.0205,29,0.02369,33,0.21180,25,-0.1937,30,0.05442,26,-0.1395
ENSG00000162413,KLHL21,34,0.00373,36,0.12828,33,-0.0499,20,-0.8390,24,-0.5722,53,0.72807
ENSG00000116273,PHF13,11,-0.4723,17,0.43015,18,0.34180,13,-0.1753,14,-0.0998,7,-1.0286
ENSG00000041988,THAP3,14,-0.3401,17,-0.0124,27,0.72546,14,-0.3728,19,0.10422,14,-0.3370
ENSG00000007923,DNAJC11,21,-0.6809,34,0.08657,38,0.24937,31,-0.1087,26,-0.3658,44,0.45977
ENSG00000171735,CAMTA1,174,-1.2930,328,-0.4696,518,0.43511,769,1.12826,518,0.43569,292,-0.4944
ENSG00000049245,VAMP3,152,2.73581,16,-1.7308,20,-0.9099,8,-2.2957,11,-1.7821,76,1.24999
ENSG00000049246,PER3,62,0.29690,37,-0.7713,53,0.01815,44,-0.2663,43,-0.2902,117,1.40356
ENSG00000116288,PARK7,235,-0.5845,415,0.56973,271,-0.3601,177,-1.0266,312,-0.1382,403,0.27867
ENSG00000116285,ERRFI1,24,-0.1365,32,0.55871,13,-1.0926,28,0.12021,25,-0.0597,17,-0.6266
ENSG00000162426,SLC45A1,10,-1.5288,47,1.72222,15,-0.9649,25,-0.2105,8,-1.8470,10,-1.5119
ENSG00000142599,RERE,105,-0.1288,94,-0.4680,163,0.58689,116,0.02968,133,0.24439,135,0.26722
ENSG00000074800,ENO1,325,-0.7556,589,0.32156,326,-0.7506,308,-0.8385,277,-0.9995,1122,1.31961
ENSG00000171612,SLC25A33,25,-0.7747,36,-0.3369,23,-0.9022,18,-1.2716,35,-0.2289,125,2.01636
ENSG00000171603,CLSTN1,225,-1.8086,1003,0.98097,675,-0.1227,906,0.36053,346,-1.1625,387,-0.9921
ENSG00000178585,CTNNBIP1,22,-0.5809,34,0.12023,7,-2.2215,24,-0.4767,61,1.06397,42,0.40563
ENSG00000162441,LZIC,127,1.12790,43,-0.9610,58,-0.1814,42,-0.6925,87,0.47095,104,0.76724
ENSG00000130939,UBE4B,74,0.76790,45,-0.1179,27,-0.8230,57,0.33717,45,-0.0431,38,-0.3451
ENSG00000054523,KIF1B,560,0.59981,303,-0.6011,339,-0.2293,535,0.52177,477,0.32844,391,0.00237
ENSG00000284642,AL139424.2,14,0.10462,14,0.01134,12,-0.1780,16,0.31082,12,-0.1899,12,-0.1279
ENSG00000142657,PGD,57,0.11441,68,0.71577,38,-0.5244,47,-0.1764,35,-0.6709,29,-0.9533
ENSG00000241563,CORT,5,-3.5276,76,0.63469,59,-0.0414,52,-0.2588,42,-0.5949,86,0.56387
ENSG00000160049,DFFA,94,0.89356,40,-0.7688,51,-0.1260,56,0.00717,76,0.52752,62,0.19262
ENSG00000142655,PEX14,13,-0.6190,23,0.46693,19,-0.0476,19,-0.0708,26,0.45578,7,-1.6216
ENSG00000120948,TARDBP,116,0.38929,81,-0.2803,122,0.47551,79,-0.2219,79,-0.2351,100,0.14338
ENSG00000271895,AL109811.2,18,-0.0302,14,-0.5708,36,1.13844,23,0.35814,12,-0.6282,18,0.01567
ENSG00000116649,SRM,28,-1.0677,63,0.31150,63,0.18280,38,-0.6320,54,-0.0706,71,0.38428
ENSG00000171824,EXOSC10,41,0.16837,38,0.08287,46,0.36660,27,-0.4970,17,-1.2093,49,0.45998
ENSG00000198793,MTOR,35,-0.6118,66,0.70646,49,-0.0766,41,-0.3679,21,-1.4019,55,0.10784
ENSG00000116661,FBXO2,66,-1.6658,215,0.25757,125,-0.7082,84,-1.3044,203,0.06311,420,1.32517
ENSG00000132879,FBXO44,24,-2.0421,115,0.63583,145,0.76041,77,-0.2948,88,-0.0800,36,-1.4622
ENSG00000177000,MTHFR,21,0.24527,13,-0.6659,35,1.09892,22,0.32982,10,-0.9573,21,0.23565
ENSG00000011021,CLCN6,40,-0.7919,69,0.09634,70,0.10204,70,0.09320,73,0.15327,68,0.03723
ENSG00000116685,KIAA2013,48,0.87428,27,-0.1969,25,-0.2038,26,-0.1770,18,-0.7592,35,0.33625
ENSG00000083444,PLOD1,17,-0.0216,14,-0.5058,14,-0.3824,12,-0.5143,17,-0.0810,41,1.46344
ENSG00000116688,MFN2,89,-0.5961,148,0.35293,148,0.21165,152,0.25643,122,-0.1005,67,-1.0354
ENSG00000048707,VPS13D,52,-0.5000,76,0.16008,62,-0.2270,107,0.67942,72,0.00459,46,-0.6860
ENSG00000162496,DHRS3,20,0.05030,13,-0.8670,9,-1.1226,8,-1.2983,7,-1.4110,76,2.61080
ENSG00000116731,PRDM2,174,-0.1675,143,-0.7100,257,0.47148,411,1.30947,228,0.26925,97,-1.0685
ENSG00000189337,KAZN,87,0.40089,68,-0.0283,47,-0.5964,78,0.22110,69,0.00540,64,-0.1111
ENSG00000142634,EFHD2,37,-0.7225,60,0.02030,13,-2.3280,111,1.07479,98,0.83799,35,-0.8156
ENSG00000116138,DNAJC16,37,-0.2327,46,0.15696,61,0.57112,49,0.19726,19,-1.2258,38,-0.1747
ENSG00000197312,DDI2,34,-0.0933,30,-0.4793,41,0.21404,65,0.97996,35,-0.0602,32,-0.1853
ENSG00000116786,PLEKHM2,48,-1.0821,86,-0.2885,61,-0.7103,84,-0.2151,233,1.54916,98,0.01970
ENSG00000065526,SPEN,220,0.82075,52,-1.9300,248,1.03022,258,1.10248,136,0.00596,145,0.11354
ENSG00000116809,ZBTB17,21,0.31012,14,-0.4600,6,-1.5234,16,-0.1673,28,0.79260,28,0.79548
ENSG00000037637,FBXO42,11,-0.8497,21,0.17290,26,0.46791,18,-0.1236,15,-0.4487,22,0.21507
ENSG00000055070,SZRD1,34,0.68841,14,-1.0967,18,-0.3764,16,-0.5254,34,0.68337,46,1.21729
ENSG00000219481,NBPF1,38,1.67663,9,-0.9387,13,-0.1528,11,-0.4216,9,-0.6577,21,0.60964
ENSG00000159363,ATP13A2,23,-2.2965,156,1.31621,54,-1.0084,105,0.02185,71,-0.5902,57,-0.9286
ENSG00000117118,SDHB,46,-0.8094,104,0.93891,53,-0.5685,38,-1.0755,56,-0.4898,78,0.02235
ENSG00000117115,PADI2,317,2.99365,18,-2.6470,8,-3.1994,10,-2.8613,34,-1.1279,193,1.80095
ENSG00000179051,RCC2,15,-0.8495,36,0.95614,12,-1.1710,23,-0.1940,23,-0.1732,18,-0.6022
ENSG00000074964,ARHGEF10L,12,-0.4806,15,-0.3083,14,-0.2986,6,-1.5435,21,0.38714,38,1.42595
ENSG00000117154,IGSF21,29,-1.2582,88,0.83423,45,-0.6206,68,0.04801,55,-0.2964,48,-0.5142
ENSG00000159423,ALDH4A1,16,-0.2515,16,-0.3520,6,-1.7879,4,-2.4002,31,0.79564,49,1.66121
ENSG00000127481,UBR4,47,0.54685,23,-0.8390,44,0.44902,60,0.97826,20,-0.7793,38,0.19694
ENSG00000127463,EMC1,27,-0.3438,35,0.11411,47,0.58672,36,0.13782,15,-1.1839,34,0.05844
ENSG00000053372,MRTO4,28,-0.6098,50,0.55591,36,-0.2144,31,-0.4537,46,0.19007,29,-0.5604
ENSG00000053371,AKR7A2,42,0.21743,36,-0.0615,25,-0.5624,16,-1.2981,15,-1.3274,88,1.53056
ENSG00000077549,CAPZB,128,-0.5456,205,0.34557,169,-0.1108,160,-0.1923,150,-0.3017,200,0.16057
ENSG00000173436,MICOS10,203,-0.6866,360,0.38594,213,-0.6154,201,-0.7056,524,0.86614,239,-0.4346
ENSG00000158747,NBL1,39,-1.8487,170,0.78421,102,-0.3855,106,-0.3296,150,0.22571,96,-0.4905
ENSG00000169914,OTUD3,12,-0.8708,26,0.62619,15,-0.4980,37,0.94778,12,-0.8676,8,-1.4485
ENSG00000162545,CAMK2N1,1065,-1.0554,1763,-0.4101,3115,0.67029,1099,-1.0065,3219,0.72765,3219,0.72757
ENSG00000090432,MUL1,17,-0.0199,21,0.61468,20,0.27239,15,-0.2381,10,-0.7952,7,-1.3906
ENSG00000183114,FAM43B,2,-2.5022,14,0.29010,12,-0.1711,22,0.87171,8,-0.6603,14,0.18682
ENSG00000158828,PINK1,169,-1.4389,558,0.79397,272,-0.7109,461,0.12501,489,0.22146,218,-1.0551
ENSG00000244038,DDOST,23,-0.6680,44,0.71423,27,-0.3872,20,-0.8317,20,-0.8358,44,0.39542
ENSG00000117245,KIF17,6,-1.8510,28,0.95621,18,-0.1710,34,0.88735,9,-1.1907,3,-2.7144
ENSG00000189410,SH2D5,1,-5.7245,62,0.80832,81,0.91899,30,-0.7104,50,0.10371,14,-1.8462
ENSG00000127483,HP1BP3,405,0.76165,175,-0.8841,357,0.54352,346,0.49002,268,0.06808,240,-0.1156
ENSG00000075151,EIF4G3,232,-0.2197,260,-0.0626,297,0.17606,552,1.25903,166,-0.7441,110,-1.3791
ENSG00000117298,ECE1,27,0.89277,10,-0.9820,11,-0.5764,13,-0.3478,14,-0.2099,38,1.48397
ENSG00000076864,RAP1GAP,53,-1.0914,132,0.62605,92,-0.2267,161,0.70197,79,-0.4706,41,-1.4466
ENSG00000090686,USP48,135,0.89679,65,-0.4883,100,0.37250,121,0.70096,48,-0.8016,52,-0.6674
ENSG00000070831,CDC42,259,0.29008,265,0.57114,146,-0.6232,202,-0.1157,117,-0.9631,167,-0.4170
ENSG00000173372,C1QA,15,-0.5213,10,-1.4480,18,-0.2454,0,-5.1254,25,0.31897,87,2.76458
ENSG00000173369,C1QB,27,0.43643,12,-1.1606,7,-1.5172,0,-4.6676,19,-0.1050,82,2.65743
ENSG00000133216,EPHB2,14,-0.0125,13,-0.2507,30,1.27550,21,0.66919,8,-0.8620,3,-2.2718
ENSG00000004487,KDM1A,32,-0.9426,62,0.12386,80,0.50424,92,0.73030,37,-0.7495,43,-0.4915
ENSG00000169641,LUZP1,50,-1.6377,129,-0.2688,128,-0.1963,375,1.69494,170,0.27415,58,-1.4221
ENSG00000125944,HNRNPR,223,0.52242,143,-0.3248,213,0.44665,158,-0.0477,145,-0.1827,154,-0.0858
ENSG00000117318,ID3,21,0.01404,1,-4.3397,2,-3.3346,0,-6.0724,9,-1.3177,150,4.89475
ENSG00000142676,RPL11,806,0.63957,469,-0.3869,377,-0.5985,178,-1.7422,799,0.62428,908,0.84729
ENSG00000011007,ELOA,49,0.81575,24,-0.5395,43,0.59626,36,0.29088,23,-0.3729,23,-0.4272
ENSG00000057757,PITHD1,106,-0.6907,224,0.93641,130,-0.3725,134,-0.3182,144,-0.2140,69,-1.3491
ENSG00000011009,LYPLA2,7,-1.5897,27,0.64026,19,-0.1465,20,-0.1366,12,-0.8903,27,0.36244
ENSG00000117308,GALE,4,-2.0888,21,0.84488,18,0.22671,10,-0.6956,15,-0.1208,11,-0.5342
ENSG00000117305,HMGCL,18,0.28678,12,-0.4843,3,-2.1958,13,-0.1452,15,0.03423,35,1.50817
ENSG00000189266,PNRC2,90,0.49723,55,-0.4496,89,0.48840,43,-0.6868,78,0.25778,77,0.24929
ENSG00000188529,SRSF10,100,0.62849,46,-0.9180,92,0.49040,62,-0.1628,68,-0.0019,111,0.81047
ENSG00000001461,NIPAL3,265,1.33918,101,-0.4566,80,-0.6725,188,0.71500,97,-0.3719,66,-0.9592
ENSG00000133226,SRRM1,345,1.15123,95,-1.3401,184,0.06527,320,1.01080,182,0.04779,177,0.00275
ENSG00000169504,CLIC4,338,3.57240,13,-2.9160,7,-3.2209,10,-2.6571,27,-1.2776,126,1.21212
ENSG00000117614,SYF2,160,0.57865,78,-0.8554,122,0.12194,113,0.00461,167,0.64955,143,0.39289
ENSG00000117616,RSRP1,136,1.11310,48,-0.8659,139,1.14754,79,0.17398,21,-1.8528,69,-0.0429
ENSG00000183726,TMEM50A,127,0.68726,94,0.30822,76,-0.1711,57,-0.6262,42,-1.0848,79,-0.1018
ENSG00000204178,MACO1,80,0.51515,38,-0.9518,116,1.18499,103,0.96410,43,-0.4699,29,-1.0826
ENSG00000117643,MAN1C1,13,-2.1023,65,0.64229,83,0.79320,37,-0.5112,25,-1.1329,48,-0.1096
ENSG00000162430,SELENON,29,0.17387,26,0.00549,24,-0.1408,8,-1.8630,19,-0.4838,51,1.12249
ENSG00000117640,MTFR1L,43,-0.7445,83,0.54968,66,-0.0638,46,-0.6255,61,-0.1868,68,-0.0093
ENSG00000117632,STMN1,1310,-0.0803,1808,0.80814,852,-0.7593,1464,0.09919,1076,-0.3941,459,-1.6981
ENSG00000158008,EXTL1,5,-2.9424,53,1.03554,35,-0.1118,33,-0.1827,33,-0.2076,21,-0.9132
ENSG00000175087,PDIK1L,9,-0.8784,14,-0.2214,22,0.60431,18,0.28545,19,0.38628,13,-0.2176
ENSG00000142684,ZNF593,14,-1.0814,35,0.56898,24,-0.2508,24,-0.2346,20,-0.5788,34,0.29776
ENSG00000142669,SH3BGRL3,107,-0.4260,176,0.65719,62,-1.2666,115,-0.3181,111,-0.3704,162,0.23660
ENSG00000158062,UBXN11,4,-2.5793,23,0.11556,18,-0.3237,17,-0.3661,48,1.38419,17,-0.3380
ENSG00000117682,DHDDS,5,-1.6992,19,0.24308,20,0.29556,26,0.70827,13,-0.4031,13,-0.3803
ENSG00000198830,HMGN2,329,1.00130,132,-0.7571,156,-0.2452,77,-1.3467,186,0.03571,366,1.19712
ENSG00000117713,ARID1A,103,0.53597,57,-0.6259,106,0.58347,72,-0.0579,83,0.18333,78,0.06870
ENSG00000204160,ZDHHC18,12,-0.4052,16,0.09410,16,0.06258,19,0.34387,21,0.49789,7,-1.2261
ENSG00000142751,GPN2,17,-0.2701,18,-0.2332,22,0.20284,24,0.32953,23,0.22778,20,0.01156
ENSG00000090273,NUDC,137,-0.7837,253,0.31929,214,-0.0816,212,-0.0960,300,0.47613,150,-0.6392
ENSG00000253368,TRNP1,12,-2.2129,80,1.30638,46,-0.2403,37,-0.5624,42,-0.3769,23,-1.3116
ENSG00000090020,SLC9A1,2,-3.4417,32,1.39529,12,-0.9159,24,0.18872,15,-0.5451,8,-1.4069
ENSG00000142784,WDTC1,20,-0.3044,24,-0.1126,17,-0.5823,24,-0.0779,25,-0.0113,43,0.90383
ENSG00000186501,TMEM222,29,-0.3700,38,0.07815,47,0.41471,35,-0.0684,26,-0.5336,41,0.19431
ENSG00000158195,WASF2,194,2.61169,14,-2.4413,19,-1.4836,27,-0.9182,36,-0.5041,113,1.43560
ENSG00000126705,AHDC1,26,-0.6692,34,-0.4421,51,0.36164,53,0.45213,47,0.23070,53,0.43069
ENSG00000126709,IFI6,113,0.17922,110,0.23273,49,-1.1317,107,0.09982,67,-0.6488,132,0.44627
ENSG00000009780,FAM76A,22,-0.2533,20,-0.5903,44,0.85781,35,0.44311,21,-0.3736,33,0.38313
ENSG00000117758,STX12,117,0.06607,122,0.21331,117,0.05798,100,-0.1835,106,-0.1003,85,-0.4398
ENSG00000117751,PPP1R8,39,0.56805,32,0.36755,18,-0.6526,16,-0.8518,19,-0.5809,30,0.12830
ENSG00000117748,RPA2,31,-0.5715,55,0.53651,38,-0.2629,33,-0.5051,32,-0.5517,54,0.27572
ENSG00000126698,DNAJC8,292,0.32776,200,-0.4344,244,0.03538,302,0.38513,317,0.46751,196,-0.3154
ENSG00000130770,ATP5IF1,212,-1.4151,746,1.09495,441,-0.2801,304,-0.8637,474,-0.1666,315,-0.8093
ENSG00000204138,PHACTR4,62,1.41524,9,-2.1113,34,0.36337,27,0.01134,30,0.13721,55,1.19481
ENSG00000180098,TRNAU1AP,20,0.12128,18,-0.0197,17,-0.1249,14,-0.4484,20,0.16278,21,0.25413
ENSG00000120656,TAF12,24,0.71409,16,0.07032,4,-1.9221,15,-0.0800,9,-0.9013,25,0.74209
ENSG00000198492,YTHDF2,65,-0.4737,91,0.07247,126,0.58524,114,0.41405,68,-0.4102,59,-0.6480
ENSG00000116329,OPRD1,0,-4.5753,13,0.14606,20,0.75208,25,1.16816,8,-0.7329,7,-0.9178
ENSG00000159023,EPB41,7,-1.4887,14,-0.7049,30,0.68340,41,1.22006,20,-0.0152,22,0.19753
ENSG00000116350,SRSF4,86,0.22353,50,-0.9235,115,0.72075,103,0.53284,63,-0.2680,106,0.58585
ENSG00000116353,MECR,12,-1.2641,39,0.94420,27,-0.0868,23,-0.3468,24,-0.2636,14,-1.0960
ENSG00000060656,PTPRU,8,-0.6834,11,-0.2744,12,-0.0657,27,1.34494,14,0.22157,6,-1.1090
ENSG00000162511,LAPTM5,41,0.54407,13,-1.6675,23,-0.3735,2,-3.6150,44,0.69921,100,2.28061
ENSG00000162512,SDC3,77,-0.2462,71,-0.5530,117,0.44244,89,-0.0064,69,-0.4219,170,1.09360
ENSG00000134644,PUM1,138,-0.0542,114,-0.5436,217,0.69760,198,0.53557,139,-0.0496,140,-0.0388
ENSG00000060688,SNRNP40,28,0.85974,15,-0.2361,8,-1.0767,16,-0.0854,20,0.25538,18,0.11794
ENSG00000121766,ZCCHC17,127,-0.1491,143,0.05850,184,0.45583,158,0.20443,121,-0.2264,95,-0.6154
ENSG00000121769,FABP3,23,-1.9080,122,1.37850,43,-0.9804,81,0.01537,65,-0.3202,21,-2.0302
ENSG00000162517,PEF1,45,-0.7763,97,0.80721,85,0.22990,57,-0.4091,53,-0.5029,35,-1.1385
ENSG00000084636,COL16A1,70,1.42931,20,-0.9668,30,-0.0312,25,-0.3295,11,-1.5172,60,1.14366
ENSG00000121753,ADGRB2,41,-2.2724,220,0.53015,283,0.73587,159,-0.2253,167,-0.1458,112,-0.7688
ENSG00000184007,PTP4A2,1047,2.48586,151,-1.3581,143,-1.0609,297,0.08425,240,-0.2599,209,-0.4798
ENSG00000121774,KHDRBS1,221,0.39340,159,-0.2249,231,0.47072,156,-0.1792,114,-0.6659,208,0.28932
ENSG00000025800,KPNA6,86,4.33393,76,-0.2943,109,0.39605,135,0.76222,61,-0.5403,76,-0.1900
ENSG00000084652,TXLNA,36,0.41096,28,-0.0095,27,-0.0307,25,-0.1850,19,-0.6281,33,0.27991
ENSG00000160050,CCDC28B,8,-0.9269,17,0.27131,19,0.34704,8,-1.0151,19,0.38906,15,-0.0018
ENSG00000084623,EIF3I,92,-0.2342,124,0.41189,98,-0.1446,93,-0.2146,70,-0.6727,112,0.08138
ENSG00000175130,MARCKSL1,1014,3.38873,70,-2.1036,35,-2.6222,31,-2.7791,126,-0.7214,300,0.69049
ENSG00000160058,BSDC1,69,0.47953,48,-0.1486,52,0.02507,57,0.16657,52,0.01143,39,-0.4350
ENSG00000160062,ZBTB8A,21,-0.0977,14,-0.9411,41,1.02566,26,0.23640,17,-0.4106,37,0.85237
ENSG00000176261,ZBTB8OS,30,-0.5686,51,0.45761,67,0.73789,29,-0.5924,31,-0.5002,26,-0.7649
ENSG00000162521,RBBP4,134,0.17532,109,-0.2480,183,0.69611,131,0.13339,74,-0.7645,126,0.07407
ENSG00000162522,KIAA1522,4,-2.3489,23,0.27905,46,1.34507,5,-2.0264,33,0.77846,6,-1.7373
ENSG00000134684,YARS,43,-1.5503,168,1.13320,106,-0.1601,116,-0.0139,66,-0.8897,50,-1.3062
ENSG00000160097,FNDC5,11,-1.6286,41,0.82979,18,-0.8422,38,0.33190,33,0.10605,15,-1.1213
ENSG00000121905,HPCA,8,-4.4815,250,1.04896,257,0.61185,132,-0.4803,160,-0.1710,45,-2.0910
ENSG00000121900,TMEM54,19,-0.8814,34,-0.0357,16,-1.1346,18,-0.9810,65,1.07439,55,0.77617
ENSG00000116514,RNF19B,9,-1.2028,27,0.73459,23,0.16217,24,0.23067,11,-1.0216,13,-0.7575
ENSG00000004455,AK2,59,0.88579,28,-0.5112,6,-2.4707,29,-0.2924,41,0.26148,65,1.07009
ENSG00000142920,AZIN2,19,0.07012,23,0.62113,23,0.35332,16,-0.1777,6,-1.7064,9,-1.0154
ENSG00000160094,ZNF362,17,-0.4732,17,-0.6188,47,1.26778,12,-0.9593,29,0.42821,28,0.37070
ENSG00000134686,PHC2,91,0.92143,52,-0.0220,35,-0.6546,33,-0.7123,48,-0.1409,57,0.14757
ENSG00000163866,SMIM12,31,-1.1443,86,0.85288,42,-0.6758,74,0.22030,40,-0.7388,50,-0.4073
ENSG00000116544,DLGAP3,3,-3.7247,35,-0.2011,57,0.69184,19,-1.0670,68,1.01100,52,0.55085
ENSG00000163867,ZMYM6,27,0.12092,17,-0.7969,38,0.71454,25,-0.0210,27,0.12843,37,0.66033
ENSG00000116560,SFPQ,319,0.71907,158,-0.6468,266,0.40783,251,0.31241,191,-0.1340,210,0.01754
ENSG00000146463,ZMYM4,69,0.04451,59,-0.3097,69,0.05118,93,0.53367,93,0.53542,43,-0.6821
ENSG00000142687,KIAA0319L,39,-0.8816,74,0.17126,60,-0.2211,95,0.53258,58,-0.2765,74,0.11216
ENSG00000020129,NCDN,62,-3.2764,788,1.20119,797,0.64767,435,-0.3463,219,-1.4037,199,-1.5458
ENSG00000126067,PSMB2,98,0.10984,113,0.57902,74,-0.3402,66,-0.5183,79,-0.2350,58,-0.7191
ENSG00000142686,C1orf216,18,-2.6439,155,1.29892,106,0.02551,91,-0.2082,65,-0.7275,34,-1.7190
ENSG00000134698,AGO4,19,0.10263,15,-0.4405,25,0.54978,11,-0.7843,31,0.87515,17,-0.1389
ENSG00000092847,AGO1,36,-0.0487,28,-0.6702,39,0.07144,48,0.41524,49,0.44701,52,0.53212
ENSG00000126070,AGO3,117,1.58949,21,-1.6858,62,0.44311,59,0.36108,38,-0.3626,66,0.55671
