Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000097021,ACOT7,70,-1.6035,131,-0.6088,167,-0.2197,366,1.30528,213,0.22868
ENSG00000215788,TNFRSF25,10,-0.8414,15,-0.1907,15,-0.2155,23,0.54943,22,0.48446
ENSG00000171680,PLEKHG5,26,0.38026,17,-0.4271,12,-0.9825,32,0.72983,24,0.21473
ENSG00000162408,NOL9,32,0.15571,40,0.61342,28,-0.0634,19,-0.6962,26,-0.1888
ENSG00000162413,KLHL21,19,-0.4379,18,-0.5568,22,-0.2702,28,0.15578,41,0.89363
ENSG00000116273,PHF13,12,-0.4971,14,-0.2546,20,0.35332,19,0.25951,16,-0.0878
ENSG00000041988,THAP3,10,-0.6193,12,-0.3746,14,-0.1086,18,0.29907,21,0.61975
ENSG00000007923,DNAJC11,28,-0.3196,38,0.19056,41,0.34884,22,-0.7104,39,0.20369
ENSG00000171735,CAMTA1,279,-0.6416,539,0.51143,482,0.34314,346,-0.2807,353,-0.2466
ENSG00000049245,VAMP3,23,0.55076,11,-0.7016,21,0.43985,7,-1.3411,20,0.31350
ENSG00000049246,PER3,38,0.13350,39,0.19831,22,-0.8310,18,-1.1040,64,1.16810
ENSG00000116288,PARK7,203,-0.1264,126,-0.9166,195,-0.2191,243,0.19272,336,0.80267
ENSG00000116285,ERRFI1,20,-0.4994,34,0.38404,24,-0.2458,31,0.22281,29,0.10748
ENSG00000162426,SLC45A1,10,-1.4876,14,-0.9564,28,0.18130,49,1.25664,25,-0.0309
ENSG00000142599,RERE,129,-0.0002,143,0.18828,125,-0.0552,96,-0.4909,152,0.29681
ENSG00000074800,ENO1,437,0.28825,223,-0.8568,253,-0.7183,464,0.39804,543,0.69920
ENSG00000171612,SLC25A33,48,1.35684,17,-0.5748,11,-1.3132,16,-0.6589,33,0.60764
ENSG00000171608,PIK3CD,5,-1.5222,10,-0.3259,20,1.09194,14,0.29803,8,-0.7213
ENSG00000171603,CLSTN1,367,-1.0951,598,-0.2952,806,0.25924,1033,0.69605,695,-0.0378
ENSG00000178585,CTNNBIP1,32,0.00553,12,-1.5115,53,1.17175,19,-0.8434,31,-0.0456
ENSG00000162441,LZIC,51,0.03208,62,0.40153,48,-0.0601,30,-0.8527,59,0.29150
ENSG00000130939,UBE4B,35,-0.4061,46,0.07670,45,0.03573,54,0.37053,40,-0.1622
ENSG00000054523,KIF1B,354,-0.4012,646,0.68206,512,0.27790,391,-0.2342,299,-0.6816
ENSG00000284642,AL139424.2,7,-1.1409,12,-0.2474,22,1.02422,14,0.05447,10,-0.5650
ENSG00000142657,PGD,37,-0.5688,44,-0.2794,49,-0.0954,71,0.57519,59,0.22709
ENSG00000175279,CENPS,6,-0.8771,14,0.66028,7,-0.6973,11,0.13213,14,0.57329
ENSG00000241563,CORT,11,-0.6613,5,-1.7338,10,-0.9680,25,0.70367,37,1.50983
ENSG00000160049,DFFA,51,0.35710,50,0.31097,39,-0.1557,30,-0.5708,41,-0.0143
ENSG00000142655,PEX14,11,-0.9943,15,-0.5444,23,0.13042,25,0.32466,30,0.65106
ENSG00000120948,TARDBP,54,-0.6536,89,0.18978,82,0.06033,82,0.05516,90,0.21760
ENSG00000271895,AL109811.2,7,-0.7553,15,0.38521,9,-0.5450,17,0.69182,12,0.07909
ENSG00000116649,SRM,42,-0.1965,29,-0.8366,47,-0.0287,58,0.35023,62,0.48612
ENSG00000171824,EXOSC10,21,-0.4347,40,0.74317,21,-0.4778,25,-0.0915,30,0.19663
ENSG00000198793,MTOR,27,-0.6001,42,0.12905,37,-0.1073,50,0.44905,40,0.03697
ENSG00000116661,FBXO2,204,0.71382,67,-1.2135,102,-0.5759,197,0.64292,143,0.04809
ENSG00000132879,FBXO44,45,-0.7826,62,-0.2635,81,0.23960,91,0.42269,76,0.10600
ENSG00000116670,MAD2L2,14,0.61604,5,-1.0618,5,-1.2133,10,0.04375,17,1.10989
ENSG00000177000,MTHFR,15,-0.3888,22,0.22733,24,0.43926,21,0.20700,11,-0.8874
ENSG00000011021,CLCN6,61,-0.2775,54,-0.4769,97,0.61968,70,-0.0432,65,-0.1754
ENSG00000116685,KIAA2013,24,-0.1751,25,-0.0993,21,-0.4116,31,0.33447,32,0.38532
ENSG00000083444,PLOD1,14,-0.1232,14,-0.1271,11,-0.5558,18,0.30596,20,0.52829
ENSG00000116688,MFN2,94,-0.3678,95,-0.3569,122,0.09284,148,0.42517,122,0.07558
ENSG00000048707,VPS13D,54,-0.6678,95,0.30113,88,0.19862,94,0.28064,66,-0.3449
ENSG00000162496,DHRS3,33,1.29432,12,-0.4916,3,-2.4960,24,0.67843,17,0.04105
ENSG00000116731,PRDM2,128,-0.7965,387,1.22154,188,-0.1726,186,-0.1741,148,-0.5592
ENSG00000189337,KAZN,43,-0.5901,56,-0.1673,70,0.26063,78,0.41514,57,-0.1423
ENSG00000142634,EFHD2,32,-1.6280,67,-0.4906,189,1.86903,65,-0.5372,42,-1.2482
ENSG00000116138,DNAJC16,27,-0.6539,45,0.22287,50,0.49700,42,0.11688,28,-0.5718
ENSG00000197312,DDI2,17,-1.3427,50,0.48062,48,0.46522,39,0.04262,33,-0.2723
ENSG00000116786,PLEKHM2,136,0.57186,77,-0.4330,111,0.22107,68,-0.6295,99,-0.0116
ENSG00000065526,SPEN,99,-0.4194,310,1.84489,92,-0.5980,70,-0.9782,79,-0.7928
ENSG00000116809,ZBTB17,17,-0.0481,15,-0.3074,23,0.52191,10,-0.9677,21,0.33409
ENSG00000037637,FBXO42,15,-0.5956,27,0.43132,19,-0.1610,13,-0.7378,32,0.75313
ENSG00000055070,SZRD1,42,1.35976,13,-0.8145,14,-0.6622,13,-0.7294,25,0.30059
ENSG00000219481,NBPF1,10,-0.0011,16,0.82662,9,-0.1641,7,-0.5654,9,-0.2846
ENSG00000058453,CROCC,6,-0.7658,11,0.19174,13,0.51808,5,-1.1024,13,0.49750
ENSG00000159363,ATP13A2,64,-0.7724,69,-0.6577,126,0.45833,140,0.59650,95,-0.1189
ENSG00000117118,SDHB,35,-0.7639,29,-1.0374,44,-0.4363,80,0.68928,93,0.98721
ENSG00000117115,PADI2,81,1.55706,24,-0.6908,21,-1.0079,8,-2.3132,58,0.83352
ENSG00000179051,RCC2,17,-0.4341,23,0.08134,23,0.03390,32,0.66531,16,-0.5674
ENSG00000074964,ARHGEF10L,19,0.26525,13,-0.3797,15,-0.1580,12,-0.5833,24,0.68061
ENSG00000117154,IGSF21,52,-0.2560,47,-0.3972,60,-0.0063,91,0.76971,50,-0.3088
ENSG00000159423,ALDH4A1,35,1.43425,10,-0.7823,9,-1.0890,6,-1.5482,27,0.87739
ENSG00000169991,IFFO2,8,-0.2379,10,0.13478,10,0.14584,11,0.24183,7,-0.4017
ENSG00000127481,UBR4,22,-0.7963,89,1.86074,24,-0.7156,28,-0.4347,22,-0.8049
ENSG00000127463,EMC1,27,-0.3580,35,0.08312,26,-0.4598,40,0.36046,41,0.38963
ENSG00000053372,MRTO4,28,-0.5148,26,-0.6216,49,0.56079,40,0.10378,39,0.08074
ENSG00000053371,AKR7A2,28,0.42971,13,-0.8604,14,-0.7766,19,-0.2053,39,1.07843
ENSG00000077549,CAPZB,102,-0.4519,120,-0.1769,114,-0.2972,197,0.72718,142,0.10803
ENSG00000173436,MICOS10,247,0.24520,107,-1.1537,241,0.22467,195,-0.1788,275,0.44238
ENSG00000158747,NBL1,110,-0.0214,79,-0.5890,127,0.26208,119,0.11588,115,0.05339
ENSG00000169914,OTUD3,14,-0.7668,29,0.44764,28,0.43451,28,0.36132,11,-1.1074
ENSG00000162545,CAMK2N1,2419,1.02020,1088,-0.4520,947,-0.7476,1148,-0.3616,1709,0.34022
ENSG00000090432,MUL1,13,-0.6791,17,-0.3351,27,0.54524,18,-0.1882,24,0.27117
ENSG00000183114,FAM43B,9,-0.9821,14,-0.2573,23,0.80482,12,-0.4604,18,0.23449
ENSG00000158828,PINK1,308,-0.4548,249,-0.8032,429,0.13096,560,0.61140,448,0.19658
ENSG00000244038,DDOST,17,-0.5545,17,-0.4913,15,-0.7913,31,0.50181,40,1.04679
ENSG00000117245,KIF17,10,-1.3288,12,-0.9689,41,1.39440,20,-0.2126,20,-0.2284
ENSG00000189410,SH2D5,31,-0.0516,25,-0.4265,20,-0.8634,49,0.77851,42,0.46462
ENSG00000127483,HP1BP3,205,-0.3561,416,0.94483,227,-0.2019,206,-0.3492,219,-0.2432
ENSG00000075151,EIF4G3,117,-1.3119,512,1.33743,197,-0.5183,357,0.59248,142,-1.0037
ENSG00000117298,ECE1,28,1.11266,14,-0.2198,7,-1.2786,8,-1.0885,25,0.85498
ENSG00000076864,RAP1GAP,61,-1.2830,87,-0.7162,202,0.89396,144,0.13743,140,0.07878
ENSG00000090686,USP48,46,-0.9253,146,1.16307,77,-0.0606,70,-0.2233,61,-0.4658
ENSG00000070831,CDC42,109,-0.9349,140,-0.5184,222,0.31458,278,0.70383,186,-0.0398
ENSG00000184677,ZBTB40,9,-0.4545,14,0.28351,9,-0.4508,11,-0.1615,17,0.70947
ENSG00000133216,EPHB2,4,-1.5446,17,0.73210,14,0.39238,10,-0.3041,11,-0.0449
ENSG00000004487,KDM1A,26,-1.2391,77,0.55463,38,-0.7532,86,0.76611,66,0.27254
ENSG00000169641,LUZP1,90,-1.2197,308,0.92430,214,0.25975,217,0.24692,101,-1.0367
ENSG00000125944,HNRNPR,102,-0.3832,169,0.51881,110,-0.2729,127,0.00668,135,0.11123
ENSG00000125945,ZNF436,7,-0.9480,10,-0.4608,11,-0.2045,17,0.57175,19,0.68989
ENSG00000088280,ASAP3,9,-0.2701,7,-0.6804,14,0.62663,5,-1.2559,15,0.74089
ENSG00000142676,RPL11,470,0.75116,148,-1.2375,314,-0.0020,211,-0.6708,426,0.55959
ENSG00000011007,ELOA,26,-0.1430,32,0.21329,26,-0.1296,29,0.06092,28,0.02251
ENSG00000057757,PITHD1,89,-0.9652,103,-0.7244,201,0.50446,182,0.25088,194,0.36806
ENSG00000011009,LYPLA2,22,-0.1272,15,-0.7271,28,0.35995,23,0.00841,26,0.21451
ENSG00000117308,GALE,7,-0.9919,8,-0.8825,16,0.33484,16,0.26863,20,0.65837
ENSG00000117305,HMGCL,15,0.47380,8,-0.6715,6,-1.0408,10,-0.1600,21,1.09354
ENSG00000179163,FUCA1,4,-1.3274,5,-1.1884,11,0.11576,22,1.43815,9,-0.1689
ENSG00000189266,PNRC2,51,-0.1498,61,0.17559,41,-0.5501,55,-0.0171,76,0.57382
ENSG00000188529,SRSF10,51,-0.5648,94,0.48537,75,0.07587,61,-0.2925,77,0.12675
ENSG00000001460,STPG1,7,-0.4676,12,0.40649,6,-0.8711,13,0.58303,11,0.29411
ENSG00000001461,NIPAL3,51,-1.3436,128,0.18646,161,0.71511,119,0.06050,94,-0.3499
ENSG00000133226,SRRM1,153,-0.0911,308,1.25608,138,-0.3047,124,-0.4450,95,-0.8844
ENSG00000169504,CLIC4,45,1.10226,13,-1.0344,24,-0.1031,11,-1.3085,33,0.49125
ENSG00000117614,SYF2,129,0.28325,128,0.25990,92,-0.3491,84,-0.4736,129,0.27217
ENSG00000117616,RSRP1,41,-0.9080,121,1.01919,52,-0.5693,58,-0.3283,90,0.43869
ENSG00000183726,TMEM50A,51,-0.4821,52,-0.4313,57,-0.3174,97,0.67311,85,0.41296
ENSG00000204178,MACO1,29,-1.1091,103,1.12306,48,-0.3408,59,0.03939,52,-0.1580
ENSG00000117643,MAN1C1,43,0.27075,22,-0.8864,17,-1.3711,74,1.33652,40,0.12611
ENSG00000162430,SELENON,30,0.64556,14,-0.6309,17,-0.3467,16,-0.4006,28,0.54421
ENSG00000117640,MTFR1L,40,-0.4673,37,-0.6002,51,-0.0734,66,0.39549,72,0.54421
ENSG00000117632,STMN1,570,-1.2438,1108,-0.1535,1548,0.51603,1362,0.21266,1289,0.11375
ENSG00000158008,EXTL1,47,0.22760,30,-0.5244,47,0.26268,38,-0.1264,41,-0.0150
ENSG00000175087,PDIK1L,6,-1.6202,16,-0.0006,26,0.95265,17,0.08181,13,-0.4504
ENSG00000142684,ZNF593,14,-0.6381,18,-0.2387,19,-0.1821,27,0.44677,27,0.47258
ENSG00000142669,SH3BGRL3,136,-0.0064,72,-1.0634,169,0.44319,143,0.09190,145,0.11117
ENSG00000158062,UBXN11,24,0.79325,7,-1.2059,11,-0.5633,10,-0.6504,26,0.99988
ENSG00000117682,DHDDS,9,-1.1959,14,-0.4640,23,0.44145,24,0.46021,20,0.18137
ENSG00000198830,HMGN2,155,0.54668,86,-0.4902,87,-0.5296,93,-0.3696,168,0.70107
ENSG00000117713,ARID1A,70,-0.1020,95,0.45583,64,-0.2874,52,-0.6007,94,0.44317
ENSG00000204160,ZDHHC18,12,-0.4572,9,-0.8693,22,0.72955,11,-0.5350,20,0.47405
ENSG00000142751,GPN2,13,-0.5429,21,0.29965,12,-0.6870,22,0.37322,23,0.51064
ENSG00000090273,NUDC,192,0.05410,142,-0.4594,163,-0.2642,201,0.13593,245,0.50069
ENSG00000253368,TRNP1,27,-0.8257,33,-0.5073,55,0.39622,48,0.12328,57,0.41094
ENSG00000090020,SLC9A1,8,-1.2845,19,0.08096,24,0.49025,21,0.21233,18,-0.0539
ENSG00000142784,WDTC1,36,0.67983,23,-0.1317,24,-0.0409,15,-0.7701,25,0.04418
ENSG00000186501,TMEM222,34,0.11182,17,-1.0503,34,0.11206,36,0.19892,38,0.32560
ENSG00000158195,WASF2,64,1.30794,47,0.67501,19,-0.9683,12,-1.5258,27,-0.3244
ENSG00000126705,AHDC1,43,-0.1459,67,0.66205,44,-0.1146,42,-0.1790,39,-0.3181
ENSG00000126709,IFI6,62,-0.5786,60,-0.6183,78,-0.1919,182,1.47076,55,-0.7640
ENSG00000009780,FAM76A,13,-0.6170,23,0.30522,17,-0.2236,23,0.35326,20,0.11356
ENSG00000117758,STX12,51,-1.0154,97,0.05744,94,0.01475,107,0.23825,119,0.43236
ENSG00000117751,PPP1R8,28,0.12048,20,-0.4365,21,-0.3498,32,0.41557,30,0.24443
ENSG00000117748,RPA2,25,-0.5947,19,-1.0982,28,-0.4990,49,0.54702,65,1.10156
ENSG00000158161,EYA3,8,-0.5860,15,0.51248,8,-0.4988,10,-0.1930,16,0.64496
ENSG00000126698,DNAJC8,177,-0.2466,250,0.36754,189,-0.1425,226,0.18377,184,-0.1765
ENSG00000130770,ATP5IF1,266,-0.5286,206,-0.9465,324,-0.2227,507,0.61586,531,0.70475
ENSG00000204138,PHACTR4,41,0.53776,47,0.79270,29,-0.1260,9,-1.9276,28,-0.1465
ENSG00000180098,TRNAU1AP,13,-0.0769,13,-0.0733,11,-0.3691,17,0.39960,15,0.16899
ENSG00000120656,TAF12,14,0.10994,14,0.05454,7,-1.0538,13,-0.0368,22,0.86423
ENSG00000162419,GMEB1,10,-0.3379,14,0.17070,13,0.13427,9,-0.5826,16,0.42343
ENSG00000198492,YTHDF2,51,-0.9787,102,0.17323,101,0.17168,129,0.60945,75,-0.3536
ENSG00000116329,OPRD1,5,-1.3813,23,1.22062,9,-0.4693,13,0.16087,11,-0.1372
ENSG00000159023,EPB41,12,-0.6880,36,1.22525,16,-0.2898,21,0.16404,11,-0.9557
ENSG00000116350,SRSF4,72,-0.1798,104,0.48222,77,-0.0795,66,-0.3233,82,0.04368
ENSG00000116353,MECR,17,-0.5922,18,-0.5485,22,-0.2177,34,0.56104,34,0.57653
ENSG00000060656,PTPRU,11,-0.4983,10,-0.7426,21,0.62371,23,0.70144,10,-0.7716
ENSG00000162512,SDC3,92,0.50290,71,0.02226,53,-0.5301,52,-0.4877,90,0.45459
ENSG00000134644,PUM1,124,-0.4974,224,0.54425,185,0.21328,147,-0.2128,142,-0.2728
ENSG00000121766,ZCCHC17,84,-0.5953,123,0.06101,112,-0.1251,160,0.53266,121,0.02535
ENSG00000121769,FABP3,26,-1.2564,29,-1.0724,67,0.38029,89,0.88421,61,0.17409
ENSG00000162517,PEF1,36,-0.8642,44,-0.5172,52,-0.2692,92,0.80435,79,0.50629
ENSG00000084636,COL16A1,22,-0.1548,31,0.42655,20,-0.3797,17,-0.6065,34,0.60444
ENSG00000121753,ADGRB2,136,-0.4380,132,-0.4912,180,0.04605,240,0.56650,190,0.13229
ENSG00000184007,PTP4A2,187,0.07672,211,0.29292,208,0.30040,145,-0.3655,131,-0.5331
ENSG00000121774,KHDRBS1,111,-0.1449,116,-0.0741,106,-0.2496,134,0.18089,145,0.32163
ENSG00000121775,TMEM39B,9,-0.3214,12,0.22948,9,-0.3675,10,-0.0372,14,0.49993
ENSG00000025800,KPNA6,56,-0.9086,100,0.05840,111,0.27911,107,0.18197,102,0.09816
ENSG00000084652,TXLNA,20,-0.2948,26,0.11758,22,-0.1265,26,0.14848,26,0.16147
ENSG00000160050,CCDC28B,13,-0.0413,7,-1.0815,9,-0.6475,12,-0.1738,27,1.39993
ENSG00000084623,EIF3I,56,-0.6813,64,-0.4640,83,-0.0017,117,0.62205,98,0.27762
ENSG00000175130,MARCKSL1,169,0.93671,70,-0.6395,108,0.08780,39,-1.5929,126,0.37038
ENSG00000160058,BSDC1,45,-0.2118,44,-0.2406,52,0.06417,53,0.08034,58,0.24813
ENSG00000160062,ZBTB8A,16,0.08371,15,0.05050,13,-0.2281,16,0.11190,15,0.04170
ENSG00000176261,ZBTB8OS,29,0.02106,22,-0.4216,24,-0.3397,35,0.33337,36,0.39699
ENSG00000162521,RBBP4,85,-0.1785,116,0.37024,60,-0.8241,102,0.13103,126,0.52451
ENSG00000162522,KIAA1522,28,0.84335,17,-0.0969,13,-0.5274,13,-0.4600,19,0.14614
ENSG00000134684,YARS,48,-1.1654,68,-0.6088,117,0.37839,117,0.32596,127,0.48390
ENSG00000116497,S100PBP,14,0.49232,13,0.40795,6,-0.8406,10,-0.1008,11,0.07191
ENSG00000160097,FNDC5,17,-1.0361,28,-0.2755,47,0.79248,27,-0.3284,36,0.19678
ENSG00000121905,HPCA,100,-0.7316,89,-0.9168,206,0.61257,123,-0.3857,226,0.71210
ENSG00000121900,TMEM54,28,0.62898,10,-1.1699,16,-0.3692,20,0.00981,27,0.55802
ENSG00000116514,RNF19B,6,-0.9361,13,0.15254,9,-0.4931,21,1.08815,11,-0.1524
ENSG00000004455,AK2,28,0.15527,24,-0.0821,26,0.06244,25,-0.0672,24,-0.1000
ENSG00000142920,AZIN2,11,-0.7182,9,-0.9174,25,0.89747,16,-0.0195,17,0.02735
ENSG00000160094,ZNF362,18,0.14607,16,-0.0531,12,-0.6364,15,-0.1938,25,0.72917
ENSG00000134686,PHC2,45,0.18384,37,-0.1432,45,0.18620,33,-0.3429,41,0.00942
ENSG00000121904,CSMD2,9,-0.3191,22,1.32636,9,-0.4879,8,-0.5086,9,-0.3911
ENSG00000163866,SMIM12,34,-0.6266,33,-0.7052,48,-0.0590,84,0.98054,51,0.02799
ENSG00000116544,DLGAP3,79,1.49256,26,-0.5945,22,-0.9671,29,-0.4042,37,0.00422
ENSG00000163867,ZMYM6,16,-0.7794,31,0.32929,18,-0.6396,29,0.22094,38,0.71588
ENSG00000116560,SFPQ,153,-0.4387,368,1.20248,151,-0.5029,158,-0.3806,180,-0.1617
ENSG00000146463,ZMYM4,48,-0.5909,115,1.01106,63,-0.1247,53,-0.4017,60,-0.1988
ENSG00000142687,KIAA0319L,45,-0.3860,64,0.20735,54,-0.1235,60,0.08238,64,0.20519
ENSG00000020129,NCDN,247,-0.8188,215,-1.0395,281,-0.6661,747,1.20305,576,0.66806
ENSG00000126067,PSMB2,52,-0.8288,61,-0.5671,95,0.20239,113,0.50697,103,0.31822
ENSG00000142686,C1orf216,46,-1.0725,56,-0.7719,101,0.26340,124,0.61083,110,0.38984
ENSG00000134698,AGO4,12,-0.2257,19,0.58683,14,0.10110,10,-0.4841,12,-0.1575
ENSG00000092847,AGO1,30,-0.4421,48,0.35764,46,0.31446,20,-1.0887,48,0.38706
ENSG00000126070,AGO3,39,-0.4023,84,0.97978,41,-0.3654,39,-0.4323,51,0.02578
ENSG00000116863,ADPRHL2,8,-0.9204,8,-1.0782,16,0.11917,26,1.04269,16,0.13594
ENSG00000054116,TRAPPC3,29,-0.2708,24,-0.5607,28,-0.3534,47,0.63396,42,0.42832
ENSG00000116871,MAP7D1,121,-0.4133,120,-0.4269,161,0.09366,177,0.25108,186,0.34568
ENSG00000054118,THRAP3,114,-0.4619,248,0.96267,123,-0.3704,162,0.14432,112,-0.4871
ENSG00000196182,STK40,18,0.37179,11,-0.4591,18,0.38409,10,-0.6025,15,-0.0053
ENSG00000181817,LSM10,18,-0.6803,10,-1.5208,32,0.31570,31,0.23141,42,0.81614
ENSG00000116885,OSCP1,11,-0.6634,7,-1.1989,13,-0.3738,30,1.17907,20,0.42278
ENSG00000116898,MRPS15,31,-0.3280,20,-1.0308,36,-0.1197,47,0.36570,57,0.75209
ENSG00000163873,GRIK3,5,-2.0870,21,0.19125,38,1.58569,14,-0.5388,9,-1.2451
ENSG00000163875,MEAF6,62,-0.9896,108,-0.0532,131,0.32245,146,0.48990,102,-0.1601
ENSG00000163877,SNIP1,10,-0.6425,15,0.08231,14,-0.0895,12,-0.2380,21,0.70399
ENSG00000134697,GNL2,14,-0.7142,27,0.35706,22,-0.0525,30,0.55418,18,-0.3603
ENSG00000116922,C1orf109,10,-0.7904,14,-0.3495,22,0.57873,21,0.39850,14,-0.3092
ENSG00000183317,EPHA10,5,-1.1836,10,-0.0123,10,0.04018,16,0.85992,9,-0.1730
ENSG00000185090,MANEAL,13,-0.8331,12,-0.9254,27,0.47243,27,0.40443,26,0.30023
ENSG00000196449,YRDC,6,-0.8551,6,-0.9693,9,-0.2856,17,0.85209,16,0.71373
ENSG00000197982,C1orf122,159,0.75444,47,-1.3241,95,-0.2085,95,-0.1831,138,0.48405
