"","t_stat_FALSE","t_stat_TRUE","p_value_FALSE","p_value_TRUE","fdr_FALSE","fdr_TRUE","logFC_FALSE","logFC_TRUE","ensembl","gene"
"ENSG00000175756",-1.76705647112439,1.76705647112439,0.0823157078887058,0.0823157078887058,0.160484393069069,0.160484393069069,-0.132921820761464,0.132921820761463,"ENSG00000175756","AURKAIP1"
"ENSG00000221978",1.34784258468983,-1.34784258468983,0.182787452125941,0.182787452125941,0.286909078879825,0.286909078879826,0.38507210237155,-0.38507210237155,"ENSG00000221978","CCNL2"
"ENSG00000224870",1.78996409551691,-1.78996409551691,0.0785171532380946,0.0785171532380946,0.154587517376468,0.154587517376468,0.517712024288387,-0.517712024288387,"ENSG00000224870","MRPL20-AS1"
"ENSG00000242485",0.170491782257374,-0.170491782257374,0.865198290185715,0.865198290185715,0.902116146141415,0.902116146141414,0.0127972281329085,-0.0127972281329085,"ENSG00000242485","MRPL20"
"ENSG00000235098",2.96992255607161,-2.96992255607161,0.00428119752371874,0.00428119752371876,0.0173518938808176,0.0173518938808177,0.296578341691377,-0.296578341691377,"ENSG00000235098","ANKRD65"
"ENSG00000179403",4.47035744336884,-4.47035744336884,3.53877702908442e-05,3.53877702908444e-05,0.000440838118363953,0.000440838118363955,1.49632848182238,-1.49632848182238,"ENSG00000179403","VWA1"
"ENSG00000215915",2.99501181074742,-2.99501181074741,0.0039869207321845,0.00398692073218451,0.0163865191693288,0.0163865191693288,1.02642460546836,-1.02642460546836,"ENSG00000215915","ATAD3C"
"ENSG00000160072",1.45340334216966,-1.45340334216966,0.151334020488839,0.151334020488839,0.250061889877697,0.250061889877697,0.433510358620182,-0.433510358620182,"ENSG00000160072","ATAD3B"
"ENSG00000197785",2.27016166621422,-2.27016166621422,0.0268110656267987,0.0268110656267987,0.0694709681345519,0.0694709681345519,0.810197524406722,-0.810197524406722,"ENSG00000197785","ATAD3A"
"ENSG00000205090",0.952592185289586,-0.952592185289586,0.344627143106529,0.344627143106529,0.456715098424233,0.456715098424232,0.255375478089142,-0.255375478089142,"ENSG00000205090","TMEM240"
"ENSG00000160075",-1.30607583563403,1.30607583563403,0.196522972408317,0.196522972408318,0.303042410050871,0.303042410050872,-0.0850735211512201,0.0850735211512199,"ENSG00000160075","SSU72"
"ENSG00000215014",3.10578848517448,-3.10578848517448,0.00289909719404372,0.00289909719404375,0.0128323378176047,0.0128323378176048,1.22415431090627,-1.22415431090627,"ENSG00000215014","AL645728.1"
"ENSG00000228594",-3.45400021006687,3.45400021006687,0.00102058010576426,0.00102058010576427,0.00578630303706454,0.00578630303706455,-0.318845224748604,0.318845224748604,"ENSG00000228594","FNDC10"
"ENSG00000286989",3.21328498570153,-3.21328498570153,0.00211452191635924,0.00211452191635924,0.0100935298935904,0.0100935298935905,1.2345797171069,-1.2345797171069,"ENSG00000286989","AL691432.4"
"ENSG00000272106",2.3895663256925,-2.3895663256925,0.0200346982673864,0.0200346982673864,0.0561072013559693,0.0561072013559696,0.231301233094311,-0.231301233094311,"ENSG00000272106","AL691432.2"
"ENSG00000197530",1.6227781199667,-1.6227781199667,0.109891731668747,0.109891731668747,0.198385667046245,0.198385667046245,0.583358850251977,-0.583358850251976,"ENSG00000197530","MIB2"
"ENSG00000248333",1.73675572493539,-1.73675572493539,0.0875736419018674,0.0875736419018679,0.168074158275914,0.168074158275915,0.23441299469999,-0.234412994699989,"ENSG00000248333","CDK11B"
"ENSG00000189339",0.344465951814062,-0.344465951814061,0.73170304357224,0.731703043572241,0.797311756467696,0.797311756467697,0.0435949318340999,-0.0435949318340997,"ENSG00000189339","SLC35E2B"
"ENSG00000008128",2.71607709917132,-2.71607709917132,0.00862220797308794,0.00862220797308801,0.0297500094493218,0.0297500094493219,0.408274860433025,-0.408274860433024,"ENSG00000008128","CDK11A"
"ENSG00000215790",1.70234151454783,-1.70234151454783,0.0938791174273159,0.0938791174273161,0.176961661253742,0.176961661253743,0.594484143899282,-0.594484143899282,"ENSG00000215790","SLC35E2A"
"ENSG00000008130",1.95361064984239,-1.95361064984239,0.0554247708763388,0.055424770876339,0.119435010310467,0.119435010310468,0.664442170632211,-0.66444217063221,"ENSG00000008130","NADK"
"ENSG00000078369",0.623285628378656,-0.623285628378656,0.535464308766293,0.535464308766293,0.633819237015094,0.633819237015094,0.0290521460064385,-0.0290521460064385,"ENSG00000078369","GNB1"
"ENSG00000142609",-0.861122472696074,0.861122472696073,0.392606494939241,0.392606494939242,0.504697512346829,0.50469751234683,-0.240092805799871,0.240092805799871,"ENSG00000142609","CFAP74"
"ENSG00000187730",-6.16506257185882,6.16506257185882,6.54887713603973e-08,6.54887713603984e-08,3.19907280163462e-06,3.19907280163467e-06,-0.563332036214678,0.563332036214678,"ENSG00000187730","GABRD"
"ENSG00000067606",-1.55404454566474,1.55404454566474,0.125444836867986,0.125444836867987,0.217807088275974,0.217807088275974,-0.0877335390060964,0.0877335390060964,"ENSG00000067606","PRKCZ"
"ENSG00000162585",-0.12930929160341,0.12930929160341,0.897546391283863,0.897546391283863,0.926185526694007,0.926185526694007,-0.0107902475472643,0.0107902475472643,"ENSG00000162585","FAAP20"
"ENSG00000157933",1.82617140789916,-1.82617140789917,0.0728121578505565,0.0728121578505563,0.146288278469052,0.146288278469052,0.235805758610135,-0.235805758610135,"ENSG00000157933","SKI"
"ENSG00000116151",2.05641424472424,-2.05641424472424,0.0441093135643311,0.0441093135643311,0.101152018284588,0.101152018284588,0.631778162546163,-0.631778162546163,"ENSG00000116151","MORN1"
"ENSG00000272420",1.74682575648026,-1.74682575648026,0.0857962351734474,0.0857962351734475,0.165537180503651,0.165537180503651,0.590464493509037,-0.590464493509037,"ENSG00000272420","AL513477.2"
"ENSG00000157916",1.57602024929277,-1.57602024929277,0.120291335937175,0.120291335937175,0.211746291839316,0.211746291839317,0.167610748162625,-0.167610748162625,"ENSG00000157916","RER1"
"ENSG00000157911",0.989549486621353,-0.989549486621353,0.326377129229707,0.326377129229707,0.439545588754715,0.439545588754715,0.0902203179358178,-0.0902203179358177,"ENSG00000157911","PEX10"
"ENSG00000149527",1.06432324297238,-1.06432324297238,0.291456402848858,0.291456402848858,0.404416429512786,0.404416429512787,0.280450455224036,-0.280450455224036,"ENSG00000149527","PLCH2"
"ENSG00000157881",0.677007594731441,-0.67700759473144,0.501008886418288,0.501008886418288,0.603864629054154,0.603864629054154,0.153461550897286,-0.153461550897285,"ENSG00000157881","PANK4"
"ENSG00000197921",2.03257167471446,-2.03257167471446,0.0465385779575624,0.0465385779575625,0.105184810829752,0.105184810829752,0.644789251317594,-0.644789251317594,"ENSG00000197921","HES5"
"ENSG00000272449",1.37438963088442,-1.37438963088441,0.174444108727938,0.174444108727939,0.277823920463662,0.277823920463662,0.440015466431103,-0.440015466431102,"ENSG00000272449","AL139246.5"
"ENSG00000157873",2.4015395145337,-2.4015395145337,0.0194478888015421,0.0194478888015421,0.0549278283014076,0.0549278283014078,0.844467759034498,-0.844467759034498,"ENSG00000157873","TNFRSF14"
"ENSG00000157870",0.624015197363437,-0.624015197363437,0.534988313471162,0.534988313471163,0.633509720022259,0.633509720022259,0.176213783888711,-0.176213783888711,"ENSG00000157870","PRXL2B"
"ENSG00000177133",1.56591772784599,-1.56591772784599,0.122638975551232,0.122638975551232,0.214510225022048,0.214510225022048,0.222237786827194,-0.222237786827193,"ENSG00000177133","PRDM16-DT"
"ENSG00000142611",2.32032829650742,-2.32032829650742,0.0237491036222475,0.0237491036222477,0.0636857262181184,0.0636857262181189,0.550438289245596,-0.550438289245595,"ENSG00000142611","PRDM16"
"ENSG00000162591",1.47034669531112,-1.47034669531112,0.146704397827386,0.146704397827387,0.244518270861419,0.24451827086142,0.608368322323284,-0.608368322323283,"ENSG00000162591","MEGF6"
"ENSG00000158109",-0.391199092679946,0.391199092679945,0.697038948723567,0.697038948723567,0.769671925964013,0.769671925964013,-0.042441475150679,0.0424414751506789,"ENSG00000158109","TPRG1L"
"ENSG00000116213",1.31882476923206,-1.31882476923206,0.192250480798073,0.192250480798073,0.297903267125375,0.297903267125376,0.502219232478841,-0.50221923247884,"ENSG00000116213","WRAP73"
"ENSG00000130764",-1.14339830461003,1.14339830461003,0.25742496504853,0.25742496504853,0.369781580626499,0.369781580626499,-0.0887990879949026,0.0887990879949025,"ENSG00000130764","LRRC47"
"ENSG00000116198",1.93745692872563,-1.93745692872563,0.0574113779947842,0.0574113779947844,0.122468108686782,0.122468108686782,0.504630627102891,-0.504630627102891,"ENSG00000116198","CEP104"
"ENSG00000169598",3.16094914593282,-3.16094914593282,0.0024675874950682,0.00246758749506823,0.0113470944719201,0.0113470944719202,1.12133490234331,-1.12133490234331,"ENSG00000169598","DFFB"
"ENSG00000198912",0.915430587444435,-0.915430587444435,0.363638349915435,0.363638349915435,0.476001385994558,0.476001385994558,0.294947092250596,-0.294947092250596,"ENSG00000198912","C1orf174"
"ENSG00000284703",3.66372656361191,-3.66372656361191,0.000528619696697981,0.000528619696697984,0.00346193620268273,0.00346193620268275,1.30382878253691,-1.30382878253691,"ENSG00000284703","AL805961.1"
"ENSG00000196581",1.13791499675982,-1.13791499675982,0.259689594797056,0.259689594797056,0.372173458337951,0.372173458337951,0.109470579934422,-0.109470579934422,"ENSG00000196581","AJAP1"
"ENSG00000131697",2.09335431134265,-2.09335431134265,0.0405623720837534,0.0405623720837535,0.0952764908837841,0.0952764908837842,0.706644214515499,-0.706644214515498,"ENSG00000131697","NPHP4"
"ENSG00000069424",-2.00249021631535,2.00249021631535,0.0497675007423773,0.0497675007423775,0.110785297110515,0.110785297110516,-0.145051330085932,0.145051330085931,"ENSG00000069424","KCNAB2"
"ENSG00000116254",-0.707992187196374,0.707992187196373,0.481697580953866,0.481697580953866,0.587492817504228,0.587492817504229,-0.0799286085841088,0.0799286085841087,"ENSG00000116254","CHD5"
"ENSG00000116251",3.40256913024305,-3.40256913024305,0.00119538617141201,0.00119538617141202,0.00650714598752925,0.0065071459875293,0.247102285235041,-0.247102285235041,"ENSG00000116251","RPL22"
"ENSG00000158286",0.636253621090899,-0.636253621090899,0.52703630019657,0.527036300196569,0.627081443589578,0.627081443589577,0.212324951917116,-0.212324951917116,"ENSG00000158286","RNF207"
"ENSG00000116237",-1.06670007020067,1.06670007020067,0.290390242156981,0.290390242156981,0.403480762650085,0.403480762650085,-0.0765218523209441,0.0765218523209441,"ENSG00000116237","ICMT"
"ENSG00000158292",2.41651784475496,-2.41651784475496,0.0187354957906793,0.0187354957906794,0.0534137297713991,0.0534137297713993,0.917431734866613,-0.917431734866612,"ENSG00000158292","GPR153"
"ENSG00000097021",-4.38982739948612,4.38982739948611,4.68644418400694e-05,4.68644418400704e-05,0.000545921281450504,0.000545921281450515,-0.44345528455482,0.443455284554819,"ENSG00000097021","ACOT7"
"ENSG00000215788",2.37686178099938,-2.37686178099938,0.0206746277460119,0.0206746277460119,0.0574578024226509,0.0574578024226509,0.94984617941706,-0.94984617941706,"ENSG00000215788","TNFRSF25"
"ENSG00000171680",0.800732307940455,-0.800732307940457,0.426453067126726,0.426453067126725,0.537358275297792,0.537358275297791,0.087365811688068,-0.0873658116880682,"ENSG00000171680","PLEKHG5"
"ENSG00000162408",1.92908342280107,-1.92908342280107,0.0584648394925502,0.0584648394925502,0.124172151617891,0.124172151617891,0.67703431602248,-0.67703431602248,"ENSG00000162408","NOL9"
"ENSG00000204859",2.17447754646988,-2.17447754646988,0.0336322590024364,0.0336322590024365,0.0824698859245062,0.0824698859245065,0.739887784332547,-0.739887784332546,"ENSG00000204859","ZBTB48"
"ENSG00000162413",1.48064083023857,-1.48064083023857,0.14394631147284,0.14394631147284,0.241325092228405,0.241325092228405,0.505072670392978,-0.505072670392978,"ENSG00000162413","KLHL21"
"ENSG00000116273",0.77405114543464,-0.774051145434639,0.441946711598455,0.441946711598455,0.552396313431659,0.55239631343166,0.189143128757106,-0.189143128757106,"ENSG00000116273","PHF13"
"ENSG00000041988",0.771065536578294,-0.771065536578294,0.443700767686291,0.443700767686291,0.553798922489575,0.553798922489574,0.187769979438471,-0.187769979438471,"ENSG00000041988","THAP3"
"ENSG00000007923",-0.858439321322977,0.858439321322975,0.394073965789913,0.394073965789914,0.506190879929642,0.506190879929643,-0.0756484535543346,0.0756484535543344,"ENSG00000007923","DNAJC11"
"ENSG00000171735",-3.00962125555697,3.00962125555697,0.00382435071245277,0.00382435071245275,0.0159070355289877,0.0159070355289876,-0.222940463001118,0.222940463001118,"ENSG00000171735","CAMTA1"
"ENSG00000049245",4.46125242759498,-4.46125242759498,3.65336383768838e-05,3.65336383768842e-05,0.000452840830430276,0.000452840830430282,1.23017412908704,-1.23017412908704,"ENSG00000049245","VAMP3"
"ENSG00000049246",2.64487050994427,-2.64487050994427,0.0104213723473376,0.0104213723473376,0.034336140336794,0.0343361403367942,0.296468803998666,-0.296468803998666,"ENSG00000049246","PER3"
"ENSG00000116288",-0.104779621777943,0.104779621777944,0.916900947070721,0.91690094707072,0.939862897172801,0.939862897172801,-0.0131037120603695,0.0131037120603696,"ENSG00000116288","PARK7"
"ENSG00000116285",-4.07013560058578,4.07013560058578,0.000139736498081212,0.000139736498081212,0.00124072353093682,0.00124072353093682,-0.312510487510103,0.312510487510103,"ENSG00000116285","ERRFI1"
"ENSG00000162426",0.538849189655598,-0.538849189655598,0.591989142602344,0.591989142602344,0.683962303370999,0.683962303370998,0.193253486795993,-0.193253486795993,"ENSG00000162426","SLC45A1"
"ENSG00000142599",0.618694677609272,-0.618694677609271,0.538464611022838,0.538464611022839,0.636611985369725,0.636611985369725,0.0380624954989318,-0.0380624954989317,"ENSG00000142599","RERE"
"ENSG00000074800",0.456217144179645,-0.456217144179645,0.649884624559074,0.649884624559074,0.731896470574789,0.73189647057479,0.0312705987741046,-0.0312705987741046,"ENSG00000074800","ENO1"
"ENSG00000142583",4.01163865348204,-4.01163865348204,0.000169948020341999,0.000169948020341999,0.00144654013480951,0.00144654013480952,1.63368881979149,-1.63368881979149,"ENSG00000142583","SLC2A5"
"ENSG00000049239",3.28675469335472,-3.28675469335472,0.00169830568714257,0.00169830568714258,0.00851095070055066,0.00851095070055071,0.941500121954053,-0.941500121954052,"ENSG00000049239","H6PD"
"ENSG00000171621",4.3986752779612,-4.3986752779612,4.54450575432003e-05,4.54450575432003e-05,0.000533138513650504,0.000533138513650505,1.78955679637953,-1.78955679637953,"ENSG00000171621","SPSB1"
"ENSG00000171612",1.10032591565604,-1.10032591565604,0.275594955140923,0.275594955140924,0.388907864808166,0.388907864808166,0.299854106078367,-0.299854106078366,"ENSG00000171612","SLC25A33"
"ENSG00000188807",1.60364758632497,-1.60364758632496,0.114055112501271,0.114055112501272,0.203534210223553,0.203534210223553,0.485801249258859,-0.485801249258859,"ENSG00000188807","TMEM201"
"ENSG00000171608",1.73987548360451,-1.73987548360451,0.0870197625189141,0.0870197625189143,0.167226549950896,0.167226549950897,0.647460228862298,-0.647460228862297,"ENSG00000171608","PIK3CD"
"ENSG00000171603",-1.16603847954297,1.16603847954297,0.24822332861061,0.24822332861061,0.359754802818042,0.359754802818043,-0.0943879976378282,0.0943879976378281,"ENSG00000171603","CLSTN1"
"ENSG00000178585",1.05436145147091,-1.05436145147091,0.295954235702579,0.295954235702579,0.408620346375009,0.408620346375009,0.279284640087318,-0.279284640087318,"ENSG00000178585","CTNNBIP1"
"ENSG00000162441",1.50176112978091,-1.50176112978091,0.138415324084463,0.138415324084463,0.234459787827496,0.234459787827497,0.112521014385312,-0.112521014385312,"ENSG00000162441","LZIC"
"ENSG00000173614",1.61833369135156,-1.61833369135156,0.110847828806681,0.110847828806681,0.199435068396418,0.199435068396419,0.496184920287744,-0.496184920287744,"ENSG00000173614","NMNAT1"
"ENSG00000162444",4.95395868282055,-4.95395868282055,6.28021491141871e-06,6.28021491141881e-06,0.000118143185852226,0.000118143185852227,2.09912130868401,-2.09912130868401,"ENSG00000162444","RBP7"
"ENSG00000130939",-1.61719311878569,1.61719311878569,0.111094274466328,0.111094274466328,0.199769685619651,0.199769685619652,-0.104333109034287,0.104333109034287,"ENSG00000130939","UBE4B"
"ENSG00000054523",0.986810265403757,-0.986810265403756,0.327707298436485,0.327707298436486,0.440699615435075,0.440699615435076,0.0637158264403809,-0.0637158264403808,"ENSG00000054523","KIF1B"
"ENSG00000284642",0.85856537930925,-0.858565379309249,0.394004945970659,0.394004945970659,0.506146808096902,0.506146808096902,0.275540057997454,-0.275540057997454,"ENSG00000284642","AL139424.2"
"ENSG00000142657",-6.02312800731174,6.02312800731174,1.13178791382714e-07,1.13178791382714e-07,5.01726239373263e-06,5.01726239373271e-06,-0.453488367003696,0.453488367003696,"ENSG00000142657","PGD"
"ENSG00000175279",0.229247191486808,-0.229247191486807,0.81945819322855,0.81945819322855,0.867156090158013,0.867156090158012,0.0737444499052726,-0.0737444499052724,"ENSG00000175279","CENPS"
"ENSG00000241563",-1.17954394431621,1.17954394431621,0.24284792077694,0.24284792077694,0.353822723611933,0.353822723611933,-0.183000429603159,0.183000429603159,"ENSG00000241563","CORT"
"ENSG00000160049",0.758241184866254,-0.758241184866254,0.45128133008421,0.45128133008421,0.561004633869391,0.561004633869391,0.0600211753700563,-0.0600211753700563,"ENSG00000160049","DFFA"
"ENSG00000142655",0.733977252078251,-0.73397725207825,0.465827565997013,0.465827565997013,0.574105790866862,0.574105790866863,0.179268084606999,-0.179268084606998,"ENSG00000142655","PEX14"
"ENSG00000120948",3.3751448346639,-3.3751448346639,0.00129983153450095,0.00129983153450096,0.00691649644018914,0.0069164964401892,0.165686360222378,-0.165686360222377,"ENSG00000120948","TARDBP"
"ENSG00000271895",0.696398526125981,-0.696398526125981,0.488874411893244,0.488874411893244,0.593525086603442,0.593525086603442,0.179441822629352,-0.179441822629352,"ENSG00000271895","AL109811.2"
"ENSG00000116649",1.3657839053938,-1.3657839053938,0.177116227337258,0.177116227337258,0.280759088317672,0.280759088317672,0.120732140646823,-0.120732140646823,"ENSG00000116649","SRM"
"ENSG00000171824",1.55598234700336,-1.55598234700336,0.124983425717518,0.124983425717518,0.21726691728809,0.21726691728809,0.140823591026597,-0.140823591026597,"ENSG00000171824","EXOSC10"
"ENSG00000198793",0.223211336084753,-0.223211336084753,0.824130920153498,0.824130920153499,0.87021449889206,0.870214498892061,0.0225108550549961,-0.022510855054996,"ENSG00000198793","MTOR"
"ENSG00000120942",1.64750048692424,-1.64750048692424,0.104694693924107,0.104694693924108,0.191721514844552,0.191721514844553,0.367136980353648,-0.367136980353648,"ENSG00000120942","UBIAD1"
"ENSG00000204624",4.25818921774699,-4.25818921774699,7.38193681411417e-05,7.38193681411427e-05,0.000769653440122373,0.000769653440122382,1.36189656523767,-1.36189656523767,"ENSG00000204624","DISP3"
"ENSG00000116661",0.898844840060509,-0.898844840060509,0.372336424300874,0.372336424300875,0.484679674289609,0.484679674289609,0.0826128195360706,-0.0826128195360705,"ENSG00000116661","FBXO2"
"ENSG00000132879",0.113625442002573,-0.113625442002574,0.909914912696418,0.909914912696417,0.935146739619503,0.935146739619502,0.0107477765915724,-0.0107477765915725,"ENSG00000132879","FBXO44"
"ENSG00000116663",2.24481976142642,-2.24481976142642,0.0284868488257898,0.0284868488257899,0.0726031302321268,0.072603130232127,0.821027532887493,-0.821027532887493,"ENSG00000116663","FBXO6"
"ENSG00000116670",2.24270610943378,-2.24270610943378,0.0286307112766803,0.0286307112766803,0.0728803976270732,0.0728803976270732,0.536464966778538,-0.536464966778538,"ENSG00000116670","MAD2L2"
"ENSG00000177674",4.42181880259389,-4.42181880259389,4.19270793488264e-05,4.19270793488266e-05,0.000500137354057778,0.000500137354057781,1.21458123834339,-1.21458123834339,"ENSG00000177674","AGTRAP"
"ENSG00000177000",1.94385720482895,-1.94385720482895,0.0566171164341187,0.0566171164341188,0.121250311592919,0.121250311592919,0.771087342775287,-0.771087342775286,"ENSG00000177000","MTHFR"
"ENSG00000011021",-2.49417592565487,2.49417592565487,0.0154040289642261,0.0154040289642262,0.0462244969865065,0.0462244969865067,-0.189767339069613,0.189767339069613,"ENSG00000011021","CLCN6"
"ENSG00000175206",3.46980659089261,-3.46980659089261,0.000971923477616031,0.000971923477616037,0.00556319174763637,0.0055631917476364,1.39548625659189,-1.39548625659188,"ENSG00000175206","NPPA"
"ENSG00000116685",0.837058851783476,-0.837058851783476,0.405888609798622,0.405888609798622,0.517751232653225,0.517751232653226,0.0629849875042819,-0.0629849875042819,"ENSG00000116685","KIAA2013"
"ENSG00000083444",1.7891428324163,-1.7891428324163,0.0786507638396684,0.0786507638396685,0.154797586584837,0.154797586584838,0.417686631718005,-0.417686631718005,"ENSG00000083444","PLOD1"
"ENSG00000116688",-4.50550683279392,4.50550683279392,3.12834839870184e-05,3.12834839870187e-05,0.00040284583225807,0.000402845832258074,-0.246368455545633,0.246368455545633,"ENSG00000116688","MFN2"
"ENSG00000116691",2.42117895090266,-2.42117895090266,0.0185186297182417,0.0185186297182418,0.0529474312362471,0.0529474312362472,0.719876214234023,-0.719876214234023,"ENSG00000116691","MIIP"
"ENSG00000028137",4.44123368514154,-4.44123368514153,3.91813836235934e-05,3.91813836235939e-05,0.000473065992388912,0.000473065992388919,1.67002403552178,-1.67002403552178,"ENSG00000028137","TNFRSF1B"
"ENSG00000048707",-1.59370302638152,1.59370302638152,0.116269123504834,0.116269123504834,0.206274550023639,0.206274550023639,-0.0986452414208014,0.0986452414208013,"ENSG00000048707","VPS13D"
"ENSG00000162496",2.64919025545026,-2.64919025545026,0.0103031498669876,0.0103031498669877,0.0340596028107941,0.0340596028107944,0.25698186056993,-0.25698186056993,"ENSG00000162496","DHRS3"
"ENSG00000162494",-6.27800577831663,6.27800577831662,4.23055612231386e-08,4.23055612231396e-08,2.25110913094122e-06,2.25110913094127e-06,-1.98031860468746,1.98031860468746,"ENSG00000162494","LRRC38"
"ENSG00000162493",0.587255863819377,-0.587255863819377,0.559240291369238,0.559240291369238,0.654956035769007,0.654956035769007,0.201941103241924,-0.201941103241924,"ENSG00000162493","PDPN"
"ENSG00000116731",0.867442972514316,-0.867442972514315,0.389163129775286,0.389163129775286,0.501265796708047,0.501265796708048,0.0654479687332123,-0.0654479687332122,"ENSG00000116731","PRDM2"
"ENSG00000189337",-3.2132021330316,3.2132021330316,0.00211504129993888,0.00211504129993888,0.0100935298935904,0.0100935298935905,-0.300143115313635,0.300143115313635,"ENSG00000189337","KAZN"
"ENSG00000171729",3.03598451315677,-3.03598451315677,0.00354650804141957,0.00354650804141959,0.0150240043528889,0.0150240043528889,1.19600213342086,-1.19600213342086,"ENSG00000171729","TMEM51"
"ENSG00000142621",3.65095247077516,-3.65095247077515,0.000550554636083003,0.000550554636083007,0.00356950109791152,0.00356950109791154,1.44917499507884,-1.44917499507884,"ENSG00000142621","FHAD1"
"ENSG00000142634",-0.216713731419455,0.216713731419455,0.829168263621851,0.829168263621851,0.873868443108495,0.873868443108496,-0.0194664307615925,0.0194664307615925,"ENSG00000142634","EFHD2"
"ENSG00000132906",2.0443863095049,-2.0443863095049,0.0453207460840362,0.0453207460840363,0.103389036274086,0.103389036274086,0.603008805102886,-0.603008805102886,"ENSG00000132906","CASP9"
"ENSG00000116138",-1.50775301135321,1.50775301135321,0.136877118920524,0.136877118920524,0.232614599611826,0.232614599611827,-0.124932864937838,0.124932864937838,"ENSG00000116138","DNAJC16"
"ENSG00000116771",-0.678282554131528,0.678282554131527,0.500206045545152,0.500206045545152,0.603153922999127,0.603153922999127,-0.203637682151621,0.203637682151621,"ENSG00000116771","AGMAT"
"ENSG00000197312",0.501186824183467,-0.501186824183466,0.618077599639313,0.618077599639314,0.706137424816052,0.706137424816052,0.141232958565024,-0.141232958565024,"ENSG00000197312","DDI2"
