Ensembl ID,Gene,n_PEC_cell_type,PEC_cell_type,Anno_cell_type,Anno_layer_marker,Note,Probesets,Anno_cell_type_obselete,dx_deg,Literature_GWAS_based_hits,BDNF_signaling,Cell_Type_Reference
ENSG00000113369,ARRDC3,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000058668,ATP2B4,2,"Astro, OPC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000007516,BAIAP3,2,"L2.3.IT, L6b",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000064787,BCAS1,2,"Oligo, OPC",Oligo,Layer marker,Enriched in both oligo and OPCs (LIBD-PEC),8,NA,NA,NA,NA,LIBD-PEC; https://www.nature.com/articles/s41582-024-01031-0
ENSG00000113916,BCL6,2,"Astro, OPC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000176697,BDNF,4,"L2.3.IT, L4.IT, L6.IT, L6.IT.Car3",NA,NA,BDNF_signaling,8,NA,Dx_DEG_Down,NA,BDNF,NA
ENSG00000166619,BLCAP,2,"Endo, PC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000227051,C14orf132,1,L2.3.IT,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000125462,C1orf61,2,"Astro, OPC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000173372,C1QA,3,"Immune, Micro, SMC",Mic,NA,"complement factor, synapse pruning",8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000173369,C1QB,2,"Immune, Micro",Mic,NA,"complement factor, synapse pruning",7,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000144119,C1QL2,2,"L2.3.IT, OPC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000125730,C3,2,"Astro, Micro",Mic,NA,"complement factor, synapse pruning",8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000244731,C4A,NA,NA,Mic,NA,"complement factor, synapse pruning, not as enriched in mic (LIBD-PEC)",8,NA,NA,Literature,NA,https://www.biologicalpsychiatryjournal.com/article/S0006-3223(21)01429-3/abstract
ENSG00000157782,CABP1,2,"L2.3.IT, L6.IT",Ex,NA,"not really a canonical marker for excitatory neurons, but useful pan-excitatory marker alternative (LIBD-PEC)",8,Ex,NA,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC4060604/
ENSG00000151067,CACNA1C,2,"PC, SMC",NA,NA,NA,8,NA,NA,PGC-GWAS_Synapse,NA,NA
ENSG00000104327,CALB1,4,"L2.3.IT, Lamp5.Lhx6, Pvalb, Sst",In,NA,SST-interneuron,8,In,NA,NA,NA,https://www.science.org/doi/10.1126/sciadv.abn8367?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
ENSG00000172137,CALB2,2,"Sncg, Vip",In,NA,VIP-interneuron,8,In,NA,NA,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC3965839/
ENSG00000162545,CAMK2N1,1,L2.3.IT,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000092529,CAPN3,2,"Astro, Oligo",NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000077549,CAPZB,2,"Immune, Micro",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000164326,CARTPT,2,"L2.3.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000108349,CASC3,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000187094,CCK,2,"L2.3.IT, L6.IT",In,NA,VIP-interneuron,8,In,NA,NA,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC10183954/
ENSG00000118816,CCNI,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000169442,CD52,2,"Endo, Immune",Mic_immune,NA,annotated_Immune_in_10x_Probe_Panel; peripheral immune cells such B & T cells; not as enriched in microglia (LIBD-PEC),6,Immune,NA,NA,NA,10x_Probe_Panel; https://www.nature.com/articles/s41467-018-06224-y
ENSG00000143119,CD53,4,"Immune, L2.3.IT, L4.IT, Micro",Mic,NA,both immune and microglia,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000129226,CD68,2,"Immune, Micro",Mic_immune,NA,annotated_Immune_in_10x_Probe_Panel; could indicate phagocytic microglia,8,Immune,NA,NA,NA,10x_Probe_Panel; https://pmc.ncbi.nlm.nih.gov/articles/PMC6347230/
ENSG00000019582,CD74,5,"Endo, Immune, Micro, PC, SMC",Mic,NA,NA,8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000163001,CFAP36,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000133048,CHI3L1,4,"Astro, L4.IT, L5.IT, L6.IT",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000175264,CHST1,2,"Astro, L2.3.IT",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000013297,CLDN11,2,"Oligo, VLMC",Oligo,NA,Oligo-specific proteins,5,Oligo,Dx_DEG_Down,NA,NA,LIBD-PEC; https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2023.1344090/full
ENSG00000184113,CLDN5,3,"Endo, PC, SMC",Endo,Layer marker,canonical Endo marker,8,Endo,NA,NA,NA,LIBD-PEC
ENSG00000080822,CLDND1,1,Oligo,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000150656,CNDP1,2,"Endo, Oligo",Oligo,NA,NA,5,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC9606807/
ENSG00000117519,CNN3,3,"Astro, OPC, PC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000173786,CNP,1,Oligo,Oligo,Layer marker,NA,5,Oligo,NA,NA,NA,LIBD-PEC; https://rupress.org/jcb/article-abstract/170/4/661/51641/Process-outgrowth-in-oligodendrocytes-is-mediated?redirectedFrom=fulltext
ENSG00000093010,COMT,NA,NA,NA,NA,NA,8,NA,NA,Literature,NA,NA
ENSG00000241563,CORT,4,"Lamp5, Lamp5.Lhx6, Pvalb, Sst",In,NA,SST-interneuron,8,In,Dx_DEG_Down,NA,NA,https://www.mdpi.com/2218-273X/12/2/312
ENSG00000178741,COX5A,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000145708,CRHBP,3,"Oligo, Pvalb, Sst",In,NA,SST-interneuron; annoated_Sst Chodl_10x_probe_panel,8,In,NA,NA,NA,10x_Probe_Panel
ENSG00000103316,CRYM,6,"L2.3.IT, L4.IT, L5.6.NP, L5.IT, L6.CT, L6.IT",Ex,NA,"not really a canonical marker for excitatory neurons, but useful pan-excitatory marker alternative (LIBD-PEC); annoated_L5/6 NP_in_10x_probe_panel",8,Ex,NA,NA,NA,10x_Probe_Panel; LIBD-PEC
ENSG00000182578,CSF1R,3,"Immune, Micro, PC",Mic,NA,NA,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC7484341/
ENSG00000183117,CSMD1,1,OPC,NA,NA,NA,8,NA,NA,PGC-GWAS_Complement,NA,NA
ENSG00000134030,CTIF,1,Astro,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000111249,CUX2,3,"L2.3.IT, Pvalb, Sst",Ex,NA,"annoated_L5/6 NP_in_10x_probe_panel; But, internally, a marker for upper-layer (L2/3) excitatory neurons (Nat Neuro 2021)",8,Ex,NA,NA,NA,10x_Probe_Panel; LIBD-PEC
ENSG00000168329,CX3CR1,2,"Immune, Micro",Mic,NA,Important immune function; both immune and microglia,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC3600435/
ENSG00000145824,CXCL14,4,"Lamp5, Pax6, Sncg, Vip",NA,Layer marker,annotated_Immune_in_10x_Probe_Panel,8,NA,NA,NA,NA,10x_Probe_Panel
ENSG00000121966,CXCR4,3,"Astro, Immune, Micro",Mic_immune,NA,"Important immune function; both immune and microglia, not as enriched in microglia (LIBD-PEC)",8,Immune,NA,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0006899320304856
ENSG00000051523,CYBA,5,"Endo, Immune, Micro, PC, SMC",Mic,NA,microglial stress,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/30548312/
ENSG00000165168,CYBB,2,"Immune, Micro",Mic,NA,microglial stress,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/30548312/
ENSG00000036530,CYP46A1,NA,NA,Ex,Layer marker,"not really a canonical marker for excitatory neurons, but useful pan-excitatory marker alternative (LIBD-PEC)",8,NA,NA,NA,NA,LIBD_PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC8835717/#R7
ENSG00000276644,DACH1,4,"Endo, L6.IT.Car3, L6b, PC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000244274,DBNDD2,1,Oligo,NA,Layer marker,NA,5,NA,NA,NA,NA,NA
ENSG00000187323,DCC,2,"L4.IT, OPC",NA,NA,NA,8,NA,NA,PGC-GWAS_Synapse_dopamine_BDNF,NA,NA
ENSG00000168209,DDIT4,3,"Astro, Endo, PC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000177030,DEAF1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000165023,DIRAS2,2,"L6.CT, L6b",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000162946,DISC1,5,"Immune, Micro, OPC, PC, VLMC",NA,NA,NA,8,NA,NA,Literature,NA,NA
ENSG00000050165,DKK3,NA,NA,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000164176,EDIL3,2,"Oligo, OPC",NA,Layer marker,NA,4,NA,NA,NA,NA,NA
ENSG00000120738,EGR1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000179388,EGR3,3,"L2.3.IT, L4.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000156030,ELMSAN1,2,"Micro, Oligo",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000154582,ELOC,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000171617,ENC1,3,"L2.3.IT, L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000136960,ENPP2,1,Oligo,NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000116016,EPAS1,4,"Endo, OPC, PC, SMC",Endo,Layer marker,assiciated with endotheliual function,8,NA,NA,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/9000051/
ENSG00000178568,ERBB4,5,"Astro, Oligo, OPC, Pvalb, Vip",In,NA,PVALB-interneuron,4,NA,NA,Literature,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC2774835/
ENSG00000126860,EVI2A,3,"Endo, Micro, Oligo",NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000121769,FABP3,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000068078,FGFR3,3,"Astro, Endo, OPC",Ast,NA,NA,8,Ast,NA,NA,NA,LIBD_PEC; https://pubmed.ncbi.nlm.nih.gov/12441294/
ENSG00000118407,FILIP1,3,"L6.CT, L6b, SMC",Ex,NA,"annoated_L6 CT_in_10x_probe_panel; expressed in cortical excitatory neurons, especially in layer 6 (Nat Neuro 2021)",8,Ex,NA,NA,NA,10x_Probe_Panel
ENSG00000096060,FKBP5,5,"Astro, Immune, Micro, PC, VLMC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000102755,FLT1,3,"Endo, PC, SMC",Endo,NA,NA,8,Endo,NA,NA,NA,https://www.rndsystems.com/research-area/endothelial-cell-markers
ENSG00000183090,FREM3,1,L2.3.IT,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000075618,FSCN1,2,"Micro, Oligo",NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000053108,FSTL4,4,"L2.3.IT, L4.IT, L5.IT, L6.IT",Ex,NA,annoated_L4 IT_in_10x_probe_panel,8,Ex,NA,NA,NA,10x_Probe_Panel
ENSG00000140564,FURIN,NA,NA,NA,NA,NA,8,NA,NA,PGC-GWAS,NA,NA
ENSG00000136928,GABBR2,NA,NA,NA,NA,NA,8,NA,NA,Literature,NA,NA
ENSG00000244879,GABPB1-AS1,3,"Astro, Oligo, OPC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000128683,GAD1,5,"Lamp5.Lhx6, OPC, Pvalb, Sst, Vip",In,NA,GENERAL-interneuron; annoated_Pvalb_in_10x_probe_panel,8,In,NA,NA,NA,10x_Probe_Panel
ENSG00000136750,GAD2,5,"Lamp5, Lamp5.Lhx6, Pvalb, Sst, Vip",In,NA,GENERAL-interneuron; annoated_Lamp5_Lhx6_in_10x_probe_panel,8,In,NA,NA,NA,10x_Probe_Panel
ENSG00000130222,GADD45G,1,Endo,NA,NA,NA,5,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000100626,GALNT16,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000160221,GATD3A,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000280071,GATD3B,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000131095,GFAP,3,"Astro, Endo, Oligo",Ast,NA,Canonical AST marker,8,Ast,Dx_DEG_Up,NA,NA,LIBD_PEC
ENSG00000152661,GJA1,4,"Astro, Endo, PC, VLMC",Ast,NA,NA,8,Ast,NA,NA,NA,10x_Probe_Panel; https://pmc.ncbi.nlm.nih.gov/articles/PMC8437874/
ENSG00000169562,GJB1,1,Oligo,NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000141404,GNAL,NA,NA,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000171659,GPR34,2,"Immune, Micro",Mic,NA,microglial phagocystos,8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/25142016/
ENSG00000146360,GPR6,4,"L2.3.IT, L4.IT, L5.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000211445,GPX3,4,"Endo, L2.3.IT, PC, SMC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000183454,GRIN2A,NA,NA,Ex,NA,"not really a canonical marker for excitatory neurons, but useful pan-excitatory marker alternative (LIBD-PEC)",8,NA,NA,PGC-GWAS_Synapse,NA,LIBD_PEC
ENSG00000134201,GSTM5,3,"Astro, Endo, OPC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000206172,HBA1,2,"Endo, L6.IT",NA,Layer marker,NA,4,NA,NA,NA,NA,NA
ENSG00000164161,HHIP,1,Oligo,NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000124440,HIF3A,4,"Astro, Endo, OPC, PC",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000234745,HLA-B,5,"Endo, Immune, Micro, PC, SMC",Endo,Layer marker,immune functions,8,NA,NA,NA,NA,LIBD-PEC; https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0038149
ENSG00000231389,HLA-DPA1,4,"Endo, Immune, Micro, PC",Mic,NA,immune functions,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC4795482/
ENSG00000196126,HLA-DRB1,3,"Endo, Immune, Micro",Mic_immune,NA,immune functions,8,Immune,NA,NA,NA,LIBD-PEC; https://www.sciencedirect.com/science/article/pii/S0306452224006389
ENSG00000204592,HLA-E,6,"Astro, Endo, Immune, Micro, PC, SMC",Endo,Layer marker,immune functions,8,NA,NA,NA,NA,LIBD-PEC; https://pubmed.ncbi.nlm.nih.gov/17179229/
ENSG00000164104,HMGB2,1,Endo,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000096746,HNRNPH3,2,"Micro, Oligo",NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000115756,HPCAL1,2,"Endo, L6b",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000109971,HSPA8,1,Endo,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000147246,HTR2C,2,"L5.6.NP, Vip",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000142089,IFITM3,4,"Astro, Endo, PC, SMC",Mic_immune,NA,annotated_Immune_in_10x_Probe_Panel; enriched in endomural (LIBD-PEC),8,Immune,Dx_DEG_Up,NA,NA,10x_Probe_Panel; https://www.sciencedirect.com/science/article/pii/S0092867424001867
ENSG00000115461,IGFBP5,3,"Astro, SMC, VLMC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000167779,IGFBP6,5,"Endo, L2.3.IT, L5.IT, PC, SMC",NA,NA,NA,7,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000140749,IGSF6,1,Micro,Mic,NA,both immune and microglia,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC6557985/
ENSG00000185950,IRS2,1,Micro,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000129009,ISLR,5,"Endo, L6.IT, PC, SMC, VLMC",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000169896,ITGAM,2,"Immune, Micro",Mic,NA,immune functions (migration & adhesion),8,Mic,NA,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC7424058/
ENSG00000140678,ITGAX,1,Micro,Mic,NA,immune functions,8,Mic,Dx_DEG_Down,NA,NA,LIBD-PEC; https://actaneurocomms.biomedcentral.com/articles/10.1186/s40478-020-01099-x
ENSG00000160255,ITGB2,2,"Immune, Micro",Mic,NA,annotated_Immune_in_10x_Probe_Panel,8,NA,Dx_DEG_Down,NA,NA,10x_Probe_Panel
ENSG00000132470,ITGB4,2,"Astro, OPC",Ast,NA,NA,8,NA,Dx_DEG_Up,NA,NA,LIBD_PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC8437874/
ENSG00000078596,ITM2A,4,"Endo, Oligo, PC, SMC",Endo,NA,vascular endothelial growth,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://fluidsbarrierscns.biomedcentral.com/articles/10.1186/s12987-022-00321-3
ENSG00000214401,KANSL1-AS1,NA,NA,NA,NA,NA,1,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000135750,KCNK1,1,L2.3.IT,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000130294,KIF1A,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000155980,KIF5A,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000127528,KLF2,4,"Endo, Immune, PC, SMC",Endo,NA,NA,8,Endo,NA,NA,NA,LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC2211816/
ENSG00000167755,KLK6,2,"Astro, Oligo",NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000128422,KRT17,3,"L6.CT, L6.IT.Car3, L6b",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000125869,LAMP5,3,"L2.3.IT, Lamp5, Lamp5.Lhx6",In,Layer marker,LAMP5-interneuron; annoated_Lamp5_Lhx6_in_10x_probe_panel,8,In,NA,NA,NA,10x_Probe_Panel
ENSG00000162511,LAPTM5,2,"Immune, Micro",Mic,NA,both immune and microglia,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC; https://www.sciencedirect.com/science/article/pii/S2405844024127363
ENSG00000131023,LATS1,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000100097,LGALS1,3,"Endo, PC, SMC",NA,Layer marker,NA,6,NA,NA,NA,NA,NA
ENSG00000186818,LILRB4,2,"Immune, Micro",Mic,NA,microglial activation,8,NA,Dx_DEG_Down,NA,NA,"LIBD-PEC; https://pmc.ncbi.nlm.nih.gov/articles/PMC8698765/#:~:text=Overall%2C%20our%20data%20indicate%20that%20LILRB4%20is,Lilrb4%20upregulation%20during%20the%20microglia%20activation%20process."
ENSG00000251226,LINC02714,3,"L2.3.IT, L6.CT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000143013,LMO4,3,"L2.3.IT, L4.IT, L6.IT",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000139679,LPAR6,4,"Endo, Immune, Micro, PC",Mic,NA,both immune and microglia,8,NA,Dx_DEG_Down,NA,NA,LIBD-PEC
ENSG00000204482,LST1,3,"Endo, Immune, Micro",NA,NA,NA,5,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000112799,LY86,1,Micro,Mic,NA,annotated_Immune_in_10x_Probe_Panel,8,NA,Dx_DEG_Down,NA,NA,10x_Probe_Panel
ENSG00000088899,LZTS3,1,L2.3.IT,NA,NA,NA,8,NA,Dx_DEG_Up,NA,NA,NA
ENSG00000105695,MAG,3,"Astro, Micro, Oligo",Oligo,NA,annoated_Other_in_10x_probe_panel,5,Oligo,Dx_DEG_Down,NA,NA,10x_Probe_Panel
ENSG00000169032,MAP2K1,2,"L6.IT.Car3, Micro",NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000102882,MAPK3,1,Endo,NA,NA,NA,8,NA,Dx_DEG_Up,PGC-GWAS,NA,NA
ENSG00000197971,MBP,2,"Micro, Oligo",Oligo,Layer marker,"Oligo-specific proteins,  but RNAs enriched in many other cell types (LIBD-PEC)",3,Oligo,NA,NA,NA,"LIBD-PEC; https://www.biocompare.com/Editorial-Articles/590587-A-Guide-to-Oligodendrocyte-Markers/#:~:text=Oligodendrocyte%20Progenitor%20Cells%20(OPC)%20Markers&text=SOX10%2C%20NKX2.,key%20determinant%20of%20OPC%20fate."
ENSG00000134138,MEIS2,5,"Astro, L6.CT, L6b, Oligo, OPC",In,NA,LAMP5-interneuron; could be its own subtype (Ling et al),8,In,NA,NA,NA,https://www.nature.com/articles/s41586-024-07109-5
ENSG00000152595,MEPE,1,Pvalb,NA,Layer marker,NA,8,NA,NA,NA,NA,NA
ENSG00000168314,MOBP,1,Oligo,Oligo,Layer marker,annoated_Oligodendrocyte_in_10x_probe_panel,4,Oligo,NA,NA,NA,10x_Probe_Panel
ENSG00000204655,MOG,3,"Endo, Oligo, OPC",Oligo,NA,annoated_Oligodendrocyte_in_10x_probe_panel,5,Oligo,NA,NA,NA,10x_Probe_Panel
ENSG00000108826,MRPL27,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000173141,MRPL57,NA,NA,NA,NA,NA,8,NA,Dx_DEG_Down,NA,NA,NA
ENSG00000228253,MT-ATP8,NA,NA,NA,Layer marker,NA,3,NA,NA,NA,NA,NA
ENSG00000198888,MT-ND1,NA,NA,NA,Layer marker,NA,4,NA,NA,NA,NA,NA
ENSG00000198763,MT-ND2,NA,NA,NA,Layer marker,NA,4,NA,NA,NA,NA,NA
ENSG00000198886,MT-ND4,NA,NA,NA,Layer marker,NA,4,NA,NA,NA,NA,NA
