Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000120948,TARDBP,138,0.84176,99,0.37083,57,-0.6044,84,0.04858,68,-0.2830,57,-0.6001
ENSG00000271895,AL109811.2,17,-0.2081,7,-1.5543,3,-2.5364,37,1.45302,42,1.29239,15,-0.3886
ENSG00000116649,SRM,54,-0.3222,89,0.59940,62,-0.1075,74,0.21856,33,-1.0450,47,-0.5741
ENSG00000171824,EXOSC10,34,-0.1645,43,0.23600,23,-0.7967,52,0.66462,40,0.10233,24,-0.7665
ENSG00000198793,MTOR,21,-0.9909,43,0.13979,46,0.26300,49,0.39068,33,-0.2840,29,-0.5453
ENSG00000116661,FBXO2,110,-0.8482,304,0.97700,239,0.39224,146,-0.5033,96,-1.0531,133,-0.6152
ENSG00000132879,FBXO44,26,-1.8958,60,-0.7302,87,-0.0686,148,1.04646,103,0.20911,79,-0.2282
ENSG00000116670,MAD2L2,18,0.05489,27,0.86827,10,-0.9259,17,-0.0730,7,-1.3649,18,-0.0125
ENSG00000177000,MTHFR,25,0.33375,8,-1.6025,13,-0.7275,33,0.99923,28,0.51116,21,0.09438
ENSG00000011021,CLCN6,51,-0.5915,53,-0.6513,92,0.33939,81,0.13780,118,0.71298,76,0.01441
ENSG00000116685,KIAA2013,44,0.50598,36,0.24863,22,-0.6122,39,0.38241,34,0.12513,18,-0.9607
ENSG00000083444,PLOD1,22,-0.0124,31,0.65657,11,-1.0887,25,0.17672,32,0.55194,13,-0.9191
ENSG00000116688,MFN2,104,-0.2846,99,-0.4296,173,0.57667,138,0.18997,89,-0.5274,126,0.00959
ENSG00000116691,MIIP,20,0.28880,25,0.79259,15,-0.2446,12,-0.6384,11,-0.5882,16,-0.1116
ENSG00000048707,VPS13D,55,-0.3514,65,-0.1327,66,-0.0861,61,-0.2393,121,0.89646,74,0.10341
ENSG00000162496,DHRS3,18,-0.2931,41,1.45960,15,-0.5810,9,-1.4196,8,-1.3778,24,0.23112
ENSG00000116731,PRDM2,190,0.20650,67,-1.5750,103,-0.8005,252,0.86846,261,0.72392,192,0.25386
ENSG00000189337,KAZN,127,1.11063,65,0.01622,59,-0.1529,38,-0.9314,75,0.24981,71,0.18273
ENSG00000142634,EFHD2,63,-0.7581,64,-0.8334,74,-0.5537,175,1.15843,75,-0.4800,113,0.17002
ENSG00000116138,DNAJC16,30,-0.3605,29,-0.5127,29,-0.4445,51,0.55944,42,0.14869,45,0.28006
ENSG00000197312,DDI2,25,-0.3383,16,-1.1889,33,0.10160,41,0.55607,71,1.35281,21,-0.6746
ENSG00000116786,PLEKHM2,73,-0.5219,107,0.08196,116,0.22334,74,-0.6035,48,-1.1647,167,0.89783
ENSG00000065526,SPEN,264,1.74861,61,-0.7687,31,-1.7785,88,-0.1278,208,1.31227,73,-0.4289
ENSG00000116809,ZBTB17,23,0.21491,21,0.10417,29,0.67278,18,-0.1534,15,-0.4505,13,-0.7533
ENSG00000037637,FBXO42,12,-0.8696,12,-0.9880,28,0.45221,28,0.48378,33,0.65570,20,-0.1728
ENSG00000055070,SZRD1,47,0.81764,35,0.45738,21,-0.4782,25,-0.1896,19,-0.5766,23,-0.3120
ENSG00000219481,NBPF1,33,1.09662,24,0.68317,9,-1.0180,8,-1.2011,17,-0.0146,19,0.22570
ENSG00000159363,ATP13A2,38,-1.7040,83,-0.6510,190,0.86131,107,-0.1932,152,0.39175,142,0.31243
ENSG00000117118,SDHB,43,-0.7592,74,0.08743,128,1.12157,57,-0.3729,52,-0.4717,50,-0.5793
ENSG00000117115,PADI2,295,2.62255,110,1.00805,4,-4.1466,26,-1.6163,23,-1.6275,41,-0.8172
ENSG00000179051,RCC2,12,-0.9686,15,-0.7907,43,1.12961,20,-0.2690,33,0.55374,22,-0.1220
ENSG00000074964,ARHGEF10L,7,-1.2910,29,1.14577,22,0.46034,8,-1.1922,11,-0.6395,14,-0.2794
ENSG00000117154,IGSF21,27,-1.6957,66,-0.3929,81,-0.0133,142,1.19239,41,-1.0676,64,-0.4090
ENSG00000159423,ALDH4A1,32,0.74749,40,1.55528,11,-0.9818,10,-1.1785,10,-1.0157,13,-0.7034
ENSG00000127481,UBR4,45,0.69440,22,-0.5136,15,-1.0931,28,-0.0849,86,1.83927,19,-0.6625
ENSG00000127463,EMC1,46,0.37140,33,-0.2028,39,0.12150,48,0.55611,26,-0.5128,22,-0.8051
ENSG00000053372,MRTO4,29,-0.3587,31,-0.2779,33,-0.1341,49,0.61346,35,-0.0476,32,-0.2329
ENSG00000053371,AKR7A2,39,0.16835,68,1.47028,26,-0.5063,25,-0.5909,7,-2.3322,22,-0.7723
ENSG00000077549,CAPZB,98,-0.8093,157,-0.1185,225,0.53803,198,0.33802,150,-0.1624,119,-0.5640
ENSG00000173436,MICOS10,174,-0.6598,313,0.31523,455,0.98993,188,-0.6380,93,-1.5906,260,-0.0443
ENSG00000158747,NBL1,63,-1.1288,124,-0.1098,133,0.02345,158,0.36765,109,-0.2935,146,0.18615
ENSG00000169914,OTUD3,7,-1.5466,21,-0.0326,14,-0.6491,25,0.30444,37,0.92275,22,0.05792
ENSG00000162545,CAMK2N1,625,-1.2883,1930,0.57637,1035,-0.5704,1762,0.38402,663,-1.2018,1502,0.05733
ENSG00000090432,MUL1,26,0.47950,16,-0.2743,20,0.05563,22,0.22545,18,-0.1308,16,-0.2700
ENSG00000183114,FAM43B,16,-0.2676,25,0.56306,13,-0.5803,22,0.34657,15,-0.3623,13,-0.5784
ENSG00000158828,PINK1,179,-1.2689,372,-0.1874,665,0.88434,418,0.03269,248,-0.7759,401,-0.0396
ENSG00000244038,DDOST,18,-0.6533,30,0.14137,35,0.39032,33,0.32340,16,-0.8717,21,-0.4568
ENSG00000117245,KIF17,3,-2.4709,7,-1.6194,25,0.56747,31,1.18901,5,-1.9351,22,0.34292
ENSG00000189410,SH2D5,1,-4.8738,12,-1.4784,42,0.60861,51,1.12615,31,0.04479,27,-0.1864
ENSG00000127483,HP1BP3,418,0.95435,153,-0.7520,182,-0.4096,281,0.37941,288,0.34204,207,-0.1991
ENSG00000075151,EIF4G3,221,0.11124,149,-0.5975,174,-0.2872,283,0.64973,301,0.60828,153,-0.4967
ENSG00000117298,ECE1,24,0.36497,30,0.94232,6,-1.7990,9,-1.2071,26,0.48657,24,0.42139
ENSG00000162551,ALPL,10,-0.8020,31,1.19350,7,-1.3871,9,-1.2205,18,-0.0177,26,0.65337
ENSG00000076864,RAP1GAP,50,-1.5785,88,-0.8360,118,-0.2951,244,1.18819,133,-0.0844,137,-0.0456
ENSG00000090686,USP48,131,1.12156,34,-1.1469,45,-0.6543,79,0.34788,152,1.37513,41,-0.8067
ENSG00000070831,CDC42,240,0.13690,171,-0.4651,268,0.34364,282,0.49862,190,-0.2345,159,-0.5483
ENSG00000173369,C1QB,6,-1.7001,48,2.09880,16,-0.4069,12,-0.8918,3,-2.4903,10,-1.0991
ENSG00000004487,KDM1A,35,-0.4789,38,-0.4181,59,0.37978,60,0.47788,65,0.48979,29,-0.8105
ENSG00000169641,LUZP1,41,-1.6635,55,-1.4221,162,0.46566,141,0.24215,304,1.48628,119,-0.0779
ENSG00000125944,HNRNPR,174,0.50151,111,-0.2544,110,-0.2493,176,0.66441,77,-0.7639,97,-0.4585
ENSG00000088280,ASAP3,29,0.67100,38,1.59326,13,-0.5885,11,-0.8814,11,-0.7658,5,-1.9030
ENSG00000117318,ID3,70,1.43294,74,2.32213,2,-3.7413,6,-2.4711,7,-2.1260,15,-1.0870
ENSG00000142676,RPL11,719,0.77066,672,0.85489,427,-0.0775,280,-0.8392,104,-2.1879,411,-0.1394
ENSG00000011007,ELOA,54,1.13535,28,0.07681,11,-1.4323,31,0.28124,24,-0.1683,23,-0.2815
ENSG00000057757,PITHD1,71,-1.0908,104,-0.6006,257,1.06488,159,0.18353,92,-0.6991,136,-0.1109
ENSG00000011009,LYPLA2,9,-1.5508,20,-0.4349,24,-0.0847,32,0.43961,24,-0.0813,34,0.52091
ENSG00000117308,GALE,9,-0.8015,13,-0.3184,25,0.82591,16,0.01276,15,-0.1178,14,-0.1941
ENSG00000117305,HMGCL,12,-0.3885,19,0.36766,21,0.47813,15,-0.1084,3,-2.3903,16,-0.0360
ENSG00000189266,PNRC2,89,0.61659,65,0.11846,48,-0.3906,71,0.30253,26,-1.2728,55,-0.1581
ENSG00000188529,SRSF10,102,0.52365,76,0.08303,51,-0.5957,86,0.31246,89,0.31295,49,-0.6597
ENSG00000001461,NIPAL3,259,1.41095,86,-0.4707,79,-0.5702,132,0.35223,92,-0.2779,82,-0.4923
ENSG00000133226,SRRM1,396,1.71697,89,-0.8498,74,-1.0741,142,-0.0121,283,1.11336,98,-0.6320
ENSG00000169504,CLIC4,228,2.07137,147,1.77608,7,-3.4240,28,-1.5363,12,-2.5661,22,-1.8091
ENSG00000117614,SYF2,147,0.68336,115,0.35337,78,-0.3412,85,-0.2189,93,-0.0550,77,-0.3640
ENSG00000117616,RSRP1,85,-0.0904,75,-0.3539,38,-1.3839,158,1.21277,144,0.74459,41,-1.2973
ENSG00000183726,TMEM50A,77,-0.0219,88,0.22751,70,-0.1800,110,0.69970,22,-1.8797,52,-0.6693
ENSG00000204178,MACO1,53,0.09324,32,-0.8288,35,-0.5947,81,1.00281,74,0.61016,34,-0.6318
ENSG00000117643,MAN1C1,26,-0.8632,53,0.27186,49,0.10023,57,0.43284,53,0.22005,23,-1.1472
ENSG00000162430,SELENON,40,0.18859,65,1.28574,16,-1.3346,25,-0.6361,23,-0.6466,33,-0.1487
ENSG00000117640,MTFR1L,31,-0.9015,49,-0.2682,63,0.19224,70,0.40717,74,0.41166,46,-0.3406
ENSG00000117632,STMN1,819,-0.4371,606,-1.0375,1668,0.78544,1540,0.72352,754,-0.5638,833,-0.4451
ENSG00000158008,EXTL1,7,-2.6384,31,-0.6546,29,-0.6817,67,0.84571,46,0.05386,64,0.65217
ENSG00000175087,PDIK1L,6,-1.2330,3,-2.3221,14,-0.0925,19,0.55272,32,1.26212,21,0.61851
ENSG00000142684,ZNF593,26,-0.2888,36,0.24287,49,0.78086,24,-0.5235,32,0.03024,22,-0.5670
ENSG00000142669,SH3BGRL3,165,-0.1139,190,0.13352,228,0.44131,171,-0.0725,107,-0.7743,160,-0.1802
ENSG00000158062,UBXN11,5,-2.0066,16,-0.3615,14,-0.5099,28,0.78820,16,-0.2929,25,0.44768
ENSG00000117682,DHDDS,11,-1.0005,20,-0.0625,23,0.13945,28,0.57843,21,-0.0272,15,-0.5549
ENSG00000198830,HMGN2,280,0.94612,232,0.82218,112,-0.5676,137,-0.2503,70,-1.2192,98,-0.7731
ENSG00000117713,ARID1A,122,0.93282,67,-0.0321,43,-0.7541,68,-0.0188,96,0.53685,56,-0.3433
ENSG00000204160,ZDHHC18,12,-0.8504,18,-0.3477,20,-0.1052,29,0.59177,31,0.58546,17,-0.3797
ENSG00000142751,GPN2,23,0.25784,15,-0.4221,16,-0.3264,27,0.64341,17,-0.2242,17,-0.1738
ENSG00000090273,NUDC,126,-0.5740,172,-0.1094,296,0.88334,190,0.08167,100,-0.9264,143,-0.4144
ENSG00000253368,TRNP1,8,-2.4095,27,-0.7970,90,1.48761,24,-0.9402,50,0.28174,54,0.45674
ENSG00000090020,SLC9A1,6,-1.9435,9,-1.5901,30,0.37826,27,0.21108,37,0.71655,38,0.83175
ENSG00000142784,WDTC1,28,-0.0001,23,-0.3346,36,0.47871,24,-0.2577,30,0.14251,30,0.13866
ENSG00000186501,TMEM222,46,-0.0620,40,-0.3267,34,-0.5746,59,0.41642,52,0.15291,55,0.24714
ENSG00000158195,WASF2,148,2.37824,47,0.41745,11,-1.9178,17,-1.3871,45,0.26843,25,-0.7089
ENSG00000126705,AHDC1,53,0.09544,34,-0.6911,28,-0.9599,72,0.75318,86,0.87874,43,-0.2476
ENSG00000126709,IFI6,118,-0.0041,116,-0.0425,147,0.38180,105,-0.2267,122,0.05486,112,-0.0955
ENSG00000009780,FAM76A,37,0.62783,13,-1.0935,17,-0.6613,46,1.30955,15,-0.7956,19,-0.4556
ENSG00000117758,STX12,120,0.11636,117,0.08643,140,0.39745,115,0.05587,105,-0.0946,70,-0.7758
ENSG00000117751,PPP1R8,47,0.73409,31,0.10861,18,-0.7794,44,0.84717,17,-0.8221,13,-1.2790
ENSG00000117748,RPA2,24,-0.7997,44,0.19253,48,0.30738,48,0.37113,22,-0.8748,30,-0.4507
ENSG00000126698,DNAJC8,229,0.36828,168,-0.1438,181,-0.0038,187,0.06341,200,0.15449,160,-0.2184
ENSG00000130770,ATP5IF1,141,-1.3032,303,-0.1669,686,1.39570,317,-0.0862,146,-1.2483,228,-0.6230
ENSG00000204138,PHACTR4,78,2.26672,14,-0.7138,5,-2.1118,18,-0.2447,30,0.53960,18,-0.2232
ENSG00000180098,TRNAU1AP,31,0.45383,21,-0.2152,25,0.09606,27,0.28412,26,0.17519,15,-0.7199
ENSG00000120656,TAF12,13,-0.3574,21,0.51073,18,0.23429,15,-0.0537,18,0.14810,8,-1.0753
ENSG00000198492,YTHDF2,60,-0.3838,64,-0.3357,102,0.49628,85,0.20087,93,0.30011,59,-0.4433
ENSG00000159023,EPB41,4,-2.2759,22,0.11886,17,-0.2696,16,-0.4185,72,2.14162,11,-1.0585
ENSG00000116350,SRSF4,143,1.05442,59,-0.4334,56,-0.4764,76,0.02912,104,0.52224,66,-0.2004
ENSG00000116353,MECR,13,-1.1034,16,-0.9068,41,0.74203,28,0.08581,19,-0.5729,39,0.65016
ENSG00000060656,PTPRU,15,-0.2239,13,-0.4989,5,-1.9575,32,1.26480,14,-0.3633,19,0.10684
ENSG00000162511,LAPTM5,1,-4.1578,62,2.23316,13,-1.0983,15,-0.9480,8,-1.5856,18,-0.5212
ENSG00000162512,SDC3,89,-0.0556,133,0.75858,59,-0.7420,98,0.11754,72,-0.3844,67,-0.5324
ENSG00000134644,PUM1,149,-0.0725,109,-0.6575,90,-0.9127,210,0.60369,222,0.56539,183,0.27770
ENSG00000121766,ZCCHC17,123,0.13883,95,-0.3171,107,-0.0953,153,0.62600,107,-0.0797,82,-0.5340
ENSG00000121769,FABP3,18,-1.9562,29,-1.4157,150,1.58570,70,0.10718,58,-0.2059,61,-0.1393
ENSG00000162517,PEF1,39,-0.9307,45,-0.8085,109,0.76875,91,0.49021,63,-0.1766,63,-0.2137
ENSG00000084636,COL16A1,79,1.40951,20,-0.9196,18,-0.9760,44,0.51032,33,-0.0186,32,-0.0801
ENSG00000121753,ADGRB2,60,-1.8162,147,-0.5524,197,-0.0123,334,1.11775,158,-0.3534,165,-0.3211
ENSG00000184007,PTP4A2,856,2.38155,166,-0.5349,143,-0.7230,155,-0.6535,127,-0.8544,214,-0.0626
ENSG00000121774,KHDRBS1,140,0.07226,157,0.32412,124,-0.1325,158,0.33681,90,-0.6094,89,-0.6719
ENSG00000121775,TMEM39B,6,-1.2695,2,-2.7379,11,-0.5235,25,1.10058,20,0.40297,25,0.88542
ENSG00000025800,KPNA6,70,-0.1533,68,-0.2478,81,0.08216,87,0.22816,88,0.20848,72,-0.1285
ENSG00000084652,TXLNA,26,-0.1127,36,0.45582,20,-0.5568,27,-0.0764,37,0.42399,24,-0.2957
ENSG00000160050,CCDC28B,11,-0.9126,37,1.35705,15,-0.5174,15,-0.5186,17,-0.2302,13,-0.6934
ENSG00000084623,EIF3I,62,-0.7735,127,0.41225,135,0.48648,105,0.03288,104,0.01366,52,-1.1065
ENSG00000175130,MARCKSL1,789,2.52936,267,0.69376,77,-1.4573,87,-1.3705,62,-1.7051,110,-0.9082
ENSG00000160058,BSDC1,57,0.03823,52,-0.1352,30,-1.0151,74,0.57034,67,0.29959,54,-0.0701
ENSG00000160062,ZBTB8A,35,1.18498,9,-1.1362,9,-0.9760,26,0.90271,20,0.27606,12,-0.5300
ENSG00000176261,ZBTB8OS,20,-0.8720,41,0.32594,38,0.13469,37,0.09338,17,-1.0427,36,0.06835
ENSG00000162521,RBBP4,125,0.26228,114,0.14718,88,-0.3151,123,0.29443,112,0.08492,73,-0.6155
ENSG00000162522,KIAA1522,0,-5.7692,17,-0.2121,20,0.10967,25,0.60624,25,0.44309,17,-0.1718
ENSG00000134684,YARS,43,-1.3233,83,-0.3869,175,0.98515,111,0.14992,56,-0.9258,100,-0.0432
ENSG00000116497,S100PBP,26,0.58700,27,0.80350,7,-1.4210,16,-0.2405,31,0.84102,9,-1.1542
ENSG00000160097,FNDC5,2,-3.8296,9,-1.9370,61,1.35452,23,-0.4842,75,1.52574,32,0.08792
ENSG00000121905,HPCA,18,-3.4097,142,-0.4775,211,0.23263,321,1.20528,46,-2.0773,169,-0.1534
ENSG00000121900,TMEM54,25,-0.5804,45,0.38475,46,0.40793,18,-1.1897,12,-1.6601,61,0.91818
ENSG00000004455,AK2,63,0.81292,69,1.28320,25,-0.7095,21,-1.0797,38,0.01511,19,-1.1052
ENSG00000142920,AZIN2,11,-1.0609,22,0.00119,26,0.26142,28,0.49268,14,-0.6587,19,-0.2851
ENSG00000160094,ZNF362,11,-0.9030,26,0.48719,21,0.04024,20,-0.0739,23,0.20851,16,-0.4328
ENSG00000134686,PHC2,80,0.55470,55,-0.0387,47,-0.3182,61,0.14391,40,-0.5509,58,0.04829
ENSG00000163866,SMIM12,31,-0.9262,63,0.23282,62,0.15466,52,-0.1613,60,0.10618,58,0.05510
ENSG00000116544,DLGAP3,10,-2.3364,58,0.36722,36,-0.4645,55,0.27164,43,-0.1631,56,0.25820
ENSG00000163867,ZMYM6,15,-0.5963,20,-0.2519,18,-0.4022,27,0.35398,41,0.95263,20,-0.2406
ENSG00000116560,SFPQ,368,0.87834,165,-0.4829,129,-0.8430,258,0.37521,404,1.03611,134,-0.7703
ENSG00000146463,ZMYM4,52,-0.0509,44,-0.3898,46,-0.2686,66,0.39025,44,-0.3210,66,0.34220
ENSG00000142687,KIAA0319L,52,-0.3623,71,0.16036,70,0.13112,64,-0.0236,98,0.64412,43,-0.6720
ENSG00000020129,NCDN,65,-2.7788,220,-1.1331,519,0.38364,780,1.39066,284,-0.5947,313,-0.4866
ENSG00000126067,PSMB2,93,-0.0283,87,-0.1558,92,-0.0535,133,0.70793,61,-0.6776,68,-0.5529
ENSG00000142686,C1orf216,31,-1.5042,42,-1.2493,134,0.82591,130,0.89433,65,-0.4117,70,-0.3245
ENSG00000134698,AGO4,26,0.56068,16,-0.2514,16,-0.2070,15,-0.3723,33,0.94104,18,-0.0494
