Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000248333,CDK11B,116,1.10207,14,-2.1523,62,0.04427,91,0.68105,48,-0.3383,59,-0.0308,31,-1.1060,74,0.38486
ENSG00000008128,CDK11A,116,2.34694,6,-2.4536,42,0.46785,29,-0.1139,11,-1.5944,11,-1.5672,15,-1.1893,35,0.19285
ENSG00000215790,SLC35E2A,116,1.94863,30,-0.3916,17,-1.2485,13,-1.6332,50,0.43818,34,-0.1889,39,0.01246,23,-0.8547
ENSG00000008130,NADK,116,2.26029,26,-0.3718,19,-0.8380,17,-1.0358,22,-0.6570,24,-0.4692,27,-0.3511,26,-0.3964
ENSG00000078369,GNB1,116,-1.8570,361,-0.1249,202,-1.0251,219,-0.9037,730,1.05013,541,0.53296,491,0.42730,376,-0.0658
ENSG00000187730,GABRD,116,-0.2747,75,-0.9381,4,-5.0272,2,-5.6872,140,0.02553,40,-1.8944,313,1.73166,187,0.57431
ENSG00000067606,PRKCZ,116,-0.7444,293,0.74334,87,-1.1700,82,-1.2621,318,0.88592,105,-0.8910,225,0.34621,207,0.18741
ENSG00000162585,FAAP20,116,1.67870,22,-1.0801,32,-0.4936,55,0.35246,62,0.55598,42,-0.0853,27,-0.8056,28,-0.7428
ENSG00000157933,SKI,116,1.67042,34,-0.4205,41,-0.1070,47,0.09720,40,-0.1409,39,-0.1996,22,-1.1484,40,-0.1757
ENSG00000157916,RER1,116,1.08972,93,0.71809,56,-0.1191,51,-0.2601,51,-0.2783,55,-0.1456,65,0.14256,25,-1.4278
ENSG00000157911,PEX10,116,2.39421,32,0.05599,19,-0.7328,43,0.54313,25,-0.3081,28,-0.1631,21,-0.6730,2,-3.8071
ENSG00000157870,PRXL2B,116,1.95054,3,-3.5264,10,-2.0005,15,-1.4451,41,0.12718,19,-1.0753,58,0.80282,31,-0.3731
ENSG00000158109,TPRG1L,116,-0.5845,145,-0.2364,42,-2.0913,50,-1.8461,259,0.71485,131,-0.3960,267,0.89689,202,0.33459
ENSG00000130764,LRRC47,116,0.63058,84,0.10075,62,-0.3738,30,-1.4681,77,-0.0412,54,-0.5843,114,0.70875,68,-0.2605
ENSG00000116198,CEP104,116,1.19053,58,0.02370,112,1.12929,93,0.80062,19,-1.6938,49,-0.2243,20,-1.7013,42,-0.5356
ENSG00000196581,AJAP1,116,1.48506,57,0.27135,24,-1.0480,21,-1.2866,19,-1.4545,29,-0.8037,49,0.03164,60,0.39664
ENSG00000069424,KCNAB2,116,-0.2367,103,-0.4263,11,-3.6916,14,-3.3939,225,0.85025,128,-0.0748,237,1.12409,137,0.03092
ENSG00000116254,CHD5,116,-0.9166,178,-0.2494,17,-3.7591,42,-2.4166,232,0.16825,110,-0.9976,207,-0.0176,490,1.81888
ENSG00000116251,RPL22,116,-2.4251,492,-0.2417,644,0.18740,1202,1.25524,995,0.91798,680,0.27651,394,-0.6480,407,-0.5930
ENSG00000116237,ICMT,116,1.69765,50,0.21634,19,-1.2954,16,-1.5148,45,0.05634,29,-0.6306,49,0.23897,31,-0.5992
ENSG00000097021,ACOT7,116,-0.5737,167,0.00188,33,-2.4397,36,-2.3332,126,-0.4452,99,-0.8084,352,1.54377,194,0.27359
ENSG00000162408,NOL9,116,1.94448,40,0.07027,25,-0.6518,8,-2.2991,35,-0.1504,29,-0.4352,35,-0.1411,30,-0.4344
ENSG00000162413,KLHL21,116,1.96847,69,0.98542,36,-0.0722,20,-1.0106,22,-0.8114,10,-2.0122,30,-0.4034,23,-0.8278
ENSG00000116273,PHF13,116,2.67172,38,0.53171,14,-1.0400,2,-3.7432,18,-0.6867,12,-1.2461,19,-0.6548,19,-0.6040
ENSG00000041988,THAP3,116,2.84704,20,-0.3910,18,-0.5737,3,-2.9507,17,-0.6254,26,2.98110,25,-0.0740,4,-2.7908
ENSG00000007923,DNAJC11,116,1.84173,33,-0.2920,22,-0.9256,17,-1.3307,22,-0.9130,30,-0.4858,39,-0.0696,43,0.11262
ENSG00000171735,CAMTA1,116,-1.7682,241,-0.6618,179,-1.1149,122,-1.6904,356,-0.0522,287,-0.3926,481,0.50476,706,1.31850
ENSG00000049245,VAMP3,116,0.93224,117,0.95791,141,1.28932,170,1.63848,17,-2.0399,54,-0.3107,13,-2.5897,9,-3.0880
ENSG00000049246,PER3,116,1.23791,54,-0.0328,102,1.01486,42,-0.4532,47,-0.2733,52,-0.0895,28,-1.1420,43,-0.4415
ENSG00000116288,PARK7,116,-1.0336,213,-0.0928,154,-0.6000,168,-0.4642,313,0.53905,281,0.35682,334,0.74975,171,-0.4822
ENSG00000116285,ERRFI1,116,2.59481,13,-1.2290,20,-0.5648,21,-0.4986,12,-1.2882,10,-1.6221,32,0.22814,15,-1.0842
ENSG00000162426,SLC45A1,116,2.50388,7,-2.1638,7,-2.2045,8,-2.0134,20,-0.6247,5,-2.6474,43,0.70686,24,-0.3450
ENSG00000142599,RERE,116,-0.2604,107,-0.3853,190,0.54177,121,-0.1965,117,-0.2393,171,0.36269,106,-0.4402,166,0.35651
ENSG00000074800,ENO1,116,-1.8184,411,0.12689,218,-0.8685,352,-0.1248,390,0.04230,841,1.35234,484,0.44934,253,-0.7013
ENSG00000171612,SLC25A33,116,2.11570,5,-2.9274,17,-1.1237,25,-0.5361,32,-0.1657,92,1.65159,21,-0.8681,12,-1.6979
ENSG00000171603,CLSTN1,116,-2.3288,624,0.24185,135,-2.1071,172,-1.7457,431,-0.3461,383,-0.5315,1062,1.38671,693,0.47567
ENSG00000178585,CTNNBIP1,116,2.03586,43,0.26790,27,-0.4877,22,-0.8007,42,0.22198,26,-0.5331,26,-0.5935,19,-1.0543
ENSG00000162441,LZIC,116,0.68476,101,0.44832,133,0.92544,118,0.71641,50,-0.6663,51,-0.6216,48,-0.8047,49,-0.7400
ENSG00000162444,RBP7,116,1.98143,116,1.99009,71,1.04866,51,0.49250,3,-3.5354,18,-1.1351,0,-7.8308,1,-4.9552
ENSG00000130939,UBE4B,116,1.21631,56,-0.0069,65,0.22614,28,-1.0697,53,-0.0846,30,-0.9578,60,0.12479,47,-0.3205
ENSG00000054523,KIF1B,116,-2.1562,540,0.19849,722,0.68014,567,0.27818,424,-0.1904,409,-0.2482,379,-0.4045,620,0.48791
ENSG00000142657,PGD,116,1.04651,53,-0.2416,48,-0.3864,43,-0.5604,53,-0.2473,26,-1.3289,96,0.84483,43,-0.6046
ENSG00000241563,CORT,116,1.63338,6,-2.8324,11,-2.0610,6,-3.0463,204,2.88745,0,-8.3663,43,-0.0896,10,-2.3321
ENSG00000160049,DFFA,116,0.85904,75,0.14252,110,0.76568,78,0.20608,50,-0.5128,83,0.30364,42,-0.8562,47,-0.6633
ENSG00000142655,PEX14,116,2.81730,16,-0.7151,10,-1.4125,8,-1.6621,6,-2.1174,8,-1.6732,27,0.05293,21,-0.4045
ENSG00000120948,TARDBP,116,0.42315,151,0.87340,118,0.45762,56,-0.7190,56,-0.7124,71,-0.3570,80,-0.2017,82,-0.1517
ENSG00000116649,SRM,116,1.59061,41,-0.1685,24,-0.9839,27,-0.8060,46,0.00433,54,0.26151,45,-0.0531,31,-0.6874
ENSG00000171824,EXOSC10,116,1.90233,26,-0.6186,61,0.71817,12,-1.7135,19,-1.1377,15,-1.4901,33,-0.2711,38,-0.0545
ENSG00000198793,MTOR,116,1.70713,39,-0.1639,25,-0.8377,11,-1.9960,30,-0.5850,46,0.10740,52,0.34426,30,-0.6051
ENSG00000120942,UBIAD1,116,2.90953,10,-1.4348,35,0.52893,27,0.13471,5,-2.3983,13,-1.0465,6,-2.1680,17,-0.6889
ENSG00000116661,FBXO2,116,-0.2633,79,-0.8608,47,-1.6465,154,0.18946,157,0.21853,298,1.32231,177,0.47866,82,-0.8661
ENSG00000132879,FBXO44,116,0.62108,132,0.84757,14,-2.5831,20,-2.0670,62,-0.3878,44,-0.9033,116,0.72662,86,0.14365
ENSG00000177000,MTHFR,116,2.13412,34,-0.0489,28,-0.3704,21,-0.8019,4,-3.0376,24,-0.5721,22,-0.7913,40,0.23226
ENSG00000011021,CLCN6,116,0.73882,107,0.61185,42,-0.8640,30,-1.3683,91,0.34529,25,-1.6388,92,0.41092,71,-0.0730
ENSG00000116685,KIAA2013,116,1.38648,113,1.33713,58,0.21291,39,-0.4399,16,-1.7856,33,-0.6649,41,-0.3872,28,-1.0350
ENSG00000083444,PLOD1,116,2.48676,48,0.77940,21,-0.5271,27,-0.1277,12,-1.4274,14,-1.1855,14,-1.1919,16,-1.0568
ENSG00000116688,MFN2,116,0.16190,104,-0.0128,64,-0.7589,75,-0.5243,77,-0.4802,87,-0.2874,148,0.64783,114,0.15917
ENSG00000116691,MIIP,116,2.66944,2,-3.8323,12,-1.2751,26,-0.1007,18,-0.6514,35,0.37388,12,-1.3690,22,-0.3903
ENSG00000048707,VPS13D,116,0.63112,70,-0.1956,59,-0.4529,40,-1.0553,63,-0.3453,47,-0.8001,83,0.09499,113,0.69249
ENSG00000162496,DHRS3,116,2.25735,30,-0.1601,22,-0.6515,44,0.46173,24,-0.5143,57,0.89611,10,-1.9386,9,-1.9926
ENSG00000116731,PRDM2,116,-1.0618,214,-0.1118,161,-0.5577,150,-0.6651,229,-0.0076,223,-0.0495,197,-0.2661,404,1.11945
ENSG00000189337,KAZN,116,0.42352,71,-0.3673,129,0.59821,111,0.35190,68,-0.4196,39,-1.2621,88,-0.0277,91,0.04390
ENSG00000142634,EFHD2,116,0.37521,206,1.37181,11,-3.1778,19,-2.3655,111,0.30757,28,-1.8062,91,-0.0099,123,0.54222
ENSG00000116138,DNAJC16,116,1.63294,7,-2.6699,36,-0.3644,32,-0.5298,27,-0.8061,28,-0.7425,64,0.67182,38,-0.2999
ENSG00000197312,DDI2,116,1.49701,40,-0.2737,42,-0.2314,15,-1.7884,23,-1.1116,22,-1.1857,58,0.33279,54,0.21178
ENSG00000116786,PLEKHM2,116,0.14593,63,-0.8107,59,-0.8984,110,0.05938,185,0.93201,146,0.52368,77,-0.5499,112,0.10951
ENSG00000065526,SPEN,116,-0.9132,105,-1.0574,484,1.44327,265,0.39044,97,-1.1749,180,-0.2267,104,-1.1637,313,0.78056
ENSG00000116809,ZBTB17,116,2.34144,34,0.09243,30,-0.1115,21,-0.6041,26,-0.3153,14,-1.1965,24,-0.5040,15,-1.2622
ENSG00000037637,FBXO42,116,2.60915,0,-5.7692,13,-1.1665,19,-0.6469,17,-0.8173,17,-0.7491,26,-0.1534,25,-0.2303
ENSG00000055070,SZRD1,116,1.78983,34,-0.3256,63,0.67209,46,0.16585,35,-0.2832,59,0.58109,18,-1.3596,13,-1.8515
ENSG00000219481,NBPF1,116,2.11932,14,-1.3495,82,1.43365,40,0.19941,21,-0.7891,20,-0.8731,18,-1.1279,12,-1.7681
ENSG00000159363,ATP13A2,116,0.62986,40,-1.0457,23,-1.8551,23,-1.8353,65,-0.2995,74,-0.0930,158,1.41951,65,-0.3463
ENSG00000117118,SDHB,116,1.24801,55,-0.0147,41,-0.4604,23,-1.3597,53,-0.0724,40,-0.4993,79,0.66575,34,-0.8274
ENSG00000117115,PADI2,116,-0.4464,281,1.00896,430,1.80275,418,1.74261,55,-1.5805,164,0.10631,15,-3.6545,22,-3.0476
ENSG00000179051,RCC2,116,2.36502,8,-2.0812,21,-0.6089,13,-1.3744,20,-0.6819,20,-0.7327,34,0.14467,25,-0.4202
ENSG00000117154,IGSF21,116,1.27345,51,-0.1026,7,-2.9554,16,-1.8646,60,0.15201,34,-0.7431,69,0.44838,61,0.20965
ENSG00000159423,ALDH4A1,116,2.30916,2,-3.6124,15,-1.1682,22,-0.5754,38,0.26125,80,1.55511,8,-2.2243,17,-1.0924
ENSG00000127481,UBR4,116,1.23749,14,-2.0738,74,0.46779,55,-0.0158,13,-2.1914,53,-0.0729,31,-0.9766,84,0.79447
ENSG00000127463,EMC1,116,1.82397,53,0.41860,23,-0.8489,18,-1.2418,19,-1.1749,21,-1.0198,47,0.27559,31,-0.4553
ENSG00000053372,MRTO4,116,1.41799,59,0.25388,21,-1.3583,14,-1.9009,58,0.22465,40,-0.3449,45,-0.2115,53,0.09486
ENSG00000053371,AKR7A2,116,1.94276,21,-0.9262,34,-0.1738,45,0.25454,20,-0.9896,84,1.32536,20,-1.1091,12,-1.8678
ENSG00000077549,CAPZB,116,-0.4484,157,0.02956,126,-0.3139,139,-0.1572,153,-0.0121,171,0.16768,203,0.51658,136,-0.2215
ENSG00000173436,MICOS10,116,-1.2827,228,-0.2399,123,-1.1948,274,0.04816,552,1.23541,333,0.36811,307,0.26321,209,-0.4201
ENSG00000158747,NBL1,116,-0.0934,145,0.26727,15,-3.1109,41,-1.6714,118,-0.0615,179,0.62055,176,0.68607,130,0.10882
ENSG00000169914,OTUD3,116,2.83294,0,-5.4931,8,-1.6900,8,-1.6575,10,-1.4097,10,-1.3599,25,-0.0833,28,0.13853
ENSG00000162545,CAMK2N1,116,-3.5870,904,-0.5344,712,-0.9014,868,-0.5971,2213,0.92638,2707,1.28735,1102,-0.2506,1483,0.28663
ENSG00000090432,MUL1,116,2.31925,29,-0.1631,26,-0.3377,18,-0.8885,30,-0.1262,8,-1.9764,33,0.06501,14,-1.3659
ENSG00000183114,FAM43B,116,2.52603,48,0.80409,1,-4.4170,1,-4.3436,17,-0.8476,8,-1.9547,31,0.07569,21,-0.5937
ENSG00000158828,PINK1,116,-1.6386,286,-0.2619,118,-1.6047,245,-0.5014,532,0.75280,286,-0.2609,584,1.08560,309,-0.1535
ENSG00000244038,DDOST,116,2.02626,41,0.16193,16,-1.2429,8,-2.3339,21,-0.8758,40,0.12444,42,0.24188,22,-0.9000
ENSG00000117245,KIF17,116,2.29396,18,-0.9299,1,-4.3638,6,-2.3613,25,-0.3891,11,-1.5887,45,0.59452,29,-0.2094
ENSG00000189410,SH2D5,116,1.85794,6,-2.7848,1,-5.2637,2,-4.2692,46,0.20749,28,-0.5384,78,1.32922,23,-0.9046
ENSG00000127483,HP1BP3,116,-1.4327,258,-0.2066,572,1.12111,340,0.23767,216,-0.4805,276,-0.0981,201,-0.6525,378,0.46949
ENSG00000075151,EIF4G3,116,-1.0854,89,-1.4725,260,0.17461,208,-0.1854,142,-0.7786,112,-1.1415,300,0.47036,403,1.07681
ENSG00000117298,ECE1,116,2.27074,7,-2.1891,44,0.47188,39,0.26009,17,-0.9692,42,0.41266,15,-1.2540,16,-1.1894
ENSG00000076864,RAP1GAP,116,0.16031,170,0.79349,25,-2.1628,15,-2.9023,100,-0.0806,27,-2.0546,169,0.93183,129,0.37754
ENSG00000090686,USP48,116,0.27867,117,0.29086,175,0.97432,103,0.09294,40,-1.3620,89,-0.1414,65,-0.6859,102,0.07962
ENSG00000070831,CDC42,116,-0.6067,327,1.09009,185,0.13177,143,-0.2815,112,-0.6564,147,-0.2344,219,0.46603,119,-0.6238
ENSG00000173372,C1QA,116,2.15429,13,-1.4434,33,-0.0982,52,0.65560,33,-0.0940,68,1.11829,9,-2.1292,7,-2.4364
ENSG00000173369,C1QB,116,1.69433,36,-0.3135,42,-0.0396,112,1.62586,36,-0.2793,66,0.67398,6,-2.9841,7,-2.7655
ENSG00000133216,EPHB2,116,2.70214,10,-1.5544,41,0.65858,26,-0.0603,3,-2.9376,4,-2.8696,17,-0.8286,20,-0.5514
ENSG00000004487,KDM1A,116,0.95669,84,0.41028,38,-0.8229,15,-2.1560,33,-1.0256,36,-0.9102,87,0.53862,77,0.30959
ENSG00000169641,LUZP1,116,-0.4950,39,-2.1288,37,-2.2163,50,-1.7694,117,-0.4750,93,-0.8237,219,0.60647,348,1.64298
ENSG00000125944,HNRNPR,116,-0.2970,179,0.40275,233,0.84725,174,0.35639,91,-0.6682,130,-0.1144,120,-0.2668,117,-0.3144
ENSG00000142676,RPL11,116,-1.8554,467,0.29260,539,0.53030,780,1.16924,581,0.65449,502,0.41265,266,-0.6609,191,-1.2026
ENSG00000011007,ELOA,116,1.77151,28,-0.6293,40,-0.0803,24,-0.8385,20,-1.0883,66,0.73969,21,-1.1357,41,-0.0358
ENSG00000057757,PITHD1,116,-0.1736,247,1.08578,84,-0.6747,65,-1.0515,128,-0.0182,78,-0.7887,182,0.64328,105,-0.3559
ENSG00000011009,LYPLA2,116,2.27825,22,-0.5785,3,-3.2598,13,-1.3513,35,0.11115,22,-0.6428,28,-0.2964,30,-0.1430
ENSG00000117305,HMGCL,116,2.58175,39,0.50923,22,-0.4180,12,-1.3416,15,-1.0234,29,0.01699,16,-0.9508,11,-1.5672
ENSG00000189266,PNRC2,116,1.16757,70,0.30998,71,0.33572,45,-0.3873,35,-0.7895,75,0.42004,43,-0.5098,40,-0.6340
ENSG00000188529,SRSF10,116,0.59100,28,-1.6058,112,0.53889,73,-0.1511,70,-0.2278,122,0.68390,63,-0.4283,79,-0.0302
ENSG00000001461,NIPAL3,116,-0.7816,399,1.24733,397,1.23894,266,0.53856,115,-0.7924,86,-1.2325,128,-0.6943,138,-0.5647
ENSG00000133226,SRRM1,116,-1.0913,163,-0.5664,558,1.49210,315,0.48230,128,-0.9345,111,-1.1528,135,-0.9324,339,0.70688
ENSG00000169504,CLIC4,116,0.59846,208,1.64867,224,1.79390,170,1.26966,24,-1.8568,27,-1.6824,10,-3.2162,7,-3.7065
ENSG00000117614,SYF2,116,-0.2135,98,-0.4807,179,0.48666,167,0.37721,103,-0.3912,164,0.34810,102,-0.4512,147,0.18557
ENSG00000117616,RSRP1,116,0.51380,80,-0.0929,162,1.08683,73,-0.2398,23,-1.9867,99,0.25910,53,-0.7988,94,0.18661
ENSG00000183726,TMEM50A,116,0.80684,129,0.99516,100,0.56268,59,-0.2909,54,-0.4400,70,-0.0214,62,-0.2418,29,-1.4692
ENSG00000204178,MACO1,116,0.80884,60,-0.2632,103,0.61012,33,-1.1935,24,-1.6403,51,-0.5090,53,-0.4992,108,0.80411
ENSG00000157978,LDLRAP1,116,2.33457,40,0.37737,89,1.77863,45,0.55381,5,-2.7056,3,-3.3876,4,-3.1046,6,-2.4767
ENSG00000117643,MAN1C1,116,1.86261,16,-1.3553,11,-1.8722,11,-1.9891,22,-0.9047,40,-0.0124,60,0.78568,31,-0.4194
ENSG00000162430,SELENON,116,1.86151,42,0.07889,36,-0.1763,26,-0.6779,33,-0.3144,74,1.03409,24,-0.8282,12,-1.9175
ENSG00000117640,MTFR1L,116,1.06933,65,0.09583,40,-0.6634,28,-1.2109,59,-0.0539,79,0.40955,68,0.20361,44,-0.5645
ENSG00000117632,STMN1,116,-3.2171,1629,0.83495,926,-0.0971,735,-0.4605,946,-0.0630,430,-1.2797,1610,0.95933,920,-0.1205
ENSG00000158008,EXTL1,116,1.77739,22,-0.9604,3,-3.7950,9,-2.3336,44,0.10095,59,0.55968,48,0.25623,34,-0.3549
ENSG00000142684,ZNF593,116,2.01722,47,0.38478,14,-1.4841,8,-2.2280,26,-0.5430,21,-0.8734,38,0.03829,31,-0.2939
ENSG00000142669,SH3BGRL3,116,-0.1335,164,0.43332,107,-0.2615,142,0.19763,140,0.17585,151,0.29257,133,0.10390,86,-0.6596
ENSG00000198830,HMGN2,116,-0.6105,257,0.66754,316,1.02979,275,0.78524,135,-0.3672,242,0.57035,91,-1.0639,93,-1.0342
ENSG00000117713,ARID1A,116,0.15282,136,0.41943,148,0.55889,95,-0.1600,65,-0.7604,121,0.22988,76,-0.5690,110,0.07566
ENSG00000204160,ZDHHC18,116,2.63165,28,-0.0053,10,-1.5032,5,-2.5651,12,-1.2799,19,-0.5766,30,0.10878,15,-1.0021
ENSG00000142751,GPN2,116,2.50325,12,-1.3138,34,0.23076,19,-0.6662,20,-0.6294,9,-1.7221,22,-0.5156,21,-0.6008
ENSG00000090273,NUDC,116,-0.8897,185,-0.1646,129,-0.7272,204,-0.0042,276,0.48311,220,0.11487,247,0.34670,213,0.06720
ENSG00000253368,TRNP1,116,1.78844,4,-3.4262,3,-3.6573,4,-3.4613,45,0.14717,25,-0.7599,71,1.03831,38,-0.1556
ENSG00000090020,SLC9A1,116,2.94966,3,-2.8430,3,-2.8271,6,-2.1181,12,-1.1087,0,-6.9417,35,0.63826,19,-0.4748
ENSG00000142784,WDTC1,116,2.12885,23,-0.6671,25,-0.5341,23,-0.6773,48,0.49634,15,-1.2844,24,-0.6326,27,-0.4648
ENSG00000186501,TMEM222,116,1.34306,130,1.55834,33,-0.7027,22,-1.3537,35,-0.6075,31,-0.8114,51,-0.0364,27,-1.0994
ENSG00000158195,WASF2,116,0.26970,110,0.18195,263,1.72031,250,1.61681,33,-1.6409,119,0.31877,7,-4.0127,37,-1.5955
ENSG00000126705,AHDC1,116,1.14251,28,-1.1573,21,-1.5512,20,-1.5992,51,-0.2192,58,-0.0227,54,-0.1531,92,0.87523
ENSG00000126709,IFI6,116,0.54190,82,-0.0159,61,-0.4940,64,-0.4156,42,-1.0526,67,-0.3347,128,0.83687,71,-0.2750
ENSG00000009780,FAM76A,116,2.06425,36,-0.0246,47,0.43152,31,-0.2605,14,-1.4288,29,-0.3304,24,-0.6940,20,-0.9527
ENSG00000117758,STX12,116,0.17207,196,1.05718,99,-0.0723,79,-0.4414,84,-0.3345,63,-0.7741,117,0.20960,85,-0.3551
ENSG00000117751,PPP1R8,116,1.80568,116,1.81135,42,0.03654,23,-0.9084,23,-0.8959,13,-1.6744,23,-0.9975,16,-1.5192
ENSG00000117748,RPA2,116,1.15820,110,1.06737,43,-0.4844,22,-1.5058,50,-0.2248,41,-0.5542,70,0.35208,29,-1.1361
ENSG00000126698,DNAJC8,116,-0.9964,105,-1.1487,308,0.55196,261,0.27645,177,-0.3390,265,0.30274,195,-0.2143,289,0.50795
ENSG00000130770,ATP5IF1,116,-1.5662,173,-0.9602,127,-1.4227,168,-1.0054,554,0.90615,328,0.03457,565,1.11862,307,-0.0806
ENSG00000204138,PHACTR4,116,1.27210,66,0.29822,142,1.65029,51,-0.1097,17,-1.7157,52,-0.0592,11,-2.4852,39,-0.5662
ENSG00000180098,TRNAU1AP,116,2.53127,20,-0.6218,23,-0.3529,22,-0.4521,13,-1.2082,22,-0.4690,24,-0.3122,14,-1.1921
ENSG00000198492,YTHDF2,116,0.34725,49,-1.0109,85,-0.1560,57,-0.7555,60,-0.6961,67,-0.5141,140,0.77359,110,0.30277
ENSG00000159023,EPB41,116,2.66393,0,-8.1517,8,-1.7747,7,-2.0671,15,-0.8995,22,-0.3568,22,-0.3923,32,0.28171
ENSG00000116350,SRSF4,116,0.48403,57,-0.6393,108,0.36805,115,0.47770,66,-0.4258,90,0.08103,64,-0.5143,90,0.07970
ENSG00000116353,MECR,116,2.32266,33,0.06723,15,-1.1974,14,-1.2174,23,-0.4825,7,-2.1576,38,0.29845,18,-0.9649
ENSG00000060656,PTPRU,116,2.83685,14,-0.9485,7,-1.8997,4,-2.5652,29,0.17237,0,-5.0883,25,-0.0381,19,-0.5558
ENSG00000162511,LAPTM5,116,1.02427,74,0.26988,71,0.19401,131,1.24392,67,0.10680,105,0.86212,18,-1.9712,13,-2.5263
ENSG00000162512,SDC3,116,-0.1004,97,-0.3708,104,-0.2757,168,0.49964,91,-0.4855,222,0.97966,115,-0.1201,103,-0.3198
ENSG00000134644,PUM1,116,-0.5598,266,0.78355,117,-0.5430,139,-0.2752,146,-0.1991,117,-0.5463,145,-0.2350,232,0.63928
ENSG00000060688,SNRNP40,116,2.28988,40,0.35059,32,-0.0131,19,-0.8175,13,-1.3926,4,-2.9711,27,-0.3188,23,-0.5736
ENSG00000121766,ZCCHC17,116,-0.2214,118,-0.1880,129,-0.0479,158,0.27869,116,-0.2174,110,-0.3020,126,-0.1002,166,0.40952
ENSG00000121769,FABP3,116,0.71727,42,-0.9022,28,-1.4720,26,-1.5790,96,0.40102,41,-0.9184,133,1.14105,66,-0.2251
