Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000107404,DVL1,31,-0.4588,77,1.02947,71,0.89655,60,0.59310,32,-0.3966,40,-0.0619,25,-0.8236,31,-0.4514,21,-1.0058
ENSG00000175756,AURKAIP1,100,-0.5751,188,0.42673,106,-0.4878,170,0.25711,175,0.30717,158,0.14055,190,0.51452,66,-1.2214,103,-0.5310
ENSG00000221978,CCNL2,56,0.11205,19,-1.5081,52,-0.0174,63,0.30996,44,-0.2602,58,0.15759,49,-0.1159,104,1.15663,28,-0.9591
ENSG00000242485,MRPL20,99,-0.5731,194,0.49758,129,-0.1673,137,-0.0693,218,0.69672,101,-0.5532,157,0.17575,101,-0.5499,136,-0.0757
ENSG00000235098,ANKRD65,34,0.56102,41,0.84653,28,0.24485,19,-0.3758,46,1.05195,22,-0.1338,17,-0.6396,8,-1.6604,11,-1.2044
ENSG00000179403,VWA1,96,2.56557,28,0.27128,11,-1.1766,35,0.60700,7,-1.7183,24,-0.0162,11,-1.3130,10,-1.3275,6,-1.9517
ENSG00000205090,TMEM240,8,-1.5266,10,-1.1316,30,0.49587,19,-0.2186,14,-0.6315,31,0.55136,24,0.17628,36,0.80782,22,0.03058
ENSG00000160075,SSU72,66,-0.9292,136,0.21741,127,0.09491,118,-0.0157,148,0.34861,133,0.17261,143,0.32890,80,-0.6331,100,-0.2714
ENSG00000228594,FNDC10,5,-2.1488,20,-0.0781,48,1.34033,22,0.00668,17,-0.3213,9,-1.3004,33,0.77921,19,-0.1649,9,-1.2339
ENSG00000272106,AL691432.2,14,-0.2364,15,-0.1618,12,-0.4973,28,0.82521,26,0.69268,27,0.76869,13,-0.4167,10,-0.7863,9,-0.8963
ENSG00000197530,MIB2,7,-1.4682,31,0.71038,14,-0.5420,22,0.11704,18,-0.1868,24,0.30557,28,0.60737,22,0.12498,7,-1.5920
ENSG00000248333,CDK11B,110,0.86672,28,-1.2586,96,0.64221,52,-0.3352,24,-1.5283,27,-1.3154,46,-0.5933,112,0.90076,107,0.82681
ENSG00000189339,SLC35E2B,14,-0.7768,39,0.81208,27,0.19371,32,0.47580,27,0.22827,20,-0.2973,19,-0.3790,31,0.45075,9,-1.4880
ENSG00000008128,CDK11A,73,0.99239,19,-1.1204,29,-0.5155,29,-0.4802,16,-1.4154,28,-0.5625,28,-0.6362,102,1.60982,49,0.33179
ENSG00000215790,SLC35E2A,11,-1.2791,32,0.36318,32,0.39216,29,0.23317,26,0.05683,22,-0.2003,22,-0.2065,39,0.69547,16,-0.6518
ENSG00000008130,NADK,15,-0.2778,25,0.50028,15,-0.3312,22,0.34621,17,-0.0987,21,0.21975,24,0.53755,9,-1.0567,9,-1.0848
ENSG00000078369,GNB1,168,-1.5561,710,0.70901,441,-0.0734,549,0.28061,499,0.12507,587,0.39045,518,0.20966,277,-0.7973,350,-0.4362
ENSG00000187730,GABRD,7,-4.1497,55,-1.1759,115,-0.0429,82,-0.5700,168,0.58068,113,-0.0693,221,1.25986,80,-0.6026,117,-0.0160
ENSG00000067606,PRKCZ,83,-1.2141,169,-0.1194,409,1.37923,186,0.03034,177,-0.0496,171,-0.1038,179,-0.0326,171,-0.0967,98,-0.9555
ENSG00000162585,FAAP20,44,0.52189,63,1.11578,21,-0.6324,40,0.36467,35,0.16242,24,-0.4534,29,-0.1619,20,-0.7406,14,-1.2155
ENSG00000157933,SKI,39,0.55446,40,0.62032,49,0.94028,19,-0.5638,24,-0.2283,21,-0.4497,13,-1.1765,30,0.13064,27,-0.0277
ENSG00000157916,RER1,45,-0.1261,48,-0.0140,43,-0.1890,52,0.11103,53,0.14185,59,0.29876,66,0.55996,31,-0.6774,23,-1.1149
ENSG00000157911,PEX10,25,0.49019,41,1.35031,7,-1.4123,13,-0.5278,19,0.04287,16,-0.2366,21,0.23897,14,-0.4378,7,-1.4107
ENSG00000149527,PLCH2,14,0.71811,19,1.23453,3,-1.5170,7,-0.3224,11,0.34882,13,0.60414,8,-0.1449,3,-1.4572,2,-1.9758
ENSG00000157881,PANK4,5,-0.9733,9,-0.2678,7,-0.4740,5,-1.0041,15,0.59314,24,1.38828,14,0.55602,6,-0.9072,4,-1.3479
ENSG00000197921,HES5,1,-3.3018,32,1.96683,2,-2.4216,2,-2.1781,17,0.84435,1,-2.5831,14,0.61956,15,0.61004,3,-1.6266
ENSG00000157870,PRXL2B,13,-1.8464,29,-0.6425,59,0.51340,37,-0.2563,50,0.24944,62,0.59048,54,0.41228,39,-0.1517,35,-0.3338
ENSG00000177133,PRDM16-DT,3,-2.1720,39,1.53950,12,-0.3894,7,-1.1469,24,0.69698,8,-1.0054,11,-0.6128,34,1.29007,7,-1.1851
ENSG00000142611,PRDM16,12,-0.0947,22,0.82841,7,-1.0069,15,0.20008,11,-0.3279,5,-1.5176,6,-1.2258,42,2.03646,6,-1.1706
ENSG00000158109,TPRG1L,58,-1.7461,120,-0.6489,275,0.68036,203,0.17917,191,0.07806,249,0.51444,221,0.36701,118,-0.6773,160,-0.2009
ENSG00000116213,WRAP73,7,-0.5293,16,0.73459,8,-0.4168,4,-1.3742,9,-0.1584,20,1.07762,15,0.65386,3,-1.7005,6,-0.8333
ENSG00000130764,LRRC47,43,-0.7706,62,-0.2161,93,0.44489,82,0.23196,66,-0.1100,103,0.62032,84,0.30840,62,-0.2205,29,-1.3394
ENSG00000116198,CEP104,102,1.67929,27,-0.5409,33,-0.2339,35,-0.1516,11,-1.9168,18,-1.1502,32,-0.3114,38,-0.0273,57,0.63429
ENSG00000198912,C1orf174,8,-0.6686,9,-0.5557,9,-0.4071,25,1.13288,13,0.01702,15,0.25113,13,0.12614,11,-0.1587,8,-0.5973
ENSG00000196581,AJAP1,18,-1.3939,17,-1.5528,62,0.46928,68,0.61917,43,-0.1113,65,0.56128,33,-0.5679,64,0.53024,59,0.39061
ENSG00000069424,KCNAB2,23,-2.7003,151,0.12908,187,0.48077,116,-0.2925,156,0.18944,192,0.52481,174,0.41420,101,-0.5081,118,-0.2621
ENSG00000116254,CHD5,62,-2.0657,132,-0.9331,487,1.19683,235,-0.0277,123,-1.0357,111,-1.1915,214,-0.2006,443,1.02813,376,0.74146
ENSG00000116251,RPL22,700,0.52104,908,0.96601,328,-0.6874,541,0.09792,680,0.47318,275,-0.9593,369,-0.5614,381,-0.4560,539,0.09150
ENSG00000116237,ICMT,17,-1.1394,33,-0.1538,30,-0.3037,32,-0.1916,40,0.15733,55,0.66971,53,0.70228,21,-0.8637,30,-0.2998
ENSG00000097021,ACOT7,53,-2.0657,67,-1.7226,238,0.22254,123,-0.8190,257,0.34227,315,0.68309,355,1.05093,111,-0.9722,203,-0.0342
ENSG00000215788,TNFRSF25,0,-5.5240,9,-0.3176,17,0.74177,8,-0.3620,13,0.30155,31,1.80219,9,-0.3161,9,-0.2137,2,-2.1101
ENSG00000171680,PLEKHG5,2,-3.0756,8,-0.9963,24,0.59022,15,-0.1148,26,0.76226,30,0.97565,16,-0.0771,21,0.39166,6,-1.3715
ENSG00000162408,NOL9,23,-0.2981,24,-0.2607,31,0.13996,38,0.47212,22,-0.3718,38,0.45479,27,-0.0794,32,0.18094,21,-0.4504
ENSG00000162413,KLHL21,26,0.29843,19,-0.2420,24,0.14798,23,0.06506,26,0.29686,18,-0.3393,19,-0.2204,37,0.84885,8,-1.5773
ENSG00000116273,PHF13,13,-0.2778,12,-0.3280,18,0.27486,9,-0.7246,14,-0.1053,13,-0.2043,21,0.56102,23,0.64333,8,-0.9517
ENSG00000041988,THAP3,20,0.28953,11,-0.6311,29,0.88289,24,0.54950,20,0.30569,17,-0.0122,17,0.00323,4,-1.9286,9,-0.9367
ENSG00000007923,DNAJC11,15,-0.9829,23,-0.3275,56,1.08568,33,0.21145,19,-0.6108,34,0.24516,24,-0.2916,28,-0.0218,31,0.12674
ENSG00000171735,CAMTA1,197,-1.3944,355,-0.5001,684,0.55610,694,0.58034,323,-0.6460,391,-0.3494,509,0.07869,472,-0.0493,738,0.68289
ENSG00000049245,VAMP3,104,2.32868,41,0.57450,15,-1.0220,54,1.04732,18,-0.6784,8,-1.8855,10,-1.7374,21,-0.4464,6,-2.3087
ENSG00000049246,PER3,63,1.08478,50,0.67930,19,-0.8682,29,-0.1741,32,-0.0248,26,-0.3665,18,-0.9608,47,0.58444,25,-0.4184
ENSG00000116288,PARK7,175,-0.7998,462,0.75963,126,-1.2952,270,-0.1241,550,1.06444,343,0.26211,339,0.27555,101,-1.6320,212,-0.5013
ENSG00000116285,ERRFI1,18,-0.5062,13,-0.9374,38,0.70310,21,-0.2889,25,-0.0273,31,0.37191,35,0.65098,20,-0.3591,12,-1.0647
ENSG00000162426,SLC45A1,7,-1.7221,13,-0.8104,27,0.31424,17,-0.3441,16,-0.4991,25,0.22116,40,1.18869,11,-1.1018,23,0.09673
ENSG00000142599,RERE,193,0.47264,192,0.46285,177,0.32612,103,-0.5340,136,-0.0932,97,-0.6270,101,-0.6085,182,0.38032,161,0.17435
ENSG00000074800,ENO1,285,-0.6390,712,0.84581,276,-0.6859,431,0.01386,525,0.33433,375,-0.2089,499,0.28591,350,-0.3166,322,-0.4462
ENSG00000171612,SLC25A33,20,-0.7401,79,1.50425,19,-0.8037,25,-0.3996,57,0.90098,19,-0.8234,35,0.13811,21,-0.6903,16,-1.0974
ENSG00000171608,PIK3CD,3,-1.7645,6,-0.7904,37,2.19923,12,0.24517,3,-1.7719,5,-0.9832,10,-0.1634,9,-0.1857,10,-0.0398
ENSG00000171603,CLSTN1,160,-2.1016,276,-1.2859,694,0.14290,746,0.26118,604,-0.0810,1087,0.89359,815,0.46574,446,-0.5570,707,0.17370
ENSG00000178585,CTNNBIP1,22,-0.2266,34,0.43547,38,0.65756,51,1.15713,17,-0.6618,22,-0.2049,23,-0.1942,15,-0.7738,10,-1.3762
ENSG00000162441,LZIC,141,1.21564,71,0.05556,51,-0.4513,52,-0.4151,52,-0.4294,39,-0.8811,55,-0.3624,82,0.29135,85,0.34507
ENSG00000162444,RBP7,56,4.10716,6,-0.4149,2,-1.6857,9,0.07956,0,-6.5360,2,-1.6207,3,-1.5859,0,-3.5254,0,-4.4136
ENSG00000130939,UBE4B,38,-0.1083,28,-0.5733,48,0.26294,54,0.46535,26,-0.6998,40,-0.0042,45,0.20914,33,-0.3261,47,0.25469
ENSG00000054523,KIF1B,688,0.58309,331,-0.5887,648,0.48397,505,0.07560,240,-1.0847,408,-0.2655,384,-0.3965,574,0.28468,655,0.50225
ENSG00000284642,AL139424.2,8,-0.6137,6,-0.9391,15,0.49037,10,-0.1751,11,-0.0982,18,0.74958,14,0.35141,10,-0.1402,8,-0.6051
ENSG00000142657,PGD,42,-0.5684,51,-0.2466,42,-0.5641,107,0.95778,39,-0.6664,75,0.34859,87,0.69356,32,-0.9844,40,-0.6342
ENSG00000175279,CENPS,5,-1.2981,15,0.28351,12,-0.0206,3,-2.1148,22,0.89808,3,-1.8927,19,0.83062,5,-1.2394,20,0.78397
ENSG00000241563,CORT,12,-1.5100,43,0.44536,8,-2.1554,59,0.95571,31,-0.0793,25,-0.4058,17,-1.0657,4,-2.9889,112,2.18968
ENSG00000160049,DFFA,102,1.11109,65,0.32833,37,-0.5594,50,-0.0959,42,-0.3502,37,-0.5301,32,-0.8383,87,0.81742,43,-0.3206
ENSG00000142655,PEX14,5,-1.6314,13,-0.4132,15,-0.2014,25,0.66267,18,0.15083,20,0.29923,21,0.44474,11,-0.6948,17,0.03913
ENSG00000120948,TARDBP,115,0.44964,65,-0.4599,94,0.12611,104,0.28841,80,-0.1260,96,0.16204,75,-0.2635,88,0.01318,78,-0.1731
ENSG00000271895,AL109811.2,6,-0.8507,10,-0.1488,8,-0.6082,25,1.30357,5,-1.1039,14,0.33121,11,0.00107,18,0.75100,4,-1.4821
ENSG00000116649,SRM,23,-0.9278,66,0.74534,35,-0.2991,50,0.26834,57,0.49707,45,0.11942,45,0.13297,20,-1.0994,33,-0.3686
ENSG00000171824,EXOSC10,45,0.68027,25,-0.2251,14,-1.0890,16,-0.9554,27,-0.1233,27,-0.1301,21,-0.5762,65,1.33798,33,0.16248
ENSG00000198793,MTOR,21,-1.1171,31,-0.5222,56,0.43759,23,-0.9811,54,0.36602,40,-0.1003,59,0.59636,40,-0.1044,46,0.12744
ENSG00000120942,UBIAD1,24,1.04648,16,0.36048,9,-0.4582,20,0.68896,10,-0.4235,8,-0.6918,8,-0.7421,12,-0.0457,12,-0.1041
ENSG00000116661,FBXO2,73,-0.9586,312,1.41952,67,-1.1030,72,-0.9821,168,0.34044,141,0.05907,174,0.46434,82,-0.7909,96,-0.5511
ENSG00000132879,FBXO44,20,-1.7568,33,-1.0158,107,0.86559,60,-0.0954,63,-0.0058,86,0.49985,71,0.20682,80,0.37328,43,-0.5988
ENSG00000116670,MAD2L2,15,0.58732,21,1.09092,6,-0.8134,4,-1.5319,18,0.83514,9,-0.1983,5,-1.2485,15,0.54079,8,-0.3337
ENSG00000177000,MTHFR,12,-0.6085,7,-1.2916,40,1.35904,16,-0.1611,14,-0.3531,25,0.52085,8,-1.3737,24,0.51287,24,0.47925
ENSG00000011021,CLCN6,34,-0.8806,30,-1.1113,117,1.08577,77,0.37874,43,-0.5281,64,0.08296,88,0.68847,39,-0.6948,30,-1.1130
ENSG00000116685,KIAA2013,57,1.06583,23,-0.4010,30,-0.0258,40,0.44462,25,-0.2996,41,0.49337,29,-0.0391,18,-0.8111,9,-1.8141
ENSG00000083444,PLOD1,18,0.37210,18,0.44461,20,0.60070,23,0.82736,8,-0.8067,17,0.35874,10,-0.4697,7,-0.9371,6,-1.3477
ENSG00000116688,MFN2,84,-0.5672,71,-0.8188,162,0.49126,148,0.34447,101,-0.2703,162,0.48756,151,0.42942,96,-0.3530,73,-0.7688
ENSG00000116691,MIIP,14,0.57570,13,0.43443,4,-1.2287,21,1.20181,4,-1.3312,13,0.42859,8,-0.2809,5,-1.1034,9,-0.2333
ENSG00000048707,VPS13D,58,-0.4459,36,-1.1713,137,0.95331,72,-0.1137,30,-1.4236,107,0.53850,67,-0.2390,103,0.47833,92,0.29298
ENSG00000162496,DHRS3,28,0.39433,33,0.62191,19,-0.2656,12,-0.9287,22,-0.0352,13,-0.8460,21,-0.0820,47,1.26037,6,-1.8706
ENSG00000116731,PRDM2,198,-0.5188,127,-1.2030,464,0.86055,266,-0.0575,195,-0.5482,177,-0.6989,223,-0.3776,353,0.40114,535,1.11192
ENSG00000189337,KAZN,104,0.69809,69,0.01737,73,0.10678,50,-0.4839,41,-0.7997,60,-0.1994,79,0.27578,50,-0.4645,75,0.16292
ENSG00000142634,EFHD2,26,-2.0176,53,-0.9732,188,1.07803,282,1.83924,6,-4.0701,87,-0.2053,74,-0.5032,129,0.42798,70,-0.5442
ENSG00000116138,DNAJC16,29,-0.2028,13,-1.4276,20,-0.7782,36,0.14735,38,0.22434,55,0.85466,38,0.26077,23,-0.5376,39,0.26906
ENSG00000197312,DDI2,48,0.09256,17,-1.5023,76,0.83434,64,0.56092,27,-0.8021,38,-0.2775,47,0.06519,54,0.28206,36,-0.3551
ENSG00000116786,PLEKHM2,64,-0.7954,170,0.76205,165,0.70803,117,0.14959,95,-0.1792,68,-0.7148,107,-0.0051,103,-0.0621,74,-0.5720
ENSG00000065526,SPEN,381,1.13503,115,-0.8208,152,-0.3806,103,-0.9776,98,-1.0587,102,-1.0039,111,-0.9470,383,1.14426,383,1.14755
ENSG00000116809,ZBTB17,22,0.22674,19,0.05277,22,0.27917,18,-0.0338,21,0.15953,16,-0.2547,15,-0.3317,28,0.62229,11,-0.8649
ENSG00000037637,FBXO42,18,-0.1149,15,-0.3873,15,-0.4692,25,0.35613,17,-0.2580,22,0.19688,25,0.40801,23,0.20645,14,-0.5814
ENSG00000055070,SZRD1,54,1.20755,43,0.80976,32,0.30879,32,0.32699,21,-0.3055,11,-1.2470,13,-1.1765,30,0.22132,12,-1.1400
ENSG00000157191,NECAP2,23,1.64515,15,0.91401,2,-1.7808,2,-1.8920,8,-0.0578,5,-0.7177,8,-0.0019,9,0.14450,3,-1.4264
ENSG00000219481,NBPF1,56,1.77205,14,-0.4911,8,-1.3940,18,-0.1652,17,-0.2085,17,-0.2659,12,-0.8451,27,0.46456,19,-0.1069
ENSG00000058453,CROCC,9,-0.1828,9,-0.2134,16,0.67932,25,1.51270,5,-0.9784,9,-0.1272,6,-0.7752,14,0.54723,1,-2.5393
ENSG00000159363,ATP13A2,23,-1.7124,50,-0.5613,96,0.48095,65,-0.1521,54,-0.4297,84,0.25660,116,0.93864,42,-0.8157,68,-0.0767
ENSG00000117118,SDHB,29,-1.1582,78,0.39445,21,-1.6247,34,-0.9057,117,1.08212,58,-0.0763,106,1.08514,18,-1.8502,44,-0.5152
ENSG00000117115,PADI2,286,2.84456,112,0.92144,26,-1.4017,56,-0.2172,27,-1.3216,16,-2.0782,20,-1.8983,56,-0.2233,23,-1.5425
ENSG00000179051,RCC2,16,-0.2783,11,-0.9015,15,-0.3603,20,0.08169,26,0.51994,16,-0.2698,32,0.96445,10,-1.0282,14,-0.4814
ENSG00000074964,ARHGEF10L,7,-0.9325,22,0.81677,10,-0.3607,5,-1.4656,11,-0.2982,5,-1.3970,19,0.74988,17,0.44618,15,0.18552
ENSG00000117154,IGSF21,13,-2.1135,31,-0.8358,64,0.31339,118,1.36652,51,-0.0629,95,0.97170,40,-0.4708,32,-0.7853,44,-0.2786
ENSG00000159423,ALDH4A1,20,0.23750,38,1.28010,13,-0.4296,18,0.02597,17,-0.0557,6,-1.6029,10,-0.8878,32,0.96939,11,-0.6939
ENSG00000127481,UBR4,45,0.24281,23,-0.7878,41,0.10130,14,-1.5001,15,-1.4668,27,-0.5751,21,-0.9980,98,1.59353,81,1.24658
ENSG00000127463,EMC1,27,-0.1190,14,-1.1031,17,-0.8138,34,0.25786,34,0.29034,34,0.28870,29,0.01983,38,0.47644,30,0.09447
ENSG00000053372,MRTO4,24,-0.6259,38,0.06572,69,1.07989,24,-0.6086,24,-0.6662,25,-0.5471,37,0.04696,48,0.44992,35,-0.0421
ENSG00000053371,AKR7A2,53,1.00710,54,1.04411,21,-0.4816,30,0.06633,31,0.14319,14,-1.0799,19,-0.6541,24,-0.2584,20,-0.5223
ENSG00000040487,SLC66A1,10,0.04521,2,-1.9581,8,-0.2283,13,0.54738,3,-1.7308,21,1.32218,11,0.19992,14,0.58754,2,-1.9997
ENSG00000077549,CAPZB,106,-0.5110,132,-0.1717,148,0.00769,165,0.18873,140,-0.0804,167,0.20199,166,0.22144,127,-0.2310,154,0.06929
ENSG00000173436,MICOS10,158,-0.8645,478,0.91224,207,-0.4507,295,0.10769,431,0.73717,239,-0.2257,313,0.23129,125,-1.2202,198,-0.5182
ENSG00000158747,NBL1,50,-1.5344,103,-0.4514,221,0.79116,218,0.76692,97,-0.5500,152,0.16117,136,-0.0153,158,0.22946,100,-0.4959
ENSG00000169914,OTUD3,6,-1.6976,11,-0.9486,52,1.64285,22,0.19723,5,-1.9133,25,0.39094,19,-0.0500,18,-0.1150,19,-0.0245
ENSG00000162545,CAMK2N1,1082,-0.4706,2730,1.05231,1346,-0.1274,1069,-0.4897,3079,1.26889,1140,-0.3893,928,-0.7771,1025,-0.5542,1250,-0.2436
ENSG00000090432,MUL1,22,0.06817,17,-0.3218,22,0.09044,22,0.06305,20,-0.0491,27,0.36971,24,0.22935,20,-0.1154,13,-0.7480
ENSG00000183114,FAM43B,5,-2.0212,10,-1.1819,45,1.25619,51,1.46221,3,-2.9468,29,0.46609,17,-0.3442,25,0.25403,11,-0.9679
ENSG00000158828,PINK1,138,-1.8046,425,-0.0886,488,0.13300,555,0.34182,514,0.21697,515,0.21969,662,0.74140,241,-0.9720,293,-0.6712
ENSG00000244038,DDOST,15,-0.4041,13,-0.5349,6,-1.7354,15,-0.3517,38,1.15658,32,0.82174,26,0.58564,9,-1.2048,11,-0.8664
ENSG00000117245,KIF17,2,-3.4754,7,-1.8390,31,0.36657,34,0.53693,13,-0.9197,47,1.06823,36,0.74370,18,-0.5166,21,-0.2720
ENSG00000189410,SH2D5,6,-2.3541,15,-1.0495,51,0.83903,18,-0.7904,63,1.19729,48,0.72292,36,0.27226,19,-0.7331,15,-1.1077
ENSG00000127483,HP1BP3,550,0.68182,332,-0.1417,366,0.01069,251,-0.5811,255,-0.5563,265,-0.4952,258,-0.5943,536,0.63883,562,0.71836
ENSG00000075151,EIF4G3,255,-0.4800,147,-1.3161,284,-0.3110,245,-0.5381,295,-0.2472,340,-0.0239,399,0.26399,311,-0.1639,777,1.38555
ENSG00000117298,ECE1,29,0.99685,19,0.30422,24,0.68108,13,-0.2288,5,-1.7774,9,-0.9079,6,-1.5470,37,1.42294,10,-0.6908
ENSG00000076864,RAP1GAP,21,-2.3358,44,-1.2751,142,0.55180,230,1.40284,42,-1.3405,174,0.90320,103,0.02702,89,-0.1942,62,-0.7541
ENSG00000090686,USP48,144,0.72893,56,-0.7691,96,0.06646,79,-0.2389,50,-0.9602,91,-0.0228,74,-0.3799,128,0.53748,130,0.55539
ENSG00000070831,CDC42,183,0.09645,112,-0.6735,125,-0.5097,189,0.14295,166,-0.0627,179,0.05655,252,0.71665,105,-0.7744,164,-0.0804
ENSG00000184677,ZBTB40,19,1.06176,3,-1.7169,22,1.33883,7,-0.5225,6,-0.7281,10,-0.0523,7,-0.6481,7,-0.6264,12,0.34250
ENSG00000173372,C1QA,7,-0.3053,28,2.12805,6,-0.4771,9,0.08728,8,-0.1131,5,-0.6566,4,-1.0550,10,0.30940,2,-2.1968
ENSG00000173369,C1QB,15,0.84960,25,1.74597,5,-0.8217,5,-0.9080,7,-0.2724,3,-1.6521,7,-0.3523,11,0.36915,3,-1.4536
ENSG00000133216,EPHB2,17,0.46398,7,-0.8363,15,0.27382,7,-0.8378,11,-0.3036,16,0.30045,14,0.17841,19,0.62463,8,-0.7533
ENSG00000004487,KDM1A,57,-0.4753,45,-0.8372,61,-0.3670,63,-0.3282,97,0.35427,101,0.43482,95,0.37473,71,-0.1295,89,0.22394
ENSG00000169641,LUZP1,42,-2.6550,86,-1.6060,288,0.25913,215,-0.2061,137,-0.9043,177,-0.5135,349,0.66731,279,0.21073,530,1.30883
ENSG00000125944,HNRNPR,213,0.46107,108,-0.6174,130,-0.3329,194,0.30737,179,0.17323,183,0.20445,132,-0.3482,154,-0.0683,182,0.19825
ENSG00000125945,ZNF436,6,-0.6822,3,-1.6563,13,0.38749,16,0.72408,15,0.58243,20,1.11690,7,-0.5266,6,-0.6876,7,-0.5624
ENSG00000249087,ZNF436-AS1,9,0.03871,21,1.58079,3,-1.2872,21,1.53030,10,0.29990,4,-1.1123,4,-0.9956,5,-0.8612,2,-2.2172
ENSG00000204219,TCEA3,22,1.54152,16,0.96277,5,-0.7698,0,-3.3972,2,-2.1282,2,-2.2831,9,0.02816,9,0.01053,14,0.72406
ENSG00000088280,ASAP3,12,0.26094,15,0.66240,19,1.10371,5,-0.9176,4,-1.4344,10,0.04739,11,0.20531,7,-0.4683,4,-1.2690
ENSG00000117318,ID3,41,2.62279,39,2.50638,0,-7.6576,2,-2.1211,0,-4.6896,1,-3.2136,0,-4.6471,14,0.61823,0,-3.5301
ENSG00000142676,RPL11,583,0.65866,814,1.24209,176,-1.2368,538,0.52344,452,0.23580,343,-0.2096,315,-0.3780,175,-1.2392,196,-1.0700
ENSG00000011007,ELOA,35,0.10999,32,-0.0549,28,-0.2554,45,0.50767,29,-0.2062,23,-0.5292,32,-0.0309,42,0.38668,30,-0.1337
ENSG00000057757,PITHD1,92,-0.7368,102,-0.5897,156,0.07842,183,0.34163,157,0.09637,187,0.37563,207,0.62635,100,-0.6214,92,-0.7408
ENSG00000011009,LYPLA2,9,-1.1148,20,0.01286,42,1.23753,22,0.16831,16,-0.3154,24,0.30198,23,0.29349,3,-2.5397,15,-0.4328
ENSG00000117308,GALE,2,-2.0930,10,-0.1238,6,-0.9777,6,-0.9571,9,-0.3140,14,0.32262,26,1.68583,4,-1.4047,9,-0.2686
ENSG00000117305,HMGCL,20,0.63975,27,1.09473,12,-0.1841,4,-1.7516,15,0.10836,12,-0.1386,16,0.25082,10,-0.5180,5,-1.4263
ENSG00000179163,FUCA1,3,-1.5387,9,-0.1807,6,-0.6937,6,-0.6993,12,0.33259,15,0.70896,14,0.62568,10,-0.0164,9,-0.1370
ENSG00000189266,PNRC2,65,0.09174,57,-0.1004,41,-0.6320,79,0.41079,97,0.76462,79,0.41603,41,-0.6823,63,0.06046,47,-0.3914
ENSG00000188529,SRSF10,112,0.60274,50,-0.6675,72,-0.1101,78,0.01590,63,-0.3068,72,-0.1079,78,0.01953,86,0.18138,82,0.09306
ENSG00000001461,NIPAL3,282,1.22666,55,-1.3804,135,-0.0125,243,0.96595,51,-1.5181,99,-0.4980,128,-0.1112,123,-0.1595,118,-0.2317
ENSG00000133226,SRRM1,523,1.17802,163,-0.7323,203,-0.3932,151,-0.8484,145,-0.9130,175,-0.6256,189,-0.5574,507,1.12193,358,0.52022
