Feature ID,Feature Name,Feature count topic 1to7,Feature log2 fold change topic 1to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000117411,B4GALT2,41,-0.7995,77,0.61736,87,0.82890,62,0.29985
ENSG00000178028,DMAP1,75,0.67752,63,-0.0322,48,-0.4502,37,-0.9070
ENSG00000117419,ERI3,104,-0.0809,114,0.10685,167,0.73660,80,-0.4892
ENSG00000187147,RNF220,106,0.54799,60,-0.6986,90,-0.0636,70,-0.5018
ENSG00000142937,RPS8,749,-0.5967,1134,0.39153,1083,0.31574,1159,0.48243
ENSG00000070785,EIF2B3,40,0.81356,26,-0.3868,28,-0.2953,18,-1.0166
ENSG00000126088,UROD,74,0.42524,47,-0.5592,96,0.58052,38,-0.9234
ENSG00000117450,PRDX1,218,-0.7003,336,0.36554,618,1.40760,232,-0.2476
ENSG00000117448,AKR1A1,38,-0.1000,62,0.77938,52,0.46922,23,-0.8210
ENSG00000132780,NASP,56,-0.5394,161,1.51342,38,-0.8601,65,-0.0235
ENSG00000159592,GPBP1L1,37,0.33880,36,0.10900,32,-0.0970,24,-0.5936
ENSG00000159596,TMEM69,12,-0.0675,13,0.13658,15,0.33696,11,-0.1867
ENSG00000086015,MAST2,24,0.30349,20,-0.1695,34,0.67710,11,-1.0491
ENSG00000117461,PIK3R3,37,-0.3251,89,1.31748,36,-0.1707,30,-0.4960
ENSG00000085998,POMGNT1,43,0.20175,29,-0.5187,48,0.23225,37,-0.2056
ENSG00000132128,LRRC41,30,-0.0389,21,-0.5585,50,0.80801,26,-0.2512
ENSG00000173660,UQCRH,372,0.51546,119,-1.5667,417,0.36933,252,-0.4666
ENSG00000117481,NSUN4,19,0.08641,16,-0.1838,17,-0.1536,19,0.04496
ENSG00000117480,FAAH,24,0.80238,13,-0.6938,22,0.12041,10,-1.1587
ENSG00000079277,MKNK1,19,-0.0900,29,0.67096,20,0.06900,15,-0.3793
ENSG00000123472,ATPAF1,125,0.22728,85,-0.5239,106,-0.1712,118,-0.0037
ENSG00000159658,EFCAB14,62,-0.7473,140,0.98050,98,0.38500,89,0.25245
ENSG00000186377,CYP4X1,17,0.82638,10,-0.5981,12,-0.3167,8,-0.8846
ENSG00000162368,CMPK1,128,0.60301,56,-1.0662,98,-0.2198,92,-0.3471
ENSG00000162373,BEND5,51,1.42743,5,-2.8490,6,-2.7483,32,-0.3682
ENSG00000162374,ELAVL4,292,1.19646,100,-1.2911,57,-2.1249,176,-0.4742
ENSG00000185104,FAF1,43,0.39052,28,-0.4895,38,-0.0349,32,-0.3534
ENSG00000123091,RNF11,434,0.57278,162,-1.3146,384,0.00664,310,-0.3597
ENSG00000085832,EPS15,214,0.36569,130,-0.6371,105,-0.9606,214,0.15133
ENSG00000117859,OSBPL9,21,0.11587,21,-0.0102,24,0.23231,17,-0.3347
ENSG00000078618,NRDC,138,0.68548,108,-0.1458,69,-0.8389,82,-0.6200
ENSG00000169213,RAB3B,44,0.04060,30,-0.5675,31,-0.5000,54,0.40951
ENSG00000117862,TXNDC12,31,0.28761,25,-0.1977,47,0.79812,14,-1.1584
ENSG00000134717,BTF3L4,54,0.41155,31,-0.7069,68,0.52370,31,-0.7447
ENSG00000157077,ZFYVE9,70,1.18261,30,-0.9515,19,-1.6364,37,-0.6938
ENSG00000134748,PRPF38A,45,-0.8492,136,1.43363,68,0.25835,60,0.05677
ENSG00000134744,TUT4,76,-0.7580,249,1.62533,44,-1.1996,113,0.29272
ENSG00000162377,COA7,33,0.46675,25,-0.2674,20,-0.6063,25,-0.2858
ENSG00000162378,ZYG11B,195,0.75397,69,-1.3385,113,-0.6007,140,-0.2968
ENSG00000116171,SCP2,93,-0.3626,145,0.55333,153,0.64271,91,-0.2166
ENSG00000162384,CZIB,42,0.09271,45,0.12170,68,0.80204,23,-0.9634
ENSG00000162385,MAGOH,25,0.64948,5,-2.2369,27,0.33156,16,-0.5163
ENSG00000157193,LRP8,31,-0.3328,33,-0.0032,40,0.27620,41,0.34198
