Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000116251,RPL22,672,0.41927,360,-0.6245,355,-0.6486,415,-0.5699,925,0.90784,716,0.47301
ENSG00000116237,ICMT,20,-0.9647,19,-0.9744,35,-0.0347,52,1.00981,27,-0.4431,31,-0.2319
ENSG00000097021,ACOT7,43,-2.4308,67,-1.6285,172,-0.1904,356,2.04738,107,-0.9284,84,-1.2931
ENSG00000215788,TNFRSF25,2,-2.6039,30,1.30613,13,-0.0671,17,0.59825,6,-1.1758,13,-0.0015
ENSG00000171680,PLEKHG5,0,-5.3037,7,-1.2866,19,0.14984,30,1.86883,11,-0.5978,11,-0.7213
ENSG00000162408,NOL9,18,-0.4635,20,-0.2535,31,0.39825,24,0.03295,42,0.91603,13,-0.9405
ENSG00000162413,KLHL21,27,0.32887,23,-0.0048,17,-0.4167,19,-0.4349,24,0.04659,35,0.68179
ENSG00000041988,THAP3,12,-0.5619,17,0.02969,18,0.08435,23,0.77822,12,-0.5752,7,-1.2347
ENSG00000007923,DNAJC11,15,-1.2867,35,0.11093,41,0.39507,41,0.66337,23,-0.5445,28,-0.2024
ENSG00000171735,CAMTA1,149,-1.4200,368,0.08618,627,0.98235,382,0.23137,390,0.18044,272,-0.3896
ENSG00000049245,VAMP3,150,2.73201,39,-0.3262,28,-0.8035,10,-2.8467,32,-0.6084,39,-0.3185
ENSG00000049246,PER3,71,1.36040,35,-0.0391,29,-0.3294,22,-1.0021,32,-0.1579,32,-0.1690
ENSG00000116288,PARK7,210,-0.5896,136,-1.1952,175,-0.8162,381,0.68335,314,0.10118,378,0.40656
ENSG00000116285,ERRFI1,18,-0.5836,22,-0.2505,26,0.03490,33,0.66685,20,-0.3515,19,-0.4520
ENSG00000162426,SLC45A1,5,-2.5613,30,0.11302,40,0.57761,44,1.25233,11,-1.3924,15,-0.9156
ENSG00000142599,RERE,122,0.04449,168,0.56137,147,0.33903,97,-0.4576,118,-0.0173,125,0.08148
ENSG00000074800,ENO1,323,-0.6293,306,-0.6551,290,-0.7354,586,0.61620,290,-0.7332,763,0.82370
ENSG00000171612,SLC25A33,23,-0.4989,31,0.00704,10,-1.7245,29,-0.1174,15,-1.0957,88,1.85475
ENSG00000171603,CLSTN1,168,-2.1569,418,-0.6577,941,0.64428,960,1.19423,378,-0.8131,442,-0.5698
ENSG00000178585,CTNNBIP1,28,-0.2400,12,-1.4661,36,0.18321,31,-0.0828,39,0.31607,54,0.84931
ENSG00000162441,LZIC,122,1.21485,77,0.25123,51,-0.3928,41,-1.0159,67,0.02972,58,-0.2003
ENSG00000162444,RBP7,66,3.75094,2,-2.6873,10,-0.8257,2,-3.6953,11,-0.5832,6,-1.6099
ENSG00000130939,UBE4B,57,0.37557,52,0.19466,42,-0.1525,46,-0.0078,29,-0.7014,41,-0.1900
ENSG00000054523,KIF1B,500,0.37691,587,0.59772,522,0.40194,302,-0.6632,405,-0.0113,357,-0.2140
ENSG00000142657,PGD,47,-0.3215,37,-0.6731,82,0.59497,75,0.74717,33,-0.8243,21,-1.5189
ENSG00000241563,CORT,5,-4.6167,0,-7.7930,822,4.61755,40,-1.9738,84,-0.4594,42,-1.4989
ENSG00000160049,DFFA,86,0.89569,78,0.59190,49,-0.1488,36,-0.8828,45,-0.2929,54,-0.0109
ENSG00000142655,PEX14,11,-0.7414,8,-1.1511,28,0.71615,22,0.54837,15,-0.2786,16,-0.1618
ENSG00000120948,TARDBP,107,0.41263,111,0.42650,77,-0.1784,76,-0.2775,61,-0.5331,90,0.07593
ENSG00000271895,AL109811.2,12,-0.6642,39,1.32015,34,1.07159,17,-0.1462,9,-1.0168,5,-1.8820
ENSG00000116649,SRM,39,-0.5404,20,-1.4586,22,-1.3424,76,1.00015,36,-0.6095,71,0.46729
ENSG00000171824,EXOSC10,45,0.20448,80,1.15907,57,0.57667,33,-0.4507,18,-1.2096,24,-0.7565
ENSG00000198793,MTOR,30,-0.5581,30,-0.5053,45,0.12696,53,0.61751,24,-0.8334,46,0.14941
ENSG00000120942,UBIAD1,29,1.50035,23,0.82714,9,-0.5809,8,-0.9824,5,-1.3564,8,-0.8507
ENSG00000116661,FBXO2,140,-0.4878,85,-1.2101,61,-1.6949,225,0.50481,120,-0.6826,405,1.33415
ENSG00000132879,FBXO44,27,-1.6727,82,0.16957,69,-0.1043,109,1.11285,29,-1.4272,68,-0.1264
ENSG00000116670,MAD2L2,31,1.34428,5,-1.5579,14,-0.1165,12,-0.5427,9,-0.8221,17,0.14318
ENSG00000177000,MTHFR,9,-0.9675,47,1.86211,18,0.23579,12,-0.5621,13,-0.2918,14,-0.1864
ENSG00000011021,CLCN6,41,-0.4980,35,-0.7059,67,0.33585,69,0.59035,44,-0.3353,44,-0.3346
ENSG00000116685,KIAA2013,42,0.27326,43,0.26726,51,0.55212,31,-0.3075,28,-0.4129,30,-0.2992
ENSG00000083444,PLOD1,32,0.95998,4,-2.1949,23,0.27550,14,-0.6924,24,0.31128,23,0.25875
ENSG00000116688,MFN2,64,-0.8673,104,-0.0327,133,0.37060,130,0.53479,76,-0.5238,98,-0.1183
ENSG00000116691,MIIP,12,-0.2475,28,1.16450,21,0.64529,10,-0.7281,11,-0.4026,16,0.21308
ENSG00000048707,VPS13D,52,-0.6385,63,-0.2663,59,-0.3662,92,0.53108,86,0.21860,69,-0.1234
ENSG00000162496,DHRS3,16,-0.3284,26,0.51593,13,-0.5436,19,-0.0190,5,-2.0569,39,1.19853
ENSG00000116731,PRDM2,131,-0.7624,292,0.58348,319,0.73840,214,0.11160,172,-0.2733,142,-0.5719
ENSG00000189337,KAZN,109,0.63987,84,0.11632,71,-0.1382,77,-0.0346,57,-0.4798,41,-1.0062
ENSG00000142634,EFHD2,21,-2.1753,101,0.34701,163,1.16181,76,-0.1544,130,0.76007,75,-0.1389
ENSG00000116138,DNAJC16,23,-0.5959,40,0.32491,49,0.66506,33,0.04727,30,-0.1077,28,-0.2630
ENSG00000197312,DDI2,31,-0.2539,47,0.43647,60,0.85222,31,-0.2966,47,0.42752,17,-1.1692
ENSG00000116786,PLEKHM2,61,-0.9011,88,-0.2409,48,-1.1801,117,0.31306,135,0.43745,171,0.83523
ENSG00000065526,SPEN,256,0.90286,337,1.25686,229,0.58486,83,-1.3525,109,-0.6039,86,-0.9708
ENSG00000116809,ZBTB17,22,0.10978,14,-0.5467,26,0.37842,20,-0.0119,13,-0.6983,26,0.40875
ENSG00000037637,FBXO42,13,-0.3351,23,0.62944,15,-0.0456,18,0.28944,7,-1.1269,15,-0.1098
ENSG00000055070,SZRD1,46,1.07067,25,-0.0695,10,-1.4069,20,-0.6495,22,-0.2811,37,0.52351
ENSG00000219481,NBPF1,39,1.71499,34,1.14434,12,-0.5034,8,-1.4428,8,-1.1585,6,-1.6142
ENSG00000159363,ATP13A2,23,-2.3490,25,-2.0652,65,-0.6475,171,1.76134,89,-0.1538,76,-0.4120
ENSG00000117118,SDHB,50,-0.5146,20,-1.8658,39,-0.8758,99,1.06036,58,-0.2547,66,-0.0394
ENSG00000117115,PADI2,330,3.05507,99,0.01742,55,-0.8974,12,-3.5746,47,-1.1163,64,-0.6581
ENSG00000179051,RCC2,21,-0.2850,24,-0.0510,17,-0.6218,29,0.37789,28,0.15539,23,-0.1460
ENSG00000074964,ARHGEF10L,9,-0.6793,18,0.46382,4,-1.7925,12,-0.3050,20,0.63765,28,1.19803
ENSG00000117154,IGSF21,16,-2.3730,57,-0.2987,157,1.39441,93,0.80515,35,-1.0306,38,-0.9220
ENSG00000159423,ALDH4A1,26,0.35643,22,0.09598,12,-0.8824,15,-0.6601,17,-0.3419,46,1.32072
ENSG00000127481,UBR4,44,0.08037,74,0.92257,42,-0.0073,41,-0.0768,30,-0.5136,24,-0.8534
ENSG00000127463,EMC1,26,-0.5050,42,0.29908,39,0.19608,44,0.65141,15,-1.2564,21,-0.7719
ENSG00000053372,MRTO4,21,-0.9446,40,0.13852,37,0.02399,46,0.60434,33,-0.1496,29,-0.3506
ENSG00000053371,AKR7A2,35,0.21865,30,-0.0571,23,-0.4584,22,-0.7234,28,-0.1983,72,1.40558
ENSG00000077549,CAPZB,130,-0.4997,142,-0.3216,177,0.03437,222,0.64519,120,-0.5803,150,-0.2337
ENSG00000173436,MICOS10,187,-0.7321,109,-1.4853,117,-1.3727,324,0.31057,554,1.11316,410,0.59254
ENSG00000158747,NBL1,39,-1.7464,93,-0.3168,162,0.58353,136,0.45541,126,0.16112,134,0.26724
ENSG00000169914,OTUD3,9,-1.1126,20,0.23701,17,0.02819,22,0.71114,15,-0.1576,11,-0.6442
ENSG00000162545,CAMK2N1,1216,-0.3765,996,-0.6497,915,-0.7807,1563,0.09039,1753,0.24513,2714,0.98377
ENSG00000090432,MUL1,21,0.34376,14,-0.3025,27,0.72557,18,0.06873,15,-0.2091,3,-2.2963
ENSG00000183114,FAM43B,4,-2.4889,26,0.43893,46,1.43660,21,0.15976,21,0.06728,12,-0.6976
ENSG00000158828,PINK1,169,-1.4839,185,-1.2424,359,-0.2243,591,1.00036,531,0.40570,357,-0.2315
ENSG00000244038,DDOST,25,-0.2390,15,-0.9602,39,0.52389,38,0.79426,11,-1.4116,16,-0.8748
ENSG00000117245,KIF17,0,-4.8021,3,-2.6622,23,0.11254,36,1.54307,28,0.42921,16,-0.4277
ENSG00000189410,SH2D5,1,-4.6345,9,-1.8142,25,-0.3380,56,1.96419,15,-1.1319,33,0.12440
ENSG00000127483,HP1BP3,368,0.64311,425,0.79659,366,0.54495,160,-1.0495,252,-0.0613,205,-0.3918
ENSG00000075151,EIF4G3,257,-0.1234,278,0.01112,522,1.06741,286,0.08459,189,-0.5919,113,-1.3793
ENSG00000117298,ECE1,28,0.95944,22,0.46737,9,-0.9485,7,-1.7487,25,0.65812,29,0.88807
ENSG00000076864,RAP1GAP,37,-1.9060,139,0.23443,212,0.94522,157,0.71715,76,-0.7097,71,-0.8224
ENSG00000090686,USP48,129,0.55269,167,0.91417,128,0.47308,70,-0.6862,87,-0.1650,40,-1.3479
ENSG00000070831,CDC42,215,0.23786,156,-0.3033,122,-0.6799,230,0.51268,119,-0.7251,140,-0.4672
ENSG00000184677,ZBTB40,11,-0.2059,29,1.35106,14,0.16090,12,-0.2319,6,-1.0442,10,-0.4074
ENSG00000173372,C1QA,16,0.14742,15,0.00177,10,-0.5453,6,-1.6967,14,-0.0654,52,2.24961
ENSG00000173369,C1QB,29,0.94436,7,-1.4218,12,-0.5448,8,-1.6311,15,-0.2345,54,1.95576
ENSG00000133216,EPHB2,22,0.75930,18,0.31016,21,0.55999,13,-0.3234,9,-0.6852,4,-1.9161
ENSG00000004487,KDM1A,33,-0.8277,55,0.06632,75,0.56666,63,0.43209,38,-0.5338,46,-0.2361
ENSG00000169641,LUZP1,26,-2.7299,149,0.05122,163,0.19320,199,0.87374,190,0.44635,96,-0.6444
ENSG00000125944,HNRNPR,195,0.49817,161,0.12351,208,0.54680,123,-0.4419,114,-0.4200,127,-0.2484
ENSG00000117318,ID3,51,2.00565,30,0.62739,0,-5.7254,1,-4.7488,6,-1.7148,60,1.90255
ENSG00000142676,RPL11,716,0.75473,296,-0.7633,234,-1.1226,363,-0.6297,729,0.67987,681,0.56427
ENSG00000011007,ELOA,35,0.30850,44,0.62133,26,-0.2298,25,-0.4316,33,0.14844,27,-0.1567
ENSG00000057757,PITHD1,90,-0.7173,86,-0.7247,91,-0.6362,177,0.68577,178,0.43057,124,-0.1575
ENSG00000011009,LYPLA2,8,-1.7752,39,0.72207,26,0.07246,29,0.35861,24,-0.0654,29,0.23414
ENSG00000117308,GALE,4,-1.4892,11,-0.0419,10,-0.2452,18,1.13677,3,-1.8559,13,0.16630
ENSG00000117305,HMGCL,22,0.84619,5,-1.5405,2,-2.5479,14,0.06762,14,-0.0343,18,0.36666
ENSG00000189266,PNRC2,76,0.42593,47,-0.4006,67,0.17658,57,-0.1457,43,-0.5323,68,0.18309
ENSG00000188529,SRSF10,92,0.34957,85,0.17514,121,0.76934,64,-0.3834,56,-0.4876,58,-0.4323
ENSG00000001461,NIPAL3,337,1.32113,163,-0.1112,244,0.54157,121,-0.8086,104,-0.8066,83,-1.1520
ENSG00000133226,SRRM1,386,1.04808,583,1.64294,211,-0.1068,117,-1.3562,110,-1.1098,118,-1.0032
ENSG00000169504,CLIC4,277,3.25559,66,-0.2711,34,-1.2574,8,-3.8399,63,-0.3271,31,-1.3917
ENSG00000117614,SYF2,157,0.73364,97,-0.1608,108,0.01583,82,-0.5958,113,0.08675,110,0.05261
ENSG00000117616,RSRP1,127,0.31605,268,1.58232,175,0.81112,77,-0.7330,15,-2.9245,52,-1.1041
ENSG00000183726,TMEM50A,107,0.74755,46,-0.7007,72,-0.0167,73,0.01815,53,-0.4785,46,-0.6877
ENSG00000204178,MACO1,62,0.25389,70,0.43612,84,0.73995,49,-0.1949,33,-0.7286,28,-1.0106
ENSG00000157978,LDLRAP1,55,3.47773,18,0.31859,2,-2.7680,1,-3.7584,4,-1.7239,7,-1.1734
ENSG00000117643,MAN1C1,12,-1.7681,28,-0.3138,5,-2.6994,60,1.73300,37,0.10387,12,-1.5314
ENSG00000162430,SELENON,32,0.42518,23,-0.1638,34,0.44342,14,-1.1625,23,-0.1774,54,1.24318
ENSG00000117640,MTFR1L,41,-0.5656,67,0.24640,39,-0.6200,68,0.40931,58,0.02413,58,0.00808
ENSG00000117632,STMN1,1059,-0.2256,608,-1.0606,1325,0.15620,1604,0.77818,903,-0.4525,656,-0.9447
ENSG00000158008,EXTL1,4,-3.2635,34,0.01764,43,0.39040,45,0.72637,24,-0.5673,52,0.69170
ENSG00000175087,PDIK1L,10,-0.4799,12,-0.2011,23,0.81828,14,0.02170,20,0.53735,7,-0.9733
ENSG00000142684,ZNF593,14,-1.3369,15,-1.1177,31,-0.0860,45,0.89498,37,0.20759,32,-0.0120
ENSG00000142669,SH3BGRL3,163,-0.0129,85,-1.0230,141,-0.2393,184,0.28367,146,-0.1843,208,0.38242
ENSG00000158062,UBXN11,6,-1.7060,18,-0.0434,13,-0.5382,21,0.33755,27,0.59422,30,0.77279
ENSG00000117682,DHDDS,9,-1.2306,5,-1.9098,11,-0.7982,29,1.36039,11,-0.7346,22,0.31078
ENSG00000198830,HMGN2,321,1.28896,156,-0.1272,171,0.01988,97,-1.1550,120,-0.5355,212,0.37051
ENSG00000117713,ARID1A,104,0.55592,163,1.25699,91,0.25733,52,-0.8540,41,-0.9895,63,-0.3199
ENSG00000204160,ZDHHC18,13,-0.3357,7,-1.1856,25,0.69795,19,0.45071,11,-0.5407,14,-0.2096
ENSG00000142751,GPN2,17,-0.0123,29,0.91665,16,-0.0730,19,0.29431,6,-1.4684,7,-1.2701
ENSG00000090273,NUDC,135,-0.7503,123,-0.8217,122,-0.8352,266,0.63989,275,0.44904,233,0.17730
ENSG00000253368,TRNP1,8,-2.4929,12,-1.7347,7,-2.4524,64,1.47383,76,1.09575,25,-0.6994
ENSG00000090020,SLC9A1,2,-3.1664,10,-0.6260,8,-0.9507,24,1.39859,20,0.47912,12,-0.3553
ENSG00000142784,WDTC1,20,-0.1366,32,0.59294,13,-0.7883,21,-0.1354,23,0.07199,28,0.40786
ENSG00000186501,TMEM222,39,-0.1970,51,0.26459,67,0.71637,41,-0.0975,20,-1.1471,51,0.25640
ENSG00000158195,WASF2,176,2.31481,82,0.42750,69,0.14852,10,-3.2877,22,-1.5901,67,0.10143
ENSG00000126705,AHDC1,15,-1.4404,72,1.16243,84,1.46012,32,-0.2311,11,-1.7795,32,-0.1896
ENSG00000126709,IFI6,54,-0.6874,92,0.19606,88,0.13355,99,0.51305,55,-0.6115,72,-0.1903
ENSG00000009780,FAM76A,25,0.23636,28,0.34646,51,1.40509,10,-1.5121,19,-0.2460,33,0.62447
ENSG00000117758,STX12,110,0.06661,67,-0.7219,129,0.31923,120,0.30295,91,-0.2525,75,-0.5388
ENSG00000117751,PPP1R8,44,0.72546,16,-0.9599,38,0.37074,29,-0.0472,23,-0.4036,17,-0.8456
ENSG00000130775,THEMIS2,22,1.38813,20,1.01763,18,0.85398,6,-1.2977,4,-1.4314,0,-7.3281
ENSG00000117748,RPA2,31,-0.5681,23,-0.9302,73,0.88957,51,0.45668,21,-1.1110,44,0.05052
ENSG00000126698,DNAJC8,252,0.28139,218,0.01836,243,0.19200,204,-0.1305,196,-0.1531,181,-0.2798
ENSG00000130770,ATP5IF1,188,-1.3780,106,-2.1334,202,-1.1703,673,1.32974,490,0.21165,430,0.00386
ENSG00000204138,PHACTR4,81,1.52697,110,1.83440,24,-0.7532,10,-2.4255,24,-0.7395,24,-0.7291
ENSG00000180098,TRNAU1AP,21,0.24359,29,0.78487,29,0.78382,15,-0.4042,11,-0.7176,9,-1.0161
ENSG00000120656,TAF12,15,0.40593,2,-2.3894,14,0.22668,12,0.02351,11,-0.1423,15,0.29517
ENSG00000198492,YTHDF2,68,-0.3646,56,-0.6238,90,0.12356,112,0.78969,46,-0.9135,59,-0.5386
ENSG00000159023,EPB41,10,-0.6931,31,1.18350,5,-1.5075,15,0.02584,17,0.15168,17,0.19421
ENSG00000116350,SRSF4,102,0.42966,112,0.53191,100,0.33686,65,-0.4983,61,-0.4475,73,-0.1565
ENSG00000116353,MECR,13,-1.2617,15,-0.8849,22,-0.3248,40,1.06261,24,-0.1870,26,-0.0584
ENSG00000060656,PTPRU,6,-1.6530,30,0.93563,81,3.01700,9,-1.3247,1,-4.2485,10,-0.7606
ENSG00000162511,LAPTM5,52,0.77722,34,-0.0342,16,-1.1610,12,-1.9413,25,-0.4955,115,2.17344
ENSG00000162512,SDC3,91,0.04437,170,1.08984,106,0.28782,61,-0.8002,47,-0.9721,137,0.71079
ENSG00000134644,PUM1,104,-0.4754,218,0.77985,281,1.22739,107,-0.5432,103,-0.4412,124,-0.1433
ENSG00000060688,SNRNP40,29,0.72709,19,-0.0287,45,1.40827,11,-1.1088,21,0.14148,7,-1.5715
ENSG00000121766,ZCCHC17,132,-0.1288,108,-0.4263,212,0.66371,143,0.02528,128,-0.1568,132,-0.1155
ENSG00000121769,FABP3,24,-1.7761,21,-1.8862,84,0.25181,116,1.40452,58,-0.3332,48,-0.6393
ENSG00000162517,PEF1,42,-0.7414,31,-1.1501,63,-0.0406,91,0.94246,50,-0.4116,56,-0.2393
ENSG00000084636,COL16A1,84,0.88214,127,1.48253,54,0.03629,26,-1.4368,35,-0.6706,44,-0.3051
ENSG00000121753,ADGRB2,37,-2.3335,140,-0.1938,182,0.22231,230,1.05571,91,-0.8624,176,0.16834
ENSG00000184007,PTP4A2,1126,2.06719,486,0.16055,439,-0.0041,148,-2.0946,394,-0.1749,235,-0.9742
ENSG00000121774,KHDRBS1,168,0.34626,133,-0.0776,148,0.10024,138,-0.0156,102,-0.4849,120,-0.2363
ENSG00000025800,KPNA6,92,-0.0916,100,0.03878,179,1.02278,100,0.05943,71,-0.4972,39,-1.3983
ENSG00000084652,TXLNA,32,0.43291,36,0.60404,16,-0.6671,22,-0.2877,23,-0.1579,23,-0.0988
ENSG00000160050,CCDC28B,14,-0.3742,13,-0.5039,6,-1.5207,19,0.14089,21,0.26096,34,1.05176
ENSG00000084623,EIF3I,73,-0.3836,35,-1.4537,68,-0.4522,122,0.80489,90,-0.0065,79,-0.2131
ENSG00000116478,HDAC1,29,1.76434,19,0.65670,13,0.08718,3,-2.4030,6,-1.1592,16,0.38607
ENSG00000175130,MARCKSL1,1125,3.00180,230,-0.6012,260,-0.4102,58,-3.1495,197,-0.8373,199,-0.8195
ENSG00000160058,BSDC1,57,0.13724,62,0.24573,100,1.05298,40,-0.6207,39,-0.4968,56,0.08087
ENSG00000160062,ZBTB8A,14,-0.0685,22,0.67034,37,1.52979,10,-0.8052,8,-0.9794,12,-0.2613
ENSG00000176261,ZBTB8OS,30,-0.4757,31,-0.3723,13,-1.7053,42,0.17457,72,1.00638,49,0.34647
ENSG00000162521,RBBP4,116,0.06240,134,0.29707,139,0.35140,116,0.08371,75,-0.6271,75,-0.6159
ENSG00000134684,YARS,53,-1.2659,30,-2.0031,66,-0.8539,187,1.52801,105,-0.1289,80,-0.5426
ENSG00000116497,S100PBP,34,1.50187,14,-0.2043,10,-0.7157,11,-0.7678,14,-0.1820,10,-0.7106
ENSG00000160097,FNDC5,4,-2.6908,7,-1.8523,7,-1.8211,44,1.82174,33,0.44620,17,-0.5883
ENSG00000121905,HPCA,16,-3.2353,28,-2.3232,95,-0.4953,242,2.07951,67,-1.0408,118,-0.1669
ENSG00000121900,TMEM54,31,0.03487,14,-1.2370,16,-1.0297,31,0.02581,50,0.80088,41,0.46522
ENSG00000116514,RNF19B,9,-0.7259,11,-0.2738,16,0.28297,18,0.78216,5,-1.3666,12,-0.1677
ENSG00000004455,AK2,73,1.14173,53,0.42243,20,-1.0790,28,-0.8080,34,-0.2658,43,0.07155
ENSG00000142920,AZIN2,30,0.40160,16,-0.6298,16,-0.6531,27,0.27159,33,0.51059,8,-1.5653
ENSG00000160094,ZNF362,24,0.50784,17,-0.1378,10,-0.8464,18,-0.0222,19,0.05926,16,-0.2079
ENSG00000134686,PHC2,74,0.63333,49,-0.1298,70,0.44107,44,-0.4066,38,-0.5113,48,-0.1614
ENSG00000163866,SMIM12,30,-0.8244,25,-1.0207,36,-0.4889,77,1.34728,35,-0.5346,25,-1.0581
ENSG00000116544,DLGAP3,6,-2.5511,14,-1.1868,34,0.21961,42,0.92600,15,-1.1016,57,1.07746
ENSG00000163867,ZMYM6,18,-0.3437,48,1.31914,20,-0.1460,21,-0.1058,16,-0.4446,15,-0.5819
ENSG00000116560,SFPQ,315,0.35814,556,1.29451,304,0.25744,197,-0.6057,168,-0.6744,145,-0.9005
