Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to13,Feature log2 fold change topic 11to13
ENSG00000070831,CDC42,221,0.28013,140,-0.4295,270,0.75181,122,-0.6399,166,-0.1793,129,-0.5573,181,-0.0398,158,-0.2946
ENSG00000173372,C1QA,66,1.56388,62,1.45831,5,-2.5154,0,-7.0652,5,-2.5620,66,1.57307,45,0.90935,22,-0.2482
ENSG00000159189,C1QC,36,0.72281,17,-0.4323,6,-2.1071,4,-2.4605,10,-1.3494,73,1.92249,72,1.89632,20,-0.2857
ENSG00000173369,C1QB,104,2.01499,38,0.27962,7,-2.4134,2,-3.8668,8,-2.1157,74,1.39995,41,0.40975,38,0.35280
ENSG00000004487,KDM1A,33,-1.1388,84,0.26169,96,0.58073,94,0.44649,84,0.28957,52,-0.4844,46,-0.6581,53,-0.5220
ENSG00000169641,LUZP1,38,-2.3071,298,0.80985,257,0.70787,292,0.77471,240,0.50862,47,-2.0247,70,-1.4281,114,-0.8030
ENSG00000125944,HNRNPR,223,0.68897,165,0.21121,96,-0.7203,223,0.69183,227,0.80444,114,-0.3589,69,-1.1245,114,-0.4304
ENSG00000142676,RPL11,1179,1.28119,370,-0.5777,263,-1.2379,426,-0.3606,315,-0.8745,734,0.49253,985,0.97534,627,0.29449
ENSG00000011007,ELOA,42,0.81677,21,-0.3056,21,-0.2934,17,-0.5583,38,0.73430,37,0.61281,4,-2.4810,22,-0.2751
ENSG00000057757,PITHD1,76,-0.9134,99,-0.5094,191,0.63915,130,-0.0909,128,-0.1252,78,-0.8630,141,0.03310,147,0.12153
ENSG00000011009,LYPLA2,5,-2.0648,28,0.38035,29,0.53683,4,-2.3973,22,-0.0193,9,-1.3543,12,-0.9299,33,0.76855
ENSG00000189266,PNRC2,75,0.28296,79,0.37078,35,-0.9877,62,-0.0215,95,0.73567,64,0.04229,53,-0.2465,61,-0.0362
ENSG00000188529,SRSF10,94,0.45959,162,1.37756,51,-0.5773,72,0.05701,83,0.30163,75,0.10815,39,-0.8955,49,-0.6164
ENSG00000001461,NIPAL3,276,1.31429,59,-1.1130,154,0.42708,158,0.39457,165,0.50737,49,-1.3783,107,-0.2226,54,-1.4010
ENSG00000133226,SRRM1,379,0.91352,555,1.57386,136,-0.8073,293,0.49327,232,0.13796,185,-0.2269,104,-1.0973,133,-0.8397
ENSG00000169504,CLIC4,273,3.73356,39,-0.0140,7,-2.8042,12,-1.7788,8,-2.4427,34,-0.2394,95,1.43269,8,-2.4747
ENSG00000117614,SYF2,176,0.45696,213,0.76492,73,-1.0340,101,-0.4158,165,0.39180,207,0.71705,80,-0.7599,130,-0.0328
ENSG00000117616,RSRP1,106,0.77666,249,2.31287,53,-0.3587,33,-1.0112,48,-0.5092,48,-0.4499,60,-0.1181,31,-1.2663
ENSG00000183726,TMEM50A,127,0.82845,81,0.11849,68,-0.1920,31,-1.3219,94,0.39039,53,-0.5400,84,0.17380,70,-0.1288
ENSG00000204178,MACO1,70,0.13411,71,0.15283,50,-0.4524,81,0.36774,131,1.31758,34,-0.9413,27,-1.3134,47,-0.5646
ENSG00000117643,MAN1C1,4,-3.2531,61,0.66170,43,0.15709,33,-0.2706,42,0.07090,18,-1.2125,0,-7.3333,63,0.93188
ENSG00000162430,SELENON,24,0.27725,19,-0.0726,17,-0.2819,4,-2.3170,18,-0.2078,47,1.34198,13,-0.6786,23,0.23233
ENSG00000117640,MTFR1L,43,-0.5198,57,-0.0850,67,0.21362,57,-0.0629,51,-0.2651,44,-0.4579,33,-0.8988,80,0.57502
ENSG00000117632,STMN1,1387,-0.1549,443,-1.8728,2096,0.62045,2308,0.65334,1561,0.03238,594,-1.4387,1923,0.35835,1284,-0.3226
ENSG00000158008,EXTL1,3,-3.4431,29,-0.3899,48,0.47047,32,-0.2406,55,0.70083,19,-0.9923,33,-0.1918,38,0.04839
ENSG00000142684,ZNF593,14,-1.2059,12,-1.3603,45,0.73235,13,-1.3273,20,-0.7080,31,-0.0269,55,0.90322,35,0.21545
ENSG00000142669,SH3BGRL3,145,-0.0455,106,-0.5338,170,0.24435,83,-0.8916,98,-0.6975,160,0.10436,267,0.93179,159,0.11710
ENSG00000158062,UBXN11,4,-2.3055,19,-0.1421,20,-0.0248,19,-0.1225,15,-0.5288,40,1.03914,9,-1.1816,29,0.65490
ENSG00000117682,DHDDS,6,-1.5970,24,0.32451,25,0.48356,3,-2.5531,19,-0.0327,16,-0.3051,27,0.53547,21,0.13138
ENSG00000198830,HMGN2,389,1.33383,158,-0.1324,96,-1.0130,153,-0.1797,142,-0.3149,315,0.97291,194,0.18918,151,-0.2365
ENSG00000117713,ARID1A,63,-0.1387,132,1.04111,56,-0.3684,93,0.46326,90,0.45270,52,-0.4408,20,-1.8439,63,-0.1584
ENSG00000204160,ZDHHC18,4,-2.5001,17,-0.4681,38,1.03139,10,-1.1794,28,0.34740,7,-1.6756,16,-0.5924,25,0.13194
ENSG00000142751,GPN2,6,-1.4180,18,0.07979,14,-0.3794,10,-0.7138,19,0.15120,8,-1.0775,22,0.39184,26,0.83451
ENSG00000090273,NUDC,164,-0.5044,142,-0.7230,243,0.12744,293,0.40239,204,-0.1780,175,-0.3977,251,0.15687,263,0.28342
ENSG00000253368,TRNP1,19,-1.4576,24,-1.1591,81,0.91404,89,0.85934,26,-1.0745,17,-1.6956,45,-0.2295,61,0.31075
ENSG00000090020,SLC9A1,4,-2.1323,26,0.41722,32,0.99068,29,0.57107,19,-0.0247,6,-1.6142,18,-0.1508,13,-0.7699
ENSG00000142784,WDTC1,14,-0.5201,34,0.84868,16,-0.4205,13,-0.6480,20,0.04834,29,0.61812,10,-0.9651,23,0.29030
ENSG00000186501,TMEM222,25,-0.6710,52,0.46670,40,0.08769,39,0.01910,47,0.32935,32,-0.2961,25,-0.6347,38,-0.0313
ENSG00000158195,WASF2,167,2.30082,74,0.82975,10,-2.3567,43,-0.0211,32,-0.4976,83,1.02682,52,0.26626,18,-1.4595
ENSG00000126705,AHDC1,21,-1.0864,45,0.06898,38,-0.2224,39,-0.1846,68,0.80421,35,-0.3334,35,-0.3520,46,0.11092
ENSG00000126709,IFI6,86,-0.1463,93,-0.0357,166,1.15946,25,-1.9976,83,-0.2270,98,0.04168,57,-0.7696,71,-0.5196
ENSG00000009780,FAM76A,25,0.26069,39,0.96632,15,-0.5493,16,-0.4464,32,0.75039,14,-0.6200,24,0.22243,15,-0.5796
ENSG00000117758,STX12,103,0.00180,67,-0.6527,120,0.29137,98,-0.0853,109,0.08790,104,0.00717,100,-0.0434,97,-0.1122
ENSG00000117751,PPP1R8,31,0.38087,19,-0.3937,27,0.18318,5,-2.1316,21,-0.2010,38,0.71777,24,-0.0168,25,0.04645
ENSG00000117748,RPA2,40,-0.1407,46,0.07343,46,0.07247,23,-0.9862,53,0.30943,46,0.07555,41,-0.1161,45,0.01747
ENSG00000126698,DNAJC8,366,0.49574,303,0.19444,235,-0.2430,327,0.31603,294,0.15759,270,0.01478,192,-0.5137,244,-0.1730
ENSG00000130770,ATP5IF1,256,-1.2740,290,-1.0915,827,0.66445,449,-0.4281,445,-0.4772,511,-0.2281,453,-0.4129,790,0.56659
ENSG00000204138,PHACTR4,71,2.14238,38,1.02751,8,-1.4264,33,0.75986,13,-0.6756,33,0.76478,3,-2.8439,11,-1.0827
ENSG00000180098,TRNAU1AP,23,0.50155,29,0.83764,19,0.22919,2,-2.9519,13,-0.3984,13,-0.4512,4,-2.0290,22,0.48245
ENSG00000198492,YTHDF2,64,-0.4421,87,0.02837,111,0.51220,80,-0.1145,112,0.46841,65,-0.4237,51,-0.7905,69,-0.3803
ENSG00000159023,EPB41,14,-0.5216,42,1.18952,20,0.03768,30,0.61017,15,-0.5030,17,-0.2907,15,-0.4102,17,-0.2571
ENSG00000116350,SRSF4,106,0.31553,158,0.96302,65,-0.5200,151,0.89099,86,-0.0169,93,0.11568,31,-1.5495,74,-0.2938
ENSG00000116353,MECR,15,-1.0964,5,-2.4739,51,1.04880,18,-0.7850,24,-0.4204,19,-0.7081,44,0.59112,32,0.06564
ENSG00000162511,LAPTM5,105,1.96017,26,-0.3455,6,-2.5496,13,-1.3369,8,-2.1262,75,1.35026,56,0.86844,37,0.27003
ENSG00000162512,SDC3,114,-0.1667,142,0.17101,101,-0.4270,58,-1.1819,140,0.16433,276,1.25953,107,-0.2728,125,-0.0296
ENSG00000134644,PUM1,90,-0.4968,169,0.48781,82,-0.7396,153,0.32906,202,0.87322,105,-0.2595,109,-0.2050,113,-0.1727
ENSG00000060688,SNRNP40,28,0.28322,13,-0.8523,26,0.19202,50,1.22381,25,0.14119,17,-0.4634,5,-2.3299,21,-0.2155
ENSG00000121766,ZCCHC17,182,0.39006,103,-0.5033,139,-0.0435,149,0.06854,182,0.42729,82,-0.8495,103,-0.4923,150,0.10248
ENSG00000121769,FABP3,29,-2.4318,37,-2.0475,293,1.50323,87,-0.8090,110,-0.4835,89,-0.7720,119,-0.3270,150,0.04334
ENSG00000162517,PEF1,27,-1.5533,37,-1.0787,105,0.64954,48,-0.7078,65,-0.2634,67,-0.1885,54,-0.5079,102,0.58834
ENSG00000084636,COL16A1,70,1.41288,20,-0.5472,10,-1.8281,8,-1.8480,36,0.34600,64,1.25567,27,-0.1446,30,0.07519
ENSG00000121753,ADGRB2,28,-2.7114,131,-0.4616,202,0.26448,82,-1.1692,262,0.70459,147,-0.2808,186,0.08212,196,0.19715
ENSG00000184007,PTP4A2,1188,2.28318,177,-0.8908,178,-1.0074,270,-0.2444,276,-0.2272,254,-0.3400,433,0.49841,235,-0.5371
ENSG00000121774,KHDRBS1,230,0.79498,147,0.07390,113,-0.3910,161,0.21751,159,0.21720,140,-0.0045,70,-1.0459,139,-0.0181
ENSG00000025800,KPNA6,79,-0.1714,105,0.27456,86,-0.0475,163,0.99150,134,0.74393,86,-0.0383,43,-1.0944,48,-1.0523
ENSG00000084652,TXLNA,34,0.55575,48,1.16109,22,-0.1318,17,-0.5033,22,-0.0937,20,-0.2180,36,0.68490,13,-0.9706
ENSG00000160050,CCDC28B,18,-0.4073,11,-1.2092,24,-0.0422,21,-0.2348,25,0.04854,39,0.75041,11,-1.1989,31,0.50145
