Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to13,Feature log2 fold change topic 7to13
ENSG00000177133,PRDM16-DT,69,2.30334,3,-2.8758,46,0.89872,9,-1.5131,11,-1.9735
ENSG00000158109,TPRG1L,161,-0.0524,39,-2.1727,101,-0.7525,120,-0.4929,201,0.69891
ENSG00000130764,LRRC47,47,-0.6841,24,-1.5817,69,-0.0004,63,-0.1454,86,0.79027
ENSG00000116198,CEP104,30,-0.3270,55,0.64800,53,0.58919,87,1.42115,27,-0.8215
ENSG00000196581,AJAP1,52,0.17213,29,-0.7512,11,-2.2105,61,0.37416,52,0.27316
ENSG00000069424,KCNAB2,220,0.74832,46,-1.7846,84,-0.8974,69,-1.1935,158,0.14499
ENSG00000116254,CHD5,272,-0.0957,331,0.22895,278,-0.0450,1204,2.52032,156,-1.4887
ENSG00000116251,RPL22,813,0.54025,983,0.74328,765,0.33857,402,-0.6613,491,-0.6381
ENSG00000116237,ICMT,32,-0.7115,11,-2.1703,84,0.91777,36,-0.4051,56,0.55638
ENSG00000097021,ACOT7,88,-1.3829,37,-2.5097,48,-2.1272,105,-0.9554,301,1.98973
ENSG00000215788,TNFRSF25,23,0.01080,0,-7.9921,41,0.91070,71,1.87416,17,-0.8186
ENSG00000171680,PLEKHG5,20,-0.3259,4,-2.7412,29,0.27155,29,0.27384,28,0.43293
ENSG00000162408,NOL9,30,0.08474,38,0.46376,31,0.16064,36,0.38109,25,-0.3815
ENSG00000162413,KLHL21,21,-0.2775,30,0.30660,55,1.29410,20,-0.3308,22,-0.3589
ENSG00000007923,DNAJC11,29,-0.2565,22,-0.6512,39,0.26609,43,0.38585,35,0.12324
ENSG00000171735,CAMTA1,338,-0.2644,250,-0.6871,323,-0.2929,670,0.86587,403,0.09868
ENSG00000049245,VAMP3,43,0.12615,115,1.74599,96,1.42686,22,-0.9088,23,-1.3811
ENSG00000049246,PER3,59,0.64944,64,0.66008,52,0.31619,60,0.56474,28,-1.0529
ENSG00000116288,PARK7,356,0.03552,291,-0.2834,310,-0.1877,169,-1.1025,386,0.33387
ENSG00000116285,ERRFI1,21,-0.6833,23,-0.4630,36,0.24547,42,0.45809,34,0.32035
ENSG00000162426,SLC45A1,13,-1.0859,4,-2.4231,4,-2.5592,25,0.05613,35,1.49810
ENSG00000142599,RERE,88,-0.5723,160,0.44773,143,0.26630,246,1.15567,108,-0.3241
ENSG00000074800,ENO1,699,0.57341,294,-0.8797,657,0.36065,168,-1.7103,511,-0.0690
ENSG00000171612,SLC25A33,97,1.75626,21,-1.0835,40,-0.1426,16,-1.4772,29,-1.0551
ENSG00000171603,CLSTN1,343,-1.0101,148,-2.1302,303,-1.0692,504,-0.2996,852,1.36313
ENSG00000178585,CTNNBIP1,62,1.21465,39,0.18896,59,0.83221,47,0.45650,17,-1.6502
ENSG00000162441,LZIC,65,0.25536,118,1.19564,70,0.34192,54,-0.0643,43,-0.7671
ENSG00000130939,UBE4B,36,-0.1463,38,-0.0513,20,-1.0310,44,0.16429,43,0.28913
ENSG00000054523,KIF1B,378,-0.0293,468,0.31138,285,-0.4603,545,0.55644,366,-0.1483
ENSG00000142657,PGD,42,-0.2997,24,-1.1264,87,0.88702,31,-0.7428,55,0.28070
ENSG00000241563,CORT,38,-1.3605,11,-2.9399,21,-2.1020,135,0.74112,117,1.31183
ENSG00000160049,DFFA,65,0.17899,70,0.25657,76,0.39526,124,1.19241,44,-0.8243
ENSG00000142655,PEX14,10,-1.2089,14,-0.5998,21,-0.0397,21,-0.0159,27,0.87755
ENSG00000120948,TARDBP,75,-0.2917,116,0.41835,101,0.20581,103,0.24161,86,-0.0746
ENSG00000116649,SRM,86,0.27657,43,-0.8152,78,0.07971,21,-1.8904,81,0.27485
ENSG00000171824,EXOSC10,26,-0.4269,25,-0.4123,81,1.49638,47,0.56840,28,-0.4636
ENSG00000198793,MTOR,36,-0.4072,17,-1.4497,42,-0.1073,53,0.25406,52,0.50667
ENSG00000116661,FBXO2,287,0.81488,45,-2.1664,101,-0.9752,77,-1.3735,201,0.15197
ENSG00000132879,FBXO44,67,-0.2786,15,-2.4094,42,-0.9483,71,-0.1627,98,0.83598
ENSG00000011021,CLCN6,49,-0.2859,32,-0.9012,49,-0.2400,94,0.78072,61,0.17639
ENSG00000116685,KIAA2013,22,-0.4905,28,-0.0988,55,0.98458,32,0.14114,29,-0.0714
ENSG00000116688,MFN2,98,-0.2937,94,-0.2998,101,-0.1967,75,-0.6489,132,0.49453
ENSG00000048707,VPS13D,58,-0.2750,33,-1.0796,87,0.38662,104,0.67949,69,0.05202
ENSG00000116731,PRDM2,171,-0.2504,228,0.23535,112,-0.8642,388,1.10234,187,-0.1431
ENSG00000189337,KAZN,69,-0.1262,80,0.12376,25,-1.6369,54,-0.4721,85,0.47404
ENSG00000142634,EFHD2,42,-0.8101,131,1.10932,30,-1.1745,125,1.02389,64,-0.1010
ENSG00000116138,DNAJC16,20,-1.2637,11,-1.9511,66,0.74573,30,-0.4773,53,0.92357
ENSG00000197312,DDI2,19,-1.1047,52,0.55166,43,0.25539,62,0.84179,37,0.05727
ENSG00000116786,PLEKHM2,215,1.36987,69,-0.7551,122,0.11848,135,0.27461,72,-1.1685
ENSG00000065526,SPEN,79,-0.7744,229,1.00405,149,0.30629,307,1.50763,96,-0.6726
ENSG00000055070,SZRD1,35,0.56362,22,-0.3047,82,1.89707,11,-1.2693,17,-1.0566
ENSG00000159363,ATP13A2,89,-0.1330,21,-2.2749,52,-0.9167,102,0.10847,114,0.63000
ENSG00000117118,SDHB,95,0.02761,35,-1.4884,52,-0.9036,20,-2.2651,118,0.84711
ENSG00000117115,PADI2,84,1.08737,144,1.76368,99,1.11585,40,-0.3193,16,-2.4637
ENSG00000179051,RCC2,18,-0.7540,12,-1.2573,55,1.10115,22,-0.3343,31,0.37242
ENSG00000117154,IGSF21,56,-0.2695,31,-1.1372,43,-0.6179,27,-1.3003,82,0.86501
ENSG00000159423,ALDH4A1,74,2.03630,4,-2.9326,12,-1.3558,19,-0.6929,20,-1.0715
ENSG00000127481,UBR4,37,-0.0259,27,-0.5230,47,0.32590,116,1.86071,27,-0.8636
ENSG00000127463,EMC1,30,-0.2727,21,-0.7817,75,1.21021,38,0.11695,34,-0.1628
ENSG00000053372,MRTO4,50,0.20391,27,-0.7876,33,-0.4771,29,-0.6479,49,0.30365
ENSG00000053371,AKR7A2,47,0.33964,30,-0.4167,123,1.92042,20,-0.9749,28,-0.8944
ENSG00000077549,CAPZB,154,-0.5722,154,-0.4912,305,0.58124,187,-0.1892,235,0.34560
ENSG00000173436,MICOS10,488,0.57281,295,-0.3311,279,-0.4144,297,-0.3158,344,-0.1777
ENSG00000158747,NBL1,159,0.25283,60,-1.2674,183,0.43239,141,0.01965,135,-0.0824
ENSG00000169914,OTUD3,12,-1.0674,14,-0.7805,15,-0.6120,60,1.58774,24,0.22255
ENSG00000162545,CAMK2N1,4350,1.32390,1438,-0.7481,1439,-0.7466,1324,-0.8727,1882,-0.6114
ENSG00000158828,PINK1,457,0.11056,233,-0.9401,352,-0.3130,221,-1.0223,490,0.43173
ENSG00000244038,DDOST,12,-1.5431,31,-0.0010,63,1.15839,6,-2.3670,38,0.71569
ENSG00000189410,SH2D5,41,0.27520,1,-4.3025,19,-0.9168,6,-2.5085,44,0.81719
ENSG00000127483,HP1BP3,200,-0.4245,434,0.86331,277,0.13911,319,0.36168,237,-0.1941
ENSG00000075151,EIF4G3,140,-1.1463,205,-0.4330,127,-1.1577,305,0.18427,353,1.00002
ENSG00000076864,RAP1GAP,72,-0.6940,35,-1.6712,68,-0.6796,136,0.38380,133,0.80292
ENSG00000090686,USP48,52,-0.6990,67,-0.2351,91,0.24652,106,0.48675,84,0.26329
ENSG00000070831,CDC42,127,-0.9007,167,-0.3697,269,0.37916,236,0.17135,243,0.46797
ENSG00000173372,C1QA,23,-1.0530,27,-0.7153,369,4.53963,10,-2.0674,11,-2.7679
ENSG00000173369,C1QB,33,-0.3563,63,0.71069,251,3.43784,15,-1.4484,14,-2.3523
ENSG00000004487,KDM1A,25,-1.2137,35,-0.5766,44,-0.2280,55,0.12726,65,0.88301
ENSG00000169641,LUZP1,92,-0.9038,90,-0.8150,132,-0.2327,266,0.88503,176,0.46551
ENSG00000125944,HNRNPR,98,-0.7616,195,0.41571,245,0.77954,120,-0.3465,157,0.14289
ENSG00000117318,ID3,17,-1.3745,47,0.34155,383,5.39194,0,-5.5993,1,-5.7418
ENSG00000142676,RPL11,906,0.72797,929,0.61844,980,0.70588,344,-0.9242,459,-0.8501
ENSG00000011007,ELOA,26,-0.3425,59,0.98403,50,0.70881,21,-0.6444,29,-0.2415
ENSG00000057757,PITHD1,125,-0.2853,91,-0.7303,63,-1.2798,113,-0.4009,180,0.74798
ENSG00000011009,LYPLA2,25,0.24329,9,-1.2650,20,-0.1425,23,0.08256,22,0.08551
ENSG00000189266,PNRC2,65,-0.2203,118,0.75414,107,0.58680,48,-0.6614,70,-0.1606
ENSG00000188529,SRSF10,56,-0.6538,113,0.54596,146,0.96013,94,0.25183,75,-0.2130
ENSG00000001461,NIPAL3,76,-0.5152,214,1.22831,27,-1.9763,144,0.57294,99,-0.0366
ENSG00000133226,SRRM1,139,-0.6097,435,1.30791,291,0.63713,505,1.57493,127,-1.1088
ENSG00000169504,CLIC4,31,-0.6985,215,2.71001,241,2.96767,18,-1.4042,5,-4.0462
ENSG00000117614,SYF2,143,0.11542,210,0.71483,187,0.52325,162,0.29868,108,-0.6026
ENSG00000117616,RSRP1,46,-0.8925,80,0.07587,175,1.34936,178,1.38045,61,-0.6483
ENSG00000183726,TMEM50A,78,-0.2703,132,0.59480,150,0.80455,49,-0.9387,88,-0.1051
ENSG00000204178,MACO1,38,-0.4794,67,0.46757,29,-0.8137,102,1.15585,48,-0.1199
ENSG00000117643,MAN1C1,34,-0.6517,18,-1.4746,62,0.36388,34,-0.5809,61,0.74048
ENSG00000162430,SELENON,38,0.44765,16,-0.9285,101,2.02493,14,-1.1733,21,-0.9359
ENSG00000117640,MTFR1L,70,0.36300,30,-0.9658,67,0.22888,62,0.12772,54,-0.1747
ENSG00000117632,STMN1,678,-1.0741,930,-0.4618,416,-1.6688,687,-0.9210,1749,1.36672
ENSG00000158008,EXTL1,54,0.84023,6,-2.5552,20,-0.8584,54,0.65975,31,-0.3591
ENSG00000142684,ZNF593,30,-0.0347,21,-0.5653,28,-0.1782,15,-1.0899,35,0.44658
ENSG00000142669,SH3BGRL3,167,0.24835,155,0.08694,155,0.08274,69,-1.1412,147,-4.0055
ENSG00000117682,DHDDS,24,0.03616,10,-1.2617,22,-0.1291,36,0.65272,24,0.03526
ENSG00000198830,HMGN2,220,0.27011,370,1.06441,288,0.65258,126,-0.6416,149,-0.6916
ENSG00000117713,ARID1A,64,-0.0086,69,0.11556,121,1.01441,73,0.20156,54,-0.4772
ENSG00000090273,NUDC,232,0.18917,176,-0.2763,162,-0.4077,184,-0.2095,217,0.09297
ENSG00000253368,TRNP1,51,0.02655,10,-2.3113,8,-2.6089,44,-0.2145,63,0.79248
ENSG00000142784,WDTC1,32,0.59773,12,-0.9354,52,1.28527,31,0.44678,16,-0.9581
ENSG00000186501,TMEM222,50,0.49663,17,-1.2152,26,-0.6075,44,0.21702,38,-0.0618
ENSG00000158195,WASF2,60,0.03692,185,1.92004,202,2.08928,77,0.41879,18,-2.5839
ENSG00000126705,AHDC1,44,0.05400,13,-1.7207,47,0.14866,71,0.79608,42,-0.0670
ENSG00000126709,IFI6,59,-1.0379,119,0.17378,257,1.44626,41,-1.4326,113,0.19360
ENSG00000009780,FAM76A,15,-0.8179,48,1.12470,16,-0.6120,27,0.19678,25,0.13671
ENSG00000117758,STX12,98,-0.2204,106,-0.0645,80,-0.4979,65,-0.8104,127,0.48597
ENSG00000117751,PPP1R8,24,-0.4072,28,-0.0734,63,1.20951,12,-1.3222,30,0.05719
ENSG00000117748,RPA2,50,-0.3287,38,-0.7045,63,0.08464,48,-0.3547,69,0.46045
ENSG00000126698,DNAJC8,205,-0.2843,363,0.66177,189,-0.3609,186,-0.3896,251,0.15561
ENSG00000130770,ATP5IF1,432,-0.5176,279,-1.1039,220,-1.4561,288,-1.0588,772,1.15087
ENSG00000204138,PHACTR4,24,-0.4838,78,1.46324,98,1.87093,51,0.74272,16,-1.5810
ENSG00000198492,YTHDF2,56,-0.8843,77,-0.3011,81,-0.2110,78,-0.2708,115,0.76737
ENSG00000116350,SRSF4,68,-0.4234,114,0.45070,144,0.82630,163,1.02750,70,-0.5644
ENSG00000116353,MECR,36,0.28513,21,-0.5837,20,-0.6511,16,-0.9642,34,0.29243
ENSG00000162511,LAPTM5,70,0.62622,55,0.12427,264,2.98922,19,-1.4396,16,-2.4873
ENSG00000162512,SDC3,133,0.49093,68,-0.6440,220,1.23259,78,-0.4247,82,-0.6255
ENSG00000134644,PUM1,123,-0.3026,86,-0.7944,209,0.57664,193,0.44991,147,0.04248
ENSG00000121766,ZCCHC17,132,-0.0043,130,-0.0246,68,-1.0079,105,-0.3576,146,0.32176
ENSG00000121769,FABP3,41,-1.0778,34,-1.2151,12,-2.7685,18,-2.1229,116,1.87007
ENSG00000162517,PEF1,52,-0.3399,31,-1.0561,79,0.36720,34,-0.8942,73,0.54481
ENSG00000084636,COL16A1,13,-1.0909,25,-0.0599,95,2.23291,52,1.13658,17,-1.0137
ENSG00000121753,ADGRB2,152,-0.0842,70,-1.2408,106,-0.6199,135,-0.2502,185,0.53592
ENSG00000184007,PTP4A2,233,-0.0923,813,2.04145,152,-0.7340,226,-0.1260,184,-0.7694
ENSG00000121774,KHDRBS1,128,-0.1878,147,0.06639,176,0.34510,137,-0.0521,142,0.01564
ENSG00000025800,KPNA6,62,-0.7420,73,-0.3911,111,0.25896,149,0.74167,100,0.21484
ENSG00000084652,TXLNA,19,-0.4964,33,0.44139,66,1.62101,40,0.76585,18,-0.8384
ENSG00000160050,CCDC28B,32,0.69900,5,-2.0121,25,0.20702,7,-1.6206,22,-0.0020
ENSG00000084623,EIF3I,73,-0.4832,82,-0.2437,86,-0.1629,60,-0.7207,114,0.60859
ENSG00000175130,MARCKSL1,273,0.94103,534,1.90578,187,0.12827,146,-0.2588,79,-1.8229
ENSG00000160058,BSDC1,58,0.25255,52,0.04039,54,0.10928,83,0.78692,42,-0.5143
ENSG00000160062,ZBTB8A,24,-0.0100,23,-0.0881,70,1.72006,14,-0.8580,20,-0.5796
ENSG00000176261,ZBTB8OS,54,0.13399,26,-1.0180,57,0.18282,46,-0.1390,52,0.10236
ENSG00000162521,RBBP4,110,-0.1204,109,-0.1204,130,0.16093,163,0.52086,113,-0.1040
ENSG00000162522,KIAA1522,45,1.82499,2,-2.8962,9,-1.1323,2,-3.3663,16,-0.6346
ENSG00000134684,YARS,61,-1.0351,60,-0.9369,49,-1.2332,93,-0.2845,152,1.22957
ENSG00000160097,FNDC5,31,-0.2760,7,-2.2953,19,-0.9294,70,1.06717,40,0.32761
ENSG00000121905,HPCA,209,0.15206,29,-2.8292,65,-1.6303,81,-1.3139,243,0.86347
ENSG00000121900,TMEM54,56,0.96963,38,0.11494,27,-0.4126,17,-1.0802,29,-0.5100
ENSG00000004455,AK2,37,0.09441,58,0.78034,86,1.46027,42,0.26038,23,-1.0844
ENSG00000142920,AZIN2,24,-0.5260,6,-2.3268,41,0.39517,39,0.29824,37,0.48100
ENSG00000160094,ZNF362,31,0.77281,14,-0.6170,28,0.42450,6,-1.7275,19,-0.3121
ENSG00000134686,PHC2,39,-0.1510,50,0.23646,65,0.65401,40,-0.1006,40,-0.1655
ENSG00000163866,SMIM12,25,-1.0912,16,-1.6596,52,0.11948,14,-1.8467,66,1.32598
ENSG00000116544,DLGAP3,99,1.78262,9,-2.3422,72,0.75810,21,-1.1524,26,-1.3347
ENSG00000163867,ZMYM6,18,-0.4621,27,0.25820,43,1.00213,26,0.19222,21,-0.2191
ENSG00000116560,SFPQ,189,-0.3339,297,0.42184,302,0.44570,529,1.38277,180,-0.6473
ENSG00000146463,ZMYM4,69,-0.0135,67,-0.0727,36,-1.0185,117,0.83035,69,-0.0553
ENSG00000142687,KIAA0319L,54,-0.2555,63,0.02015,75,0.31126,87,0.55022,59,-0.1139
ENSG00000020129,NCDN,305,-0.6460,75,-2.6378,181,-1.3374,230,-0.9806,612,1.38947
ENSG00000126067,PSMB2,53,-0.8889,83,-0.0781,89,0.03171,50,-0.8396,108,0.76314
ENSG00000142686,C1orf216,59,-0.7498,27,-1.7927,39,-1.2476,58,-0.6666,124,1.29665
ENSG00000092847,AGO1,35,-0.2237,49,0.32586,58,0.59473,70,0.88257,34,-0.4765
ENSG00000126070,AGO3,38,-0.5713,72,0.48132,107,1.14304,145,1.67110,35,-1.0359
ENSG00000054116,TRAPPC3,39,-0.4064,32,-0.6661,46,-0.1086,25,-1.0238,60,0.69883
ENSG00000116871,MAP7D1,198,0.30869,140,-0.2922,115,-0.5906,121,-0.5112,175,0.11206
ENSG00000054118,THRAP3,97,-0.7232,181,0.33514,150,0.04423,188,0.39847,156,0.20189
ENSG00000181817,LSM10,45,0.10298,22,-1.0194,31,-0.4993,16,-1.4306,50,0.55269
ENSG00000116898,MRPS15,57,-0.0040,42,-0.4705,37,-0.6425,32,-0.8773,65,0.47728
ENSG00000163875,MEAF6,80,-0.5268,34,-1.7068,102,-0.0688,114,0.10333,129,0.65175
ENSG00000134697,GNL2,18,-0.9457,29,-0.1166,15,-1.1014,34,0.12459,39,0.82019
ENSG00000197982,C1orf122,288,0.95380,253,0.53688,111,-0.7488,79,-1.2584,149,-0.5486
ENSG00000183431,SF3A3,30,-0.8354,47,-0.0629,39,-0.3455,67,0.48803,56,0.45944
ENSG00000183520,UTP11,30,-0.7499,52,0.18011,82,0.91709,26,-0.8775,50,0.26100
ENSG00000185668,POU3F1,17,-0.2444,0,-7.9393,9,-1.2189,7,-1.5586,28,1.25321
ENSG00000116954,RRAGC,35,-0.5411,64,0.44606,88,0.97159,25,-0.9780,48,0.04421
ENSG00000174574,AKIRIN1,76,-0.4660,80,-0.3131,96,-0.0281,61,-0.7226,116,0.57702
ENSG00000168653,NDUFS5,675,-0.0501,386,-0.8942,288,-1.3319,318,-1.1858,856,0.76712
ENSG00000127603,MACF1,307,-0.0003,336,0.13894,598,1.07708,592,1.06052,221,-0.8820
ENSG00000090621,PABPC4,97,0.38513,165,1.18885,124,0.71187,66,-0.2748,55,-0.9636
ENSG00000116983,HPCAL4,311,0.69257,123,-0.8856,108,-1.0863,234,0.09361,209,-0.1595
ENSG00000084072,PPIE,32,-0.0871,22,-0.6480,10,-1.7240,35,0.05676,39,0.51409
ENSG00000131236,CAP1,147,-0.3964,252,0.50713,282,0.69005,67,-1.5176,191,0.13552
ENSG00000131238,PPT1,116,-0.3084,67,-1.0837,176,0.39210,68,-1.0726,161,0.54833
ENSG00000117000,RLF,22,-0.7389,38,0.21942,58,0.88823,39,0.24564,33,-0.0163
ENSG00000084073,ZMPSTE24,29,-0.4814,46,0.27039,86,1.29764,26,-0.6184,36,-0.1630
ENSG00000084070,SMAP2,112,-0.2257,65,-1.0029,83,-0.6344,90,-0.5144,152,0.66965
ENSG00000117016,RIMS3,201,0.50249,10,-3.9735,100,-0.6778,83,-0.9450,175,0.39558
ENSG00000066136,NFYC,33,0.00513,11,-1.5970,21,-0.6649,32,-0.0640,38,0.47179
ENSG00000127124,HIVEP3,28,-0.0257,20,-0.5148,30,0.08695,69,1.45053,24,-0.5092
ENSG00000198815,FOXJ3,52,-0.1110,46,-0.2980,52,-0.1080,54,-0.0540,59,0.20225
ENSG00000177181,RIMKLA,57,0.00580,16,-1.8958,21,-1.4787,44,-0.3972,69,0.72215
ENSG00000127125,PPCS,52,-0.2012,62,0.10184,31,-0.9654,53,-0.1526,65,0.36439
ENSG00000186409,CCDC30,41,-0.3440,54,0.13864,26,-0.9763,123,1.50412,45,-0.2628
ENSG00000065978,YBX1,211,0.80854,279,1.10532,261,0.98841,132,-0.1055,76,-1.5158
ENSG00000177868,SVBP,60,0.03643,68,0.21324,49,-0.2772,26,-1.2491,64,0.23386
ENSG00000117394,SLC2A1,32,-1.5081,53,-0.5762,703,4.77703,21,-1.9261,19,-2.9066
ENSG00000117395,EBNA1BP2,67,-0.7779,69,-0.6482,55,-0.9885,41,-1.4161,142,1.21267
ENSG00000159479,MED8,30,0.26904,14,-0.9019,32,0.29292,2,-3.6159,29,0.31703
ENSG00000142949,PTPRF,108,0.30587,31,-1.6608,53,-0.8372,72,-0.3755,103,0.35580
ENSG00000126091,ST3GAL3,35,0.43792,13,-1.2005,14,-1.0727,47,0.80796,27,-0.1611
ENSG00000117408,IPO13,67,0.78804,110,1.46493,18,-1.3632,28,-0.7346,33,-0.8515
ENSG00000117410,ATP6V0B,153,-1.2882,164,-1.0299,147,-1.2001,223,-0.5731,458,1.46718
ENSG00000117411,B4GALT2,146,1.30675,42,-0.9419,43,-0.9315,69,-0.2024,62,-0.6700
ENSG00000178028,DMAP1,40,-0.2501,26,-0.8294,53,0.24700,52,0.19567,49,0.22347
ENSG00000117419,ERI3,94,-0.2451,64,-0.7957,110,0.03099,67,-0.7210,125,0.51840
ENSG00000187147,RNF220,91,-0.3037,139,0.39911,118,0.13849,83,-0.4086,113,0.13943
ENSG00000142937,RPS8,1656,0.77466,1715,0.66970,1449,0.39733,618,-0.9194,843,-0.7912
ENSG00000070785,EIF2B3,12,-1.3751,34,0.27243,17,-0.7846,12,-1.3020,38,1.18378
ENSG00000126088,UROD,70,0.01623,66,-0.0759,48,-0.5744,39,-0.8950,78,0.35099
ENSG00000117450,PRDX1,414,0.48548,357,0.15504,426,0.43675,140,-1.2684,291,-0.3118
ENSG00000117448,AKR1A1,35,-0.4995,45,-0.0382,85,0.99400,23,-1.0393,48,0.17582
ENSG00000132780,NASP,64,-0.3594,154,1.09980,157,1.13079,182,1.38801,47,-1.2731
ENSG00000159592,GPBP1L1,29,-0.5472,54,0.47924,87,1.26503,24,-0.7731,38,-0.1517
ENSG00000086015,MAST2,26,0.23811,13,-0.7822,20,-0.1573,23,0.00342,23,0.04269
ENSG00000117461,PIK3R3,22,-0.8218,19,-0.8898,161,2.72480,57,0.79806,21,-1.2434
ENSG00000085998,POMGNT1,35,-0.5269,21,-1.2302,49,0.04196,79,0.81100,52,0.28363
ENSG00000132128,LRRC41,31,-0.1506,23,-0.6117,41,0.27343,18,-0.9395,38,0.37691
ENSG00000173660,UQCRH,680,0.30103,302,-0.9983,321,-0.9095,264,-1.1990,661,0.43867
ENSG00000117480,FAAH,22,-0.0336,25,0.17961,40,0.95525,9,-1.2544,21,-0.1401
ENSG00000079277,MKNK1,26,-0.1087,32,0.23573,67,1.45720,39,0.52681,20,-0.8098
ENSG00000123472,ATPAF1,162,0.26650,134,-0.0803,96,-0.5936,132,-0.1012,141,-0.0064
ENSG00000159658,EFCAB14,108,0.47559,187,1.28584,119,0.53978,70,-0.3000,57,-1.0192
ENSG00000162368,CMPK1,136,-0.2095,102,-0.6069,124,-0.3167,128,-0.2722,174,0.45250
ENSG00000162373,BEND5,24,-1.0795,5,-3.0890,11,-1.9950,25,-0.8347,66,1.78554
ENSG00000162374,ELAVL4,110,-1.2984,55,-2.1770,79,-1.6357,271,0.23079,329,1.42479
ENSG00000185104,FAF1,42,-0.0512,45,0.05149,47,0.11043,19,-1.2440,47,0.24004
ENSG00000123091,RNF11,493,0.28044,185,-1.2647,247,-0.8380,355,-0.2811,468,0.30688
ENSG00000085832,EPS15,188,-0.3388,240,0.09328,115,-1.0299,284,0.35948,248,0.30766
ENSG00000117859,OSBPL9,21,-0.1286,50,1.28007,27,0.27506,24,0.06077,19,-0.5422
ENSG00000078618,NRDC,92,-0.6360,125,-0.0739,149,0.19791,250,1.03984,130,-0.0414
ENSG00000169213,RAB3B,38,-1.3739,135,0.72837,3,-4.6751,298,2.12758,80,-0.1950
