Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000171603,CLSTN1,1210,0.52617,800,-0.1458,1071,0.41358,1165,0.46414,833,-0.0854,558,-0.6876,206,-2.1738
ENSG00000178585,CTNNBIP1,24,-0.4019,41,0.51222,17,-1.0260,41,0.47675,36,0.33351,22,-0.4995,38,0.36044
ENSG00000162441,LZIC,63,0.10569,47,-0.3623,36,-0.8882,33,-0.8764,58,-0.0203,96,0.79945,136,1.39083
ENSG00000162444,RBP7,9,-0.7471,0,-6.1675,0,-8.5302,1,-3.1310,3,-2.4578,24,0.81269,133,4.96678
ENSG00000130939,UBE4B,36,-0.1394,31,-0.3632,41,0.09451,52,0.46694,44,0.22458,20,-0.9686,42,0.12842
ENSG00000054523,KIF1B,349,0.03414,302,-0.2100,265,-0.4680,299,-0.2093,379,0.20513,350,0.03908,563,0.80807
ENSG00000142657,PGD,61,0.21647,42,-0.4031,44,-0.3693,80,0.64536,64,0.34952,54,0.01703,39,-0.4811
ENSG00000241563,CORT,509,4.12661,46,-0.6690,34,-1.2414,34,-1.0899,25,-1.7336,7,-3.3399,8,-3.1485
ENSG00000160049,DFFA,39,-0.1434,40,-0.1330,32,-0.5175,40,-0.1070,38,-0.2316,61,0.54543,86,1.11756
ENSG00000142655,PEX14,30,0.40865,18,-0.3711,34,0.79653,23,0.03361,16,-0.5957,22,-0.0378,12,-0.9639
ENSG00000120948,TARDBP,116,0.47269,72,-0.3031,91,0.09323,96,0.17433,78,-0.2012,73,-0.2610,102,0.25494
ENSG00000271895,AL109811.2,23,0.50368,22,0.48825,22,0.50716,19,0.17969,12,-0.5682,5,-1.7234,8,-1.0671
ENSG00000116649,SRM,53,-0.0475,70,0.46254,71,0.54940,52,-0.0702,38,-0.6425,54,0.00580,23,-1.2866
ENSG00000171824,EXOSC10,27,-0.5780,33,-0.2731,39,-0.0082,40,0.02885,43,0.18452,48,0.31714,43,0.12712
ENSG00000198793,MTOR,58,-0.0518,45,-0.5047,70,0.29575,88,0.60489,70,0.29998,39,-0.6657,28,-1.1702
ENSG00000116661,FBXO2,43,-1.8971,200,0.48262,179,0.30989,143,-0.0993,123,-0.4041,248,0.78580,92,-0.7752
ENSG00000132879,FBXO44,73,-0.2917,83,-0.0879,124,0.70116,111,0.36493,85,-0.0657,45,-1.0242,33,-1.4645
ENSG00000116670,MAD2L2,5,-1.4048,14,0.04724,18,0.42367,15,0.04649,10,-0.5832,11,-0.3322,26,0.97277
ENSG00000177000,MTHFR,16,0.28756,19,0.61084,19,0.70360,6,-1.1205,7,-1.0755,7,-0.8597,14,0.11974
ENSG00000011021,CLCN6,80,0.32905,65,-0.0024,54,-0.3442,106,0.77738,76,0.30856,27,-1.3097,47,-0.4920
ENSG00000116685,KIAA2013,19,-0.6369,17,-0.8787,31,0.12629,21,-0.4837,29,-0.0238,44,0.65337,52,0.92096
ENSG00000083444,PLOD1,24,-0.1312,21,-0.3163,18,-0.6915,33,0.40786,23,-0.1890,46,0.94246,41,0.73316
ENSG00000116688,MFN2,69,-0.8265,137,0.26547,141,0.35604,187,0.74639,114,-0.0620,50,-1.2886,68,-0.8458
ENSG00000048707,VPS13D,88,0.10493,69,-0.2937,81,-0.0296,80,-0.0435,101,0.41790,92,0.18135,41,-1.0562
ENSG00000162496,DHRS3,15,-0.2125,13,-0.4040,14,-0.2983,4,-2.0121,9,-1.0559,71,2.52991,16,-0.0996
ENSG00000116731,PRDM2,288,1.21272,109,-0.3945,135,-0.0399,125,-0.1523,147,0.13263,78,-0.8713,96,-0.5494
ENSG00000189337,KAZN,47,-0.3606,55,-0.1481,50,-0.3406,89,0.64631,61,0.04063,41,-0.5669,97,0.77857
ENSG00000142634,EFHD2,184,1.58615,42,-0.8587,18,-2.2475,141,1.11472,98,0.66365,64,-0.1594,30,-1.3111
ENSG00000116138,DNAJC16,50,0.53291,25,-0.5808,51,0.72587,25,-0.5785,38,0.12274,13,-1.5102,24,-0.6203
ENSG00000197312,DDI2,54,1.30062,28,0.22999,17,-0.6806,30,0.33470,25,0.08223,9,-1.5129,17,-0.5023
ENSG00000116786,PLEKHM2,35,-1.1562,136,1.12265,69,-0.1461,112,0.64888,55,-0.5567,47,-0.7159,57,-0.4111
ENSG00000065526,SPEN,103,0.46905,46,-0.8563,46,-0.9202,32,-1.3214,59,-0.4885,210,1.68905,171,1.32245
ENSG00000116809,ZBTB17,26,0.82532,17,0.15468,10,-0.8184,25,0.73109,11,-0.6288,17,0.10739,23,0.61939
ENSG00000037637,FBXO42,35,0.78144,17,-0.4395,22,0.06737,17,-0.3849,21,-0.0173,30,0.48375,13,-0.7332
ENSG00000055070,SZRD1,0,-4.4447,26,0.53280,10,-1.1418,15,-0.3738,14,-0.5954,45,1.39305,47,1.46984
ENSG00000159363,ATP13A2,78,0.03875,86,0.22078,78,0.06719,135,0.94282,74,-0.0513,39,-0.9981,28,-1.5036
ENSG00000117118,SDHB,66,-0.7318,103,-0.0425,106,0.00062,82,-0.3927,144,0.63277,69,-0.6633,96,-0.1520
ENSG00000117115,PADI2,55,0.51993,23,-0.8745,8,-2.6198,7,-2.5973,10,-2.2399,89,1.31696,227,3.28322
ENSG00000179051,RCC2,7,-1.9028,35,0.50890,30,0.28772,51,1.10633,19,-0.5376,11,-1.2397,24,-0.1037
ENSG00000074964,ARHGEF10L,7,-0.9527,19,0.68207,13,0.02173,21,0.79902,9,-0.6953,18,0.47718,6,-1.1348
ENSG00000117154,IGSF21,127,1.00041,69,0.00649,82,0.33678,50,-0.4883,69,0.01162,32,-1.1704,26,-1.4892
ENSG00000159423,ALDH4A1,0,-6.4897,18,0.28735,10,-0.7621,17,0.11087,10,-0.7521,50,1.97238,23,0.59850
ENSG00000127481,UBR4,40,1.13288,16,-0.3118,12,-0.9046,23,0.21672,16,-0.4364,38,1.05010,22,0.16090
ENSG00000127463,EMC1,20,-0.6138,27,-0.1691,35,0.32758,43,0.57307,23,-0.4305,36,0.30120,28,-0.0674
ENSG00000053372,MRTO4,45,0.41098,33,-0.0604,34,-0.0479,37,0.12171,32,-0.1416,48,0.51377,21,-0.7739
ENSG00000053371,AKR7A2,20,-0.5268,23,-0.3837,29,0.04720,13,-1.1557,23,-0.3830,66,1.36936,41,0.56543
ENSG00000077549,CAPZB,160,0.16042,128,-0.2087,157,0.16495,114,-0.3713,156,0.15219,155,0.11424,108,-0.4437
ENSG00000173436,MICOS10,211,-1.0480,600,0.65504,424,0.03042,527,0.37351,421,0.01773,277,-0.6303,256,-0.7507
ENSG00000158747,NBL1,151,0.07880,150,0.07689,145,0.01628,188,0.42833,137,-0.0821,166,0.23349,70,-1.0869
ENSG00000169914,OTUD3,22,-0.0178,12,-1.0454,24,0.11164,43,1.02607,30,0.54015,16,-0.5583,6,-1.9080
ENSG00000162545,CAMK2N1,646,-1.1632,2077,0.74197,2330,1.12888,557,-1.3845,743,-1.0997,1225,-0.1880,772,-0.8961
ENSG00000090432,MUL1,35,0.61316,28,0.31423,21,-0.2221,18,-0.4218,20,-0.2551,23,-0.0497,27,0.18913
ENSG00000183114,FAM43B,37,1.32879,16,-0.0742,3,-2.8025,23,0.48323,26,0.91529,17,0.07279,4,-1.9594
ENSG00000158828,PINK1,441,-0.1178,521,0.15638,493,0.06744,749,0.73164,516,0.15590,283,-0.7984,171,-1.5590
ENSG00000244038,DDOST,32,0.23602,22,-0.3406,26,-0.1003,29,0.10666,31,0.27625,23,-0.2181,26,-0.0549
ENSG00000117245,KIF17,26,0.22350,16,-0.5882,19,-0.3640,47,1.18650,30,0.57722,12,-0.9267,8,-1.4734
ENSG00000189410,SH2D5,22,-0.6869,33,-0.1012,63,1.28332,45,0.39519,28,-0.4009,13,-1.5045,0,-5.4434
ENSG00000127483,HP1BP3,421,0.87275,226,-0.1463,187,-0.5027,166,-0.6075,223,-0.1846,324,0.44012,357,0.59730
ENSG00000075151,EIF4G3,406,0.87495,187,-0.3957,200,-0.3146,132,-0.8933,325,0.65335,163,-0.5735,186,-0.3728
ENSG00000117298,ECE1,6,-1.5160,20,0.36717,15,-0.1536,12,-0.4740,9,-1.0199,33,1.14290,32,1.10723
ENSG00000076864,RAP1GAP,238,0.63550,156,-0.0413,149,-0.1396,286,0.93979,143,-0.2087,147,-0.1333,62,-1.4435
ENSG00000090686,USP48,151,1.06790,43,-0.9980,63,-0.4192,65,-0.2980,70,-0.2216,101,0.39433,143,0.97364
ENSG00000070831,CDC42,207,-0.1436,190,-0.3044,253,0.21545,205,-0.1600,268,0.33131,130,-0.8578,237,0.06928
ENSG00000173369,C1QB,1,-3.1999,41,1.78953,7,-1.3387,7,-1.2027,6,-1.7494,44,1.64910,23,0.51427
ENSG00000004487,KDM1A,81,0.61404,46,-0.2883,68,0.41789,51,-0.1351,53,-0.0843,41,-0.4531,34,-0.7555
ENSG00000169641,LUZP1,114,0.12079,84,-0.3970,97,-0.1610,110,0.05827,164,0.92582,70,-0.6445,24,-2.2019
ENSG00000125944,HNRNPR,223,0.78516,111,-0.3638,117,-0.2974,54,-1.4279,139,0.02321,150,0.14138,231,0.83865
ENSG00000117318,ID3,0,-8.1151,19,0.14576,2,-3.0731,10,-0.7991,1,-3.5631,122,3.90504,26,0.67450
ENSG00000142676,RPL11,283,-0.9348,776,0.73050,457,-0.2391,511,-0.0243,402,-0.4741,647,0.35081,659,0.37952
ENSG00000011007,ELOA,28,0.32719,19,-0.2603,24,0.12456,20,-0.2009,20,-0.2554,20,-0.1864,33,0.61810
ENSG00000057757,PITHD1,121,-0.5970,172,-0.0573,196,0.19188,306,0.88215,186,0.08579,96,-0.9407,120,-0.6079
ENSG00000011009,LYPLA2,14,-1.0779,34,0.32296,35,0.45041,31,0.15759,29,0.02628,14,-1.0911,20,-0.5299
ENSG00000117308,GALE,23,0.35947,14,-0.4259,19,0.08340,30,0.79957,24,0.50732,3,-2.3627,6,-1.5801
ENSG00000117305,HMGCL,6,-1.2421,13,-0.1866,15,0.08401,14,-0.0769,14,-0.0028,13,-0.1847,26,0.95035
ENSG00000189266,PNRC2,81,0.18921,68,-0.0991,71,-0.0204,47,-0.6370,54,-0.5139,116,0.77816,105,0.61250
ENSG00000188529,SRSF10,85,0.28374,71,0.00643,63,-0.2336,59,-0.2924,67,-0.1103,89,0.34833,88,0.34376
ENSG00000001461,NIPAL3,159,0.52676,67,-0.8872,80,-0.6458,111,-0.0505,94,-0.3640,124,0.12016,324,1.75393
ENSG00000133226,SRRM1,205,0.99317,72,-0.7329,64,-0.9885,70,-0.7150,117,0.08986,193,0.88902,183,0.80535
ENSG00000169504,CLIC4,48,-0.2382,20,-1.6244,2,-5.0564,19,-1.6352,11,-2.6279,129,1.37752,396,3.96628
ENSG00000117614,SYF2,114,0.10372,91,-0.2713,72,-0.7024,84,-0.3691,119,0.22591,181,0.85460,142,0.46374
ENSG00000117616,RSRP1,97,0.20403,79,-0.1327,88,0.06021,60,-0.5348,53,-0.8369,130,0.68316,153,0.94951
ENSG00000183726,TMEM50A,133,0.50191,71,-0.5325,124,0.49020,53,-0.9221,64,-0.7630,109,0.17923,166,0.86786
ENSG00000204178,MACO1,84,0.94540,35,-0.4820,30,-0.7672,24,-0.9958,58,0.44602,65,0.53766,50,0.11306
ENSG00000117643,MAN1C1,18,-1.4789,47,-0.0099,95,1.58890,22,-1.1880,32,-0.6961,45,-0.0751,7,-2.7233
ENSG00000162430,SELENON,28,0.18944,34,0.53389,19,-0.4604,24,-0.0994,14,-1.0000,51,1.14385,30,0.25988
ENSG00000117640,MTFR1L,56,-0.1992,81,0.42274,66,0.08350,86,0.48007,62,-0.0523,43,-0.6093,32,-1.0461
ENSG00000117632,STMN1,1989,0.15866,1258,-0.5998,1532,-0.3014,2188,0.31127,2601,0.76418,750,-1.3350,1743,-0.0492
ENSG00000158008,EXTL1,58,0.70607,49,0.48848,32,-0.2525,54,0.60095,32,-0.2706,31,-0.2883,11,-1.7591
ENSG00000175087,PDIK1L,17,0.23355,12,-0.3763,13,-0.1855,11,-0.3985,21,0.75229,7,-1.0037,13,-0.1487
ENSG00000142684,ZNF593,18,-1.0923,37,-0.0123,37,0.00121,35,-0.1013,51,0.63361,28,-0.4025,27,-0.5069
ENSG00000142669,SH3BGRL3,108,-0.3209,109,-0.3349,87,-0.7545,200,0.65272,156,0.32093,159,0.28023,178,0.47046
ENSG00000158062,UBXN11,9,-0.7800,15,0.06550,21,0.72568,22,0.63622,9,-0.8051,15,0.09179,8,-0.8201
ENSG00000117682,DHDDS,24,0.02184,22,-0.0699,27,0.31322,27,0.23288,24,0.02339,20,-0.2720,12,-1.0165
ENSG00000198830,HMGN2,233,0.52702,164,-0.0397,127,-0.5082,98,-0.8208,94,-1.0315,314,1.02426,375,1.33204
ENSG00000117713,ARID1A,61,0.34178,45,-0.1595,40,-0.3965,51,0.04342,36,-0.5842,109,1.29760,55,0.16599
ENSG00000204160,ZDHHC18,27,0.62045,26,0.61716,9,-1.1070,30,0.79105,15,-0.3772,24,0.42614,13,-0.5202
ENSG00000142751,GPN2,14,-0.4415,19,0.07441,17,-0.1369,29,0.70061,17,-0.1160,19,0.00795,19,-0.0066
ENSG00000090273,NUDC,139,-0.4962,207,0.13445,199,0.07479,226,0.26334,199,0.07900,179,-0.1075,145,-0.4353
ENSG00000253368,TRNP1,41,-0.3900,75,0.61498,52,-0.0494,81,0.67403,66,0.43255,10,-2.4537,2,-4.6001
ENSG00000090020,SLC9A1,11,-0.5772,16,-0.1358,20,0.31184,44,1.58068,17,-0.0259,3,-2.4477,3,-2.2246
ENSG00000142784,WDTC1,23,0.23279,23,0.29336,14,-0.5561,34,0.87325,14,-0.5757,21,0.12531,25,0.38443
ENSG00000186501,TMEM222,40,-0.1581,49,0.19576,42,-0.0978,73,0.80611,34,-0.4481,25,-0.8670,63,0.58226
ENSG00000158195,WASF2,20,-0.7869,25,-0.4367,14,-1.4031,14,-1.2583,12,-1.6843,127,2.35823,104,1.95617
ENSG00000126705,AHDC1,42,0.73353,21,-0.3788,31,0.27589,35,0.39946,20,-0.4871,32,0.26071,16,-0.7751
ENSG00000126709,IFI6,74,-0.7608,113,-0.1120,105,-0.2583,122,0.01906,150,0.43304,182,0.65382,80,-0.6395
ENSG00000009780,FAM76A,28,0.77533,15,-0.1784,11,-0.8339,20,0.28079,12,-0.5700,25,0.61620,32,0.98498
ENSG00000117758,STX12,158,0.40357,140,0.23171,127,0.06295,84,-0.5872,119,-0.0609,85,-0.5724,128,0.07472
ENSG00000117751,PPP1R8,27,-0.1715,24,-0.4084,29,-0.0905,20,-0.6259,28,-0.1826,50,0.79314,51,0.80662
ENSG00000117748,RPA2,44,-0.2363,35,-0.6360,66,0.52377,51,-0.0079,54,0.12281,46,-0.1550,40,-0.3713
ENSG00000126698,DNAJC8,251,0.11527,214,-0.1491,200,-0.2899,196,-0.2725,291,0.44420,194,-0.2839,257,0.15379
ENSG00000130770,ATP5IF1,499,-0.4477,634,-0.0817,769,0.28523,758,0.20557,873,0.54962,268,-1.3867,266,-1.3996
ENSG00000204138,PHACTR4,10,-0.3968,18,0.54111,5,-1.6431,6,-1.2331,9,-0.6123,31,1.33231,35,1.55707
ENSG00000180098,TRNAU1AP,18,-0.2823,20,-0.1289,20,-0.1679,21,-0.0235,24,0.18518,26,0.28084,24,0.13274
ENSG00000120656,TAF12,8,-1.0552,10,-0.6981,14,-0.2272,18,0.22129,22,0.62559,11,-0.5115,25,0.73358
ENSG00000198492,YTHDF2,99,0.28878,63,-0.4608,110,0.58487,61,-0.4630,85,0.06786,55,-0.6304,63,-0.4208
ENSG00000159023,EPB41,2,-2.5013,13,-0.1284,11,-0.4547,19,0.45478,16,0.20029,37,1.59221,5,-1.5042
ENSG00000116350,SRSF4,110,0.87253,42,-0.6854,56,-0.2442,53,-0.2851,55,-0.2857,95,0.62467,92,0.58491
ENSG00000116353,MECR,22,-0.4352,31,0.06081,37,0.41483,38,0.39912,28,-0.0998,28,-0.1017,12,-1.3543
ENSG00000060656,PTPRU,65,2.24355,17,-0.0732,6,-1.8492,15,-0.2767,17,-0.0648,18,0.00230,12,-0.5177
ENSG00000162511,LAPTM5,8,-0.8294,18,0.54327,10,-0.4199,11,-0.3324,5,-1.4619,29,1.23176,28,1.22223
ENSG00000162512,SDC3,64,-0.3545,68,-0.2734,93,0.29278,65,-0.3153,41,-1.1812,227,1.75071,69,-0.2460
ENSG00000134644,PUM1,176,0.54986,120,-0.0575,131,0.09962,127,0.03408,106,-0.2940,167,0.46587,71,-0.8598
ENSG00000060688,SNRNP40,10,-0.5284,10,-0.5839,14,-0.0650,19,0.37286,11,-0.4722,27,0.96467,23,0.73727
ENSG00000121766,ZCCHC17,162,0.41564,136,0.14108,136,0.16270,89,-0.5322,133,0.11922,74,-0.8135,98,-0.3802
ENSG00000121769,FABP3,118,-0.1327,86,-0.6725,116,-0.1849,176,0.50064,222,1.19197,39,-1.8059,21,-2.7223
ENSG00000162517,PEF1,56,-0.3580,70,-0.0211,81,0.24429,109,0.67745,72,0.01834,39,-0.9044,51,-0.4998
ENSG00000084636,COL16A1,15,-1.0231,26,-0.2273,23,-0.4717,20,-0.6012,24,-0.3961,50,0.83176,79,1.62990
ENSG00000121753,ADGRB2,120,-0.5350,175,0.05054,216,0.49024,169,-0.0039,183,0.14529,136,-0.3487,64,-1.4894
ENSG00000184007,PTP4A2,276,0.33400,131,-0.8806,122,-1.0707,139,-0.7278,187,-0.3339,293,0.43056,784,2.18111
ENSG00000121774,KHDRBS1,184,0.58616,114,-0.1942,127,-0.0016,58,-1.1892,116,-0.1792,162,0.37935,168,0.44036
ENSG00000025800,KPNA6,79,0.38631,60,-0.0412,67,0.14857,49,-0.3581,61,-0.0315,59,-0.0672,51,-0.2885
ENSG00000084652,TXLNA,15,-0.7392,26,0.13503,30,0.40659,25,0.06654,16,-0.7839,25,0.06870,37,0.66092
ENSG00000160050,CCDC28B,16,-0.3068,27,0.56548,21,0.14550,17,-0.2612,19,-0.0430,15,-0.3716,12,-0.6949
ENSG00000084623,EIF3I,118,-0.1444,124,-0.0709,120,-0.1414,114,-0.1954,170,0.55367,92,-0.5322,110,-0.2556
ENSG00000175130,MARCKSL1,142,-0.2079,66,-1.4673,19,-3.4228,77,-1.1336,58,-1.7655,274,0.84163,1097,3.80899
ENSG00000160058,BSDC1,54,0.21418,45,-0.0730,51,0.14852,52,0.13503,39,-0.3418,45,-0.0846,55,0.24218
