sczgenenames,ensembl_names
BRAT1,ENSG00000106009
TRIM16L,ENSG00000108448
RAI1,ENSG00000108557
DPH1,ENSG00000108963
INPP4B,ENSG00000109452
CLCN3,ENSG00000109572
AADAT,ENSG00000109576
SIAE,ENSG00000110013
MDK,ENSG00000110492
AMBRA1,ENSG00000110497
MADD,ENSG00000110514
IL23A,ENSG00000110944
ATP5F1B,ENSG00000110955
OGFOD2,ENSG00000111325
GTF2H3,ENSG00000111358
EIF2B1,ENSG00000111361
DDX55,ENSG00000111364
TIMELESS,ENSG00000111602
ST8SIA1,ENSG00000111728
HSPA9,ENSG00000113013
FXR1,ENSG00000114416
TNNC1,ENSG00000114854
SPCS1,ENSG00000114902
EFHD1,ENSG00000115468
NEU2,ENSG00000115488
SF3B1,ENSG00000115524
HSPE1,ENSG00000115541
PLCL1,ENSG00000115896
ALMS1,ENSG00000116127
ERRFI1,ENSG00000116285
PARK7,ENSG00000116288
AKT3,ENSG00000117020
PRPF3,ENSG00000117360
EBNA1BP2,ENSG00000117395
IPO13,ENSG00000117408
B4GALT2,ENSG00000117411
STAG1,ENSG00000118007
GTF3C3,ENSG00000119041
SIL1,ENSG00000120725
PAIP2,ENSG00000120727
EGR1,ENSG00000120738
PTK2B,ENSG00000120899
CHRNA2,ENSG00000120903
EPHX2,ENSG00000120915
CRY2,ENSG00000121671
PQLC1,ENSG00000122490
ARHGAP9,ENSG00000123329
LRP1,ENSG00000123384
ENKD1,ENSG00000124074
GOT2,ENSG00000125166
NKX2-2,ENSG00000125820
ST3GAL3,ENSG00000126091
KLC1,ENSG00000126214
FRMD8,ENSG00000126391
PRMT1,ENSG00000126457
EIF2AK4,ENSG00000128829
IVD,ENSG00000128928
PALLD,ENSG00000129116
MAU2,ENSG00000129933
ZSWIM6,ENSG00000130449
SAG,ENSG00000130561
ARHGEF16,ENSG00000130762
CCDC62,ENSG00000130783
HIP1R,ENSG00000130787
LLGL1,ENSG00000131899
RPA1,ENSG00000132383
REEP2,ENSG00000132563
PRMT7,ENSG00000132600
FAM83F,ENSG00000133477
DDB2,ENSG00000134574
ACP2,ENSG00000134575
ADAMTS8,ENSG00000134917
SRPK2,ENSG00000135250
PHF21A,ENSG00000135365
GLS2,ENSG00000135423
PAN2,ENSG00000135473
OS9,ENSG00000135506
MIP,ENSG00000135517
MRPL44,ENSG00000135900
SERPINE2,ENSG00000135919
ALPK3,ENSG00000136383
VPS45,ENSG00000136631
GABBR2,ENSG00000136928
XPA,ENSG00000136936
NEK1,ENSG00000137601
PAK6,ENSG00000137843
AOX1,ENSG00000138356
HECW2,ENSG00000138411
SBNO1,ENSG00000139697
VPS37B,ENSG00000139722
RBM26,ENSG00000139746
SRP14,ENSG00000140319
FURIN,ENSG00000140564
IQGAP1,ENSG00000140575
CRTC3,ENSG00000140577
SH3GL3,ENSG00000140600
SEC11A,ENSG00000140612
GID4,ENSG00000141034
UTP4,ENSG00000141076
GFOD2,ENSG00000141098
PRPSAP2,ENSG00000141127
TXNL4A,ENSG00000141759
RERE,ENSG00000142599
MMEL1,ENSG00000142606
PRDM16,ENSG00000142611
PTPRF,ENSG00000142949
PRUNE1,ENSG00000143363
SF3B4,ENSG00000143368
ECM1,ENSG00000143369
TARS2,ENSG00000143374
ANP32E,ENSG00000143401
MINDY1,ENSG00000143409
CEP170,ENSG00000143702
HSPD1,ENSG00000144381
CCDC150,ENSG00000144395
CBR4,ENSG00000145439
CDCA5,ENSG00000146670
CCDC25,ENSG00000147419
STAR,ENSG00000147465
TACC1,ENSG00000147526
NSD3,ENSG00000147548
INA,ENSG00000148798
TAF5,ENSG00000148835
CNNM2,ENSG00000148842
DGKZ,ENSG00000149091
SLC43A1,ENSG00000149150
CELF1,ENSG00000149187
DRD2,ENSG00000149295
PLCH2,ENSG00000149527
TM7SF2,ENSG00000149809
VPS51,ENSG00000149823
DOC2A,ENSG00000149927
HIRIP3,ENSG00000149929
TAOK2,ENSG00000149930
TMEM219,ENSG00000149932
FCGR1A,ENSG00000150337
FSIP1,ENSG00000150667
ABCB9,ENSG00000150967
RILPL2,ENSG00000150977
CACNA2D4,ENSG00000151062
CACNA1C,ENSG00000151067
PARP8,ENSG00000151883
RABGAP1L,ENSG00000152061
BOLL,ENSG00000152430
SH3RF1,ENSG00000154447
CCDC144B,ENSG00000154874
KCTD18,ENSG00000155729
ADAMTSL3,ENSG00000156218
SLC28A1,ENSG00000156222
PCGF6,ENSG00000156374
TDRD9,ENSG00000156414
BAG4,ENSG00000156735
BUB1B,ENSG00000156970
ST3GAL2,ENSG00000157350
CACNA1D,ENSG00000157388
DGKI,ENSG00000157680
PSMG3,ENSG00000157778
PANK4,ENSG00000157881
PEX10,ENSG00000157911
SV2A,ENSG00000159164
CCDC24,ENSG00000159214
C16orf86,ENSG00000159761
SLC25A45,ENSG00000162241
ZFPL1,ENSG00000162300
SLC45A1,ENSG00000162426
RFTN2,ENSG00000162944
CTSS,ENSG00000163131
SGO2,ENSG00000163535
THOC7,ENSG00000163634
ATXN7,ENSG00000163635
ADAMTS9,ENSG00000163638
DCLK3,ENSG00000163673
PRKCD,ENSG00000163932
SFMBT1,ENSG00000163935
C1orf50,ENSG00000164008
SLC9B1,ENSG00000164037
ASB5,ENSG00000164122
LETM2,ENSG00000165046
ANKS6,ENSG00000165138
ADAMTS15,ENSG00000166106
AMN,ENSG00000166126
BAG5,ENSG00000166170
WBP1L,ENSG00000166272
TMPRSS5,ENSG00000166682
ZNF592,ENSG00000166716
STAT6,ENSG00000166888
MARS,ENSG00000166986
C16orf92,ENSG00000167194
DPEP2,ENSG00000167261
DUS2,ENSG00000167264
PRRT2,ENSG00000167371
LTBP3,ENSG00000168056
MAJIN,ENSG00000168070
NT5DC2,ENSG00000168268
SLC35G2,ENSG00000168917
INPP5D,ENSG00000168918
CPT1C,ENSG00000169169
ZEB2,ENSG00000169554
INO80E,ENSG00000169592
SPATA24,ENSG00000170469
MZB1,ENSG00000170476
SLC23A1,ENSG00000170482
EMB,ENSG00000170571
AKAP13,ENSG00000170776
DCDC1,ENSG00000170959
TSNARE1,ENSG00000171045
ESCO2,ENSG00000171320
TVP23B,ENSG00000171928
FBXW10,ENSG00000171931
ATPAF2,ENSG00000171953
DRC3,ENSG00000171962
EFEMP2,ENSG00000172638
MUS81,ENSG00000172732
CFL1,ENSG00000172757
SNX32,ENSG00000172803
OVOL1,ENSG00000172818
RNASEH2C,ENSG00000172922
KAT5,ENSG00000172977
RELA,ENSG00000173039
LRRN3,ENSG00000173114
MAP3K11,ENSG00000173327
KCNK7,ENSG00000173338
EHBP1L1,ENSG00000173442
C1orf100,ENSG00000173728
RBM4,ENSG00000173933
CTSF,ENSG00000174080
ZDHHC24,ENSG00000174165
SNHG11,ENSG00000174365
SEZ6L2,ENSG00000174938
ASPHD1,ENSG00000174939
PACS1,ENSG00000175115
ZNF408,ENSG00000175213
CKAP5,ENSG00000175216
ARHGAP1,ENSG00000175220
ATG13,ENSG00000175224
GAL3ST3,ENSG00000175229
CST6,ENSG00000175315
LSM1,ENSG00000175324
BANF1,ENSG00000175334
EIF1AD,ENSG00000175376
SART1,ENSG00000175467
ALG10B,ENSG00000175548
DRAP1,ENSG00000175550
C11orf68,ENSG00000175573
FOSL1,ENSG00000175592
TOM1L2,ENSG00000175662
FOXG1,ENSG00000176165
ENTHD1,ENSG00000176177
,ENSG00000176349
ZSCAN2,ENSG00000176371
SCAND2P,ENSG00000176700
WDR73,ENSG00000177082
HIC1,ENSG00000177374
BOLA1,ENSG00000178096
KCNG2,ENSG00000178342
C5orf64,ENSG00000178722
HYI,ENSG00000178922
C12orf42,ENSG00000179088
ZBTB18,ENSG00000179456
PLD6,ENSG00000179598
R3HDM2,ENSG00000179912
F2,ENSG00000180210
HARBI1,ENSG00000180423
CHRM4,ENSG00000180720
OGFRP1,ENSG00000182057
ARL6IP4,ENSG00000182196
NXPH4,ENSG00000182379
SNORC,ENSG00000182600
NTM,ENSG00000182667
RPS17,ENSG00000182774
SERHL2,ENSG00000183569
HIST2H3D,ENSG00000183598
SMG1P5,ENSG00000183604
GOLGA6L4,ENSG00000184206
HIST2H2AC,ENSG00000184260
HIST2H2AB,ENSG00000184270
PRKD1,ENSG00000184304
TMEM173,ENSG00000184584
HIST2H2BE,ENSG00000184678
NA,ENSG00000184779
NDUFA4L2,ENSG00000185633
KCNQ5,ENSG00000185760
OR9I2P,ENSG00000186508
LINC01551,ENSG00000186960
TMEM262,ENSG00000187066
C2orf78,ENSG00000187833
EIF4EBP1,ENSG00000187840
GOLGA6L3,ENSG00000188388
SMIM15,ENSG00000188725
UBE2Q2P1,ENSG00000189136
TBC1D28,ENSG00000189375
SPATS2L,ENSG00000196141
MYL6B,ENSG00000196465
NACA,ENSG00000196531
TCF4,ENSG00000196628
HRH1,ENSG00000196639
SNHG17,ENSG00000196756
PGAP1,ENSG00000197121
PCNX3,ENSG00000197136
,ENSG00000197254
NMB,ENSG00000197696
ATAD3A,ENSG00000197785
,ENSG00000197815
PRIM1,ENSG00000198056
SZT2,ENSG00000198198
CTNND1,ENSG00000198561
C3orf35,ENSG00000198590
GRM3,ENSG00000198822
MFAP3L,ENSG00000198948
SNORA60,ENSG00000199266
RNA5SP195,ENSG00000199545
SNORA74A,ENSG00000200959
RNU4-68P,ENSG00000201184
SNORA71C,ENSG00000201512
HIST2H2BF,ENSG00000203814
HIST2H3A,ENSG00000203852
,ENSG00000204241
SNORA9B,ENSG00000206897
RNU6-31P,ENSG00000207116
PFN1P11,ENSG00000213061
MARCKSL1P1,ENSG00000213277
,ENSG00000213361
NA,ENSG00000213410
STIMATE,ENSG00000213533
CPEB1,ENSG00000214575
KRT8P26,ENSG00000214659
RPL6P12,ENSG00000214671
CDIPTOSP,ENSG00000214725
LINC01347,ENSG00000214837
TTC34,ENSG00000215912
ADAMTS7P4,ENSG00000218052
,ENSG00000221083
PLXNA4,ENSG00000221866
SMCR2,ENSG00000223979
,ENSG00000224387
ADM5,ENSG00000224420
LINC01645,ENSG00000224968
GOLGA2P7,ENSG00000225151
,ENSG00000225720
,ENSG00000226286
,ENSG00000226405
SMCR5,ENSG00000226746
,ENSG00000227192
RBM26-AS1,ENSG00000227354
GSTM3P1,ENSG00000227693
LINC01004,ENSG00000228393
PROB1,ENSG00000228672
,ENSG00000228802
LINC01277,ENSG00000229017
,ENSG00000229212
HYI-AS1,ENSG00000229348
SZT2-AS1,ENSG00000229372
,ENSG00000229393
GOLGA6L5P,ENSG00000230373
,ENSG00000230615
NA,ENSG00000230903
,ENSG00000230914
NDUFAF4P4,ENSG00000231378
,ENSG00000231758
,ENSG00000231923
,ENSG00000232618
,ENSG00000232912
,ENSG00000233030
BTBD18,ENSG00000233436
,ENSG00000233492
,ENSG00000233926
RBPMS2P1,ENSG00000234025
,ENSG00000234735
DNM1P51,ENSG00000235370
NFAM1,ENSG00000235568
KDM4A-AS1,ENSG00000236200
NA,ENSG00000236269
PTGES3P4,ENSG00000236937
,ENSG00000237058
,ENSG00000237126
LINC01792,ENSG00000237166
,ENSG00000238045
ZEB2-AS1,ENSG00000238057
HMGN2P17,ENSG00000238249
,ENSG00000238290
KMT2E-AS1,ENSG00000239569
PSMD6-AS2,ENSG00000239653
TLR9,ENSG00000239732
RN7SL116P,ENSG00000240474
THOC7-AS1,ENSG00000240549
PNMA2,ENSG00000240694
,ENSG00000240963
RPL7P19,ENSG00000241458
RN7SL363P,ENSG00000241869
SERBP1P3,ENSG00000242142
,ENSG00000242154
NA,ENSG00000242663
CNTF,ENSG00000242689
RPL21P13,ENSG00000242837
RN7SL634P,ENSG00000242894
AOX2P,ENSG00000243478
,ENSG00000243696
CFAP57,ENSG00000243710
RN7SL417P,ENSG00000244056
AOX3P,ENSG00000244301
NEAT1,ENSG00000245532
,ENSG00000247373
TWF2,ENSG00000247596
MARS2,ENSG00000247626
MEF2C-AS1,ENSG00000248309
SRP14-AS1,ENSG00000248508
,ENSG00000248585
ACTN3,ENSG00000248746
APOBEC3AP1,ENSG00000248822
,ENSG00000248975
ECSCR,ENSG00000249751
,ENSG00000249945
,ENSG00000250105
PITPNM2-AS1,ENSG00000251497
SCARNA5,ENSG00000252010
,ENSG00000252690
RN7SKP64,ENSG00000253015
,ENSG00000253404
RN7SL260P,ENSG00000253602
HNRNPA1P38,ENSG00000253605
,ENSG00000254183
LINC01933,ENSG00000254226
NA,ENSG00000254414
AP5B1,ENSG00000254470
,ENSG00000254489
,ENSG00000254501
,ENSG00000254510
,ENSG00000254530
,ENSG00000254648
,ENSG00000254732
EGLN1P1,ENSG00000254779
,ENSG00000254867
,ENSG00000254898
,ENSG00000254981
,ENSG00000255038
OR1D4,ENSG00000255095
OVOL1-AS1,ENSG00000255120
,ENSG00000256028
APOPT1,ENSG00000256053
,ENSG00000256092
,ENSG00000256152
,ENSG00000256706
FOXG1-AS1,ENSG00000257126
G2E3-AS1,ENSG00000257636
,ENSG00000257809
,ENSG00000258685
TMEM179,ENSG00000258986
,ENSG00000259037
LRP1-AS,ENSG00000259125
,ENSG00000259270
BUB1B-PAK6,ENSG00000259288
CSPG4P12,ENSG00000259295
,ENSG00000259317
,ENSG00000259367
EFL1P1,ENSG00000259404
,ENSG00000259415
UBE2Q2P2,ENSG00000259429
,ENSG00000259442
NIFKP8,ENSG00000259449
CPEB1-AS1,ENSG00000259462
UBE2Q2L,ENSG00000259511
,ENSG00000259515
NA,ENSG00000259567
,ENSG00000259570
,ENSG00000259609
DNM1P38,ENSG00000259637
,ENSG00000259683
,ENSG00000259694
CSPG4P11,ENSG00000259726
,ENSG00000259797
,ENSG00000259807
,ENSG00000259952
,ENSG00000259986
,ENSG00000260362
,ENSG00000260378
,ENSG00000260776
NA,ENSG00000261086
,ENSG00000261136
,ENSG00000261451
LINC02177,ENSG00000261617
IMPDH1P11,ENSG00000261647
,ENSG00000262533
OVCA2,ENSG00000262664
,ENSG00000262810
,ENSG00000262890
,ENSG00000263050
NA,ENSG00000263136
,ENSG00000263257
SNORA70D,ENSG00000263666
RN7SL32P,ENSG00000263941
,ENSG00000265263
NA,ENSG00000265603
RN7SL480P,ENSG00000266187
SLC25A6P4,ENSG00000266909
,ENSG00000266924
,ENSG00000267127
LINC01415,ENSG00000267325
,ENSG00000267441
,ENSG00000269038
,ENSG00000269940
,ENSG00000270108
,ENSG00000270282
,ENSG00000270322
,ENSG00000270445
,ENSG00000271163
,ENSG00000271196
,ENSG00000271396
,ENSG00000271752
,ENSG00000271806
,ENSG00000272092
,ENSG00000272128
MUSTN1,ENSG00000272573
,ENSG00000272912
,ENSG00000272918
MSRA,ENSG00000175806
SIPA1,ENSG00000213445
HIST2H3C,ENSG00000203811
NA,ENSG00000183558
TMEM125,ENSG00000179178
TIE1,ENSG00000066056
MPL,ENSG00000117400
CDC20,ENSG00000117399
ELOVL1,ENSG00000066322
CTSW,ENSG00000172543
FIBP,ENSG00000172500
MED8,ENSG00000159479
RDH16,ENSG00000139547
CCDC85B,ENSG00000175602
TAC3,ENSG00000166863
EXOC6B,ENSG00000144036
SPR,ENSG00000116096
CA14,ENSG00000118298
EMX1,ENSG00000135638
KLC2,ENSG00000174996
APH1A,ENSG00000117362
RAB1B,ENSG00000174903
C1orf54,ENSG00000118292
SFXN5,ENSG00000144040
RPRD2,ENSG00000163125
IMMP2L,ENSG00000184903
RAB11FIP5,ENSG00000135631
NAB2,ENSG00000166886
AKAP6,ENSG00000151320
NPAS3,ENSG00000151322
TXNL1,ENSG00000091164
EGLN3,ENSG00000129521
WDR7,ENSG00000091157
ADAMTSL4,ENSG00000143382
KCTD13,ENSG00000174943
MCL1,ENSG00000143384
VRK1,ENSG00000100749
ENSA,ENSG00000143420
GOLPH3L,ENSG00000143457
BCL11B,ENSG00000127152
HORMAD1,ENSG00000143452
CTSK,ENSG00000143387
FAM57B,ENSG00000149926
ARNT,ENSG00000143437
ALDOA,ENSG00000149925
SETDB1,ENSG00000143379
ANXA2,ENSG00000182718
CERS2,ENSG00000143418
GPM6A,ENSG00000150625
ANXA9,ENSG00000143412
WDR17,ENSG00000150627
SPCS3,ENSG00000129128
SHMT2,ENSG00000182199
BNIPL,ENSG00000163141
C1orf56,ENSG00000143443
CDC42SE1,ENSG00000197622
MLLT11,ENSG00000213190
GABPB2,ENSG00000143458
RORA,ENSG00000069667
SEMA6C,ENSG00000143434
TNFAIP8L2,ENSG00000163154
SCNM1,ENSG00000163156
LYSMD1,ENSG00000163155
TMOD4,ENSG00000163157
STAC3,ENSG00000185482
GLI1,ENSG00000111087
SFXN2,ENSG00000156398
FOXP1,ENSG00000114861
EIF4E2,ENSG00000135930
DDIT3,ENSG00000175197
MBD6,ENSG00000166987
MORN1,ENSG00000116151
RER1,ENSG00000157916
GIGYF2,ENSG00000204120
DCTN2,ENSG00000175203
KCNJ13,ENSG00000115474
MEGF6,ENSG00000162591
GTPBP1,ENSG00000100226
TPRG1L,ENSG00000158109
ATP5MD,ENSG00000173915
WRAP73,ENSG00000116213
KIF5A,ENSG00000155980
SUN2,ENSG00000100242
DNAL4,ENSG00000100246
NPTXR,ENSG00000221890
SPRY2,ENSG00000136158
APOBEC3B,ENSG00000179750
TP73,ENSG00000078900
PIP4K2C,ENSG00000166908
APOBEC3C,ENSG00000244509
APOBEC3D,ENSG00000243811
APOBEC3F,ENSG00000128394
APOBEC3G,ENSG00000239713
APOBEC3H,ENSG00000100298
CALHM2,ENSG00000138172
CBX7,ENSG00000100307
PDGFB,ENSG00000100311
RPL3,ENSG00000100316
SMIM1,ENSG00000235169
LRRC47,ENSG00000130764
DTX3,ENSG00000178498
CALHM1,ENSG00000185933
SYNGR1,ENSG00000100321
TAB1,ENSG00000100324
ARHGEF25,ENSG00000240771
ATF4,ENSG00000128272
RPS19BP1,ENSG00000187051
SLC26A10,ENSG00000135502
B4GALNT1,ENSG00000135454
TNRC6B,ENSG00000100354
AGAP2,ENSG00000135439
RBX1,ENSG00000100387
EP300,ENSG00000100393
L3MBTL2,ENSG00000100395
CHADL,ENSG00000100399
ZC3H7B,ENSG00000100403
TSPAN31,ENSG00000135452
TEF,ENSG00000167074
TOB2,ENSG00000183864
PHF5A,ENSG00000100410
MPHOSPH9,ENSG00000051825
ACO2,ENSG00000100412
METTL22,ENSG00000067365
POLR3H,ENSG00000100413
CDK4,ENSG00000135446
CSDC2,ENSG00000172346
PMM1,ENSG00000100417
MARCH9,ENSG00000139266
DESI1,ENSG00000100418
ABAT,ENSG00000183044
XRCC6,ENSG00000196419
CYP27B1,ENSG00000111012
C12orf65,ENSG00000130921
TMEM186,ENSG00000184857
METTL1,ENSG00000037897
PMM2,ENSG00000140650
CDK2AP1,ENSG00000111328
C22orf46,ENSG00000184208
CARHSP1,ENSG00000153048
MEI1,ENSG00000167077
TSFM,ENSG00000123297
USP7,ENSG00000187555
CCDC134,ENSG00000100147
AVIL,ENSG00000135407
SREBF2,ENSG00000198911
C16orf72,ENSG00000182831
SHISA8,ENSG00000234965
GRIN2A,ENSG00000183454
CENPM,ENSG00000100162
SNRNP35,ENSG00000184209
SEPT3,ENSG00000100167
RILPL1,ENSG00000188026
ATF7IP2,ENSG00000166669
EMP2,ENSG00000213853
CTDSP2,ENSG00000175215
WBP2NL,ENSG00000183066
NAGA,ENSG00000198951
PHETA2,ENSG00000177096
TEKT5,ENSG00000153060
NUBP1,ENSG00000103274
TVP23A,ENSG00000166676
CIITA,ENSG00000179583
RRP7A,ENSG00000189306
ADSS,ENSG00000035687
CLU,ENSG00000120885
SCARA3,ENSG00000168077
TCTN2,ENSG00000168778
MAPK8IP1,ENSG00000121653
PEX16,ENSG00000121680
XRCC3,ENSG00000126215
TBRG1,ENSG00000154144
CREB3L1,ENSG00000157613
NRGN,ENSG00000154146
VSIG2,ENSG00000019102
ESAM,ENSG00000149564
MSANTD2,ENSG00000120458
ROBO3,ENSG00000154134
ZFYVE21,ENSG00000100711
TKT,ENSG00000163931
ROBO4,ENSG00000154133
HEPACAM,ENSG00000165478
PPP1R13B,ENSG00000088808
HEPN1,ENSG00000221932
CCDC15,ENSG00000149548
SLC37A2,ENSG00000134955
TMEM218,ENSG00000150433
ATP5MPL,ENSG00000156411
PKNOX2,ENSG00000165495
FEZ1,ENSG00000149557
EI24,ENSG00000149547
LRP4,ENSG00000134569
C11orf49,ENSG00000149179
STT3A,ENSG00000134910
CHEK1,ENSG00000149554
ARFGAP2,ENSG00000149182
CHDH,ENSG00000016391
IL17RB,ENSG00000056736
ACRV1,ENSG00000134940
PACSIN3,ENSG00000165912
HYLS1,ENSG00000198331
ACTR8,ENSG00000113812
BRF2,ENSG00000104221
RAB11FIP1,ENSG00000156675
ADRB3,ENSG00000188778
ASH2L,ENSG00000129691
MYBPC3,ENSG00000134571
SPI1,ENSG00000066336
SLC39A13,ENSG00000165915
PSMC3,ENSG00000165916
NDUFS3,ENSG00000213619
DEPDC1B,ENSG00000035499
PTPMT1,ENSG00000110536
KBTBD4,ENSG00000123444
FAM180B,ENSG00000196666
C1QTNF4,ENSG00000172247
MTCH2,ENSG00000109919
AGBL2,ENSG00000165923
ELOVL7,ENSG00000164181
SLC32A1,ENSG00000101438
ACTR5,ENSG00000101442
FNBP4,ENSG00000109920
ERCC8,ENSG00000049167
FAM83D,ENSG00000101447
NUP160,ENSG00000030066
DHX35,ENSG00000101452
NDUFAF2,ENSG00000164182
KIF2A,ENSG00000068796
DRG2,ENSG00000108591
ARHGAP15,ENSG00000075884
GTDC1,ENSG00000121964
RINT1,ENSG00000135249
PRDX6,ENSG00000117592
SLC9C2,ENSG00000162753
ANKRD45,ENSG00000183831
KLHL20,ENSG00000076321
CENPL,ENSG00000120334
DARS2,ENSG00000117593
ZBTB37,ENSG00000185278
SERPINC1,ENSG00000117601
RC3H1,ENSG00000135870
ASTN1,ENSG00000152092
BRINP2,ENSG00000198797
VRK2,ENSG00000028116
FANCL,ENSG00000115392
BCL11A,ENSG00000119866
,ENSG00000256500
,ENSG00000269958
NA,ENSG00000224997
LINC00637,ENSG00000258735
,ENSG00000258430
,ENSG00000272159
,ENSG00000253356
ZNF804A,ENSG00000170396
RPL23AP33,ENSG00000237824
SDAD1P1,ENSG00000228451
C7orf50,ENSG00000146540
TMEM184A,ENSG00000164855
MRM2,ENSG00000122687
PPM1M,ENSG00000164088
GLYCTK,ENSG00000168237
SMIM4,ENSG00000168273
GNL3,ENSG00000163938
NEK4,ENSG00000114904
ITIH3,ENSG00000162267
TMEM110-MUSTN1,ENSG00000248592
RFT1,ENSG00000163933
PARP3,ENSG00000041880
CORO2A,ENSG00000106789
NMUR2,ENSG00000132911
RN7SKP232,ENSG00000222102
,ENSG00000270911
,ENSG00000198106
SMG1P6,ENSG00000254634
BOLA2-SMG1P6,ENSG00000261740
SLX1B,ENSG00000181625
SMG1P2,ENSG00000205534
QPRT,ENSG00000103485
,ENSG00000260114
,ENSG00000247735
PPP4C,ENSG00000149923
TBX6,ENSG00000149922
YPEL3,ENSG00000090238
,ENSG00000250616
MAPK3,ENSG00000102882
FAM124B,ENSG00000124019
,ENSG00000245498
CYP17A1-AS1,ENSG00000203886
CYP17A1,ENSG00000148795
RPL22P17,ENSG00000235266
KIAA1324L,ENSG00000164659
,ENSG00000259774
,ENSG00000259551
SLC39A8,ENSG00000138821
NA,ENSG00000270237
NA,ENSG00000268554
,ENSG00000264207
NA,ENSG00000183941
NA,ENSG00000187145
,ENSG00000217648
LINC01877,ENSG00000238217
MRPS30-DT,ENSG00000251141
MRPS30,ENSG00000112996
,ENSG00000272335
,ENSG00000261502
FES,ENSG00000182511
HNRNPRP2,ENSG00000255047
LINC01616,ENSG00000261340
,ENSG00000254532
FSHB,ENSG00000131808
ARL14EP,ENSG00000152219
RPL12P30,ENSG00000242353
RANBP10,ENSG00000141084
SMG1P7,ENSG00000261556
CALB2,ENSG00000172137
SNAP91,ENSG00000065609
MRAP2,ENSG00000135324
RGS6,ENSG00000182732
NA,ENSG00000257040
TMEM161B-AS1,ENSG00000247828
,ENSG00000259946
MLXIP,ENSG00000175727
,ENSG00000235423
NA,ENSG00000270113
KMT5A,ENSG00000183955
HAPLN4,ENSG00000187664
TM6SF2,ENSG00000213996
,ENSG00000267629
GATAD2A,ENSG00000167491
TSSK6,ENSG00000178093
ZNF14,ENSG00000105708
FTCDNL1,ENSG00000226124
TYW5,ENSG00000162971
CAMTA1-IT1,ENSG00000237402
DNAJC19,ENSG00000205981
,ENSG00000241231
CNTN4,ENSG00000144619
,ENSG00000255455
SNX19,ENSG00000120451
,ENSG00000228031
HYKK,ENSG00000188266
PSMA4,ENSG00000041357
CHRNA5,ENSG00000169684
RASGRF1,ENSG00000058335
NDRG4,ENSG00000103034
SETD6,ENSG00000103037
DOPEY1,ENSG00000083097
ALKBH5,ENSG00000091542
,ENSG00000260647
SMCR8,ENSG00000176994
SNORD13,ENSG00000239039
,ENSG00000254302
,ENSG00000253108
DCTN1-AS1,ENSG00000237737
NAT8,ENSG00000144035
ALMS1P1,ENSG00000163016
TPRKB,ENSG00000144034
PLCB2,ENSG00000137841
KNSTRN,ENSG00000128944
C18orf54,ENSG00000166845
NA,ENSG00000260655
LINC00634,ENSG00000205704
SLC25A5P1,ENSG00000215347
NDUFA6,ENSG00000184983
CYP2D6,ENSG00000100197
CYP2D8P,ENSG00000226450
MCAT,ENSG00000100294
SNORD3B-2,ENSG00000262074
,ENSG00000228157
,ENSG00000197665
LINC02094,ENSG00000227078
