Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000008130,NADK,20,-0.2255,15,-0.6789,21,-0.1291,21,-0.1343,15,-0.6946,15,-0.6196,52,1.35771,34,0.63843
ENSG00000078369,GNB1,313,-0.7546,510,0.00946,563,0.19236,513,0.01861,521,0.05135,462,-0.1480,568,0.18326,534,0.08377
ENSG00000187730,GABRD,54,-1.3805,75,-0.8938,163,0.36975,94,-0.5453,98,-0.5419,205,0.70562,188,0.56271,196,0.63093
ENSG00000067606,PRKCZ,122,-0.4436,114,-0.5525,176,0.14948,219,0.48897,183,0.21716,163,0.01067,176,0.13389,109,-0.6173
ENSG00000162585,FAAP20,50,0.80103,41,0.48108,39,0.45392,21,-0.5996,22,-0.5281,18,-0.8346,26,-0.2702,27,-0.1787
ENSG00000157933,SKI,40,0.61467,19,-0.5644,29,0.09778,15,-0.9777,41,0.75545,18,-0.6959,24,-0.2330,20,-0.4987
ENSG00000157916,RER1,43,-0.1638,53,0.18098,41,-0.2378,55,0.23381,39,-0.3462,57,0.31600,55,0.23184,50,0.09598
ENSG00000157911,PEX10,25,0.43063,22,0.24033,26,0.59647,16,-0.2389,14,-0.5011,15,-0.3590,9,-1.0515,21,0.19202
ENSG00000149527,PLCH2,9,-0.6370,6,-1.0788,21,0.83239,2,-2.7945,7,-1.1148,15,0.14807,27,1.19886,19,0.58906
ENSG00000157881,PANK4,2,-2.6283,12,0.05804,9,-0.3733,21,1.05836,9,-0.3186,11,0.02933,16,0.56909,13,0.27662
ENSG00000197921,HES5,25,1.27003,24,1.15250,8,-0.6357,2,-2.5395,8,-0.7210,8,-0.4910,21,0.97239,5,-1.0994
ENSG00000157873,TNFRSF14,13,0.48189,11,0.30357,14,0.72365,6,-0.6481,1,-3.0045,9,-0.0466,8,-0.2623,17,0.92825
ENSG00000157870,PRXL2B,20,-1.1117,30,-0.4502,42,0.04765,39,-0.0602,48,0.30756,41,0.02459,59,0.59978,37,-0.1280
ENSG00000177133,PRDM16-DT,26,0.21841,36,0.72284,24,0.05698,18,-0.3406,25,0.17225,7,-1.8548,38,0.79705,7,-1.7447
ENSG00000158109,TPRG1L,79,-1.2630,174,-0.0468,196,0.15936,169,-0.0962,221,0.38878,207,0.22892,137,-0.4228,193,0.12182
ENSG00000116213,WRAP73,14,0.50682,8,-0.3835,8,-0.4371,6,-0.8017,7,-0.4809,11,0.18884,19,1.02673,12,0.30169
ENSG00000130764,LRRC47,36,-1.1856,74,-0.0939,69,-0.2129,95,0.31245,77,-0.0152,97,0.34943,101,0.41148,85,0.14448
ENSG00000116198,CEP104,55,1.28534,26,0.03891,15,-0.8547,23,-0.1473,32,0.41648,21,-0.3164,27,0.08317,8,-1.6411
ENSG00000198912,C1orf174,8,-0.5948,8,-0.6753,14,0.15196,22,0.94031,6,-1.1347,21,0.82157,15,0.24461,11,-0.1571
ENSG00000196581,AJAP1,21,-0.5203,12,-1.3302,19,-0.7302,19,-0.7132,30,0.00832,40,0.48348,55,1.01758,52,0.90599
ENSG00000069424,KCNAB2,97,-0.7410,157,0.00557,173,0.18736,122,-0.3899,155,-0.0175,192,0.33426,149,-0.0767,190,0.31345
ENSG00000116254,CHD5,200,0.03087,113,-0.8594,181,-0.1356,206,0.08372,284,0.70818,185,-0.0917,225,0.22670,98,-1.0731
ENSG00000116251,RPL22,721,0.23975,962,0.72073,619,-0.0085,716,0.22795,622,0.00101,320,-1.0337,427,-0.5900,589,-0.0868
ENSG00000116237,ICMT,21,-0.6130,28,-0.1619,29,-0.1194,19,-0.7886,28,-0.2298,52,0.82230,51,0.77156,30,-0.0811
ENSG00000097021,ACOT7,51,-2.0609,96,-1.1303,189,-0.0897,220,0.16697,190,-0.0815,383,1.10290,214,0.11716,265,0.46900
ENSG00000215788,TNFRSF25,14,-0.6644,19,-0.2508,15,-0.6223,5,-2.1492,14,-0.8052,24,0.10562,63,1.79412,39,0.93135
ENSG00000171680,PLEKHG5,12,-0.7190,10,-1.0773,18,-0.2058,22,0.16593,11,-0.9016,25,0.35268,38,1.08621,33,0.82652
ENSG00000162408,NOL9,25,-0.2303,24,-0.2974,30,0.10244,18,-0.7002,26,-0.2025,30,0.09346,52,0.99526,26,-0.1828
ENSG00000162413,KLHL21,19,-0.5015,21,-0.3585,29,0.17711,20,-0.4408,19,-0.5560,23,-0.2077,38,0.58314,47,0.93937
ENSG00000116273,PHF13,11,-0.1712,21,0.87466,6,-1.1769,18,0.64622,11,-0.1374,18,0.63502,10,-0.3237,9,-0.3663
ENSG00000041988,THAP3,8,-0.5623,5,-1.1906,13,0.15056,7,-0.8887,12,-0.0580,12,0.02472,18,0.57517,21,0.90829
ENSG00000007923,DNAJC11,23,-0.2051,22,-0.2596,31,0.26621,18,-0.5711,31,0.29470,26,-0.0219,28,0.07549,23,-0.1985
ENSG00000171735,CAMTA1,205,-0.7021,212,-0.6485,286,-0.2053,390,0.31619,391,0.36585,445,0.53156,377,0.26077,227,-0.5479
ENSG00000049245,VAMP3,67,1.64254,28,0.14489,22,-0.2845,19,-0.4546,22,-0.2830,12,-1.1451,28,0.15259,15,-0.8116
ENSG00000049246,PER3,59,0.40455,56,0.29873,37,-0.3995,35,-0.4227,37,-0.4010,26,-0.8826,102,1.34559,37,-0.3643
ENSG00000116288,PARK7,212,-0.7491,385,0.19100,347,0.02712,329,-0.0618,289,-0.2980,381,0.17368,397,0.24158,444,0.42412
ENSG00000116285,ERRFI1,14,-0.4119,22,0.21113,16,-0.3238,7,-1.5033,18,-0.0694,38,1.17199,20,0.12245,20,0.06631
ENSG00000162426,SLC45A1,8,-1.2625,11,-0.8223,25,0.44941,22,0.15156,20,0.00166,38,1.08848,6,-1.7829,22,0.14887
ENSG00000142599,RERE,147,0.45564,87,-0.3970,94,-0.3049,66,-0.8118,142,0.44770,94,-0.2731,132,0.27253,117,0.08325
ENSG00000074800,ENO1,405,-0.1048,693,0.78000,364,-0.3021,477,0.15905,338,-0.4327,442,0.03427,398,-0.1304,504,0.24848
ENSG00000171612,SLC25A33,26,-0.3995,77,1.39926,25,-0.5463,29,-0.2418,26,-0.4659,20,-0.8230,39,0.21221,46,0.51737
ENSG00000171608,PIK3CD,2,-2.2097,3,-1.8661,24,1.54592,6,-0.9642,18,0.97621,7,-0.7671,5,-1.0672,3,-1.8545
ENSG00000171603,CLSTN1,248,-1.4531,388,-0.7750,548,-0.2649,734,0.23020,593,-0.1274,984,0.71760,868,0.50634,862,0.49584
ENSG00000178585,CTNNBIP1,29,0.05649,37,0.48761,41,0.73886,24,-0.2418,19,-0.6442,33,0.30198,22,-0.3780,12,-1.2643
ENSG00000162441,LZIC,87,0.65697,68,0.27075,41,-0.5787,59,0.03592,70,0.34466,39,-0.6050,59,0.03945,44,-0.4434
ENSG00000130939,UBE4B,38,0.00932,15,-1.3664,38,0.02621,48,0.37443,41,0.15076,47,0.34707,54,0.57427,17,-1.1961
ENSG00000054523,KIF1B,427,0.14643,306,-0.3816,355,-0.1670,393,0.01361,491,0.42964,420,0.12089,440,0.19579,219,-0.8961
ENSG00000284642,AL139424.2,4,-1.4672,6,-0.7125,15,0.68665,9,-0.1620,10,-0.0574,20,1.05519,9,-0.1620,5,-1.1093
ENSG00000142657,PGD,32,-0.6663,41,-0.3074,54,0.16597,68,0.50836,36,-0.5537,74,0.65601,55,0.14967,46,-0.1260
ENSG00000175279,CENPS,2,-2.2514,12,-0.0871,16,0.52123,9,-0.4263,15,0.31247,13,0.07701,13,0.05716,12,-0.0546
ENSG00000241563,CORT,7,-2.3990,14,-1.4111,11,-1.8200,262,4.70178,1,-4.7436,10,-1.8550,8,-2.1023,23,-0.6565
ENSG00000160049,DFFA,62,0.76154,28,-0.5215,42,0.12541,42,0.11021,28,-0.5789,46,0.26842,43,0.15020,30,-0.4110
ENSG00000142655,PEX14,9,-0.8242,11,-0.5648,15,-0.1199,24,0.63527,14,-0.3183,20,0.35670,20,0.32270,20,0.34004
ENSG00000120948,TARDBP,88,0.31425,67,-0.1204,54,-0.5222,65,-0.1668,75,0.05192,74,0.02375,100,0.51220,75,0.05454
ENSG00000271895,AL109811.2,8,-0.8292,13,-0.1764,14,-0.0812,9,-0.6762,16,0.18571,12,-0.2561,30,1.19388,12,-0.2344
ENSG00000116649,SRM,36,-0.3873,61,0.48338,38,-0.3297,29,-0.6776,45,-0.0152,34,-0.4407,69,0.67362,60,0.45081
ENSG00000171824,EXOSC10,53,0.94208,29,-0.0491,23,-0.4852,20,-0.6680,24,-0.4224,36,0.30281,32,0.09880,38,0.37737
ENSG00000198793,MTOR,13,-1.6639,39,-0.0616,36,-0.2055,42,0.06447,41,0.03800,45,0.17529,52,0.42794,57,0.57331
ENSG00000116661,FBXO2,169,-0.0351,257,0.65193,182,0.09996,175,0.01995,125,-0.5566,134,-0.3989,187,0.12770,189,0.14935
ENSG00000132879,FBXO44,46,-0.7166,50,-0.5975,88,0.33079,49,-0.6120,62,-0.2994,100,0.50327,75,0.04621,113,0.70614
ENSG00000177000,MTHFR,19,0.39725,17,0.18969,13,-0.1587,15,0.01027,9,-0.7745,17,0.21496,22,0.65196,13,-0.2420
ENSG00000011021,CLCN6,47,-0.4094,68,0.17103,57,-0.1157,69,0.19883,60,-0.0532,82,0.46413,64,0.06232,49,-0.3532
ENSG00000116685,KIAA2013,48,1.28567,17,-0.4259,17,-0.4388,9,-1.3874,18,-0.3443,25,0.15618,31,0.50964,23,0.04328
ENSG00000083444,PLOD1,17,-0.0453,7,-1.4093,19,0.10674,27,0.67872,21,0.36718,16,-0.1409,18,0.05281,10,-0.7788
ENSG00000116688,MFN2,67,-0.8154,83,-0.4955,115,0.01956,146,0.40518,125,0.18119,133,0.25666,108,-0.0844,118,0.06635
ENSG00000116691,MIIP,15,0.79357,20,1.31819,9,0.09113,4,-1.3177,2,-2.0511,10,0.15034,10,0.19183,8,-0.1803
ENSG00000048707,VPS13D,58,-0.3132,50,-0.5238,76,0.14065,50,-0.5303,114,0.92384,83,0.26799,57,-0.3445,27,-1.4721
ENSG00000162496,DHRS3,38,1.26316,47,1.65245,11,-0.8154,7,-1.4704,8,-1.3327,13,-0.4323,13,-0.4387,23,0.36940
ENSG00000116731,PRDM2,173,0.07138,86,-1.0142,107,-0.7514,227,0.51430,261,0.87786,175,0.08568,143,-0.2382,117,-0.5465
ENSG00000189337,KAZN,57,0.11743,34,-0.6828,60,0.22801,40,-0.4254,60,0.22506,63,0.27608,51,-0.0695,45,-0.2707
ENSG00000142634,EFHD2,63,-0.6964,39,-1.4155,115,0.28104,239,1.51214,143,0.69341,79,-0.3454,43,-1.2626,9,-3.5139
ENSG00000116138,DNAJC16,25,-0.2632,23,-0.3993,22,-0.4817,25,-0.2427,31,0.07318,48,0.78836,36,0.30371,32,0.15407
ENSG00000197312,DDI2,24,-0.2072,20,-0.4864,19,-0.5690,41,0.67356,32,0.32703,40,0.61843,24,-0.1959,19,-0.5378
ENSG00000116786,PLEKHM2,74,0.11251,72,0.07367,98,0.67351,42,-0.7758,61,-0.2054,57,-0.2834,41,-0.7877,83,0.29208
ENSG00000065526,SPEN,222,1.36499,51,-1.0324,56,-0.9753,147,0.64020,111,0.20983,87,-0.2119,97,-0.0311,55,-0.9149
ENSG00000116809,ZBTB17,24,0.83779,24,0.82990,18,0.42818,8,-0.8711,4,-1.8909,21,0.59051,15,0.04376,7,-1.0431
ENSG00000037637,FBXO42,10,-1.1007,9,-1.2677,13,-0.6702,41,1.20205,21,0.06617,23,0.19558,28,0.55885,21,0.09828
ENSG00000055070,SZRD1,51,1.53784,34,0.81255,19,-0.1182,15,-0.4491,7,-1.7665,9,-1.2441,29,0.53106,16,-0.3788
ENSG00000157191,NECAP2,19,1.37545,17,1.17819,11,0.52236,1,-2.8545,3,-1.4200,2,-1.8142,7,-0.1552,7,-0.1823
ENSG00000058453,CROCC,10,0.05060,1,-2.5005,10,0.03286,4,-1.2131,10,0.01161,12,0.34508,22,1.38927,7,-0.3987
ENSG00000159363,ATP13A2,41,-1.0443,40,-1.0903,106,0.50212,83,0.03425,87,0.13608,112,0.53104,91,0.18446,56,-0.5693
ENSG00000117118,SDHB,32,-1.2808,102,0.53018,57,-0.4506,83,0.18781,63,-0.2582,96,0.42632,54,-0.4773,128,0.92593
ENSG00000117115,PADI2,159,2.40910,60,0.55493,45,0.08883,15,-1.5836,22,-1.1119,20,-1.1668,27,-0.7228,12,-1.9028
ENSG00000179051,RCC2,15,0.09975,12,-0.2935,22,0.83431,3,-2.3846,7,-1.0853,19,0.47738,9,-0.7026,25,0.96320
ENSG00000074964,ARHGEF10L,25,0.80278,10,-0.6058,16,0.09690,18,0.24576,12,-0.4799,14,-0.1431,17,0.14528,14,-0.1792
ENSG00000117154,IGSF21,50,-0.0765,53,0.00837,42,-0.3970,31,-0.7994,54,0.04954,56,0.10695,80,0.67898,64,0.31090
ENSG00000159423,ALDH4A1,31,1.08900,17,0.12660,20,0.39699,7,-1.1648,16,-0.0065,6,-1.3171,20,0.35513,6,-1.4390
ENSG00000169991,IFFO2,8,-0.4576,9,-0.2803,8,-0.3363,5,-1.1884,16,0.78170,10,-0.0866,20,1.08921,4,-1.3047
ENSG00000127481,UBR4,45,1.21378,19,-0.2016,9,-1.4321,19,-0.2314,32,0.70990,20,-0.1659,27,0.33133,7,-1.7150
ENSG00000127463,EMC1,25,-0.1049,17,-0.6751,24,-0.2174,39,0.59122,13,-1.1719,37,0.49095,33,0.30203,45,0.83607
ENSG00000053372,MRTO4,20,-1.0035,33,-0.2540,36,-0.1040,43,0.19502,52,0.55361,36,-0.1000,52,0.47916,25,-0.6948
ENSG00000053371,AKR7A2,52,0.89258,48,0.78409,18,-0.8646,18,-0.8111,20,-0.6731,20,-0.6568,55,1.01226,31,0.05778
ENSG00000077549,CAPZB,110,-0.3187,132,-0.0278,122,-0.1826,109,-0.3306,138,0.04712,159,0.26784,152,0.19459,165,0.32459
ENSG00000173436,MICOS10,235,-0.6500,396,0.17411,409,0.25683,497,0.54868,395,0.19352,251,-0.5484,265,-0.4645,303,-0.2544
ENSG00000158747,NBL1,123,-0.0083,109,-0.1936,154,0.41556,113,-0.1351,123,-0.0029,113,-0.1385,110,-0.1862,111,-0.1732
ENSG00000169914,OTUD3,9,-1.0522,12,-0.7087,17,-0.2133,25,0.46463,22,0.27910,33,0.93014,12,-0.7249,20,0.07370
ENSG00000162545,CAMK2N1,1201,-0.3991,2557,0.83461,1430,-0.1385,773,-1.0764,1296,-0.3107,1017,-0.6576,2063,0.47071,2393,0.72114
ENSG00000090432,MUL1,16,-0.4236,12,-0.8712,19,-0.1810,27,0.38585,28,0.48106,22,0.06122,25,0.21983,17,-0.3214
ENSG00000183114,FAM43B,11,0.08281,2,-2.5798,11,0.02073,30,1.72440,11,0.05158,11,-0.0078,9,-0.2820,1,-2.7206
ENSG00000158828,PINK1,222,-0.9648,298,-0.5154,493,0.32760,410,-0.0113,482,0.28462,542,0.44272,263,-0.7094,445,0.11855
ENSG00000244038,DDOST,7,-1.2272,15,-0.1885,15,-0.2089,12,-0.5406,11,-0.6979,14,-0.2644,48,1.75960,22,0.36890
ENSG00000117245,KIF17,6,-2.0713,10,-1.3894,27,0.03140,51,1.08882,41,0.87077,19,-0.4846,29,0.15026,11,-1.3480
ENSG00000189410,SH2D5,6,-2.6441,24,-0.6106,41,0.29635,33,-0.0933,28,-0.3958,39,0.18261,38,0.11317,73,1.22823
ENSG00000127483,HP1BP3,357,0.53737,229,-0.1812,161,-0.7992,309,0.29550,282,0.16671,247,-0.0635,283,0.15197,260,0.01828
ENSG00000075151,EIF4G3,175,-0.3678,79,-1.5737,121,-1.0278,335,0.68008,234,0.10282,422,1.08284,259,0.25225,233,0.08394
ENSG00000117298,ECE1,23,0.92628,19,0.62041,13,-0.0250,6,-1.1246,7,-0.9113,10,-0.4045,28,1.23915,4,-1.7729
ENSG00000076864,RAP1GAP,65,-0.9730,73,-0.7897,144,0.31791,125,0.04149,124,0.03666,179,0.63447,134,0.16349,102,-0.2778
ENSG00000090686,USP48,102,0.60873,49,-0.5708,43,-0.8416,86,0.33945,70,0.01117,80,0.20779,93,0.46546,64,-0.1356
ENSG00000070831,CDC42,115,-0.5780,115,-0.5798,147,-0.2275,203,0.32251,171,0.04751,255,0.70244,151,-0.1542,191,0.21678
ENSG00000184677,ZBTB40,15,0.71041,1,-2.5904,11,0.25936,11,0.20441,8,-0.3554,11,0.11403,18,0.93214,3,-1.4723
ENSG00000173372,C1QA,45,2.23906,11,-0.2671,12,-0.1816,11,-0.2505,3,-2.0658,5,-1.4221,14,0.11475,13,0.02909
ENSG00000173369,C1QB,29,2.04109,20,1.33682,4,-1.2651,1,-2.4879,5,-0.8411,4,-1.2125,12,0.49442,4,-1.0821
ENSG00000133216,EPHB2,11,0.41162,5,-0.9484,10,0.14266,3,-1.4546,9,-0.0047,9,0.06363,10,0.18194,13,0.62270
ENSG00000004487,KDM1A,37,-0.4900,44,-0.2229,32,-0.7795,50,-0.0200,49,-0.0549,58,0.23193,92,1.00616,61,0.32288
ENSG00000169641,LUZP1,72,-0.8308,51,-1.3478,103,-0.3115,105,-0.2453,182,0.75882,244,1.15901,100,-0.3258,84,-0.5951
ENSG00000125944,HNRNPR,143,0.20501,83,-0.6480,77,-0.8325,117,-0.1148,162,0.47498,117,-0.1075,163,0.42950,154,0.33024
ENSG00000125945,ZNF436,6,-1.1751,8,-0.6094,9,-0.4934,3,-1.9536,13,0.03724,14,0.13581,35,1.75278,15,0.31090
ENSG00000249087,ZNF436-AS1,6,-0.4445,9,0.13302,11,0.49197,6,-0.5822,7,-0.4119,3,-1.3214,7,-0.4138,19,1.24939
ENSG00000204219,TCEA3,16,0.33785,15,0.26176,11,-0.2528,35,1.73971,7,-0.8887,3,-1.8484,17,0.46061,4,-1.6708
ENSG00000088280,ASAP3,16,0.83045,13,0.52141,12,0.35534,5,-0.9234,10,0.08131,9,-0.1052,6,-0.7589,3,-1.5985
ENSG00000117318,ID3,73,3.40783,34,1.61578,6,-1.2474,0,-6.3186,0,-4.8477,1,-3.2923,10,-0.4344,1,-3.1475
ENSG00000142676,RPL11,631,0.29087,873,0.83600,637,0.34794,413,-0.3885,449,-0.2836,274,-1.0197,438,-0.2946,474,-0.1713
ENSG00000011007,ELOA,38,0.60280,33,0.36020,15,-0.8855,21,-0.3154,27,0.04784,30,0.22763,31,0.26420,24,-0.1430
ENSG00000057757,PITHD1,63,-1.4747,109,-0.6426,185,0.21427,188,0.22054,161,-0.0304,219,0.47125,200,0.31669,171,0.06279
ENSG00000011009,LYPLA2,18,-0.3714,14,-0.7685,29,0.38868,13,-0.9133,34,0.66766,23,-0.0030,19,-0.3597,22,-0.1051
ENSG00000117308,GALE,5,-1.4549,11,-0.2296,14,0.05014,6,-1.1107,8,-0.7297,21,0.75058,19,0.56257,25,1.08241
ENSG00000117305,HMGCL,15,0.16947,21,0.77802,17,0.45125,6,-1.1012,8,-0.8959,8,-0.7642,13,0.04346,19,0.57860
ENSG00000179163,FUCA1,8,-0.3778,6,-0.8325,8,-0.2526,11,0.15197,13,0.49217,10,-0.0152,11,0.13045,11,0.17583
ENSG00000189266,PNRC2,57,0.04665,51,-0.1330,38,-0.6467,48,-0.2008,66,0.33940,58,0.07820,59,0.11394,70,0.38343
ENSG00000188529,SRSF10,92,0.90420,34,-0.6857,46,-0.2480,51,-0.0720,36,-0.6743,49,-0.1258,72,0.47275,71,0.45648
ENSG00000001460,STPG1,4,-1.3053,2,-2.3619,16,0.81561,7,-0.6232,13,0.47086,11,0.05133,13,0.40961,8,-0.4798
ENSG00000001461,NIPAL3,120,0.65725,50,-0.7384,75,-0.1114,96,0.28691,72,-0.1893,114,0.56807,69,-0.2439,59,-0.4728
ENSG00000133226,SRRM1,407,1.80006,68,-1.1687,86,-0.8893,195,0.47735,126,-0.2473,132,-0.1482,133,-0.1410,93,-0.6905
ENSG00000169504,CLIC4,121,3.05727,42,0.87753,13,-1.0655,16,-0.6458,10,-1.4759,5,-2.2868,12,-1.0998,5,-2.2409
ENSG00000117614,SYF2,145,0.54579,129,0.35252,85,-0.3558,120,0.23083,81,-0.4292,75,-0.5046,121,0.23799,117,0.18776
ENSG00000117616,RSRP1,98,0.82825,38,-0.6899,49,-0.3349,57,-0.0719,48,-0.3809,53,-0.1786,89,0.66103,65,0.15190
ENSG00000183726,TMEM50A,52,-0.2827,92,0.65382,41,-0.6895,27,-1.2442,55,-0.1998,67,0.12969,91,0.62700,96,0.72206
ENSG00000204178,MACO1,52,0.13318,34,-0.5479,26,-1.0261,66,0.52067,49,0.01668,59,0.33475,76,0.73927,45,-0.1209
ENSG00000117643,MAN1C1,13,-1.0817,14,-1.0773,18,-0.6893,4,-2.6912,18,-0.7165,46,0.84948,50,0.98400,75,1.73445
ENSG00000162430,SELENON,41,0.92358,22,-0.0551,29,0.42513,20,-0.2171,16,-0.6306,8,-1.6679,27,0.26355,23,0.00425
ENSG00000117640,MTFR1L,60,0.12055,48,-0.2330,56,0.00758,61,0.14868,44,-0.4045,55,-0.0255,78,0.55439,54,-0.0359
ENSG00000117632,STMN1,544,-1.4623,795,-0.8872,1391,-0.0163,2015,0.59305,1497,0.11683,1828,0.43032,1354,-0.0571,1724,0.33402
ENSG00000158008,EXTL1,25,-0.6650,24,-0.7489,43,0.21736,53,0.52698,41,0.12088,32,-0.2635,54,0.56160,27,-0.5630
ENSG00000175087,PDIK1L,7,-0.7931,9,-0.4529,10,-0.2537,15,0.35609,13,0.14792,19,0.71946,11,-0.1170,12,0.03683
ENSG00000142684,ZNF593,18,-0.3344,18,-0.3247,22,-0.0734,36,0.76335,18,-0.3667,20,-0.2162,32,0.56668,22,-0.0674
ENSG00000142669,SH3BGRL3,134,-0.2564,150,-0.0758,163,0.06359,181,0.22562,207,0.51452,110,-0.5605,142,-0.1634,116,-0.4768
ENSG00000158062,UBXN11,15,0.22345,17,0.42790,16,0.33388,8,-0.7730,12,-0.1766,8,-0.7627,6,-1.0628,22,0.79254
ENSG00000117682,DHDDS,10,-1.1283,12,-0.8343,24,0.17655,41,1.04925,23,0.11686,21,-0.0167,22,0.00824,16,-0.4974
ENSG00000198830,HMGN2,297,1.02578,221,0.51735,124,-0.4615,167,0.05522,124,-0.4620,83,-1.0203,175,0.13679,172,0.10493
ENSG00000117713,ARID1A,64,0.42249,57,0.22227,47,-0.0783,51,0.04820,44,-0.2052,45,-0.1649,55,0.15411,41,-0.3009
ENSG00000204160,ZDHHC18,11,-0.1641,5,-1.3376,18,0.61648,19,0.62092,6,-1.3217,20,0.70420,12,-0.1573,14,0.15146
ENSG00000142751,GPN2,21,0.19493,13,-0.4815,18,-0.0579,28,0.66449,17,-0.1710,18,-0.0426,21,0.20063,14,-0.3981
