Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228594,FNDC10,12,-1.5025,34,0.24535,18,-0.8116,50,0.99905,34,0.29543
ENSG00000197530,MIB2,27,-0.5535,48,0.38601,32,-0.2953,42,0.17854,42,0.25187
ENSG00000248333,CDK11B,135,0.93411,83,-0.0052,101,0.35201,55,-0.6987,56,-0.7623
ENSG00000008128,CDK11A,94,1.76356,31,-0.4500,42,0.05981,22,-1.0514,20,-1.2653
ENSG00000215790,SLC35E2A,11,-1.3137,41,0.80122,19,-0.4794,32,0.46247,28,0.25350
ENSG00000008130,NADK,15,-0.5076,27,0.48874,18,-0.1626,17,-0.2323,24,0.37684
ENSG00000078369,GNB1,212,-1.4193,843,0.87681,365,-0.5391,721,0.70793,511,0.05669
ENSG00000187730,GABRD,8,-4.5109,96,-0.7797,167,0.09459,193,0.35960,251,1.07687
ENSG00000067606,PRKCZ,76,-1.5910,153,-0.4087,199,0.00920,297,0.77270,228,0.30279
ENSG00000162585,FAAP20,44,0.25413,94,1.55803,18,-1.1960,44,0.29232,24,-0.8598
ENSG00000157933,SKI,29,-0.0182,51,0.88229,57,1.30631,23,-0.4063,9,-2.0933
ENSG00000157916,RER1,41,-0.4492,50,-0.0743,46,-0.2630,50,-0.1146,69,0.57566
ENSG00000157911,PEX10,33,0.39063,29,0.12196,23,-0.2320,22,-0.3309,27,0.02734
ENSG00000157870,PRXL2B,9,-2.3406,85,1.23294,26,-0.7671,48,0.31251,52,0.52157
ENSG00000158109,TPRG1L,53,-2.0411,165,-0.1837,189,0.04413,242,0.50652,238,0.55648
ENSG00000130764,LRRC47,14,-2.5206,52,-0.4439,91,0.52138,77,0.21561,90,0.59934
ENSG00000116198,CEP104,94,1.68273,23,-0.9248,41,-0.0468,27,-0.7222,24,-1.0345
ENSG00000196581,AJAP1,21,-1.2562,41,-0.1168,90,1.40578,19,-1.4131,49,0.18786
ENSG00000069424,KCNAB2,35,-2.9872,306,0.46196,250,0.15103,299,0.49156,276,0.38824
ENSG00000116254,CHD5,76,-2.0032,322,0.33450,446,1.04589,271,0.06495,236,-0.2076
ENSG00000116251,RPL22,982,0.76987,876,0.47059,466,-0.5937,794,0.35095,402,-0.9281
ENSG00000116237,ICMT,19,-0.7855,33,0.09559,7,-2.3543,44,0.65909,46,0.86021
ENSG00000097021,ACOT7,50,-2.5858,111,-1.2688,184,-0.5593,278,0.17050,466,1.51957
ENSG00000171680,PLEKHG5,3,-3.2972,39,0.78142,31,0.49383,18,-0.4717,32,0.64777
ENSG00000162408,NOL9,19,-0.1869,24,0.20692,9,-1.3284,38,1.09235,19,-0.2270
ENSG00000162413,KLHL21,12,-0.8637,17,-0.2795,16,-0.4050,28,0.66199,23,0.34882
ENSG00000041988,THAP3,8,-1.3987,23,0.23411,21,0.12311,20,-0.0156,26,0.54991
ENSG00000007923,DNAJC11,16,-0.9767,22,-0.4232,33,0.22819,42,0.64613,30,0.02083
ENSG00000171735,CAMTA1,183,-1.0449,345,0.02461,439,0.47932,352,0.06407,368,0.16619
ENSG00000049245,VAMP3,108,3.12859,28,-0.1489,10,-1.8763,11,-1.6051,8,-2.2423
ENSG00000049246,PER3,40,0.93426,36,0.62733,34,0.63768,10,-1.4916,13,-1.0800
ENSG00000116288,PARK7,161,-1.2275,361,0.11844,199,-0.8890,462,0.60569,448,0.64569
ENSG00000162426,SLC45A1,9,-1.7857,13,-1.0977,22,-0.3038,20,-0.4304,49,1.55946
ENSG00000142599,RERE,260,0.89708,153,-0.1064,228,0.62852,106,-0.7393,98,-0.9675
ENSG00000074800,ENO1,231,-1.1651,624,0.49263,313,-0.6693,368,-0.3963,722,1.04342
ENSG00000171612,SLC25A33,18,-0.0798,53,1.79232,0,-4.7590,11,-0.9482,26,0.67908
ENSG00000171603,CLSTN1,210,-2.0182,414,-0.8744,873,0.34241,614,-0.2925,1147,1.07527
ENSG00000178585,CTNNBIP1,27,-0.2804,55,0.93200,16,-1.1486,48,0.82349,26,-0.3909
ENSG00000162441,LZIC,118,1.32283,77,0.38196,47,-0.4399,57,-0.1234,30,-1.3202
ENSG00000130939,UBE4B,38,-0.2550,19,-1.2826,54,0.40706,42,-0.0479,49,0.26170
ENSG00000054523,KIF1B,558,0.57683,311,-0.4401,497,0.35479,375,-0.1598,311,-0.5405
ENSG00000142657,PGD,31,-1.0191,63,0.13926,34,-0.9107,72,0.39922,80,0.73205
ENSG00000241563,CORT,132,1.36626,47,-0.5626,31,-1.2678,69,0.04285,54,-0.4463
ENSG00000160049,DFFA,125,1.28391,68,0.05264,75,0.22976,37,-0.9974,39,-0.9625
ENSG00000142655,PEX14,9,-1.3675,14,-0.5884,26,0.38701,17,-0.3104,30,0.80814
ENSG00000120948,TARDBP,90,0.38692,74,0.01044,93,0.43267,42,-0.9555,70,-0.0940
ENSG00000116649,SRM,45,-0.5890,97,0.69984,38,-0.8708,70,0.19685,76,0.40238
ENSG00000171824,EXOSC10,50,0.46762,38,-0.0285,66,1.03603,12,-1.9055,31,-0.4137
ENSG00000198793,MTOR,24,-0.8873,14,-1.6261,30,-0.5554,40,-0.0573,70,1.26337
ENSG00000116661,FBXO2,78,-1.5323,472,1.50357,68,-1.7519,244,0.39745,239,0.41764
ENSG00000132879,FBXO44,26,-2.3559,99,-0.1938,129,0.26846,107,-0.0833,165,0.88938
ENSG00000011021,CLCN6,29,-1.2002,71,0.25856,61,0.01024,67,0.19621,73,0.39710
ENSG00000116685,KIAA2013,28,-0.1546,20,-0.6257,44,0.67721,30,0.00484,27,-0.2620
ENSG00000116688,MFN2,90,-0.2871,77,-0.5086,81,-0.4643,95,-0.1996,151,0.78833
ENSG00000048707,VPS13D,54,-0.4800,61,-0.2517,71,-0.0098,69,-0.0725,89,0.46483
ENSG00000116731,PRDM2,221,-0.3156,196,-0.4712,492,1.24137,225,-0.2843,191,-0.6312
ENSG00000189337,KAZN,86,0.44257,44,-0.6866,40,-0.8867,83,0.37867,72,0.11779
ENSG00000142634,EFHD2,67,-0.9843,54,-1.2174,149,0.41281,134,0.21494,146,0.43963
ENSG00000116138,DNAJC16,13,-1.3850,6,-2.2262,47,0.88203,32,0.16032,35,0.36506
ENSG00000197312,DDI2,21,-0.7395,35,0.06876,49,0.75361,27,-0.3685,34,0.04540
ENSG00000116786,PLEKHM2,97,-0.5848,214,0.73964,91,-0.7018,253,1.23128,90,-0.7996
ENSG00000065526,SPEN,385,1.37995,159,-0.3248,316,0.93582,78,-1.5135,78,-1.6479
ENSG00000116809,ZBTB17,24,0.21906,22,0.07659,28,0.51295,27,0.42930,11,-1.2252
ENSG00000055070,SZRD1,32,0.50273,47,1.11975,21,-0.2371,25,0.03762,13,-1.1196
ENSG00000159363,ATP13A2,35,-1.9104,86,-0.4153,93,-0.3216,134,0.32575,170,0.96475
ENSG00000117118,SDHB,35,-1.0868,54,-0.3465,28,-1.4342,84,0.40595,108,1.11178
ENSG00000117115,PADI2,306,4.07160,70,-0.1202,14,-2.6804,10,-3.1122,8,-3.6147
ENSG00000179051,RCC2,17,-0.4191,24,0.11705,11,-1.0989,34,0.77996,24,0.20120
ENSG00000117154,IGSF21,19,-2.3026,64,-0.3718,95,0.29634,74,-0.1519,122,0.95691
ENSG00000127481,UBR4,62,0.60469,34,-0.4231,57,0.41415,31,-0.6363,39,-0.2897
ENSG00000127463,EMC1,17,-0.8810,17,-0.8025,26,-0.2166,33,0.25530,40,0.71946
ENSG00000053372,MRTO4,32,-0.5273,59,0.49501,32,-0.5504,47,0.14354,52,0.35830
ENSG00000053371,AKR7A2,26,-0.0392,64,1.53318,17,-0.7252,15,-0.9596,28,0.10649
ENSG00000077549,CAPZB,143,-0.7644,184,-0.3105,230,0.04893,255,0.23961,265,0.36782
ENSG00000173436,MICOS10,247,-0.5599,396,0.24171,154,-1.3320,637,1.25364,313,-0.1756
ENSG00000158747,NBL1,57,-1.6639,230,0.62393,151,-0.0774,166,0.09838,198,0.50384
ENSG00000162545,CAMK2N1,1096,-0.9489,5275,1.77803,1947,0.03357,1937,0.02363,1294,-0.7503
ENSG00000158828,PINK1,222,-1.2802,348,-0.4912,292,-0.8342,694,0.72142,663,0.74818
ENSG00000244038,DDOST,16,-0.9392,33,0.21689,27,-0.1448,29,0.02961,37,0.53186
ENSG00000117245,KIF17,4,-2.8759,16,-0.8438,10,-1.7451,62,1.60219,39,0.68458
ENSG00000189410,SH2D5,11,-2.1458,37,-0.1526,36,-0.2115,46,0.19234,63,0.96729
ENSG00000127483,HP1BP3,474,0.94724,235,-0.3378,437,0.77567,136,-1.2751,195,-0.7722
ENSG00000075151,EIF4G3,328,-0.1375,174,-1.1066,443,0.41377,259,-0.5454,437,0.45255
ENSG00000076864,RAP1GAP,32,-2.2957,80,-0.7940,178,0.53317,129,-0.0643,193,0.83166
ENSG00000090686,USP48,152,0.88134,65,-0.6149,137,0.67973,38,-1.5374,80,-0.3487
ENSG00000070831,CDC42,124,-0.4244,109,-0.5864,105,-0.7040,160,0.01555,232,0.87038
ENSG00000004487,KDM1A,38,-0.8364,39,-0.7104,75,0.35029,62,-0.0042,77,0.46938
ENSG00000169641,LUZP1,68,-1.8039,121,-0.8184,294,0.69506,219,0.13047,253,0.46031
ENSG00000125944,HNRNPR,199,0.46823,118,-0.4341,203,0.50228,110,-0.6016,136,-0.2561
ENSG00000142676,RPL11,869,1.02842,820,0.77168,260,-1.1498,556,0.14100,318,-0.9123
ENSG00000011007,ELOA,42,0.81847,21,-0.3641,25,-0.1044,24,-0.1816,22,-0.3991
ENSG00000057757,PITHD1,71,-1.2023,90,-0.7475,104,-0.5841,209,0.69270,198,0.69264
ENSG00000011009,LYPLA2,9,-1.7995,17,-0.7443,36,0.50923,34,0.37828,33,0.41167
ENSG00000117305,HMGCL,29,0.67631,31,0.71225,7,-1.6600,18,-0.1472,20,0.02089
ENSG00000189266,PNRC2,52,0.00496,78,0.66795,69,0.53446,42,-0.3829,39,-0.5811
ENSG00000188529,SRSF10,94,0.51872,53,-0.4447,101,0.67067,44,-0.8303,60,-0.3405
ENSG00000001461,NIPAL3,419,1.65853,115,-0.7813,144,-0.4778,89,-1.2605,159,-0.3510
ENSG00000133226,SRRM1,681,1.60293,197,-0.7332,416,0.52075,144,-1.3162,158,-1.2744
ENSG00000169504,CLIC4,118,3.01960,56,0.79032,13,-1.5865,10,-1.9364,3,-3.7448
ENSG00000117614,SYF2,221,0.74456,181,0.30676,168,0.21026,109,-0.5562,107,-0.6519
ENSG00000117616,RSRP1,110,0.70402,46,-0.7830,170,1.70116,17,-2.3507,39,-1.2262
ENSG00000183726,TMEM50A,69,0.39229,57,0.03917,54,-0.0596,38,-0.6503,59,0.13230
ENSG00000204178,MACO1,95,0.58623,43,-0.7506,111,0.91459,36,-1.0891,55,-0.4430
ENSG00000117643,MAN1C1,9,-2.1233,49,0.52259,35,0.00393,32,-0.1472,50,0.77736
ENSG00000162430,SELENON,17,-0.4574,58,1.67266,26,0.30036,19,-0.2082,12,-1.0539
ENSG00000117640,MTFR1L,35,-0.8033,64,0.18961,52,-0.1509,81,0.68059,55,-0.0527
ENSG00000117632,STMN1,1026,-0.5752,543,-1.4904,1166,-0.3577,1627,0.23806,2035,0.80000
ENSG00000158008,EXTL1,11,-2.0464,43,0.09228,41,0.01788,63,0.83291,45,0.18057
ENSG00000142684,ZNF593,21,-1.0155,49,0.39286,18,-1.2053,53,0.62694,49,0.55448
ENSG00000142669,SH3BGRL3,132,-0.4742,210,0.31497,86,-1.1769,229,0.53056,208,0.39966
ENSG00000117682,DHDDS,12,-0.9409,11,-0.9010,22,0.11842,21,0.04112,29,0.70069
ENSG00000198830,HMGN2,244,0.96063,218,0.62096,167,0.20844,97,-0.7415,86,-1.0391
ENSG00000117713,ARID1A,94,0.55579,91,0.42894,87,0.39869,44,-0.8026,53,-0.5379
ENSG00000204160,ZDHHC18,17,-0.5728,19,-0.3564,23,-0.0991,22,-0.1748,33,0.67166
ENSG00000090273,NUDC,156,-0.9520,259,-0.0869,223,-0.3554,444,0.94335,276,0.01870
ENSG00000253368,TRNP1,7,-3.1009,55,0.08087,32,-0.8596,122,1.77455,50,-0.1086
ENSG00000142784,WDTC1,37,0.42200,42,0.58104,20,-0.6349,32,0.18785,24,-0.3915
ENSG00000186501,TMEM222,38,-0.3071,58,0.37276,51,0.18315,44,-0.0736,45,-0.0477
ENSG00000158195,WASF2,209,3.16029,75,0.34302,27,-1.3326,12,-2.5246,10,-2.9181
ENSG00000126705,AHDC1,23,-1.1129,53,0.29746,75,1.05357,30,-0.6469,43,-0.0211
ENSG00000126709,IFI6,48,-1.2690,76,-0.4836,73,-0.6069,83,-0.3824,183,1.39848
ENSG00000117758,STX12,93,0.10139,48,-0.9520,69,-0.4221,80,-0.1660,116,0.60574
ENSG00000117751,PPP1R8,20,-0.3752,35,0.56707,31,0.46015,20,-0.3567,23,-0.1559
ENSG00000117748,RPA2,18,-1.4530,34,-0.3923,30,-0.6350,43,-0.0048,72,1.22332
ENSG00000126698,DNAJC8,325,0.27318,236,-0.2754,328,0.28920,241,-0.2699,260,-0.1533
ENSG00000130770,ATP5IF1,175,-1.9913,584,-0.0216,334,-0.9733,966,0.95272,796,0.65630
ENSG00000204138,PHACTR4,109,2.22832,45,0.17282,48,0.31003,6,-2.9030,10,-2.2960
ENSG00000198492,YTHDF2,60,-0.4386,52,-0.6060,89,0.25110,56,-0.5455,104,0.64163
ENSG00000116350,SRSF4,166,0.87317,94,-0.1892,119,0.21774,71,-0.6756,83,-0.4681
ENSG00000116353,MECR,21,-0.5937,17,-0.8581,14,-1.2646,49,0.95639,38,0.51145
ENSG00000162511,LAPTM5,88,2.62143,65,1.37027,1,-4.9640,11,-1.5586,8,-2.2127
ENSG00000162512,SDC3,118,0.06162,176,0.71156,133,0.28683,84,-0.5383,98,-0.2974
ENSG00000134644,PUM1,96,-0.6056,157,0.22921,193,0.66584,98,-0.5592,143,0.09905
ENSG00000121766,ZCCHC17,215,0.16366,198,0.01222,192,-0.0438,163,-0.3288,209,0.13016
ENSG00000121769,FABP3,19,-2.9342,45,-1.5059,43,-1.6882,202,0.99092,214,1.37691
ENSG00000162517,PEF1,29,-1.5614,70,-0.1005,63,-0.2972,110,0.71798,92,0.43942
ENSG00000084636,COL16A1,77,1.46415,34,-0.1565,31,-0.3115,17,-1.2547,30,-0.4512
ENSG00000121753,ADGRB2,44,-2.4541,191,-0.0931,252,0.40609,192,-0.0920,286,0.77569
ENSG00000184007,PTP4A2,1403,2.73079,186,-1.3578,221,-1.1912,247,-1.0171,188,-1.5740
ENSG00000121774,KHDRBS1,130,-0.0068,145,0.16263,158,0.34386,92,-0.6047,134,0.05521
ENSG00000025800,KPNA6,93,-0.3622,108,-0.0895,166,0.70914,78,-0.6645,120,0.11007
ENSG00000084652,TXLNA,47,1.26318,28,0.21007,11,-1.2682,19,-0.4634,22,-0.2600
ENSG00000084623,EIF3I,83,-0.3217,82,-0.3159,78,-0.4229,87,-0.2328,139,0.74954
ENSG00000175130,MARCKSL1,911,3.19768,332,0.38896,76,-2.0142,88,-1.7825,44,-3.0082
ENSG00000160058,BSDC1,70,0.27485,81,0.49159,53,-0.2058,55,-0.1717,55,-0.1915
ENSG00000176261,ZBTB8OS,21,-1.0715,53,0.45527,30,-0.4967,59,0.70857,43,0.14109
ENSG00000162521,RBBP4,103,-0.2752,88,-0.4930,196,0.94511,81,-0.6810,119,-0.0290
ENSG00000134684,YARS,40,-1.6572,65,-0.8096,59,-1.0429,142,0.47534,183,1.22716
ENSG00000160097,FNDC5,8,-2.0813,19,-0.6169,25,-0.2475,61,1.51348,28,-0.0959
ENSG00000121905,HPCA,22,-3.3087,230,0.35720,140,-0.4720,239,0.48813,269,0.86547
ENSG00000121900,TMEM54,40,-0.3399,72,0.62421,21,-1.3677,85,1.07902,42,-0.3251
ENSG00000116514,RNF19B,12,-0.8401,6,-1.7889,5,-2.1112,28,0.61067,34,1.31093
ENSG00000004455,AK2,71,1.76909,29,-0.0800,21,-0.6468,15,-1.1326,21,-0.7349
ENSG00000142920,AZIN2,23,-0.0765,19,-0.3755,9,-1.4823,33,0.63552,29,0.43969
ENSG00000160094,ZNF362,17,-0.3625,48,1.40702,23,0.14124,15,-0.5178,17,-0.4025
ENSG00000134686,PHC2,54,0.16097,47,-0.0870,39,-0.4008,47,-0.0847,56,0.24535
ENSG00000163866,SMIM12,13,-2.1664,40,-0.3874,36,-0.6307,79,0.81125,74,0.78641
ENSG00000116544,DLGAP3,6,-3.0479,111,1.60391,49,0.20275,63,0.69504,30,-0.7185
ENSG00000116560,SFPQ,462,0.86608,197,-0.6291,400,0.57528,175,-0.8945,226,-0.5208
ENSG00000146463,ZMYM4,59,-0.0856,76,0.33629,86,0.61159,52,-0.2932,50,-0.4369
ENSG00000142687,KIAA0319L,53,-0.6717,84,0.12738,93,0.32968,67,-0.2696,90,0.29932
ENSG00000020129,NCDN,58,-3.5541,449,-0.3453,641,0.25224,466,-0.3201,936,1.23651
ENSG00000126067,PSMB2,44,-1.1643,68,-0.4153,113,0.45052,84,-0.0978,112,0.50835
ENSG00000142686,C1orf216,19,-2.4982,75,-0.3025,102,0.22395,121,0.54200,115,0.52911
ENSG00000092847,AGO1,50,0.41527,31,-0.3709,41,0.06496,29,-0.5354,42,0.11124
ENSG00000126070,AGO3,116,1.57651,42,-0.3956,79,0.70802,23,-1.4307,21,-1.6500
ENSG00000054116,TRAPPC3,11,-2.5668,54,-0.0156,52,-0.0981,49,-0.1947,90,1.17552
ENSG00000116871,MAP7D1,268,0.41830,233,0.13735,179,-0.3116,191,-0.1976,209,-0.0411
ENSG00000054118,THRAP3,258,0.31584,161,-0.4705,322,0.74781,121,-0.9870,203,-0.1347
ENSG00000181817,LSM10,17,-1.6614,57,0.33815,26,-0.9864,73,0.89874,57,0.47701
ENSG00000116898,MRPS15,24,-1.3643,66,0.30774,31,-0.9406,81,0.74277,70,0.51853
ENSG00000163875,MEAF6,37,-1.6288,95,-0.0864,85,-0.2867,134,0.55265,131,0.58968
ENSG00000134697,GNL2,36,0.05133,28,-0.3421,44,0.39244,24,-0.6676,39,0.20461
ENSG00000185090,MANEAL,3,-2.7581,13,-0.5036,12,-0.6625,20,0.13466,34,1.45336
ENSG00000197982,C1orf122,256,0.75202,249,0.59692,66,-1.5846,220,0.45084,131,-0.5354
ENSG00000183431,SF3A3,33,-0.4883,27,-0.7832,45,0.01950,36,-0.3439,62,0.76481
ENSG00000183520,UTP11,27,-0.6378,33,-0.2522,43,0.17771,29,-0.5419,54,0.69291
ENSG00000116954,RRAGC,42,0.12976,38,-0.0573,34,-0.2382,28,-0.5692,49,0.45246
ENSG00000174574,AKIRIN1,66,-0.2226,40,-0.9650,81,0.15046,93,0.39982,76,0.03051
ENSG00000168653,NDUFS5,265,-1.4706,671,0.07597,414,-0.7492,1043,0.94975,763,0.37545
ENSG00000127603,MACF1,785,1.54716,297,-0.3559,457,0.38330,205,-1.0070,175,-1.3795
ENSG00000090621,PABPC4,158,1.36583,104,0.42178,65,-0.3682,70,-0.2479,38,-1.3675
ENSG00000116983,HPCAL4,134,-1.2830,528,1.01555,440,0.81792,281,-0.0441,213,-0.5838
ENSG00000084072,PPIE,17,-1.1352,24,-0.5610,34,-0.0332,53,0.80224,38,0.18656
ENSG00000131236,CAP1,158,-0.1322,143,-0.2744,154,-0.1780,141,-0.3352,218,0.53917
ENSG00000131238,PPT1,47,-1.4288,96,-0.2394,94,-0.3029,95,-0.2858,183,1.16659
ENSG00000084073,ZMPSTE24,29,0.05029,9,-1.6892,20,-0.5859,30,0.12368,38,0.66270
ENSG00000049089,COL9A2,114,3.72588,19,-0.6357,3,-3.3042,12,-1.4811,5,-2.7854
ENSG00000084070,SMAP2,89,-1.0644,117,-0.5624,256,0.81152,178,0.10641,171,0.04256
ENSG00000117016,RIMS3,23,-3.0402,269,0.87680,123,-0.4491,227,0.68292,190,0.39153
ENSG00000066136,NFYC,9,-1.8997,40,0.50960,37,0.40793,27,-0.1444,36,0.43653
ENSG00000179862,CITED4,5,-1.9461,29,0.66178,8,-1.4711,29,0.79869,26,0.66010
ENSG00000127124,HIVEP3,28,0.50023,19,-0.1919,30,0.61436,21,-0.0201,12,-1.0090
ENSG00000198815,FOXJ3,20,-0.7901,20,-0.7049,29,-0.1189,19,-0.8480,53,1.22702
ENSG00000177181,RIMKLA,7,-2.9662,39,-0.4096,42,-0.3461,71,0.63764,76,0.91792
ENSG00000127125,PPCS,50,-0.1224,93,0.90366,44,-0.3661,58,0.13356,47,-0.2607
ENSG00000186409,CCDC30,72,0.27628,72,0.22409,85,0.58293,52,-0.3215,44,-0.6581
ENSG00000065978,YBX1,270,1.76583,213,0.99735,88,-0.4908,66,-0.9658,37,-2.0389
ENSG00000164008,C1orf50,12,-0.8099,30,0.66176,19,-0.0862,21,0.09480,21,0.16377
ENSG00000177868,SVBP,46,0.01375,55,0.30036,27,-0.9158,49,0.13559,53,0.30159
ENSG00000117394,SLC2A1,35,0.31152,72,1.53579,27,-0.1054,17,-0.8641,20,-0.6870
ENSG00000117395,EBNA1BP2,60,-1.0190,70,-0.7025,101,-0.1557,154,0.62091,135,0.42534
ENSG00000179178,TMEM125,154,5.86915,1,-4.4824,1,-4.4590,3,-3.6969,3,-3.8454
ENSG00000066322,ELOVL1,150,4.07229,19,-1.0132,12,-1.8336,9,-2.1933,2,-4.2149
ENSG00000159479,MED8,15,-0.8237,23,-0.1251,18,-0.5503,31,0.42602,32,0.55595
ENSG00000178922,HYI,35,1.15953,55,1.80804,4,-2.2550,8,-1.4071,14,-0.5565
ENSG00000142949,PTPRF,76,-0.2998,122,0.50140,75,-0.3119,78,-0.2515,106,0.35520
ENSG00000126091,ST3GAL3,9,-2.0252,57,0.97443,20,-0.7784,60,1.27077,27,-0.2905
ENSG00000117408,IPO13,107,1.14518,65,0.12379,47,-0.4131,40,-0.6801,48,-0.4176
ENSG00000117410,ATP6V0B,142,-1.6220,180,-1.1547,264,-0.6281,411,0.14386,661,1.34762
ENSG00000117411,B4GALT2,31,-1.2566,146,1.36474,44,-0.6874,110,1.00967,46,-0.6580
ENSG00000178028,DMAP1,43,-0.7933,57,-0.2912,90,0.50945,51,-0.4953,86,0.50135
ENSG00000117419,ERI3,45,-1.7005,151,0.29546,123,-0.0362,149,0.31101,157,0.49059
ENSG00000187147,RNF220,114,-0.0890,110,-0.1351,92,-0.4585,175,0.72080,109,-0.1972
ENSG00000142937,RPS8,2145,0.97260,1804,0.53187,903,-0.6366,1544,0.31219,682,-1.2016
ENSG00000070785,EIF2B3,27,-0.3677,19,-0.8564,35,0.10925,25,-0.4855,46,0.73290
ENSG00000126088,UROD,41,-1.1276,81,0.01445,54,-0.6753,86,0.12313,120,0.91576
ENSG00000117450,PRDX1,188,-0.4208,330,0.53111,124,-1.1012,237,-0.0158,320,0.64749
ENSG00000117448,AKR1A1,34,-0.6572,29,-0.8363,42,-0.2955,64,0.45178,64,0.51955
ENSG00000132780,NASP,376,2.49647,75,-0.8237,129,0.01008,31,-2.2695,45,-1.8641
ENSG00000159592,GPBP1L1,53,0.61026,31,-0.3339,51,0.52173,25,-0.7273,31,-0.3822
ENSG00000086015,MAST2,18,-0.5651,29,0.18616,17,-0.7441,32,0.41177,31,0.41587
ENSG00000117461,PIK3R3,8,-2.1370,32,-0.0494,25,-0.4580,58,1.12617,37,0.27986
ENSG00000085998,POMGNT1,55,0.12092,37,-0.5234,49,-0.0834,42,-0.3713,62,0.40245
ENSG00000132128,LRRC41,11,-1.6854,29,-0.1439,35,0.16154,27,-0.3297,49,0.94496
ENSG00000173660,UQCRH,133,-2.1152,364,-0.4596,228,-1.2740,1003,1.48187,595,0.42870
ENSG00000117480,FAAH,60,0.95430,31,-0.2513,41,0.18166,24,-0.7333,29,-0.4670
ENSG00000123472,ATPAF1,39,-1.6102,136,0.43138,95,-0.1708,135,0.47744,123,0.35514
ENSG00000159658,EFCAB14,138,1.73085,76,0.37269,47,-0.4344,41,-0.6498,25,-1.5564
ENSG00000162368,CMPK1,82,-0.4775,88,-0.3159,65,-0.8614,160,0.74330,126,0.32835
ENSG00000162373,BEND5,14,-1.8030,30,-0.5496,10,-2.3079,71,0.98394,69,1.12812
ENSG00000162374,ELAVL4,29,-3.3135,127,-0.9825,312,0.50303,267,0.20339,348,0.85754
ENSG00000185104,FAF1,36,-0.3727,23,-0.9789,44,-0.0077,45,0.04094,56,0.52273
ENSG00000123091,RNF11,150,-1.4582,264,-0.4855,349,-0.0503,543,0.79366,415,0.30551
ENSG00000085832,EPS15,132,-0.4114,117,-0.5584,107,-0.7737,232,0.61078,205,0.44068
ENSG00000117859,OSBPL9,45,1.22142,31,0.39236,31,0.47892,11,-1.2039,12,-1.3009
ENSG00000078618,NRDC,192,0.25176,64,-1.4817,193,0.25835,136,-0.3717,190,0.26695
ENSG00000169213,RAB3B,109,0.42319,14,-2.6883,143,0.97564,60,-0.6195,76,-0.2683
ENSG00000117862,TXNDC12,19,-0.6088,27,0.03351,29,0.14735,23,-0.2569,33,0.43718
ENSG00000134717,BTF3L4,34,-0.7495,46,-0.2394,31,-0.8895,69,0.49480,72,0.66814
ENSG00000157077,ZFYVE9,22,-1.3636,30,-0.8180,63,0.40570,51,0.02028,67,0.64414
