interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
NRG1_INTEGRIN_A6B4_COMPLEX,NRG,NRG1,ITGA6_ITGB4,,,,,PMID: 20682778,Secreted Signaling,NRG1 - (ITGA6+ITGB4),TRUE,NRG1,Neuregulin,"Membrane-bound isoform]: Cell membrane, [Pro-neuregulin-1","Membrane, Disulfide bond, Secreted, Transmembrane, Growth factor, Alternative splicing, EGF-like domain, Glycoprotein, Chromosomal rearrangement, Reference proteome, Immunoglobulin domain, Cell membrane, Nucleus, Transmembrane helix, Direct protein sequencing, 3D-structure",growth factor,TRUE,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v2
LAMA1_ITGA6_ITGB4,LAMININ,LAMA1,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMA1 - (ITGA6+ITGB4),FALSE,LAMA1,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Coiled coil, Signal, Reference proteome, Basement membrane, Phosphoprotein, Disulfide bond, Secreted, Extracellular matrix, Repeat, Cell adhesion, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMA2_ITGA6_ITGB4,LAMININ,LAMA2,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMA2 - (ITGA6+ITGB4),FALSE,LAMA2,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Coiled coil, Basement membrane, Extracellular matrix, Disulfide bond, Secreted, Glycoprotein, Disease variant, Signal, Reference proteome, Congenital muscular dystrophy, Limb-girdle muscular dystrophy, Direct protein sequencing, 3D-structure, Cell adhesion, Laminin EGF-like domain, Repeat",secreted,FALSE,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMA3_ITGA6_ITGB4,LAMININ,LAMA3,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMA3 - (ITGA6+ITGB4),FALSE,LAMA3,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Coiled coil, Signal, Reference proteome, Basement membrane, Extracellular matrix, Disulfide bond, Secreted, Alternative splicing, Epidermolysis bullosa, Repeat, Cell adhesion, Laminin EGF-like domain, Glycoprotein",secreted,FALSE,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMA4_ITGA6_ITGB4,LAMININ,LAMA4,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMA4 - (ITGA6+ITGB4),FALSE,LAMA4,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Coiled coil, Signal, Reference proteome, Basement membrane, Disulfide bond, Secreted, Extracellular matrix, Cardiomyopathy, Alternative splicing, Repeat, Cell adhesion, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMA5_ITGA6_ITGB4,LAMININ,LAMA5,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMA5 - (ITGA6+ITGB4),FALSE,LAMA5,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Coiled coil, Signal, Reference proteome, Basement membrane, Extracellular matrix, Disulfide bond, Secreted, Alternative splicing, Repeat, 3D-structure, Cell adhesion, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMB1_ITGA6_ITGB4,LAMININ,LAMB1,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMB1 - (ITGA6+ITGB4),FALSE,LAMB1,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Coiled coil, Signal, Reference proteome, Basement membrane, Lissencephaly, Disulfide bond, Phosphoprotein, Secreted, Extracellular matrix, Repeat, 3D-structure, Cell adhesion, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMB2_ITGA6_ITGB4,LAMININ,LAMB2,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMB2 - (ITGA6+ITGB4),FALSE,LAMB2,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Coiled coil, Signal, Reference proteome, Basement membrane, Phosphoprotein, Disulfide bond, Secreted, Extracellular matrix, Repeat, Cell adhesion, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMB3_ITGA6_ITGB4,LAMININ,LAMB3,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMB3 - (ITGA6+ITGB4),FALSE,LAMB3,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Coiled coil, Signal, Reference proteome, Basement membrane, Extracellular matrix, Disulfide bond, Secreted, Amelogenesis imperfecta, Direct protein sequencing, Epidermolysis bullosa, Repeat, Cell adhesion, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMC1_ITGA6_ITGB4,LAMININ,LAMC1,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMC1 - (ITGA6+ITGB4),FALSE,LAMC1,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Coiled coil, Signal, Reference proteome, Basement membrane, Phosphoprotein, Disulfide bond, Secreted, Extracellular matrix, Repeat, 3D-structure, Cell adhesion, Laminin EGF-like domain, Glycoprotein",secreted,FALSE,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMC2_ITGA6_ITGB4,LAMININ,LAMC2,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMC2 - (ITGA6+ITGB4),FALSE,LAMC2,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Coiled coil, Signal, Reference proteome, Basement membrane, Extracellular matrix, Disulfide bond, Secreted, Direct protein sequencing, Alternative splicing, Epidermolysis bullosa, Repeat, Cell adhesion, Heparin-binding, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LAMC3_ITGA6_ITGB4,LAMININ,LAMC3,ITGA6_ITGB4,,,,,KEGG: hsa04512,ECM-Receptor,LAMC3 - (ITGA6+ITGB4),FALSE,LAMC3,,"Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Coiled coil, Signal, Reference proteome, Basement membrane, Extracellular matrix, Disulfide bond, Secreted, Repeat, Cell adhesion, Laminin EGF-like domain, Glycoprotein",,NA,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
LTC4-LTC4S_CYSLTR1,CysLTs,LTC4-LTC4S,CYSLTR1,,,,,PMID:33753496,Non-protein Signaling,LTC4-LTC4S - CYSLTR1,FALSE,"ALOX5AP, LTC4S, ALOX5","MAPEG, Lipoxygenase","Endoplasmic reticulum membrane, Nucleus membrane, Nucleus outer membrane, Nucleus matrix, Cytoplasm, Cytosol, Nucleus intermembrane space, Perinuclear region, Nucleus envelope","Membrane, Reference proteome, Nucleus, Transmembrane helix, Transmembrane, Leukotriene biosynthesis, 3D-structure, Endoplasmic reticulum, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Lipid biosynthesis, Lyase, Transferase, Iron, Dioxygenase, Cytoplasm, Alternative splicing, Oxidoreductase, Hydrolase, Metal-binding, Calcium",,FALSE,CYSLTR1,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
LTC4-LTC4S_CYSLTR2,CysLTs,LTC4-LTC4S,CYSLTR2,,,,,PMID:33753496,Non-protein Signaling,LTC4-LTC4S - CYSLTR2,FALSE,"ALOX5AP, LTC4S, ALOX5","MAPEG, Lipoxygenase","Endoplasmic reticulum membrane, Nucleus membrane, Nucleus outer membrane, Nucleus matrix, Cytoplasm, Cytosol, Nucleus intermembrane space, Perinuclear region, Nucleus envelope","Membrane, Reference proteome, Nucleus, Transmembrane helix, Transmembrane, Leukotriene biosynthesis, 3D-structure, Endoplasmic reticulum, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Lipid biosynthesis, Lyase, Transferase, Iron, Dioxygenase, Cytoplasm, Alternative splicing, Oxidoreductase, Hydrolase, Metal-binding, Calcium",,FALSE,CYSLTR2,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
LipoxinA4-ALOX5_FPR-RS7,LXA4,LXA4-ALOX5,FPR2,,,,,PMID: 33082511,Non-protein Signaling,LXA4-ALOX5 - FPR2,FALSE,"ALOX5AP, LTC4S, ALOX5","MAPEG, Lipoxygenase","Endoplasmic reticulum membrane, Nucleus membrane, Nucleus outer membrane, Nucleus matrix, Cytoplasm, Cytosol, Nucleus intermembrane space, Perinuclear region, Nucleus envelope","Membrane, Reference proteome, Nucleus, Transmembrane helix, Transmembrane, Leukotriene biosynthesis, 3D-structure, Endoplasmic reticulum, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Lipid biosynthesis, Lyase, Transferase, Iron, Dioxygenase, Cytoplasm, Alternative splicing, Oxidoreductase, Hydrolase, Metal-binding, Calcium",,FALSE,FPR2,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Chemotaxis, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,TRUE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RARA_CRABP2,RA,RA-ALDH1A1,RARA_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RARA+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"CRABP2, RARA","Calycin superfamily, Fatty-acid binding protein (FABP), Nuclear hormone receptor","Cytoplasm, Endoplasmic reticulum, Nucleus","Reference proteome, Vitamin A, Nucleus, Transport, Cytoplasm, Isopeptide bond, 3D-structure, Retinol-binding, Endoplasmic reticulum, Ubl conjugation, DNA-binding, Zinc-finger, Receptor, Alternative splicing, Transcription regulation, Chromosomal rearrangement, Proto-oncogene, Metal-binding, Phosphoprotein, Zinc, Transcription",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RARA_RXRA_CRABP2,RA,RA-ALDH1A1,RARA_RXRA_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RARA+RXRA+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"CRABP2, RXRA, RARA","Calycin superfamily, Fatty-acid binding protein (FABP), Nuclear hormone receptor","Cytoplasm, Endoplasmic reticulum, Nucleus, Mitochondrion","Reference proteome, Vitamin A, Nucleus, Transport, Cytoplasm, Isopeptide bond, 3D-structure, Retinol-binding, Endoplasmic reticulum, Ubl conjugation, Host-virus interaction, Mitochondrion, DNA-binding, Zinc-finger, Receptor, Alternative splicing, Transcription regulation, Metal-binding, Phosphoprotein, Zinc, Transcription, Acetylation, Chromosomal rearrangement, Proto-oncogene",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RARB_CRABP2,RA,RA-ALDH1A1,RARB_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RARB+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"RARB, CRABP2","Nuclear hormone receptor, Calycin superfamily, Fatty-acid binding protein (FABP)","Cytoplasm, Nucleus, Endoplasmic reticulum","DNA-binding, Zinc-finger, Receptor, Cytoplasm, Alternative splicing, Disease variant, Microphthalmia, Reference proteome, Proto-oncogene, Metal-binding, Nucleus, Phosphoprotein, Zinc, 3D-structure, Transcription, Transcription regulation, Vitamin A, Transport, Isopeptide bond, Retinol-binding, Endoplasmic reticulum, Ubl conjugation",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RARB_RXRB_CRABP2,RA,RA-ALDH1A1,RARB_RXRB_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RARB+RXRB+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"RARB, CRABP2, RXRB","Nuclear hormone receptor, Calycin superfamily, Fatty-acid binding protein (FABP)","Cytoplasm, Nucleus, Endoplasmic reticulum","DNA-binding, Zinc-finger, Receptor, Cytoplasm, Alternative splicing, Disease variant, Microphthalmia, Reference proteome, Proto-oncogene, Metal-binding, Nucleus, Phosphoprotein, Zinc, 3D-structure, Transcription, Transcription regulation, Vitamin A, Transport, Isopeptide bond, Retinol-binding, Endoplasmic reticulum, Ubl conjugation, Methylation",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RARG_CRABP2,RA,RA-ALDH1A1,RARG_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RARG+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"RARG, CRABP2","Nuclear hormone receptor, Calycin superfamily, Fatty-acid binding protein (FABP)","Cytoplasm, Nucleus, Endoplasmic reticulum","Ubl conjugation, Reference proteome, DNA-binding, Nucleus, Metal-binding, Zinc-finger, Receptor, Cytoplasm, Alternative splicing, Zinc, Isopeptide bond, 3D-structure, Methylation, Transcription, Transcription regulation, Vitamin A, Transport, Retinol-binding, Endoplasmic reticulum",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RARG_RXRG_CRABP2,RA,RA-ALDH1A1,RARG_RXRG_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RARG+RXRG+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"RARG, CRABP2, RXRG","Nuclear hormone receptor, Calycin superfamily, Fatty-acid binding protein (FABP)","Cytoplasm, Nucleus, Endoplasmic reticulum","Ubl conjugation, Reference proteome, DNA-binding, Nucleus, Metal-binding, Zinc-finger, Receptor, Cytoplasm, Alternative splicing, Zinc, Isopeptide bond, 3D-structure, Methylation, Transcription, Transcription regulation, Vitamin A, Transport, Retinol-binding, Endoplasmic reticulum, Acetylation",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RXRA_CRABP2,RA,RA-ALDH1A1,RXRA_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RXRA+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"CRABP2, RXRA","Calycin superfamily, Fatty-acid binding protein (FABP), Nuclear hormone receptor","Cytoplasm, Endoplasmic reticulum, Nucleus, Mitochondrion","Reference proteome, Vitamin A, Nucleus, Transport, Cytoplasm, Isopeptide bond, 3D-structure, Retinol-binding, Endoplasmic reticulum, Ubl conjugation, Host-virus interaction, Mitochondrion, DNA-binding, Zinc-finger, Receptor, Alternative splicing, Transcription regulation, Metal-binding, Phosphoprotein, Zinc, Transcription, Acetylation",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RXRB_CRABP2,RA,RA-ALDH1A1,RXRB_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RXRB+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"CRABP2, RXRB","Calycin superfamily, Fatty-acid binding protein (FABP), Nuclear hormone receptor","Cytoplasm, Endoplasmic reticulum, Nucleus","Reference proteome, Vitamin A, Nucleus, Transport, Cytoplasm, Isopeptide bond, 3D-structure, Retinol-binding, Endoplasmic reticulum, Ubl conjugation, DNA-binding, Metal-binding, Zinc-finger, Receptor, Alternative splicing, Zinc, Methylation, Transcription, Transcription regulation",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RXRG_CRABP2,RA,RA-ALDH1A1,RXRG_CRABP2,,,,,uniprot;reactome,Non-protein Signaling,RA-ALDH1A1 - (RXRG+CRABP2),FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,"CRABP2, RXRG","Calycin superfamily, Fatty-acid binding protein (FABP), Nuclear hormone receptor","Cytoplasm, Endoplasmic reticulum, Nucleus","Reference proteome, Vitamin A, Nucleus, Transport, Cytoplasm, Isopeptide bond, 3D-structure, Retinol-binding, Endoplasmic reticulum, Ubl conjugation, DNA-binding, Metal-binding, Zinc-finger, Receptor, Zinc, Transcription, Acetylation, Transcription regulation",,,,,FALSE,CellChatDB v2
RetinoicAcid-RA-ALDH1A1_RORB,RA,RA-ALDH1A1,RORB,,,,,uniprot,Non-protein Signaling,RA-ALDH1A1 - RORB,FALSE,ALDH1A1,Aldehyde dehydrogenase,"Axon, Cytoplasm, Cell projection, Cytosol","Oxidoreductase, Cell projection, Reference proteome, Phosphoprotein, Lipid metabolism, Direct protein sequencing, Cytoplasm, 3D-structure, NAD, Acetylation, Nucleotide-binding",,FALSE,RORB,Nuclear hormone receptor,"Nucleus, Nucleoplasm","DNA-binding, Activator, Zinc-finger, Alternative promoter usage, Receptor, Sensory transduction, Disease variant, Vision, Developmental protein, Reference proteome, Biological rhythms, Epilepsy, Nucleus, Metal-binding, Zinc, Transcription, Transcription regulation",,,,,FALSE,CellChatDB v2
APP_CD74,APP,APP,CD74,,,,,PMID: 19849849,Cell-Cell Contact,APP - CD74,FALSE,APP,APP,"Perikaryon, Cell projection, Membrane, Cytoplasmic vesicle, Growth cone, Clathrin-coated pit, Cell membrane, Early endosome","Secreted, Copper, Alzheimer disease, Cytoplasm, Notch signaling pathway, Cytoplasmic vesicle, Endoplasmic reticulum, Glycoprotein, Disease variant, Cell projection, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Golgi apparatus, Zinc, Isopeptide bond, Amyloid, Heparin-binding, Ubl conjugation, Protease inhibitor, Membrane, Disulfide bond, Transmembrane, Iron, Endosome, Oxidation, Alternative splicing, Serine protease inhibitor, Amyloidosis, Endocytosis, Signal, Reference proteome, Neurodegeneration, Nucleus, Phosphoprotein, Sulfation, Apoptosis, Coated pit, 3D-structure, Cell adhesion, Proteoglycan",,TRUE,CD74,,"Golgi apparatus, Cell membrane, Endoplasmic reticulum membrane, trans-Golgi network, Lysosome, Endosome","Immunity, Membrane, Alternative initiation, Disulfide bond, Transmembrane, Signal-anchor, Alternative splicing, Adaptive immunity, Endoplasmic reticulum, Glycoprotein, Chaperone, Lysosome, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Golgi apparatus, 3D-structure, Endosome, Proteoglycan",Unclassified,Unclassified,,,TRUE,CellChatDB v1
FCER2A_ITGAM_ITGB2,CD23,FCER2,ITGAM_ITGB2,,,,,PMID: 7621072,Cell-Cell Contact,FCER2A - (ITGAM+ITGB2),FALSE,FCER2,,"Secreted, Cell membrane","Membrane, Secreted, Disulfide bond, Transmembrane, Signal-anchor, Receptor, Glycoprotein, IgE-binding protein, Lectin, Reference proteome, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Palmitate, Repeat",secreted,TRUE,"ITGAM, ITGB2","Integrin alpha chain, Integrin beta chain","Membrane raft, Cell membrane","Systemic lupus erythematosus, Immunity, Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Magnesium, Repeat, Phagocytosis, Disease variant, Pyrrolidone carboxylic acid, Phosphoprotein",Receptors,Integrin;Other_receptors,Adhesion receptor,,TRUE,CellChatDB v1
