Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000078369,GNB1,145,-1.8584,244,-1.1650,471,-0.0546,527,0.16460,539,0.16326,824,1.03130
ENSG00000187730,GABRD,0,-6.8143,5,-4.3726,36,-1.5088,216,2.27490,17,-2.5527,123,0.46252
ENSG00000067606,PRKCZ,40,-2.1727,86,-1.1505,81,-1.1408,219,0.55387,166,-0.0340,292,1.06026
ENSG00000162585,FAAP20,39,-0.0264,47,0.31409,6,-2.6738,23,-0.9871,41,0.06086,73,1.20596
ENSG00000157933,SKI,47,0.33709,26,-0.6485,75,1.15551,22,-0.9757,66,0.93005,35,-0.1170
ENSG00000157916,RER1,40,-0.4022,63,0.36638,23,-1.2278,70,0.67973,58,0.18875,29,-0.9588
ENSG00000157911,PEX10,28,-0.0223,35,0.38618,20,-0.5630,23,-0.4166,34,0.32084,31,0.17615
ENSG00000157870,PRXL2B,7,-2.5602,16,-1.5497,13,-1.6886,45,0.20733,72,0.94395,74,1.18483
ENSG00000177133,PRDM16-DT,15,-0.8681,6,-2.3291,14,-1.0318,10,-1.6761,106,2.50351,46,1.03603
ENSG00000158109,TPRG1L,23,-2.8009,27,-2.6959,103,-0.5797,234,1.04311,134,-0.1693,238,0.90635
ENSG00000130764,LRRC47,42,-0.6342,48,-0.4457,15,-2.1784,102,1.13871,33,-0.9746,67,0.13281
ENSG00000116198,CEP104,106,1.43247,62,0.56846,56,0.33203,27,-0.9732,21,-1.1574,34,-0.5082
ENSG00000196581,AJAP1,33,-0.3733,20,-1.2483,51,0.27835,71,1.20872,23,-0.9530,33,-0.4453
ENSG00000069424,KCNAB2,1,-6.5690,20,-3.0662,127,-0.1417,216,1.03600,145,0.07223,212,0.81863
ENSG00000116254,CHD5,33,-2.7004,19,-3.6106,345,0.92369,317,1.10750,131,-0.6509,240,0.35963
ENSG00000116251,RPL22,584,-0.1618,1013,0.86828,620,-0.0676,413,-0.8529,681,0.08360,657,0.02971
ENSG00000116237,ICMT,8,-1.9969,28,-0.1200,18,-0.7628,39,0.56612,28,-0.0695,36,0.34096
ENSG00000097021,ACOT7,14,-3.2068,40,-1.7850,12,-3.3603,246,1.89240,64,-0.9704,146,0.35316
ENSG00000171680,PLEKHG5,0,-8.0365,3,-3.2109,1,-3.9235,56,2.34623,29,0.31777,19,-0.4040
ENSG00000162408,NOL9,25,0.09649,14,-0.7943,28,0.31985,31,0.58761,14,-0.7729,22,-0.0617
ENSG00000162413,KLHL21,24,-0.2634,20,-0.5731,1,-4.7321,30,0.18330,70,1.56252,27,-0.0656
ENSG00000007923,DNAJC11,27,-0.2656,10,-1.8649,7,-2.2610,45,0.79879,27,-0.2641,50,0.89070
ENSG00000171735,CAMTA1,221,-0.8512,139,-1.6674,680,0.96102,510,0.64168,273,-0.5305,418,0.16604
ENSG00000049245,VAMP3,98,0.48748,205,2.38367,18,-2.0693,10,-3.1733,102,0.56844,31,-1.4002
ENSG00000049246,PER3,86,0.97689,66,0.59982,53,0.15074,32,-0.7589,61,0.38453,25,-1.0576
ENSG00000116288,PARK7,133,-1.0161,242,-0.0950,97,-1.4792,269,0.11020,336,0.44684,347,0.58055
ENSG00000116285,ERRFI1,4,-2.3041,13,-0.7464,13,-0.6819,35,1.29449,7,-1.4938,24,0.28183
ENSG00000162426,SLC45A1,8,-1.6959,4,-2.7531,11,-1.1168,47,1.69251,16,-0.6240,28,0.29200
ENSG00000142599,RERE,192,0.51404,90,-0.7598,218,0.72924,135,-0.0710,115,-0.3106,145,0.06127
ENSG00000074800,ENO1,303,-0.6713,361,-0.4427,151,-1.7256,465,0.00063,1208,1.65860,435,-0.1189
ENSG00000171612,SLC25A33,29,0.05768,18,-0.7272,11,-1.3627,20,-0.6795,75,1.69295,35,0.40219
ENSG00000171603,CLSTN1,165,-1.8180,156,-2.0315,237,-1.2776,1051,1.69889,575,0.09514,488,-0.1868
ENSG00000178585,CTNNBIP1,24,-0.9960,43,-0.1012,11,-2.1371,36,-0.4374,63,0.53362,81,1.13622
ENSG00000162441,LZIC,113,0.71255,127,1.06454,106,0.60395,34,-1.4140,58,-0.3757,52,-0.6102
ENSG00000162444,RBP7,36,0.71853,83,3.35575,1,-4.2776,2,-3.9170,5,-2.0837,7,-1.7868
ENSG00000130939,UBE4B,49,0.38476,43,0.19084,34,-0.1807,42,0.19332,24,-0.7409,33,-0.2792
ENSG00000054523,KIF1B,631,0.35084,513,0.01564,709,0.54358,475,-0.1364,470,-0.1240,411,-0.3738
ENSG00000142657,PGD,31,-0.7836,38,-0.5395,15,-1.8163,70,0.67568,83,0.77623,50,-0.0384
ENSG00000160049,DFFA,137,1.10476,75,0.10657,122,0.89040,41,-1.0161,49,-0.5674,64,-0.1909
ENSG00000120948,TARDBP,91,0.15170,94,0.22730,86,0.04505,90,0.15933,60,-0.5015,68,-0.3454
ENSG00000116649,SRM,29,-0.6433,36,-0.3375,17,-1.4694,55,0.50524,56,0.39493,49,0.20867
ENSG00000171824,EXOSC10,58,0.91264,37,0.18555,7,-2.2808,47,0.74615,12,-1.5872,21,-0.7499
ENSG00000198793,MTOR,8,-2.3752,19,-1.2226,17,-1.3397,55,0.66140,96,1.46529,41,0.01310
ENSG00000116661,FBXO2,112,-0.7815,170,-0.1535,69,-1.5082,186,0.00495,347,1.04814,214,0.26192
ENSG00000132879,FBXO44,23,-1.6244,15,-2.3490,36,-0.9472,111,1.25513,77,0.24924,79,0.34985
ENSG00000011021,CLCN6,35,-0.9819,37,-0.9737,47,-0.5126,75,0.27924,107,0.80240,84,0.46910
ENSG00000116685,KIAA2013,45,0.13886,57,0.61032,15,-1.5562,41,0.00396,52,0.38590,31,-0.4911
ENSG00000116688,MFN2,53,-1.1425,85,-0.4679,82,-0.4882,116,0.08042,96,-0.2489,184,0.96698
ENSG00000048707,VPS13D,64,-0.1331,40,-0.9633,86,0.33524,92,0.60704,59,-0.2768,67,-0.0690
ENSG00000162496,DHRS3,14,-0.8773,25,0.07482,1,-3.9270,15,-0.9283,101,2.63197,16,-0.6718
ENSG00000116731,PRDM2,154,-0.3082,103,-1.0120,497,1.69574,206,0.19549,90,-1.1323,155,-0.3367
ENSG00000189337,KAZN,155,0.94064,102,0.28337,88,0.00312,67,-0.5160,38,-1.2671,95,0.14045
ENSG00000142634,EFHD2,29,-1.6681,25,-2.0368,71,-0.3276,105,0.38862,98,0.17369,157,1.14910
ENSG00000116138,DNAJC16,35,0.19119,16,-1.1118,20,-0.6683,51,1.11282,16,-1.0097,29,-0.1385
ENSG00000197312,DDI2,26,-0.3773,26,-0.4214,58,0.95839,46,0.76869,6,-2.3762,23,-0.5791
ENSG00000116786,PLEKHM2,98,-0.6471,107,-0.5570,187,0.38488,115,-0.4796,92,-0.7365,269,1.19611
ENSG00000065526,SPEN,334,1.52409,112,-0.3711,311,1.38819,114,-0.3683,44,-1.7388,61,-1.3544
ENSG00000116809,ZBTB17,18,-0.4339,30,0.44075,12,-1.0070,20,-0.3364,33,0.57977,26,0.19440
ENSG00000037637,FBXO42,12,-0.8287,13,-0.7550,22,0.03340,33,1.00469,14,-0.6401,19,-0.1768
ENSG00000055070,SZRD1,48,0.72968,44,0.65824,15,-1.0981,19,-0.9293,42,0.51804,29,-0.0808
ENSG00000159363,ATP13A2,20,-1.8768,24,-1.7180,6,-3.5753,106,1.02637,59,-0.2241,115,1.02909
ENSG00000117118,SDHB,27,-0.9389,51,0.00019,19,-1.4455,54,0.15099,49,-0.0600,73,0.68896
ENSG00000117115,PADI2,260,1.07144,328,1.87769,63,-1.1963,21,-3.0944,174,0.38888,76,-1.0038
ENSG00000179051,RCC2,20,-0.1295,22,0.03795,24,0.13633,22,-0.0117,21,-0.0866,22,0.01537
ENSG00000117154,IGSF21,5,-3.6667,16,-2.2444,34,-0.9855,114,1.37250,84,0.40629,76,0.28702
ENSG00000159423,ALDH4A1,16,-0.9585,24,-0.4368,18,-0.8229,12,-1.6755,109,2.28859,40,0.49677
ENSG00000127481,UBR4,58,0.68972,19,-1.1383,57,0.65676,50,0.61081,31,-0.3359,23,-0.8678
ENSG00000127463,EMC1,24,-0.3342,19,-0.7159,11,-1.4893,53,1.41807,12,-1.3165,25,-0.2644
ENSG00000053372,MRTO4,36,0.12104,17,-1.1381,16,-1.1616,54,1.08732,16,-1.1026,37,0.14926
ENSG00000053371,AKR7A2,61,1.05269,35,0.13715,4,-3.0200,23,-0.6352,70,1.28254,25,-0.4522
ENSG00000077549,CAPZB,109,-0.6021,129,-0.3731,150,-0.1048,189,0.36072,197,0.33323,159,-0.0126
ENSG00000173436,MICOS10,162,-0.9164,312,0.11751,209,-0.5293,242,-0.3708,346,0.27579,427,0.72276
ENSG00000158747,NBL1,32,-2.1466,61,-1.2760,31,-2.2068,185,0.75563,167,0.37799,206,0.86222
ENSG00000162545,CAMK2N1,947,-1.0387,1309,-0.5967,2562,0.53682,1993,0.16092,1787,-0.0513,2282,0.39370
ENSG00000158828,PINK1,92,-2.0520,206,-0.9243,189,-0.9815,435,0.44258,305,-0.2389,621,1.10771
ENSG00000244038,DDOST,2,-3.4922,24,0.07570,12,-0.9492,39,1.30173,18,-0.3164,15,-0.7219
ENSG00000117245,KIF17,0,-7.5929,1,-3.5766,0,-5.1098,32,1.43222,3,-2.5720,38,1.54058
ENSG00000189410,SH2D5,0,-8.2120,0,-8.8170,25,-0.1571,45,1.16626,29,0.10260,43,0.85640
ENSG00000127483,HP1BP3,464,0.75459,279,-0.0941,614,1.24831,272,-0.1587,118,-1.3990,184,-0.7982
ENSG00000075151,EIF4G3,214,-0.1752,154,-0.7534,537,1.38647,298,0.48680,94,-1.4250,168,-0.6044
ENSG00000117298,ECE1,58,1.18203,23,-0.3645,27,-0.0952,19,-0.7536,59,1.22121,19,-0.6993
ENSG00000076864,RAP1GAP,36,-1.6414,30,-2.0453,33,-1.7578,227,2.09616,81,-0.4139,80,-0.4714
ENSG00000090686,USP48,142,0.80553,108,0.39654,87,0.00572,105,0.40306,40,-1.2111,35,-1.4865
ENSG00000070831,CDC42,138,-0.3709,242,0.62358,68,-1.4485,208,0.37955,119,-0.5955,154,-0.2148
ENSG00000004487,KDM1A,26,-0.9457,24,-1.1532,95,1.11742,78,1.12178,25,-1.0204,28,-0.9345
ENSG00000169641,LUZP1,73,-1.1736,16,-3.5538,417,1.71283,235,0.94380,18,-3.2273,157,0.01464
ENSG00000125944,HNRNPR,187,0.36059,174,0.27981,173,0.23497,144,-0.0721,167,0.18065,94,-0.8045
ENSG00000142676,RPL11,625,-0.0651,1148,1.12361,376,-0.8573,369,-1.0660,801,0.33720,653,0.00507
ENSG00000011007,ELOA,54,1.03770,30,0.05992,27,-0.1179,33,0.25651,16,-0.9390,17,-0.8572
ENSG00000057757,PITHD1,72,-0.9833,96,-0.5859,39,-1.8989,170,0.49104,157,0.23848,192,0.66083
ENSG00000011009,LYPLA2,6,-1.8040,7,-1.7006,2,-3.2277,34,1.16311,21,0.02949,30,0.73919
ENSG00000189266,PNRC2,101,0.80255,58,-0.1277,96,0.71849,54,-0.2744,65,0.07651,40,-0.7376
ENSG00000188529,SRSF10,113,0.70137,69,-0.1161,77,0.07775,79,0.16320,63,-0.2396,53,-0.5680
ENSG00000001461,NIPAL3,278,0.60784,366,1.30063,157,-0.3181,125,-0.8215,138,-0.5202,120,-0.8052
ENSG00000133226,SRRM1,645,1.92670,169,-0.4410,424,1.12431,153,-0.6781,67,-1.7990,119,-1.0115
ENSG00000169504,CLIC4,203,1.06292,317,2.51461,33,-1.7786,8,-4.0705,99,-0.1279,40,-1.6280
ENSG00000117614,SYF2,174,0.38281,145,0.09384,271,1.13961,114,-0.3797,79,-0.8578,110,-0.3853
ENSG00000117616,RSRP1,117,1.00848,89,0.61759,17,-2.0295,91,0.78704,27,-1.3308,14,-2.3694
ENSG00000183726,TMEM50A,69,-0.1925,120,0.83307,45,-0.8409,80,0.07472,89,0.22772,46,-0.8919
ENSG00000204178,MACO1,101,0.96262,44,-0.4255,78,0.51991,71,0.49464,33,-0.8478,26,-1.2856
ENSG00000157978,LDLRAP1,61,1.72921,69,2.61904,0,-7.5519,1,-4.6379,13,-0.8078,5,-2.3118
ENSG00000117643,MAN1C1,24,-0.5767,14,-1.5265,4,-3.2317,70,1.73672,39,0.14020,25,-0.5969
ENSG00000162430,SELENON,18,-1.0978,45,0.41030,9,-2.0530,29,-0.4281,136,2.40708,11,-1.8993
ENSG00000117640,MTFR1L,31,-1.0574,36,-0.8966,23,-1.5018,85,0.72550,90,0.63622,71,0.26635
ENSG00000117632,STMN1,668,-0.6967,1127,0.14274,726,-0.5684,1212,0.32304,662,-0.7112,1236,0.31539
ENSG00000158008,EXTL1,7,-2.6511,6,-2.8861,15,-1.5290,62,0.89652,68,0.78474,65,0.83486
ENSG00000142684,ZNF593,10,-1.7704,22,-0.6161,26,-0.3296,35,0.19463,16,-1.0582,58,1.21522
ENSG00000142669,SH3BGRL3,94,-0.8660,163,-0.0174,71,-1.2818,136,-0.3740,272,0.83285,236,0.68750
ENSG00000198830,HMGN2,316,0.28763,420,0.89655,195,-0.4793,175,-0.7914,356,0.48431,206,-0.4339
ENSG00000117713,ARID1A,112,0.59213,86,0.17190,84,0.10760,85,0.16682,73,-0.1049,43,-0.9958
ENSG00000142751,GPN2,45,1.27237,21,-0.0455,6,-1.9375,24,0.22246,22,0.07029,13,-0.7760
ENSG00000090273,NUDC,119,-0.8370,152,-0.5057,122,-0.7997,232,0.27991,175,-0.2414,309,0.80203
ENSG00000253368,TRNP1,4,-3.2253,8,-2.4743,33,-0.3034,58,0.81073,15,-1.5028,80,1.38937
ENSG00000142784,WDTC1,24,-0.2747,21,-0.4922,20,-0.5229,31,0.18815,33,0.24430,36,0.40582
ENSG00000186501,TMEM222,33,-0.2574,36,-0.1085,15,-1.4294,57,0.86297,41,0.09865,27,-0.5863
ENSG00000158195,WASF2,245,1.70592,156,1.03167,93,0.02089,27,-2.1114,108,0.25833,40,-1.3938
ENSG00000126705,AHDC1,34,-0.2868,20,-1.1841,46,0.21635,48,0.37361,86,1.26491,27,-0.6757
ENSG00000126709,IFI6,57,-0.7191,88,-0.0474,41,-1.2134,88,-0.0441,205,1.39352,80,-0.2201
ENSG00000009780,FAM76A,26,0.15248,21,-0.2162,37,0.74355,23,-0.0276,36,0.72710,12,-1.0946
ENSG00000117758,STX12,73,-0.6415,123,0.18825,112,0.02408,96,-0.2715,183,0.83263,101,-0.1575
ENSG00000117751,PPP1R8,13,-1.1661,51,1.20905,21,-0.4333,27,-0.0554,26,-0.0664,17,-0.8391
ENSG00000117748,RPA2,29,-0.8551,50,-0.0383,8,-2.8098,73,0.78990,67,0.44118,44,-0.2464
ENSG00000126698,DNAJC8,347,0.59245,192,-0.4016,546,1.39277,208,-0.3006,104,-1.2961,205,-0.2866
ENSG00000130770,ATP5IF1,171,-1.2717,262,-0.6808,188,-1.1254,515,0.62011,323,-0.2960,570,0.72588
ENSG00000204138,PHACTR4,126,1.76669,56,0.37568,90,1.12831,23,-1.2170,22,-1.1075,18,-1.5117
ENSG00000198492,YTHDF2,71,-0.1646,65,-0.3474,92,0.24232,118,0.90288,23,-1.8882,61,-0.4420
ENSG00000116350,SRSF4,88,0.34027,75,0.09866,98,0.51785,70,-0.0271,58,-0.3220,53,-0.4961
ENSG00000116353,MECR,17,-0.6337,17,-0.6309,1,-3.8552,31,0.46356,34,0.50447,35,0.62980
ENSG00000162511,LAPTM5,29,-0.2735,46,0.54246,33,-0.0663,21,-0.9106,57,0.82708,35,0.02369
ENSG00000162512,SDC3,126,0.54572,94,0.07832,83,-0.1287,84,-0.1408,131,0.61615,60,-0.6929
ENSG00000134644,PUM1,123,-0.3971,98,-0.8198,208,0.44836,203,0.54329,162,0.04061,142,-0.1927
ENSG00000121766,ZCCHC17,149,0.14651,129,-0.0923,139,0.03408,163,0.39069,113,-0.2971,106,-0.4388
ENSG00000121769,FABP3,0,-8.5973,7,-2.4585,17,-1.1571,53,0.89211,17,-1.1100,75,1.51525
ENSG00000162517,PEF1,49,-0.3590,48,-0.4304,31,-1.0389,87,0.76970,58,-0.0957,60,-0.0352
ENSG00000084636,COL16A1,44,0.60650,40,0.52012,2,-3.6492,33,0.15632,47,0.70416,16,-1.0745
ENSG00000121753,ADGRB2,41,-2.2697,49,-2.1210,50,-1.9610,328,1.45391,206,0.19843,221,0.35496
ENSG00000184007,PTP4A2,1117,1.39501,1006,1.45892,600,0.31731,166,-1.9303,184,-1.5198,263,-1.0677
ENSG00000121774,KHDRBS1,146,0.14129,141,0.09368,103,-0.4065,144,0.14644,114,-0.2500,131,-0.0389
ENSG00000025800,KPNA6,64,-0.6676,92,-0.1192,136,0.53201,137,0.74794,79,-0.3384,54,-1.0192
ENSG00000084652,TXLNA,20,-0.3558,26,0.01068,16,-0.7598,31,0.38359,35,0.50693,21,-0.3669
ENSG00000084623,EIF3I,49,-0.7458,77,-0.0591,47,-0.8319,93,0.32277,89,0.17686,90,0.21601
ENSG00000175130,MARCKSL1,699,1.14100,903,2.05155,151,-1.3140,77,-2.6126,395,0.17326,132,-1.6316
ENSG00000160058,BSDC1,62,0.04439,54,-0.2092,43,-0.5506,66,0.18407,88,0.60795,54,-0.2210
ENSG00000160062,ZBTB8A,30,0.34331,25,0.06067,16,-0.6460,29,0.37287,7,-1.8973,27,0.15274
ENSG00000176261,ZBTB8OS,16,-1.4460,43,0.04441,47,0.18201,42,-0.0070,61,0.61233,42,-0.0024
ENSG00000162521,RBBP4,155,0.49719,106,-0.1313,145,0.38713,125,0.20002,89,-0.3976,82,-0.5709
ENSG00000134684,YARS,35,-1.3631,37,-1.3949,30,-1.6080,134,1.05096,90,0.09004,111,0.49493
ENSG00000160097,FNDC5,10,-1.3313,8,-1.7348,0,-5.3550,40,1.14740,4,-2.5573,47,1.29130
ENSG00000121905,HPCA,1,-6.4763,11,-3.7823,68,-1.0278,255,1.67005,73,-0.9292,197,0.75794
ENSG00000121900,TMEM54,10,-1.4966,49,1.04788,10,-1.5316,22,-0.5118,24,-0.2645,38,0.55470
ENSG00000004455,AK2,51,0.43569,74,1.29200,12,-1.7744,21,-1.1372,29,-0.4206,42,0.16106
ENSG00000142920,AZIN2,39,0.87921,35,0.83954,4,-2.4104,25,0.18369,19,-0.3048,10,-1.3235
ENSG00000160094,ZNF362,28,0.18036,16,-0.7286,25,0.03740,19,-0.5462,49,1.12690,29,0.27753
ENSG00000134686,PHC2,54,-0.0958,85,0.73495,37,-0.7093,54,-0.1334,58,-0.0102,49,-0.3074
ENSG00000163866,SMIM12,21,-0.9411,27,-0.6243,31,-0.3122,56,0.86491,35,-0.1311,37,-0.0627
ENSG00000116544,DLGAP3,1,-5.0343,2,-4.1308,48,0.23290,61,0.90995,36,-0.2186,69,1.00317
ENSG00000163867,ZMYM6,17,-0.3940,27,0.38329,7,-1.6840,32,0.78910,7,-1.6290,20,-0.1627
ENSG00000116560,SFPQ,412,1.11181,180,-0.2904,379,0.96479,214,0.01506,105,-1.0894,113,-1.0669
ENSG00000146463,ZMYM4,92,0.53846,41,-0.8223,153,1.42490,57,-0.2807,69,0.07248,47,-0.5950
ENSG00000142687,KIAA0319L,40,-0.8000,58,-0.2416,75,0.18284,81,0.41110,78,0.24356,58,-0.2448
ENSG00000020129,NCDN,21,-4.2330,53,-3.0556,107,-1.8635,788,2.10938,262,-0.5200,390,0.12615
ENSG00000126067,PSMB2,51,-0.6650,87,0.18922,34,-1.2870,87,0.22054,122,0.73577,70,-0.1879
ENSG00000142686,C1orf216,9,-3.1069,15,-2.5409,29,-1.4269,141,1.57520,40,-0.9669,110,0.72065
ENSG00000092847,AGO1,76,0.73868,45,-0.1280,21,-1.2641,55,0.27330,40,-0.3014,46,-0.0986
ENSG00000126070,AGO3,169,1.46819,89,0.41592,79,0.16776,63,-0.2372,42,-0.8146,27,-1.5686
ENSG00000054116,TRAPPC3,19,-0.8656,27,-0.3705,4,-2.9979,53,1.08319,9,-1.9683,44,0.51532
ENSG00000116871,MAP7D1,176,-0.2862,268,0.44714,102,-1.1191,257,0.43360,144,-0.5993,188,-0.2004
ENSG00000054118,THRAP3,192,0.16355,145,-0.3231,359,1.22749,197,0.26448,82,-1.1566,112,-0.7553
ENSG00000181817,LSM10,3,-3.3410,28,-0.2494,14,-1.2291,36,0.26434,40,0.36972,49,0.81023
ENSG00000116898,MRPS15,9,-2.3304,33,-0.4316,28,-0.6290,47,0.20478,55,0.41370,63,0.74608
ENSG00000163875,MEAF6,47,-0.9385,41,-1.2462,59,-0.5790,111,0.56880,98,0.21369,119,0.62206
ENSG00000134697,GNL2,36,0.49539,25,-0.1451,37,0.52676,25,-0.1635,23,-0.2136,24,-0.2070
ENSG00000197982,C1orf122,181,-0.3156,439,1.39555,98,-1.2601,110,-1.2796,235,0.09611,244,0.18027
ENSG00000183431,SF3A3,75,0.89752,29,-0.6975,15,-1.5958,49,0.23973,37,-0.2700,52,0.33000
ENSG00000183520,UTP11,33,0.05888,21,-0.7051,76,1.49628,35,0.22616,8,-2.0383,26,-0.3455
ENSG00000116954,RRAGC,59,0.61992,36,-0.2109,35,-0.2359,45,0.23143,27,-0.6433,38,-0.0996
ENSG00000174574,AKIRIN1,76,-0.1457,78,-0.1102,116,0.54777,92,0.20822,68,-0.3135,70,-0.3109
ENSG00000168653,NDUFS5,189,-1.8137,441,-0.5830,491,-0.3606,712,0.30825,648,0.07936,909,0.74273
ENSG00000127603,MACF1,858,1.30737,268,-0.6818,864,1.31978,263,-0.7928,465,0.25359,232,-0.9149
ENSG00000090621,PABPC4,101,0.39823,78,-0.0304,162,1.21467,52,-0.7942,55,-0.5647,80,0.02322
ENSG00000116983,HPCAL4,50,-2.4393,40,-2.9367,315,0.35409,405,1.10521,272,0.11375,300,0.31255
ENSG00000084072,PPIE,36,0.03820,32,-0.1515,21,-0.8117,42,0.36061,20,-0.9077,43,0.36438
ENSG00000131236,CAP1,202,0.33250,168,0.04059,153,-0.1189,165,0.00539,173,0.08134,143,-0.2478
ENSG00000131238,PPT1,92,-0.4118,82,-0.6535,71,-0.8204,153,0.54055,157,0.43785,127,0.10388
ENSG00000117000,RLF,56,1.00013,23,-0.4619,38,0.37512,41,0.66465,18,-0.8079,11,-1.6374
ENSG00000084073,ZMPSTE24,26,-0.3526,44,0.54589,12,-1.4978,44,0.62680,13,-1.4358,29,-0.2169
ENSG00000049089,COL9A2,72,0.76112,125,2.28162,16,-1.5894,7,-3.0931,65,0.57982,15,-1.7989
ENSG00000084070,SMAP2,72,-0.7922,50,-1.4507,194,0.80594,174,0.85235,39,-1.6991,134,0.20697
ENSG00000117016,RIMS3,6,-4.7903,7,-4.7318,126,-0.3410,264,1.25940,77,-1.0993,274,1.10893
ENSG00000066136,NFYC,15,-0.8230,11,-1.3398,6,-2.1541,40,0.98780,40,0.71023,28,0.11796
ENSG00000127124,HIVEP3,23,-0.3967,17,-0.9575,31,0.06979,36,0.35721,39,0.42774,33,0.16768
ENSG00000198815,FOXJ3,21,-1.0718,29,-0.6389,13,-1.7494,61,0.85440,62,0.62337,41,-0.0295
ENSG00000177181,RIMKLA,2,-4.1891,7,-2.8555,43,0.03346,71,1.24689,16,-1.4881,67,0.88663
ENSG00000127125,PPCS,54,-0.1707,68,0.21146,48,-0.3557,62,0.05077,84,0.55295,47,-0.4120
ENSG00000186409,CCDC30,52,0.41867,12,-1.9919,131,2.09820,40,-0.0201,23,-0.8762,27,-0.6794
ENSG00000065978,YBX1,288,0.81031,366,1.49942,186,0.08533,54,-2.0877,134,-0.4304,132,-0.5069
ENSG00000177868,SVBP,28,-0.3709,42,0.33589,39,0.19126,31,-0.2259,28,-0.3363,38,0.16880
ENSG00000117394,SLC2A1,75,0.34447,55,-0.1514,60,-0.0169,34,-1.0756,106,0.94085,75,0.40664
ENSG00000117395,EBNA1BP2,37,-1.0737,46,-0.8096,69,-0.1245,95,0.54242,69,-0.1072,95,0.45116
ENSG00000179178,TMEM125,100,0.94656,180,2.79620,16,-1.8847,3,-4.4425,49,-0.2243,15,-2.1402
ENSG00000066322,ELOVL1,136,0.37992,389,3.38513,8,-3.7541,12,-3.6188,78,-0.5063,19,-2.7383
ENSG00000159479,MED8,9,-1.2217,22,0.06027,0,-7.2420,31,0.81994,11,-1.0027,28,0.51918
ENSG00000178922,HYI,25,0.37095,31,0.81890,0,-7.2146,17,-0.2771,45,1.36028,8,-1.4402
ENSG00000142949,PTPRF,144,0.56831,91,-0.2001,33,-1.7344,138,0.67306,111,0.14545,67,-0.7155
