Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000224051,CPTP,13,-0.4278,19,0.10180,26,0.65849,13,-0.4491,6,-1.4995,19,0.13661,7,-1.4054,27,0.94180
ENSG00000107404,DVL1,38,-0.4005,92,0.99844,93,1.02084,37,-0.4765,46,-0.1173,39,-0.3686,42,-0.2908,40,-0.4335
ENSG00000175756,AURKAIP1,83,-1.0202,209,0.41559,208,0.41123,126,-0.3814,152,-0.0934,102,-0.7051,154,-0.0754,194,0.38684
ENSG00000221978,CCNL2,54,0.24187,24,-1.0149,82,0.93949,29,-0.6897,36,-0.3598,62,0.48713,41,-0.1880,45,-0.0246
ENSG00000242485,MRPL20,125,-0.3970,194,0.30200,160,-0.0119,184,0.21737,131,-0.3281,150,-0.1097,153,-0.0849,173,0.14752
ENSG00000235098,ANKRD65,27,-0.4797,41,0.15774,49,0.46120,52,0.56272,50,0.50270,29,-0.3511,26,-0.5906,35,-0.1117
ENSG00000179403,VWA1,184,3.47453,28,-0.1594,19,-0.7772,5,-2.5891,23,-0.5075,10,-1.7535,24,-0.4514,10,-2.0019
ENSG00000205090,TMEM240,2,-3.1750,20,-0.2646,25,0.09139,27,0.22305,9,-1.4502,28,0.28749,21,-0.2381,36,0.88267
ENSG00000160075,SSU72,53,-1.3878,113,-0.2440,236,0.95111,121,-0.1458,161,0.31540,108,-0.3147,130,-0.0269,134,0.02581
ENSG00000228594,FNDC10,12,-1.2640,43,0.64914,18,-0.6720,18,-0.6960,31,0.10857,40,0.54017,30,0.09419,31,0.13207
ENSG00000272106,AL691432.2,29,0.80542,16,-0.0774,36,1.20460,7,-1.2573,8,-1.0784,21,0.31030,14,-0.2979,14,-0.3396
ENSG00000197530,MIB2,22,-0.3726,31,0.17063,22,-0.3455,24,-0.2149,15,-0.9357,22,-0.3651,32,0.25278,35,0.48235
ENSG00000248333,CDK11B,86,0.94112,36,-0.4769,74,0.68832,34,-0.5567,45,-0.1090,50,0.03650,68,0.60807,24,-1.2211
ENSG00000189339,SLC35E2B,9,-1.2570,26,0.38411,33,0.77173,21,0.04062,14,-0.6077,16,-0.3987,18,-0.2130,23,0.27648
ENSG00000008128,CDK11A,51,1.47260,11,-0.9416,29,0.53041,14,-0.6076,21,-0.0106,28,0.44014,18,-0.2074,13,-0.8287
ENSG00000215790,SLC35E2A,12,-0.4497,24,0.65364,37,1.38194,23,0.56794,1,-3.5644,25,0.74137,4,-2.1593,15,-0.0864
ENSG00000008130,NADK,23,0.14100,30,0.53798,24,0.18278,23,0.09576,28,0.40394,31,0.59043,11,-1.1193,18,-0.2885
ENSG00000078369,GNB1,264,-0.9915,620,0.34199,665,0.45706,683,0.49935,646,0.40985,371,-0.4711,435,-0.2445,464,-0.1502
ENSG00000187730,GABRD,23,-3.1531,99,-0.9882,115,-0.7625,182,-0.0543,34,-2.5628,169,-0.1772,201,0.11148,351,1.44908
ENSG00000067606,PRKCZ,117,-0.7642,146,-0.4157,295,0.70318,275,0.58774,151,-0.3695,131,-0.5869,175,-0.1491,212,0.21171
ENSG00000162585,FAAP20,26,-0.2035,65,1.30883,44,0.62226,27,-0.1220,14,-1.1556,24,-0.3268,23,-0.4444,27,-0.1944
ENSG00000157933,SKI,44,0.50969,61,1.06197,70,1.29968,30,-0.1133,11,-1.6266,32,0.02413,12,-1.5076,26,-0.3747
ENSG00000157916,RER1,56,0.18630,55,0.15364,36,-0.5123,37,-0.4749,41,-0.3027,24,-1.1284,37,-0.5044,76,0.89554
ENSG00000157911,PEX10,19,0.14082,46,1.62521,19,0.10245,14,-0.3458,11,-0.6343,3,-2.3054,8,-1.2662,21,0.39410
ENSG00000157870,PRXL2B,18,-1.3679,49,0.18448,56,0.38031,42,-0.0618,21,-1.0941,51,0.23600,34,-0.4572,60,0.63873
ENSG00000158109,TPRG1L,49,-2.2319,137,-0.6971,282,0.43705,243,0.19404,236,0.14376,188,-0.2107,209,-0.0551,271,0.48336
ENSG00000130764,LRRC47,44,-0.7832,63,-0.2487,61,-0.3032,49,-0.6362,66,-0.1792,79,0.10655,115,0.82739,73,-0.0134
ENSG00000116198,CEP104,107,1.82068,34,-0.1294,13,-1.5370,26,-0.5585,46,0.36173,54,0.62977,21,-0.9320,28,-0.5303
ENSG00000196581,AJAP1,19,-1.2416,15,-1.5406,52,0.32670,30,-0.5062,33,-0.3911,72,0.88315,32,-0.4579,59,0.72810
ENSG00000069424,KCNAB2,45,-2.1995,199,0.04687,350,0.98066,245,0.38323,72,-1.5099,199,0.04936,164,-0.2787,228,0.34313
ENSG00000116254,CHD5,75,-1.9477,251,-0.1251,262,-0.0552,315,0.23782,331,0.31585,396,0.61257,328,0.34058,233,-0.2913
ENSG00000116251,RPL22,821,0.55836,795,0.50516,979,0.85341,783,0.48009,812,0.53999,286,-1.0938,431,-0.5130,353,-0.9192
ENSG00000116237,ICMT,26,-0.6082,34,-0.2132,49,0.36322,33,-0.2497,16,-1.3110,26,-0.5969,34,-0.2452,59,0.88305
ENSG00000097021,ACOT7,54,-2.3543,113,-1.2623,163,-0.7100,227,-0.1936,132,-1.0266,267,0.06286,303,0.29618,421,1.10832
ENSG00000171680,PLEKHG5,6,-1.8411,25,0.14234,18,-0.3725,37,0.80672,2,-3.4122,15,-0.6103,18,-0.3982,36,1.05419
ENSG00000162408,NOL9,32,0.16840,28,-0.0385,29,0.03304,33,0.22550,44,0.68511,44,0.69134,25,-0.2331,18,-0.8099
ENSG00000162413,KLHL21,6,-2.0803,33,0.36529,12,-1.1244,23,-0.1926,33,0.39646,20,-0.3645,25,-0.0450,35,0.66490
ENSG00000041988,THAP3,36,1.07014,11,-0.8278,18,-0.0034,14,-0.4696,5,-1.8998,19,0.00811,15,-0.3564,24,0.52007
ENSG00000007923,DNAJC11,28,-0.3209,31,-0.1825,35,0.00950,22,-0.7257,76,1.28768,38,0.12163,29,-0.3229,32,-0.1605
ENSG00000171735,CAMTA1,196,-1.2976,301,-0.6429,313,-0.5835,442,-0.0463,526,0.22973,725,0.75710,698,0.79632,371,-0.3951
ENSG00000049245,VAMP3,144,3.18850,27,-0.0214,28,0.03610,11,-1.4055,47,0.88948,12,-1.2760,5,-2.6139,7,-2.2502
ENSG00000049246,PER3,97,1.67494,55,0.67883,36,-0.0009,22,-0.7356,31,-0.2436,65,0.96597,20,-0.9741,17,-1.3332
ENSG00000116288,PARK7,215,-0.6432,391,0.29285,367,0.19232,305,-0.1016,326,0.00300,172,-0.9889,310,-0.0847,395,0.39724
ENSG00000116285,ERRFI1,19,-0.4455,11,-1.2756,7,-1.8241,22,-0.2098,31,0.34773,21,-0.2545,45,1.08885,25,0.00697
ENSG00000162426,SLC45A1,8,-1.8978,13,-1.1851,24,-0.2317,25,-0.1412,36,0.40535,31,0.14719,18,-0.6896,44,1.02239
ENSG00000142599,RERE,229,0.76577,177,0.33403,136,-0.0865,171,0.27894,89,-0.7445,165,0.22307,140,-0.0360,110,-0.5009
ENSG00000074800,ENO1,301,-0.6179,814,0.98498,409,-0.1404,171,-1.4738,528,0.26596,324,-0.5027,452,0.01827,490,0.18369
ENSG00000171612,SLC25A33,21,-0.4679,90,2.00208,38,0.47837,19,-0.6057,24,-0.2588,5,-2.3888,21,-0.5361,24,-0.2968
ENSG00000171603,CLSTN1,160,-2.2655,375,-1.0009,517,-0.5132,431,-0.7920,689,-0.0627,882,0.33195,869,0.34618,1033,0.78498
ENSG00000178585,CTNNBIP1,36,0.24627,52,0.84073,33,0.11084,25,-0.3392,79,1.57350,23,-0.4553,21,-0.6575,17,-1.0814
ENSG00000162441,LZIC,120,1.14926,57,-0.0740,64,0.11255,61,0.02027,62,0.06696,51,-0.2553,76,0.42195,31,-1.1976
ENSG00000130939,UBE4B,41,0.18179,16,-1.2542,27,-0.4570,37,0.02528,64,0.90165,34,-0.1293,43,0.27760,33,-0.2146
ENSG00000054523,KIF1B,624,0.59840,311,-0.5104,322,-0.4572,382,-0.1899,511,0.27339,539,0.36020,501,0.26873,350,-0.3971
ENSG00000142657,PGD,54,-0.4224,47,-0.6207,29,-1.3664,46,-0.6621,68,-0.0505,81,0.21609,103,0.69051,82,0.30520
ENSG00000241563,CORT,24,-0.6686,50,0.47672,58,0.70090,22,-0.7751,2,-3.8052,17,-1.1893,46,0.39044,48,0.51518
ENSG00000160049,DFFA,79,0.69353,65,0.37318,71,0.51228,44,-0.2300,49,-0.0924,43,-0.2975,59,0.25194,32,-0.8472
ENSG00000142655,PEX14,15,-0.2437,14,-0.4456,14,-0.4457,15,-0.3027,18,-0.0274,7,-1.5017,17,-0.0938,28,0.91692
ENSG00000120948,TARDBP,97,0.39351,55,-0.4972,54,-0.5187,59,-0.3939,100,0.43360,82,0.12748,55,-0.5642,93,0.41707
ENSG00000116649,SRM,29,-0.8131,83,0.83471,75,0.66137,39,-0.3519,21,-1.3230,61,0.33792,37,-0.5125,54,0.19371
ENSG00000171824,EXOSC10,50,1.09616,30,0.28776,9,-1.4860,16,-0.7042,13,-1.0412,42,0.81101,24,-0.1250,24,-0.1097
ENSG00000198793,MTOR,14,-1.7262,45,-0.0039,48,0.07881,25,-0.9337,21,-1.1969,63,0.51358,51,0.19084,61,0.62027
ENSG00000116661,FBXO2,71,-1.1966,402,1.61940,195,0.36945,116,-0.4489,84,-0.9478,45,-1.8708,106,-0.6506,194,0.46191
ENSG00000132879,FBXO44,36,-1.4569,59,-0.7378,120,0.37477,77,-0.3285,74,-0.3891,93,-0.0208,69,-0.5429,148,0.98916
ENSG00000011021,CLCN6,39,-0.8280,61,-0.1521,40,-0.7854,61,-0.1505,103,0.70238,91,0.49455,53,-0.3831,78,0.31169
ENSG00000116685,KIAA2013,44,0.78697,23,-0.2424,28,0.07273,18,-0.6050,23,-0.2659,12,-1.1875,16,-0.8616,38,0.77117
ENSG00000083444,PLOD1,27,0.77264,19,0.22734,20,0.29314,6,-1.6073,3,-2.6198,13,-0.4434,15,-0.1930,22,0.59181
ENSG00000116688,MFN2,88,-0.4871,80,-0.6442,94,-0.3885,130,0.11638,128,0.09701,143,0.27610,113,-0.1147,146,0.39061
ENSG00000048707,VPS13D,36,-1.0653,49,-0.5944,44,-0.7732,77,0.11299,93,0.41095,124,0.88697,74,0.04171,74,0.05126
ENSG00000162496,DHRS3,46,1.75700,48,1.85714,19,0.26790,1,-3.2488,13,-0.3152,5,-1.7723,4,-2.0074,12,-0.5107
ENSG00000116731,PRDM2,169,-0.4823,159,-0.5688,237,0.05232,273,0.27903,265,0.22827,304,0.44985,269,0.28476,193,-0.3297
ENSG00000189337,KAZN,101,0.53299,57,-0.3918,33,-1.1914,82,0.19735,69,-0.0915,52,-0.5348,90,0.38872,75,0.06839
ENSG00000142634,EFHD2,65,-0.4500,39,-1.2380,19,-2.2720,70,-0.3349,291,2.11831,110,0.37717,112,0.46242,46,-1.1416
ENSG00000116138,DNAJC16,29,-0.2953,27,-0.4094,28,-0.3247,35,0.02206,13,-1.4481,32,-0.1278,34,-0.0143,50,0.76345
ENSG00000197312,DDI2,40,0.04978,13,-1.6980,27,-0.5786,49,0.35501,24,-0.7186,61,0.71979,47,0.32154,41,0.08174
ENSG00000116786,PLEKHM2,72,-0.6014,131,0.34835,152,0.58704,186,0.92705,134,0.37825,64,-0.7628,117,0.18158,63,-0.9464
ENSG00000065526,SPEN,288,1.23601,111,-0.3244,111,-0.3334,129,-0.0985,86,-0.7233,189,0.51445,175,0.44351,81,-0.9529
ENSG00000116809,ZBTB17,28,0.79054,15,-0.1734,25,0.59981,16,-0.1351,19,0.13775,20,0.28124,11,-0.6610,14,-0.3665
ENSG00000055070,SZRD1,33,0.38988,51,1.13869,26,0.05646,9,-1.5454,19,-0.4288,31,0.30940,30,0.27225,17,-0.7205
ENSG00000159363,ATP13A2,25,-2.2130,69,-0.6980,70,-0.6763,142,0.43220,75,-0.5694,105,-0.0558,149,0.57292,137,0.48192
ENSG00000117118,SDHB,32,-1.3249,63,-0.2920,88,0.23406,85,0.18093,63,-0.2963,47,-0.7198,81,0.11695,98,0.53667
ENSG00000117115,PADI2,355,3.49592,98,0.78841,45,-0.4652,12,-2.3619,44,-0.4986,31,-1.0030,21,-1.6923,12,-2.6060
ENSG00000179051,RCC2,21,-0.0917,25,0.20427,31,0.54589,14,-0.6615,5,-2.1531,12,-0.8784,17,-0.4161,33,0.87630
ENSG00000117154,IGSF21,20,-1.5453,57,0.00657,71,0.36267,36,-0.6984,79,0.54843,92,0.79869,19,-1.7526,76,0.62225
ENSG00000159423,ALDH4A1,14,-0.3743,47,1.63696,31,0.86299,9,-1.0601,29,0.74539,23,0.36395,9,-1.1195,9,-1.1905
ENSG00000127481,UBR4,38,0.02318,36,-0.0705,24,-0.6958,14,-1.4669,41,0.11645,59,0.72589,50,0.50753,34,-0.1857
ENSG00000127463,EMC1,27,-0.2145,24,-0.3828,24,-0.4142,14,-1.2113,19,-0.7153,50,0.76018,22,-0.5621,46,0.86099
ENSG00000053372,MRTO4,24,-0.6603,31,-0.2839,59,0.72591,46,0.32403,12,-1.7017,44,0.24756,26,-0.6214,48,0.51722
ENSG00000053371,AKR7A2,45,0.70913,70,1.48448,40,0.51415,16,-0.8808,47,0.76537,8,-1.9046,14,-1.1635,21,-0.5596
ENSG00000077549,CAPZB,151,-0.1989,167,-0.0403,155,-0.1593,121,-0.5415,182,0.09410,130,-0.4317,133,-0.4394,238,0.69958
ENSG00000173436,MICOS10,239,-0.4051,342,0.15786,449,0.60354,533,0.89134,389,0.36598,181,-0.8346,239,-0.4413,265,-0.3026
ENSG00000158747,NBL1,91,-0.5873,151,0.20806,186,0.55215,96,-0.5041,128,-0.0566,112,-0.2640,126,-0.0813,147,0.20727
ENSG00000169914,OTUD3,15,-0.4197,9,-1.2319,7,-1.4428,10,-0.9792,24,0.32804,45,1.37392,24,0.38799,19,-0.0699
ENSG00000162545,CAMK2N1,840,-1.0969,2878,0.85185,4784,1.76833,2124,0.34721,847,-1.0845,957,-0.9005,1103,-0.7426,1395,-0.3909
ENSG00000090432,MUL1,1,-4.0596,18,-0.2382,18,-0.1812,14,-0.6058,64,1.93963,29,0.52586,15,-0.5626,18,-0.2535
ENSG00000158828,PINK1,185,-1.4494,419,-0.2002,548,0.22627,509,0.10609,685,0.59015,350,-0.4796,535,0.20750,490,0.05776
ENSG00000244038,DDOST,19,-0.5114,26,-0.0508,33,0.32619,16,-0.7768,30,0.19631,17,-0.7206,21,-0.4354,37,0.70095
ENSG00000117245,KIF17,5,-2.5115,7,-2.0514,16,-0.9723,33,0.11307,22,-0.4641,34,0.19059,72,1.76388,24,-0.4705
ENSG00000189410,SH2D5,0,-5.6034,32,-0.4552,75,0.90866,45,0.08232,11,-2.0504,48,0.15608,32,-0.4995,66,0.92871
ENSG00000127483,HP1BP3,398,0.37552,297,-0.0895,259,-0.3084,237,-0.4449,341,0.12545,386,0.32785,406,0.46080,245,-0.4789
ENSG00000075151,EIF4G3,239,-0.5195,162,-1.1125,174,-1.0039,308,-0.1244,224,-0.6169,430,0.40963,468,0.62733,397,0.36088
ENSG00000076864,RAP1GAP,37,-1.8383,66,-0.9710,85,-0.5962,130,0.06782,192,0.69651,199,0.75896,128,0.04246,136,0.17139
ENSG00000090686,USP48,146,0.89414,43,-1.0239,34,-1.3663,77,-0.1487,120,0.57623,122,0.59708,87,0.06497,70,-0.3562
ENSG00000070831,CDC42,178,-0.0644,113,-0.7683,116,-0.7300,122,-0.6516,273,0.62364,162,-0.2181,216,0.26968,216,0.30492
ENSG00000004487,KDM1A,41,-0.9737,38,-1.0642,62,-0.3265,52,-0.6071,83,0.11828,91,0.27156,90,0.29039,99,0.52911
ENSG00000169641,LUZP1,59,-2.0287,115,-1.0421,138,-0.7641,271,0.29241,191,-0.2623,212,-0.0955,344,0.78273,270,0.36677
ENSG00000125944,HNRNPR,203,0.51194,120,-0.3186,108,-0.4926,110,-0.4562,111,-0.4479,157,0.10253,186,0.41930,147,-0.0028
ENSG00000142676,RPL11,732,0.77268,733,0.77519,718,0.73973,483,0.09154,629,0.51906,173,-1.4807,380,-0.3136,262,-1.0102
ENSG00000011007,ELOA,53,1.09918,24,-0.2069,28,0.02546,18,-0.5989,34,0.38220,29,0.08353,26,-0.0822,20,-0.5410
ENSG00000057757,PITHD1,94,-0.8412,59,-1.5384,103,-0.6938,143,-0.1908,180,0.17070,135,-0.2822,225,0.60802,205,0.48964
ENSG00000011009,LYPLA2,9,-1.4090,23,0.00083,18,-0.3581,28,0.27649,15,-0.6310,30,0.42362,23,0.00116,28,0.40302
ENSG00000117305,HMGCL,33,0.94151,25,0.46314,6,-1.6809,7,-1.4249,15,-0.2887,10,-0.9055,24,0.46289,20,0.12861
ENSG00000189266,PNRC2,62,0.31836,62,0.31892,98,1.09365,31,-0.7667,35,-0.5731,61,0.31069,37,-0.5080,44,-0.2608
ENSG00000188529,SRSF10,90,0.62257,49,-0.3329,64,0.08393,54,-0.1837,51,-0.2951,75,0.32429,56,-0.1480,59,-0.0745
ENSG00000001461,NIPAL3,288,1.32698,53,-1.3810,60,-1.1830,101,-0.3913,221,0.86631,138,0.08529,120,-0.1395,111,-0.3162
ENSG00000133226,SRRM1,530,1.39925,136,-0.8170,162,-0.5477,187,-0.3303,187,-0.3316,288,0.35885,262,0.22732,174,-0.5301
ENSG00000169504,CLIC4,296,4.22229,34,-0.2953,11,-1.9452,4,-3.4702,52,0.37191,9,-2.2872,11,-2.0720,8,-2.7045
ENSG00000117614,SYF2,130,-0.1052,142,0.03653,180,0.41901,151,0.13424,200,0.59306,121,-0.2213,168,0.34154,89,-0.8189
ENSG00000117616,RSRP1,71,0.80402,29,-0.6240,70,0.77139,21,-1.1050,11,-2.0847,131,1.91324,26,-0.8210,30,-0.6597
ENSG00000183726,TMEM50A,82,0.57856,58,0.00777,91,0.74200,42,-0.4864,43,-0.4320,35,-0.7442,38,-0.7037,68,0.35008
ENSG00000204178,MACO1,81,0.28973,33,-1.1032,48,-0.5445,46,-0.5915,42,-0.7553,141,1.21243,85,0.40068,62,-0.1751
ENSG00000117643,MAN1C1,7,-2.4277,28,-0.4871,41,0.12859,38,-0.0105,1,-5.3360,31,-0.3163,19,-1.1408,78,1.75095
ENSG00000162430,SELENON,25,0.21700,47,1.26774,38,0.88172,12,-0.9497,28,0.39843,18,-0.2658,8,-1.6032,19,-0.2829
ENSG00000117640,MTFR1L,44,-0.5826,58,-0.1753,97,0.65257,50,-0.3988,49,-0.4267,41,-0.7146,65,0.00211,81,0.46455
ENSG00000117632,STMN1,874,-0.6526,561,-1.3242,857,-0.6826,1249,-0.0970,1806,0.49549,1310,-0.0222,1773,0.52812,1470,0.20462
ENSG00000158008,EXTL1,9,-2.1005,43,0.17597,43,0.14663,50,0.39855,67,0.88779,67,0.88892,21,-1.0093,35,-0.1871
ENSG00000142684,ZNF593,23,-0.8417,46,0.21014,32,-0.3476,32,-0.3688,31,-0.4068,50,0.34509,41,0.03575,49,0.39564
ENSG00000142669,SH3BGRL3,170,0.07837,151,-0.1103,225,0.52990,179,0.15546,244,0.66338,173,0.10208,93,-0.9240,151,-0.1329
ENSG00000158062,UBXN11,4,-2.1830,29,0.80206,38,1.23982,21,0.25394,8,-1.2103,10,-0.7960,18,0.04278,16,-0.1680
ENSG00000117682,DHDDS,2,-2.9054,20,0.15284,2,-3.0883,19,0.04530,7,-1.4420,27,0.61661,27,0.75370,23,0.46204
ENSG00000198830,HMGN2,315,1.14925,252,0.76489,222,0.55214,112,-0.5357,202,0.39852,116,-0.4766,109,-0.6275,99,-0.8567
ENSG00000117713,ARID1A,166,1.28226,56,-0.4902,65,-0.2653,67,-0.2250,69,-0.1663,94,0.31741,75,-0.0515,60,-0.4696
ENSG00000204160,ZDHHC18,3,-2.6558,15,-0.3173,23,0.29966,18,-0.0919,14,-0.4644,16,-0.2440,15,-0.4233,30,0.99146
ENSG00000142751,GPN2,43,1.30853,14,-0.4769,28,0.57566,12,-0.6639,7,-1.4920,19,-0.0136,18,-0.1272,18,-0.1556
ENSG00000090273,NUDC,146,-0.6326,226,0.04970,321,0.61564,322,0.62086,186,-0.2572,173,-0.3719,233,0.10621,191,-0.2678
ENSG00000253368,TRNP1,3,-3.9243,63,0.33040,62,0.30179,70,0.47899,39,-0.4407,32,-0.7275,54,0.06909,63,0.42629
ENSG00000090020,SLC9A1,2,-3.3039,11,-0.9885,9,-1.3246,16,-0.4439,3,-2.5574,40,1.03698,28,0.53767,31,0.85564
ENSG00000142784,WDTC1,30,0.27871,33,0.40838,31,0.32379,19,-0.4080,17,-0.5638,18,-0.4974,29,0.21338,24,-0.1018
ENSG00000186501,TMEM222,56,0.45437,50,0.25976,35,-0.3062,27,-0.7078,33,-0.3670,55,0.41744,37,-0.2440,45,0.13918
ENSG00000158195,WASF2,171,2.61552,71,0.92709,52,0.39202,17,-1.2948,49,0.29467,26,-0.6620,10,-2.2479,13,-1.8931
ENSG00000126705,AHDC1,24,-0.5436,25,-0.4358,26,-0.4078,21,-0.6887,30,-0.1728,50,0.62156,34,0.01417,42,0.46034
ENSG00000126709,IFI6,124,0.09869,114,-0.0288,54,-1.1806,61,-1.0055,104,-0.1773,122,0.07932,91,-0.4140,173,0.85746
ENSG00000009780,FAM76A,38,0.64547,18,-0.4905,12,-1.1142,11,-1.3190,10,-1.3905,57,1.34152,22,-0.2655,30,0.33189
ENSG00000117758,STX12,96,-0.1800,92,-0.2366,106,-0.0226,84,-0.3830,124,0.22771,123,0.21746,118,0.16924,107,-0.0132
ENSG00000117751,PPP1R8,48,1.24008,22,-0.0139,35,0.73906,11,-1.0463,16,-0.4771,24,0.09139,15,-0.7012,20,-0.2005
ENSG00000117748,RPA2,37,-0.2144,37,-0.2155,31,-0.4861,23,-0.9033,20,-1.1448,23,-0.9278,60,0.66282,57,0.65037
ENSG00000126698,DNAJC8,309,0.12048,215,-0.4520,304,0.09128,321,0.17804,285,-0.0097,224,-0.3860,348,0.34536,268,-0.1369
ENSG00000130770,ATP5IF1,168,-1.6074,374,-0.3945,593,0.33737,607,0.37340,330,-0.5862,245,-1.0389,571,0.30753,610,0.49724
ENSG00000204138,PHACTR4,77,1.92150,45,0.95277,19,-0.4101,10,-1.3715,8,-1.7129,34,0.46668,21,-0.3195,14,-1.0457
ENSG00000180098,TRNAU1AP,32,0.93933,17,-0.0183,13,-0.4387,7,-1.3023,9,-0.9572,28,0.72608,12,-0.6698,21,0.38077
ENSG00000198492,YTHDF2,81,-0.3995,41,-1.4403,42,-1.4007,66,-0.7097,127,0.30321,131,0.35115,144,0.58184,126,0.37583
ENSG00000159023,EPB41,24,-0.0512,9,-1.5493,7,-1.7983,30,0.32934,26,0.10760,32,0.44224,46,1.20394,16,-0.7347
ENSG00000116350,SRSF4,101,0.47663,91,0.31840,65,-0.2194,48,-0.6758,90,0.28802,85,0.20364,70,-0.1232,68,-0.1896
ENSG00000116353,MECR,13,-1.4723,25,-0.5453,35,-0.0445,47,0.42662,43,0.29265,23,-0.6799,39,0.11984,44,0.40530
ENSG00000162511,LAPTM5,44,1.07880,76,2.10921,47,1.20962,20,-0.2098,7,-1.7497,7,-1.6448,5,-2.4295,13,-1.0064
ENSG00000162512,SDC3,104,-0.1292,186,0.81410,126,0.17657,87,-0.4068,101,-0.1707,120,0.09662,87,-0.4378,114,0.02295
ENSG00000134644,PUM1,124,-0.2814,105,-0.5298,117,-0.3613,122,-0.2968,194,0.43426,242,0.80151,153,0.06175,139,-0.1243
ENSG00000060688,SNRNP40,41,0.69520,21,-0.3879,8,-1.7427,18,-0.5548,15,-0.8374,33,0.32938,39,0.69397,26,-0.0356
ENSG00000121766,ZCCHC17,128,-0.2985,112,-0.5131,199,0.39819,148,-0.0792,203,0.43232,133,-0.2399,156,0.00649,158,0.03067
ENSG00000121769,FABP3,28,-2.0515,57,-0.9849,46,-1.3150,131,0.29583,128,0.26444,86,-0.3664,131,0.33002,153,0.72592
ENSG00000162517,PEF1,35,-0.9193,34,-0.9541,77,0.30146,69,0.11909,62,-0.0441,60,-0.1014,50,-0.4258,88,0.69286
ENSG00000084636,COL16A1,67,1.28412,35,0.19611,43,0.52250,11,-1.5518,30,-0.0464,44,0.57407,14,-1.2390,27,-0.2568
ENSG00000121753,ADGRB2,52,-2.1901,209,-0.0960,360,0.78568,145,-0.6634,190,-0.2476,282,0.37982,168,-0.4792,291,0.56150
ENSG00000184007,PTP4A2,1075,2.16453,178,-0.8840,246,-0.3902,260,-0.3035,630,1.14757,178,-0.8830,210,-0.6871,161,-1.2142
ENSG00000121774,KHDRBS1,180,0.41033,119,-0.2470,147,0.07738,98,-0.5543,110,-0.3706,109,-0.3902,176,0.42071,140,0.00800
ENSG00000025800,KPNA6,77,-0.2606,57,-0.7197,87,-0.0760,86,-0.0965,115,0.36410,117,0.39979,82,-0.1915,101,0.19309
ENSG00000084652,TXLNA,52,1.04983,22,-0.2959,32,0.27146,22,-0.3415,20,-0.4550,25,-0.1245,19,-0.6098,29,0.14556
ENSG00000160050,CCDC28B,11,-0.7526,37,1.14050,36,1.06491,15,-0.2866,0,-6.5899,19,0.00563,7,-1.5418,24,0.53071
ENSG00000084623,EIF3I,78,-0.5603,83,-0.4761,85,-0.4348,86,-0.4207,128,0.20268,77,-0.5984,138,0.36699,142,0.47810
ENSG00000175130,MARCKSL1,1236,3.00319,328,0.42370,206,-0.3190,79,-1.7584,295,0.25193,128,-1.0426,153,-0.8367,65,-2.3067
