Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000008130,NADK,25,0.22963,17,-0.3775,25,0.22885,35,0.77190,21,-0.0372,12,-0.8332,21,-0.0571,10,-1.1802,35,0.76831,16,-0.4872,21,-0.0300
ENSG00000078369,GNB1,429,-0.1907,640,0.44384,545,0.18460,359,-0.4669,529,0.13686,352,-0.4950,634,0.42836,400,-0.2985,507,0.06951,421,-0.2212,501,0.05561
ENSG00000187730,GABRD,29,-2.4212,81,-0.9233,166,0.17270,101,-0.6042,131,-0.1988,103,-0.5685,43,-1.8763,240,0.76902,243,0.79349,245,0.80305,202,0.54362
ENSG00000067606,PRKCZ,138,-0.5259,189,-0.0350,264,0.49439,207,0.10843,140,-0.5012,175,-0.1567,218,0.19182,168,-0.2225,221,0.20761,228,0.25985,187,-0.0590
ENSG00000162585,FAAP20,65,1.06431,54,0.76780,55,0.77119,18,-0.9412,23,-0.6015,22,-0.6663,29,-0.2249,14,-1.3326,54,0.75481,18,-0.9727,26,-0.3988
ENSG00000157933,SKI,36,0.32926,51,0.90717,30,0.08235,40,0.50715,23,-0.3184,34,0.26182,31,0.09501,9,-1.6754,7,-2.0279,38,0.42477,24,-0.3376
ENSG00000157916,RER1,41,-0.3331,63,0.33723,34,-0.6114,61,0.28935,22,-1.2470,15,-1.7764,67,0.45123,69,0.50669,57,0.17899,57,0.18946,60,0.30926
ENSG00000157911,PEX10,34,0.73994,33,0.69389,22,0.04361,22,0.05660,2,-3.1041,7,-1.6224,20,-0.1109,9,-1.2746,30,0.54534,19,-0.1958,29,0.53160
ENSG00000149527,PLCH2,13,-0.2385,36,1.45792,13,-0.2254,13,-0.1510,9,-0.7468,9,-0.7857,0,-4.3400,6,-1.3497,16,0.10805,32,1.21065,16,0.10823
ENSG00000157881,PANK4,8,-0.6994,12,-0.1875,8,-0.8149,20,0.58420,14,0.00543,7,-0.9763,3,-1.9935,7,-0.9721,15,0.18765,29,1.19554,20,0.68598
ENSG00000157870,PRXL2B,29,-0.4972,51,0.37427,38,-0.0795,35,-0.2131,18,-1.1896,37,-0.1443,20,-1.0645,53,0.43419,37,-0.1164,52,0.42381,56,0.58434
ENSG00000177133,PRDM16-DT,24,0.83713,76,3.09408,6,-1.1522,7,-1.0743,14,-0.0610,4,-1.7810,4,-1.6939,3,-2.2184,14,-0.0412,8,-0.8725,5,-1.6052
ENSG00000158109,TPRG1L,99,-0.8814,126,-0.5137,190,0.12044,170,-0.0553,145,-0.2971,120,-0.5838,164,-0.1088,220,0.35667,222,0.37056,190,0.12453,231,0.49000
ENSG00000130764,LRRC47,41,-0.9236,59,-0.3560,42,-0.8848,113,0.67591,53,-0.5343,68,-0.1361,48,-0.6763,81,0.13903,74,-0.0110,92,0.33166,111,0.72554
ENSG00000116198,CEP104,44,0.82045,17,-0.6599,27,0.02782,29,0.14541,23,-0.1845,42,0.73699,40,0.65323,18,-0.5524,20,-0.4482,23,-0.1836,16,-0.7635
ENSG00000198912,C1orf174,9,-0.6106,8,-0.7557,16,0.20427,16,0.21577,6,-1.2091,17,0.24864,16,0.22913,12,-0.2163,18,0.39154,16,0.18515,17,0.30399
ENSG00000196581,AJAP1,35,-0.5383,27,-0.9272,33,-0.6364,56,0.18044,52,0.05754,87,0.87822,38,-0.4345,32,-0.6668,27,-0.9573,100,1.12129,57,0.23174
ENSG00000069424,KCNAB2,131,-0.4878,261,0.59760,192,0.10441,128,-0.5187,80,-1.2253,137,-0.4175,127,-0.5360,221,0.32846,225,0.36177,221,0.33149,215,0.31868
ENSG00000116254,CHD5,151,-0.7139,203,-0.2659,289,0.29426,221,-0.1282,248,0.04745,637,1.63775,173,-0.5102,188,-0.3823,128,-0.9724,232,-0.0547,207,-0.2523
ENSG00000116251,RPL22,1044,1.15674,635,0.32846,745,0.58940,373,-0.5042,526,0.02896,369,-0.5195,644,0.35208,266,-1.0140,483,-0.1026,420,-0.3225,344,-0.6787
ENSG00000116237,ICMT,15,-1.4149,40,0.00050,27,-0.5768,41,0.05100,33,-0.2842,26,-0.6278,26,-0.6267,63,0.74722,55,0.51185,63,0.73404,43,0.14429
ENSG00000097021,ACOT7,50,-2.4576,138,-0.9578,166,-0.6754,170,-0.6423,184,-0.5192,137,-0.9613,194,-0.4403,368,0.57376,381,0.63131,248,-0.0589,526,1.36619
ENSG00000171680,PLEKHG5,2,-3.3380,32,0.67510,17,-0.3403,40,1.02425,10,-1.1544,18,-0.1887,1,-3.9669,11,-0.9401,26,0.36047,40,1.03027,27,0.46258
ENSG00000162408,NOL9,24,0.18669,20,-0.1394,13,-0.7944,9,-1.2834,24,0.16828,32,0.59702,25,0.22987,30,0.51553,13,-0.8018,25,0.19674,23,0.08825
ENSG00000162413,KLHL21,30,0.26201,22,-0.2347,18,-0.5314,39,0.69682,24,-0.0713,10,-1.4332,28,0.17243,15,-0.8157,23,-0.1124,29,0.23298,32,0.44535
ENSG00000041988,THAP3,11,-0.5844,20,0.29441,18,0.13482,15,-0.1407,14,-0.2457,9,-0.9732,6,-1.4662,23,0.48205,25,0.63468,14,-0.2615,22,0.50795
ENSG00000007923,DNAJC11,26,-0.2373,32,0.08211,22,-0.4771,50,0.79845,42,0.51128,36,0.29877,14,-1.1433,30,-0.0293,19,-0.6799,22,-0.4882,35,0.24512
ENSG00000171735,CAMTA1,241,-0.7443,289,-0.4687,329,-0.2666,366,-0.1031,766,1.10321,687,0.91692,350,-0.1700,400,0.03650,307,-0.3738,279,-0.5182,336,-0.2565
ENSG00000049245,VAMP3,62,2.08503,29,0.75456,7,-1.3149,15,-0.2446,14,-0.4269,2,-2.8649,45,1.48646,5,-1.9620,9,-1.0357,15,-0.3275,7,-1.3952
ENSG00000049246,PER3,52,1.12716,48,0.97666,21,-0.3180,30,0.21719,30,0.24306,38,0.59970,15,-0.8282,12,-1.1801,16,-0.7033,27,0.05094,11,-1.3113
ENSG00000116288,PARK7,212,-0.6834,427,0.40951,326,-0.0199,202,-0.7583,375,0.20003,125,-1.4712,394,0.27841,250,-0.4341,587,0.93639,343,0.05930,361,0.15398
ENSG00000116285,ERRFI1,12,-1.1352,22,-0.2204,17,-0.5489,26,0.08952,21,-0.2634,27,0.11737,7,-1.8318,42,0.81444,36,0.56100,27,0.10019,32,0.42106
ENSG00000162426,SLC45A1,4,-2.9409,14,-1.2992,29,-0.2123,23,-0.5834,22,-0.6422,23,-0.5375,24,-0.4831,68,1.15895,63,1.03077,33,-0.0187,48,0.65852
ENSG00000142599,RERE,162,0.41526,150,0.29319,120,-0.0583,148,0.27469,145,0.23952,231,1.00134,94,-0.4407,94,-0.4353,68,-0.9228,133,0.10121,75,-0.8320
ENSG00000074800,ENO1,472,-0.1258,906,0.92792,175,-1.6258,504,-0.0241,451,-0.1963,233,-1.2036,396,-0.3985,429,-0.2757,578,0.19290,443,-0.2251,776,0.75858
ENSG00000171612,SLC25A33,37,0.28921,111,2.19993,17,-0.9375,20,-0.6481,26,-0.2591,19,-0.7225,16,-0.9876,28,-0.1380,32,0.04623,15,-1.1188,25,-0.3419
ENSG00000171603,CLSTN1,240,-1.6416,424,-0.7856,518,-0.4800,736,0.06514,598,-0.2600,629,-0.1805,831,0.25889,772,0.14117,658,-0.1107,969,0.50542,1049,0.71816
ENSG00000178585,CTNNBIP1,48,0.75682,44,0.61774,30,-0.0145,15,-1.0092,37,0.33831,20,-0.6306,41,0.48424,30,-0.0080,41,0.48434,8,-1.8983,23,-0.4497
ENSG00000162441,LZIC,88,0.84675,48,-0.1088,47,-0.1593,36,-0.5396,92,0.93104,65,0.35305,65,0.35225,39,-0.4470,30,-0.8226,52,0.00241,30,-0.8969
ENSG00000130939,UBE4B,31,-0.4131,33,-0.3160,29,-0.5224,49,0.27053,43,0.08132,27,-0.6088,39,-0.0663,47,0.22951,55,0.47724,32,-0.3567,52,0.41792
ENSG00000054523,KIF1B,435,0.34932,247,-0.5324,341,-0.0371,347,-0.0074,440,0.36965,537,0.69568,466,0.46195,383,0.14966,204,-0.8267,305,-0.2095,240,-0.6255
ENSG00000142657,PGD,22,-1.4291,42,-0.4590,30,-0.9580,59,0.06853,58,0.02742,22,-1.4119,61,0.12025,119,1.22008,93,0.80021,49,-0.2366,62,0.16097
ENSG00000241563,CORT,19,-1.6257,70,0.29842,22,-1.4785,16,-1.9087,277,2.86135,11,-2.5068,72,0.33781,12,-2.3233,66,0.21407,37,-0.6845,46,-0.3925
ENSG00000160049,DFFA,75,0.90522,62,0.60109,33,-0.4140,29,-0.5791,38,-0.1583,54,0.36822,42,-0.0327,46,0.11990,36,-0.2462,49,0.22676,24,-0.9656
ENSG00000142655,PEX14,7,-1.4979,14,-0.5797,14,-0.5673,30,0.62479,12,-0.8383,11,-0.8647,35,0.86068,12,-0.8292,24,0.27503,18,-0.1876,33,0.89728
ENSG00000120948,TARDBP,62,-0.3847,68,-0.2343,57,-0.5187,115,0.59443,80,0.01091,82,0.04790,82,0.04667,77,-0.0514,42,-0.9624,97,0.31636,95,0.32411
ENSG00000116649,SRM,37,-0.7759,87,0.54990,44,-0.5263,53,-0.2434,55,-0.1791,29,-1.1221,77,0.34912,69,0.17395,63,0.04509,85,0.50520,70,0.23176
ENSG00000171824,EXOSC10,23,-0.4660,18,-0.8062,6,-2.4929,97,1.90990,32,0.03054,44,0.52894,15,-1.0971,20,-0.7081,28,-0.1680,44,0.52358,25,-0.3767
ENSG00000198793,MTOR,34,-0.5107,28,-0.7893,36,-0.4318,49,0.04860,37,-0.3798,29,-0.7720,22,-1.1672,72,0.65710,80,0.82541,62,0.42525,61,0.43897
ENSG00000116661,FBXO2,204,0.11755,346,0.98360,191,0.01224,144,-0.4176,72,-1.4563,90,-1.1267,62,-1.6875,182,-0.0603,228,0.30019,223,0.26439,263,0.58975
ENSG00000132879,FBXO44,45,-1.0295,82,-0.1101,55,-0.7011,108,0.33529,25,-1.8547,74,-0.2661,51,-0.8367,79,-0.1640,100,0.21544,137,0.72561,147,0.95502
ENSG00000177000,MTHFR,11,-0.5989,10,-0.6426,9,-0.8596,39,1.48021,9,-0.8457,30,1.04070,8,-0.9578,9,-0.7830,11,-0.5890,29,0.98790,12,-0.4464
ENSG00000011021,CLCN6,41,-0.6397,68,0.13211,58,-0.1235,79,0.37419,68,0.12919,61,-0.0424,46,-0.4593,54,-0.2190,42,-0.5982,51,-0.3174,91,0.66832
ENSG00000116685,KIAA2013,40,0.38563,21,-0.5819,17,-0.8797,30,-0.0599,19,-0.7950,25,-0.3331,55,0.90067,28,-0.1831,34,0.10672,49,0.70823,29,-0.1303
ENSG00000083444,PLOD1,30,0.65392,26,0.45261,9,-1.1217,30,0.67887,13,-0.6555,20,-0.0028,9,-1.2449,14,-0.5649,22,0.15169,23,0.20953,21,0.11112
ENSG00000116688,MFN2,69,-0.6567,87,-0.2878,89,-0.2658,95,-0.1606,93,-0.1858,107,0.03210,85,-0.3267,144,0.49343,136,0.40366,124,0.26322,117,0.18114
ENSG00000048707,VPS13D,50,-0.6032,37,-1.0742,67,-0.1481,108,0.59564,89,0.28526,82,0.16464,94,0.37194,74,-0.0046,76,0.02993,77,0.05799,68,-0.1402
ENSG00000162496,DHRS3,32,1.15469,32,1.14434,9,-0.7648,20,0.41875,0,-4.2618,12,-0.4328,3,-2.4841,32,1.16780,10,-0.5987,12,-0.3829,12,-0.4205
ENSG00000116731,PRDM2,154,-0.6906,114,-1.1490,273,0.19482,182,-0.4331,334,0.52151,574,1.44334,250,0.05883,261,0.12652,96,-1.4000,275,0.20451,190,-0.4026
ENSG00000189337,KAZN,69,0.00803,45,-0.6391,77,0.18125,77,0.17483,133,1.07087,88,0.39368,47,-0.5794,92,0.46263,53,-0.4051,26,-1.4439,59,-0.2698
ENSG00000142634,EFHD2,69,-0.5904,20,-2.4247,72,-0.5259,129,0.37635,66,-0.6694,57,-0.8891,517,2.99972,81,-0.3603,60,-0.8004,13,-2.9991,69,-0.6560
ENSG00000116138,DNAJC16,13,-1.3765,19,-0.8443,37,0.19541,27,-0.3256,30,-0.1386,26,-0.3436,28,-0.2630,54,0.78045,38,0.20963,33,-0.0042,45,0.57224
ENSG00000197312,DDI2,21,-1.0040,15,-1.5227,49,0.25909,46,0.16731,57,0.49927,74,0.93528,36,-0.2147,29,-0.5618,28,-0.6236,41,-0.0312,51,0.36821
ENSG00000116786,PLEKHM2,127,0.24525,153,0.55013,211,1.08216,63,-0.8276,100,-0.1244,130,0.28589,85,-0.3853,70,-0.6699,127,0.25167,84,-0.3922,76,-0.5967
ENSG00000065526,SPEN,229,0.57519,96,-0.7790,143,-0.1680,140,-0.2078,257,0.76883,435,1.68820,112,-0.5514,148,-0.1173,42,-2.0205,118,-0.4626,98,-0.8108
ENSG00000116809,ZBTB17,18,-0.0684,18,-0.1228,26,0.44975,32,0.77457,19,0.00919,9,-1.1470,8,-1.3259,13,-0.5735,21,0.15734,33,0.84134,17,-0.1784
ENSG00000037637,FBXO42,16,-0.4087,15,-0.5321,13,-0.7309,29,0.49401,14,-0.6476,22,0.03824,6,-1.8347,16,-0.3910,34,0.74402,26,0.32527,32,0.71401
ENSG00000055070,SZRD1,37,0.98230,55,1.70065,25,0.32949,25,0.38700,8,-1.2580,19,-0.0288,13,-0.6224,10,-1.0420,15,-0.4652,10,-1.0047,10,-1.0287
ENSG00000159363,ATP13A2,46,-1.5061,79,-0.7004,119,-0.0702,103,-0.2957,80,-0.6855,101,-0.3319,86,-0.5697,244,1.09718,198,0.74493,98,-0.3834,171,0.56740
ENSG00000117118,SDHB,39,-0.9401,72,-0.0290,62,-0.2508,39,-0.9611,76,0.06321,32,-1.2595,54,-0.4746,92,0.37016,136,1.01225,60,-0.3057,107,0.69069
ENSG00000117115,PADI2,163,3.23081,74,1.55831,4,-2.9389,34,0.22824,9,-1.6796,8,-1.8684,29,0.00241,7,-2.1733,5,-2.5856,8,-1.9288,4,-2.8473
ENSG00000179051,RCC2,32,0.67181,17,-0.2756,19,-0.1303,15,-0.5401,9,-1.2329,20,-0.0686,6,-1.7403,33,0.70727,22,0.10220,21,-0.0179,28,0.53007
ENSG00000117154,IGSF21,32,-1.2525,50,-0.5990,42,-0.8648,82,0.17213,19,-2.0041,37,-1.0496,132,0.94610,54,-0.4620,63,-0.2311,137,1.01514,117,0.84192
ENSG00000159423,ALDH4A1,35,1.26570,78,2.88772,9,-0.8299,11,-0.6045,5,-1.7415,4,-1.9215,6,-1.4328,11,-0.4922,13,-0.3328,8,-1.0656,5,-1.6167
ENSG00000127481,UBR4,30,-0.2524,18,-1.0260,18,-1.0446,51,0.55729,36,-0.0026,108,1.86623,15,-1.2744,36,-0.0008,25,-0.5247,21,-0.7812,35,-0.0188
ENSG00000127463,EMC1,19,-0.8819,24,-0.5293,23,-0.6205,86,1.53814,25,-0.4752,23,-0.6199,24,-0.5146,26,-0.3990,30,-0.2105,32,-0.0965,49,0.62933
ENSG00000053372,MRTO4,23,-0.7769,52,0.45177,32,-0.2781,48,0.34038,38,-0.0165,42,0.11725,24,-0.7275,35,-0.1496,35,-0.1427,42,0.13310,47,0.31582
ENSG00000053371,AKR7A2,55,1.02429,53,0.98829,12,-1.3390,30,0.06042,19,-0.6388,8,-1.9625,22,-0.3912,27,-0.1087,16,-0.9314,26,-0.1792,40,0.57487
ENSG00000077549,CAPZB,94,-1.0769,182,-0.0611,118,-0.7211,161,-0.2491,155,-0.3131,134,-0.5307,201,0.09505,279,0.62107,275,0.59964,231,0.31938,220,0.26445
ENSG00000173436,MICOS10,423,0.36356,396,0.25774,559,0.82086,216,-0.6827,317,-0.0930,134,-1.4005,416,0.33727,193,-0.8512,538,0.75845,240,-0.5246,302,-0.1835
ENSG00000158747,NBL1,122,-0.3085,143,-0.0614,160,0.10953,192,0.40375,71,-1.1269,104,-0.5530,187,0.35851,156,0.07320,149,-0.0025,155,0.05857,175,0.27758
ENSG00000169914,OTUD3,7,-1.4197,13,-0.5212,21,0.17451,28,0.67265,32,0.86318,27,0.58025,15,-0.3325,29,0.70325,17,-0.1252,9,-1.1118,12,-0.6532
ENSG00000162545,CAMK2N1,2053,0.45453,3476,1.34420,2173,0.54727,682,-1.2501,1043,-0.6085,1651,0.10525,648,-1.3268,453,-1.8569,1143,-0.4670,3273,1.23819,968,-0.7769
ENSG00000090432,MUL1,5,-1.8688,25,0.35915,22,0.16075,17,-0.2251,17,-0.1865,19,-0.0341,13,-0.5793,26,0.47035,20,0.06139,24,0.34331,23,0.24956
ENSG00000183114,FAM43B,11,-1.0075,17,-0.3160,5,-2.1387,46,1.22789,13,-0.7415,12,-0.9018,74,2.09840,17,-0.3234,30,0.49737,7,-1.5504,13,-0.7980
ENSG00000158828,PINK1,325,-0.5918,375,-0.3720,655,0.51157,228,-1.1247,350,-0.4787,256,-0.9506,514,0.12127,723,0.67259,666,0.53682,433,-0.1487,593,0.39046
ENSG00000244038,DDOST,9,-1.7344,22,-0.4165,16,-0.9482,27,-0.1089,29,-0.0110,21,-0.4865,17,-0.8165,33,0.15988,31,0.10515,38,0.41930,54,1.13009
ENSG00000117245,KIF17,7,-2.0018,8,-1.7938,17,-0.6952,12,-1.1673,50,1.00696,18,-0.6334,50,1.01200,32,0.28833,25,-0.0857,20,-0.4169,41,0.75875
ENSG00000189410,SH2D5,16,-1.0841,40,0.32728,23,-0.5309,20,-0.7683,22,-0.5975,26,-0.3538,3,-3.3216,40,0.31477,35,0.10711,78,1.42509,45,0.55871
ENSG00000127483,HP1BP3,334,0.64008,189,-0.2601,185,-0.2938,170,-0.4239,311,0.52610,451,1.14821,207,-0.1217,220,-0.0286,90,-1.3858,237,0.08937,146,-0.7143
ENSG00000075151,EIF4G3,140,-1.3310,158,-1.1509,263,-0.3794,259,-0.4030,559,0.82503,602,0.94809,196,-0.8305,613,0.97836,230,-0.5867,294,-0.2054,358,0.10986
ENSG00000117298,ECE1,36,1.15623,40,1.35072,6,-1.5614,47,1.62123,4,-2.0130,16,-0.1726,13,-0.4160,7,-1.4186,7,-1.3102,10,-0.8624,12,-0.5724
ENSG00000076864,RAP1GAP,41,-1.7650,67,-1.0508,123,-0.1221,222,0.83115,123,-0.1226,68,-1.0133,203,0.68360,116,-0.2071,116,-0.2094,145,0.14466,184,0.58535
ENSG00000090686,USP48,79,-0.0621,37,-1.2102,43,-0.9963,156,1.03541,85,0.05068,130,0.73413,82,-0.0067,111,0.47063,67,-0.3204,62,-0.4280,68,-0.3208
ENSG00000070831,CDC42,111,-0.7133,115,-0.6566,107,-0.7703,162,-0.1371,174,-0.0247,132,-0.4459,182,0.04915,211,0.28242,266,0.65501,149,-0.2700,255,0.66324
ENSG00000133216,EPHB2,15,0.07740,13,-0.0981,6,-1.1527,6,-1.3430,5,-1.4145,23,0.75737,17,0.26787,5,-1.6199,10,-0.5413,40,1.71001,15,0.12169
ENSG00000004487,KDM1A,33,-1.2937,63,-0.3086,51,-0.6286,108,0.53089,52,-0.6051,83,0.12395,57,-0.4630,101,0.42973,77,-0.0042,101,0.43204,99,0.44827
ENSG00000169641,LUZP1,80,-1.4460,80,-1.4451,279,0.47609,116,-0.8910,342,0.81290,400,1.07696,120,-0.8360,490,1.43542,163,-0.3687,131,-0.7049,141,-0.6452
ENSG00000125944,HNRNPR,108,-0.2997,93,-0.5199,84,-0.6767,141,0.12465,177,0.48220,162,0.34096,174,0.45465,101,-0.3907,84,-0.6733,210,0.76810,116,-0.2026
ENSG00000142676,RPL11,863,1.41456,485,0.43651,403,0.13949,271,-0.4764,321,-0.2161,197,-0.9630,579,0.72738,163,-1.2491,371,0.01045,320,-0.2200,225,-0.8171
ENSG00000011007,ELOA,34,0.41382,35,0.45546,23,-0.1979,21,-0.2875,33,0.38331,35,0.49262,22,-0.2484,26,-0.0105,14,-0.8939,23,-0.2116,23,-0.2300
ENSG00000057757,PITHD1,73,-1.0790,122,-0.2945,156,0.08967,119,-0.3306,143,-0.0484,75,-1.0261,159,0.12422,180,0.32149,268,0.97371,114,-0.3978,179,0.34335
ENSG00000011009,LYPLA2,15,-0.7056,32,0.49462,17,-0.5121,35,0.61804,11,-1.1252,15,-0.6211,25,0.08182,29,0.36184,13,-0.8676,35,0.64040,27,0.24431
ENSG00000117308,GALE,0,-4.4046,14,-0.2672,15,-0.1364,22,0.45124,22,0.46360,3,-2.1875,9,-0.8565,11,-0.5641,16,-0.0150,16,-0.0205,34,1.34608
ENSG00000189266,PNRC2,69,0.17585,49,-0.3769,44,-0.5319,65,0.06859,63,0.01489,61,-0.0262,74,0.28517,33,-0.9585,41,-0.6436,96,0.69720,75,0.33363
ENSG00000188529,SRSF10,70,0.06217,55,-0.3104,33,-1.0740,136,1.14796,70,0.04773,98,0.59408,28,-1.3507,54,-0.3557,49,-0.4830,53,-0.3855,82,0.34437
ENSG00000001461,NIPAL3,166,0.38872,43,-1.6640,72,-0.8991,172,0.44825,109,-0.2754,128,-0.0208,309,1.44164,179,0.50883,69,-0.9562,84,-0.6674,113,-0.2337
ENSG00000133226,SRRM1,409,1.04466,79,-1.5163,157,-0.4923,318,0.62102,312,0.59191,493,1.36955,177,-0.3083,169,-0.3772,75,-1.5927,174,-0.3371,112,-1.0697
ENSG00000169504,CLIC4,122,3.49358,17,-0.1928,3,-2.8051,20,0.04032,4,-2.4275,2,-3.3147,58,1.79615,0,-5.7709,8,-1.2814,0,-4.5817,1,-3.7204
ENSG00000117614,SYF2,170,0.48515,165,0.44095,115,-0.1359,79,-0.7169,222,0.92778,193,0.68972,87,-0.5573,115,-0.1354,71,-0.8635,138,0.14573,75,-0.8555
ENSG00000117616,RSRP1,57,-0.3964,15,-2.3550,9,-3.0958,385,3.08659,13,-2.5686,67,-0.1398,39,-0.9776,41,-0.8889,46,-0.7115,49,-0.6202,80,0.14405
ENSG00000183726,TMEM50A,75,0.23763,60,-0.1064,40,-0.7218,69,0.10370,40,-0.7398,46,-0.5095,72,0.17668,55,-0.2622,37,-0.8583,131,1.14951,75,0.26008
