Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000158109,TPRG1L,108,-0.8463,45,-2.1275,130,-0.5669,139,-0.4670,248,0.49710,278,0.81862,201,0.10837,189,0.01802,108,-0.8491
ENSG00000130764,LRRC47,108,0.48054,25,-1.7691,65,-0.3073,61,-0.4032,71,-0.1931,130,1.03479,20,-2.0356,74,-0.1201,72,-0.1624
ENSG00000116198,CEP104,108,1.26233,100,1.13271,71,0.56622,40,-0.3423,28,-0.9595,27,-1.1102,67,0.45539,14,-1.8663,64,0.39902
ENSG00000196581,AJAP1,108,0.89904,19,-1.7287,114,0.99352,33,-0.9774,61,-0.0213,55,-0.2061,18,-1.8376,55,-0.1714,106,0.87222
ENSG00000069424,KCNAB2,108,-0.7519,15,-3.5978,91,-1.0016,193,0.14288,288,0.90366,234,0.57930,78,-1.2435,219,0.35011,129,-0.4818
ENSG00000116254,CHD5,108,-1.3893,43,-2.7408,305,0.19693,190,-0.5419,335,0.38948,264,-0.0319,158,-0.8190,455,0.84927,506,1.03136
ENSG00000116251,RPL22,108,-2.2304,892,1.02896,275,-0.8427,598,0.36493,665,0.60498,361,-0.5059,812,0.86845,191,-1.3906,412,-0.2229
ENSG00000116237,ICMT,108,1.54040,20,-1.1573,23,-0.9344,29,-0.5976,38,-0.1825,61,0.74269,7,-2.5404,33,-0.3779,31,-0.4853
ENSG00000097021,ACOT7,108,-0.9115,60,-1.7750,179,-0.1359,52,-1.9855,173,-0.2133,300,0.89603,259,0.45086,299,0.68058,144,-0.4720
ENSG00000162408,NOL9,108,1.58950,18,-1.2846,60,0.58679,38,-0.1212,28,-0.6358,30,-0.6163,24,-0.8384,61,0.61458,44,0.09926
ENSG00000162413,KLHL21,108,1.96951,37,0.14696,20,-0.7758,32,-0.1051,22,-0.7237,43,0.48698,0,-5.6571,16,-1.1609,20,-0.7782
ENSG00000007923,DNAJC11,108,1.65952,24,-0.7966,61,0.68260,45,0.17295,30,-0.4928,34,-0.2967,0,-6.6439,32,-0.3539,49,0.31593
ENSG00000171735,CAMTA1,108,-2.3035,203,-1.3740,526,0.08263,312,-0.7249,345,-0.6170,473,-0.1041,1293,1.59668,681,0.49537,760,0.67520
ENSG00000049246,PER3,108,1.01192,83,0.57872,89,0.69386,83,0.57952,35,-0.8316,46,-0.4024,35,-0.7522,9,-2.8015,77,0.46101
ENSG00000116288,PARK7,108,-1.2326,220,-0.1522,175,-0.5071,312,0.40275,315,0.46834,311,0.50110,323,0.46113,102,-1.3129,104,-1.2867
ENSG00000142599,RERE,108,-0.3635,106,-0.3964,184,0.48027,123,-0.1669,127,-0.1265,134,-0.0372,85,-0.7302,143,0.07920,233,0.86830
ENSG00000074800,ENO1,108,-1.8734,384,0.04632,270,-0.5018,846,1.35742,327,-0.2241,515,0.65994,164,-1.2569,298,-0.3477,207,-0.9073
ENSG00000171612,SLC25A33,108,1.80775,22,-0.7808,12,-1.6868,114,1.90808,21,-0.8841,30,-0.4001,14,-1.4643,17,-1.2032,25,-0.5845
ENSG00000171603,CLSTN1,2604,1.84151,218,-2.1139,513,-0.8363,389,-1.2524,601,-0.6426,1184,0.59791,642,-0.4951,784,-0.1853,688,-0.3876
ENSG00000178585,CTNNBIP1,108,1.74140,47,0.31086,17,-1.2231,40,0.07161,35,-0.1692,34,-0.2311,47,0.32455,23,-0.7563,7,-2.5377
ENSG00000162441,LZIC,108,0.81311,106,0.78521,44,-0.6111,72,0.15990,35,-1.0304,38,-0.9468,98,0.64790,54,-0.2868,116,0.93192
ENSG00000130939,UBE4B,108,1.09934,30,-0.9110,104,1.03983,11,-2.3983,39,-0.5796,52,-0.1033,40,-0.4797,76,0.52240,56,0.02916
ENSG00000054523,KIF1B,108,-2.3232,725,0.57669,538,0.09703,343,-0.6016,389,-0.4451,481,-0.0978,529,0.06926,821,0.78121,789,0.71477
ENSG00000142657,PGD,108,1.10777,32,-0.7953,60,0.13800,53,-0.0478,35,-0.7254,65,0.33260,66,0.29362,50,-0.1427,22,-1.3371
ENSG00000241563,CORT,108,1.39767,8,-2.5025,37,-0.3422,42,-0.1425,18,-1.4684,96,1.67550,0,-6.2293,2,-4.5379,33,-0.5159
ENSG00000160049,DFFA,108,0.93002,98,0.76146,42,-0.5765,84,0.51017,36,-0.8485,36,-0.9142,63,0.06299,53,-0.2038,100,0.79932
ENSG00000120948,TARDBP,108,0.33261,97,0.15933,84,-0.0568,86,-0.0186,76,-0.2292,96,0.18641,102,0.24708,66,-0.4434,65,-0.4701
ENSG00000116649,SRM,108,1.19510,35,-0.5988,58,0.16811,69,0.44463,57,0.16073,67,0.52343,1,-5.7072,22,-1.3205,15,-1.8375
ENSG00000171824,EXOSC10,108,1.70991,40,0.03009,104,1.63380,33,-0.2630,31,-0.3566,22,-0.9963,2,-4.1503,16,-1.3577,36,-0.1086
ENSG00000198793,MTOR,108,1.36742,41,-0.2268,62,0.42708,47,0.00669,50,0.09612,35,-0.5538,32,-0.5877,21,-1.2214,51,0.11417
ENSG00000116661,FBXO2,108,-0.5367,73,-1.1249,57,-1.4939,421,1.71183,193,0.40988,178,0.29888,78,-1.0311,103,-0.6051,74,-1.1049
ENSG00000132879,FBXO44,108,0.57985,20,-1.9874,77,0.03560,75,0.00223,91,0.32899,109,0.77278,34,-1.2122,43,-0.8580,36,-1.1213
ENSG00000011021,CLCN6,108,0.42446,24,-1.8795,75,-0.1407,41,-1.0519,56,-0.6501,126,0.87368,106,0.39882,99,0.28121,50,-0.7814
ENSG00000116685,KIAA2013,108,1.78022,61,0.79146,36,-0.0523,46,0.31867,30,-0.3877,41,0.15030,0,-6.5882,13,-1.5995,4,-3.0375
ENSG00000116688,MFN2,108,-0.3764,80,-0.8351,124,-0.1664,78,-0.8621,128,-0.1246,162,0.32712,232,0.84317,149,0.12633,137,-0.0038
ENSG00000048707,VPS13D,108,0.24670,82,-0.1893,144,0.71065,56,-0.7672,60,-0.7134,95,0.05292,74,-0.3509,106,0.21158,134,0.60067
ENSG00000116731,PRDM2,108,-1.3420,175,-0.6185,296,0.20053,92,-1.5726,215,-0.3257,208,-0.4178,441,0.85263,331,0.38067,629,1.46918
ENSG00000189337,KAZN,108,0.42856,134,0.78117,99,0.28593,69,-0.2775,41,-1.1194,70,-0.3095,81,-0.0295,70,-0.2528,136,0.80916
ENSG00000142634,EFHD2,108,0.09249,54,-0.9697,35,-1.6222,21,-2.3617,71,-0.6076,190,1.38991,90,-0.1876,131,0.40023,71,-0.5649
ENSG00000116138,DNAJC16,108,1.28454,50,0.00857,34,-0.5572,10,-2.3231,33,-0.6454,58,0.30024,18,-1.5239,47,-0.0807,86,0.89614
ENSG00000197312,DDI2,108,1.29345,33,-0.5968,86,0.90624,19,-1.4623,36,-0.5279,38,-0.4677,10,-2.3261,48,-0.0218,99,1.14665
ENSG00000116786,PLEKHM2,108,-0.1087,55,-1.1429,26,-2.2419,158,0.49783,177,0.76645,108,-0.1346,77,-0.6216,110,-0.0723,178,0.69059
ENSG00000065526,SPEN,108,-1.0107,320,0.68645,451,1.27063,89,-1.3003,104,-1.1402,83,-1.5894,258,0.33332,267,0.38919,556,1.64735
ENSG00000159363,ATP13A2,108,0.19332,39,-1.3720,39,-1.3738,59,-0.7457,95,-0.0039,149,0.93377,79,-0.2848,125,0.43404,60,-0.7157
ENSG00000117118,SDHB,108,0.93288,56,-0.1100,21,-1.5892,47,-0.3858,71,0.28553,73,0.37689,64,0.08602,42,-0.5564,26,-1.2942
ENSG00000117115,PADI2,108,0.91704,320,3.07028,17,-1.9253,144,1.41940,33,-1.0013,23,-1.6723,1,-5.1663,4,-3.8676,5,-3.6238
ENSG00000117154,IGSF21,108,1.06890,33,-0.8093,15,-1.9371,35,-0.7128,57,0.03906,85,0.86936,38,-0.5878,59,0.07198,14,-2.0434
ENSG00000127481,UBR4,108,0.91062,52,-0.2720,145,1.41689,45,-0.4669,16,-2.1187,22,-1.7309,46,-0.4541,89,0.59799,154,1.53519
ENSG00000127463,EMC1,108,1.47955,45,0.01259,47,0.08543,17,-1.4269,37,-0.3172,54,0.38304,29,-0.6356,21,-1.1336,30,-0.5965
ENSG00000053372,MRTO4,108,1.31963,13,-1.9830,19,-1.4343,41,-0.2641,64,0.50785,47,-0.0487,6,-2.9678,67,0.52318,57,0.24867
ENSG00000077549,CAPZB,108,-0.4242,110,-0.3930,154,0.13145,142,-0.0034,146,0.04390,179,0.46826,81,-0.8587,190,0.46569,89,-0.7211
ENSG00000173436,MICOS10,108,-1.2510,249,0.02727,85,-1.5975,307,0.35628,423,1.01076,272,0.20267,302,0.33269,123,-1.0575,105,-1.2858
ENSG00000158747,NBL1,108,-0.3719,23,-2.6470,194,0.55619,157,0.20937,164,0.31494,194,0.71741,35,-2.0297,183,0.45729,34,-2.0814
ENSG00000162545,CAMK2N1,108,-3.9740,964,-0.7534,951,-0.7746,3204,1.17142,3203,1.36374,1049,-0.7331,689,-1.2594,906,-0.8480,2473,0.73170
ENSG00000158828,PINK1,108,-1.9661,162,-1.3644,252,-0.6992,329,-0.2925,596,0.73784,533,0.60097,539,0.48907,394,-0.0135,187,-1.1501
ENSG00000189410,SH2D5,108,1.45295,0,-5.6459,41,-0.1374,18,-1.3842,62,0.57593,66,0.80097,16,-1.5496,10,-2.1633,22,-1.0574
ENSG00000127483,HP1BP3,108,-1.5865,494,0.76720,409,0.45611,192,-0.7262,210,-0.6359,261,-0.3054,432,0.54578,300,-0.0361,548,0.94105
ENSG00000075151,EIF4G3,108,-1.4916,255,-0.1930,351,0.31495,120,-1.3294,143,-1.1425,212,-0.5594,596,1.19336,662,1.37847,442,0.68731
ENSG00000076864,RAP1GAP,108,-0.3196,32,-2.1321,172,0.41790,63,-1.1256,128,-0.0617,249,1.40232,72,-0.9287,89,-0.6066,51,-1.4420
ENSG00000090686,USP48,108,0.17402,155,0.75768,222,1.37294,42,-1.2734,52,-1.0249,50,-1.1425,63,-0.6543,179,1.00340,136,0.55040
ENSG00000070831,CDC42,108,-0.7854,259,0.58208,192,0.10105,133,-0.4710,176,-0.0366,261,0.77298,71,-1.4123,195,0.12313,66,-1.5288
ENSG00000004487,KDM1A,108,0.82763,40,-0.7399,77,0.26770,48,-0.4688,33,-1.0849,73,0.24479,47,-0.4728,110,0.85174,60,-0.1148
ENSG00000169641,LUZP1,108,-1.0531,57,-2.0086,137,-0.6912,58,-1.9718,118,-0.9879,175,-0.3779,632,1.83552,467,1.28068,357,0.82069
ENSG00000125944,HNRNPR,108,-0.3187,194,0.61071,223,0.84346,119,-0.1645,92,-0.6106,132,-0.0016,109,-0.2975,90,-0.5940,165,0.34659
ENSG00000142676,RPL11,108,-2.0045,960,1.42570,140,-1.6211,675,0.81566,589,0.66606,322,-0.4352,449,0.15175,164,-1.3861,249,-0.7611
ENSG00000057757,PITHD1,108,-0.6634,110,-0.6414,60,-1.5440,89,-0.9612,169,0.02642,271,1.04938,161,-0.0489,148,-0.1785,166,-0.0023
ENSG00000189266,PNRC2,108,1.02833,75,0.42219,40,-0.5438,68,0.26308,61,0.09477,52,-0.1939,54,-0.0973,4,-3.9338,63,0.15747
ENSG00000188529,SRSF10,108,0.59634,109,0.61617,107,0.58348,57,-0.4209,44,-0.8663,83,0.20635,32,-1.2538,18,-2.1063,125,0.83283
ENSG00000001461,NIPAL3,108,-0.2937,314,1.46357,126,-0.0481,77,-0.8159,80,-0.7988,128,-0.0286,68,-0.9957,166,0.37871,160,0.31921
ENSG00000133226,SRRM1,1312,2.66216,287,-0.0643,518,0.89219,170,-0.8680,144,-1.1908,107,-1.7628,79,-1.9992,215,-0.5145,398,0.45621
ENSG00000169504,CLIC4,108,1.29883,287,3.37315,33,-0.6171,41,-0.2685,13,-2.1085,27,-1.0534,0,-6.4458,0,-8.3679,13,-2.0135
ENSG00000117614,SYF2,108,-0.1823,185,0.67937,171,0.54867,163,0.47376,106,-0.2325,94,-0.4618,32,-2.0007,82,-0.6048,219,0.96079
ENSG00000117616,RSRP1,108,0.51559,109,0.52399,348,2.69052,70,-0.1802,30,-1.5213,60,-0.4717,0,-7.6031,37,-1.1473,24,-1.7416
ENSG00000183726,TMEM50A,108,0.76505,90,0.47321,69,0.04194,48,-0.5145,61,-0.1716,71,0.11616,82,0.31169,46,-0.5704,27,-1.3936
ENSG00000204178,MACO1,108,0.46101,69,-0.2371,185,1.36923,35,-1.2765,28,-1.6956,61,-0.5079,68,-0.2640,107,0.44071,158,1.09443
ENSG00000117643,MAN1C1,108,1.29951,20,-1.3142,51,0.07106,30,-0.7636,65,0.50646,58,0.31972,2,-4.4664,48,-0.0252,25,-1.0263
ENSG00000162430,SELENON,108,2.00131,19,-0.8476,26,-0.3851,57,0.84464,40,0.31987,27,-0.3904,2,-4.1282,15,-1.2053,13,-1.3676
ENSG00000117640,MTFR1L,108,0.74994,33,-1.0858,78,0.22420,67,-0.0135,90,0.50615,70,0.06029,35,-0.9939,26,-1.4337,75,0.16267
ENSG00000117632,STMN1,108,-3.5601,1093,-0.1212,577,-1.0995,434,-1.5239,1212,0.04507,1876,0.98220,1627,0.51247,1327,0.18390,955,-0.3313
ENSG00000158008,EXTL1,108,1.47105,17,-1.4647,33,-0.4680,22,-1.0859,55,0.37165,60,0.60231,3,-3.6888,29,-0.6393,32,-0.5010
ENSG00000142684,ZNF593,108,1.64461,13,-1.6660,23,-0.8418,33,-0.3154,31,-0.4289,45,0.22869,30,-0.4349,61,0.64864,17,-1.2633
ENSG00000142669,SH3BGRL3,1383,3.45880,136,-0.8140,51,-2.2592,122,-0.9684,186,-0.3571,152,-0.7549,68,-1.8416,102,-1.2373,72,-1.7648
ENSG00000198830,HMGN2,1346,3.04713,365,0.53726,169,-0.6705,263,0.01438,157,-0.8419,129,-1.2416,73,-1.9261,58,-2.2600,158,-0.7772
ENSG00000117713,ARID1A,108,0.29489,111,0.33505,107,0.28127,92,0.04135,64,-0.5514,72,-0.3988,64,-0.5222,92,0.03571,156,0.90057
ENSG00000090273,NUDC,108,-1.0284,173,-0.3070,142,-0.6136,167,-0.3691,286,0.53937,248,0.31274,173,-0.3146,189,-0.1741,270,0.38867
ENSG00000253368,TRNP1,108,1.28009,1,-5.4186,15,-1.7756,29,-0.8058,57,0.23429,67,0.61567,61,0.32989,43,-0.2137,22,-1.2043
ENSG00000142784,WDTC1,108,1.80977,26,-0.5164,34,-0.1132,39,0.08528,40,0.13544,26,-0.6022,7,-2.5037,27,-0.4787,43,0.22239
ENSG00000186501,TMEM222,108,1.43799,35,-0.3789,27,-0.7897,39,-0.2141,53,0.27911,51,0.21903,7,-2.6872,36,-0.3362,32,-0.5494
ENSG00000158195,WASF2,108,0.98907,215,2.26396,15,-1.9932,101,0.86936,29,-1.1525,26,-1.4278,61,0.07350,4,-3.7560,65,0.15109
ENSG00000126705,AHDC1,108,0.94625,30,-1.0763,78,0.40733,52,-0.2191,59,-0.0215,64,0.11152,15,-2.0974,19,-1.7291,111,0.98741
ENSG00000126709,IFI6,1378,3.85874,106,-0.9862,94,-1.1699,124,-0.7504,60,-1.9188,128,-0.8215,17,-3.6634,165,-0.3065,30,-2.8154
ENSG00000117758,STX12,108,0.18307,128,0.45022,71,-0.4668,77,-0.3380,88,-0.1559,133,0.66851,32,-1.6415,122,0.37313,40,-1.3262
ENSG00000117751,PPP1R8,108,1.85517,42,0.25316,22,-0.7257,32,-0.1963,35,-0.0387,36,0.01467,7,-2.4696,9,-2.1155,33,-0.1127
ENSG00000117748,RPA2,108,1.58382,54,0.41688,7,-2.5408,31,-0.4495,36,-0.2324,56,0.58289,4,-3.5037,31,-0.4320,25,-0.7808
ENSG00000126698,DNAJC8,108,-1.1933,267,0.19590,192,-0.3185,169,-0.5139,258,0.15893,173,-0.5672,297,0.36429,314,0.45454,447,1.04485
ENSG00000130770,ATP5IF1,108,-1.8138,233,-0.6659,111,-1.7754,285,-0.3569,549,0.77927,489,0.63503,648,0.96572,135,-1.4875,213,-0.7992
ENSG00000198492,YTHDF2,108,0.21724,87,-0.1289,62,-0.6334,64,-0.5923,57,-0.8380,126,0.59458,127,0.47876,109,0.23749,80,-0.2558
ENSG00000116350,SRSF4,108,0.33818,121,0.51821,173,1.12368,90,0.04656,62,-0.5610,61,-0.6391,69,-0.3590,46,-0.9783,131,0.64659
ENSG00000162512,SDC3,108,0.23210,80,-0.2441,113,0.30199,180,1.07771,85,-0.1570,76,-0.3747,23,-2.1013,95,0.02548,121,0.41998
ENSG00000134644,PUM1,108,-0.8343,160,-0.2325,249,0.46791,123,-0.6341,138,-0.5022,169,-0.1768,185,-0.0103,349,1.02852,272,0.61163
ENSG00000121766,ZCCHC17,108,-0.4226,96,-0.5952,147,0.05286,68,-1.1199,197,0.59289,141,-0.0047,156,0.14701,168,0.26718,140,-0.0216
ENSG00000121769,FABP3,108,0.73049,18,-2.0257,29,-1.2957,19,-1.9403,51,-0.4792,113,1.07857,108,0.72609,56,-0.3138,42,-0.7654
ENSG00000162517,PEF1,108,0.81733,30,-1.1613,37,-0.8663,42,-0.6523,94,0.66664,75,0.29008,29,-1.2047,48,-0.4568,70,0.12325
ENSG00000084636,COL16A1,108,1.78784,73,1.09494,39,0.05598,44,0.27450,38,0.05281,30,-0.4012,4,-3.0409,4,-3.0606,8,-2.3086
ENSG00000121753,ADGRB2,108,-0.8823,44,-2.2030,141,-0.4722,174,-0.1524,257,0.52603,302,0.95591,49,-2.0429,229,0.28011,136,-0.5296
ENSG00000184007,PTP4A2,108,-1.4833,1046,2.26281,198,-0.5706,207,-0.5012,204,-0.5705,139,-1.2676,539,1.03233,230,-0.3427,284,-0.0111
ENSG00000121774,KHDRBS1,108,-0.4862,163,0.15669,123,-0.2844,160,0.12767,151,0.03993,169,0.26351,95,-0.6870,116,-0.3703,198,0.46881
ENSG00000025800,KPNA6,108,0.10553,86,-0.2485,123,0.31731,67,-0.6382,72,-0.5559,102,0.02634,175,0.89210,81,-0.3456,119,0.26647
ENSG00000084652,TXLNA,108,1.77635,55,0.61042,51,0.48066,25,-0.5947,21,-0.9626,29,-0.4822,19,-1.0189,26,-0.5840,39,0.03987
ENSG00000084623,EIF3I,108,0.31062,79,-0.1838,79,-0.1706,122,0.50467,68,-0.4508,125,0.69963,38,-1.2835,74,-0.2914,55,-0.7410
ENSG00000175130,MARCKSL1,108,-0.5788,809,3.04202,60,-1.4687,268,0.86409,72,-1.2643,65,-1.5208,163,0.05438,37,-2.1709,101,-0.6797
ENSG00000160058,BSDC1,108,0.61469,66,-0.1630,113,0.68263,67,-0.1423,63,-0.2568,68,-0.1521,60,-0.3051,81,0.15775,57,-0.3981
ENSG00000176261,ZBTB8OS,108,1.46655,22,-1.0433,25,-0.8849,35,-0.3552,74,0.92222,30,-0.7133,29,-0.6782,23,-1.0045,55,0.33386
ENSG00000162521,RBBP4,108,-0.1443,125,0.08764,202,0.86346,137,0.22736,100,-0.2900,103,-0.2561,39,-1.6784,156,0.43492,145,0.32033
ENSG00000134684,YARS,108,0.08180,55,-0.9378,50,-1.0897,52,-1.0235,88,-0.2661,162,0.96587,105,0.04353,137,0.46486,60,-0.8166
ENSG00000160097,FNDC5,108,1.65667,0,-8.2853,28,-0.5252,9,-2.1846,44,0.17444,48,0.33405,37,-0.1438,16,-1.3303,52,0.39818
ENSG00000121905,HPCA,108,-0.2673,36,-1.9191,39,-1.7829,63,-1.0821,208,0.88463,225,1.22083,50,-1.4412,59,-1.1820,95,-0.4706
ENSG00000121900,TMEM54,108,1.67237,19,-1.0856,1,-4.8295,44,0.16795,45,0.23422,40,-0.0040,63,0.73853,13,-1.6405,18,-1.1850
ENSG00000004455,AK2,108,1.74804,73,1.05079,54,0.54033,39,0.04924,9,-2.1776,37,-0.0513,3,-3.6502,48,0.37141,3,-3.7541
ENSG00000134686,PHC2,108,1.24415,68,0.46281,12,-2.1093,33,-0.6574,60,0.30556,56,0.18353,16,-1.7002,42,-0.2932,41,-0.3341
ENSG00000163866,SMIM12,108,0.83022,32,-1.0792,54,-0.2705,31,-1.1224,54,-0.3007,86,0.57350,93,0.57890,52,-0.3368,40,-0.7441
ENSG00000116544,DLGAP3,108,1.49506,0,-8.7089,18,-1.3086,75,0.85392,92,1.41395,31,-0.6423,1,-5.3501,17,-1.4438,32,-0.4827
ENSG00000116560,SFPQ,108,-1.3375,444,0.86834,519,1.13367,218,-0.2708,202,-0.4207,166,-0.8080,176,-0.6004,353,0.48992,396,0.67653
ENSG00000146463,ZMYM4,108,0.45567,74,-0.1508,73,-0.1718,52,-0.6734,60,-0.5006,56,-0.6840,166,1.17620,49,-0.7726,164,1.15370
ENSG00000142687,KIAA0319L,108,0.63158,33,-1.1768,114,0.72563,52,-0.5022,62,-0.2778,80,0.18394,27,-1.4870,108,0.63433,66,-0.1534
ENSG00000020129,NCDN,108,-1.9092,50,-3.0363,263,-0.5796,214,-0.8928,584,0.77344,683,1.27733,112,-1.8568,366,-0.0676,254,-0.6315
ENSG00000126067,PSMB2,108,0.31531,92,0.06921,79,-0.1665,69,-0.3865,87,-0.0378,132,0.82732,10,-3.2308,81,-0.1287,53,-0.7793
ENSG00000142686,C1orf216,108,0.26950,5,-4.0607,53,-0.8401,35,-1.4323,119,0.48226,122,0.60012,79,-0.2270,116,0.38686,90,-0.0149
ENSG00000092847,AGO1,108,1.10790,40,-0.4884,105,1.05494,46,-0.2589,51,-0.1289,40,-0.5638,36,-0.6393,36,-0.6284,63,0.23263
ENSG00000126070,AGO3,108,0.82133,118,0.96398,178,1.70352,54,-0.2938,17,-2.0985,38,-0.9580,35,-0.9419,61,-0.0838,76,0.26095
ENSG00000054116,TRAPPC3,108,1.61548,43,0.07061,25,-0.7791,34,-0.2837,48,0.28109,46,0.22999,23,-0.8527,23,-0.8663,1,-4.8297
ENSG00000116871,MAP7D1,108,-0.9708,258,0.37757,199,-0.0324,165,-0.3241,258,0.42480,246,0.38177,67,-1.6873,133,-0.6534,254,0.35514
ENSG00000054118,THRAP3,108,-0.9618,259,0.39362,300,0.63410,143,-0.5408,122,-0.8387,151,-0.5314,352,0.89663,202,-0.0026,365,0.96089
ENSG00000116898,MRPS15,108,1.37002,18,-1.4695,7,-2.7689,45,-0.0559,62,0.47992,48,0.02369,55,0.25946,37,-0.3610,27,-0.8212
ENSG00000163875,MEAF6,108,-0.1530,51,-1.2955,95,-0.3579,61,-1.0307,102,-0.2582,182,0.88421,127,0.10382,89,-0.4502,149,0.35753
ENSG00000197982,C1orf122,108,-0.4106,263,1.02061,24,-2.6329,221,0.72523,211,0.73633,149,0.10976,90,-0.6814,66,-1.1441,46,-1.6810
ENSG00000183431,SF3A3,108,0.83664,53,-0.3096,56,-0.2049,45,-0.5422,46,-0.5431,49,-0.4949,137,1.24636,50,-0.3848,82,0.37784
ENSG00000183520,UTP11,108,0.96340,48,-0.3323,65,0.14778,19,-1.7274,51,-0.2556,34,-0.9878,155,1.59779,71,0.27399,44,-0.4682
