Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000242485,MRPL20,125,-0.3970,194,0.30200,160,-0.0119,184,0.21737,131,-0.3281,150,-0.1097,153,-0.0849,128,-0.3609,196,0.35430
ENSG00000235098,ANKRD65,27,-0.4797,41,0.15774,49,0.46120,52,0.56272,50,0.50270,29,-0.3511,26,-0.5906,29,-0.3509,37,0.02993
ENSG00000179403,VWA1,184,3.47453,28,-0.1594,19,-0.7772,5,-2.5891,23,-0.5075,10,-1.7535,24,-0.4514,5,-2.5376,12,-1.5914
ENSG00000205090,TMEM240,2,-3.1750,20,-0.2646,25,0.09139,27,0.22305,9,-1.4502,28,0.28749,21,-0.2381,27,0.20422,40,0.98496
ENSG00000160075,SSU72,53,-1.3878,113,-0.2440,236,0.95111,121,-0.1458,161,0.31540,108,-0.3147,130,-0.0269,137,0.05887,132,0.00130
ENSG00000228594,FNDC10,12,-1.2640,43,0.64914,18,-0.6720,18,-0.6960,31,0.10857,40,0.54017,30,0.09419,30,0.07858,31,0.13126
ENSG00000272106,AL691432.2,29,0.80542,16,-0.0774,36,1.20460,7,-1.2573,8,-1.0784,21,0.31030,14,-0.2979,6,-1.6091,19,0.14137
ENSG00000197530,MIB2,22,-0.3726,31,0.17063,22,-0.3455,24,-0.2149,15,-0.9357,22,-0.3651,32,0.25278,23,-0.2821,41,0.71880
ENSG00000248333,CDK11B,86,0.94112,36,-0.4769,74,0.68832,34,-0.5567,45,-0.1090,50,0.03650,68,0.60807,24,-1.0407,24,-1.1294
ENSG00000189339,SLC35E2B,9,-1.2570,26,0.38411,33,0.77173,21,0.04062,14,-0.6077,16,-0.3987,18,-0.2130,17,-0.2576,26,0.46837
ENSG00000008128,CDK11A,51,1.47260,11,-0.9416,29,0.53041,14,-0.6076,21,-0.0106,28,0.44014,18,-0.2074,23,0.13553,8,-1.4474
ENSG00000215790,SLC35E2A,12,-0.4497,24,0.65364,37,1.38194,23,0.56794,1,-3.5644,25,0.74137,4,-2.1593,22,0.51070,12,-0.4938
ENSG00000008130,NADK,23,0.14100,30,0.53798,24,0.18278,23,0.09576,28,0.40394,31,0.59043,11,-1.1193,31,0.59229,12,-0.9387
ENSG00000078369,GNB1,264,-0.9915,620,0.34199,665,0.45706,683,0.49935,646,0.40985,371,-0.4711,435,-0.2445,414,-0.3000,489,-0.0428
ENSG00000187730,GABRD,23,-3.1531,99,-0.9882,115,-0.7625,182,-0.0543,34,-2.5628,169,-0.1772,201,0.11148,284,0.66274,384,1.39731
ENSG00000067606,PRKCZ,117,-0.7642,146,-0.4157,295,0.70318,275,0.58774,151,-0.3695,131,-0.5869,175,-0.1491,205,0.10929,216,0.21827
ENSG00000162585,FAAP20,26,-0.2035,65,1.30883,44,0.62226,27,-0.1220,14,-1.1556,24,-0.3268,23,-0.4444,13,-1.2632,34,0.23073
ENSG00000157933,SKI,44,0.50969,61,1.06197,70,1.29968,30,-0.1133,11,-1.6266,32,0.02413,12,-1.5076,23,-0.4753,28,-0.2523
ENSG00000157916,RER1,56,0.18630,55,0.15364,36,-0.5123,37,-0.4749,41,-0.3027,24,-1.1284,37,-0.5044,64,0.39399,82,0.91160
ENSG00000157911,PEX10,19,0.14082,46,1.62521,19,0.10245,14,-0.3458,11,-0.6343,3,-2.3054,8,-1.2662,7,-1.2802,28,0.88216
ENSG00000157870,PRXL2B,18,-1.3679,49,0.18448,56,0.38031,42,-0.0618,21,-1.0941,51,0.23600,34,-0.4572,62,0.55274,58,0.51256
ENSG00000158109,TPRG1L,49,-2.2319,137,-0.6971,282,0.43705,243,0.19404,236,0.14376,188,-0.2107,209,-0.0551,337,0.73195,239,0.18347
ENSG00000130764,LRRC47,44,-0.7832,63,-0.2487,61,-0.3032,49,-0.6362,66,-0.1792,79,0.10655,115,0.82739,86,0.23337,67,-0.1621
ENSG00000116198,CEP104,107,1.82068,34,-0.1294,13,-1.5370,26,-0.5585,46,0.36173,54,0.62977,21,-0.9320,38,0.04654,23,-0.8096
ENSG00000196581,AJAP1,19,-1.2416,15,-1.5406,52,0.32670,30,-0.5062,33,-0.3911,72,0.88315,32,-0.4579,37,-0.2106,71,0.97231
ENSG00000069424,KCNAB2,45,-2.1995,199,0.04687,350,0.98066,245,0.38323,72,-1.5099,199,0.04936,164,-0.2787,258,0.46758,213,0.17777
ENSG00000116254,CHD5,75,-1.9477,251,-0.1251,262,-0.0552,315,0.23782,331,0.31585,396,0.61257,328,0.34058,252,-0.1152,224,-0.3322
ENSG00000116251,RPL22,821,0.55836,795,0.50516,979,0.85341,783,0.48009,812,0.53999,286,-1.0938,431,-0.5130,334,-0.8592,362,-0.7992
ENSG00000116237,ICMT,26,-0.6082,34,-0.2132,49,0.36322,33,-0.2497,16,-1.3110,26,-0.5969,34,-0.2452,48,0.33570,64,0.92539
ENSG00000097021,ACOT7,54,-2.3543,113,-1.2623,163,-0.7100,227,-0.1936,132,-1.0266,267,0.06286,303,0.29618,485,1.05016,389,0.77498
ENSG00000171680,PLEKHG5,6,-1.8411,25,0.14234,18,-0.3725,37,0.80672,2,-3.4122,15,-0.6103,18,-0.3982,31,0.52676,39,1.02817
ENSG00000162408,NOL9,32,0.16840,28,-0.0385,29,0.03304,33,0.22550,44,0.68511,44,0.69134,25,-0.2331,34,0.26115,11,-1.5798
ENSG00000162413,KLHL21,6,-2.0803,33,0.36529,12,-1.1244,23,-0.1926,33,0.39646,20,-0.3645,25,-0.0450,32,0.32622,37,0.67182
ENSG00000041988,THAP3,36,1.07014,11,-0.8278,18,-0.0034,14,-0.4696,5,-1.8998,19,0.00811,15,-0.3564,17,-0.1259,27,0.70376
ENSG00000007923,DNAJC11,28,-0.3209,31,-0.1825,35,0.00950,22,-0.7257,76,1.28768,38,0.12163,29,-0.3229,41,0.26415,28,-0.4015
ENSG00000171735,CAMTA1,196,-1.2976,301,-0.6429,313,-0.5835,442,-0.0463,526,0.22973,725,0.75710,698,0.79632,350,-0.4111,381,-0.3106
ENSG00000049245,VAMP3,144,3.18850,27,-0.0214,28,0.03610,11,-1.4055,47,0.88948,12,-1.2760,5,-2.6139,7,-2.0531,7,-2.0922
ENSG00000049246,PER3,97,1.67494,55,0.67883,36,-0.0009,22,-0.7356,31,-0.2436,65,0.96597,20,-0.9741,9,-2.0851,21,-0.8983
ENSG00000116288,PARK7,215,-0.6432,391,0.29285,367,0.19232,305,-0.1016,326,0.00300,172,-0.9889,310,-0.0847,284,-0.2166,451,0.59542
ENSG00000116285,ERRFI1,19,-0.4455,11,-1.2756,7,-1.8241,22,-0.2098,31,0.34773,21,-0.2545,45,1.08885,25,0.00711,25,0.00534
ENSG00000162426,SLC45A1,8,-1.8978,13,-1.1851,24,-0.2317,25,-0.1412,36,0.40535,31,0.14719,18,-0.6896,55,1.11082,39,0.62141
ENSG00000142599,RERE,229,0.76577,177,0.33403,136,-0.0865,171,0.27894,89,-0.7445,165,0.22307,140,-0.0360,82,-0.8573,124,-0.2529
ENSG00000074800,ENO1,301,-0.6179,814,0.98498,409,-0.1404,171,-1.4738,528,0.26596,324,-0.5027,452,0.01827,460,0.04418,505,0.21659
ENSG00000171612,SLC25A33,21,-0.4679,90,2.00208,38,0.47837,19,-0.6057,24,-0.2588,5,-2.3888,21,-0.5361,9,-1.6896,32,0.20401
ENSG00000171603,CLSTN1,160,-2.2655,375,-1.0009,517,-0.5132,431,-0.7920,689,-0.0627,882,0.33195,869,0.34618,1102,0.69855,998,0.60715
ENSG00000178585,CTNNBIP1,36,0.24627,52,0.84073,33,0.11084,25,-0.3392,79,1.57350,23,-0.4553,21,-0.6575,30,-0.0594,10,-1.7254
ENSG00000162441,LZIC,120,1.14926,57,-0.0740,64,0.11255,61,0.02027,62,0.06696,51,-0.2553,76,0.42195,28,-1.1470,32,-1.0434
ENSG00000130939,UBE4B,41,0.18179,16,-1.2542,27,-0.4570,37,0.02528,64,0.90165,34,-0.1293,43,0.27760,46,0.36190,26,-0.5680
ENSG00000054523,KIF1B,624,0.59840,311,-0.5104,322,-0.4572,382,-0.1899,511,0.27339,539,0.36020,501,0.26873,405,-0.0984,323,-0.4947
ENSG00000142657,PGD,54,-0.4224,47,-0.6207,29,-1.3664,46,-0.6621,68,-0.0505,81,0.21609,103,0.69051,89,0.36503,79,0.19270
ENSG00000241563,CORT,24,-0.6686,50,0.47672,58,0.70090,22,-0.7751,2,-3.8052,17,-1.1893,46,0.39044,10,-1.9671,67,1.10887
ENSG00000160049,DFFA,79,0.69353,65,0.37318,71,0.51228,44,-0.2300,49,-0.0924,43,-0.2975,59,0.25194,37,-0.4990,30,-0.9001
ENSG00000142655,PEX14,15,-0.2437,14,-0.4456,14,-0.4457,15,-0.3027,18,-0.0274,7,-1.5017,17,-0.0938,23,0.38665,30,0.94003
ENSG00000120948,TARDBP,97,0.39351,55,-0.4972,54,-0.5187,59,-0.3939,100,0.43360,82,0.12748,55,-0.5642,57,-0.4610,111,0.70500
ENSG00000116649,SRM,29,-0.8131,83,0.83471,75,0.66137,39,-0.3519,21,-1.3230,61,0.33792,37,-0.5125,47,-0.0894,58,0.29509
ENSG00000171824,EXOSC10,50,1.09616,30,0.28776,9,-1.4860,16,-0.7042,13,-1.0412,42,0.81101,24,-0.1250,11,-1.2749,31,0.32894
ENSG00000198793,MTOR,14,-1.7262,45,-0.0039,48,0.07881,25,-0.9337,21,-1.1969,63,0.51358,51,0.19084,64,0.56103,59,0.48387
ENSG00000116661,FBXO2,71,-1.1966,402,1.61940,195,0.36945,116,-0.4489,84,-0.9478,45,-1.8708,106,-0.6506,155,-0.0033,213,0.58400
ENSG00000132879,FBXO44,36,-1.4569,59,-0.7378,120,0.37477,77,-0.3285,74,-0.3891,93,-0.0208,69,-0.5429,161,0.86364,142,0.75529
ENSG00000011021,CLCN6,39,-0.8280,61,-0.1521,40,-0.7854,61,-0.1505,103,0.70238,91,0.49455,53,-0.3831,85,0.38463,74,0.18908
ENSG00000116685,KIAA2013,44,0.78697,23,-0.2424,28,0.07273,18,-0.6050,23,-0.2659,12,-1.1875,16,-0.8616,34,0.37818,41,0.77297
ENSG00000083444,PLOD1,27,0.77264,19,0.22734,20,0.29314,6,-1.6073,3,-2.6198,13,-0.4434,15,-0.1930,19,0.16437,24,0.66331
ENSG00000116688,MFN2,88,-0.4871,80,-0.6442,94,-0.3885,130,0.11638,128,0.09701,143,0.27610,113,-0.1147,143,0.27313,147,0.35877
ENSG00000048707,VPS13D,36,-1.0653,49,-0.5944,44,-0.7732,77,0.11299,93,0.41095,124,0.88697,74,0.04171,81,0.19587,70,-0.0466
ENSG00000162496,DHRS3,46,1.75700,48,1.85714,19,0.26790,1,-3.2488,13,-0.3152,5,-1.7723,4,-2.0074,14,-0.2398,11,-0.5688
ENSG00000116731,PRDM2,169,-0.4823,159,-0.5688,237,0.05232,273,0.27903,265,0.22827,304,0.44985,269,0.28476,217,-0.0865,181,-0.4046
ENSG00000189337,KAZN,101,0.53299,57,-0.3918,33,-1.1914,82,0.19735,69,-0.0915,52,-0.5348,90,0.38872,58,-0.3492,84,0.25361
ENSG00000142634,EFHD2,65,-0.4500,39,-1.2380,19,-2.2720,70,-0.3349,291,2.11831,110,0.37717,112,0.46242,96,0.15487,21,-2.2343
ENSG00000116138,DNAJC16,29,-0.2953,27,-0.4094,28,-0.3247,35,0.02206,13,-1.4481,32,-0.1278,34,-0.0143,70,1.14436,40,0.24046
ENSG00000197312,DDI2,40,0.04978,13,-1.6980,27,-0.5786,49,0.35501,24,-0.7186,61,0.71979,47,0.32154,35,-0.1690,44,0.19174
ENSG00000116786,PLEKHM2,72,-0.6014,131,0.34835,152,0.58704,186,0.92705,134,0.37825,64,-0.7628,117,0.18158,66,-0.7154,61,-0.9140
ENSG00000065526,SPEN,288,1.23601,111,-0.3244,111,-0.3334,129,-0.0985,86,-0.7233,189,0.51445,175,0.44351,72,-0.9913,86,-0.7827
ENSG00000116809,ZBTB17,28,0.79054,15,-0.1734,25,0.59981,16,-0.1351,19,0.13775,20,0.28124,11,-0.6610,10,-0.8311,16,-0.0961
ENSG00000055070,SZRD1,33,0.38988,51,1.13869,26,0.05646,9,-1.5454,19,-0.4288,31,0.30940,30,0.27225,14,-0.9012,19,-0.5152
ENSG00000159363,ATP13A2,25,-2.2130,69,-0.6980,70,-0.6763,142,0.43220,75,-0.5694,105,-0.0558,149,0.57292,121,0.17221,145,0.52623
ENSG00000117118,SDHB,32,-1.3249,63,-0.2920,88,0.23406,85,0.18093,63,-0.2963,47,-0.7198,81,0.11695,94,0.35067,100,0.50086
ENSG00000117115,PADI2,355,3.49592,98,0.78841,45,-0.4652,12,-2.3619,44,-0.4986,31,-1.0030,21,-1.6923,13,-2.3371,12,-2.4679
ENSG00000179051,RCC2,21,-0.0917,25,0.20427,31,0.54589,14,-0.6615,5,-2.1531,12,-0.8784,17,-0.4161,50,1.37016,25,0.19067
ENSG00000117154,IGSF21,20,-1.5453,57,0.00657,71,0.36267,36,-0.6984,79,0.54843,92,0.79869,19,-1.7526,86,0.68460,71,0.40630
ENSG00000159423,ALDH4A1,14,-0.3743,47,1.63696,31,0.86299,9,-1.0601,29,0.74539,23,0.36395,9,-1.1195,14,-0.3477,6,-1.6009
ENSG00000127481,UBR4,38,0.02318,36,-0.0705,24,-0.6958,14,-1.4669,41,0.11645,59,0.72589,50,0.50753,38,0.02185,32,-0.2681
ENSG00000127463,EMC1,27,-0.2145,24,-0.3828,24,-0.4142,14,-1.2113,19,-0.7153,50,0.76018,22,-0.5621,48,0.69484,46,0.70435
ENSG00000053372,MRTO4,24,-0.6603,31,-0.2839,59,0.72591,46,0.32403,12,-1.7017,44,0.24756,26,-0.6214,42,0.19794,51,0.55674
ENSG00000053371,AKR7A2,45,0.70913,70,1.48448,40,0.51415,16,-0.8808,47,0.76537,8,-1.9046,14,-1.1635,22,-0.4291,21,-0.5261
ENSG00000077549,CAPZB,151,-0.1989,167,-0.0403,155,-0.1593,121,-0.5415,182,0.09410,130,-0.4317,133,-0.4394,201,0.25228,257,0.75009
ENSG00000173436,MICOS10,239,-0.4051,342,0.15786,449,0.60354,533,0.89134,389,0.36598,181,-0.8346,239,-0.4413,179,-0.8483,307,-0.0125
ENSG00000158747,NBL1,91,-0.5873,151,0.20806,186,0.55215,96,-0.5041,128,-0.0566,112,-0.2640,126,-0.0813,179,0.48266,131,-0.0222
ENSG00000169914,OTUD3,15,-0.4197,9,-1.2319,7,-1.4428,10,-0.9792,24,0.32804,45,1.37392,24,0.38799,25,0.39074,16,-0.3633
ENSG00000162545,CAMK2N1,840,-1.0969,2878,0.85185,4784,1.76833,2124,0.34721,847,-1.0845,957,-0.9005,1103,-0.7426,1118,-0.6624,1534,-0.1908
ENSG00000090432,MUL1,1,-4.0596,18,-0.2382,18,-0.1812,14,-0.6058,64,1.93963,29,0.52586,15,-0.5626,16,-0.4329,19,-0.1143
ENSG00000158828,PINK1,185,-1.4494,419,-0.2002,548,0.22627,509,0.10609,685,0.59015,350,-0.4796,535,0.20750,496,0.06640,487,0.03977
ENSG00000244038,DDOST,19,-0.5114,26,-0.0508,33,0.32619,16,-0.7768,30,0.19631,17,-0.7206,21,-0.4354,38,0.57597,37,0.57721
ENSG00000117245,KIF17,5,-2.5115,7,-2.0514,16,-0.9723,33,0.11307,22,-0.4641,34,0.19059,72,1.76388,29,-0.0894,21,-0.6101
ENSG00000189410,SH2D5,0,-5.6034,32,-0.4552,75,0.90866,45,0.08232,11,-2.0504,48,0.15608,32,-0.4995,62,0.57388,68,0.85670
ENSG00000127483,HP1BP3,398,0.37552,297,-0.0895,259,-0.3084,237,-0.4449,341,0.12545,386,0.32785,406,0.46080,275,-0.2138,230,-0.5391
ENSG00000075151,EIF4G3,239,-0.5195,162,-1.1125,174,-1.0039,308,-0.1244,224,-0.6169,430,0.40963,468,0.62733,513,0.70218,339,0.03174
ENSG00000076864,RAP1GAP,37,-1.8383,66,-0.9710,85,-0.5962,130,0.06782,192,0.69651,199,0.75896,128,0.04246,167,0.46846,120,-0.0634
ENSG00000090686,USP48,146,0.89414,43,-1.0239,34,-1.3663,77,-0.1487,120,0.57623,122,0.59708,87,0.06497,99,0.25943,55,-0.7091
ENSG00000070831,CDC42,178,-0.0644,113,-0.7683,116,-0.7300,122,-0.6516,273,0.62364,162,-0.2181,216,0.26968,213,0.21579,217,0.28047
ENSG00000004487,KDM1A,41,-0.9737,38,-1.0642,62,-0.3265,52,-0.6071,83,0.11828,91,0.27156,90,0.29039,111,0.59612,93,0.34239
ENSG00000169641,LUZP1,59,-2.0287,115,-1.0421,138,-0.7641,271,0.29241,191,-0.2623,212,-0.0955,344,0.78273,375,0.82830,217,-0.0655
ENSG00000125944,HNRNPR,203,0.51194,120,-0.3186,108,-0.4926,110,-0.4562,111,-0.4479,157,0.10253,186,0.41930,138,-0.1103,152,0.05488
ENSG00000142676,RPL11,732,0.77268,733,0.77519,718,0.73973,483,0.09154,629,0.51906,173,-1.4807,380,-0.3136,196,-1.2970,295,-0.7341
ENSG00000011007,ELOA,53,1.09918,24,-0.2069,28,0.02546,18,-0.5989,34,0.38220,29,0.08353,26,-0.0822,34,0.34664,13,-1.1312
ENSG00000057757,PITHD1,94,-0.8412,59,-1.5384,103,-0.6938,143,-0.1908,180,0.17070,135,-0.2822,225,0.60802,184,0.20405,215,0.51980
ENSG00000011009,LYPLA2,9,-1.4090,23,0.00083,18,-0.3581,28,0.27649,15,-0.6310,30,0.42362,23,0.00116,35,0.66863,25,0.11824
ENSG00000117305,HMGCL,33,0.94151,25,0.46314,6,-1.6809,7,-1.4249,15,-0.2887,10,-0.9055,24,0.46289,16,-0.2358,22,0.28003
ENSG00000189266,PNRC2,62,0.31836,62,0.31892,98,1.09365,31,-0.7667,35,-0.5731,61,0.31069,37,-0.5080,43,-0.2615,45,-0.2077
ENSG00000188529,SRSF10,90,0.62257,49,-0.3329,64,0.08393,54,-0.1837,51,-0.2951,75,0.32429,56,-0.1480,69,0.18942,54,-0.2198
ENSG00000001461,NIPAL3,288,1.32698,53,-1.3810,60,-1.1830,101,-0.3913,221,0.86631,138,0.08529,120,-0.1395,135,0.05056,99,-0.4777
ENSG00000133226,SRRM1,530,1.39925,136,-0.8170,162,-0.5477,187,-0.3303,187,-0.3316,288,0.35885,262,0.22732,121,-0.9938,201,-0.2403
ENSG00000169504,CLIC4,296,4.22229,34,-0.2953,11,-1.9452,4,-3.4702,52,0.37191,9,-2.2872,11,-2.0720,10,-2.1246,7,-2.7497
ENSG00000117614,SYF2,130,-0.1052,142,0.03653,180,0.41901,151,0.13424,200,0.59306,121,-0.2213,168,0.34154,77,-0.9103,95,-0.6402
ENSG00000117616,RSRP1,71,0.80402,29,-0.6240,70,0.77139,21,-1.1050,11,-2.0847,131,1.91324,26,-0.8210,28,-0.6422,31,-0.5519
ENSG00000183726,TMEM50A,82,0.57856,58,0.00777,91,0.74200,42,-0.4864,43,-0.4320,35,-0.7442,38,-0.7037,69,0.28810,68,0.29803
ENSG00000204178,MACO1,81,0.28973,33,-1.1032,48,-0.5445,46,-0.5915,42,-0.7553,141,1.21243,85,0.40068,52,-0.4087,67,-0.0248
ENSG00000117643,MAN1C1,7,-2.4277,28,-0.4871,41,0.12859,38,-0.0105,1,-5.3360,31,-0.3163,19,-1.1408,49,0.40800,92,1.82672
ENSG00000162430,SELENON,25,0.21700,47,1.26774,38,0.88172,12,-0.9497,28,0.39843,18,-0.2658,8,-1.6032,23,0.07509,17,-0.4454
ENSG00000117640,MTFR1L,44,-0.5826,58,-0.1753,97,0.65257,50,-0.3988,49,-0.4267,41,-0.7146,65,0.00211,70,0.11704,87,0.53187
ENSG00000117632,STMN1,874,-0.6526,561,-1.3242,857,-0.6826,1249,-0.0970,1806,0.49549,1310,-0.0222,1773,0.52812,1387,0.06871,1511,0.23068
ENSG00000158008,EXTL1,9,-2.1005,43,0.17597,43,0.14663,50,0.39855,67,0.88779,67,0.88892,21,-1.0093,40,0.02865,33,-0.2744
ENSG00000142684,ZNF593,23,-0.8417,46,0.21014,32,-0.3476,32,-0.3688,31,-0.4068,50,0.34509,41,0.03575,43,0.09762,52,0.45662
ENSG00000142669,SH3BGRL3,170,0.07837,151,-0.1103,225,0.52990,179,0.15546,244,0.66338,173,0.10208,93,-0.9240,181,0.17949,136,-0.2976
ENSG00000158062,UBXN11,4,-2.1830,29,0.80206,38,1.23982,21,0.25394,8,-1.2103,10,-0.7960,18,0.04278,7,-1.3459,21,0.27914
ENSG00000117682,DHDDS,2,-2.9054,20,0.15284,2,-3.0883,19,0.04530,7,-1.4420,27,0.61661,27,0.75370,18,-0.0146,25,0.58909
ENSG00000198830,HMGN2,315,1.14925,252,0.76489,222,0.55214,112,-0.5357,202,0.39852,116,-0.4766,109,-0.6275,62,-1.4304,117,-0.5002
ENSG00000117713,ARID1A,166,1.28226,56,-0.4902,65,-0.2653,67,-0.2250,69,-0.1663,94,0.31741,75,-0.0515,61,-0.3669,60,-0.4354
ENSG00000204160,ZDHHC18,3,-2.6558,15,-0.3173,23,0.29966,18,-0.0919,14,-0.4644,16,-0.2440,15,-0.4233,28,0.64411,31,0.89191
ENSG00000142751,GPN2,43,1.30853,14,-0.4769,28,0.57566,12,-0.6639,7,-1.4920,19,-0.0136,18,-0.1272,21,0.10864,16,-0.2819
ENSG00000090273,NUDC,146,-0.6326,226,0.04970,321,0.61564,322,0.62086,186,-0.2572,173,-0.3719,233,0.10621,168,-0.4131,202,-0.1419
ENSG00000253368,TRNP1,3,-3.9243,63,0.33040,62,0.30179,70,0.47899,39,-0.4407,32,-0.7275,54,0.06909,47,-0.1370,72,0.59808
ENSG00000090020,SLC9A1,2,-3.3039,11,-0.9885,9,-1.3246,16,-0.4439,3,-2.5574,40,1.03698,28,0.53767,37,0.92693,28,0.54240
ENSG00000142784,WDTC1,30,0.27871,33,0.40838,31,0.32379,19,-0.4080,17,-0.5638,18,-0.4974,29,0.21338,26,0.04125,23,-0.1626
ENSG00000186501,TMEM222,56,0.45437,50,0.25976,35,-0.3062,27,-0.7078,33,-0.3670,55,0.41744,37,-0.2440,31,-0.4737,52,0.38653
ENSG00000158195,WASF2,171,2.61552,71,0.92709,52,0.39202,17,-1.2948,49,0.29467,26,-0.6620,10,-2.2479,11,-1.9823,15,-1.6293
ENSG00000126705,AHDC1,24,-0.5436,25,-0.4358,26,-0.4078,21,-0.6887,30,-0.1728,50,0.62156,34,0.01417,29,-0.2291,49,0.67395
ENSG00000126709,IFI6,124,0.09869,114,-0.0288,54,-1.1806,61,-1.0055,104,-0.1773,122,0.07932,91,-0.4140,279,1.47397,120,0.05130
ENSG00000009780,FAM76A,38,0.64547,18,-0.4905,12,-1.1142,11,-1.3190,10,-1.3905,57,1.34152,22,-0.2655,33,0.39846,29,0.20743
ENSG00000117758,STX12,96,-0.1800,92,-0.2366,106,-0.0226,84,-0.3830,124,0.22771,123,0.21746,118,0.16924,124,0.23389,98,-0.1621
ENSG00000117751,PPP1R8,48,1.24008,22,-0.0139,35,0.73906,11,-1.0463,16,-0.4771,24,0.09139,15,-0.7012,18,-0.3109,21,-0.1029
ENSG00000117748,RPA2,37,-0.2144,37,-0.2155,31,-0.4861,23,-0.9033,20,-1.1448,23,-0.9278,60,0.66282,47,0.18429,62,0.72383
ENSG00000126698,DNAJC8,309,0.12048,215,-0.4520,304,0.09128,321,0.17804,285,-0.0097,224,-0.3860,348,0.34536,304,0.09225,249,-0.2441
ENSG00000130770,ATP5IF1,168,-1.6074,374,-0.3945,593,0.33737,607,0.37340,330,-0.5862,245,-1.0389,571,0.30753,413,-0.2414,709,0.72120
ENSG00000204138,PHACTR4,77,1.92150,45,0.95277,19,-0.4101,10,-1.3715,8,-1.7129,34,0.46668,21,-0.3195,8,-1.6436,17,-0.6678
ENSG00000180098,TRNAU1AP,32,0.93933,17,-0.0183,13,-0.4387,7,-1.3023,9,-0.9572,28,0.72608,12,-0.6698,29,0.78233,18,-0.0047
ENSG00000198492,YTHDF2,81,-0.3995,41,-1.4403,42,-1.4007,66,-0.7097,127,0.30321,131,0.35115,144,0.58184,141,0.47634,118,0.21628
ENSG00000159023,EPB41,24,-0.0512,9,-1.5493,7,-1.7983,30,0.32934,26,0.10760,32,0.44224,46,1.20394,28,0.23800,10,-1.3851
ENSG00000116350,SRSF4,101,0.47663,91,0.31840,65,-0.2194,48,-0.6758,90,0.28802,85,0.20364,70,-0.1232,84,0.18939,60,-0.3889
ENSG00000116353,MECR,13,-1.4723,25,-0.5453,35,-0.0445,47,0.42662,43,0.29265,23,-0.6799,39,0.11984,49,0.49996,41,0.24047
